@English@|@Daur@
@warm@|@dulän, kulche-@
@warmth@|@hilchi, šilchi, šilichi@
@wart@|@xuechi@
@watch@|@xaröl@
@water@|@os, ose, oso@
@wave@|@dolegen, dolgen@
@we@|@bä, bed, män-@
@weak@|@žeulen, žeulén@
@weep@|@uail-, uajle-, waila-@
@welcome@|@orete-, orto-@
@well@|@žä, že, žë@
@West@|@baran, baren@
@what@|@jö@
@wheel@|@kurde, kuredu, kurese@
@wheel spoke@|@hejgese@
@where@|@hä-@
@whip@|@minä@
@white@|@chigän@
@white hare@|@šandag@
@who@|@ken, xä-, xen@
@widow@|@belbisen, belibsen@
@wife@|@eme@
@wife of the elder brother@|@berigen@
@wild goose@|@galö@
@willow@|@baregase, bargäs, xudikän@
@wind@|@hejn, kein, kïn, xein@
@winter@|@eule, ugul@
@withers@|@där, däre, däri@
@without@|@uej, uwei@
@woe@|@gai@
@woman@|@emeg, emgun@
@wood@|@oi@
@word@|@usu@
@work@|@uil, uile, weil@
@wormwood@|@erem@
@wrong@|@borö@
@year@|@hön, xön@
@year of life@|@nas, nase@
@yellow@|@šar, šara, šari@
@yellow of a horse@|@šarag, šarga@
@yellowish@|@chebdëg@
@yesterday@|@ore, oré, üdeši@
@you (pl.)@|@tä@
@young@|@žalö@
@young dog or cat@|@gulgü, gulug@
@young grass on river banks@|@kän@
@younger sibling@|@deu@

