@English@|@Thai@
@know@|@รู้, รู้จัก@
@known@|@เป็นที่รู้จัก@
@lacking energy@|@ไม่มีแรง@
@lady's man@|@เจ้าชู้@
@lake (large)@|@ทะเลสาบ@
@lamp@|@โคมไฟ@
@language@|@ภาษา@
@large@|@ใหญ่, ใหญ่, โต@
@last time (final)@|@ครั้ง สุดท้าย@
@last time (previous)@|@ครั้ง ทีแล้ว@
@late@|@สาย@
@later@|@ทีหลัง, หลัง, หลังจาก@
@laugh@|@ขำ, หัวเราะ@
@lawyer@|@ทนายความ@
@leak@|@รั่ว@
@left@|@ซ้าย@
@leg@|@ขา@
@lend money@|@ให้ยืมเงิน@
@length@|@ความยาว@
@less than@|@น้อยกว่า@
@lesson@|@บทเรียน@
@let@|@ยอม ให้@
@let it be@|@อะไรจะเกิดก็ให้มันเกิด@
@letter@|@จดหมาย@
@lie on stomach@|@นอนคว่ำ@
@lie on the back@|@นอนหงาย@
@lie on the side@|@นอนตะแคง@
@life@|@ชาติ@
@light@|@แสง, สว่าง, สว่าง@
@light (not heavy)@|@เบา@
@light blue@|@สีฟ้า@
@light bulb@|@หลอดไฟ@
@light green@|@สีเขียว อ่อน@
@lighter@|@ไฟแช็ค@
@like@|@เช่น@
@likely@|@ดูเหมือนจะ@
@likewise@|@เช่นเดียวกัน, เช่นกัน@
@lime@|@มะนาว@
@lion@|@สิงโต@
@lips@|@ริมฝีปาก@
@liquid@|@ของเหลว@
@listen@|@ฟัง@
@literature@|@วรรณคดี@
@little@|@เล็ก, น้อย, น้อย, เล็ก@
@little by little@|@ทีละนิดทีละหน่อย@
@liver@|@ตับ@
@living room@|@ห้องนั่งเล่น@
@lizard@|@จิ้งจก@
@lobster@|@กุ้งมังกร@
@location@|@สถานที่@
@lonely@|@เหงา@
@long@|@ยาว@
@long for@|@หวัง@
@long gun@|@ปืนยาว@
@long sleeves@|@เสื้อ แขน ยาว@
@look at@|@ดู, มอง@
@lose@|@แพ้, ขาดทุน@
@lose money@|@ขาดทุน@
@lottery@|@ล็อตเตอรี่@
@loud@|@ดัง@
@love@|@ความรัก@
@low@|@ต่ำ@
@luggage@|@กระเป๋า@
@lunch@|@อาหารกลางวัน, อาหารเที่ยง@
@lustful@|@สำส่อน@
@magnet@|@แม่เหล็ก@
@make an excuse@|@แก้ตัว@
@malaria@|@ไข้จับสั่น, มาลาเรีย@
@man@|@ผู้ชาย@
@management@|@การจัดการ@
@mango@|@มะม่วง@
@mangosteen@|@มังคุด@
@many@|@เยอะ, มาก, มาก, จัง, หลาย@
@March@|@มีนาคม@
@marmalade@|@แยม@
@maternal grandfather@|@ตา@
@mathematics@|@คณิตศาสตร์@
@May@|@พฤษภาคม@
@maybe@|@บางที, บางครั้ง, อาจจะ@
@meat@|@เนื้อ, ชิ้น, เนื้อสัตว์@
@medicine@|@ยา@
@meet@|@เจอ@
@menu@|@เมนู@
@message@|@ข้อความ@
@metal@|@โลหะ@
@metropolis@|@มหานคร@
@microwave oven@|@เตาไมโครเวฟ@
@midnight (0:00)@|@เที่ยง คืน@
@mild@|@นุ่มนวล@
@milk@|@นม@
@mine (female)@|@ของฉัน@
@mine (male)@|@ของผม@
@minister@|@รัฐมนตรี@
@ministry@|@กระทรวง@
@Ministry of Defense@|@กระทรวง กลาโหม@
@Ministry of Interior@|@กระทรวง มหาดไทย@
@minute@|@นาที@
@mirror@|@กระจก@
@miss an appointment@|@ผิดนัด@
@miss someone@|@คิด ถึง@
@mix@|@ผสม@
@mobile phone@|@โทรศัพท์ มือถือ@
@Monday@|@วันจันทร์@
@money@|@เงิน@
@monkey@|@ลิง@
@month@|@เดือน@
@mood@|@อารมณ์@
@moon@|@จันทร์, ดวงจันทร์@
@moonlight@|@แสงจันทร์@
@more than@|@มากกว่า@
@morning@|@ตอนเช้า@
@mosquito@|@ยุง@
@most@|@ดีที่สุด@
@mother@|@แม่@
@motorbike@|@รถมอเตอร์ไซด์@
@mountain@|@เขา, ภูเขา@
@mouse@|@หนู@
@mouth@|@ปาก@
@move residence@|@ย้ายบ้าน@
@movie@|@หนัง, ภาพยนต์@
@moving@|@เคลื่อนที่@
@much@|@เยอะ, มาก, มาก, เยอะ, มาก, จัง@
@mushroom@|@เห็น@
@music@|@ดนตรี@
@musical group@|@วงดนตรี@
@musical instrument@|@เครื่องดนตรี@
@musician@|@นักดนตรี@
@mussel@|@หอยแมลงภู่@
@must@|@สมควร@
@my@|@ของฉัน, ของผม@
@my name is...@|@ผม/ฉัน ชื่อ...@
@nails@|@เล็บ@
@narrow@|@แคบ@
@nation@|@ชาติ@
@naturally@|@โดยธรรมชาติ@
@near@|@ใกล้, ใกล้เคียง, ไกล้@
@neat@|@เรียบร้อย@
@neck@|@ลำคอ@
@neglect@|@ละทิ้ง@
@neighbour@|@เพื่อนบ้าน@
@nephew@|@หลานชาย@
@never@|@ไม่เคย@
@new@|@ใหม่@
@next@|@ถัดไป@
@next life@|@ชาติหน้า@
@next to@|@ติดกับ@
@next year@|@ปีหน้า@
@nice@|@ใจดี, น่ารัก@
@niece@|@หลานสาว@
@night@|@คืน@
@night suit@|@ชุดนอน@
@no@|@ไม่, ไม่ใช่, ไม่ใช่@
@no (polite)@|@ไม่ครับ, ไม่ค่ะ@
@no spicy@|@ไม่เผ็ด@
@no spicy at all@|@ไม่ใส่พริกเลย@
@no wonder…@|@มิน่าเล่า@
@nobody answers (phone)@|@ไม่มีใครรับสาย@
@noodle salad@|@ยำวุ้นเส้น@
@noodle soup@|@ก๋วยเตี๋ยวน้ำ@
@noon (12:00 am)@|@เที่ยงวัน@
@North@|@เหนือ@
@Northeast@|@ทิศตะวันออกเฉียงเหนือ@
@Northeast (Isarn)@|@ภาค อีสาน@
@Northwest@|@ทิศตะวันตกเฉียงเหนือ@
@nose@|@จมูก@
@not at all@|@ไม่เลย@
@not clean@|@สกปรก@
@not enough@|@ไม่พอ@
@not quite@|@ไม่ค่อย@
@not that much@|@ไม่ค่อย@
@not totally waken up@|@เบรอ@
@notebook@|@สมุด@
@notice@|@มองเห็น@
@November@|@พฤศจิกายน@
@now@|@เดี๋ยวนี้, ตอนนี้@
@nowadays@|@ปัจจุบัน, ปัจจุบัน กาล@
@nowhere@|@ไม่สักที่เดียว@
@obstruct@|@ขัดขวาง@
@occupation@|@อาชีพ@
@October@|@ตุลาคม@
@of course@|@แน่นอน@
@office@|@สำนักงาน@
@often@|@บ่อย ๆ, บ่อยๆ@
@old@|@เก่า, เก่าแก่@
@old (person)@|@แก่@
@old person@|@ผู้สูงอายุ@
@omelet@|@ไข่เจียว@
@omit@|@ยกเว้น@
@one hour@|@หนึ่ง ชั่วโมง@
@one o'clock (1:00 am)@|@ตี หนึ่ง@
@one o'clock (1:00 pm)@|@บ่าย หนึ่ง โมง@
@only@|@เท่านั้น@
@open@|@เปิด, เปิด@
@opportunity@|@โอกาส@
@opposite@|@ตรงข้าม@
@or@|@หรือ@
@orange@|@ส้ม, สีส้ม@
@orange juice@|@น้ำส้ม@
@orchid@|@ดอกกล้วยไม้@
@order@|@สั่ง@
@origin@|@เดิม@
@other@|@อื่น@
@outfit@|@ชุด@
@outside@|@ข้างนอก@
@oven@|@เตาอบ@
@over one's dead body@|@สู้ตาย@
@over there@|@ที่โน่น@
@oysters@|@หอยนางรม@
@pain@|@ปวด@
@painkiller@|@ยาแก้ปวด@
@panties@|@กางเกง ใน@
@papaya@|@มะละกอ@
@papaya salad@|@ส้มตำ, ปาปาญ่า ป๊อก ๆ@
@parents@|@พ่อแม่@
@park@|@สวน@
@part@|@แยก@
@past@|@อดีต@
@pasta@|@พาสต้า@
@patient@|@อดทน@
@pause@|@หยุด@
@pay@|@ใช้เงิน@
@pay attention to@|@เอาใจใส่, ใส่ใจ, สนใจ@
@pay back (money)@|@คืน, คืนเงิน@
@peak@|@ยอด@
@peanuts@|@ถั่ว@
@people@|@คน@
@perfume@|@น้ำหอม@
@period of time@|@ช่วง@
@permit (officially)@|@อนุญาต@
@person@|@คน@
@person)@|@มันเคี้ยว@
@perspiration@|@เหงื่อ@
@pharmacy@|@ร้านขายยา@
@phone@|@โทรศัพท์@
@phone back@|@โทรกลับ@
@phone number@|@เบอร์ โทรศัพท์@
@phone someone (call comes)@|@โทรมา@
@phone someone (call goes out)@|@โทรไป@
@physics@|@ฟิสิกส์@
@pig@|@หมู@
@pill@|@ยาเม็ด@
@pillow@|@หมอน@
@pimple@|@สิว@
@pineapple@|@สัปปะรด@
@pineapple juice@|@น้ำสัปปะรด@
@pink@|@ชมพู, สีชมพู@
@planet@|@ดาวเคราะห์, ดาวนพเคราะห์@
@plant@|@พืช@
@plastic@|@พลาสติก@
@plate@|@จาน@
@play@|@เล่น@
@play cards@|@เล่นไพ่@
@play sports@|@เล่นกีฬา@
@please@|@ได้โปรดเถอะ@
@please someone@|@ตามใจ@
@politeness particle (for men)@|@ครับ@
@politeness particle (for women)@|@ค่ะ@
@pomelo@|@ส้มโอ@
@pomme@|@แอ๊ปเปิ้ล@
@pond@|@สระน้ำ, หนองน้ำ@
@poor@|@จน@
@porch@|@ระเบียง@
@pork@|@หมู, หมู@
@portion@|@ส่วน@
@portion too many@|@ส่วนเกิน@
@possibly@|@เป็นไปได้@
@post office@|@ไปรษณีย์@
@potato@|@มันฝรั่ง@
@pregnant@|@มีท้อง@
@prescription@|@ใบสั่งยา@
@present@|@ปัจจุบัน@
@present time@|@ช่วงนี้, ปัจจุบันนี้, ปัจจุบัน, ปัจจุบัน กาล@
@president@|@ประธานาธิบดี@
@pretty (girl)@|@สวย@
@pretty (woman)@|@สวย@
@previous@|@มีค่า@
@previous year@|@ปีที่แล้ว, ปีก่อน@
@price@|@ราคา@
@prime minister@|@นายก รัฐมนตรี@
@primitive@|@เก่าแก่@
@prince@|@เจ้าชาย, เจ้าฟ้าชาย@
@princess@|@เจ้าฟ้าหญิง, เจ้าหญิง@
@privilege@|@สิทธิ์@
@prize@|@รางวัล@
@product@|@สินค้า@
@product to wash dishes@|@น้ำยา ล้าง ชาม@
@profession@|@อาชีพ@
@prohibit@|@ห้าม@
@prok@|@หมู@
@proof@|@พิสูจน์@
@protect against@|@ปัองกัน@
@proud@|@ภูมิใจ@
@provocative@|@ทะลึ่ง@
@punish@|@ทำโทษ@
@purple@|@ม่วง, สีม่วง@
@purposely@|@โดยเจตนา@
@purse@|@กระเป๋า@
@quarrel@|@เถียง, ทะเลาะกัน@
@queen@|@พระมหาราชินี@
@queen (general)@|@ราชินี@
@Queen (of Thailand)@|@พระราชินี@
@question@|@คำถาม@
@quick@|@เร็ว, ไว@
@quickly@|@เร็ว@
@quiet@|@เงียบ@
@rabbit@|@กระต่าย@
@rain@|@ฝน@
@rainy season@|@หน้า ฝน, ฤดู ฝน@
@rambutan@|@เงาะ@
@rarely@|@ไม่ค่อย@
@rat@|@หนู@
@rattan ball@|@ตะกร้อ@
@raw@|@ดิบ@
@razor@|@มีดโกน@
@ready@|@พร้อม@
@rebirth@|@ชาติ@
@recently@|@เมื่อกี้@
@reconciliate@|@ง้อ@
@rectangle@|@สี่เหสี่ยม มุมฉาก@
@red@|@แดง, สีแดง@
@referee@|@กรรมการ, ผู้ตัดสิน@
@regain one's strength@|@เติมพลัง@
@regret@|@เสียใจ@
@relax@|@ใจเย็นๆ@
@reluctantly@|@ฝืนใจ@
@remove@|@เอาออก@
@rent@|@เช่าบ้าน@
@replace@|@เปลี่ยน@
@restaurant@|@ร้านอาหาร@
@retired from work@|@เกษียณแล้ว@
@reward@|@รางวัล@
@rice@|@ข้าว@
@rich@|@รวย@
@rifle@|@ปืนยาว@
@right@|@ขวา, ถูก, สิทธิ์@
@rip@|@ขาด@
@river@|@แม่น้ำ@
@road@|@ถนน@
@robber@|@โจร@
@roof@|@หลังคา@
@room@|@ห้อง@
@rope@|@เชือก@
@rose@|@กุหลาบ@
@rose apple@|@ชมภู่@
@rough@|@หยาบ ๆ@
@round@|@กลม@
@ruthless@|@ใจดำ@
@sack@|@ถุง@
@sad@|@เศร้าใจ@
@salary@|@เงินเดือน@
@salt@|@เกลือ@
@salty@|@เค็ม@
@same@|@เหมือน@
@same as@|@เหมือนกับ, เดียวกับ@
@satisfied@|@พอใจ@
@Saturday@|@วันเสาร์@
@saucepan@|@กะทะท้องแบน@
@sausage@|@ไส้กรอก@
@save money@|@เก็บเงิน@
@save oneself@|@เอาตัวรอด@
@school@|@โรงเรียน@
@science@|@วิทยาศาสตร์@
@scrambled eggs@|@ไข่คน@
@sea@|@ทะเล@
@seafood@|@อาหารทะเล@
@second@|@วินาที@
@secret@|@ความลับ@
@secretary@|@เลขานุการ@
@section@|@ส่วน@
@see@|@เห็น, มองเห็น@
@see a movie@|@ดู หนัง@
@seldom@|@ไม่ค่อย@
@selfish@|@เห็นแก่ตัว@
@sell@|@ขาย@
@send@|@ส่ง@
@sentence@|@ประโยค@
@separate from@|@แยก@
@September@|@กันยายน@
@seven o'clock (7:00 pm)@|@หนึ่ง ทุ่ม@
@several@|@หลาย@
@severe@|@ขาด, ดุ@
@shampoo@|@แชมพู@
@share@|@แบ่ง@
@sharp@|@ชัด@
@sheep@|@แกะ@
@ship@|@เรือ@
@shirt@|@เสื้อ@
@shoes@|@รองเท้า@
@shop@|@ร้าน@
@short@|@สั้น@
@short sleeves@|@เสื้อ แขน สั้น@
@short time@|@ชั่วคราว@
@shorts@|@กางเกง ขาสั้น@
@should@|@สมควร@
@shoulder@|@บ่า, ไหล่, บ่าไหล่@
@shower@|@อาบน้ำ@
@shrimp soup@|@ต้มยำกุ้ง@
@shrimps@|@กุ้ง@
@sick@|@ไม่สบาย, ป่วย, ไม่สบาย@
@silk@|@ผ้าไหม@
@silver@|@เงิน, สีเงิน@
@similar@|@เหมือน, เหมือน@
@similar to@|@เหมือนกับ, เดียวกับ@
@simple@|@ง่าย@
@since when?@|@ตั้งแต่เมื่อไหร่@
@singer@|@นักร้อง@
@sink@|@อ่างล้างจาน@
@sit@|@นั่ง@
@sit down@|@นั่ง ลง@
@sit with legs bent to one side@|@นั่ง พับ เพียบ@
@six o'clock (6:00 am)@|@หก โมง เช้า@
@six o'clock (6:00 pm)@|@หก โมง เย็น@
@size@|@ขนาด@
@skillful@|@เก่ง, เก่ง@
@skirt@|@กระโปรง@
@sky@|@ฟ้า@
@skytrain@|@รถไฟลอยฟ้า@
@sleeping pill@|@ยานอนหลับ@
@slippers@|@รองเท้าแตะ@
@slippery@|@ลื่น@
@slow@|@ช้า, ช้า@
@slowly@|@ช้า@
@small@|@เตี้ย@
@smart@|@ฉลาด@
@smell@|@กลิ่น@
@smell bad@|@เหม็น@
@smell good@|@หอม@
@smile@|@ยิ้ม@
@smoke@|@สูบบุหรี่@
@smooth@|@เนียน@
@SMS@|@ข้อความ@
@snake@|@งู@
@snap up@|@แย่ง@
@snow@|@หิมะ@
@soap@|@สบู่@
@socks@|@ถุงเท้า@
@soft@|@เนียน, นิ่ม, นุ่ม@
@soft to the touch@|@นิ่ม@
@soi@|@ซอย@
@solitary@|@เหงา@
@some@|@บ้าง@
@some of@|@บ้าง@
@sometimes@|@บางครั้ง, บางที@
@son@|@ลูกชาย@
@song@|@เพลง@
@soon@|@เร็วๆ นี้@
@soothe@|@ปลอบใจ@
@sore throat@|@เจ็บคอ@
@sorrow@|@เสียใจ@
@sour@|@เปรี้ยว@
@South@|@ใต้@
@Southeast@|@ทิศตะวันออกเฉียงใต้@
@Southwest@|@ทิศตะวันตกเฉียงใต้@
@space@|@อวกาศ@
@speed@|@ความ เร็ว@
@spend money@|@เสียเงิน@
@spicy@|@เผ็ด@
@spoon@|@ช้อน@
@sports@|@กีฬา@
@square@|@สี่เหสี่ยม จตุรัส@
@stadium@|@สนามกีฬา@
@staff@|@พนักงาน@
@stairs@|@บันได@
@stand@|@ยืน@
@stand still@|@เฉยๆ@
@stand up@|@ยืน, ยืนขึ้น, ลุกขึ้น@
@star@|@ดาว@
@stare at@|@มองดู@
@start@|@เริ่ม, กำลังเริ่ม@
@state@|@รัฐ@
@stay@|@อยู่@
@steam@|@นึ่ง@
@stew@|@นึ่ง@
@still@|@ยัง@
@stomach@|@ท้อง@
@stone@|@หิน@
@stop@|@เลิก, หยุด@
@stop (car)@|@จอด@
@store@|@ห้าง@
@storm@|@พายุ@
@story@|@เรื่อง@
@stove@|@เตาอบ@
@stove (electric)@|@เตาไฟฟ้า@
@stove (gas)@|@เตาแก๊ส@
@strange@|@แปลก@
@street@|@ถนน, ถนน@
@strong (being)@|@แข็งแรง@
@strong (machine)@|@มีกำลังมาก@
@stupid@|@โง่, โง่เง่า, งี่เง่า@
@subject@|@วิชา@
@subwaytrain@|@รถไฟใต้ดิน@
@such as@|@เช่น@
@sugar@|@น้ำตาล@
@suit@|@ชุด, สูท@
@sulk@|@งอน@
@sullen@|@งอน@
@sun@|@แดด, พระอาทิตย์, ตะวัน, ดวงอาทิตย์@
@sunburn@|@แดดเผา@
@Sunday@|@วันอาทิตย์@
@sunrise@|@ตะวัน ขึ้น@
@sunset@|@ตะวัน ตก@
@support@|@สนับสนุน@
@suppose@|@สมมุติ@
@supposing that@|@เผื่อ, เผื่อว่า@
@sure@|@แน่, แน่ใจ, แน่นอน@
@surely@|@แน่นอน@
@surpass@|@เลย@
@suspect@|@สงสัย@
@swear@|@สาบาน@
@sweat@|@เหงื่อ@
@sweet (taste)@|@หวาน@
@sweets@|@ขนม@
@swell@|@อักเสบ@
@swimming suit@|@ชุดว่ายน้ำ@
@table@|@โต๊ะ@
@tablet@|@ยาเม็ด@
@take advantage of (negatively)@|@เอาเปรียบ@
@talent@|@พรสวรรค์@
@tall@|@สูง@
@taste@|@ลอง@
@tasteless@|@จืด@
@taxi@|@รถแท็กซี่@
@tea@|@ชา, ชาร้อน@
@teacher@|@ครู@
@team@|@ทีม@
@tear@|@ขาด@
@tease@|@แกล้ง@
@television channel@|@ช่อง@
@temperament@|@นิสัย@
@temple@|@วัด@
@tenant@|@ผู้เช่า@
@tender@|@นุ่ม@
@terrible@|@แย่@
@Thai boxing@|@มวยไทย@
@Thai country music@|@ลูกทุ่ง@
@Thai pop music@|@สตริง@
@thank you@|@ขอบคุณ ครับ/คะ@
@thanks@|@ขอบคุณ, สบายดี ครับ/คะ@
@that@|@นั่น@
@that's it!@|@นั่นแหละ@
@that's what you get for it@|@สมน้ำหน้า@
@that's why@|@เพราะฉะนั้น@
@the best@|@ดีที่สุด, ยอดเยี่ยม@
@the first@|@ที่หนึ่ง@
@the last@|@สุดท้าย@
@the line is busy@|@สายไม่ว่าง@
@the most@|@ที่สุด@
@the same one@|@อันเดียวกัน@
@the same thing@|@อันเดียวกัน@
@the worst@|@ร้ายกว่าเก่า@
@there@|@ที่นั่น@
@there is no signal (mobile)@|@สัญญาณ@
@therefore@|@เพราะฉะนั้น@
@they@|@พวกเขา@
@thick@|@หนา@
@thin@|@บาง, ผอม@
@this@|@นี่@
@this life@|@ชาตินี้@
@this year@|@ปีนี้@
@thunder@|@ฟ้าร้อง@
@Thursday@|@วันพฤหัสฯ@
@tidy@|@เรียบร้อย@
@tie@|@เนคไท@
@tiger@|@เสือ@
@time@|@เวลา@
@tip@|@ยอด@
@tired@|@เหนื่อย@
@to a superior)@|@ครับ ผม@
@to accept@|@ยอมรับ@
@to add@|@เพิ่ม@
@to agree@|@เห็นด้วย@
@to answer@|@ตอบ@
@to appear@|@ปรากฏ@
@to attack@|@ทำร้าย@
@to be at@|@อยู่@
@to be doing something@|@กำลัง@
@to be doubtful@|@พิรุด@
@to be ready@|@เสร็จแล้ว@
@to be sparing@|@ประหยัด@
@to begin@|@เริ่ม@
@to bring@|@เอา@
@to brush teeth@|@แปรง ฟัน@
@to build@|@สร้าง@
@to burn@|@เผา@
@to calculate@|@คิด@
@to call/to phone@|@โทรศัพท์@
@to carry@|@ยก / แบก@
@to catch@|@จับ@
@to cause to@|@ทำให้@
@to change@|@เปลี่ยน@
@to clean@|@ล้าง@
@to close@|@ปิด@
@to comb hair@|@หวีผม@
@to come@|@มา@
@to complain@|@บ่น@
@to continue@|@ต่อ@
@to cook@|@ทำอาหาร@
@to count@|@นับ@
@to create@|@สร้าง@
@to cry@|@ร้องไห้@
@to cut nails@|@ตัดเล็บ@
@to dance@|@เต้นรำ@
@to decide@|@ตัดสินใจ@
@to defend@|@ปกป้อง@
@to die@|@ตาย@
@to dine@|@ทาน@
@to discover@|@ค้นพบ@
@to discuss@|@ถกปัญหา@
@to do@|@ทำ@
@to do the housework@|@ทำความสะอาด@
@to do the laundry@|@ซัก, ซักผ้า@
@to draw@|@วาด@
@to drink@|@ดื่ม@
@to drive@|@ขับ@
@to enter@|@เข้า@
@to erase@|@ลบ@
@to exist@|@มีอยู่@
@to expect@|@หวัง@
@to experience@|@ทำให้มีประสบการณ์@
@to explain@|@อธิบาย@
@to fall@|@ตก@
@to fear@|@กลัว@
@to feel@|@รู้สึก@
@to fight@|@ต่อสู้@
@to find somebody@|@พบ@
@to find something@|@เจอ@
@to fly@|@บิน@
@to follow@|@ตาม@
@to fool someone@|@ขี้โกง@
@to forget@|@ลืม@
@to get@|@เอา@
@to get dressed@|@ใส่เสื้อ@
@to give@|@ให้@
@to go@|@ไป@
@to go shopping@|@ไป ซื้อ ของ@
@to grow (being)@|@เลี้ยง@
@to grow (plant)@|@ปลูก@
@to have@|@มี@
@to have finished@|@เสร็จแล้ว@
@to have just done something@|@พึ่ง@
@to have to@|@ต้อง@
@to heal@|@รักษา@
@to hear@|@ได้ยิน@
@to heat@|@ให้ความร้อน@
@to hit@|@ตี@
@to hope@|@หวัง@
@to hurt@|@ทำให้เจ็บ@
@to invite@|@เชิญ@
@to iron clothes@|@รีดผ้า@
@to join@|@เข้าร่วม@
@to kill@|@ฆ่า@
@to kneel down@|@คุกเข่า@
@to know@|@ทราบ@
@to land@|@ที่ดิน@
@to laugh@|@หัวเราะ@
@to learn@|@เรียน@
@to leave@|@ออกจาก@
@to lie@|@โกหก@
@to like@|@ชอบ@
@to live@|@อยู่, อยู่@
@to look@|@มอง@
@to lose@|@เสีย@
@to love@|@รัก@
@to make@|@ทำ@
@to meet@|@พบ@
@to move@|@ใหญ่@
@to need@|@ต้องการ@
@to offer@|@เสนอให้@
@to open@|@เปิด@
@to paint@|@ทาสี@
@to pay@|@จ่าย@
@to pay attention@|@ให้ความสนใจ@
@to prepare@|@เตรียม@
@to prove@|@พิสูจน์@
@to put@|@วาง@
@to recieve@|@รับ@
@to remember@|@จำ@
@to repeat@|@ทำซ้ำ@
@to rinse@|@ล้าง@
@to rule@|@ปกครอง@
@to run@|@วิ่ง@
@to say@|@พูด@
@to search@|@หา@
@to shave@|@โกนหนวด@
@to show@|@โชว์@
@to sing@|@ร้องเพลง@
@to sit@|@นั่ง@
@to sleep@|@หลับ@
@to smile@|@ยิ้ม@
@to speak@|@พูด@
@to spend@|@ใช้@
@to squat@|@นั่ง ยอง ๆ@
@to steal@|@ขโมย@
@to stop@|@หยุด@
@to study@|@เรียน@
@to sweep@|@กวาดบ้าน, ปัดพื้น@
@to take (sth/so f.)@|@เอา@
@to talk@|@พูด@
@to taste@|@ชิม@
@to teach@|@สอน@
@to tell@|@บอก@
@to think@|@คิด@
@to throw@|@ขว้าง@
@to touch@|@แตะ@
@to translate@|@แปล@
@to travel@|@ท่องเที่ยว@
@to try (experimental)@|@ลอง@
@to try (make an effort)@|@พยายาม@
@to understand@|@เข้าใจ@
@to undress@|@ถอดเสื้อ@
@to visit somebody@|@เยี่ยม@
@to visit something@|@ไป@
@to vote@|@โหวต@
@to wait@|@รอ@
@to walk@|@เดิน@
@to want (+noun)@|@อยากได้@
@to want (+verb)@|@ต้องการ@
@to wash@|@ล้าง@
@to wash hair@|@สระผม@
@to wash hands@|@ล้างมือ@
@to wash the dishes@|@ล้าง ชาม@
@to water the plants@|@รดน้ำ@
@to wish@|@ปรารถนา@
@to write@|@เขียน@
@toast@|@ปิ้ง@
@today@|@วันนี้@
@together@|@กัน@
@toilet@|@ชักโครก@
@toilets@|@ห้องน้ำ@
@tomato@|@มะเขือเทศ@
@tomato sauce@|@ซอสมะเขือเทศ@
@tomorrow@|@พรุ่งนี้, วันพรุ่งนี้@
@tongue@|@ลิ้น@
@too bad@|@น่าเสียดาย@
@too many@|@มากเกินไป@
@too much@|@มากเกินไป@
@tooth@|@ฟัน@
@toothbrush@|@แปรงสีฟัน@
@toothpick@|@ไม้จิ้มฟัน@
@toothsome (food@|@มันเคี้ยว@
@top@|@ยอด@
@touch@|@จับ, สัมผัส, แตะต้อง@
@traffic bridge@|@สะพานลอย@
@train@|@รถไฟ@
@train station@|@สถานีรถไฟ@
@transparent@|@ใส@
@tree@|@ต้นไม้@
@trousers@|@กางเกง@
@truck@|@รถบรรทุก@
@trust@|@เชื่อใจ@
@trust someone@|@ศรัทธา@
@try@|@พยายาม, พยายาม, ลอง@
@tshirt@|@เสื้อ ยืด@
@Tuesday@|@วันอังคาร@
@tuna@|@ทูน่า@
@turn@|@เลี้ยว@
@turtle@|@เต่า@
@TV@|@ทีวี, โทรทัศน์@
@TV channel@|@ช่อง@
@TV program@|@รายการทีวี@
@two@|@สอง@
@two years ago@|@สอง ปีที่แล้ว@
@umbrella@|@ร่ม@
@uncle (elder brother of parents)@|@ลุง@
@uncle (younger brother of father)@|@อาผู้ชาย@
@uncle (younger brother of mother)@|@น้าผู้ชาย@
@uncomfortable@|@อึดอัด@
@unconscious@|@เป็น ลม@
@under@|@ข้างล่าง, ข้างล่าง@
@underwear@|@กางเกง ใน@
@unemployed person@|@ว่างงาน@
@uniform@|@แบบ ฟอร์ม@
@university@|@มหาวิทยาลัย@
@unlikely@|@ไม่ค่อยจะ@
@unlucky@|@ซวย@
@unsmooth@|@หยาบ ๆ@
@unusual@|@ผิดปกติ@
@upset@|@ใจร้อน@
@upstairs@|@ข้างบน@
@urgent@|@ด่วน@
@urinate@|@เยี่ยว@
@useful@|@ประโยชน์@
@usually@|@ประจำ@
@uterus@|@มดลูก@
@valley@|@หุบเขา@
@various@|@ต่าง ๆ@
@vegetables@|@ผัก@
@very@|@มาก, มาก, จัง@
@very angry@|@โมโห@
@very much@|@เหลือเกิน, จังเลย@
@very urgent@|@ด่วนที่สุด@
@vicinity@|@บริเวณ@
@village@|@หมู่บ้าน@
@wages@|@ค่าจ้าง@
@wake up@|@ตื่น@
@wall@|@ผนัง@
@wardrobe@|@ตู้เสื้อผ้า@
@warm@|@อุ่น@
@warmth (love)@|@ความอบอุ่น@
@warn@|@เตือน@
@washbasin@|@อ่างล้างหน้า@
@watch@|@ดู, มอง@
@watchman@|@คนยาม@
@water@|@น้ำ@
@water tap@|@ก็อกน้ำ@
@watermelon@|@แตงโม@
@we@|@พวกเรา@
@weak@|@อ่อนแอ@
@weather@|@ภูมิอากาศ, อากาศ@
@Wednesday@|@วันพุธ@
@week@|@สัปดาห์, อาทิตย์@
@weekend@|@เสาร์อาทิตย์@
@welcome@|@ยินดีต้อนรับ, รับ@
@well@|@ดี@
@West@|@ตะวันตก@
@wet@|@เปียก@
@what a pity@|@น่าเสียดาย@
@what is your name?@|@คุณ ชื่อ อะไร ครับ/คะ@
@what time is it?@|@กี่โมงแล้ว@
@what time?@|@กี่โมง@
@what?@|@อะไร@
@what's going on@|@เป็นยังไงบ้าง@
@what's up@|@เป็นยังไงบ้าง@
@when?@|@เมื่อไหร่@
@where from?@|@จากไหน@
@where to?@|@ไปไหน@
@where?@|@ที่ไหน@
@which way?@|@ทางไหน@
@which?@|@อันไหน@
@while@|@ในขณะที่, ในเวลาที่@
@white@|@ขาว, สีขาว@
@who sells chicken eggs?@|@ใคร ขาย ไข่ ไก่@
@who?@|@ใคร, คนไหน@
@whole@|@ทั้ง, ทั้งหมด@
