@English@|@Polish@
@all-important@|@nader ważny, ogromnej doniosłości@
@all-in@|@globalny, łączny, ogólny@
@alliteration@|@aliteracja@
@allocate@|@alokować, umieszczać@
@allocation@|@przeznaczenie, przydział, umieszczenie@
@allocution@|@przemówienie@
@allot@|@przeznaczyć, rozdzielić, wyznaczyć@
@allotment@|@działka, podział, przydział@
@all-out@|@całkowity, rozpaczliwy, totalny, zdecydowany@
@allow@|@pozwolić@
@allowable@|@dopuszczalny, dozwolony@
@allowance@|@przydział, tolerowanie, zasiłek@
@alloy@|@stapiać, stop@
@all-purpose@|@uniwersalny@
@all-round@|@wszechstronny@
@all-rours@|@na czworakach@
@allude@|@napomknąć, robić aluzje@
@allure@|@zwabić@
@allurement@|@nęcenie, wabienie@
@alluring@|@nęcący, ponętny@
@allusion@|@aluzja, napomknienie@
@allusive@|@aluzyjny@
@alluvial@|@aluwialny, napływowy@
@alluvion@|@namuł@
@alluvium@|@aluwium, holocen@
@ally@|@sojusznik, sprzymierzeniec, sprzymierzyć@
@almanac@|@almanach@
@almighty@|@wszechmocny, wszechmogący@
@almond@|@migdał, migdałek@
@almoner@|@jałmużnik@
@almost@|@niemal, o mało, prawie@
@alms@|@jałmużna@
@almshouse@|@przytułek@
@aloe@|@aloes@
@aloft@|@do góry, w górę, w górze@
@alone@|@sam, w pojedynkę@
@along@|@dalej, naprzód@
@alongshore@|@wzdłuż brzegu@
@alongside@|@obok, wzdłuż@
@aloof@|@na boku, z dala, z daleka@
@aloofness@|@powściągliwość, rezerwa@
@aloud@|@głośno, na głos@
@alp@|@hala (górska), turnia@
@alpaca@|@alpaga, alpaka@
@alpha@|@alfa@
@alphabet@|@abecadło, alfabet@
@alphabetic(al)@|@alfabetyczny@
@Alpine@|@alpejski@
@Alpine combined@|@kombinacja alpejska@
@alpinist@|@alpinista@
@already@|@już, poprzednio, przedtem, uprzednio@
@Alsatian@|@wilczur@
@also@|@również, także, też@
@altar@|@ołtarz@
@altar-piece@|@rzeźba nad ołtarzem@
@alter@|@przemienić, zmienić@
@altercate@|@pokłócić@
@altercation@|@kłótnia, sprzeczka, zwada@
@alternate@|@następować kolejno, zmieniać kolejno@
@alternately@|@kolejno na przemian@
@alternating@|@kolejny, zmienny@
@alternation@|@kolejna zmiana, kolejne następstwo, odmiana, przemiana@
@alternative@|@alternatywa, inny, wybór@
@although@|@chociaż, choć, mimo że@
@altimeter@|@wysokościomierz@
@altitude@|@wysokość@
@alto@|@alt, kontralt@
@altogether@|@całkiem, całkowicie, ogółem, razem, zupełnie@
@altruism@|@altruizm@
@altruist@|@altruista@
@altruistic@|@altruistyczny@
@alum@|@ałun, ałunować@
@aluminium@|@aluminiowy, aluminium@
@alumna@|@wychowanka@
@alumnus@|@wychowanek@
@alveolar@|@dziąsłowy, zębodołowy@
@always@|@ciągle, stale, wciąż, zawsze@
@amalgam@|@amalgamat@
@amalgamate@|@zamalgamować@
@amalgamation@|@fuzja, połączenie@
@amaranth@|@amarant@
@amass@|@gromadzić@
@amateur@|@amator, dyletant@
@amateurish@|@amatorski, dyletancki@
@amateurishness@|@amatorstwo, dyletantyzm@
@amative@|@kochliwy@
@amatory@|@miłosny@
@amaze@|@wprawiać w zdumienie, zdumiewać@
@amazed@|@odłupiały, zdumiony@
@amazement@|@osłupienie, zdumienie@
@amazing@|@zdumiewający@
@Amazon@|@Amazonka@
@ambassador@|@ambasador@
@ambassadress@|@ambasadorowa@
@amber@|@bursztyn@
@ambergris@|@ambra@
@ambidexterous@|@oburęczny, włądający obiema rękami@
@ambient@|@otaczający@
@ambiguity@|@dwuznaczność, niejasność@
@ambiguous@|@dwuznaczny, niejasny@
@ambit@|@obręb, obwód, okręg@
@ambition@|@ambicja@
@ambitious@|@ambitny@
@ambivalent@|@ambiwalentny@
@amble@|@kłus, kłusować, spokojny krok@
@ambrosia@|@ambrozja@
@ambulance@|@ambulans, karetka@
@ambulatory@|@arkady klasztorne, krużganki, wędrowny@
@ambush@|@czaty, zaczaić się, zasadzka@
@ameliorate@|@udoskonalić, ulepszyć@
@amelioration@|@udoskonalenie, ulepszenie@
@amenable@|@odpowiedzialny, podlegajacy, posłuszny@
@amend@|@naprawić, poprawić@
@amendment@|@naprawa, poprawa, poprawka@
@amends@|@odszkodowanie, rekompensata@
@amenity@|@grzeczność, łagodnosć, uprzejmość@
@American@|@Amerykanin, amerykański@
@Americanism@|@amerykanizm@
@Americanize@|@zamerykanizować@
@amethyst@|@ametyst@
@amiability@|@grzeczne słowa, uprzejmość@
@amiable@|@miły, sympatyczny, uprzejmy@
@amicable@|@przyjacielski, przyjazny@
@amid(st)@|@pomiędzy, pośród, wśród@
@amidships@|@w śródokręciu@
@amino acid@|@aminokwas@
@amiss@|@na opak, niefortunnie, niepomyślnie, źle@
@amity@|@dobre stosunki@
@ammeter@|@amperomierz@
@ammonia@|@amoniak@
@ammoniac@|@amoniakalny@
@ammonium@|@amon@
@ammunition@|@amunicja@
@amnesia@|@amnezja, utrata pamięci@
@amnesty@|@amnestia@
@amoeba@|@ameba@
@amok@|@amok@
@among@|@pomiędzy@
@among(st)@|@pomiędzy, pośród, wśród@
@amoral@|@amoralny@
@amorous@|@kochliwy, zakochany@
@amorousness@|@kochliwość@
@amortization@|@zamortyzacja@
@amortize@|@zamortyzować@
@amount@|@ilosć, kwota, liczba, znaczenie@
@amour@|@miłostka, romans@
@ampere@|@amper@
@amphibia@|@gady@
@amphibian@|@amfibia@
@amphibious@|@ziemnowodny@
@amphitheatre@|@amfiteatr@
@amphora@|@amfora@
@amphorous@|@bezpostaciowy, niewyraźny@
@ample@|@dostatni, obfity, obszerny, suty, wystarczający@
@ampleness@|@dostatniość, obfitosć, obszernosć, sutość@
@amplification@|@rozszerzenie, rozwinięcie, wzmocnienie@
@amplifier@|@amplifikator, wzmacniacz@
@amplify@|@rozszerzyć, rozwinać, wzmocnić@
@amplitude@|@amplituda, obfitość@
@ampoule@|@ampułka@
@amputate@|@amputować, odciąć@
@amputation@|@amputacja@
@amuck@|@amok@
@amulet@|@amulet@
@amuse@|@rozerwać, rozweselać, ubawić@
@amusement@|@rozwywka, zabawa@
@amusing@|@zabawny@
@anachronism@|@anachronizm@
@anaemia@|@anemia@
@anaemic@|@anemiczny@
@anaesthesia@|@narkoza@
@anaesthetic@|@narkoza, znieczulajacy@
@anaesthetist@|@anestetysta@
@anaesthetize@|@dawać narkozę, usypiać, uśpić@
@anagram@|@anagram@
@analgesic@|@przeciwbólowy, uśmierzający ból@
@analogical@|@analogiczny@
@analogize@|@objaśniać przez analogię, rozumować przez analogię@
@analogous@|@analogiczny, zbieżny@
@analogy@|@analogia@
@analyse@|@analizować@
@analysis@|@analiza, rozbiór@
@analythical@|@analityczny@
@anamalous@|@nieprawidłowy@
@anarchic(al)@|@anarchiczny@
@anarchism@|@anarchizm@
@anarchist@|@anarchista@
@anarchy@|@anarchia@
@anathema@|@klątwa@
@anathematize@|@rzucić klątwę, wyklnąć@
@anatomic(al)@|@anatomiczny@
@anatomize@|@zanalizować, zbadać, zrobić sekcję@
@anatomy@|@anatomia@
@ancestor@|@przodek@
@ancestral@|@dziedziczny, rodowy@
@ancestry@|@antenaci, przodkowie, ród@
@anchor@|@kotwica, zakorzeniać się@
@anchorage@|@kotwiczne, miejsce zakotwiczenia@
@anchorite@|@anchoreta, odludek, pustelnik@
@anchovy@|@sardela@
@ancient@|@sędziwy, starodawny, starożytny@
@ancillary@|@podrzędny, podwładny@
@and@|@i@
@anecdotal@|@anegdotyczny@
@anecdote@|@anegdota@
@anemometer@|@anemometr, wiatromierz@
@anemone@|@anemon, zawilec@
@aneurism@|@anewryzm, tętniak@
@aneurysm@|@anewryzm, tętniak@
@anew@|@jeszcze raz, na nowo, od nowa, od początku, znowu@
@angel@|@anielski, anioł@
@angelic@|@anielski@
@angelica@|@dzięgiel@
@angelus@|@Anioł Pański@
@anger@|@gniew, zlość@
@angina@|@angina@
@angle@|@haczyk, kąt, łowić na wędkę, punkt widzenia@
@angler@|@rybak, wędkarz@
@Anglican@|@anglikański@
@anglicist@|@anglista@
@angling@|@wędkarstwo@
@anglistics@|@anglistyka@
@anglophile@|@anglofil@
@Anglo-Saxon@|@Anglosas, anglosaski@
@angora@|@angora@
@angrily@|@gniewnie, w gniewie, w złości@
@angry@|@zły@
@anguish@|@boleść, ból, udręczenie, udręka@
@angular@|@kanciasty, kątowy, narożny@
@anhydride@|@bezwodnik@
@aniline@|@anilina@
@animadversion@|@krytyka@
@animadvert@|@krytykować@
@animal@|@zwierzę, zwierzęcy@
@animalcula@|@drobnoustroje@
@animalism@|@zwierzęcość@
@animate@|@ożywiać, ożywiony, pobudzać, żywy@
@animated@|@ożywiony@
@animation@|@animacja, ożywienie@
@animosity@|@animozja, uraza@
@anise@|@anyż@
@aniseed@|@anyż (nasienie)@
@ankle@|@kostka@
@annalist@|@kronikarz@
@annals@|@kronika@
@annex@|@aneks, dołączyć, łączyć, zaaneksować@
@annexation@|@aneksja@
@annihilate@|@anihilować, zniszczyć, zniweczyć@
@annihilation@|@anihilacja, unicestwienie, zniszczenie@
@anniversary@|@rocznica@
@Anno Domini@|@Roku Pańskiego@
@annotate@|@zaopatrzyć@
@annotation@|@adnotacja, przypis@
@announce@|@ogłosić, zapowiedzieć, zawiadomić@
@announcement@|@ogłoszenie, zapowiedź, zawiadomienie@
@announcer@|@konfenansjer@
@annoy@|@dokuczać, dokuczyć, naprzykrzać się, niepokoić@
@annoyance@|@dokuczanie, kłopot, przykrość, zmartwienie@
@annoyed@|@strapiony, zirytowany@
@annoying@|@dokuczliwy, irytujący, przykry@
@annual@|@coroczny, doroczny, roczny@
@annuitant@|@rencista@
@annuity@|@dożywocie, renta@
@annul@|@anulować, skasować, unieważnić@
@annulment@|@anulowanie, skasowanie, unieważnienie@
@Annunciation@|@Zwiastowanie@
@anode@|@anoda@
@anoint@|@namaścić@
@anomaly@|@anomalia, nieprawodłowość@
@anon@|@niebawem@
@anonym@|@anonim@
@anonymity@|@anonimowość@
@anonymous@|@anonimowy@
@another@|@inny, jeszcze jeden, kolejny@
@answer@|@odpowiadać, odpowiedź, rozwiązanie@
@answerable@|@odpowiedzialny@
@ant@|@mrówka@
@antagonism@|@antagonizm@
@antagonist@|@oponent, przeciwnik@
@antagonistic@|@antagonistyczny, nieprzyjazny, wrogi@
@antagonize@|@sprzeciwiać się, wzbudzać wrogość@
@antarctic@|@antarktyczny@
@ante meridiem@|@przed południem, rano@
@ant-eater@|@mrówkojad@
@antecedent@|@poprzedni, uprzedni@
@antecenence@|@pierwszeństwo, starszeństwo@
@antechamber@|@poczekalnia, przedpokój@
@antedate@|@antydatować@
@antediluvian@|@przedpotopowy@
@antelope@|@antylopa@
@antemeridian@|@przedpołudniowy@
@antenna@|@antena, czułek, macka@
@anterior@|@poprzedni, uprzedni, wcześniejszy@
@anteriority@|@pierwszeństwo@
@anteroom@|@poczekalnia, przedpokój@
@anthem@|@hymn@
@ant-hill@|@mrowisko@
@anthology@|@antologia@
@anthracite@|@antracyt@
@anthropological@|@antropologiczny@
@anthropology@|@antropologia@
@anthropophagi@|@ludożercy@
@anti-aircraft@|@przeciwlotniczy@
@antibiotic@|@antybiotyk@
@anticipate@|@oczekiwać, przewidzieć, uprzedzić, wyprzedzić@
@anticipation@|@oczekiwanie, przewidywanie, wyprzedzenie@
@anticipatory@|@wyczekiwania, wyczekujący@
@anticlerical@|@antyklerykalny@
@anticlimax@|@rozczarowanie, zawód@
@antidote@|@antidotum, odtrutka@
@antimacassar@|@pokrowiec (na meble)@
@antimony@|@antymon@
@antinomy@|@antynomia, sprzeczność@
@antipathy@|@antypatia, niechęć@
@antipodes@|@antypody@
@antipoison@|@odtrutka@
@antiquarian@|@antykwarski@
@antiquary@|@antykwariusz, zbieracz antyków@
@antiquated@|@przestarzały, staroświecki@
@antique@|@antyczny, antyk, starożytny, zabytek@
@antiquity@|@starożytność@
@antirrhinum@|@lwia paszcza@
@anti-Semitism@|@antysemityzm@
@antiseptic@|@antyseptyczny@
@anti-tank@|@przeciwczołgowy, przeciwpancerny@
@antithesis@|@antyteza@
@antitoxic@|@antytoksyczny@
@antitoxin@|@antytoksyna@
@antler@|@róg jeleni@
@antonym@|@antonim, przeciwieństwo@
@antypyrin(e)@|@antypiryna@
@anus@|@odbytnica@
@anvil@|@kowadełko, kowadło@
@anxiety@|@niepokój, obawa, trwoga@
@anxious@|@niepokojący, niespokojny, pragnący@
@anxiously@|@a niepokojem, z lękiem, z obawą, z trwogą@
@any@|@jakikolwiek, jakiś, każdy, którykolwiek@
@anybody@|@ktokolwiek, ktoś@
@anyhow@|@byle jak, w każdym razie@
@anyone@|@ktokolwiek, ktoś@
@anything@|@cokolwiek, coś@
@anyway@|@byle jak, w każdym razie@
@anywhere@|@byle gdzie, gdziekolwiek, nigdzie@
@anywise@|@jakkolwiek, jakoś, w jakikolwiek sposób@
@aorta@|@aorta@
@apache@|@apasz, chuligan@
@Apache@|@Apacz@
@apart@|@na boku, od siebie, osobno@
@apartment@|@apartament, mieszkanie, pokój@
@apathetic@|@apatyczny@
@apathy@|@apatia@
@ape@|@małpa@
@aperient@|@środek przeczyszczający@
@aperture@|@otwór, szczelina@
@apex@|@szczyt, wierzchołek@
@aphis@|@mszyca@
@aphorism@|@aforyzm@
@apiarist@|@pszczelarz@
@apiary@|@pasieka@
@apices@|@szczyt, wierzchołek@
@apiculture@|@przczelarstwo@
@apiece@|@na osobę, po, za sztukę@
@apish@|@małpi@
@apishness@|@małpowanie@
@apocalypse@|@apokalipsa@
@apogee@|@apogeum, punkt kulminacyjny@
@apologetic@|@pokorny, przepraszający, skruszony@
@apologise@|@przepraszać@
@apologize@|@przeprosić@
@apology@|@przeprosiny, przeproszenie, zadośćuczynienie@
@apopletic@|@apoplektyczny@
@apoplexy@|@apopleksja, udar@
@apostate@|@apostata, odstępca@
@apostolic(al)@|@apostolski@
@apostrophe@|@apostrof, apostrofa@
@apothecary@|@aptekarz@
@apotheoses@|@apoteoza@
@apotheosis@|@apoteoza@
@appal@|@przerazić, zatrwożyć@
@appaling@|@przerażający, zatrważający@
@apparel@|@strój, szaty@
@apparent@|@jawny, oczywisty, widoczny@
@apparently@|@najwidoczniej, najwyraźniej, widocznie@
@apparition@|@duch, ukazanie się, widmo, zjawa@
@apparitor@|@woźny@
@appartus@|@aparat, narząd, organ, przyrząd@
@appeal@|@apel, odwoływać się, spodobać się, urok@
@appealing@|@błagalny, pociągający@
@appear@|@okazywać się, ukazać się, wydawać się@
@appearance@|@powierzchowność, wygląd, zjawianie się@
@appease@|@uciszyć, ukoić, uspokoić, zaspokoić@
@appeasement@|@uciszenie, udobruchanie, zaspokojenie, złagodzenie@
@appellation@|@nazwa, określenie, termin@
@append@|@dodawać, dołączyć@
@appendix@|@ślepa kiszka, wyrostek robaczkowy@
@apperception@|@percepcja, postrzeganie@
@appertain@|@być stosownym, należeć@
@appetite@|@apetyt, żądza@
@appetizing@|@apetyczny, smakowity@
@applaud@|@bić brawo, klaskać, oklaskiwać@
@applause@|@aplauz, aprobata, oklaski, pochwała@
@apple@|@jabłko@
@apple tree@|@jabloń@
@apple-pie@|@szarlotka@
@apple-tree@|@jabłoń@
@appliance@|@akcesoria, przybory, przyrząd, urządzenie@
@applicable@|@dający sie zastosować, odpowiedni@
@applicant@|@kandydat, zgłaszajacy się@
@application@|@podanie, prośba, przyłożenie, zastosowanie@
@applied@|@stosowany@
@apply@|@posmarować, przyłożyć, zastosować@
@apply to@|@dotyczyć@
@appoint@|@mianować, wyznaczyć, zarządzić@
@appointed@|@urządzony, ustalony, uzgodniony, wyznaczony@
@appointment@|@mianowanie, randka, umówiony termin, wyznaczenie@
@apportion@|@podzielić, rozłożyć, wyznaczyc@
@apportionment@|@podział, rozłożenie@
@apposite@|@stosowny, trafny, właściwy@
@appositeness@|@stosowność, trafność@
@appraisal@|@ocena, oszacowanie@
@appraise@|@ocenić, oszacować@
@appraisement@|@ocena, oszacowanie@
@appreciable@|@dostrzegalny, pokaźny, znaczny@
@appreciate@|@docenić, ocenić, oszacować, podwyższyć wartość@
@appreciation@|@ocena, oszacowanie, podwyżka (wartości), uznanie@
@appreciative@|@doceniający@
@apprehend@|@aresztować, przytrzymać, uchwycić sens, zrozumieć@
@apprehensible@|@dostrzegalny@
@apprehension@|@aresztowanie, przytrzymanie, zrozumienie@
@apprehensive@|@lękliwy, spostrzegawczy@
@apprentice@|@terminator, uczeń@
@apprenticeship@|@nauka rzemiosła, praktyka, termin@
@apprise@|@powiadomić@
@approach@|@podejście, zbliżyć się@
@approachable@|@dostępny, przystępny@
@approbation@|@aprobata, pochwała@
@appropriate@|@odpowiedni, stosowny, właściwy@
@appropriateness@|@odpowiedniość, stosowność@
@appropriation@|@przeznaczenie, przywłaszczenie@
@approval@|@aprobata, pochwała, zatwierdzenie@
@approve@|@pochwalić, zatwierdzić@
@approvingly@|@na znak aprobaty, z aprobatą@
@approximate@|@przybliżony, zbliżony, zbliżyć@
@approximately@|@około, w przybliżeniu@
@approximation@|@bliskość@
@approximative@|@przybliżony@
@appurtenant@|@przynależny, zależny@
@apricot@|@morela@
@apricot-tree@|@morela (drzewo)@
@April@|@kwiecień@
@April-fool-day@|@prima aprilis@
@apron@|@fartuch@
@aproned@|@w fartuchu@
@apropos@|@odnośnie, stosowny, trafność, trafny@
@apse@|@apsyda@
@apt@|@skłonny, szczęśliwie dobrany, trafny, uzdolniony@
@aptitute@|@uzdolnienie@
@aptly@|@stosownie, trafnie, zgrabnie, zręcznie@
@aptness@|@sklonność, stosownosć, trafność, uzdolnienie@
@aquarium@|@akwarium@
@aquatic@|@wodny@
@aqueous@|@wodnisty, wodny@
@Arab@|@Arab, arab (koń)@
@arabesque@|@arabeska@
@Arabic@|@arabski, język arabski@
@arable@|@orny@
@arachnid@|@pajęczak@
@arbiter@|@arbiter, sędzia@
@arbitral@|@arbitrażowny, polubowny@
@arbitrary@|@arbitralny, samowolny@
@arbitrate@|@być sędzią, rozsądzać, rozstrzygać, sądzić@
@arbitration@|@arbitraż@
@arbitrator@|@arbiter, sędzia rozjemca@
@arbor@|@altanka, maszyny@
@arboreal@|@drzewny@
@arborescent@|@drzewiasty, rozgałęziony@
@arboriculture@|@uprawa drzew@
@arbour@|@altana@
@arc@|@łuk@
@arcade@|@arkada@
@arch@|@archi-, arcy-, figlarny, łuk, sklepienie łukowe@
@archaeologic(al)@|@archeologiczny@
@archaeologist@|@archeolog@
@archaeology@|@archeologia@
@archaic@|@archaiczny@
@archaism@|@archaizm@
@archangel@|@archanioł@
@archbishop@|@arcybiskup@
@archduchess@|@arcyksiężna@
@archduke@|@arcyksiążę@
@archer@|@łucznik@
@archery@|@łucznictwo@
@archetype@|@pierwowzór, prototyp@
@archipelago@|@archipelag@
@architect@|@architekt, budowniczy, twórca@
@architecture@|@architektura@
@archives@|@archiwa, archiwum@
@archivist@|@archiwista@
@archly@|@figlarnie@
@archway@|@brama, sklepione przejście@
@arctic@|@arktyczny@
@ardent@|@gorejący, płonący, żarliwy@
@ardour@|@gorliwość, ogień, zapał, żar@
@arduous@|@ciężki, żmudny@
@arduousness@|@uciążliwość, żmudność@
@are@|@są@
@area@|@obszar, okolica, powierzchnia, teren@
@arena@|@arena, dziedzina@
@argentine@|@srebrny, srebrzysty@
@Argentinean@|@Argentyńczyk, argentyński@
@argillaceous@|@gliniasty@
@argon@|@argon@
@arguable@|@sporny@
@argue@|@dowodzić, dyskutować, przekonywać@
@argument@|@argument, debata, dowód, spór@
@argumentation@|@argumentowanie, dowodzenie@
@argumentative@|@lubiący dyskutować, przemyślany, rzeczowy@
@aria@|@aria@
@arid@|@jałowy, spieczony, wypalony@
@aridity@|@brak wody, jałowość@
@Aries@|@Baran (zodiak)@
@aright@|@dobrze, poprawnie, właściwie@
@arise@|@pojawić się, powstać, wyniknąć@
@aristocracy@|@arystokracja@
@aristocrat@|@arystokrata@
@aristocratic@|@arystokratyczny@
@arithmetic@|@arytmenyka@
@arithmetic(al)@|@arytmetyczny@
@ark@|@arka@
@arm@|@broń, herb, konar, odnoga, poręcz, ramię, ręka@
@armament@|@uzbrojenie, zbrojenia@
@armature@|@armatura, pancerz, uzbrojenie@
@armchair@|@fotel, krzesło@
@armed@|@uzbrojony, zbrojny@
@armful@|@naręcznie@
@armhole@|@pacha@
@armistice@|@rozejm, zawieszenie broni@
@armlet@|@opaska@
@armor@|@zbroja@
@armorial@|@herbowy@
@armorial bearings@|@herb, herbarz@
@armour@|@opancerzenie, pancerz, zbroja@
@armour-bearer@|@giermek@
@armoured@|@opancerzony@
@armoured train@|@pociąg pancerny@
@armourer@|@płatnerz, zbrojmistrz@
@armour-plating@|@opancerzenie@
@armoury@|@fabryka broni, zbrojownia@
@armpit@|@pacha@
@arms@|@broń@
@army@|@armia@
@Army@|@Wojsko@
@aroma@|@aromat, woń, zapach@
@aromatic@|@aromatyczny@
@around@|@dokoła, dookoła, naokoło, wkoło, wokoło@
@arouse@|@obudzić, przebudzić@
@arrack@|@arak@
@arraign@|@postawić w stan oskarżenia, skrytykować@
@arraignment@|@napaść, ostra krytyka@
@arrange@|@rozmieścić, ułożyć, ustawić, zaplanować@
@arrangement@|@porządek, rozmieszczenie, ustawienie. układ@
@arras@|@gobelin@
@array@|@szyk@
@arrear@|@zaległość@
@arrest@|@areszt, aresztować, wstrzymać, zatrzymać@
@arresting@|@frapujący, przyciągający uwagę@
@arrival@|@nadejście, przybycie, przyjazd@
@arrive@|@przybyć, przyjechać, przyjść@
@arrogance@|@arogancja@
@arrogant@|@hardy@
@arrogate@|@rościć prawo@
@arrogation@|@roszczenie praw@
@arrow@|@strzała@
@arrow-head@|@grot, ostrze (strzały)@
@arrythmia@|@arytmia@
@arrythmy@|@arytmia@
@arse@|@dupa, tyłek@
@arsenal@|@arsenał, zbrojownia@
@arsenic@|@arsen, arsenowy@
@arson@|@podpalenie@
@art@|@jesteś (archaizm), sztuka@
@arterial@|@tętnicowy, tętniczy@
@artery@|@arteria, tętnica@
@artesian@|@artezyjski@
@artful@|@chytry, pomysłowy, przebiegły, zręczny@
@artfulness@|@chytrość, pomysłowość, przebiegłość, zręcznosć@
@arthritic@|@artretyczny@
@arthritis@|@artretyzm@
@artichoke@|@karczoch@
@article@|@artykuł, przedmiot@
@articulate@|@artykułować, artykułowany, wyraźny@
@articulation@|@artykulacja@
@artifice@|@fortel, podstęp, sztuczka@
@artificer@|@rzemieślnik, sprawca, twórca, wynalazca@
@artificial@|@symulowany, sztuczny@
@artificiality@|@sztuczność@
@artillery@|@artyleria@
@artillery-man@|@artylerzysta@
@artisan@|@rzemieślnik@
@artist@|@artysta@
@artiste@|@artysta (estradowy)@
@artistic@|@artystyczny@
@artistry@|@mistrzostwo, sztuka@
@artless@|@naturalny, szczery@
@artlessness@|@naturalnosć, szczerość@
@Aryan@|@Aryjczyk, aryjski@
@as@|@gdy, jak, równie@
@as soon as@|@jak tylko@
@asbestos@|@azbest@
@ascend@|@podnosić, wstępować (np. na tron), wznosić@
@ascendancy@|@panowanie, przewaga, wpływ@
@ascendant@|@panujący, wschodzący@
@ascendency@|@panowanie, przewaga, wpływ@
@ascendent@|@panujący, wschodzący@
@ascension@|@podniesienie, wschodzenie@
@Ascension Day@|@Wniebowstąpienie@
@ascent@|@wchodzenie, wspinanie się@
@ascertain@|@stwierdzić, upewnić się@
@ascertainment@|@stwierdzenie, upewnienie się@
@ascetic@|@asceta, ascetyczny@
@asceticism@|@asceza@
@ascorbic@|@askorbinowy@
@ascribe@|@przypisywać@
@ascription@|@przypisywanie@
@aseptic@|@aseptyczny@
@asexual@|@bezpłciowy@
@ash@|@jesion, popiół@
@ashamed@|@zawstydzony@
@ash-bin@|@skrzynia na popiół@
@ashen@|@jesionowy, popielaty@
@ashore@|@na brzeg, na lad@
@ashtray@|@popielniczka@
@ash-tray@|@popielniczka@
@Ash-Wednesday@|@Popielec, Środa Popielcowa@
@ashy@|@szary@
@Asia@|@Azja@
@Asian@|@Azjata, azjatycki@
@aside@|@na bok, na boku, na uboczu@
@asinine@|@głupi, idiotyczny@
@ask@|@poprosić, zaprosić, zapytać@
@askance@|@ukośnie, z boku@
@askew@|@krzywo@
@aslant@|@na ukos, ukośnie@
@asleep@|@pogrążony w śnie, śpiący@
@aslope@|@pochyło, pochyły@
@asp@|@osika, żmija@
@asparagus@|@szparag@
@aspect@|@aspekt, mina, wygląd@
@aspen@|@osika, osikowy@
@asperity@|@chropowatość, ostrość. szorstkość@
@aspersion@|@obmowa, oszczerstwo@
@asphalt@|@asfalt, wyasfaltować@
@asphyxia@|@uduszenie się@
@aspirant@|@aspirant, kandydat, starający się@
@aspirate@|@aspirować, wdychać@
@aspiration@|@aspiracja, dążenie, wdychanie@
@aspirator@|@aspirator, pochłaniacz@
@aspire@|@mieć aspiracje@
@aspirin@|@aspiryna@
@aspostle@|@apostoł, orędownik, wyznawca@
@ass@|@dupa, osioł, tyłek, tyłek@
@assail@|@atakwoać, napadać, zasypywać@
@assailant@|@napastnik@
@assassin@|@morderca, zabójca, zamachowiec@
@assassinate@|@dokonać zamachu, zamordować@
@assassination@|@morderstwo, zamach@
@assault@|@atak, napaść@
@assay@|@próba, spróbować@
@assegai@|@dzida, włócznia@
@assemblage@|@nagromadzenie, zgromadzenie, zmontowanie@
@assemble@|@zebrać, zgromadzić, złożyć, zmontować@
@assembly@|@agromadzenie, apel, montaż, zbiórka, zebranie@
@assent@|@usankcjonować, wyrzić zgodę, zatwierdzenie@
@assert@|@twierdzić, utrzymywać, zapewniać@
@assertion@|@twierdzenie, zapewnienie@
@assertive@|@stanowczy@
@assess@|@nałożyć, oszacować, wymierzyć@
@assessment@|@opodatkowanie, oszacowanie, wymierzenie@
@assessor@|@taksator@
@assets@|@aktywa@
@asseverate@|@oświadczyć, zapewnić@
@asseveration@|@oświadczenie, zapewnienie@
@assiduity@|@pracowitość, wysiłki, wytrwałość@
@assiduous@|@pilny, pracowity, wytrwały@
@assign@|@przydzielić, wydzielić, wyznaczyć@
@assignation@|@przydział, wydzielenie, wyznaczenie@
@assimilate@|@przswoić, zasymilować@
@assimilation@|@asymilacja, przyswojenie@
@assist@|@pomagać, wspierać@
@assistance@|@pomoc@
@assistant@|@pomocnik, zastępca@
@assize@|@sąd przysięgłych@
@associate@|@dołaczyć, towarzysz, współpracownik@
@association@|@połaczenie, skojarzenie, stowarzyszenie, związek@
@assonance@|@asonans@
@assort@|@dobierać, klasyfikować@
@assortment@|@asortyment, dobór, wybór@
@assuage@|@łagodzić, uspokajać, uśmierzać@
@assuagement@|@uspokojenie, uśmierzenie, złagodzenie@
@assumable@|@przypuszczalny@
@assume@|@przyjmować, przypuszczać@
@assuming@|@zarozumiały@
@assumption@|@przybranie, przypuszczenie, założenie@
@assurance@|@pewność, upewnienie, zapewnienie@
@assure@|@ubezpieczyć, zabezpieczyć, zapewnić@
@assuredly@|@niezawodnie, zapewne@
@assymetry@|@asymetria@
@aster@|@aster@
@asterisk@|@gwiazdka@
@astern@|@na rufie, z tyłu@
@asthma@|@astma@
@astigmatism@|@astygmatyzm@
@astir@|@ożywiony, podniecony, w ruchu@
@astonish@|@zadziwiać@
@astonishing@|@zadziwiający@
@astonishment@|@zdziwienie@
@astound@|@zdumiewać@
@astounding@|@zdumiewający@
@astraddle@|@okrakiem@
@astrakhan@|@karakuł@
@astral@|@astralny@
@astray@|@zabłąkać się, zaginąć@
@astride@|@okrakiem@
@astringent@|@środek ściągajacy@
@astrologer@|@astrolog@
@astrologic(al)@|@astrologiczny@
@astrology@|@astrologia@
@astronomer@|@astronom@
@astronomic(al)@|@astronomiczny@
@astronomy@|@astronomia@
@astute@|@bystry, przebiegły, wnikliwy@
