@English@|@Portuguese@
@culminate@|@culminar (v.)@
@culprit@|@culpado@
@cultivate@|@cultivar (v.), cultive, granjear (v.), lavrar (v.)@
@culture@|@cultura@
@cup@|@chávena, copo, xícara@
@cupboard@|@armário@
@cupola@|@cúpula@
@cure@|@cura, curar (v.), sanar (v.)@
@curiosity@|@curiosidade@
@curious@|@curioso@
@curl@|@caracol, onda@
@curls@|@caracóis (pl.)@
@currant@|@passa de Corinto@
@currency@|@moeda corrente@
@current@|@atual, corrente@
@currently@|@atualmente@
@curry@|@caril@
@curse@|@amaldiçoar (v.), maldizer (v.)@
@curtain@|@cortina@
@curvature@|@curvatura@
@curve@|@curva, curvar (v.), volta@
@cushion@|@amortecer (v.), coxim@
@custom@|@costume, moda@
@customary@|@habitual@
@customer@|@cliente, freguês@
@custom-house@|@alfândega@
@customize@|@adaptar (v.), personalizar (v.)@
@customs@|@costumes@
@cut@|@cortar (v.), corte, golpear (v. t.), recortar (v.), talhar (v.)@
@cut (diamonds)@|@abrilhantar (v. t.)@
@cut off@|@decotar (v.)@
@cut short@|@atalhar (v.)@
@cut with a scythe@|@ceifar (v.)@
@cutlet@|@costeleta, costoleta@
@cybernetics@|@cibernética@
@cycle@|@bicicleta, ciclo@
@cycle-bag@|@ciclo-saco@
@cylinder@|@cilindro@
@cynical@|@cínico@
@cypress@|@cipreste@
@Cyprus@|@Chipre@
@Czechoslovakia@|@Checoslovaquia, Checoslováquia@
@daily@|@diáriamente, diário@
@dainty@|@guloseima@
@dairy@|@leitaria, leiteria@
@Dakar@|@Dacar@
@dam@|@represa@
@damage@|@avariar (v.), danificar (v.), os danos@
@Damascus@|@Damasco@
@damn@|@nada@
@damp@|@umidade@
@dampen@|@umedeça@
@dance@|@dança, dançar (v.)@
@Dane@|@Dinamarquês@
@danger@|@perigo@
@dangerous@|@perigoso@
@Danish@|@Dinamarquês@
@Danube@|@Danúbio@
@dare@|@abalançar (v. t. r.), desafio, ousar (v.)@
@daring@|@audaz@
@dark@|@escuro@
@darken@|@escureça@
@darkness@|@escuridão@
@darling@|@querido@
@data@|@dados@
@date@|@data, datar (v.), tâmara@
@date-palm@|@data-palma@
@daughter@|@filha@
@dawn@|@alvorecer (v.), amanhecer (v.), manhã (f.)@
@day@|@dia (m.)@
@day before yesterday@|@anteontem@
@daybreak@|@aurora@
@daylight@|@luz do dia@
@day-ticket@|@dia-bilhete@
@daytime@|@dia (m.)@
@dazzle@|@deslumbrar (v. t.)@
@deacon@|@diácono@
@dead@|@inoperante@
@deaden@|@entorpecer (v. t.)@
@deadly@|@mortal@
@deaf@|@surdo@
@deafen@|@ensurdecer (v.)@
@deal@|@negócio@
@dean@|@decano@
@dear@|@caro, querido@
@death@|@morte@
@debase (US)@|@rebaixar (v. t.)@
@debatable@|@discutível@
@debate@|@debater (v.)@
@debilitate@|@debilitar (v.)@
@debit@|@debitar (v.), débito@
@debris@|@restos@
@debt@|@débito@
@decade@|@década@
@decant@|@decantar (v.)@
@decapitate@|@decapitar (v.)@
@decay@|@decair (v.), deterioração, deteriorar (v.)@
@deceit@|@fraude (f.)@
@deceive@|@iluda@
@decelerate@|@desacelerar (v.)@
@December@|@Dezembro@
@decentralize@|@descentralizar (v.), desconcentrar (v. t.)@
@decide@|@arbitrar (v.), decida, decidir (v.), determinar (v.), julgar (v.), resolver (v.)@
@decipher@|@decifração, decifrar (v.)@
@decision@|@decisão@
@deck@|@coberta, plataforma@
@declaim@|@declamar (v.)@
@declaration@|@declaração@
@declare@|@declarar (v.)@
@decline@|@declinar (v.), declínio, degenerar (v. i.)@
@decoction@|@decocção@
@decode@|@decodificar (v.), descodifique@
@decompose@|@decompor (v.)@
@decongest@|@descongestionar (v. t. r.)@
@decorate@|@adornar (v.), aformosear (v.), condecorar (v.), decorar (v.), decore, enfeitar (v.), ornamentar (v.), ornar (v.)@
@decorate candy@|@confeitar (v.)@
@decoration@|@decoração@
@decrease@|@decrescer (v.), diminuição@
@decree@|@decretar (v.)@
@decry@|@rebaixar (v. t. r.)@
@dedicate@|@dedicar (v.)@
@deduce@|@deduza, deduzir (v.)@
@deduct@|@deduza, descontar (v.)@
@deem@|@acreditar (v.), crer (v.), julgue@
@deep@|@profundamente@
@deer@|@cervos@
@defame@|@difamar (v.)@
@defeat@|@derrota, derrotar (v.)@
@defecate@|@evacuar (v.)@
@defective@|@imperfeito@
@defence (UK)@|@defesa@
@defend@|@defenda, defender (v.)@
@defendant@|@réu@
@defense (US)@|@defesa@
@define@|@definir (v.)@
@definite@|@definitivo@
@definitely@|@definitivamente@
@definition@|@definição@
@deflect@|@afastar (v. t.), repercutir (v. t.)@
@deflection@|@volta@
@deform@|@deformar (v.)@
@defraud@|@defraudar (v. t.), fraudar (v. t.)@
@defray@|@custear (v.)@
@defrost@|@descongelar (v.)@
@defy@|@desafiar (v.)@
@degenerate@|@degenerar (v. i.)@
@degrade@|@degradar (v.)@
@degree@|@grau@
@dehydrate@|@desidratar (v.)@
@delay@|@alongar (v. t.), atraso, demora, demorar (v.), espera, postergar (v.), retardar (v. t.), tardar (v.)@
@delegate@|@delegado, delegar (v.)@
@delete@|@apagar (v.), supressão@
@Delhi@|@Deli@
@deliberately@|@deliberadamente@
@delicate@|@delicado@
@delicious@|@delicioso@
@delight@|@deleitar (v.), prazer (m.)@
@delightful@|@delicioso@
@delimit@|@delimitar (v.), divisar (v.)@
@delineate@|@delinear (v.)@
@deliver@|@entregar (v.)@
@delivery@|@entrega@
@delude@|@iludir (v.)@
@demand@|@demanda, demandar (v.), exigir (v.), pedir (v. t.), reivindicar (v.)@
@democracy@|@democracia@
@democrat@|@democrata@
@democratic@|@democrático@
@demolish@|@demolir (v.)@
@demonstrate@|@demonstrar (v. t.), demonstre@
@demonstration@|@demonstração@
@demonstrative@|@demonstrativo@
@demoralize@|@desmoralizar (v.)@
@den@|@ninho@
@denaturalize@|@desnaturalizar (v. t.)@
@denigrate@|@denegrir (v.)@
@Denmark@|@Dinamarca@
@denominate@|@intitular (v. t. r.)@
@denote@|@denotar (v.)@
@denounce@|@denunciar (v.)@
@dense@|@denso@
@dentist@|@dentista@
@deny@|@desautorizar (v. t. r.), negar (v.), negue@
@deodorize@|@desodorizar (v.)@
@depart@|@abalar (v.), ir (v. i.), parta, partir (v. t.)@
@department@|@departamento, dpto.@
@departure@|@partida@
@depend@|@dependa, depender (v.)@
@dependence@|@dependência@
@dependent@|@dependente@
@depict@|@descreva@
@depilate@|@depilar (v.)@
@deplete@|@esgotar (v. t.)@
@deplore@|@deplorar (v.)@
@deplume@|@desplumar (v.)@
@depopulate@|@despovoar (v.)@
@deport@|@deportar (v.)@
@deportment@|@comportamento, conduta@
@deposit@|@consignar (v.), depositar (v.), depósito, pôr@
@deprave@|@depravar (v.)@
@depreciate@|@depreciar (v.), rebaixar (v. t.)@
@depredate@|@depredar (v.)@
@depress@|@acabrunhar (v. t. r.), acanhar (v. t. i. r.)@
@deprive@|@desprover (v.), privar (v.)@
@deprive of (rights)@|@defraudar (v. t.)@
@deprive of a support@|@desencostar (v.)@
@deprive of grace@|@desengraçar (v.)@
@deprive of hope@|@desesperançar (v.)@
@deprive of shelter@|@desagasalhar (v. t. r.)@
@depth@|@profundidade@
@depute@|@delegue@
@deputy@|@deputado@
@derail@|@descarrilar (v.)@
@derivation@|@derivação@
@derive@|@derivar (v.)@
@descend@|@baixar (v. t. r.), desça, descender (v.), descer (v.), vir (v.)@
@descent@|@descida@
@describe@|@descreva, descrever (v.)@
@description@|@descrição@
@descry@|@ver (v. t. i. r.)@
@desensitize@|@dessensibilizar (v. t.)@
@desert@|@desertar (v.), deserto@
@deserve@|@merecer (v.)@
@deserving@|@digno@
@desiccate@|@dessecar (v. t.)@
@design@|@planificar (v.), projeto@
@designate@|@assinalar (v.), intitular (v. t. r.)@
@desire@|@anseio, desejar (v.), desejo, querer (v.)@
@desist@|@acuar (v. i.)@
@desk@|@escritório, mesa@
@desolate@|@desolado, desolar (v.)@
@despair@|@desesperar (v.), desespero@
@desperate@|@desesperado@
@despite@|@apesar de (prep.), despeito@
@destine@|@destinar (v.)@
@destroy@|@destrua, destruir (v.)@
@destruction@|@destruição@
@detach@|@desligar (v.), destacar (v.)@
@detachable@|@destacável@
@detachment@|@destacamento@
@detail@|@detalhar (v.), detalhe, pormenorizar (v.)@
@detain@|@deter (v. t.)@
@detect@|@detectar (v.), surpreender (v. t.)@
@detective@|@detetive@
@deter@|@deter (v. t.)@
@detergent@|@detergente@
@deteriorate@|@deteriorar (v.)@
@determine@|@determinar (v.)@
@deterrent@|@impedimento@
@detonate@|@detonar (v.)@
@detoxify@|@desintoxicar (v.)@
@detrimentally@|@prejudicial@
@develop@|@desenvolver (v.), incrementar (v.), torne@
@development@|@desenvolvimento@
@deviate@|@afastar (v. t.), desviar (v.)@
@device@|@aparelho, dispositivo@
@devil@|@diabo@
@devoted@|@devotado@
@dew@|@orvalho@
@diagnose@|@diagnosticar (v. t.)@
@diagram@|@diagrama@
@dial@|@seletor@
@dialog@|@diálogo@
@dialogue@|@dialogar (v.), diálogo@
@diameter@|@diâmetro@
@diamond@|@diamante@
@diary@|@diário@
@dice@|@dados@
@dictate@|@ordem@
@dictator@|@ditador@
@dictionary@|@dicionário@
@die@|@dado, morrer (v.)@
@diet@|@dieta@
@dietary@|@dietético@
@differ@|@diferir (v.), difira@
@difference@|@diferença@
@different@|@diferente@
@differentiate@|@diferenciar (v.), diferencie@
@differently@|@diferentemente@
@difficult@|@difícil@
@difficulty@|@dificuldade@
@dig@|@cavar (v.), escavação, revolver (v.)@
@digest@|@digerir (v.), sumário@
@digestion@|@digestão@
@digit@|@dígito@
@dignity@|@dignidade@
@dilapidated@|@dilapidado@
@diligent@|@aplicado@
@dilute@|@diluído@
@dim@|@não ofuscante, ofuscar (v.)@
@dimension@|@dimensão@
@diminish@|@diminua@
@diminutive@|@pequeno@
@din@|@ruído@
@dine@|@jantar (v.)@
@dinner@|@almoço, jantar (m.)@
@dip@|@banhar (v. t. r.), imergir (v. t. i.), mergulho@
@dip in grease@|@untar (v.)@
@diplomat@|@diplomata@
@direct@|@direto, dirigir (v.), encaminhar (v.)@
@direction@|@direção, direcção, sentido@
@directions@|@sentidos@
@directly@|@diretamente@
@director@|@director, diretor@
@directory@|@diretório@
@dirty@|@sujar (v.), sujo (adj.)@
@disaccustom@|@descostumar (v.)@
@disadvantage@|@desvantagem@
@disadvantageous@|@desvantajoso@
@disappear@|@desapareça, desaparecer (v.)@
@disappoint@|@decepcionar (v.), decepcione@
@disappointment@|@desapontamento@
@disapproval@|@desaprovação@
@disapprove@|@desaprovar (v.)@
@disarm@|@desarmar (v.), desarme@
@disarrange@|@desarrumar (v.)@
@disassemble@|@desmontar (v.)@
@disbelieve@|@descrer (v.)@
@disc@|@disco@
@discard@|@descartar (v.), descarte@
@discern@|@conhencer (v.), ver (v. t. i. r.)@
@discharge@|@descarga, desembocar (v.)@
@discipline@|@disciplina, disciplinar (v.)@
@disclose@|@revelar (v.)@
@discolor@|@descolorar (v.)@
@discompose@|@descompor (v.)@
@disconcert@|@desconcertar (v.)@
@disconnect@|@desligar (v.)@
@discontent@|@descontentar (v.)@
@discontinue@|@descontinuar (v.)@
@discount@|@disconto, rebater (v. t.)@
@discourage@|@desanime, desencorajar (v.)@
@discourse@|@discorrer (v.), oração@
@discover@|@achar (v.), descobrir (v.), descubra@
@discovery@|@descoberta, descobrimento@
@discredit@|@desacreditar (v.), desprestigiar (v.)@
@discrete@|@discreto@
@discrimination@|@discriminação@
@discuss@|@discuta@
@discussion@|@discussão@
@disdain@|@desdenhar (v.), desprezar (v.)@
@disease@|@doença@
@disembark@|@desembarcar (v.)@
@disenchant@|@desencantar (v.)@
@disencumber@|@desatravancar (v.)@
@disengage@|@desligar (v.)@
@disentangle@|@desembaraçar (v.)@
@disentangle (fig.)@|@desentalar (v. t.)@
@disfavor@|@desfavorecer (v.)@
@disfigure@|@desajeitar (v.), desfigurar (v.)@
@disgust@|@aversão, repugnar (v. t. i.)@
@dish@|@prato@
@dishes@|@louça@
@dishonor@|@desonrar (v.)@
@disillusion@|@desiludir (v.)@
@disintegrate@|@desintegrar (v.)@
@disinterest@|@desinteressar (v.)@
@disk@|@disco@
@dislike@|@desagradar (v.), desagrado, malquerer (v.)@
@dislocate@|@desencaixar (v.), desloque@
@dislodge@|@desalojar (v.)@
@dismay@|@desânimo@
@dismiss@|@demita, destituir (v.)@
@dismount@|@desmonte@
@disobey@|@desobedecer (v.)@
@disorder@|@desordenar (v.)@
@disorganize@|@desorganizar (v.)@
@dispatch@|@expedição@
@disperse@|@debandar (v.), desvanecer (v. t.), dispersão@
@displace@|@desacomodar (v.)@
@display@|@expor (v. t. r.), exposição@
@displease@|@desgostar (v.), desprazer (v.)@
@disposal@|@eliminação@
@dispose@|@inclinar (v. t. r.)@
@disposition@|@disposição@
@dispute@|@disputa, disputar (v.)@
@disqualify@|@desqualificar (v. t.)@
@disregard@|@desacatar (v.)@
@disrespect@|@desrespeitar (v. t.)@
@dissatisfy@|@desprazer (v.)@
@dissimulate@|@dissimular (v.), fingir (v.)@
@dissipate@|@desvanecer (v. t.)@
@dissipation@|@dissipação@
@dissolve@|@dissolva, dissolver (v.)@
@dissuade@|@desacoconselhar (v. t.), dissuadir (v.)@
@distance@|@distância@
@distant@|@distante, remoto@
@distill@|@destilar (v.)@
@distinct@|@claro, distinto@
@distinction@|@distinção@
@distinctive@|@distintivo@
@distinguish@|@distinguir (v.), particularizar (v.), ver (v. t. i. r.)@
@distract@|@distrair (v.)@
@distress@|@acabrunhar (v. t. r.), afligir (v. t. r.), angustiar (v.)@
@distribute@|@distribua, distribuir (v.), dividir (v.), partir (v. t.)@
@distribution@|@distribuição@
@distributor@|@distribuidor@
@district@|@distrito@
@distrust@|@desconfiar (v.)@
@disturb@|@perturbar (v.), perturbe@
@disturb (fig.)@|@aguar (v. t. i.)@
@disturbance@|@distúrbio@
@ditch@|@vala@
@divan@|@divã@
@dive@|@mergulhar (v.), mergulho@
@diver@|@mergulhador@
@diverse@|@diverso@
@diversify@|@diversificar (v.)@
@diversion@|@diversão, prazer (m.)@
@divert@|@afastar (v. t.), desconcentrar (v. t.), desvíe@
@divest@|@desprover (v.)@
@divide@|@divida, dividir (v.), partir (v. t.)@
@diving-bell@|@diving-sino@
@division@|@divisão@
@divorce@|@divorciar (v.), divórcio@
@divulge@|@divulgar (v.)@
@do@|@actuar (v. i.), fazer (v.)@
@do without@|@prescindir (v.)@
@dock@|@doca@
@doctor@|@doutor, médico@
@document@|@original@
@dog@|@cão@
@doll@|@boneca@
@dollar@|@dolar (m.)@
@dome@|@abóbada@
@domestic@|@doméstico@
@domesticate@|@domesticar (v.)@
@domicile@|@domiciliar (v. t. r.)@
@dominate@|@avassalar (v.), dominar (v.), domine@
@donate@|@doar (v.), doe, esmolar (v.)@
@done@|@feito@
@donkey@|@asno, burro@
@door@|@porta@
@doorway@|@entrada@
@dot@|@pontilhar (v.), ponto@
@double@|@dobro@
@double-cross@|@trair (v. t. i.)@
@doubt@|@dúvida, duvidar (v.)@
@doubtful@|@duvidoso@
@dough@|@massa de pão@
@dove@|@pomba (f.), pombo (m.)@
@down@|@para baixo@
@downstairs@|@abaixo@
@dozen@|@dúzia@
@draft@|@esboço@
@drag@|@arrastar (v.), arrasto, dragar (v.), puxar (v.)@
@drag out@|@agachar-se (v. r.)@
@dragonfly@|@libélula@
@drain@|@dreno, esgotar (v. t.), estancar (v. t.)@
@drama@|@drama@
@drape@|@drapeje@
@drastic@|@drástico@
@draw@|@desenhar (v.), puxar (v.), sacar (v.), tração@
@draw out@|@prolongar (v.)@
@drawer@|@gaveta@
@drawers@|@ceroulas, gavetas@
@drawing@|@desenho@
@drawing-paper@|@extra-papel@
@dreadful@|@terrível@
@dream@|@sonhar (v.), sonho@
@dress@|@vestido, vestir (v.)@
@dress (naut.)@|@abandeirar (v. t.), embandeirar (v. t.)@
@dresser@|@aparelhador@
@dribble@|@babar (v.), driblar (v.)@
@drift@|@tração@
@drill@|@brocas@
@drink@|@beber (v.), bebida, tomar (v.)@
@drink a toast@|@brindar (v.)@
@drip@|@gotejamento, gotejar (v.), pingar (v.)@
@drive@|@actuar (v. i.), movimentação, propulsar (v.)@
@drive away@|@afastar (v. t.), afugentar (v.)@
@driver@|@excitador@
@drone@|@zumbir (v. i.)@
@droop@|@inclinação@
@drop@|@cair (v.), gota, pender (v. i.)@
@droplet@|@gota@
@drown@|@abismar-se (v. i. r.), afogar (v.)@
@drug@|@droga, drogar (v.)@
@drugstore@|@drograria@
@drum@|@cilindro@
@drunk@|@bêbedo@
@dry@|@secar (v.), seco@
@dry up@|@ressecar (v.)@
@dual@|@duplo@
@duck@|@pato@
@dude@|@gajo@
@due to@|@devido a@
@dues@|@dívidas@
@duke@|@duque@
@dull@|@maçante@
@duplicate@|@duplicar (v.), duplicata@
@during@|@durante, enquanto@
@dust@|@pó, poeira@
@dusty@|@empoeirado@
@Dutch@|@Holandês@
@Dutchman@|@Holandês@
@duty@|@dever (m.)@
@dwarf@|@anão@
@dwell@|@interrupção, morar (v.)@
@dwelling@|@aposento, moradia@
@dye@|@cor, tingir (v.), tintura@
@dynamite@|@dinamite@
@each@|@cada um, todo@
@eagle@|@águia@
@ear@|@orelha, ouvido@
@early@|@cedo@
@earn@|@ganhar (v.)@
@earnest@|@sério@
@earth@|@terra@
@earthquake@|@terremoto@
@earthworm@|@minhoca@
@ease the mind@|@despreocupar (v. t. r.)@
@easel@|@armação@
@easily@|@fàcilmente@
@east@|@leste@
@eastern@|@oriental@
@easy@|@fácil, simples@
@eat@|@coma, comer (v.), tomar (v.), tragar (v. t.)@
@ecclesiastic@|@eclesiástico@
@echo@|@eco@
@E-chord@|@E-corda@
@economical@|@econômico@
@economics@|@economia@
@economy@|@economia@
@Ecuador@|@Equador@
@-ed (past participle suf.)@|@-ado (pretérito particípio su, -ido (pretérito particípio su@
@edge@|@borda, margem@
@Edinburgh@|@Edimburgo@
@edit@|@editar (v.), edite@
@edition@|@edição@
@educate@|@educar (v.)@
@education@|@instrução@
@eel@|@enguia@
@effect@|@efectuar (v.), efeito@
@effective@|@eficaz@
@effort@|@esforço@
@egg@|@ovo@
@eggplant@|@beringela@
@Egypt@|@Egipto@
@eight@|@oito@
@eight hundred@|@oitecentos@
@eighteen@|@dezoito, dezóito@
@eighteenth@|@décimo oitava@
@eighth@|@oitava@
@eightieth@|@octogésima@
@eighty@|@oitenta@
@elaborate@|@elaborar (v.)@
@elapse@|@decorrer (v.), transcorrer (v. i.), volver (v. t. i. r.)@
@elastic@|@elástico@
@elbow@|@acotovelar (v.), cotovelo@
@elder@|@pessoa idosa@
@elderly@|@idoso@
@elect@|@eleja, escolher (v.)@
@elected@|@eleito@
@election@|@eleição@
@electric@|@eléctrico, elétrico@
@electricity@|@electricidade, eletricidade@
@electrify@|@electrificar (v. t.), electrizar (v. t.)@
@electron@|@elétron@
@electronic@|@eletrônico@
@electronics@|@eletrônica@
@elegant@|@elegante, esbelto@
@element@|@elemento@
@elementary@|@elementar (v.)@
@elephant@|@elefante@
@elevator@|@ascensor, elevador@
@eleven@|@onze@
@eleventh@|@undécima@
@eliminate@|@desqualificar (v. t.), eliminar (v.), elimine, liquidar (v.)@
@elk@|@alces@
@elm@|@olmo@
@elongate@|@alongar (v. t.)@
@else@|@mais, outro@
@elsewhere@|@em outra parte@
@elucidate@|@aclarar (v. t. i. r.), elucidar (v.)@
@elude@|@eludir (v.)@
@emanate@|@emanar (v.)@
@emancipate@|@emancipar (v.)@
@embalm@|@embalsamar (v.)@
@embargo@|@embargar (v.)@
@embark@|@embarcar (v.)@
@embarrass@|@embaraçar (v.)@
@embassy@|@embaixada@
@embed@|@enterrar (v.)@
@embellish@|@abrilhantar (v. t.)@
@embezzle@|@extraviar (v.)@
@emblem@|@emblema@
@embrace@|@abranger (v.)@
@embroider@|@bordar (v.), borde@
@emerge@|@aparecer (v.), emergir (v.), emerja@
@emergency@|@emergência@
@emigrate@|@emigrar (v.)@
@eminent@|@eminente@
@emit@|@emita-se, emitir (v.)@
@emmerse@|@imergir (v. t. i.)@
@emotion@|@emoção@
@emphasis@|@ênfase@
@emphasize@|@emfatize, enfatizar (v.), sublinhar (v.)@
@empire@|@império@
@employ@|@alugar (v.), empregar (v.), empregue, usar (v.)@
@employee@|@empregado@
@employer@|@empregador@
@employment@|@emprego, lugar (m.)@
@empty@|@esgotar (v. t.), esvaziar (v.), vácuo, vão, vazio@
@emulate@|@emular (v.)@
@enable@|@capacitar (v.)@
@enamel@|@esmalte@
@enamor@|@enamorar (v.)@
@encase@|@encerrar (v. t.)@
@encase (US)@|@encaixar (v. t.), encaixotar (v. t.)@
@enchant@|@encantar (v.)@
@encircle@|@acercar (v. t. r.), rodear (v.)@
@enclose@|@abranger (v.), acercar (v. t. r.), incluir (v.)@
@enclosure@|@cerco@
@encode@|@codifique@
@encounter@|@encontro@
@encourage@|@encorajar (v.), incentive@
@encouragement@|@incentivo@
@encyclopedia@|@enciclopédia@
@end@|@extremidade, fim (m.)@
@endanger@|@ponha em perigo@
@endeavor (US)@|@esforço@
@endeavour (UK)@|@esforço@
@ending@|@fim (m.)@
@endlessly@|@infinita@
@endorse@|@endossar (v.), endosse@
@endorsee@|@endossado@
@endorsement@|@endosso@
@endorser@|@endossante@
@endow@|@dotar (v.), dote@
@endure@|@padecer (v.), resistir (v.), sofrer (v.), sustentar (v. t.)@
@enemy@|@inimigo@
@energetic@|@energético@
@energy@|@energia, poder (m.)@
@engage (gears)@|@encaixar (v. t.)@
@engage in guerilla warfare@|@guerrilhar (v.)@
@engagement@|@compromisso@
@engine@|@locomotiva, motor@
@engineer@|@coordenador, engenheiro@
@England@|@Inglaterra@
@English@|@Inglês@
@Englishman@|@Inglês@
@engrave@|@gravar (v.), grave@
@enhance@|@realçar (v.), realce@
@enjoy@|@desfruir (v.)@
@enjoyable@|@agradável@
@enjoyment@|@prazer (m.)@
@enlarge@|@amplíe@
@enlargement@|@ampliação@
@enlist@|@aliste@
@enliven@|@abrilhantar (v. t.)@
@enormous@|@enorme@
@enormously@|@enormemente@
@enough@|@bastante@
@enquire@|@auscultar (v. t.)@
@enrapture@|@extasiar (v.)@
@enrich@|@enriquecer (v.)@
@enslave@|@escravizar (v.)@
@enter@|@contabilizar (v.), entrar (v.), entre, ingressar (v.)@
@enterprise@|@empresa@
@enterprising@|@empreendedor@
@entertain@|@entreter (v.)@
@enthusiasm@|@entusiasmo@
@enthusiastic@|@entusiástico@
@entice@|@acorar (v. t.), aliciar (v. t.), seduzir (v.)@
@entire@|@inteiro, são (adj.)@
@entirely@|@completamente, inteiramente@
@entirety@|@totalidade@
@entitle@|@intitular (v. t. r.)@
@entrance@|@entrada@
@entrap@|@trair (v. t. i.)@
@entry@|@entrada@
@entwine@|@enlaçar (v.)@
@enumerate@|@enumerar (v.)@
@enunciate@|@enunciar (v.)@
@envelope@|@banhar (v. t. r.), envelope@
@environment@|@ambiente@
@envy@|@invejar (v.)@
@equal@|@igual, igualar (v.)@
@equality@|@igualdade@
@equalize@|@equiparar (v.)@
@equally@|@ingualmente@
@equator@|@Equador@
@equilibrium@|@equilíbrio@
@equinox@|@equinócio@
@equip@|@aparelhar (v.), equipar (v.), equipe@
@equipment@|@equipamento@
@equivalent@|@equivalente@
@eradicate@|@desarraigar (v.), erradicar (v.)@
@erase@|@apague@
@eraser@|@eliminador@
@erect@|@erigir (v. t.)@
@err@|@errar (v.)@
@erroneous@|@errado, errôneo@
@error@|@defeito, erro@
@escape@|@escapar (v.)@
@escort@|@escolta, escoltar (v.)@
@escudo@|@escudo@
@Eskimo@|@Esquimó@
@especially@|@especial, principalmente, sobretudo@
@essence@|@essência@
@essential@|@essencial@
@establish@|@domiciliar (v. t. r.), estabeleça, estabelecer (v. t.), fundar (v.)@
@establishment@|@estabelecimento@
@estate@|@fazenda, granja, propriedade@
@esteem@|@respeito@
@estimate@|@apreciar (v. t.), avaliar (v.), estimar (v.), estimativa, orçar (v.), pressupor (v.)@
@Estonia@|@Estónia@
@etc.@|@etc..@
@etc.)@|@prender (v. t.)@
@eternalize@|@eternizar (v.)@
@ethic@|@éticas@
@ethical@|@ético@
@Ethiopia@|@Etiopia, Etiópia@
@Europe@|@Europa@
@European@|@Europeu@
@evacuate@|@evacue@
@evade@|@evitar (v.)@
@evaluate@|@avaliar (v.)@
@evaporate@|@evaporar (v.), evapore@
@eve@|@vigília@
@even@|@até, mesmo, nivele@
@evening@|@noite@
@evening meal@|@ceia@
@event@|@evento@
@ever@|@sempre@
@ever since@|@daí em diante@
@every@|@cada, todo@
@everyday@|@diário@
@everyone@|@cada um, todo, todo a gente, todos@
@everything@|@tudo@
@everywhere@|@em toda parte@
@evidence@|@constatar (v.), evidenciar (v.)@
@evident@|@evidente@
@evil@|@mal@
@evoke@|@evocar (v.)@
@evolution@|@evolução@
@evolve@|@evolua, evoluir (v.)@
@evolve (theory)@|@estabelecer (v. t.)@
@exact@|@exacto, exato@
@exactly@|@exatamente, justamente@
@exaggerate@|@agigantar (v.), descompassar (v.), exagerar (v.)@
@exalt@|@levantar (v. t. i. r.)@
@examination@|@exame, examinação@
@examine@|@examinar (v.), inspeccionar (v. t.), remirar (v.), revisar (v. t.), ver (v. t. i. r.)@
@example@|@exemplo@
@excavate@|@escavar (v.)@
@exceed@|@exceda, exceder (v.), exorbitar (v.), transcender (v.), ultrapassar (v.)@
@excellency@|@excelência@
@except@|@exceto, menos@
@except that@|@só@
@exception@|@exceção@
@exceptional@|@excepcional@
@excessive@|@excessivo@
@excessively@|@excessivamente@
@exchange@|@cambiar (v.), permutar (v.), troca, vender (v. t.)@
@excitation@|@excitação@
@excite@|@excitar (v.), suscitar (v.)@
@excitement@|@excitamento@
@exclude@|@exclua, excluir (v.)@
@exclusive@|@exclusivo@
@exclusively@|@exclusivamente, só, somente@
@excursion@|@excursão@
@excuse@|@desculpa, dispensar (v.), escusar (v.)@
@excuse me@|@desculpe@
@execute@|@executar (v.)@
@exempt@|@eximir (v.), livrar (v.)@
@exercise@|@exercício, exercitar (v.)@
@exert@|@exerça, exercer (v.)@
@exhaust@|@dispersar (v.), esgotar (v. t.)@
@exhibit@|@demonstrar (v. t.), exibição, ostentar (v.)@
@exhume@|@desenterrar (v.)@
@exile@|@exilar (v.)@
@exist@|@estar (v. i.), existir (v.)@
@existence@|@existência@
@exit@|@saída@
@expand@|@abrir (v. r.), expandir (v.)@
@expansion@|@expansão@
@expatriate@|@expatriar (v.)@
@expect@|@esperar (v.), espere@
@expectation@|@espera@
@expedite@|@expida@
@expedition@|@expedição@
@expel@|@expelir (v.), expila@
@expense@|@despesa@
@expenses@|@despesas@
@expensive@|@caro@
@experience@|@experiência@
@experienced@|@experiente@
@experiment@|@experiência, experimentar (v.)@
@expert@|@perito@
@expire@|@morrer (v.)@
@explain@|@aclarar (v. t. i. r.), definir (v.), desenredar (v.), explicar (v.)@
@explanation@|@explanação, explicação@
@explode@|@expluda@
@exploit@|@façanha@
@exploration@|@exploração@
@explore@|@explorar (v.)@
@explosion@|@explosão@
@export@|@exportação, exportar (v.)@
@expose@|@delatar (v.), expor (v. t. r.), exposição@
@exposition@|@exposição@
@express@|@expressar (v.), expresso@
@expression@|@expressão@
@extend@|@alongar (v. t.), ampliar (v.), estenda, estender (v.)@
@extension@|@extensão@
@extensive@|@extensivo@
@exterminate@|@elimine@
@external@|@externo@
@extinguish@|@extinguir (v.)@
@extract@|@extractar (v.), extrair (v.), extrato@
@extradite@|@extraditar (v.)@
@extraordinarily@|@extraordinària@
@extraordinary@|@extraordinário@
@extreme@|@extremo@
@extremely@|@extremamente@
@exult@|@jubilar (v.)@
