@English@|@Esperanto@
@burn down@|@forbruligi@
@burner@|@brulilo@
@burnt@|@brulgusta@
@burp@|@rukti@
@burst@|@fendiĝi, krevaĵo, krevi, krevo@
@burst into flames@|@ekflagri@
@Burundi@|@Burundio@
@Burundian@|@burundia, burundiano@
@Burundian woman@|@burundianino@
@bury@|@enfosi, enterigi, entombigi@
@bus@|@aŭtobuso, buso@
@bus station@|@busstacidomo@
@bus stop@|@aŭtobushaltejo, bushaltejo@
@bush@|@arbusto, veprejo@
@bushbuck@|@tragelafo@
@bushel@|@buŝelo@
@Bushman@|@boŝmano@
@business@|@afero, komerco, negoco@
@business deal@|@afero@
@businessman@|@negocisto@
@busk@|@barto@
@busy@|@multokupita, okupata, okupita@
@busy oneself@|@esti ...anta@
@busybody@|@enmiksiĝemulo, kibico@
@but@|@escepte, sed, tamen@
@butcher@|@buĉi, buĉisto@
@butt@|@kolbo, stumpo@
@butter@|@butero@
@buttercup@|@ranunkolo@
@butterfly@|@papilio@
@buttermilk@|@buterlakto@
@buttock@|@gluteo, postvango, sidvango@
@buttocks@|@pugo@
@button@|@butoni, butono, butonumi@
@buttress@|@abutmento@
@buy@|@aĉeti, provizi sin per@
@buy at a public sale@|@aĉeti aŭkcie@
@buy back@|@reaĉeti@
@buyer@|@aĉetanto@
@buzz@|@zumado, zumi@
@buzzer@|@zumilo@
@by@|@apud, de, je, laŭ, per, po, preter@
@by accidence@|@senintence@
@by accident@|@hazarde@
@by acclamation@|@aklame@
@by analogy@|@analoge@
@by chance@|@hazarde, okaze@
@by day@|@dumtage, tage@
@by force@|@perforte@
@by fours@|@kvarope@
@by hand@|@permane@
@by heart@|@parkere@
@by marriage@|@bo-, proedziĝa@
@by means of@|@per@
@by mistake@|@erare@
@by night@|@nokte@
@by no means@|@neniel@
@by now@|@jam@
@by ship@|@ŝipe@
@by sight@|@laŭvide@
@by tens@|@dekope@
@by the way@|@parenteze@
@by twos@|@duope@
@by way of exception@|@escepte@
@bye@|@adiaŭ, ĝis revido@
@by-laws@|@statuto@
@byname@|@kromnomo@
@by-product@|@kromprodukto@
@byte@|@bajto, bitoko@
@by-way@|@branĉvojo, flankvojo@
@Byzantine@|@bizanca, bizancano@
@Byzantium@|@Bizanco@
@ca¤on@|@kanjono@
@cab@|@fiakro@
@cabaret@|@kabaredo, kabareto@
@cabbage@|@brasiko@
@cabin@|@kabano, kajuto@
@cabinet@|@bretaro, kabineto, ŝranko@
@cabinet-maker@|@lignaĵisto@
@cable@|@kablo@
@cable television@|@kablotelevido@
@cablegram@|@kablogramo@
@cab-stand@|@taksistacio@
@cackle@|@gaki@
@cactus@|@kakto@
@cadaver@|@kadavro@
@cadmium@|@kadmio@
@caf‚@|@kafejo@
@cafeteria@|@kafeterio, kantino@
@caftan@|@kaftano@
@cage@|@kaĝo@
@Cain@|@Kaino@
@Cairo@|@Kairo@
@cajole@|@kaĵoli@
@cake@|@kuko@
@calabash@|@kalabaso@
@Calabria@|@Kalabrio@
@calamity@|@plago@
@calamus@|@akoro@
@calcium@|@kalcio@
@calculate@|@kalkuli@
@calculation@|@kalkulado, kalkulo, komputo@
@calculator@|@kalkulilo@
@calendar@|@kalendaro@
@calf@|@bovido, suro@
@calibre@|@kalibro@
@California@|@Kalifornio@
@Californian@|@kalifornia, kaliforniano@
@calk@|@kalfatri@
@call@|@nomi, voki@
@call at@|@halti en@
@call at ...'s house@|@eniri ĉe@
@call box@|@telefonbudo@
@call on@|@eniri ĉe, viziti@
@call out@|@ekkrii@
@call over@|@vicvoki@
@called for@|@farenda@
@caller@|@vizitanto@
@Callisto@|@Kalisto@
@calm@|@kvieta, kvieto, trankvila, trankviligi@
@calm down@|@trankviliĝi@
@calmness@|@kvieteco, trankvileco@
@calorie@|@kalorio@
@calque@|@kalkeo@
@Calvary@|@Golgoto, Kalvario@
@Calvin@|@Kalvino@
@Calypso@|@Kalipso@
@Cambodia@|@Kamboĝo, Kampuĉeo@
@Cambodian@|@kamboĝa, kamboĝano, kampuĉea, kampuĉeano@
@Cambodian woman@|@kamboĝanino@
@cambric@|@batisto@
@camel@|@kamelo@
@Camelot@|@Kameloto@
@camera@|@fotilo, fotoaparato, kamerao@
@Cameroon@|@kameruna, Kameruno@
@Cameroun@|@Kameruno@
@camisole@|@kamizolo@
@camomile@|@kamomilo@
@camouflage@|@kamufli@
@camp@|@bivaki, kampadi, tendi, tendumi@
@camp of tents@|@tendaro@
@camp out@|@kampadi, kampi, kamploĝi, kampumi@
@campaign@|@kampanjo@
@camphor@|@kamforo@
@camping ground@|@kampadejo@
@camping site@|@kampadejo@
@campshedding@|@ligna tegaĵo@
@campsheeting@|@ligna tegaĵo@
@campshot@|@ligna tegaĵo@
@campsite@|@bivako@
@can@|@enladigi, ladskatolo@
@can opener@|@skatolmalfermilo@
@Canaan@|@Kanaanio@
@Canada@|@Kanadio, Kanado@
@Canadian@|@kanada, kanadano, kanadia, kanadiano@
@Canadian woman@|@kanadanino, kanadianino@
@canal@|@kanalo@
@canary@|@kanario@
@Canary@|@kanaria@
@Canary Islands@|@Kanaria Insularo, Kanariaj Insuloj@
@cancel@|@malmendi, nuligi, renonci@
@cancer@|@kancero, karcinomo@
@candidacy@|@kandidateco@
@candidate@|@kandidato@
@candle@|@kandelo@
@Candlemas@|@Kandelfesto@
@candlestick@|@kandelingo@
@candy@|@dolĉaĵo, kandizi, kando@
@candy coated aniseed@|@anizosukeraĵo@
@cane@|@bastono, kano@
@canine@|@hunda@
@canker@|@kancero@
@cannibal@|@kanibalo@
@cannon@|@kanono@
@canoe@|@kanoto@
@canonisation@|@kanonigo@
@canopy@|@baldakeno@
@Cantabrian@|@kantabra@
@canteen@|@kantino, soldata botelo@
@Canterbury bell@|@kampanolo@
@cantharides@|@kantarido@
@Canticles@|@Alta Kanto@
@canton@|@kantono@
@canvas@|@kanvaso@
@canyon@|@kanjono@
@cap@|@ĉapo, kaskedo, kufo@
@capability@|@taŭgeco@
@capable@|@kapabla@
@capable of@|@pova@
@capacity@|@kapacito@
@cape@|@kabo@
@Cape of Good Hope@|@Kabo de Bona Espero@
@Cape Province@|@Kaboprovinco@
@Cape Town@|@Kaburbo@
@Cape Verde Islands@|@Kapverdaj Insuloj@
@caper@|@kaporo, kaprioli@
@capital@|@ĉefurbo, kapitalo@
@capital city@|@ĉefurbo@
@capital letter@|@majusklo@
@capitalist@|@kapitalisto@
@Capitol@|@Kapitolo@
@capitulate@|@kapitulaci@
@cappuccino@|@kapuĉino@
@caprice@|@kaprico@
@capricious@|@kaprica@
@Capricorn@|@Kaprikorno@
@capsule@|@kapsulo@
@captain@|@kapitano, ŝipestro@
@captivity@|@kaptiteco@
@capture@|@enkapti, kaperi, kapti@
@car@|@aŭto, aŭtomobilo@
@car hire@|@aŭtoluigado@
@car park@|@parkejo@
@car radio@|@aŭtoradio@
@car sleep train@|@aŭtolitotrajno, aŭtolitvagonaro@
@car wreck@|@aŭtovrako@
@carafe@|@karafo@
@carambola@|@karambolfrukto@
@carapace@|@karapaco@
@caravan@|@karavano@
@caraway@|@karvio@
@carbon@|@karbono@
@carbon copy@|@trakopio@
@carbon paper@|@karbopapero@
@Carboniferous@|@Karbonifero@
@carburator@|@karburilo@
@card@|@karto@
@cardboard@|@kartona, kartono@
@cardfile@|@kartoteko@
@cardiac@|@kor-, kora@
@care@|@flegado, prizorgo, zorgado, zorgi, zorgo@
@care about@|@zorgi pri@
@care for@|@kuraci, zorgi por@
@career@|@kariero@
@careerist@|@ambiciulo@
@careful@|@singarda, singardema, zorga@
@carefully@|@singarde, zorgeme@
@careless@|@malzorga, neatenta, senatenta@
@careless(2)@|@neglektema, preterlasema@
@careless; carefree@|@senzorga@
@carelessness@|@malzorgeco, neglektemo, senatenteco@
@caress@|@karesi, kareso@
@caressing@|@karesado, karesema@
@cargo@|@kargo@
@Caribbean@|@karaiba@
@Caribbean Sea@|@Karaiba Maro@
@caries@|@kario@
@carillon@|@kariljono, sonorilaro@
@carillonneur@|@kariljonisto, sonorilaristo@
@carlessness;freedom from care@|@senzorgeco@
@Carmelite@|@karmelanino, karmelano@
@carnal@|@karna@
@carnation@|@dianto@
@carnival@|@karnavalo@
@carousel@|@karuselo@
@carp@|@karpo, kritikaĉi@
@carp at@|@ĉikani@
@Carpathian mountains@|@Karpatoj@
@Carpathians@|@Karpatoj@
@carpenter@|@ĉarpentisto, lignaĵisto@
@carpenter's square@|@ortilo@
@carpet@|@tapiŝo@
@carriage@|@afusto, ĉareto, kaleŝo, vagono@
@carrier@|@transportisto@
@carrier cycle@|@ŝarĝbiciklo, transportbiciklo@
@carrier tricycle@|@ŝarĝbiciklo, transportbiciklo@
@carrier; litter@|@portilo@
@carrion@|@kadavraĵo@
@carrot@|@karoto@
@carrousel@|@karuselo@
@carry@|@porti@
@carry away@|@forporti@
@carrying@|@ŝarĝanta@
@carrying off@|@forkondukado, forkonduko@
@cart@|@ĉaro@
@carte blanche@|@blanketo@
@Carthage@|@Kartago@
@Carthaginian@|@kartaga, kartagano@
@cartridge@|@kartoĉo@
@carve@|@ĉizi, skulpti@
@case@|@kazo, uskleco@
@cash@|@kontanta@
@cash flow@|@spezado@
@cash money@|@kontanto@
@cashew-nut@|@akaĵuo@
@cashier@|@kasistino, kasisto@
@cashier's stand@|@kaso@
@casino@|@kazino@
@Caspian Sea@|@Kaspia Maro@
@Cassandra@|@Kasandro@
@cassava@|@kasavo, manioko@
@casserole@|@kaserolo@
@cassette@|@kasedo, kaseto@
@Cassiopeia@|@Kasiopeo@
@cast@|@elseligi, gisi, muldaĵo, muldi@
@cast a shadow@|@ombri@
@cast doubt upon@|@pridubi@
@cast off@|@deĵeti, detriki@
@caster sugar@|@nekristalizita sukero@
@Castile@|@Kastilio@
@Castilian@|@kastila, kastilo@
@castle@|@aroki, burgo, kastelo, turo@
@Castor@|@Kastoro@
@castor sugar@|@nekristalizita sukero@
@castrate@|@kastri@
@casualness@|@senĝeneco@
@cat@|@kato@
@catalogue@|@katalogi, katalogo@
@catalyse@|@katalizi@
@catalyser@|@katalizilo@
@catapult@|@katapulto@
@cataract@|@katarakto@
@catarrh@|@kataro@
@catastrophe@|@katastrofo@
@catastrophic@|@katastrofa@
@catch@|@kapti, trafi@
@catch fire@|@ekbruli@
@catch sight of@|@ekvidi@
@catch the sound of@|@ekaŭdi@
@catching@|@infekta, kontaĝa@
@categoric@|@kategoria@
@category@|@kategorio@
@catering@|@proviantado, provizumado@
@caterpillar@|@raŭpo@
@cathedral@|@katedralo@
@cathode tube@|@bildotubo, bildtubo, bildvalvo@
@catholic@|@katoliko@
@Catholic@|@katolika, katolikino@
@Catholicism@|@katolikismo@
@Caucasus@|@Kaŭkazoj@
@cauldron@|@kaldrono@
@cauliflower@|@florbrasiko@
@caulk@|@kalfatri@
@causality@|@kaŭzeco@
@cause@|@igi, kaŭzi, kaŭzo, okazigi@
@cause pain@|@malĝojigi@
@cause pain to@|@malĝojigi@
@cause to suppose@|@supozigi@
@cause to take place@|@okazigi@
@cause to think@|@pensigi@
@causing illness@|@malsaniga@
@caution@|@averti, singardeco, singardo@
@cautious@|@singarda, singardema@
@cavalry@|@kavalerio@
@cave@|@groto, kaverno, kavo@
@cave in@|@enfali@
@cavern@|@kaverno@
@caviar@|@kaviaro@
@cavil@|@kritikaĉi@
@cavity@|@kavaĵo, kavo@
@caw@|@graki@
@Cĉnozoic@|@Kenozoiko@
@Cĉsar@|@Cezaro@
@cĉsium@|@cezio@
@cĉsura@|@cezuro@
@CD-ROM@|@codoromo@
@cease@|@ĉesi@
@ceaselessly@|@senĉese, seninterrompe@
@cedar@|@cedro@
@cede@|@cedi@
@cedilla@|@cedilo@
@ceiling@|@plafono@
@Celebes@|@Celebeso@
@Celebes Sea@|@Celebesmaro@
@celebrate@|@celebri, festi, soleni@
@celebration@|@celebrado, festado, festo, solenado@
@celebrity@|@famulo, stelulino, stelulo@
@celery@|@celerio@
@celestial@|@ĉiela@
@cell@|@ĉelo, karcero@
@cellar@|@kelo@
@cello@|@violonĉelo@
@cellulite@|@celulito@
@Celsius@|@Celsiuso@
@Celt@|@kelto@
@Celtic@|@kelta@
@cement@|@cemento@
@cemetery@|@tombejo@
@Cenozoic@|@Kenozoiko@
@censor@|@cenzuri, cenzuristo, cenzuro@
@censorious@|@ĉikanema@
@censoriousness@|@ĉikanemo@
@censurable@|@malaprobinda@
@censure@|@malaprobo@
@census@|@censo, popolnombrado@
@cent@|@cendo@
@centavo@|@centavo@
@centennial@|@jarcento@
@centime@|@centimo@
@centimetre@|@centimetro@
@centipede@|@skolopendro@
@central@|@centra@
@Central African Republic@|@Centrafriko, Mezafrika Respubliko@
@Central America@|@Mezameriko@
@Central Asia@|@Mezazio@
@Central Europe@|@Mezeŭropo@
@central heating@|@centra hejtado@
@centralise@|@alcentrigi@
@centre@|@centrejo, centro@
@century@|@jarcento@
@Cerberus@|@Cerbero, Kerbero@
@ceremonious@|@solena@
@ceremony@|@ceremonio, solenaĵo@
@cerium@|@cerio@
@certain@|@certa@
@certainly@|@certe, ja@
@certainty@|@certeco@
@certificate@|@akto, atestilo, atesto@
@certificated@|@diplomita@
@certify@|@certigi@
@cervelat@|@cervelaso@
@cervix@|@cerviko@
@cession@|@rezigno@
@cesspit@|@fekaĵputo@
@cesspool@|@fekaĵputo@
@cetacean@|@cetaco@
@Ceylon@|@Cejlono@
@Ceylonese@|@cejlona, cejlonano@
@Chad@|@Ĉadio, Ĉado@
@chain@|@ĉeno@
@chain of mountains@|@montoĉeno@
@chain store@|@ĉenbutiko@
@chain-smoking@|@ĉenfumado@
@chair@|@seĝo@
@chairman@|@prezidanto@
@chairmanship@|@prezido@
@Chaldea@|@Ĥaldeo@
@chalet@|@ĉaledo@
@chalice@|@kaliko@
@challenge@|@defii, defio, kontesti@
@chamber@|@ĉambro@
@chamber pot@|@noktvazo, pispoto, urinujo@
@chamber-pot@|@noktovazo@
@chameleon@|@kameleono@
@chamois@|@ĉamo, ŝamo@
@chamois leather@|@ŝamo@
@champagne@|@ĉampanjo, ĉampano@
@champion@|@ĉampiono@
@championship@|@ĉampionado@
@chance@|@hazarda, hazardo, okazo, ŝanco@
@chancellor@|@kanceliero@
@chandelier@|@lustro@
@change@|@ŝanĝi, ŝanĝiĝi, ŝanĝiĝo, ŝanĝo@
@change of address@|@adresŝanĝo@
@change(2)@|@aliiĝi, aliigi, monereta mono, ŝanĝmono, variado@
@channel@|@kanalo, tubo@
@Channel Islands@|@Manikaj Insuloj@
@chanson@|@kanzono@
@chant@|@ĉanto@
@chaos@|@ĥaoso, kaoso@
@chaotic@|@ĥaosa, kaosa@
@chap@|@ulo@
@chapel@|@kapelo@
@chaperon@|@akompanantino, akompani varte@
@chaplain@|@armea pastro, militpastro@
@chapter@|@ĉapitro@
@character@|@karaktero, naturo, rolanto, rolulo, signo@
@character set@|@signaro@
@characterisation@|@karakterizado@
@characteristic@|@karakteriza, karakterizaĵo@
@characterize@|@karakterizi@
@charcoal@|@braĝo, lignokarbo@
@charg‚ d'affaires@|@aferŝarĝito@
@charge@|@akuzaĵo, kostoj, kulpigo, pagigi, ŝargi, ŝarĝo@
@charge with@|@kulpigi pri@
@chariot@|@ĉaro@
@charisma@|@karismo@
@charitable@|@karitata, kompatema, korfavora@
@charitable(2)@|@bonfara, publikutila@
@charity@|@homamo, kompatemo, korfavoro@
@charity(2)@|@karitado, karitato, karito@
@charlatan@|@ĉarlatano@
@charm@|@allogeco, amindo, amuleto, ĉarmi, ĉarmo@
@charming@|@ĉarma, linda@
@Charon@|@Karono@
@charter@|@ĉarti, ĉarto@
@Charybdis@|@Karibdo@
@chase@|@ĉasi, ĉaskuri, peli, persekuti, postkuri@
@chase away@|@forpeli@
@chasm@|@abismo, montfendo@
@chassis@|@ĉasio@
@chaste@|@ĉasta@
@chaste behaviour@|@pudoro@
@chastise@|@puni@
@chat@|@babilado, babili@
@chatri@|@ĉatrio@
@chatter@|@babili@
@chatterbox@|@babilemulo, babilulo@
@chauffeur@|@ŝoforo@
@chauvinism@|@ŝovinismo@
@chauvinist@|@ŝovinisto@
@cheap@|@ĉipa, malkara, malmultekosta@
@cheat@|@ĉarlatani, mensogisto, mistifikaĉi, trompanto@
@cheat(2)@|@friponi, fripono, trompi@
@cheated@|@trompita@
@Chechen@|@ĉeĉena, ĉeĉeno@
@Chechenia@|@Ĉeĉenio, Ĉeĉenujo@
@check@|@bridi, brido, ĉeko, kontroli, ŝaki@
@check off@|@strekmarki@
@check up on@|@kontroli@
@checked@|@kvadratita@
@checker@|@kontrolisto@
@checkers@|@damludo, damoj@
@checksum@|@kontrolsumo@
@cheek@|@vango@
@cheer@|@hurai, hurao, plifervorigi@
@cheerful@|@gaja@
@cheers@|@je via sano@
@cheese@|@fromaĝo@
@chef@|@ĉefkuiristo@
@chemical@|@kemia, kemiaĵo@
@chemist@|@apotekisto, farmaciisto, ĥemiisto, kemiisto@
@chemistry@|@ĥemio, kemio@
@chemist's shop@|@apoteko@
@cheque@|@ĉeko@
@cheque-book@|@ĉekaro@
@chequered@|@kvadratita@
@cherry@|@ĉerizo@
@cherry-tree@|@ĉerizarbo, ĉerizujo@
@cherub@|@kerubo@
@chess@|@ŝako@
@chessboard@|@ŝaktabulo@
@chess-board@|@ŝaktabulo@
@chest@|@brusto, kesto, komodo, torako@
@Chester@|@Ĉestro@
@chestnut@|@kaŝtano@
@chestnut-tree@|@kaŝtanarbo, kaŝtanujo, kaŝtanurbo@
@chew@|@maĉi@
@chew the cud@|@remaĉi@
@chewing@|@maĉado@
@chewing gum@|@maĉgumo@
@chic@|@pimpa, ŝika@
@Chicagan@|@ĉikagano@
@Chicago@|@Ĉikago@
@Chicagoan@|@ĉikagano@
@chick@|@kokido, ulino@
@chicken@|@kokaĵo, kokido, kokino, koko@
@chicken pox@|@varioleto@
@chicory@|@cikorio@
@chief@|@ĉefa, ĉefo, ĉefulo, estro, superulo, tribestro@
@chief-@|@ĉef-@
@chief of police@|@policestro@
@chiefly@|@ĉefe, precipe@
@chieftain@|@tribestro@
@child@|@ido, infano@
@child prostitution@|@infanprostituado@
@childbed@|@akuŝlito@
@child-birth@|@nasko@
@childhood@|@infanaĝo@
@childish@|@infana, infaneca@
@childish act@|@infanaĵo@
@childless@|@seninfana@
@children's@|@porinfana@
@child's bed@|@infanlito@
@Chile@|@Ĉilio@
@Chilean@|@ĉilia, ĉiliano@
@Chilean woman@|@ĉilianino@
@chilli@|@kapsiko@
@chilly@|@friska, malvarma@
@chimera@|@ĥimero@
@Chimera@|@Ĥimero@
@chimerical@|@ĥimera@
@chimes@|@kariljono, sonorilaro@
@chimney@|@fumtubo, kamentubo@
@chimpanzee@|@ĉimpanzo@
@chin@|@mentono@
@China@|@Ĉinio, Ĉinujo, Ĥinio, Ĥinujo@
@Chinese@|@ĉina, ĉina lingvo, ĉino, ĥina, ĥina lingvo@
@Chinese lady@|@ĥinino@
@Chinese language@|@ĉina lingvo, ĥina lingvo@
@Chinese woman@|@ĥinino@
@Chinese(2)@|@ĥinino, ĥino@
@chip@|@ĉipo, ĉirkaŭĉizi, senmorterigi@
@chip off@|@ĉirkaŭĉizi, senmorterigi@
@chippings@|@ŝtonetaro@
@chirp@|@ĉirpi, pepi@
@chisel@|@ĉizi, ĉizilo, skulptilo@
@chivalry@|@kavalireco@
@chive@|@ŝenoprazo@
@chlorine@|@kloro@
@chocolate@|@ĉokolado@
@choice@|@elekto@
@choir@|@ĥoro@
@choir loft@|@ĥorejo@
@choke@|@strangoli, sufoki, sufokiĝi@
@cholera@|@ĥolero@
@choose@|@elekti@
@chop@|@dishaki, haketi, haki@
@chop through@|@trabati@
@chop up@|@dishaki@
@chopsticks@|@manĝobastonetoj@
@chord@|@akordo, konsonanco@
@chorus@|@ĥoro@
@chrestomathy@|@krestomatio@
@Christ@|@Kristo@
@christen@|@bapti@
@Christian@|@kristana, kristano@
@Christian Era@|@kristana erao@
@Christian name@|@baptonomo@
@Christianity@|@kristanismo@
@Christmas@|@Kristnaska Festo, Kristnasko@
@Christmas feast@|@Kristnaska Festo@
@Christmas tree@|@kristarbo, kristnaskarbo@
@chromium@|@kromo@
@chronicle@|@kroniko@
@chronicler@|@kronikisto@
@chuck@|@ĉuko, karesi, kareso@
@chunk@|@bulo@
@chunk of wood@|@ŝtipo@
@church@|@eklezio, kirko, preĝejo@
@church member@|@ekleziano@
@church-father@|@apostola patro@
@churchy person@|@devotulo@
@churl@|@krudulo@
@churn@|@buterigi@
@cider@|@cidro@
@cigar@|@cigaro@
@cigar-butt@|@cigarstumpo@
@cigarette@|@cigaredo@
@cigarette-butt@|@cigaredstumpo@
@cigarillo@|@cigareto@
@cigar-stub@|@cigarstumpo@
@cinder@|@cindro, karboskorio@
@Cinderella@|@Cindrulino@
@cinders@|@skorio@
@cinema@|@kinejo, kino@
@cinnamon@|@cinamo@
@cipher@|@cifero@
@Circe@|@Kirko@
@circle@|@cirklo, grupeto, rondeto, rondo@
@circle of friends@|@amikaro@
@circuit@|@cirkvito@
@circular@|@cirkulero@
@circulate@|@cirkuli@
@circulation@|@cirkulado, eldonkvanto@
@circumcise@|@cirkumcidi@
@circumcision@|@cirkumcido@
@circumference@|@cirkonferenco, perimetro@
@circumflex@|@cirkumflekso@
@circumstance@|@cirkonstanco@
@circumvent@|@ĉirkaŭiri@
@circus@|@cirko@
@cistern@|@cisterno@
@citadel@|@citadelo@
@cite@|@citi@
@cither@|@citro@
@citizen@|@civitano, ŝtatano@
@citizenship@|@civitaneco@
@city@|@urbego, urbo@
@city centre@|@urbocentro@
@city council@|@magistrato@
@city hall@|@urbdomo@
@city of birth@|@naskiĝurbo@
@city periphery@|@urborando@
@city state@|@civito@
@city wall@|@urbomuro@
@city-dweller@|@urbano@
@city-state@|@urbŝtato@
@civic@|@civita@
@civil@|@civila@
@civilian@|@civila, civilulo@
@civilisation@|@civilizacio, civilizado, civilizo@
@civilise@|@civilizi@
@civilised@|@civilizita@
@civil-law@|@civiljura@
@claim@|@pretendi, pretendo@
@clairvoyant@|@klarvida@
@clamour@|@kriado@
@clamp@|@krampo@
@clan@|@klano@
@clandestine@|@kaþa@
@clandestinity@|@kaŝeco@
@clap@|@aplaŭdi, gonoreo, klaki@
@clapper@|@sonormartelo@
@clarify@|@klarigi@
@clarity@|@klareco@
@clash@|@konflikti@
@clasp@|@agrafi, agrafo, klipo@
@class@|@klaso, kurso@
@class consciousness@|@klaskonscio@
@class struggle@|@klasbatalo@
@classic@|@klasika, klasikaĵo@
@classical@|@klasika@
@classification@|@klasifikado@
@classify@|@enklasigi, klasifiki@
@classroom@|@klasĉambro@
@clatter@|@batadi@
@clause@|@klaŭzo@
@claw@|@krifo, ungego@
@clay@|@argila, argilo@
@clean@|@pura, purigi@
@cleaning@|@purigo@
@cleaning up@|@purigo@
@cleanliness@|@pureco@
@cleanly cut@|@neta@
@cleanse@|@purigi@
@cleanser@|@detergento@
@clear@|@hela, heliĝi, klara, klariĝi, senarbigi@
@clearing@|@maldensejo@
@clearly@|@klare@
@clef@|@kleo@
@cleft@|@montfendo@
@Cleopatra@|@Kleopatro@
@clergyman@|@ekleziulo, pastro@
@cleric@|@kleriko@
@clerk@|@komizo, skribisto@
@clever@|@lerta, ruza@
@clich‚@|@kliŝaĵo, kliŝo@
@click@|@klaki@
@click on@|@alklaki@
@client@|@aĉetanto, kliento@
@clientele@|@klientaro@
@cliff@|@klifo, krutaĵo@
@climate@|@klimato@
@climatic@|@klimata@
@climb@|@grimpi, supreniri, surgrimpi@
@climb down@|@malfieriĝi@
@climber@|@alpisto, montgrimpanto@
@climber's hut@|@montkabano@
@climbing@|@surgrimpado@
@cling@|@alkroĉiĝi@
@clinic@|@kliniko@
@clinker@|@skorio@
@clinking@|@tintado@
@clip@|@eltondi, klipo, tondi@
@clipping@|@eltondaĵo@
@clippings@|@defalaĵo@
@clique@|@kliko@
@cloak@|@mantelo@
@cloakroom@|@vestejo@
@clock@|@horloĝo@
@clockwise@|@dekstrume@
@clod@|@bulo@
@clod of earth@|@terbulo@
@clog@|@ŝtopi@
@cloister@|@klostro@
@close@|@intima, korligita, proksima, proksime@
@close to@|@proksime al, proksime de@
@close(2)@|@fermi, fermiĝi, malfreŝĉra, malvasta@
@closed@|@fermita@
@closet@|@ŝranko@
@close-up@|@unua plano@
@cloth@|@drapo, ŝtofo, tuko@
@clothe@|@vesti@
@clothes@|@vestoj@
@clothes-hanger@|@vestarko@
@clothespeg@|@lavaĵpinĉilo@
@clothespin@|@lavaĵpinĉilo@
@clothes-press@|@vestoŝranko@
@clothing@|@vestoj@
@cloud@|@nebuligi, nubo@
@cloudy; vague@|@nuba@
@clove-cheese@|@kariofila fromaĝo@
@clover@|@trifolio@
@clown@|@klaŭno@
@club@|@klabo, klubo@
@club member@|@klubano@
@clubhouse@|@klubejo@
@clubs@|@trefo@
@cluck@|@kluki@
@clumsy@|@plumpa@
@cluster@|@fasko, grapolo@
@clutch@|@ekkapti, ekteni, kluĉilo, kuplilo@
@co-@|@kun-@
@coach@|@guverni, kaleŝo, trejni, vagono@
@coach-house@|@remizo@
@coach-work@|@karoserio@
@coal@|@karbo@
@coalesce@|@kunfandiĝi@
@coalition@|@koalicio@
@coals@|@ardaĵo@
@coarse@|@maldelikata, maleleganta, malglata@
@coast@|@marbordo@
@coat@|@palto, surtuto@
@coat of arms@|@blazono@
@coattail@|@basko@
@coaxingly@|@flate@
@cobalt@|@kobalto@
@cobblestone@|@pavimŝtono@
@cobra@|@kobro@
@cocaine@|@kokaino@
@cock@|@kaco, virkoko@
@cock-a-doodle-doo@|@kokeriko@
@cockfight@|@kokbatalo@
@cockroach@|@blato@
@cocktail@|@koktelo@
@cocoa@|@kakao@
@coconut@|@kokosnukso, kokoso@
@coconut palm@|@kokosujo@
@cocoon@|@kokono@
@Cocos Islands@|@Kokosinsuloj@
@cod@|@moruo@
@COD@|@remburso@
@coddle@|@dorloti@
@code@|@ĉifro, kodo@
@codfish@|@moruo@
@codfish-oil@|@moruoleo@
@codicil@|@aldono@
@co-ed@|@gea@
@coeducational@|@miksta@
@coercion@|@trudo@
@coexist@|@kunekzisti@
@coexistence@|@kunestado@
@co-extensive@|@samampleksa@
@coffee@|@kafo@
@coffee-pot@|@kafkruĉo, kafujo@
@coffin@|@ĉerko@
@cognac@|@konjako@
@cogwheel@|@dentrado@
@cohabitate@|@kunvivi@
@cohere@|@kunteniĝi@
@coherent@|@kohera@
@coil@|@bobeno@
@coin@|@monero, monfari, stampi monerojn@
@coincide@|@kongrui@
@coke@|@koakso@
@colander@|@elgutigilo, traverŝilo@
@cold@|@frida, malvarma, malvarmo, malvarmumo, nazkataro@
@cold sweat@|@angorŝvito@
@cold-blooded@|@fridsanga, malvarmsanga@
@collaborator@|@kunlaboranto@
@collapse@|@disfali@
@collar@|@kolumo@
@colleague@|@kolego, samprofesiano@
@collect@|@enkasigi, kolekti@
@collect on delivery@|@remburso@
@collection@|@aro, kolektado, kolekto@
@collection (of money)@|@monkolekto@
@collection of texts@|@tekstaro@
@collective@|@kolektiva, kolektivo@
@collectivity@|@kolektiveco@
@collector@|@kolektanto@
@college@|@kolegio@
@collide@|@alveturi, kolizii@
@collide with@|@puŝiĝi kun@
@collision@|@kolizio@
@colloquial@|@komunuza@
@colloquium@|@kolokvo@
@Cologne@|@Kolonjo@
@Cologne pot@|@grejsa poto@
@Colombia@|@Kolombio@
@Colombian@|@kolombia, kolombiano@
@Colombian woman@|@kolombianino@
@colon@|@dupunkto@
@colonel@|@kolonelo@
@colonial@|@kolonia@
@colonialism@|@koloniismo@
@colonise@|@koloniigi@
@Colonsay@|@Kolonsajo@
@colony@|@kolonio@
@colossal@|@kolosa@
@colossus@|@koloso@
