@English@|@Mapuche@
@stone Arrow@|@PULQUICURA@
@stone Axe@|@THOQUI@
@stone by day@|@antuquero@
@stone Dune@|@CURE HIM@
@Stone dune@|@Curaló@
@Stone mask@|@Colloncurá@
@Stone of gold@|@MILLACURA@
@Stone of the district@|@REUQUECURA@
@stone of the green condor@|@carupancura@
@Stone to mill@|@ÑACUDI@
@Stones@|@Pircas@
@Stones of green@|@LLANCAS@
@story@|@apeu@
@straw@|@küna@
@strong wind@|@kürüftuku@
@Sty@|@Pedinge@
@Success@|@non@
@Sugar@|@ZUCUM@
@Sulfurates@|@COPAHUE@
@summer@|@walüng@
@Summer@|@Ücanantü@
@sun@|@anti@
@Sun@|@Antel, Antü@
@Sunflower@|@LELIANTU@
@superstitious Cure@|@MACHITÚN@
@Swallow@|@PILMAIQUÉN, PILMAYQUÉN@
@swan@|@cauquen@
@Sweet@|@cochi@
@Syphilis@|@Chima@
@Tablespoon@|@RUFUHUE@
@tail@|@clen@
@Take a bath@|@meñen@
@taken a bath Cigars@|@TAPALQUÉ, TAPALQUÉN@
@taken out@|@ENTUCO@
@Talkative@|@alùpinve@
@Tea leaf@|@Culuy@
@Tear@|@cúllen@
@ten@|@mari@
@Ten@|@MARÍN@
@Ten lagoons@|@MARI LAUQUEN@
@Ten lucks@|@MARILLÁN@
@Ten vipers@|@MARIFIL@
@Ten wells@|@PULMARI@
@tenacious@|@yafüpelngen@
@thank you@|@krasia may@
@Thank you@|@FEYLLEGÀ@
@that@|@ayechi, tiechi@
@that doesn't have eyes@|@VILLAGEGUEN@
@the aboriginal of Buenos Aires@|@RANQUELES@
@the bed@|@ngütantu@
@The black tiger@|@CURRUNAO@
@The cross of the South@|@PUNON CHOIQUE@
@the day after tomorrow@|@epuwe@
@The day after tomorrow@|@Epue@
@The Demon@|@HUECUVÚ@
@The house@|@chiruca@
@the man@|@chi wentru@
@the man saw the woman@|@chi wentru pefi chi domo@
@the man was seen@|@chi wentru pengey@
@the man was seen by the woman@|@chi wentru peeyew chi domo@
@the men@|@chi pu wentru@
@the old one@|@coifin, coifuin@
@the owners of the ship@|@ngen·ke fote@
@the statement@|@feychi@
@the sun burns@|@areí-antu@
@the surface@|@wenche, wente@
@the time to Happen@|@RUTUN@
@the woman's mapuche shawl@|@ükülla@
@their@|@ñi@
@Them@|@FEIENGN@
@then@|@ka fey, may@
@there@|@feymew, me, üyew@
@they@|@feyengu, feyengün@
@Thigh@|@llike@
@Thin@|@chrongli@
@thirty@|@küla mari@
@this@|@fey, tüfachi@
@This@|@PUEL@
@This way@|@vam@
@thistle@|@chol@
@Thistle@|@NILHUE@
@three@|@küla@
@three filtrations of water@|@claromecó@
@three gumps@|@claluan@
@Threshold@|@WULUNGIÑ@
@threshold of the house@|@wulungiñ@
@throat@|@pel·@
@Thrush@|@Huilqui@
@Thumb@|@Vutachangüll@
@tibia@|@CORUNCO@
@Tiger@|@Nahuel@
@tiger Flower@|@REINAO@
@Time@|@Llagantü@
@Tires@|@rünü@
@to Accompany@|@LLALLITUYEMEN@
@to add potatoes@|@poñüñ ma@
@to add rice@|@aroñma@
@to always laugh@|@ayekan@
@to anger@|@illkun@
@to Annul@|@ÑAMÚMN@
@To answer@|@lloumen@
@to appear suddenly@|@wefrumen@
@to arrive@|@acun, akun@
@to Arrive to old@|@PAINEPAN@
@to ascend@|@püramün@
@to ask@|@ramtun@
@to be@|@küle@
@to be angry@|@illkülen@
@to Be angry@|@ILLCÙLEN@
@to Be bad@|@wedalkale@
@to be bad of health@|@wedalkale@
@to be blond@|@COLIQUEO@
@to be cheerful@|@ayuuculen@
@to be cold@|@uchren, wütrenge@
@to be come@|@küpatun@
@to be dangerous@|@kuñiwngen@
@to be energetic@|@yafüduamün@
@to be enough@|@feykan@
@to Be four@|@MELINAO@
@to be glistening@|@wilüfkülen@
@to be hard@|@yafün@
@to be isolated by flood@|@mangiñkonün@
@to Be Jewel@|@YANQUELÉN@
@to Be lance@|@RINQUE@
@to be make smth in silence@|@yaw@
@to be near a place@|@pichi mapulen@
@to Be of up@|@VENUQUEO@
@to be producing noise@|@palorkiaw, palorlkiaw@
@to Be quiet@|@ÜCÙMCÙLEN@
@to be sad@|@lladküle@
@to be sick@|@CUCHRANCÙLEN, kütrankülen@
@to be standing@|@witralen@
@to Be stopped@|@witralen@
@to be strong@|@yafüluukülen, yafüngelen@
@to be three@|@claqueo@
@to Be tip@|@HUECHUQUEO@
@to be to banks@|@-tulen, upül-külen@
@to Be useless@|@PAINGOLEN@
@to be valiant@|@yafüpiuke ngen@
@to be very wet@|@-külen@
@to Be violent@|@REUMAY@
@to Be with the closed eyes@|@UMERCÙLEN@
@to Be with the open mouth@|@ÜLALEN@
@to be worth@|@fali@
@to become animal@|@kulliñuwün@
@to begin something@|@llitulün@
@to bring@|@küpal@
@to buy@|@ngilla, ngillan@
@to call@|@mütrümün@
@To caress@|@mamputun@
@to catch@|@ñum@
@To catch@|@ñum@
@to cause laugh@|@ayen@
@to cheer up@|@yafüluwün@
@to come@|@küpan@
@to come red@|@COLIPA@
@to Come to the city@|@carpan@
@to console@|@yafülduamün@
@to converse@|@nutramka@
@to cook@|@afumün@
@to cough@|@chafo, chafon@
@to count@|@rakin@
@to Create@|@eln@
@to cry@|@ngüman@
@to cut firewood@|@iratu@
@to Dance@|@PURRUN@
@To dance@|@pùrun@
@To demand@|@pieln@
@To diagnose@|@peutucu-chran'n@
@to die@|@l·a@
@To die@|@lan@
@to dream@|@pewman@
@To drink@|@putun@
@to drink 'came'@|@putun@
@to drink tea@|@Cofuntuqueimi, Cofutuaimi@
@to drip@|@lüykün@
@to dynamite@|@tralkatun@
@to eat@|@i@
@to Eat lunch@|@VUTUN@
@to embroider@|@ñumican@
@To embroider@|@ñumican@
@to encourage@|@yafültükun, yafülün@
@To enjoy@|@alavn@
@to enter@|@konün@
@To enter@|@con'n@
@To eye@|@Leliuúln@
@To fall@|@chran'n@
@To fall in love@|@ayülumn@
@to fall in misfortune@|@kulpan@
@To fast@|@relihuen@
@to fish@|@challwa, challwan@
@to fix@|@eluwün, pepikawün@
@to forget@|@nguyün@
@to fracture@|@huachro@
@to gather people@|@ENTUN@
@to get lost@|@ÑAMÜN@
@to get up@|@witran@
@to give@|@ul@
@To give@|@elun@
@to give to know@|@kimelü@
@To go@|@amon, amun, cun-un@
@to go for a walk@|@pasia@
@to Go home@|@TÙNTUUN@
@To go to bed@|@cudun@
@to greet@|@chalin@
@to grow@|@tremün, tremün@
@to Grow@|@Ivún@
@to half-day@|@rangian·tü@
@to happen@|@rupan@
@to happen again@|@rupatun@
@to harden@|@yafükünun@
@to have@|@müle, nien@
@to Have a drink@|@QUIÑENTUN@
@to have a good time happily@|@ayekantun@
@to have complete calm@|@ñükun@
@to have spirit value@|@yafüptuduamün@
@to have under good conditions@|@küme femnien@
@to have wind@|@kürüfngen@
@to heat water@|@eñumalko@
@to help@|@kellun@
@to imitate@|@inawentu@
@to keep@|@elkünun@
@To kill@|@l·angümün@
@To kill a horse@|@Ilokawellün@
@to knock down a construction@|@larün@
@To know@|@quimm@
@to leave@|@amutun, elü@
@To leave@|@eln@
@to leave for the water@|@amukonü@
@to listen@|@allkütun@
@to live outside of a place@|@upültripalen@
@To look@|@Adkintun@
@to look for entreteiment@|@komütun@
@to lose@|@ñamün@
@to Lose the lance@|@VILLAGUAYQUI@
@to lose weight@|@tronglin@
@To love@|@ayün@
@to make@|@dewman@
@To make@|@mùln@
@to make cold@|@uchren@
@to make garglings@|@walwaltun, walwaltupelün@
@to make grow@|@tremümün@
@to make happy@|@ayiwün@
@To make happy@|@ayüulen@
@to make muday@|@mudayün@
@to make purchases@|@ngillaka, ngillakan@
@to make sick@|@kütranün@
@to move something materially@|@nengümün@
@to overflow@|@mangin@
@to Pass the stone@|@RUPALLANCATUCURA@
@to play@|@awkantun@
@to play the kultrun@|@kultrungtun@
@to plow@|@ketran@
@To plow@|@caicün@
@to punish@|@ulelü@
@to put in a meal@|@ñma@
@to rain@|@maun'n, mawin·ü@
@to rake@|@QUINTUNAN@
@to reach@|@dingen@
@to read@|@leye@
@To read@|@chilcatun@
@to rest@|@kansatun@
@to return@|@wiñon, wiñotu@
@to Return@|@WIÑON@
@to revive@|@mongetun@
@to rush@|@huaiqui@
@to say@|@feypin@
@To say@|@pin@
@to scream@|@wirarun@
@To scream@|@cuchrum@
@to season@|@yafüfünün@
@to sell@|@fenden@
@to send to somebody@|@werkün@
@to separate@|@wüdan@
@to Sew@|@huipun@
@to shake hands@|@füta kuyfi@
@to Shine@|@WILÜFKÜLEN@
@to sight@|@penge@
@to sing@|@ülkantun@
@To sing@|@güln@
@to Sip for the noses@|@GUENUPÁN@
@to sit down@|@anün@
@to sleep@|@umawtu@
@to Sleep@|@umagn@
@To sleep@|@umagn@
@To smoke@|@púchremn@
@to soak@|@llodko@
@to sow@|@ngan·ü@
@to speak@|@dungun@
@to Suffer the plague@|@VILLAN@
@To swear@|@ran@
@to take@|@cülìn'n-yen@
@to Take@|@ye@
@to take a bath@|@müñetun@
@To take a bath@|@meñen@
@to take charge@|@yefaltun@
@to take chicha@|@chichatun@
@to take tea@|@matetun@
@To talk@|@dùngun@
@to teach@|@kimeltu@
@to the dawn@|@epe afichi pun@
@to the Right@|@mampùle@
@to the south@|@willitu@
@to think@|@rakiduamün@
@to tint@|@kelüñün@
@to visit@|@ngepan, pe@
@to wait@|@üngümün@
@To walk@|@amon@
@to walk happy@|@ayiwkiawün@
@to walk lost@|@ñamikuaw@
@to Walk on foot@|@NAMUNTUN@
@to walk strong@|@yafüamun@
@to wash clothes@|@küchatun@
@to watch over@|@ngüneduamün@
@to wet a lot@|@külchafün@
@to wet a lot some@|@külchafülün@
@to work@|@küdaw@
@Toad@|@Llavachra@
@Toad of the water@|@Arauco@
@toad of water@|@Arauco@
@Toast@|@llagpai@
@Toasted corn@|@Cotar@
@today@|@chai, fachian·tü@
@Toilet@|@aiviñ@
@tomorrow@|@ule, Uùle@
@too much@|@rume@
@tooth@|@foro@
@Toothache@|@PIRUCUCHRAN@
@toward the town@|@Bariloche@
@town@|@face@
@Toy@|@püñeñcantu@
@trapped Condor@|@MANQUILLAN@
@Tree@|@MAMÜLL@
@Tree of beautiful aspect@|@COIHUÉ@
@Trenches@|@HUINCA CAHUELLA@
@Trumpet@|@Tultuca@
@Tuberculosis@|@Ancüncuchran@
@Turkey@|@Cùpel-Cùpel@
@Turnip@|@Napur@
@twenty@|@epu mari@
@two@|@epu@
@Two@|@EPUH@
@Two foxes@|@EPUGNER, EPUMER@
@Ugly@|@tutennolu@
@Uncle@|@weke, weku@
@uncle on the part of father@|@malle, weku@
@uncle on the part of mother@|@weke@
@Under@|@pichi pùra@
@Unhappy@|@cuñival@
@Union@|@Traful@
@Unpleasant@|@cüilu@
@untamable@|@auca@
@until@|@ula@
@Up@|@huenu@
@Us@|@Inchín@
@used when separating@|@amuchimai@
@Vacates@|@Huaca@
@Vent@|@cüchralhue@
@verb morpheme@|@un@
@verbal morpheme@|@el, eyu, f, femün, fu, Kafu, kil, l, lel, lel, lel, lel, ll, ll, lle, lle, lu, lu, lu, meke, mün, peafu, peafu, peafu, peafu, pefu, pefu, pefu, peyüm, peyüm, puda, urpa@
@verbal morpheme of dislike@|@se@
@very hot@|@areco@
@Vessel@|@Mefeng@
@Vincha@|@Trarilonco@
@Vinchuca@|@Lepuvuri@
@Violet@|@Pillondeuü@
@Viper@|@Cho-cha, Filu@
@Viper of gold@|@FILUMIL@
@visits of all parts@|@fillepüle witran@
@Vulture@|@MAIM, MANQUI@
@walking@|@n·amuntu@
@war@|@hueicha@
@Watery of the hare@|@MARACO@
@we@|@iñchiñ, iñchiw@
@We go to drink tea@|@Cofuntuqueimi, Cofutuaimi@
@Weak@|@yavünolu@
@Weasel@|@LACQUER@
@well@|@feley, MAI-MAI@
@Well@|@cüme@
@Well done@|@cheuùl@
@West@|@Conhueantü@
@what@|@chem@
@what did he make?@|@¿chumi am?@
@what takes a short cut@|@cautin@
@wheat@|@kachilla@
@Wheat@|@Cachilla@
@when@|@chumül, chumüñ@
@where@|@cheu, chew@
@Where@|@cheo@
@Where there is green@|@carhue@
@Where there is population@|@carhué@
@Which@|@TUCHI, TUCHU@
@while I left to the house@|@Amul·etul·ü ruka mew inche@
@white@|@fig@
@white Lizard@|@LIURQUE@
@white Stone@|@LIENCURÁ@
@who@|@iney@
@why@|@chumngelu@
@why?@|@¿chumwelu am?@
@Wicked spirit@|@GUALICHO@
@Widower@|@Lantu@
@will rain@|@MAHUANAI@
@wind@|@kürüf@
@Wind@|@CÜRUV@
@Windpipe@|@Huangulen@
@winter@|@pukem@
@wish@|@lan@
@With@|@meu@
@With beard@|@PAILLÁN@
@With me@|@inchemeu@
@Woman@|@Domo@
@woman's brother@|@wentru lamngen@
@woman's children@|@puñeñ@
@woman's dress@|@Chamall@
@Womb@|@Coñihue@
@wooden fence@|@MAMUL MALAL@
@Wooden whistle@|@Pifilca@
@wrist@|@Neyün@
@year@|@chipantu, tripantu@
@yellow@|@chod@
@Yesterday@|@ESCAPE@
@you@|@eymi, eymu@
@You@|@Eimi, Eimi, Eimn@
@you (plural)@|@eymün@
@you speak the language?@|@CÜME-CHETUE-IMI@
@young@|@weche@
@Young@|@hùeche@
@young ox@|@colcol@
@your@|@mi, mu, mün, ÑI, tami, tamn@
@yours@|@tami@
@zinc@|@single@

