@English@|@Mongolian@
@fermented milk with water@|@kimur, kiram, kirma, xaram@
@fern@|@ojim, ojima, ojimu@
@ferocious@|@dogšin, tosi-@
@fifty@|@tabi(n), tabin@
@file@|@kirä, kire, kiru, kirü, kiru'e, kirüge, qaurai, üre-, ürü-, xuru-@
@file (1)@|@qüra, qurai, xüraj@
@final (definitive)@|@etssiin@
@final interrogative particle@|@-mi, -mu@
@find pleasure in something@|@ta'ala-, ta'alam, tab, tabsi-, taji-, tala-, täla-@
@fine sand@|@xumag@
@Fine thanks and you?@|@Sain ta sain baina uu@
@finger@|@quru'un, qurun, xurü@
@finger-nail@|@kimul, kimusu(n), qimusun, qumusu(n), xums(an)@
@fire@|@gal, qal@
@fire steel@|@kete, xet@
@Fire!@|@Gal!@
@fire-brand@|@cucal@
@firm@|@beki, bekü, bex, böke, böx, buke@
@first rib@|@bogino, xavirga@
@first snow@|@xarmag@
@Fish@|@zagas@
@fish bait@|@ilbës@
@fish fin@|@žiber, živer@
@fish glue@|@cavü(n)@
@fish roe@|@türisü(n), türs@
@fish-eagle@|@geske@
@fish-net@|@ögesi(n)@
@fist@|@nidurga, nudargan, nüdor-, nudurqa, nudurxa@
@five@|@tab, tabun, täbun, tav@
@flame@|@döl, döli, dölü, dürsxij-, nöl, nöle, nüle, zali@
@flat@|@qabta- qabtaqai, xavt-, xavtgaj@
@flat surface@|@döl, döli@
@flea@|@sirke@
@flesh@|@miq-a@
@fling@|@side-, šide-@
@flock@|@obog-a@
@floor@|@hiruar, hirur joröl, ir, irmeg, xira'ur, xiru'ar@
@flour@|@guril, qolir@
@fly@|@batgana, jalän, nis-, nisi-qu, nisu-@
@flying dust@|@tortag, tortog, toru@
@flying squirrel@|@olbi, olbo, olbu, oliba@
@foal of a donkey@|@dudraj, dudran, dudurai, dudurang@
@foal up to one year old@|@unaga, unaha(n), unëha, unuxan@
@foam or scum@|@cër@
@fog@|@budan, budang, budunggu, manan, manang@
@foot@|@kol, köl, kul, xöl@
@for@|@tula@
@for a long time@|@udaan khugatsaagaar@
@for hired work@|@kölüsü(n), kulesu, kulesun, xöls@
@for me@|@nada@
@force@|@khych@
@ford@|@olam, olom, olum, olung@
@forehead@|@duqu, duxa, man, manglai, mangnai@
@foreign@|@qari, xar, xarilca-@
@foreigner@|@büši@
@forest@|@oi@
@fork@|@sabar, sabur, savar@
@form@|@dür, düri@
@formal@|@tani@
@formerly@|@urd, urida, urit@
@fortress@|@balaqasun, balaxasun, balgas@
@forty@|@döc(in), docin, ducin@
@fountain@|@bulag@
@four@|@dörbe(n), dörben, döröb, döröv, durbän@
@fox@|@hongen, hunägän, üneg(en), ünege, ünegen, xunegan@
@fragile@|@kebere-, kebereg, keberek, keberig, kebire-@
@frame@|@ram@
@freckles@|@sevx@
@free@|@salbaji-, selbeji-, selün, tsolootei@
@freeze stiff@|@dereji-, derij-@
@freezing@|@dün, düng@
@fresh@|@seri'un, seri'ut-, serigün, serün@
@freshet@|@ujer, üjer@
@fried mutton pancakes@|@khuushuur@
@friend@|@and, anda, nökör, nökür, qani, sadan, sadun@
@Friend@|@naiz@
@friend (1)@|@nokor, nöxör@
@friendly@|@nokhorsog@
@friendship@|@nai, naira-qui, naj, najir, najira-, najr, najra-@
@frightened@|@orgo-, ürge-, urgu-, ürgü-@
@fringe@|@sacug@
@frog@|@baq-a, melekei, menekai, menekei, menëkï, minäkäj@
@frog (1)@|@melxij@
@frolic@|@alašira-, alia, alija@
@front@|@eki(n), ex, hikin, xeki@
@front legs@|@qa, qaji(n), xaa@
@front part of the throat@|@gürë(n), gürege(n)@
@frontier@|@sab, saba, sav@
@frost@|@kiragu, kiragu@
@fruit@|@ür-e@
@Fruit@|@jims@
@full@|@degüren, delge-, delger, dorun, du'ur-, duran@
@full moon@|@tergel@
@funnel@|@töno@
@fur hat@|@malaqaj, malgaj, maqalai@
@fur on animal's paws@|@hodu, hudal, hudasun, hutal, hutul, qudusun@
@fur stockings@|@degtei, degti@
@further@|@tsaashid@
@future@|@ireedui@
@gad-fly@|@nahalinqai, nälinxaj@
@gall@|@sölsü(n), sös, sösü(n), šuelüsun, sülsu@
@gambol@|@toglo-, tohla-@
@game@|@bulga(n), buluqan, buluxan@
@garage@|@garaj@
@garbage bag@|@khogiin uut@
@garment@|@khuvtsas@
@Garuda (King of Birds)@|@khangard@
@gate@|@e'ede, e'uden, iudän@
@Gautama Buddha@|@burkhan@
@gelded goat@|@serke, serx@
@gelding@|@agta@
@general@|@eronkhii@
@general practitioner@|@eronkhii erdem, eronkhii erdem ezemshigts@
@general state or condition@|@nurü(n)@
@generation@|@yasun, zalgamj ue@
@gentle@|@nemegün, nomuj, nomuqan, nomxon@
@get tired@|@al-mai, alda-, aldal, aldara-, algü, almai@
@gift@|@beleg@
@gimlet@|@öröm, örüm@
@gingerly@|@bolgö-, bolqa'a-, boluxa'a-@
@girl@|@bacgan@
@glanders@|@sagü@
@gleam@|@tuja, tujä, tujaha(n)@
@glorify@|@magta-, mahta-, maxta-@
@gloves@|@begelei, bëlij@
@go out@|@gadagsh garakh@
@goal@|@zorilgo@
@goat@|@imag-a, xoni@
@God@|@burqan@
@gold@|@altan, burqan@
@good@|@gojo, gua, qo'a, qohä, sajin, sajiqan, säjn@
@Good@|@sain@
@Good afternoon@|@Ödriin mend@
@Good bye@|@Bayartai@
@Good evening@|@Oroin mend@
@good luck@|@amjilt khus(i)e@
@Good morning@|@Öglöönii mend@
@Good night@|@Saikhan amraarai@
@good quality@|@olig@
@Goodbye@|@Bayartai@
@goose@|@galü, qalau'u, qalawun@
@gossip@|@chügi, chuu, chuugi- chü@
@gourd@|@kemeke, xemx@
@government@|@törü@
@gradually@|@aajmaar, ulam@
@graduate@|@togsokh surguul(i)@
@grandfather@|@övög@
@grass@|@ebesun, ebesün, ibäsun, öws(ön)@
@grass with its green colour@|@söl, sölü@
@grave hill@|@obo'o, obuha(n), ovö@
@grayling@|@qadara, qadarang, xadar, xadrang@
@great@|@dajan, dajär, dajir, tomu@
@greedy@|@qomuqai, suvdag, xomxoj@
@grey@|@bora, borä, boro, boru@
@grey hair@|@büral, burul@
@greyish@|@orog, orox@
@grind@|@tata-@
@groin@|@qabichah, xavcag@
@groove@|@qobil, qobudal, qobul, xovdol, xovil, xovol@
@gross@|@golij-@
@group@|@anggi, anggida, angi, angid@
@grouse@|@lax, nogtrü@
@growl@|@düdne-, düdüne-@
@grown-up elk@|@togi, togij@
@gruel@|@buda'an, budä(n), budan@
@guileless@|@xoñgor@
@guilt@|@balag@
@guitar@|@gitar@
@gull@|@aqauna, aquuna, axün, axüna@
@habit@|@zurshil@
@hack@|@erü-, qaji-, qaji-mur@
@hail@|@möndör, möndür, mülsün, su, sü, su-tu, suu@
@hair@|@häson, üs(en), üsü, üsü(n), usun, xüsun@
@hair of the mane and tail@|@kilgasu@
@hair on temples@|@sanggas, sangmai, sangna@
@half@|@khagas, tal@
@halter@|@žilu'a, žiluha, žolä, žolö@
@hammer@|@aluqa(n), alx(an), dabši-, dabta-, davta-@
@hand@|@gar, sarvuu@
@handful@|@adqu, adqu-, atga, xatqu@
@handle of a bucket@|@kikili, xijl@
@handle with hole@|@senž, senži@
@hang over@|@najga-@
@happiness@|@köger, köger(e)-, kögeri-, köwr, xü@
@Happy Birthday@|@Tersen edriin bayar hurgeye@
@hard@|@qata'u, qata-, qatanggin, qatau'u, xat-, xatagu@
@hard bark@|@kairsun, qajir(a)-su(n), xajrs@
@hard growth@|@bersegüü, bersü@
@hare@|@taulai, tulai, tülaj@
@harm@|@qour, qoura, qür, qurä, xor@
@harmony@|@jarü, jira'u, uyangg-a@
@hat@|@tumlaj, tumulai@
@hate@|@ös, oš(i), ösige, ösiy-e, osül@
@have a wide opening@|@calaj-, chalaji-@
@have no power@|@jada-@
@having grey spots@|@öl, ole, öle@
@having no branches of a tree@|@govor, hobur@
@hazel-hen@|@jotü@
@he@|@ter, ter, tere@
@head@|@tergün, teri'un, terigün, tirun, tirün, türü@
@head (1)@|@tolgoj@
@heading@|@gartsig@
@headline@|@sonin(i) tolgoi, tovts medeelel@
@headstall@|@nogt, nuxta@
@health@|@eruul mend@
@healthy@|@mendü@
@hear@|@sonäs-, sonos-, sonso-, sonus-, sunas-, sura-@
@hearth@|@golomt holumta, hulumtan@
@heaven@|@tngri, xoxtorqu, xoxtorxu@
@heavy@|@kundu, kündü, xünd@
@heavy rain@|@ädar, boro'an, borö(n), burgana-@
@heel@|@ösgij, osogo, ösügei, usegei@
@he-goat (2 years old)@|@segenek, sejinüg, sijneg@
@heifer@|@qasirah@
@Hello@|@Sain baina uu@
@helmet@|@du'uluqa, dugulg-a, dugulg-a, dülga@
@help@|@tuslakh, tuslamj@
@Help!@|@Tuslaarai!@
@hemp@|@olosun, ols@
@hen@|@takija, takija(n), takiy-a, taqija, taxä@
@here@|@ende@
@hero@|@bagatur, bagatur@
@heron@|@deglei, deglij@
@high@|@öndör, öndür, undur@
@hill@|@gübege(n), gübüge(n), güvë, uqaha, uxä@
@Hill@|@dov@
@hip bone@|@qari, qaritu, xart@
@history@|@tegüke, teüke, tüx@
@hit@|@delde-, dele-, deled-, deles-, delet-, delse-@
@hit against smth.@|@saba-, sava-@
@hither@|@inagsi@
@hoarfrost@|@khiaruu@
@hoar-frost@|@chang@
@hobby@|@khobbi@
@hole@|@nukh, onggi, sekege, sexë, sube, sube, sübe, sübe, sube-s, sube-s, suv, suv@
@hole (1)@|@chonghur@
@hollow@|@honi, köndei, on, oni, ono, onu, qo'o-sun, xöndöj, xöson, xotgor@
@hollow below the ribs@|@oji-su, ojs@
@hollow under Adam's apple@|@önggelegür, önggölegür, önggölür@
@home@|@ger@
@honest@|@šidurhu, šidurxu, šudraga@
@honey@|@bal@
@honour@|@aldar@
@hoof@|@tar, taura, tür, türaj, turu, turu'un, turwun@
@hoof disease@|@södrög, södürge@
@hook@|@gox, sojö@
@hope@|@gor, gori@
@horizontal@|@khevtee (tenkhleg)@
@horizontal bar in a yurt@|@däga@
@horn@|@äbär, eber, ever, hibär, ibär@
@horse@|@mor, mori, morin, murin@
@horse dung@|@qomaul, xomöl@
@horse(s)@|@adasun, adon, adoson, adu'u(n), adu(w)sun, adusun@
@horse's hair@|@kilqasun, xalgas@
@horseshoe@|@taqa, tax@
@Hospital@|@emneleg@
@hot ashes@|@nurma@
@Hotel@|@zochid buudal@
@house@|@ger, ker, kir@
@household@|@khun am@
@how@|@ker@
@How are you?@|@sain bainuu?, Sonin yu baina ve?@
@how many@|@kedü@
@How much does this cost?@|@En yamar üntei ve?@
@How much is the fare?@|@bilet yamar üntei ve?@
@How much is this?@|@En yamar üntei ve?@
@hub@|@qolkibchi, xolxiwch, xolxovch-num, xolxowch@
@huckle-bone (of animals)@|@tuuqai, tüxaj@
@huge@|@augaa tom, avraga@
@hull@|@toor@
@human being@|@kümün@
@hump@|@bogotur, böke, bökeji-, bokotur, böküi-, bukä-tu@
@humpbacked@|@bögtör, böx(ön)@
@hunt@|@aba@
@hurry@|@maca-, macha-, tebede-, tevde-@
@Husband@|@nökhör@
@I@|@bi, nad-, namaj, namaj(g), namaji, nid-@
@I am an atheïst@|@bi shashingui khün@
@I don´t understand@|@bi oilgokhgui baina@
@I don't speak Mongolian@|@bi mongol khel medekhguy@
@I don't understand@|@bi oilgokhgui baina@
@I love you@|@Bi chamd khairtai@
@I speak a little Mongolian@|@bi mongol hel zhaahan meden, Tiym@
@I would like to buy...@|@bi...avmaar bain@
@ice@|@mölsü(n), molsun, mös, mösün, mundur@
@idea@|@sanaa@
@ignorance@|@munggaq, munxag@
@illness@|@äbdä-@
@illumination@|@gerel@
@I'm from ...@|@Bi ...ees irsen@
@I'm sorry@|@Uuchlaarai@
@important@|@tsukhal@
@in a row@|@darä, daram, daruj-dur, darun@
@in front@|@urd, urida@
@in some places@|@qay-a@
@in the meantime@|@ter zuurt@
@in the middle@|@dumda@
@in vain@|@demei, demij, tsusand@
@incline@|@köbüre-, küber-@
@indeed@|@la, le@
@indignation@|@egdegüü, egdü, žebegüü, zevü(n), žibegüü, živü(n)@
@influence@|@nölüge, nüles-kui@
@information@|@medeelel@
@inner fat@|@qarbin, xarvin@
@inobedient@|@keder, xeder@
@insect@|@šabaži, šavž, sibaži, šimu'ul, šimul, šumül@
@insect eggs@|@sag@
@inside@|@do-tur(a), dotona, dotora, dotur-a, du-li, du-mda@
@instantly@|@abad, avd@
@instigate@|@uda-@
@instructor@|@zaavarlagts@
@instrument@|@zemseg@
@intellect@|@oyun@
@intent@|@dur, dura, durat-, durla-@
@interest@|@sonirkhol@
@interesting@|@sonirkholtoi@
@interruption@|@seg@
@interview@|@yariltslaga@
@intestines@|@Gedes, gedesü(n), gedesun, gedüsü(n), kesosun@
@invite@|@zala-, žala-@
@iron@|@temür@
@is@|@ayu@
@is this your watch?@|@ene tani tsag uu?@
@island@|@aral, sina'a@
@island in a river@|@küjil-sü, xüjls@
@it@|@tere@
@It is peaceful@|@Taivan  (saikhan) baina@
@It is peaceful.@|@Taivan  (saikhan) baina@
@its@|@inü@
@jackdaw@|@alax ta'un, tahu, tü@
@jacket@|@khurem@
@jealousy@|@atä(n)@
@jerboa@|@alagdäx, algadäx@
@jet@|@sadara-, sadra-@
@job@|@ajil@
@joint@|@üy-e@
@joke@|@qosing, qošung, xošin@
@joss-house@|@süm, sume, süme, sume ger@
@journalist@|@redaktor, setguults@
@joy@|@bajar, bayar@
@judge@|@shuukh@
@juice@|@sigüsü(n), sigüsü(n), šim, sime@
@Juice@|@jüüs, shuus@
@jujube@|@chavga, chibaha(n), chibuha, chibuqan@
@just@|@shudarga yous@
@just a little@|@arai, araj, aran@
@justly@|@shudargaar@
@keep in confinement@|@xadgala-@
@kettle@|@togö, toxo'an@
@key@|@tulkhuur, tülkigür@
@kidney@|@bögär-ä, böger-e@
@kidney(s)@|@bo'ere, bögere@
@king@|@khaan, qan@
@kitchen dish@|@sarqu@
@kite@|@elë, elije, iläs, xele'e@
@knee@|@äbdäk, äbdäk, ebüdüg, ebuduk, ebuduk, övdög, övdög, tojg, ubuduk, ubuduk@
@knee bow@|@takim, taxim@
@knife@|@kitug-a, kituqai, xutga@
@knobby@|@gögde-ger, güdger, güdgr, güdügür, gügde-ger@
@knots of a bow-string@|@ko, küir, xüjde-@
@knotweed@|@zürgij, žürgij, žürgüj@
@knowledge@|@medleg@
@kolinsky@|@solonggo@
@kumys@|@aijirax, ajrag@
@Labrador tea@|@surgar@
@lace@|@sagaldraga, segeldereg, segeldreg@
@lady@|@xatun@
@lady bug@|@neüne, nüne@
@lake@|@na'ur, näwor, näwur, nür@
@Lake@|@nuur@
@Lamaist religion@|@lamin shashin@
@lamb@|@quriqa(n), qurixan, xurag-a, xurgan@
@language@|@kele, xel@
@lap (in woman's garment)@|@sum, sumu@
@large@|@amban, mandgar, mandu-, mantaj, mantu-@
@large intestines@|@umer-, umere, ums, umusu@
@large red@|@moncog@
@largely@|@er n(i), ikhevtslen@
@lark@|@bildu'ur, bolzhmor, bozhrogo@
@larva@|@öt, ötü(n)@
@larva of a gad-fly@|@gür@
@lasso pole@|@u'urqa, ürga@
@last year's lamb@|@tölgö, tölög, tölöge, tölüge(n)@
@lately@|@suuliin ued@
@later@|@daraa, möd, mödü@
@lawsuit@|@zargu@
@leading string in net@|@a'oga@
@leaf (of some plants)@|@laba, namä@
@league@|@ayimag@
@lean@|@gulbij-@
@lean on@|@tul-, tula-, tulxa@
@leap@|@üsre-, üsür-@
@Leash@|@Orkhits@
@leather bag@|@tulam, tulum@
@leave@|@orkhikh, yavakh@
@Left@|@züün@
@left over@|@busad n(i)@
@leg@|@köl@
@lending money at interest@|@ahsu- agsan, ahsun, ahura, ahura-su(n), ürs(an)@
@lengthen@|@sunu-@
@letter (alphabet)@|@üsüg@
@level@|@tegš, tegsi, tegusi@
@lie@|@khudal khelekh@
@lie in ambush@|@gete-@
@life@|@am, am(i)dral, ami, amin@
@light@|@gerä, gere, gerel, güiken, güjüken, könggen@
@light (1)@|@gojen, göjön, güjin, güjüxen@
@light (not heavy)@|@koñgen, küañgan, xöñgen@
@light brown@|@qongqor, xongor@
@lik@|@adali@
@like@|@met, metu, metü@
@linden@|@daldau, daldü, dom@
@line@|@mör@
@linger@|@sa'ara-, sär-, sät-@
@lingering@|@nör, nöri(n), nörö-, norus-@
@lintel of a door@|@enex, enike@
@lion@|@arsalan@
@lip@|@horol, horül ural, hurul, ulur, urul, urül, xurül@
@liquor@|@ariki@
@list@|@dël, dil, küsünüg, xüsneg@
@listen@|@du'ulqa-, düla-@
@litter@|@salga@
@liver@|@eleg, elige, hilgä, iligän, xeligan, xelige(n)@
@liver (1)@|@elgen@
@loach@|@qobqu, xovx@
@local@|@oron nutgiin@
@lock@|@tsooj, tsoojlokh@
@locust@|@carcä(n), carcäxaj, sarsä@
@logical@|@logitsn(i)@
@long@|@ortu, urdu, urtu, uruxši jire@
@Long@|@urt@
@long and narrow box@|@xowd@
@long leather sack@|@sumal@
@long narrow piece@|@chohudasu(n), cüdas@
@long rod@|@sirbegül, sirbegür, sirbigür, širvül@
@look like@|@adilkhan baikh@
@loose@|@sula@
@lot@|@šavga, sibaha(n)@
@lotus@|@lingqu-a@
@louse@|@birik, bögesün, burge, bürge, burkä, büürge@
@louse (1)@|@bo'esun, buäsun, büreg, büsün@
@louse (of animals)@|@sirke, širx@
@love@|@qajira, qajirala-, qayir-a, xajr@
@low@|@nam, namü@
@lower@|@dooradu@
@lower hard part of hoof@|@turü@
@lower jaw@|@eirün, eregün, eregüü, ereü, eri'un, erigü, irun@
@lower part of animal's belly@|@öjekei, öjöxij, öjüke@
@luck@|@kesig, xišig@
@luggage@|@atsaa baraa@
@lump@|@buldrü, bulduruw, bulu, bulü, buluw@
@Lunch@|@üdiin khool@
@lungs@|@a'ušigi, ouski, üšgi(n), üšig@
@lust@|@užid@
@machine@|@mashin@
@maggot@|@ötög@
@magic@|@dom, domog@
@mail@|@shuudan@
@mainly@|@undsendee@
@maize@|@šiš, sisi@
@majesty@|@qudux, qutux, xutag@
@make an effort@|@mereji-, merij-@
@male@|@bojir, bojr@
@male camel@|@buur-a, buur-a@
@male elk@|@manž, manži@
@male mountain antelope@|@ohunu, öno, onu@
@male of animals@|@gendü, gendü(n)@
@mallet@|@muna@
@man@|@ärä, er, er-e, ere, irä, kümün@
@Man@|@Khin@
@many@|@masi, olan, olon, ulan, ulän@
@Map@|@gazryn zurag@
@mare@|@ge'un, gegü(n), gegüü, geü, gü(n), guun-du, keun@
@mark@|@im@
@Market@|@zakh@
@marriage@|@gerlelt, urag@
@marriage price@|@süi, süj@
@marrow@|@kemi, niri'un, nirisun, niru'un, nirun, nurü, xim@
@marshmallow@|@avga@
@marshy ground@|@labqan, labqu, lavx, lobqu, lovx@
@marten@|@sowsar, süsar, suusar@
@mat@|@segel, seglei, seglij, segu'ul-@
@mate@|@qani, qanilqa- xan@
@material@|@material@
@maternal relative@|@nagac, nahachu, naxachü(i)@
@maximal@|@khamgiin deed khemjee@
@mayflower@|@dolögono, dolunu@
@me@|@bi@
@meadowgrass@|@xalgana@
@meal@|@idege@
@meaning@|@udqa, utga@
@means of transportation@|@kolge, kölge(n), xölög@
@meanwhile@|@getel-e, ter ued@
@measure@|@kem, khemjee, xem@
@meat@|@max(an), miq-a, miqa, miqan, mixa, mixan@
@meat on sheep's rump@|@namilqai, namilxaj@
@medicine@|@anagaakh ukhaan, em@
@medicine bag@|@mankhag@
@mediocre@|@dotor, dul, dund@
@meeting@|@xural@
@member@|@gesigün@
@message@|@medee medeelel@
@method@|@arga, arqa@
@middle@|@donda, dumda, dunda, dutar, duturä, töb@
@middle ear@|@qulki, xulga, xulxi@
@middle of day@|@d(ä)li, dül, duli, düli@
@milk@|@su, sü, sün@
@milk curd@|@xurud@
@mind@|@uqa-, uxä, uxa'an@
@mine@|@haur, huur, minü, urqai, ürxaj@
@mineral water@|@rasiyan@
@minimal@|@khamgiin baga khemjee@
@minister@|@said@
@minute@|@minut@
@mirror@|@tol, toli, toli(n), tolui, tüli, tuluj@
@miserly@|@kerig, kireg, kirig, qaram, xaram, xereg@
@mist@|@küdeng, uniar, xüden@
@mistake@|@anda-, andagu, anduri-@
@mix@|@kholikh@
@modern@|@ortsin ueiin@
@molar@|@arag-a@
@molar tooth@|@arä@
@mole@|@menge, mengge, noman, nomin, nomon, nomun@
@molestation@|@ulgi-, ulig, ulki-@
@moment@|@moment, mots, xuram@
@monastery@|@keyid, keyid, khiid, khuree(n), küriy-e@
@money@|@möngün@
@Mongol@|@monggol@
@Mongolian@|@monggol@
@monk@|@lam@
@monkey@|@sarbachin, sarmagchin, sarmahchin, sor-mëchi@
@month@|@sar-a@
@moon@|@sar, sara, sarä, sara(n)@
@moonlight@|@sarni gerel@
@more than@|@garuj@
@moreover@|@tuuntslen@
@morning@|@örlüge@
@Morning star@|@colmon, colmon@
@mortar@|@a'ur, ür@
@mosquito@|@boko'una, bökügene, böküne, böxnö@
@moss@|@köbdü, köbke, xövd@
@moth@|@xiv@
@moth larva@|@kürid, xürd@
@mother@|@äke, ebei, eke, ex@
@Mother@|@eej@
@mother of pearl@|@tana, tanan@
@motion@|@yabudal@
@mould@|@bë-, bege-, kine, xine@
@mountain@|@(a)ula, a'ula, awla, ayulan, ül, üla, uul@
@mountain deer@|@maral, märäl@
@mountain ridge@|@šil, sili@
@mountain slopes@|@bögereg, bögerüg@
@mourning@|@ui, ui'it-, uj, ujda-, ujid-@
@mouse@|@quluqana, xulgana, xuluqana@
@mouth@|@am, ama, ama(n), amsa-@
@move to the side@|@qadaura-, xadüra-@
@move with a lever@|@kösi-, kösihür, xöši-, xöšür@
@movies@|@kino@
@mud@|@lag, lagalda-, lagda-, lai, laj, sibar@
@mulberry-tree@|@ilama, ilma, jalma@
@murder@|@alan khyadlaga@
@Museum@|@muzei@
@mushroom@|@moog@
@musk-deer@|@küderi, xüder@
@Muslim@|@lalo@
@My name is ...@|@Minii ner...@
@nail@|@gadas, qada'asun, qada-, qadasu(n), xada-, xadäs@
@naked@|@nücgen, šaldan, šaldang, sildang@
@name@|@ner, ner-e, nere, nirin@
@names of plants with specific@|@sikür, šüxer@
@nation@|@otog, otog, ulus@
@native place@|@nuntux, nutag, nutux@
@nausea@|@oi, oj@
@navel@|@kï, köi, köi(l)sü, küi, küilsü(n), küisü(n), qui, qui@
@navel (1)@|@kojisun, kuj-sun, xüjs@
@near@|@ojira, ojiri, oyir-a@
@Near@|@oir@
@nearly@|@barag@
@necessary@|@shaardlagatai@
@neck cangue@|@döngge, döngö@
@need@|@kheregtseetei baikh@
@needles of a conifer@|@silbegüsü(n), silbüsün, silmegüsü(n), silmügüsü(n)@
@needles of a conifer (1)@|@šilmüs, silümüsü(n)@
@neighbor@|@ayil@
@neighbour@|@ail@
@nephew@|@žë, žege, žeje, žige@
@nervousness@|@cuxal@
@nest@|@egür, ongi, ongorxoi, ongqaca, unqaca, xe'ud@
@nest (1)@|@he'ut, ür@
@net@|@golimi, golmi, gölmi, gölöm, urax-a@
@net for catching birds@|@togšö-@
@net string@|@tamasu, tams@
@new@|@sin-e, sine, šine, sïni, šini@
@new-born@|@nalx, naraj, nilqa, nirai@
@new-born child@|@cax@
@new-born deer@|@ele'ut, eli, ili@
@news@|@sonin@
@newspaper@|@sonin@
@newspaper article@|@soningiin niitlel@
@nice@|@yanztai@
@night@|@söni, šönö, sueni, suni, üd, uder, udëši, xonog@
@niigemleg@|@society@
@nine@|@yisün, yös@
@nipple@|@keuke, kokan, köke(n), kökü(n), kukän, xöx@
@nit@|@quur(a)su, xürs@
@No@|@Ugui@
@nobleman@|@noyan, vang@
@noise@|@tsimee shuugian@
@noisy discussion@|@nürgegen, nürgën@
@nomad neighbour@|@säxalt@
@noon@|@üde@
@normal@|@kheviin@
@North@|@ar, aru, aru-ki, umar, umara, umken@
@Northwards@|@qoji-na, qoji-si, qojina, qüjna, xojno, xojš@
@nose@|@qabar, qamar, xamar@
@nose bones@|@sadarqai, sadurqai@
@not@|@es, ese, ise, ül, ulu, ülü@
@not to be able to@|@yadaqu@
@not very good@|@egel, egil@
@nothing@|@youmgui, youu ts bish@
@Nothing particular@|@youmgui taivan@
@notice@|@sere-, sere-, sere-ba, seri-@
@notion@|@tomi-ja(n), tomjö-n@
@novel@|@roman@
@now@|@edüge@
@nowadays@|@odoo ued@
@nurse@|@suvilagts@
@nut tree@|@šeger, šër@
@nutrition@|@öl@
@oak tree@|@cars, charasu@
@oar@|@sehül, sül@
@oath@|@andaqar, andgaj, tanggarag@
@obliquely@|@isü@
@obscure@|@sümeg, sümeger, sümeji-, sümger, sümij-@
@obtain@|@ol-, ul-, ula-@
@obvious@|@il, ile, iledte@
@ocean@|@dalai, dalaj@
@odd@|@sondgoj@
@offend@|@da'ari-, dajra-@
@office@|@kontor@
@official@|@tüsimel@
@offshoot from root@|@süje, süje(ge)@
@oil@|@tosu@
@ok@|@za@
@old age@|@kucin@
@old badger@|@borki, borx@
@old man@|@ebügen@
@on this side@|@inaqši-, janäš, näš@
@once@|@neg udaa@
@one@|@neg, nig, nigän, nigen, nikan@
@one of two@|@örö-@
@One ticket to...@|@neg bilet...@
@one's own@|@amin@
@oneself@|@öber@
@onion@|@so'onggina, songgin-a, songgina, songin, songin-a, sunqinä@
@Open@|@ongorkhoi@
@open wide@|@daram, darbaji-, daruma, darvaj-, ira-, jara-@
@opinion@|@sanaa bodol@
@opposite@|@esreg@
@oral@|@aman@
@order@|@toki, tox@
@origin@|@ug@
@original@|@angqa, angqa(n), anx(an), ül, uul@
@orphan@|@önchin, onechit önöx, onochit, önüchin, önüki@
@other@|@bus, busi, busu, nögö, nögüge, noko'e@
@our@|@manu@
@out of key (music)@|@khog aldakh@
@outlook@|@caraj@
@outstanding corner@|@ëg, egeg@
@over there@|@tende@
@overcoat@|@cuv@
@overflow@|@melteji-, meltij-@
@owl@|@sülig, uguli, ül, uli@
@owner@|@ezen@
@ox@|@ukär, üker, üxer, xuger, xuker@
@page@|@khuudas, xüdas@
@pain@|@ebersil@
@paint@|@ziru-@
@pair@|@khos@
@palace@|@ordo@
@palm (of hand)@|@alaqan, alga, xalaqan@
@pancreas@|@nojir, nojr@
@panther@|@šovor@
@pants@|@omd@
@pap made of flour@|@moši, musi@
@paper@|@cäs@
@parcel@|@ilgeemj@
@Parking@|@mashin bairlakh gazar@
@part@|@kheseg, qubi, qübi, qubija-, qubijaxda-, tal, xuv@
@part of blade@|@äg@
@part of body around the heart@|@ünxelceg@
@part of breast@|@chekerei@
@part of the sacrificed meat@|@kešig@
@partridge@|@itaün, itawun, ite, itelgü, itelku, jatü, jitelogu@
@party@|@nam@
@Passport@|@gadaad pasport@
@past@|@ongorson@
@pastern@|@belber(e)kei, belberxi, berevxi@
@pasture@|@debege, devë, deveg@
@paternal uncle@|@aba, abaqa, abu, av, avga@
@patina@|@boki, bokir, box, boxir@
@patrol@|@qara'ul, xarül@
@paunch (of ruminating animals)@|@kerkeneg, xerxneg@
@paw@|@tabah, tavag, tavxaj@
@peace@|@amar, amar, amgal, amgal, amur, amur, amuxulang, engke, enke taiban@
@peaceful@|@dölgen, döligen, dolüejen, dölügen, el, elgen@
@pear@|@alim-a, kedemen, lir, xedmen@
@pedal@|@qajagur, qajigur, tormozn(i) gishguur, tormozni gishguur, xajür, xajv@
@peel@|@šahal, šäl-@
@peer@|@khamtragtsid, neg zindaan(i) ulsuud@
@penis@|@qaldaga@
@people@|@arad, aran, haran, harän, irgen, ulus, xümüs@
@period@|@cag@
@perish@|@bürle-@
@person@|@khun, komon, kümün gu'un, kuw(u)n, xömün, xün@
@personality@|@mös, mösü(n)@
@perspiration@|@siberi, sibtür, šiver, šivter@
