@English@|@Norwegian@
@disengage@|@frigjøre@
@disengaged@|@fri, ledig@
@disentangle@|@greie ut, vikle ut@
@disfigure@|@vansire@
@disgrace@|@unåde, vanære@
@disgraceful@|@skammelig@
@disguise@|@forkle, forkledning, maskere@
@disgust@|@avsky, forarge@
@disgusting@|@forargelig, motbydelig@
@dish@|@fat, tallerken@
@dish cloth@|@oppvask-klut@
@dish(entree)@|@rett@
@dishevelled@|@bustete@
@dishonest@|@uærlig@
@dishonesty@|@uærlighet@
@dishonour@|@skam, vanære@
@dishonourable@|@vanærende@
@dishwasher@|@oppvaskmaskin@
@disillusion@|@desillusjonere@
@disinclined@|@utilbøyelig@
@disinfect@|@desinfisere@
@disinfectant@|@desinfeksjonsmiddel@
@disinfection@|@desinfeksjon@
@disinherit@|@gjøre arveløs@
@disintegrate@|@nedbryte, oppløse@
@disjointed@|@usammenhengende@
@dislike@|@ikke like, motvilje@
@dislocate@|@bringe av ledd, forrykke@
@dislocation@|@forvridning@
@disloyal@|@illojal@
@dismal@|@sturen@
@dismantle@|@demontere@
@dismay@|@bestyrtelse, forferde, forferdelse@
@dismiss@|@avskjedige, sende bort@
@dismissal@|@avskjed@
@dismissed@|@avskjediget@
@dismount@|@demontere, stige av@
@disobedience@|@ulydighet@
@disobedient@|@ulydig@
@disobey@|@være ulydig@
@disorder@|@uorden@
@disorderly@|@uordentlig@
@disown@|@fornekte, ikke kjennes ved@
@disparity@|@forskjell, ulikhet@
@dispatch@|@avsendelse, ekspedere, rapport@
@dispatch-note@|@følgebrev@
@dispel@|@jage bort, spre@
@dispensable@|@unnværlig@
@dispensation@|@dele ut, utdeling@
@disperse@|@spre@
@displace@|@flytte på, forskyve@
@displaced person@|@flyktning@
@displacement@|@forskyvning@
@display@|@leserute, oppvisning, utstilling@
@disposable@|@engangs-@
@disposable nappy@|@papirbleie@
@disposal@|@disposisjon@
@dispose of@|@selge@
@dispossess@|@berøve, fordrive@
@disproportion@|@misforhold@
@disprove@|@avkrefte@
@disputable@|@diskutabel@
@disputed@|@omstridt@
@disquieting@|@foruroligende@
@disregard@|@avfeie, ignorering@
@disreputable@|@beryktet@
@disrespect@|@mangel på aktelse@
@disrespectful@|@uærbødig@
@dissatisfaction@|@misnøye@
@dissatisfied@|@misfornøyd@
@dissension@|@uenighet@
@dissertation@|@avhandling@
@dissimilar@|@ulik@
@dissipate@|@spre, ødsle@
@dissipated@|@utsvevende@
@dissipation@|@spredning, ødsling@
@dissolute@|@utsvevende@
@dissolvable@|@oppløselig@
@dissolve@|@oppløse@
@distance@|@avstand, distanse@
@distant@|@fjern@
@distaste@|@avsmak@
@distil@|@destillere@
@distillation@|@destillasjon@
@distinct@|@adskilt, tydelig@
@distinction@|@forskjell, utmerkelse@
@distinctive@|@særegen@
@distinguish@|@skjelne, utmerke@
@distinguished@|@anerkjent, fornem@
@distort@|@fordreie, fortegne, forvrenge@
@distortion@|@forvrengning@
@distract@|@avlede, distrahere@
@distracted@|@forstyrret@
@distraction@|@distraksjon, forvirring@
@distraint@|@utpantning@
@distress@|@bekymre, bekymring, nød@
@distribute@|@dele ut, fordele, utgi@
@distribution@|@fordeling, utdeling@
@distributor@|@fordeler, forhandler@
@distrust@|@mistillit, mistro@
@disturb@|@forstyrre@
@disturbance@|@forstyrrelse, uro@
@ditch@|@grøft@
@diuretic@|@vanndrivende@
@dive@|@dykk, dykke, stup, stupe@
@diver@|@dykker@
@diverse@|@diverse@
@diversion@|@adspredelse, avledning, omkjøring@
@divert@|@adspre, avlede, omdirigere@
@divide@|@dele, dividere, fordele, skille@
@divide (up)@|@inndele@
@divine@|@guddommelig@
@divinity@|@guddommelighet, teologi@
@division@|@deling, divisjon, inndeling@
@divorce@|@skildmisse, skilles@
@dizziness@|@svimmelhet@
@dizzy@|@svimmel@
@do@|@gjøre, utføre@
@do without@|@klare seg uten@
@docile@|@føyelig@
@dock@|@anklagebenk, dokk@
@docker@|@havnearbeider@
@dockland@|@dokkområde@
@doctor@|@doktor, lege@
@document@|@dokument, dokumentere@
@documentary@|@dokumentar@
@dodge@|@smette unna@
@dog@|@hund@
@dogged@|@seig, trassig@
@dole@|@arbeidsledighetstrygd@
@doll@|@dukke@
@dolphin@|@delfin@
@dome@|@kuppel@
@domestic@|@innenriks@
@domestic animal@|@nyttedyr@
@domestically@|@innenlands@
@domicile@|@bopel@
@dominate@|@dominere@
@domination@|@herredømme@
@dominion@|@herredømme@
@donation@|@donasjon, gave@
@done@|@ferdig, gjort, utført@
@donkey@|@esel@
@donor@|@donor, giver@
@doom@|@dømme, undergang@
@doomsday@|@dommedag@
@door@|@dør@
@doorhandle@|@dørklinke@
@doorknob@|@dørhåndtak@
@doorsill@|@dørterskel@
@doorway@|@døråpning@
@dope@|@dop, narkotikum, stoff@
@dork@|@kødd@
@dosage@|@dose@
@dose@|@dose@
@dot@|@punkt@
@double@|@dobbel, fordoble@
@doubler@|@dobbler@
@dove@|@due@
@dowager@|@enke@
@down@|@ned@
@down from@|@utfor@
@down off@|@utfor@
@downgrade@|@nedgraderer@
@downloading@|@nedlasting@
@downstairs@|@nedenunder@
@downwards@|@nedover@
@dowry@|@medgift@
@doze@|@døse, slumre@
@dozen@|@dusin@
@drab@|@ensformig, trist@
@draft@|@utkast, veksel@
@draft of air@|@gjennomtrekk@
@drag@|@dra, kjedelig, trekke@
@dragnet@|@slepenot@
@dragon@|@drake@
@dragonfly@|@øyenstikker@
@drain@|@avløp, drenere@
@dram@|@dram@
@dramatic@|@dramatisk, oppsiktsvekkende@
@drape@|@drapere@
@draught@|@gjennomtrekk, slurk, trekk@
@drawer@|@skuff@
@drawing@|@tegning@
@drawing close@|@anmarsj@
@drawl@|@snakke med slepende tonefall@
@drawn out@|@drøy@
@dread@|@frykt, skrekk@
@dreadful@|@fryktelig@
@dream@|@drøm, drømme@
@dreamy@|@drømmende@
@dreary@|@ensom, kjedelig, sturen, trist@
@dredge@|@muddermaskin, mudre@
@dregs@|@berme, bunnfall@
@drenched@|@gjennomvåt@
@dress@|@antrekk, kjole, kle seg@
@dress rehearsal@|@generalprøve@
@dressing gown@|@slåbrok@
@dressingcase@|@toalettmappe@
@dressmaker@|@sydame@
@drift@|@drive@
@drill@|@bor, drill, eksersis@
@drink@|@drikke@
@drip@|@drypp, dryppe, dråpe@
@dripfeed@|@intravenøs næring@
@drive@|@føre, tiltak@
@drive out@|@fordrive@
@driver@|@fører, pådriver, sjåfør@
@drivers-licence@|@førerkort@
@driving force@|@ildsjel@
@drizzle@|@duskregn@
@droll@|@pussig@
@drool@|@sikkel, sikle@
@droop@|@henge ned@
@drop by@|@stikke innom@
@drought@|@tørke@
@drown@|@drunke@
@drowsy@|@døsig, søvnig@
@drug@|@bedøve, dop, legemiddel, medisin, narkotika@
@druggist@|@apoteker@
@drug-pusher@|@stofflanger@
@drugs@|@droger, narkotika@
@drugstore@|@apotek@
@drum@|@tromme@
@drunk@|@full@
@drunkard@|@drukkenbolt@
@drunk-driver@|@fyllekjører@
@dry@|@tørke, tørr@
@dry (no longer drinking)@|@tørrlagt@
@dry sense of humor@|@tørrvittig@
@dry wit@|@tørrvittig@
@dual@|@dobbel@
@dubious@|@tvilende, tvilsom@
@duchess@|@hertuginne@
@duchy@|@hertugdømme@
@duck@|@and, dukke@
@due@|@forfallen, passende, skyldig@
@due to@|@på grunn av@
@duel@|@duell, duellere, tvekamp@
@duke@|@hertug@
@dull@|@kjedelig, matt, sløv, treg, trist@
@dull)@|@kjede@
@dumb@|@stum@
@dumbfounded@|@forbløffet, målløs@
@dump@|@dumpe, søppelhaug@
@dumping@|@avlessing, dumping@
@dumpling@|@melbolle@
@dune@|@sandbanke@
@dung@|@naturgjødsel@
@dupe@|@lettlurt, lure, narre@
@duplicate@|@dobbelt, kopiere@
@duplicate copy@|@dublett@
@durability@|@holdbarhet@
@durable@|@bestandig, holdbar, varig@
@duration@|@varighet@
@during@|@i løpet av@
@dusk@|@skumring@
@dust@|@støv@
@duster@|@støvkost@
@Dutch@|@Nederlandsk@
@Dutchland@|@Nederland@
@dutiable@|@tollpliktig@
@dutiful@|@lydig, pliktoppfyllende@
@duty@|@plikt, toll@
@dutyfree@|@tollfri@
@dwarf@|@dverg@
@dwell@|@bo, dvele@
@dwelling@|@bolig@
@dwindle@|@svinne@
@dye@|@farge, fargestoff@
@dying@|@døende@
@dynamic@|@dynamisk@
@dynamics@|@dynamikk@
@dynamite@|@dynamitt@
@each@|@alle, hver enkelt@
@each other@|@hverandre@
@eager@|@ivrig@
@eagerly awaited@|@etterlengtet@
@eagerness@|@iver@
@eagle@|@ørn@
@ear@|@øre@
@earache@|@øreverk@
@eardrum@|@trommehinne@
@earflap@|@ørebeskytter@
@earl@|@greve, jarl@
@earlier@|@forhenværende@
@earlobe@|@øreflipp, øreflipp@
@early@|@tidlig@
@earn@|@fortjene, innbringe, oppnå, tjene, vinne@
@earnest@|@alvorlig@
@earnings@|@inntekter@
@earphones@|@høretelefoner@
@earplug@|@ørepropp@
@earring@|@øredobb@
@earth@|@jord, klode, torv, verden@
@earthquake@|@jordskjelv, jordskjelv@
@earthworm@|@meitemark@
@ease@|@lette, letthet, slakke, velbehag@
@easel@|@staffeli@
@easily read@|@lettlest@
@easily swayed@|@påvirkelig@
@easily understood@|@lettfattelig@
@east@|@øst@
@Easter@|@Påske@
@eastern@|@østlig@
@easy@|@behagelig, lett, rolig@
@easychair@|@lenestol@
@easygoing@|@omgjengelig@
@easy-to-grasp@|@oversiktlig@
@eat@|@fortære, innta, spise@
@eatable@|@spiselig@
@eatables@|@matvarer@
@eaves@|@takskjegg@
@eavesdrop@|@smuglytte@
@ebb@|@ebbe, fjære, minke@
@ebony@|@ibenholt@
@EC@|@EU@
@ecclesiastic(al)@|@geistlig, kirkelig@
@echo@|@ekko@
@eclipse@|@eklipse, formørkelse@
@ecological@|@økologisk@
@ecology@|@økologi@
@economic@|@økonomisk@
@economics@|@økonomi@
@economy@|@økonomi@
@ecstasy@|@ekstase@
@ectopic@|@ektopisk@
@eddy@|@evje, virvel@
@edge@|@egg, kant@
@edgeways@|@sidelengs@
@edgy@|@irritabel@
@edible@|@spiselig@
@edifice@|@byggverk@
@edifying@|@oppbyggelig@
@edit@|@redigere@
@edition@|@opplag, utgave@
@editor@|@redaktør, utgiver@
@editorial@|@lederartikkel, redaksjonell@
@editorial staff@|@redaksjon@
@educate@|@utdanne@
@education@|@dannelse, danning, opplæring, undervisning, utdannelse@
@eel@|@ål@
@eelpot@|@åleteine@
@eerie@|@skummel@
@effect@|@effekt, gjennomslag, virkning@
@effective@|@effektiv, virksom@
@effects@|@effekter, eiendeler@
@effeminate@|@feminin@
@efficiency@|@effektivitet@
@efficient@|@effektiv@
@effort@|@anstrengelse, bestrebelse, innsats, tiltak@
@effusion@|@utgytelse@
@effusive@|@overstrømmende@
@egg@|@egg@
@egoism@|@egoisme@
@egoist@|@egoist@
@egoistic@|@egoistisk@
@egotism@|@selvopptatthet@
@eider@|@ærfugl@
@eight@|@åtte@
@eighteen@|@atten@
@eighth@|@åttende@
@eighty@|@åtti@
@either@|@hvilken som helst@
@either - or@|@enten - eller@
@eject@|@fordrive, støte ut@
@ejector seat@|@katapultsete@
@elaborate@|@utarbeide, utdype@
@elaboration@|@utarbeidelse, utdypning@
@elastic@|@elastisk, tøyelig@
@elasticity@|@elastisitet@
@elbow@|@albue@
@elder@|@eldre, eldst@
@elderberry@|@hyllebær@
@elderly@|@aldrende@
@eldest@|@eldst@
@elect@|@velge@
@elected representative@|@tillitsmann@
@election@|@valg@
@elector@|@velger@
@electric@|@elektrisk@
@electric fan@|@ventilator@
@electric torch@|@lommelykt@
@electric(al)@|@elektrisk@
@electrician@|@elektriker@
@electricity@|@elektrisitet@
@electrocute@|@henrette med elektrisitet@
@electrode@|@elektrode@
@elegance@|@eleganse@
@elegant@|@elegant, smakfull@
@element@|@bestanddel, element, grunnstoff, innslag, ledd@
@elementary@|@elementær@
@elementary school@|@grunnskole@
@elephant@|@elefant@
@elevate@|@heve@
@elevation@|@høyde, høyning@
@elevator@|@heis@
@eleven@|@elleve@
@eleventh@|@ellevte@
@elicit@|@lokke fram@
@eliciting@|@fremlokkende@
@eligibility@|@valgbarhet@
@eligible@|@passende, valgbar@
@eliminate@|@eliminere@
@eliminator@|@eliminator@
@elk@|@elg@
@elm@|@alm@
@elongation@|@forlengelse@
@else@|@annen, ellers@
@elsewhere@|@annensteds@
@elucidate@|@klargjøre@
@elude@|@unnvike@
@elusive@|@unnvikende@
@emaciated@|@utmagret@
@emanate@|@utgå@
@emancipate@|@frigjøre@
@emasculate@|@kastrere@
@embalm@|@balsamere@
@embankment@|@demning, voll@
@embark@|@gå ombord, innlate seg@
@embarkation@|@innskipning@
@embarrass@|@gjøre flau@
@embarrassment@|@forlegenhet@
@embassy@|@ambassade@
@embezzle@|@underslå@
@embezzlement@|@underslag@
@embitter@|@forbitre, gjøre bitter@
@embodiment@|@legemliggjørelse@
@embody@|@legemliggjøre@
@embrace@|@omfavne@
@embroider@|@brodere@
@embroidery@|@broderi@
@embryo@|@foster@
@emerald@|@smaragd@
@emerge@|@dukke opp@
@emergency@|@nødstilfelle@
@emetic@|@brekkmiddel@
@emigrant@|@utvandrer@
@emigrate@|@utvandre@
@emigration@|@utvandring@
@eminent@|@fremragende, høytstående@
@emission@|@utstråling@
@emit@|@sende ut@
@emotion@|@følelse, sinnsbevegelse@
@emotional@|@følelsesmessig@
@empathy@|@innlevelse@
@emperor@|@keiser@
@emphasis@|@ettertrykk@
@emphasize@|@understreke@
@emphatic@|@ettertrykkelig@
@empire@|@verdensrike@
@empirical@|@empirisk@
@employ@|@ansette, tilsette@
@employee@|@ansatt, arbeidstaker@
@employer@|@arbeidsgiver@
@employment@|@arbeid, tilsetting@
@empress@|@keiserinne@
@empty@|@tom@
@emulate@|@etterligne@
@enable@|@sette i stand til@
@enamel@|@emalje, emaljere, glasere, glasur@
@encephalitis@|@hjernebetennelse@
@enchant@|@fortrylle@
@enchantment@|@fortryllelse@
@enclose@|@inneslutte, inngjerde, innhenge, vedlegge@
@enclosure@|@innhegning, innhengning, vedlegg@
@encounter@|@møte, sammenstøt@
@encourage@|@innby, oppmuntre, støtte@
@encouragement@|@oppmuntring@
@encroach@|@foregripe@
@encroachment@|@brudd, overgrep@
@encumber@|@hefte, hindre@
@encumbrance@|@heftelse, hindring@
@encyclopedia@|@konversasjonsleksikon, oppslagsverk@
@end@|@slutt, utløpe@
@endanger@|@bringe i fare@
@endangered@|@truet@
@endearment@|@kjærtegn@
@endeavor@|@bestrebe@
@endeavour@|@bestrebelse@
@ending@|@avslutning, endelse, slutt@
@endless@|@endeløs, uendelig@
@endorse@|@påtegne@
@endorsement@|@påtegning@
@endow@|@gi gave til@
@endowment@|@gave, legat@
@endurance@|@utholdenhet@
@endure@|@holde ut, tåle@
@enema@|@klystèr@
@enemy@|@fiende@
@energetic@|@energisk@
@energy@|@energi, kraft, tiltak@
@enforce@|@fremtvinge, håndheve@
@enforced@|@påtvungen@
@enforcement@|@håndhevelse, inndrivelse@
@enforcer@|@håndhever, inndriver@
@engage@|@ansette, engasjere, tilsette@
@engaged@|@forlovet, opptatt@
@engaged in@|@innblandet@
@engagement@|@avtale, engasjement, forlovelse, tilsetting@
@engender@|@avle@
@engine@|@maskin, motor@
@engine failure@|@motorstopp@
@engineer@|@ingeniør, tekniker@
@engineering@|@ingeniørarbeid@
@England@|@England@
@engrave@|@gravere@
@engrossed@|@fordype, oppslukt@
@enhance@|@forbedre, øke@
@enhancement@|@forbedring, økning@
@enigma@|@gåte@
@enigmatic@|@gåtefull@
@enjoin@|@pålegge@
@enjoy@|@glede seg ved, nyte, trives@
@enjoyable@|@hyggelig@
@enjoyment@|@nytelse@
@enlarge@|@forstørre@
@enlargement@|@forstørrelse@
@enlighten@|@opplyse@
@enlightened@|@opplyst@
@enlist@|@slutte seg til, verve@
@enmity@|@fiendskap@
@ennoble@|@adle@
@enormous@|@drabelig, enorm@
@enough@|@nok@
@enquire@|@spørre@
@enquiry@|@forespørsel, undersøkelse@
@enrage@|@gjøre rasende@
@enraged@|@sint@
@enrapture@|@henrykke@
@enrich@|@berike@
@enrol@|@melde på, skrive inn@
@enrollment fee@|@påmeldingsgebyr@
@ensign@|@fenrik, flagg, merke@
@enslave@|@gjøre til slave@
@ensue@|@følge@
@ensure@|@garantere, sikre@
@entail@|@medføre@
@entangle@|@komplisere, vikle inn i@
@entanglement@|@sammenfiltring@
@enter@|@bokføre, gå inn, komme inn@
@enter into@|@inngå@
@enteritis@|@tarmbetennelse@
@enterotomy@|@tarmbrokk@
@enterprise@|@bedrift, foretagende, foretaksomhet@
@enterprising@|@foretaksom@
@entertain@|@beverte, more, underholde@
@entertaining@|@underholdende@
@entertainment@|@forlystelse, representasjon, underholdning@
@enthusiasm@|@begeistring, entusiasme, gehør@
@enthusiast@|@entusiast@
@enthusiastic@|@begeistret, entusiastisk, ildfull@
@entice@|@forlede, lokke@
@enticed@|@forledet, forlokket@
@enticing@|@forlokkende@
@entire@|@hel@
@entirely@|@fullstendig, helt@
@entitle@|@berettige@
@entity@|@vesen@
@entrails@|@innvoller@
@entrance@|@adgang, inngang, inngangsport, innkjørsel@
@entrance fee@|@inngangspenger@
@entrance ramp@|@innkjørsel@
@entreat@|@bønnfalle@
@entreaty@|@innlegg@
@entree@|@hovedrett@
@entrust@|@betro@
@entry@|@adgang, innførsel, inntreden, stikkord@
@enumerate@|@oppsummere@
@envelop@|@innhylle@
@envelope@|@konvolutt@
@enviable@|@misunnelsesverdig@
@envious@|@misunnelig@
@environment@|@miljø, omgivelse, omgivelser@
@environmental@|@miljø@
@environmentalist@|@miljøforkjemper@
@envisage@|@forestille seg@
@envoy@|@utsending@
@envy@|@misunne, misunnelse@
@Eoropean@|@Europeer, Europeisk@
@epidemic@|@epidemi, epidemisk, farsott@
@episcopalian@|@biskoppelig, episkopal@
@episcopate@|@bispeembete@
@epitaph@|@gravskrift@
@eqiunox@|@jevndøgn@
@equal@|@jevnbyrdig, jevnbyrdige, lik, like@
@equal (worth) jevnstilt@|@likestilt@
@equal sign@|@likhetstegn@
@equality@|@likestilling, likhet@
@equalize@|@utjevne@
@equanimity@|@sinnslikevekt@
@equation@|@ligning, likestilling@
@equator@|@ekvator@
@equestrian@|@rytter@
@equilibrium@|@likevekt@
@equinox@|@jevndøgn@
@equip@|@forsyne, ruste, utruste@
@equipment@|@utrustning, utstyr@
@equivalence@|@likeverd@
@equivalent@|@tilsvarende@
@equivocal@|@tvetydig@
@era@|@tidsalder, æra@
@eradicate@|@utrydde@
@erase@|@stryke ut, viske ut@
@eraser@|@raderkniv, viskelær@
@erect@|@oppføre, oppreist, reise@
@erection@|@ereksjon, oppførelse@
@ermine@|@hermelin, røyskatt@
@erode@|@erodere, tære bort@
@err@|@feile@
@errand@|@oppdrag, ærend@
@errand boy@|@bud@
@errandboy@|@visergutt@
@erratic@|@uberegnelig, ujevn@
@erroneous@|@feilaktig, urett@
@error@|@feil, mistak@
@erudition@|@lærdom@
@erupt@|@bryte fram, være i utbrudd@
@eruption@|@utbrudd@
@escalate@|@trappe opp@
@escalation@|@opptrapping@
@escalator@|@rulletrapp@
@escalope@|@schnitzel@
@escapade@|@sidesprang@
@escape@|@flukt, rømning, unngå, unnslippe@
@escort@|@eskorte, ledsage@
@especial@|@spesiell, særlig@
@especially@|@spesielt, særlig@
@espionage@|@spionasje@
@essay@|@essay, stil@
@essential@|@absolutt nødvendig, vesentlig@
@establish@|@etablere, fastslå, opprette@
@established@|@etablert@
@established church@|@statskirke@
@establishment@|@etablering, etablissement, stiftelse@
@estate@|@bo, eiendom, gods, gård@
@estate-agent@|@eiendomsmegler@
@esteem@|@aktelse, anseelse@
@estimate@|@anslå, beregne, overslag, taksere, vurdering@
@estimation@|@aktelse, vurdering@
@estrange@|@fremmedgjøre@
@estuary@|@elvemunning@
@etc.)@|@bløtdyr@
@etch@|@etse@
@etching@|@etsning, radering@
@eternal@|@evig@
@eternalize@|@forevige@
@eternity@|@evighet@
@ethics@|@etikk@
@ethnic@|@etnisk@
@eulogy@|@lovtale@
@Europe@|@Europa@
@evacuate@|@evakuere, rømme, tømme@
@evacuation@|@evakuering@
@evade@|@lure seg unna, stikke av, unngå@
@evaluate@|@verdsette, vurdere@
@evaluation@|@verdsettelse, vurdering@
@evaporate@|@fordampe, fordunste@
@evaporation@|@fordampning@
@evasive@|@unnvikende@
@eve@|@aften@
@even@|@flat, jevn, lik, selv om, til og med@
@even now@|@fortsatt@
@even though@|@selv om@
@evening@|@kveld@
@evening meal@|@aftens, kveldsmat@
@event@|@begivenhet, øvelse@
@eventful@|@begivenhetsrik@
@eventuality@|@eventualitet@
@ever@|@alltid, noensinne, stadig@
@everlasting@|@evigvarende@
@evermore@|@for alltid@
@every other@|@annenhver@
@everybody@|@alle@
@everyday@|@hverdagslig@
@everyone@|@alle, enhver@
@everything@|@alt@
@everywhere@|@overalt@
@evict@|@kaste ut@
@eviction@|@utkastelse@
@evidence@|@bevis, vitneutsagn@
@evident@|@innlysende, tydelig@
@evidently@|@tydeligvis, øyensynlig@
@evil@|@ond, onde@
@evinnelig@|@eternal@
@evocative@|@stemningsfull@
@evoke@|@fremkalle@
@ex@|@forhenværende, fra@
@exact@|@nøyaktig, nøye@
@exacting  demanding@|@krevende@
@exactly@|@nettopp, nøyaktig@
@exactness@|@nøyaktighet@
@exaggerate@|@overdrive@
@exaggerated@|@drøy, overdrevet@
@exaggeration@|@overdrivelse@
@exalt@|@lovprise, opphøye@
@exaltation@|@opphøyelse, opprømthet@
@exam@|@opptaksprøve@
@exam-fee@|@inngangspenger@
@examination@|@eksamen, eksaminasjon, gjennomsyn, undersøkelse@
@examine@|@eksaminere, undersøke@
@examine curiously@|@snuse@
@example@|@eksempel@
@exasperate@|@ergre@
@excavate@|@grave ut@
@excavation@|@utgravning@
@exceed@|@overgå, overskride@
@exceedingly@|@umåtelig@
@excel@|@overgå, utmerke seg@
@excellence@|@fortreffelighet@
@excellent@|@fortreffelig, utmerket@
@except@|@unnta, untatt, uten@
@except that@|@bortsett@
@exception@|@innsigelse, unntagelse, unntak@
@excerpt@|@utdrag@
@excess@|@overmål, overskridelse@
@excess postage@|@straffeporto@
@excessive@|@overdreven@
@exchange@|@bytte, utveksling, valutaveksling@
@exchangerate@|@vekslingskurs@
@excise@|@fjerne@
@exciseduty@|@forbrukeravgift@
@excitable@|@nervøs, pirrelig@
@excite@|@opphisse@
@excitement@|@opphisselse, spenning@
@exclaim@|@utbryte@
@exclamation@|@utrop@
@exclamation point@|@utropstegn@
@exclude@|@utelukke@
@exclusion@|@utelukkelse@
@exclusive@|@eksklusiv@
@excrete@|@skille ut, utskille, utsondre@
@excruciating@|@ulidelig, uutholdelig@
@excursion@|@utflukt, utflukt@
@excusable@|@unnskyldelig@
@excuse@|@frita, unnskylde, unnskyldning@
@excuse me@|@unnskyld@
@excusively@|@utelukkende@
@execute@|@effektuere, fullbyrde, henrette, utføre@
@executed@|@gjennomført@
@execution@|@effektuering, henrettelse, utførelse@
@executioner@|@bøddel@
@executive@|@utførende, utøvende@
@executive officer@|@konsulent@
@exemplary@|@mønstergyldig@
@exemplify@|@belyse ved eksempler@
@exempt@|@frita@
@exemption@|@fritagelse@
@exercise@|@mosjon, mosjonere, utøvelse@
@exert@|@anstrenge, bruke, øve@
@exhaust@|@eksos, utmatte@
@exhaustion@|@rovdrift, utmattelse@
@exhaustive@|@grundig, uttømmende@
@exhaustpipe@|@eksosrør@
@exhibit@|@utstille, utstillingsgjenstand@
@exhibition@|@fremvisning, stipend, utstilling@
@exhilarate@|@live opp@
@exhilarated@|@opprømt@
@exhort@|@formane@
@exigency@|@tvingende nødvendighet@
@exigent@|@presserende@
@exile@|@eksil, landflyktighet, landsforvisning@
@exist@|@eksistere@
@existence@|@eksistens, tilværelse@
@existing@|@eksisterende, foreliggende@
@exists@|@foreligge@
@exit@|@avkjørsel, utgang@
@exit ramp@|@avkjørsel@
@exorbitant@|@ublu, urimelig@
@expand@|@utbre, utvide@
@expansion@|@utbredelse, utvidelse@
@expansive@|@ekspansiv, meddelsom, utvidbar@
@expatriate@|@eksil, landsforvise@
@expatriation@|@landsforvisning@
@expect@|@anta, forvente, tenke seg@
@expect to@|@akte@
@expectant@|@forventningsfull@
@expectation@|@forventning@
@expectorant@|@slimløsende@
@expectorate@|@hoste opp@
@expediency@|@hensiktsmessighet@
@expedient@|@hensiktsmessig, utvei@
@expedite@|@påskynde@
@expedition@|@ekspedisjon@
@expeditious@|@ekspeditt@
@expel@|@fordrive, utvise@
@expencive@|@kostbar@
@expenditure@|@forbruk, utgifter@
@expense@|@bekostning, kostning, utgift@
@expenses@|@omkostning@
@expensive@|@dyr, påkostet@
@experience@|@empirisk, erfaring, komme ut for, opplevelse@
@experienced@|@erfaren@
@experiment@|@eksperiment, forsøk@
@expert@|@ekspert, fagmann, sakkyndig@
@expiate@|@sone@
@expiation@|@soning@
@expiration@|@utløp, utånding@
@expire@|@utløpe, utløpe, utånde@
@explain@|@begrunne, forklare@
@explanation@|@begrunnelse, forklaring@
@explicit@|@uttrykkelig@
@explode@|@eksplodere, sprenge@
@exploit@|@bedrift, dåd, utnytte@
@exploitation@|@nyttiggjøring, utnyttelse@
@exploration@|@utforskning@
@exploratory drilling@|@prøveboring@
@explore@|@utforske@
@explorer@|@oppdagelsesreisende, utforsker@
@explosion@|@eksplosjon@
@explosive@|@eksplosiv, sprengstoff@
@explosive load@|@sprengladning@
@exponent@|@eksponent, talsmann@
@export@|@eksport, eksportere, utførsel@
@exportation@|@eksport@
@exports@|@utførselsvarer@
@expose@|@stille ut, utsette@
@expose to radiation@|@bestråle@
@exposition@|@gjennomgang, utstilling@
@exposure@|@avsløring, eksponering, utsetting@
@express@|@ekspress, expresstog, ilbud, ytre@
@expression@|@uttrykk, vending@
@expressive@|@uttrykksfull@
@expressly@|@uttrykkelig@
@expulsion@|@fordrivelse, utvisning@
@exquisite@|@utsøkt@
@extencionflex@|@skjøteledning@
@extend@|@forlenge, utvide@
@extensible@|@strekkbar@
@extension@|@forlengelse, utstrekning, utvidelse, utvidelse@
@extension lead@|@skjøteledning@
@extensive@|@omfattende, utstrakt, vid@
@extent@|@omfang, utstrekning@
@extenuate@|@mildne, unnskylde@
@extenuated circumstances@|@formildende omstendigheter@
@exterior@|@utside, utvendig, ytre@
@exterminate@|@tilintetgjøre, utrydde@
@extermination@|@utryddelse@
@external@|@utenriks, utvendig, ytre@
@extinct@|@sloknet, utdødd@
@extinction@|@slokking, utslettelse@
@extinguish@|@slokke, utrydde@
@extinguisher@|@slokkingsapparat@
@extort@|@presse@
@extortion@|@utpressing@
@extra@|@ekstra@
@extract@|@ekstrakt, trekke ut, utdrag@
@extractable@|@utvinnbar@
@extraction@|@avstamning, uttrekking, utvinning@
@extradite@|@utlevere@
@extradition@|@utlevering@
@extraordinary@|@merkelig, usedvanlig@
@extravagance@|@ekstravaganse, urimelighet, ødselhet@
@extravagant@|@ekstravagant, ødsel@
@extravasation@|@bloduttredelse@
@extraverted@|@utadvent@
@extreme@|@drastisk, ekstrem, ekstreme, ytterlighet, ytterst, ytterst@
@extremely@|@høyst, ytterst@
@extremely expensive@|@rådyr@
@extremity@|@ekstremitet, ytterpunkt@
@extricate@|@frigjøre@
@extrication@|@frigjøring@
@exuberance@|@begeistring, frodighet, overflod@
@exuberant@|@frodig, overstrømmende, sprudlende@
@exult@|@juble@
@exultation@|@jubel@
@eye@|@øye@
@eye shadow@|@øyenskygge@
@eyeball@|@øyeeple@
@eyebrow@|@øyenbryn@
@eyelash@|@øyenvippe@
@eyelid@|@øyelokk@
@eyesocket@|@øyenhule@
