@English@|@Tibetan@
@hotel@|@dhrön-khang, dhru-khang, don-khang@
@hour@|@chhu-tsho, chü-tsö, chu.tshod@
@house@|@khan.pa, khjim@
@how@|@kan-dhre@
@How@|@kahn-day@
@How (in what manner)@|@kahn-day see@
@how are you?@|@khe-rahng ku-su de-bo yin-peh/@
@How are you?@|@khe-rahng ku-su de-bo yin-peh@
@How are you? (1)@|@khye-rang ku-su de-po yin-pe@
@How do you call this?@|@di la ka-re sa?@
@How far is Lhasa@|@Lha-sa tha ring-lö yo-re@
@How long does the trip takes@|@gyün ring-lö dhro-ya yo-re@
@how long is it?@|@ring-lö re?@
@how many@|@du@
@How many monks are here@|@ku-sho ka-tsö yo-re@
@how much@|@mang-lö?@
@How much@|@kah-tsay@
@How much does it cost for one@|@nyi-ma chik la@
@How much does it cost per hour@|@chu-tsö re-re la, ka-tsö re@
@How much for all this@|@di tsang-ma ka-tsö re@
@How much for one night@|@tsen chig la ka-tsö re@
@How much for this@|@di kong ka-tsö re@
@How much is it@|@ngü ka-tsö ré@
@how much is the price@|@kong ka-tsö re@
@how much is the price?@|@kong ka-tsö re?@
@how much?@|@ka-tsö@
@How old are you?@|@Khe-rang gong-lo ga-tshey yin?@
@how?@|@kan-dhre@
@hull@|@gsob, sob@
@human being@|@mi@
@hundred@|@brgja, gya, gyah tamba@
@hungry@|@bkren, tro-go to@
@hurry@|@grim-pa@
@husband@|@cho-la, khyo-ga@
@husband of father's sister@|@a-bang@
@husk@|@gang-bu@
@husks@|@sbun, sbur, spun@
@I@|@dngos, nga, nga, ngah, nged, nged, ngos@
@I am@|@nga yin@
@I am 30@|@nga lo 30 yin@
@I am a farmer@|@nga shing-pa yin@
@I am afraid@|@nga shi-gi-du@
@I am an English teacher@|@Ngah injee gay-gen yin@
@I am Buddhist@|@nga nang-pa yin@
@I am dizzy@|@nga go-yu kor-gi-du@
@I am from Australia@|@Ngah Australia nay yin@
@I am from Italy@|@nga Italy ne yin@
@I am hungry@|@nga dhro-go-to-gi-du, nga tro-go tö-ghi-du@
@I am in Tibet@|@nga Pö la yö@
@I am not in Lhasa@|@nga Lha-sa la me@
@I am Pema@|@nga Pe-ma yin@
@I am Tashi@|@nga Ta-shi yin@
@I am thirsty@|@nga ka-kom ghi-du@
@I am well@|@La yin., Ngah sug-po de-bo yin.@
@I can go to Lhasa@|@nga Lha-sa la dhro-tub-gi-yö@
@I cannot understand@|@ngey shey ma-song@
@I come from Italy@|@nga Ithaly ne yin@
@I don't feel well@|@nga de-bo min-du@
@I don't go to the restaurant@|@nga sa-khang la dhro-gi-me@
@I don't like tea@|@nga cha la ga-bo me@
@I don't understand@|@ha-ko-ma-song@
@I don't want Tibetan tea@|@nga la Pö cha ma-go@
@I don't want to eat@|@nga san-dö-me@
@I feel nauseous@|@nga kyu-me lang-gi-du@
@I feel sick@|@nga na-ghi-du@
@I forgot@|@je-song@
@I go home@|@nga nang la dhro-gi-yö@
@I have@|@nga la yö@
@I have a cough@|@nga lo gyap-gi-du@
@I have a fever@|@nga la tsa-ua yö@
@I have a house@|@nga la khang-pa yö@
@I have diarrhoea@|@nga tro-ko she-gi-du@
@I have not understood@|@ha-ko-ma-song@
@I have to go to the market@|@nga throm la dhro-go-yö@
@I have to take breakfast@|@nga sho-ghe ka-la sa-go-yö@
@I heard@|@ko-song@
@I intend to buy this@|@nga di nyo-tsi-yö@
@I like tea@|@nga cha la ga-bo yö@
@I like tea very much@|@nga cha la ga-bo shi-tha yö@
@I live in Lhasa@|@nga Lha-sa la de-gi-yö, Ngah lha-sa la dey-gi yoe@
@I need hot water@|@nga la chu tsa-po go@
@I speak a little Tibetan@|@nga Pö-ke de-tsi shing-gi-yö@
@I talk about this@|@nga di kor-la lap-gi-yö@
@I understand@|@ha-ko song, ngey shey-song@
@I understood@|@nga ha-ko-song@
@I want some tea@|@nga la cha go@
@I want Tibetan tea@|@nga la Pö cha go@
@I want to buy a necklace@|@nga ke-gyen chik nyon-dö-yö@
@I want to go to Lhasa@|@nga Lha-sa la dhron-dö-yö@
@I went to the restaurant@|@nga sa-khang la chin-pa-yin@
@I will go to Lhasa@|@nga Lha-sa la dhro-gi-yin@
@I will stay 3 months@|@nga Pö la da-wa sum de-gi-yin@
@ice@|@khyags.pa, kyak-pa@
@ill@|@na@
@I'm 25 years old@|@Nga lo nyi shu tsah ngah yin@
@I'm sorry@|@gong-dah@
@I'm Sorry@|@gong-dhaa@
@immediately@|@lam-sang@
@importance@|@gal@
@important@|@ke-chen-po@
@in@|@la, sa@
@in front of@|@dün-la, tsa la@
@in middle@|@kyil-la@
@in old times@|@gna-bo@
@in this case@|@di yin-na@
@in Tibet@|@Pö la@
@in Tibet there are yaks@|@Pö la yag du, Pö la yag yo-re@
@in which way?@|@kan-dhre-si@
@incense@|@Pö@
@indead@|@los@
@index@|@khra-ma@
@India@|@Gya-gar@
@Indian ink@|@snag@
@indigo@|@mthing, rams@
@insect@|@abu, bu-sin@
@inside@|@khog, la, nang-la@
@insult@|@akhu-ba@
@intelligent@|@sngar-ma@
@interest on money@|@phar@
@intestines@|@rgju@
@Is it far?@|@tha ring-po yo-re-pe?@
@Is it really?@|@ngu-ney@
@Is photography allowed?@|@par gyab chho-gi re-pey?@
@Is serious@|@nyen-ka-chen-po re@
@Is there a doctor who speaks English@|@in-ji shin-ken am-ji yo-re-pe@
@is there a market?@|@throm chig yo-re-pe?@
@is there a monastery?@|@gom-pa chig yo-re-pe?@
@is there any public transport?@|@mi-mang dul-khor yo-re-pey?@
@is this a monastery?@|@di gom-pa re-pe?@
@island@|@gling@
@It doesn't matter@|@ke je-gi-ma-re@
@It' five o' clock@|@chü-tso nga-ba re@
@It hurts here@|@de na-tsa gya-gi-du@
@it is about ten thousand feet@|@phu-ti tong-traa chu-tsum rey@
@It is not too far@|@tha ring-po shi-trha yo-ma-re@
@It seems false@|@zü-ma nang-shin du@
@It's cold@|@thrang-mo du@
@It's enough; I am full@|@dhrik song@
@It's expensive@|@kong chen-po re@
@It's hot@|@tsa-po du@
@It's too expensive@|@kong che-tak du@
@ivory@|@pe-so@
@january@|@chin-dha dhang-po@
@January@|@dawa dangbo@
@jaw@|@mgal, mur-agram@
@jewish@|@ju-is@
@joke@|@kjal-ka@
@july@|@chin-dha dhun-pa@
@July@|@dawa dungpa@
@june@|@chin-dha dug-pa@
@June@|@dawa tukpa@
@justice@|@gsags@
@karma@|@le@
@kernel@|@chi@
@kettle@|@khro, skja-ba, skja-ba@
@key@|@di-mi, lde.mig@
@kill@|@bkrong@
@kindness@|@drin, dring@
@king@|@gyel-po, rgyal.po@
@kiss@|@ka-kyel@
@kitchen@|@tap-tsang, thab.tshan@
@knee@|@pus-mo@
@knee-joint@|@sgjid@
@knife@|@dri, gri, thri, thri@
@knot@|@azher, mzher, mzher@
@know@|@she, shing@
@know (people)@|@ngo shing@
@knuckles used as dice@|@blong@
@ladder@|@skas-ka@
@ladle@|@gzar, gzar, skjogs@
@lake@|@tsho, tso@
@lama@|@la-ma@
@lama's throne@|@la-ma shug-ti@
@lamb@|@lug-sha@
@lamp@|@shu-ma@
@lance@|@mdung@
@language@|@ke, skad@
@large eagle@|@go-bo@
@large feather@|@sgro@
@large k. of alpine willow@|@glang@
@large marmot of the highlands@|@aphji, phji@
@lark@|@lco-gu, lcog-ma@
@last@|@chug-la, ta-ma@
@last week@|@dun-tha nyema@
@last year@|@na-ning@
@late@|@chi-po@
@laugh@|@bzad, gzad@
@law-suit@|@gjod-kha@
@lay down in order@|@agrem, agrems, bkram, dgram, khroms@
@leaf@|@lo-ma@
@lean upon@|@btad, btod, gtad@
@learn@|@jang@
@learned@|@azang, azangs, dra, mzangs@
@leather bag@|@bel@
@leather half-boot@|@krad@
@leather trunk@|@khom@
@leech@|@sring-bu-pad-ma@
@leek@|@sgog@
@left@|@yön@
@leg@|@kang-ba, rkan.pa, rkan.pa@
@less@|@nyung-ua@
@let fall@|@agjer@
@let go@|@btang, gtang, gtong, tong@
@let's go to eat@|@ngan-tso sa-ga dhro@
@letter@|@yi-gi@
@letter (mail)@|@yi.ge@
@lice@|@bu@
@lie down@|@nal, nol@
@life@|@tse, tshe@
@lift up@|@ker-pa@
@light@|@sbud@
@light in weight@|@jang-po@
@lightning@|@glog, lok@
@like@|@ga, mnam, mnan, nang-shin, nangwa-dro-po, nangwa-dro-po/pah-bo, pah-bo@
@Like this@|@di nang-shin@
@lime-floor@|@zal-ba@
@liquid@|@khu-ba@
@listen@|@nyen, nyen-pa@
@little bag@|@khug-ma@
@live@|@dey-pa, gnas, shug, sön, te@
@lizard@|@rcangs@
@load@|@sgal@
@lock@|@lcags@
@loiter@|@agor@
@long@|@ring-ba, ring-po@
@look@|@ta@
@look!@|@ta@
@loose@|@lah, lhod@
@loss@|@gjong@
@lot@|@mo@
@loud@|@keh chen-po@
@louse@|@sig@
@low@|@ma-po, mah-bo@
@lower@|@zong@
@lump@|@gong-po@
@lunch@|@nyng-ku ka-la@
@lusture of gems@|@gru@
@lynx@|@dbji@
@made ready@|@grub@
@magician@|@aba@
@Maitreya@|@Cham-pa@
@make@|@bjed-ba, che, sö, sö@
@make agree@|@sdum@
@make empty@|@stongs@
@make go out@|@spro, spros@
@make shorter@|@brtung, brtungs, rtung, stung@
@male@|@-pa, -po, pha-, pho@
@male person@|@skjes@
@male yak@|@yag@
@malicious@|@athu, thu@
@man@|@bu, mi@
@man of Tibet@|@Pö-pa@
@mandala@|@kil-khor@
@manifold@|@aphar@
@mani-stone@|@do-ko ma-ni@
@mansion@|@sdum@
@mantra@|@ma-ni, ngak@
@many@|@dgur@
@map@|@sap-thra@
@march@|@chin-dha sum-pa@
@March@|@dawa songpa@
@mark@|@rtags@
@market@|@throm@
@market-place@|@khrom@
@marrow@|@rkang@
@mast@|@gdos@
@master@|@dzo, rdze@
@mat@|@stan@
@matter@|@rnag, snag@
@may@|@chin-dha nga-pa@
@May@|@dawa ngawa@
@May I go there@|@nga pa-ge dhro cho-gi-re-pe@
@May I take a picture@|@par gyap cho-gi-re-pe@
@maybe@|@chig che-na, chik-che-na@
@me@|@ngah la@
@meadow@|@na@
@meal@|@ka-la@
@meat@|@ša@
@medicine@|@men, sman@
@meditate@|@gom gyap@
@meet@|@tuk@
@member between two@|@chigs@
@memorial@|@thems-jig@
@menace@|@agam@
@mesh@|@agug, agugs@
@message@|@lon@
@mid-day@|@gdugs@
@middle@|@dbung, dkyil.la@
@might@|@dbang, mnga@
@mild@|@bab@
@milk@|@o.ma@
@millet@|@khre@
@mind@|@blo@
@minute@|@kar-ma, skar.ma@
@mirror@|@šes.sgo@
@mistake@|@azhol, skjon@
@mixed@|@azag-azog@
@moisture@|@bcud, hus@
@molar tooth@|@agram-so@
@monastery@|@gom-pa@
@monastry@|@gon-pa@
@Monday@|@sa da-ua, sah dah-wah@
@money@|@dnul, ngü@
@mongrel-breed of the yak-bull@|@mzho@
@monk@|@da-pa, dhra-pa, ku-sho@
@monkey@|@spra, spri'u@
@month@|@da-ua, zla.ba@
@moon@|@da-ua, da-ua, zla-ba@
@more@|@mang-ua@
@morning@|@nang, sho-ge, zogs@
@mosque@|@kha-che lha-kang@
@mother@|@a.ma, ah-ma la, ma, mo@
@mother-pearl@|@mo-ti@
@mother's brother@|@zang@
@mother's sister@|@sru@
@motorcycle@|@pa-pa@
@mountain@|@ri@
@mountain pass@|@la@
@mountain rodent@|@a-bra@
@mountain-side@|@ngogs@
@mouse@|@bji, tsi.tsi@
@mouth@|@ka, kha@
@mouthful@|@hab@
@move@|@srul-ba, tang@
@move out of its place@|@bsnur, snur@
@move quickly@|@agju, gjus@
@much@|@mang, mang-po@
@mucus@|@snabs@
@mud@|@ka-lag, tak-pa@
@mule@|@dre, drel@
@multitude@|@gseb@
@muscle@|@na@
@museum@|@dhrem-tön khang@
@mushroom@|@mog-ro, mog-sa@
@music@|@gdangs, rol.gžas@
@musk-deer@|@gla@
@muslim@|@kha-che@
@my@|@nge, ngey@
@my friend@|@nge dhrog-po@
@my name is Barry@|@ngay ming-la Barry zi-gi yo@
@My name is Pema@|@nga Pema yin, nge ming-la Pe-ma re@
@My name is Tashi@|@Ngah Tashi yin@
@myself@|@jud-bu@
@nail of a finger@|@sen@
@naked@|@rjen, sgren-mo@
@name@|@min, ming, mjing, tsen@
@name for the different nations@|@mon@
@name of a disease@|@khabs@
@name of a tree@|@seng-ldeng@
@name of a tropical climbing@|@dong-ga@
@name of a vein@|@rkjang@
@name of two goddesses@|@rol-ma, sgrol-ma@
@name of various spicy roots@|@bong@
@narrow@|@tok-po@
@narrow passage@|@rong@
@nasty@|@azhi-ba@
@nature@|@ran.byun@
@naught@|@gsog, sog@
@nausea@|@kyu-me lang-ua@
@near@|@ne, nye-po, thri-la@
@near you@|@khye-rang gi thri-la@
@nearness@|@gan@
@necessary@|@dgos-pa@
@neck@|@lan, ling, ske@
@necklace@|@kye-gyen@
@need@|@go@
@needle@|@khab@
@neighbor@|@khyim.mtshes@
@Nepal@|@Pe-yul@
@nest@|@chang@
@net@|@rgja@
@never@|@ka-dü-ye (+ verb neg.), nam-yang@
@new@|@gsar.pa, sar-pa@
@next week@|@dun-tha Jeyma@
@nice@|@sdug@
@Nice to meet you@|@khye ran jel-ne ga-po joong@
@night@|@gong-ta, mchan, mtshan, nam, tsen@
@nine@|@dgu, gu@
@ninety@|@gu-chu, gup-chu go@
@ninety one@|@gu-chu go chig@
@no@|@la-min, ma-rey, meyn, min-dhoo@
@No problem@|@keh-nang-gi-mah-ray@
@noise@|@aur, cal, grag-pa@
@noisy@|@ke chen-po@
@none@|@chig-yang@
@noon@|@dro, dros, nying ku@
@north@|@chang@
@North@|@bjang@
@nose@|@na-kug, sna.khug@
@not@|@ma@
@not exist@|@med-pa@
@not tasty@|@shim-bu min-du@
@Not yet@|@dha-ta ren min-dhoo@
@nothing@|@ga-yang me, ke-e min-du@
@notice@|@smos@
@nourish@|@gso@
@november@|@chin-dha chu-chig, dawa juk chipa@
@now@|@lhem, tan-da@
@number@|@cho, grans.ka@
@nun@|@a-ni@
@nun monastery@|@a-ni gom-pa@
@oath@|@mna@
@oblique@|@khjom-khjom@
@obscure@|@mun@
@obscurity@|@rum@
@obstruction@|@agag@
@obtain@|@ra, thob@
@october@|@chin-dha chu-pa@
@October@|@dawa chupa@
@of antelope@|@dgo-ba, rgo-ba@
@Of whom is that statue@|@ku pa-gi su re@
@offend@|@akhang@
@offer@|@chö, pülh@
@offering@|@mchod@
@office@|@le-kung@
@officer@|@ago@
@often@|@yang yang@
@oil@|@mar, num, snum@
@OK@|@dhri-ghi-re@
@Ok; it's all right@|@dhri-gi-re, las-so@
@old@|@gen-po, nying-pa, res, rnning@
@old (not new)@|@rñin.pa@
@old (not young)@|@rñin.pa@
@old (people)@|@gen-go@
@old (thing)@|@nyim-pa@
@older brother@|@cho la@
@older sister@|@ah-cha la@
@older than you@|@pa-la a-ma-la@
@on@|@gang-la@
@on the left@|@yön cho-la, yön pa@
@on the right@|@ye cho-la, ye pa@
@on the table@|@chog-tse gi gang-la@
@once@|@teng-chik@
@one@|@chig, chik, gcig@
@one lame in his legs@|@sgjid-khjol@
@onion@|@bcong, tson@
@onions@|@tsong@
@open@|@che, go-che, ka-che-ne@
@opportunity@|@skabs, skobs@
@or@|@yan.na@
@orange@|@li-uang, ma-se, tsa-lù-ma@
@order@|@chir, lung, lung@
@orifice of the vagina@|@stu cunnus@
@ornament@|@men@
@ornamental fringes@|@dom-dom@
@other@|@shen-da, shen-ta@
@otherwise@|@ya-me-na@
@otter@|@sram@
@our@|@ngah tso, ngan-tsö, ngan-tso-gi@
@outside@|@chi-log-la@
@over@|@hod@
@overplus@|@atheb@
@own@|@ngang-ma@
@oxygen@|@sog-zin lung@
@pack up@|@athegs@
@pain@|@zug@
@paint@|@chon, la-dri, tsön-tang@
@painting@|@ri-mo, thang-ka@
@pair of draught cattle@|@dor@
@pair of scales@|@srang@
@palace@|@pho-dhrang@
@pan@|@pru@
@paper@|@shu-gu, šog.bu@
@parents@|@pha-ma@
@part@|@khan, lhu@
@partridge@|@sreg-pa@
@pass over@|@ada, adas@
@passport@|@lang-kyer@
@path@|@lam@
@pattern@|@dpe@
@pay@|@ngü te@
@pay back@|@achab, bsab, bsabs, chabs, chob@
@peace@|@ži.bde@
@peach@|@kham.bu@
@peacock@|@rma-bja@
@pear@|@li@
@pearl@|@trang-dok@
@Pease; go slowly@|@ka-le ka-le dhro-rog-nang@
@pen@|@nyu-gu@
@pencil@|@sha-nyu@
@penis@|@mje, sgro@
@people@|@dmangs, mi, mi.dmans@
@perceive@|@ses@
@perfume@|@spos@
@perish@|@bkrongs@
@person@|@mi@
@persons@|@mi-tso@
@pharmacy@|@men-tson-khang@
@phlegm@|@lud@
@phone@|@ka-bar tang@
@photograph@|@par, par gyap@
@picture@|@bris@
@piebald@|@khra@
@pig@|@pak-pa, phag, phag.pa@
@pilgrim@|@ne-kor-ken@
@pill@|@ri-pu@
@pillar@|@ka-@
@pillow@|@nye-go@
@pine-tree@|@som@
@pine-wood@|@mchan@
@place@|@sa-cha@
@plain@|@ljab@
@plane@|@nam-dhru@
@plant@|@rcwa@
@plate@|@ta-ba@
@play@|@gzas, tseh-mo tseh@
@pleasant@|@ki-bo, mkho@
@please@|@gong-dhaa@
@Please@|@gong-dhaa, ku-chee, thu-je zig@
@Please bring me a soup@|@nga la tang chik te-ro-nang@
@Please bring me one more@|@shen-da chik te-ro-nang@
@please call a doctor@|@em-ji chi key tang-ro nang@
@please repeat it@|@yang-khar sung-ro nang@
@please sit down@|@shu-ro-nahng@
@please write it down@|@yig-thog di-ro nang@
@Please; call a doctor@|@am-ji ke ta-rog-nang@
@Please; come in@|@phe rog-nang, ya phe@
@Please; have a tea@|@cha she-ro-nang, cha thung@
@please; read@|@log-rog-nang@
@Please; repeat@|@yang-kyer sung-rog-nang@
@Please; say it in Tibetan@|@pö-ke la sung-rog-nang@
@Please; sit down@|@shu-rog-nang@
@Please; speak slowly@|@ka-le la sung-rog-nang@
@pledge@|@gta@
@pledge at play@|@rgjan@
@pluck off@|@btog, gtog@
@poison@|@dug, gdug@
@police@|@rajh@
@pond@|@lteng-ka, rzhing@
@pool containing a spring@|@lu@
@poor@|@dbul@
@poplar-tree@|@gsol@
@porcelain-clay@|@kham-pa@
@porcupine@|@gzig@
@pork@|@phak-sha@
@porridge@|@zan@
@post office@|@dhra-khang@
@postcard@|@dhrag-shog@
@potato@|@gro-ma, žo.gog@
@potatoes@|@sho-go@
@pour@|@lu@
@practice sorcery@|@rol@
@pray@|@ghap su-chi, mu-lam ghap@
@prayer@|@mu-lam, smon.lam@
@prayer flag@|@dar-chog@
@prayer mast@|@dar-chen@
@prayer wheel@|@ma-ni kor-lo@
@precious stone@|@tha@
@prepare@|@som@
@present@|@skjes@
@preserve@|@bskjab, skjabs, skjob, skjobs@
@prevent@|@agogs-pa, akhegs, khegs@
@price@|@kong@
@pride@|@bcom, gcom@
@prison@|@tsön-khang@
@probably not@|@me-pa-dhra@
@probably yes@|@yin-pa-dhra@
@proceed@|@aphro, aphros@
@professor@|@nga ge-gen yin@
@promise@|@chad@
@proper@|@aphrod@
@property@|@nor@
@prostrate@|@cha-tse@
@protective deity@|@yi-dam@
@prudent@|@sgrin@
@pulse@|@tsa@
@puncheon tool@|@adebs@
@punishment@|@chad@
@pure@|@dag@
@purified@|@changs@
@put@|@sha@
@put on@|@bstad, stad, stod@
@put over@|@athum, athums, btum, btums@
@queen@|@gyel-mo@
@question@|@dri.ba@
@quick@|@rling@
@quiet@|@ka ka-de, ka kah dhe@
@quite round@|@lings@
@rafter@|@lcam@
@ragged@|@hrul@
@rain@|@char-pa tang, char.pa, chhar@
@rainbow@|@azha, ja@
@raise@|@theg@
@raven@|@kha-tha@
@ray@|@gzer, zer@
@read@|@log, lohk@
@real@|@ngu-ney@
@realm@|@khams@
@reason@|@ched@
@reconcile one's self to@|@adum@
@red@|@dmar, dmar.po, mar-po@
@reduce to small pieces@|@sno@
@reed@|@snug@
@reeling@|@dig-pa@
@register@|@tho@
@reincarnation@|@kye-wa nga-chi@
@reins@|@mkhal@
@rejoice@|@dgjes-pa@
@religion@|@chhos.lugs, chö@
@religious book@|@pe-cha@
@religious dance@|@cham@
@remain sitting@|@akhad@
@remember@|@dren@
@rent@|@chad-po@
@require@|@smon-pa@
@residence of a prince@|@khab@
@respectable@|@bcun@
@restaurant@|@sa-khang@
@retinue@|@azhol@
@reverence@|@dba, gus@
@rice@|@abras, dre@
@rich@|@chuk-po@
@riches@|@dkor@
@ride@|@ta shön@
@right@|@dhrig-pa, dig-pa, g-jas, khrims, ma-nor-ua, ye@
@rigid@|@reng@
@ring@|@gsil@
@ripe@|@mim-pa@
@rise of the sun@|@sar-ba@
@river@|@gtsan.po, klung, tsang-po@
@road@|@lam-ka, lam.ga@
@roast@|@me-tag ghyab-pa@
@robbery@|@zhag@
@rock@|@brag, drag, rdo@
@rock painting@|@do la ri-mo@
@roof@|@tho-kha, thog.ka@
@room@|@khan.pa., khang-mi, nyi-khang, sgo@
@root@|@rca, rcad@
@rope with a noose@|@zags@
@rosary@|@thran-ga@
@rose-bush@|@bse, gse, se@
@rotten@|@di ru-ba du, sum, sums@
@rough@|@rangs@
@round@|@gor, hril, khor, kor, rel, ril, sgor, skor, skor@
@sacred@|@ke-chen-po@
@sacred food@|@tsog@
@sad@|@kyo-po, kyo-poo@
@saddle@|@sga@
@sail@|@g-jor@
@salt@|@chwa, tsa, tshwa@
@sand@|@bje, bye.ma@
@satisfaction@|@skang@
@satisfied@|@chim@
@Saturday@|@sa pem-ba, sah pem-pa@
@savour@|@ro@
@savoury@|@bda@
@say@|@lap, sung@
@scar@|@ltong@
@scare up@|@dkrog@
@school@|@grwa, lap-dhra, slab.grwa@
@scientist@|@nga tsen-rig-pa yin@
@scold@|@atham@
@scorpion@|@sdig@
@screen@|@dom-ra@
@seashell@|@dung@
@season@|@dus, nam.dus@
@second@|@kar-cha@
@sect@|@chö-lug@
@sediment@|@bsnigs@
@see@|@tong@
@see you later@|@jeh yong@
@See you later@|@jay-la jay- yong@
@see you tomorrow@|@sahng-nyi jeh yong@
@see you tonight@|@to-gong jeh yong@
@seed@|@abru, sa-bon@
@seize@|@bzes@
@self@|@bdag, rang@
@sell@|@tsong, tsong-pa@
@semen virile@|@thig-le@
@send@|@kur, tang@
@separate@|@sgos, thor-bu@
@september@|@chin-dha gu-pa@
@September@|@dawa gupa@
@sepulchre@|@abum@
@series@|@thebs@
@servant@|@bran, khol@
@seven@|@dhun, dün@
@seventy@|@dun-chu@
@seventy one@|@dün-chu don chig@
@several@|@aga@
@shade@|@grib@
@shaggy@|@gser, gsor@
@shape@|@babs, dbjibs@
@share@|@skal@
@sharpness@|@ber@
@she@|@khong, mo, mo-rang@
@sheep@|@lug@
@sheet@|@ldeb, nyi-je@
@she-goat@|@ra-ma@
@shell@|@kog, skog, skogs, tung@
@shield@|@khrab@
@shield of any kind@|@ka@
@shin-bone@|@hwa@
@shining@|@khrol-khrol@
@shoe@|@chag, lham@
@shop@|@tsong-khang@
@short@|@thung, tung tung@
@shoulder@|@dpung, phrag@
@show@|@te@
@shower@|@sug-po tru-sa@
@shrub@|@gra-ma@
@sickle@|@zor@
@side@|@ldebs, rol@
@side of the body@|@gzog@
@sign@|@brda@
@sign of the plural@|@dag@
@silk@|@tu-zi@
@silver@|@dngul, dnul, ngü@
@similar@|@adra, chik-pa, mchungs@
@since@|@tsang@
@singeing@|@gzob@
@sink through@|@ldig-pa@
@sister@|@a.chag, nu.mo, pin-gya bu-mo@
@sit down@|@akhod@
@six@|@drug, dug, trook, trug@
@sixty@|@dhrug-chu, trook-chu@
@sixty one@|@dhrug-chu ra chig@
@size@|@bong, bongs@
@skeleton of a fish@|@gra-ma@
@skilful@|@grin@
@skilled@|@mkhan-s, mkhas@
@skin@|@pak-pa@
@sky@|@gnam, nam@
@slanting@|@g-jo, jo@
@sleep@|@nyi-ku, nyl-kuk-pa@
@slender@|@kjang, zim@
@slow@|@cam, ka-lé, kah-teh, te-po@
@slowly@|@rdal@
@slowness@|@dal@
@small@|@choong choong, chun chun, chung, phran@
@small copper coin@|@dra@
@small pieces@|@gag@
@small shell@|@agron-bu@
@smell@|@bsung@
@smile@|@ajum@
@smoke@|@du@
@snake@|@dhrü, sbrul, sbul@
@snatch together@|@rnab-rnab@
@snout@|@achul-ba, mchul-ba@
@snow@|@gans, kang pap, kha-ba@
@snow mountain@|@kang-ri@
@so called Tibetian antelope@|@bcod, gco, gcod@
@so hemp@|@bco, gco@
@soap@|@yi.tsi@
@soft@|@azam, nog-nong@
@soiled@|@nog@
@solid@|@athas, gar-bu, khrang, mkhrang, tha@
@solitude@|@abrog@
@something hidden@|@phag@
@something of a very small size@|@zi@
@sometimes@|@kap kap-la, tsam tsam la@
@son-in-law@|@dmag, mag@
@soon@|@gyok-po@
@sorry@|@gong-dhaa@
@sort of large unburnt bricks@|@mdag@
@so-so@|@a-o-tsam@
@soul@|@nam, sem, sems@
@sound@|@skad@
@soup@|@azham, tang, thug@
@soup with noodles@|@tuk-pa@
@sour@|@skjur@
@south@|@lho@
@soya noodles@|@ping@
@sp. of devils@|@sri, srin@
@spaghetti@|@ghya-du@
@sparkling@|@khrol-po@
@spawn@|@sgo-nga@
@species of demons@|@gre@
@speck@|@rme@
@speech@|@dngags, ngag, smrang, smreng@
@spend@|@azhangs@
@spindle@|@phang@
@spindle covered with yarn@|@phud@
@spirit@|@yi@
@spit@|@tho-le adebs, thu@
@spittle@|@mchil-ma@
@splendour@|@rngam, zil@
@spoon@|@thur, thur.ma, tu-ma@
@spring@|@chee-ka, chi-ka, khron-pa@
@spring(time)@|@dpyid.ka@
@stairs@|@ken-za@
@stalk of a plant@|@sbun@
@star@|@kar-ma, skar, skar.ma@
@start off@|@chas-pa@
@state of health@|@khams@
@statue@|@ku, ldem@
@stay@|@de, shu@
@steal@|@ku@
@steam@|@rlangs@
@steep@|@gzar@
@step@|@gom-pa@
@stick@|@dbjig, dbjug, mkhar-ba@
@sticky matter@|@chi@
@stiff@|@rod@
@still water@|@ãdal@
@stomach@|@grod, lto, phjal, pho, tro-go@
@stomachache@|@tro-go na@
@stone@|@do, rdo@
@stone for grinding spice@|@mchig@
@stone in fruits@|@rag-ce, rag-ce@
@stop@|@kah@
@Stop please@|@ka-rog-nang@
@stopple@|@adig@
@store-house@|@bang@
@storm@|@lung-char, rlun.'tshub@
@straight@|@agrongs, agrongs, drang, kha-thu, ldem, shar-gye@
@stream@|@chu@
@street@|@lam.kha, srang@
@strike@|@akhjel, akhrab, lcag@
@string@|@rgjud@
@strong@|@bcan, gar-ba, shuk chen-po@
@study@|@lop-jung che, lopjung chay@
@stupa@|@chö-ten@
@stupid@|@blun@
@subdue@|@azhun-pa@
@sublimity@|@gzengs@
@suck@|@azib, bzib, bzibs@
@suddenly@|@kag-gis@
@suffering@|@mzhed@
@sugar@|@bye.ma.kha.ra, che-ma ka-ra@
@suitable@|@acham, achams@
@summer@|@dbyar.kha, yar-ka, yar-kha@
@summit@|@ltongs, rce, rce, spo, zom@
@summit of a mountain@|@spo@
@sun@|@nij, nyi-ma@
@Sunday@|@sa nyi-ma, sah nyl-ma@
@support@|@akhra@
@suppose@|@snam@
@sure@|@ten-den@
@swamp@|@gram@
@sweat@|@rngul@
@sweet@|@dngar, mngar, ngar-mo@
@sweet scent@|@dku@
@sweet tea@|@cha ngar-mo@
@swelling@|@abru@
@swift@|@mjur, rings@
@switch@|@lcag rod@
@sword@|@ral-gri@
@system@|@gtan@
@table@|@chog.tse@
@tadpole@|@lcong@
@take@|@len, len-pa@
@take food@|@she@
@take into mouth@|@akham, bgams, bgom, gams, goms@
