@English@|@Quechua of Cuzco@
@guide (person)@|@ñanta riqsichiq@
@guide (to)@|@pusay@
@guided trek@|@pusaqwan puriy@
@guilty@|@huchayuq@
@guinea pig@|@qowi, quwi@
@hacienda@|@asinda@
@hail@|@chikchi@
@hair@|@chukcha@
@hair (body or animal)@|@suphu@
@hammer@|@takana@
@hammock@|@amaka@
@hand@|@maki@
@handbag@|@ch'uspa, wayaqa@
@handicraft@|@artisaniya@
@handmade@|@makiwan ruwasqa@
@handsome@|@sumaq@
@hand-woven@|@makiwan awasqa@
@hang (to)@|@warkuy@
@happy@|@kusi, kusisqa@
@hard@|@sasa@
@hard-boiled egg@|@runtu phasi@
@harp@|@harpa@
@harvest@|@kuhichu@
@harvest (to)@|@allay@
@hat@|@sumbriru, sumriru@
@have (to)@|@kay@
@have a bath (to)@|@bañakuy@
@have diarrhoea (to)@|@q'ichay@
@have fun (to)@|@kusikuy@
@have lunch (to)@|@almusay, mikhuy@
@hawk@|@waman@
@he@|@pay@
@head@|@uma@
@headache@|@uma nanay@
@heal (to)@|@hampiy@
@healer@|@hampiq, paqu@
@health@|@qhali kay@
@healthy@|@qhali@
@hear (to)@|@uyariy@
@heart@|@sonqo, sunqu@
@heat@|@ruphay@
@heat (to)@|@q'uñiy, ruphay@
@heaven@|@hanaqpacha@
@heavy@|@llasa, llasaq@
@hello@|@napaykullayki, rimaykullayki@
@help (to)@|@yanapay@
@Help me!@|@Yanapaway!@
@Help!@|@Yanapaway!@
@hen@|@wallpa@
@her@|@pay@
@herb@|@pastu, qura@
@herb (kind of mint)@|@qora@
@herbal tea@|@qura unu@
@herbalist@|@qurawan qampiq@
@here@|@kaypi@
@Hey!@|@Yow!@
@hi@|@napaykullayki, rimaykullayki@
@hidden@|@chinkasqa@
@high@|@hatun, suni, suyt'u@
@high plateau@|@puna@
@hike (to)@|@puriy@
@hiking@|@puriy@
@hill@|@muqu, urqucha@
@him@|@pay@
@Hindu@|@indu@
@hip@|@siki pata, teqni@
@hire (to)@|@allkilay@
@hit (to)@|@daliy, waqtay@
@hoarse@|@ch'aka, raqra kunka@
@hold (to)@|@hap'iy@
@hole@|@hutk'u, p'ukru, t'uqu@
@holiday@|@hatun phista, raymi, samay p'unchau@
@holidays@|@hatun phista@
@home@|@wasi ayllu@
@honest@|@sumaq kawsayniyuq@
@honey@|@añaka, lachiwa, misk'i@
@honeycomb@|@lachiwana@
@hope@|@suyay@
@hope (to)@|@suyay@
@horn@|@asta, waqra@
@horrible (appearance)@|@millay millay@
@horse@|@kawallu@
@hospital@|@hampina wasi@
@hot@|@q'uñi, rupha@
@hot pepper@|@ruquta@
@hotel@|@qurpa wasi, samana wasi@
@hour@|@uras@
@house@|@wasi@
@house in the forest@|@yunka wasi@
@house of stone@|@rumi wasi@
@house's owner@|@wasiyoq@
@how@|@imayna@
@How many?@|@Hayk'a?@
@how much@|@hayk'a, hayk'an@
@How much?@|@Hayk'a?@
@How?@|@Imayna?@
@hug (to)@|@mak'alliy@
@hug (to) each other@|@mak'allinakuy@
@humankind@|@runa@
@hummingbird@|@q'inti, sirwarqenti@
@hundred@|@pachak@
@hunger@|@rarqay, yarqay@
@hunt (to)@|@chakuy, hap'iy, kasay@
@hunting@|@chakuy, hap'iy@
@Hurrah!@|@Waqe!@
@hurt (to)@|@nanay@
@husband@|@qusa@
@hut@|@ch'uklla@
@i@|@nuqa, ñuqa@
@i don't want pepper@|@uchuta mana munanichu@
@i want to write@|@q'elq'ayta munani@
@i would bread@|@t'antata munani@
@i would like "chicha"@|@munani aqata@
@ice@|@chhullunku, qasa@
@idiot@|@sunsu@
@if@|@sichus@
@ill@|@unqusqa@
@illuminate (to)@|@chipchiy, k'anchay@
@imitate (to)@|@qatichikuy@
@immediately@|@kanallan, kunallan, usqhayta@
@important@|@chaniyuq@
@impressive@|@kusa kusa@
@in@|@-pi@
@in a hurry@|@apurasqa@
@in front of@|@ñawpaqpi@
@in good health@|@qhali@
@in the middle@|@chawpinpi@
@inca@|@inka@
@Inca trail@|@Inka purisqan ñan@
@Inca's empire@|@Tawantinsuyu@
@Inca's house@|@Inka wasi@
@indebted@|@manu@
@India@|@Indya@
@indian's language@|@runasimi@
@influential@|@qhapaq@
@influenza@|@chhulli, hach'i@
@inform (to)@|@willay@
@inhale (to)@|@suq'uy@
@inject (to)@|@churay@
@injury@|@k'iri@
@innocent@|@llumpaq@
@inside@|@ukhu + marque de cas, ukhupi@
@insomnia@|@mana puñuy atipay@
@inspired@|@kallpachakusqa@
@instructor@|@yachachiq@
@intelligent@|@yachayniyuq, yuyaysapa@
@interesting@|@sinchi allin@
@internet service@|@intirnit@
@introduce (to) (person)@|@riqsichiy@
@Ireland@|@Irlanda@
@irrigate (to)@|@qarpay@
@island@|@wat'a@
@itch@|@hasp'ikuy@
@itch (sensation)@|@siqsiy@
@it's urgent!@|@prisisaqpaqmi!@
@It's urgent!@|@Usqhaypaqmi!@
@it's very salted@|@ñisu kachisapa@
@jacket (man)@|@saku@
@jacket (woman)@|@kutuna@
@January@|@iniru killa@
@Japan@|@Hapun@
@jar@|@k'awchi, mak'as, urpu@
@jaw@|@k'aki@
@jeans@|@pantaluns@
@jerky@|@ch'arki@
@jewellery@|@illa, umiña@
@jewish@|@hudiyu@
@job@|@llank'ana, ruwana@
@join (to)@|@hukllakuy, kuskachakuy@
@joke@|@chansa@
@joke (to)@|@chansakuy@
@joker (comedian)@|@asichikuq@
@journalist@|@piryudista@
@journey@|@karu puriy@
@juice@|@hilli@
@July@|@huliyu killa@
@jump (to)@|@p'itay@
@jumper@|@chumpa@
@June@|@huniyu killa@
@jungle@|@yunka@
@keep (to)@|@uyway, waqaychay@
@keep (to) smthing for smone@|@churapuy@
@key@|@llawi, p'uti@
@kick (to)@|@hayt'ay@
@kid (animal)@|@uña@
@kidney@|@rurun, wasa rurun@
@kill (to)@|@sipiy, wañuchiy@
@kilo@|@kilu@
@kind@|@lasi@
@kind (nice)@|@khuyakuq, munakuq@
@kind (type)@|@rikch'aq@
@kind of potato@|@ulluku@
@kiss (to)@|@much'ay@
@kitchen@|@kusina@
@knapsack@|@q'ipi@
@knee@|@muqu@
@knife@|@kuchillu, kuchuna@
@knock (to)@|@maqay@
@knock (to) (door)@|@takay@
@know (to)@|@riqsiy, yachay@
@labourer@|@llank'aq@
@ladle@|@wislla@
@lady (not Indian)@|@siñura@
@lake@|@qocha, qucha@
@lama@|@llama@
@lamb (meat)@|@uwiha aycha@
@land@|@allpa@
@language@|@rimay, simi@
@large@|@hatun, sinchi hatun@
@large basket@|@t'anta churana@
@larynx@|@tonqor@
@last@|@qayna, qhipa@
@last month@|@qayna killa@
@last night@|@qayna tuta@
@last week@|@qayna simana@
@last year@|@qayna wata@
@late@|@tayri@
@laugh (to)@|@asirikuy, asiy@
@lawyer@|@awugara, yuyay quq@
@lazy@|@qilla@
@lead (to)@|@pusay@
@leader@|@kamachiq@
@leaf@|@rap'a, raphi@
@learn (to)@|@yachay@
@learn well (to)@|@sumaqta yachachiy@
@leather@|@qara@
@leave (to)@|@ayqiy, lluqsiy, ripuy@
@leave smthing (to)@|@saqiy@
@leech@|@yawar ch'unqaq@
@left@|@lluq'i@
@left-handed@|@lluq'inchu@
@leg@|@chaka, chakan@
@lemonade@|@limunara@
@lend (to)@|@mañay, manuy@
@lend a hand (to)@|@ayniy@
@let go (to)@|@kachariy@
@let's go sleeping@|@puñuna wasiman jaykuy@
@letter@|@karta, qilqa@
@lettuce@|@lichuga@
@liar@|@llulla@
@lie (to)@|@llullakuy@
@lie down (to)@|@sirikuy, siriy@
@life@|@bida@
@lift (to)@|@uqariy@
@lift up (to)@|@uqariy@
@light@|@k'anchay@
@light (in weight)@|@chhalla@
@light (to)@|@k'anchachiy@
@light (to) (fire)@|@hap'ichiy@
@lighter@|@k'anchachina, nina ratachina@
@lightning@|@illapa, lliphlli, rayu@
@liitle piece@|@ñut'u@
@like (to)@|@munay@
@like that@|@chhayna, khayna@
@like this@|@khayna@
@like this one there@|@haqayna@
@like this/that@|@hina@
@Lima@|@Lima@
@limit@|@tukuy@
@limon tree@|@limun sach'a@
@lip@|@qita, simi, wirp'a@
@liquor@|@trawu, waqtu@
@listen (to)@|@uyariy@
@little@|@pisi@
@little bowl@|@mati@
@little house@|@wasicha@
@live (to)@|@kawsay, qurpachakuy, qurpachay@
@live in (to)@|@tiyay@
@liver@|@k'ipchan, kukupin@
@lizard@|@qaraywa, sukulluku@
@llama@|@llama@
@location@|@laru@
@lock@|@p'uti, wisq'ana@
@lock (to)@|@kandaruwan wisq'ay@
@lock up (to)@|@llawiy@
@lodge@|@qorpachana wasi, samana wasi@
@long@|@wask'a@
@long (lenght)@|@suni, suyt'u@
@long time@|@unay@
@look (to)@|@qhawariy@
@look after (to)@|@qhawariy@
@look for (to)@|@maskhay@
@look like (to)@|@rikch'akuy@
@lookalike@|@rikch'akuq@
@lookout@|@qhawana@
@loose@|@waya@
@loose (to)@|@chinkachiy@
@lost@|@chinkasqa@
@louse (plu:lice)@|@usa@
@love@|@khuyay, munay, waylluy@
@love (to fall in)@|@munanakuy@
@love (to)@|@munakuy, munay, wayllukuy, waylluy@
@love (to) (affection)@|@khuyay@
@lover@|@munaq, waylluq@
@low@|@ura@
@luck@|@sami, suwirti@
@lucky@|@samiyuq@
@luggage@|@malita@
@lunch@|@almusay, almusu, mikhuy@
@lunch (to)@|@mihuy@
@lung@|@sork'an, surq'an@
@lupine@|@tarwi@
@Lutheran@|@lutiranu@
@madam@|@mama@
@made of@|@-manta@
@made of stone@|@rumi-manta@
@main road@|@hatun ñan@
@main square@|@plasa@
@maize@|@chuqllu, mut'i, sara@
@maize (toasted)@|@hamk'a, hank'a@
@maize beer@|@aha, aqa, aqha@
@make (to)@|@ruway@
@make a mistake (to)@|@pantay@
@make fun of (to)@|@pukllapayay, turiyay@
@malaria@|@chukchu unquy@
@man@|@qhari@
@many@|@askha, askha@
@map@|@mapa@
@March@|@marsu killa@
@market@|@qhatu, qhatuy@
@marriage@|@kasarakuy@
@married (man)@|@warmiyuq@
@married (woman)@|@qusayuq@
@marry (to)@|@kasarakuy, kasaray, yananchakuy@
@marry (to) (for a man)@|@warmichakuy@
@marvellous@|@ancha sumaq, kusa kusa@
@mass@|@misa@
@match (sport)@|@pukllay@
@match (to light fire)@|@phuspuru@
@matter (to) (be important)@|@chaniyuq kay@
@mattress@|@puñuna@
@mature@|@poqusqa@
@May@|@mayu killa@
@mayor@|@alkaldi@
@me@|@nuqa, ñuqa@
@me too@|@ñuqapas, nuqapis@
@meat@|@aycha@
@mechanic@|@mikaniku@
@médecine@|@hampi@
@medium@|@taksa@
@medium size@|@tinku@
@medlar@|@wiswiru@
@meet (to)@|@tinkuy, tupay@
@meet up with (to)@|@tinkuy, tupay@
@member (club)@|@masi@
@mental confusion@|@yuyay pantay@
@menu@|@minu@
@message@|@qilqa, willachikuy@
@metal@|@anta, titi@
@Methodist@|@mitudista@
@midday@|@chawpi p'unchay@
@middle@|@chawpi@
@midnight@|@chawpi tuta@
@migraine@|@nishu uma nanay@
@milk@|@lichi@
@million@|@hunu@
@mineral water@|@wutillapi unu@
@mirror@|@lirpu@
@miss (to) (person)@|@watukuy@
@mist@|@pacha phuyuy@
@mistaken@|@panta@
@Mister (Indian)@|@tayta@
@mister (not indian)@|@wiraqucha@
@mix (to)@|@hukllay, taqruy@
@moment@|@ratu@
@monastery@|@aklla wasi, munastiriyu@
@Monday@|@lunis@
@money@|@qullqi, qulqi@
@monkey@|@kusillu@
@month@|@killa@
@moon@|@killa@
@more@|@aswan@
@more or less@|@yaqa@
@Mormon@|@murmun@
@morning@|@paqarin, tutamanta@
@morning (this)@|@tutamantan@
@mosquito@|@qhete ch'uspi, qhiti@
@mosquito net@|@muskitiru@
@mother@|@mama@
@Mother of the earth@|@Pachamama@
@mother-in-law@|@suyra@
@mountain@|@orq'o, urqu@
@mountain lion@|@puma@
@mountain's spirit@|@Apu@
@mouse@|@huk'ucha@
@moustache@|@sunkha@
@moutain climbing@|@urqu wichay@
@moutain path@|@urqupi ñan@
@mouth@|@simi@
@move (to)@|@achhu, astay, kuyuriy, kuyuy@
@move down (to)@|@pasaykuy, uray, uraykuy@
@Mrs@|@mama@
@much@|@achkha, ancha, ashkha, chika chika, nishu@
@mud@|@t'uru@
@mule@|@mula@
@multiply (to)@|@miray@
@museum@|@musiyu@
@music@|@musika@
@music shop@|@musika tinda@
@musician@|@musiku@
@muslim@|@musulman@
@mute@|@upa@
@my house@|@wasiy@
@nail@|@sillu@
@name@|@suti@
@name (to)@|@sutichay@
@nape of the neck@|@much'u@
@nappy@|@akawara, walt'ana@
@narrow@|@k'ikllu@
@nation@|@llaqta@
@nature@|@kawsay pacha@
@nausea@|@millanayay@
@navel@|@pupu@
@near@|@qaylla, sispa@
@neck@|@kunka@
@necklace@|@walqa@
@need (to)@|@munay@
@needle (large)@|@yawri@
@needle (sewing)@|@awuha@
@needless@|@yanqa@
@neighbour@|@wasi-masi@
@neither@|@ni@
@nettle@|@k'ura, kisa@
@never@|@mana hayk'aqpas@
@Never mind!@|@Mana imananpaschu!@
@new@|@musuq@
@New Zealand@|@Nuywa Silandya@
@news@|@willa, willaykuna@
@next@|@qatiq@
@next (following)@|@hamuq@
@next month@|@hawa killa, q'aya killa@
@next to@|@waqtanpi@
@next week@|@hawa simana, q'aya simana@
@next year@|@hama wata, q'aya wata@
@nibble at (to)@|@k'utuy@
@nice@|@kusa, sumaq@
@niche@|@t'uqu, usnu@
@nickname@|@khuyay suti@
@night@|@ch'isi, tuta@
@nine@|@isqun@
@nineteen@|@chunka isqunniyuq@
@ninety@|@isqun chunka@
@nipple@|@ñuñu@
@no@|@mana@
@node@|@khipu@
@noise@|@ruqya@
@noisy@|@ruqya@
@non indigenous person@|@misti@
@none@|@mana ch'ullallapas, mana mayqin@
@noon@|@chawpi p'unchay@
@nor@|@ni@
@North@|@wichay@
@nose@|@senga, senq'a, sinqa@
@not@|@ama, mana@
@not yet@|@manaraq@
@nothing@|@manan imapas@
@November@|@nuwimbri killa@
@now@|@kanan, kunan@
@nurse@|@unquq, yanapaq@
@ocean@|@quchamama@
@October@|@uktuwri killa@
@oesophagus@|@melqoy@
@of@|@-pa, -q@
@of course@|@riki@
@offer (to)@|@chaskichiy, kumbiday, regalay@
@offer (to) (cigarette/drink)@|@imbitay@
@offering@|@haywarikuy@
@office worker@|@ufisinapi llank'aq@
@often@|@ñataq-ñataq, yapa yapa@
@oil (cooking)@|@asiti@
@ok@|@kusa@
@OK!@|@Allinmi!@
@old (age)@|@machu@
@old (worn out)@|@thanta@
@old woman@|@paya@
@on@|@-pi, pata, ukunta@
@one@|@huk, huq@
@one of them@|@mayqennimpas@
@onion@|@siwilla@
@only@|@-lla, sapa@
@open@|@kichasqa@
@open (to)@|@kichay@
@opinion@|@hamut'ay@
@or@|@ichal utaq, utaq@
@or else@|@icha@
@orange (colour)@|@wilapi@
@orange (fruit)@|@laranha@
@orange tree@|@laranha sach'a@
@orchard@|@muya@
@order (to)@|@kamachiy@
@organise (to)@|@allichay@
@original@|@kaq kikin@
@orphan@|@wakcha@
@other@|@huk, huq, sapaq, waq@
@otherwise@|@icha@
@Ouch!@|@Achakáw!@
@outside@|@hawa, hawapi@
@over@|@hawan, pata@
@over there@|@wakpi@
@overcoat@|@p'istuna@
@overflow (to)@|@llimp'ay@
@owe (to) (money)@|@manu kay@
@owl@|@huku, tuku@
@owner@|@duyñu@
@ox@|@turu@
@pacifer@|@ñuñuna@
@package@|@q'ipi@
@packet@|@pakiti@
@paddock@|@kancha@
@page@|@rap'a@
@painkillers@|@nanay thanichiq@
@paint (to)@|@llusiy, pintay@
@painter@|@llunch'iq, llusiq@
@pair@|@iskaynintin@
@pan@|@manka@
@pancreas@|@suyk'upin@
@pants@|@pantalun@
@papaya@|@papaya@
@paper@|@papil, rap'a@
@papers@|@dukumintuykunatan@
@parents@|@taytamama@
@park@|@parki, pukllana pampa@
@parrot@|@luru, weqru@
@parsley@|@pirihil@
@part@|@waki, wakin@
@partridge@|@lluthu, yuktu, yut'u, yuthu@
@party@|@phista@
@pass@|@q'asa@
@pass (to)@|@thaniy@
@pass (to) (bridge@|@chimpay@
@pass (to) (hand to)@|@hayway@
@pass (to) (on the street)@|@pasay@
@passenger@|@pasahiru@
@past@|@ñawpa, ñawpaq, qayna pacha, unay@
@past moment@|@ñaqa@
@pasture (to)@|@michiy@
@path@|@ñan@
@patient@|@llakhi, unqusqa@
@pay (to)@|@pagay, quy, quykuy@
@payment@|@pagu@
@peace@|@qasi kawsay@
@peach@|@durasnu@
@peak@|@urquq puntan@
@peak (mountain)@|@punta@
@peas@|@alwirhas@
@pemanent@|@hina kaqlla@
@pen@|@lapis, qilqana@
@Penalty!@|@Pinal!@
@pencil@|@lapis, qilqana@
@penis@|@pichiku, pisqu@
@people@|@runa, runakuna@
@pepper@|@piminta, uchu@
@perhaps@|@ichapaschá@
@permit (to)@|@huñiy, saqillay@
@person@|@runa@
@Peru@|@Piruw@
@pet@|@uywa@
@peut-être@|@paqta@
@pharmacy@|@hampiyuq wasi@
@Phew!@|@Hananáw!@
@photo@|@phutu@
@photographer@|@phutu qurquq@
@physical pain@|@nanay@
@pick (tool)@|@piku@
@pick up (to)@|@pallay@
@pick up (to) (lift)@|@huqariy@
@piece@|@aqnu@
@pièce@|@k'ukmu@
@pig@|@khuchi@
@pile@|@muntun, qutu, rawkha, tawqa@
@pill@|@pastilla@
@pillow@|@sawna@
@pimento@|@uchu@
@pine@|@pinu@
@pink@|@llanqha puka, panti@
@pisco (acohol grape)@|@pisku@
@place@|@laru, pacha@
@place from across@|@chimpa@
@plain@|@pampa@
@plane@|@awiyun@
@plant@|@mallki, qura, yura@
@plant (to)@|@tarpuy@
@plant (to) (tree)@|@mallkiy@
@plant (to) (vegetable)@|@yuray@
@plant (wild)@|@sach'a@
@plastic@|@plastiku@
@plate@|@p'uku@
@play (to) (music)@|@phukuy, tukay, waqachiy@
@play (to) (sport@|@pukllay@
@playing field (sport)@|@pukllana pampa@
@plaza@|@plasa@
@please@|@allichu@
@plenty@|@askha, chhika@
@plough (to)@|@yapuy@
@plume@|@phuru@
@pocket@|@wulsiku@
@poem@|@harawi@
@police officer@|@wardiya@
@police station@|@kumisariya, wardiya@
@poncho@|@punchu@
@pond@|@qucha@
@poor@|@wakcha@
@poor person@|@wakcha@
@pork@|@khuchi aycha@
@possible@|@atinalla@
@post office@|@kuriyu@
@pot@|@manka@
@potato@|@papa@
@pottery@|@raqch'i@
@pour (to)@|@hich'ay@
@poverty@|@wakcha kay@
@power@|@kallpa@
@power (ability)@|@atiy@
@powerful@|@atipaq, qhapaq@
@pray (to)@|@mañakuy@
@prefer (to)@|@munay@
@pregnant@|@unquq@
@pregnant (animal)@|@chichu@
@pregnant (woman)@|@wiksayuq@
@prepare (to)@|@alistakuy, alistay, kamariy@
@present@|@kanan, kunan, rikuchikuy@
@present (time)@|@kunan pacha@
@press (to)@|@ñit'iy@
@pretty@|@sumaq@
@prevent (to)@|@hark'ay@
@priest@|@kura, tayta kura, yaya@
@probably@|@ichapas@
@produce (to)@|@puquy, ruruy@
@professor@|@hamawt'a@
@propose (to)@|@imbitay@
@protect (to)@|@amachay, hark'apay@
@Protestant@|@prutistanti@
@provisions (food)@|@quqaw@
@provisions (things)@|@kaqkuna@
@public toilet@|@hisp'akuna@
@pull (to)@|@aysay@
@puma@|@puma@
@pumpkin@|@sapallu@
@puna@|@puna@
@puncture@|@t'uqu@
@pupil@|@alumnu, ruru@
@pure@|@llumpaq@
@pure (water)@|@ch'uya@
@purple@|@kulli, muraru@
@purse@|@wayaqa@
@push (to)@|@chhuqay, tanqay@
@put (to)@|@churay@
@put up (to)@|@sayariy@
@put up with (to)@|@atipay@
@quarter (a)@|@tawa taq'a@
@Quechua@|@kichwa(simi), qhishwa(simi), runasimi@
@Quechua speaker@|@runa@
@queen@|@quya@
@question@|@tapuna@
@quick@|@phawaq, utqhaq@
@quickly@|@askamalla, usqhay@
@quickly (motion)@|@phawaylla, usqhaylla@
@quickly (time)@|@ratulla@
@quiet@|@ch'in, qasi@
@quinoa (Andean grain)@|@kinwa, kiwna, kiwña@
@rabbit (meat)@|@quwi aycha@
@race@|@phaway@
@radio@|@radiyu@
@rain@|@para@
@rain (to)@|@paray@
@rainbow@|@k'uychi@
@rainy season@|@para mit'a, paray mita@
@ramble (to)@|@musphay@
@rape@|@alquchay@
@rape (to)@|@alquchay@
@rash@|@khiki@
@ravine@|@wayq'u@
@raw (uncooked)@|@chawa, hank'u, hanku@
@razor@|@k'isuna, sunkha rutuna@
@reach (to)@|@aypay@
@read (to)@|@liyiy, ñawinchay, q'elq'ay rimak@
@reading@|@liyiy, ñawinchay@
@ready@|@kamarisqa@
@real@|@chiqaq@
@realise (to)@|@yuyayukuy@
@realize (to)@|@riparay@
@Really?@|@Chiqaqchu?@
@reason@|@-rayku@
@receive (to)@|@chaskiy@
@recently@|@chayraq@
@recognise (to)@|@riqsiy@
@recount (to)@|@willakuy, willay@
@red@|@puka@
@reed@|@k'urkur, suqus@
@refund (to)@|@kutichipuy@
@refuse (to)@|@ama niy@
@region@|@suyu@
@regret (to)@|@nanachikuy@
@reject (to)@|@ama niy@
@relate (to)@|@willakuy, willay@
@relax (to)@|@hawkay@
@remain (to)@|@qhipay@
@remember (to)@|@yuyariy, yuyay@
@remember well (to)@|@yuyay allinta@
@remote@|@karu karu@
@remove (to)@|@qichuy@
@repeat (to)@|@kutipay@
@resent (to)@|@nanachikuy@
@respect@|@yupaychay@
@respect (to)@|@manchay, yupaychay@
@rest@|@samay@
@rest (remaining)@|@wakin@
@rest (to)@|@samay@
@restaurant@|@mikhuna wasi, mikuna wasi@
@restroom@|@hisp'akuna@
@return (to)@|@kutiy@
@return (to) (come back)@|@kutimuy@
@rib@|@waqta@
@rice@|@arus@
@rich@|@apu, qhapaq, quliqisapa@
@ride (to) a horse@|@sillakuy@
@right@|@chanin@
@right (not left)@|@paña@
@right now@|@kunan pacha@
@Right!@|@Kusa!@
@ring (jewellery)@|@siwi@
@ripe@|@ñapu, puqusqa@
@rise (to) (sun)@|@paqariy@
@river@|@mayu@
@river)@|@chimpay@
@road@|@awtuñan, karitira, ñan@
@roast@|@kanka@
@roast (to)@|@kankay@
@rob (to)@|@suwakuy@
@robber@|@suwa@
@robbery@|@suwakuy@
@rock@|@qaqa, rumi, wank'a@
@rock climbing@|@qaqa wichay@
@rooster@|@k'anka@
@rope@|@waska, waskha@
@round@|@muyu@
@royal palace@|@kiswar kancha@
@royal tomb@|@chullpa@
@rubbish@|@q'upa@
@rug@|@qumpi@
@ruin@|@marka, maw'ka llaqta, raqay@
@ruins@|@ñawpa llaqta, purun llaqta, raqay raqay, thunisqa, wasikuna@
@rule@|@kamachiy@
@rule (to)@|@kamachiy@
@rumble (to)@|@anyay@
@run (to)@|@phawariy, phaway@
@run away (to)@|@ayqiy@
@sad@|@llaki, llakisqa@
@sadness@|@khuyay, llaki@
@safe@|@qhalilla@
@saliva@|@t'oq'ai, thaqay, thoqay@
@salt@|@kachi@
@salt (to)@|@kachichay@
@salted@|@p'osq'o, puchqu@
@salty@|@kachisapa@
@same@|@kiki@
@sand@|@aqu@
@sandal@|@husut'a@
@sandwich@|@quqawa@
@Saturday@|@sawaru@
@savage from the forest@|@ch'unchu@
@save (to) (person)@|@qispichiy@
@say (to)@|@niy@
@scarce@|@pisi@
@scarf@|@chalina@
@school@|@iskuyla, yachay wasi@
@science@|@hamut'ay@
@scientist@|@hamawt'a@
@scissors@|@kuchuna, tikras@
@scorpion@|@pikaq@
@Scotland@|@Iskusya@
@scratch (to)@|@hasp'ikuy@
@scream (to)@|@qaparqachay@
@scrub@|@ch'aphra@
@sea@|@lamarqucha, quchamama@
@seagull@|@qillwa, qiwlla, qiwllaytu@
@search (to)@|@maskhay@
@seat@|@tiyana@
@second@|@iskay kaq@
@see (to)@|@qhaway, rikuy@
@seed@|@muhu@
@select (to)@|@akllay@
@sell (to)@|@bindiy, wintiy@
@sell (to) (market/fair/stand)@|@qhatuy@
@send (to) (a letter)@|@apachiy@
@send (to) (on an errand)@|@kachay@
@sense (to)@|@llakllay@
@separated@|@t'aqasqa@
@seperate (to)@|@rakiy, t'aqay@
@September@|@sitimri killa@
@serve (to)@|@waliy@
@serve food (to)@|@qaray@
@set (to) fire to@|@k'anay, kanay@
@set down (to)@|@tardiyay@
@seven@|@qanchis@
@seventeen@|@chunka qanchisniyuq@
@seventy@|@qanchis chunka@
@sew (to)@|@siray, tarpuy@
@shade@|@llanthu@
@shadow@|@llanthu, llanthu@
@shake hands (to)@|@llamiyuy@
@shame@|@p'inqay@
@shampoo@|@champu@
@share one's food (to)@|@malliyachiy@
@shave (to)@|@p'aqlay@
@shawl@|@lliklla@
@she@|@pay@
@sheep@|@uha, ukya, uwiha@
@sheet (paper)@|@raphi@
@shelf@|@churarina@
@sheperd@|@michiq@
@shimmy up (to) (tree)@|@lluqhay@
@shine@|@k'anchay@
@shine (to)@|@chhipchiy, chipchiy, lliplliy@
@shine (to) (sun)@|@k'anchay@
@shining white@|@quyllu@
@shirt@|@kamisa@
@shivery@|@khatatay@
@shoe@|@sapatu@
@shoe shop@|@sapatu tinda@
@shop@|@tinda@
@short@|@taksa, tinku@
@short (in distance)@|@k'uku@
@shoulder@|@rikra, riqra@
@shout (to)@|@qapariy@
@show (to)@|@qhawachiy, riqsichiy@
@shrub@|@ch'apra@
@shut@|@wisq'asqa@
@shut (to)@|@wisq'ay@
@shut up (to)@|@upallay@
@sick@|@unqusqa@
@sickness@|@unquy@
@side@|@kinray@
@side by side@|@kuska@
@sightseeing@|@turistakuna purisqan@
@sign@|@unancha@
@sign (to) (document)@|@suti silq'uy@
@signature@|@silq'u@
@signpost@|@unancha@
@silent@|@ch'in@
@silver@|@qullqi, qulqi@
@similar@|@hina, rikch'akuq@
@sin@|@hucha@
@sin (to)@|@huchallikuy@
@since@|@-manta@
@since May@|@mayu killamanta@
@since then@|@chaypachamanta@
@sing (to)@|@takiy@
@singer@|@takiq@
@singing@|@takiy@
@single (man)@|@sultiru@
@single (unique)@|@ch'ulla@
@single (woman)@|@sultira@
@single man@|@mana warmiyuq@
@single woman@|@mana qusayuq@
@sister (of man)@|@pana@
@sister (of woman)@|@ñaña@
@sit (to)@|@tiyay@
@six@|@soqta, suqta@
@sixteen@|@chunka suqtayuq@
@sixty@|@suqta chunka@
@size@|@sayay@
@size (to)@|@sayay@
@skin@|@qara@
@skinny@|@tullu@
@skirt@|@pullira@
@sky@|@siylu@
@sky (invisible)@|@hanaqpacha@
@sky blue@|@t'uqra anqas@
@sleep (to)@|@puñuy@
@sleeping bag@|@puñuna@
@sleepy@|@puñuy aysay@
@slide (to)@|@suchuy@
@slightly damp@|@mik'i@
@slowly@|@allilamanta@
@small@|@huch'uy, huchuy, taksa@
@small bag@|@ch'uspa@
@smell (to)@|@asnay, muskhiy, mutkhiy@
@smell bad (to)@|@asnay@
@smile (to)@|@asirikuy@
@smoke@|@q'usmi, q'usñi@
@smoke (to) (cigarette)@|@pitay@
@smooth@|@siwk@
@snake@|@amaru, mach'aqway@
@sneeze (to)@|@acchiy@
@snow@|@rit'i@
@snow line@|@rit'i siqi@
@so@|@ahinaqa, chay hinaqa, chaymi, chayrayku, kaynata, nispaqa@
@soap@|@hawun@
@socks@|@midyas@
@soda@|@kula@
@soft@|@llamp'u@
@soft drink@|@kula@
@solid@|@ch'ila, chuchu@
@some (animate object)@|@wakinkunalla@
@some (inanimate object)@|@wakiwakillan@
@some good maize@|@sumaq sara@
@someone@|@pipas@
@something@|@imallapas, imapas, imapis@
@sometimes@|@maynillanpi@
