@Maltese@|@English@
@Ilbieraħtlula@|@The day before yesterday@
@Il-ħabba tal-għajn@|@Pupil@
@Il-ħames@|@Fifth@
@Ilkoll@|@All@
@Illamta@|@starch@
@Il-lejl it-tajjeb@|@Good Night@
@Illejla@|@Tonite@
@Illendja@|@land@
@Illendjar@|@Landing (v.n.)@
@Illendjat@|@Landed@
@Illivella@|@level@
@Illum@|@Today@
@Ilma@|@Water@
@Ilsien@|@Tongue@
@Iltaqa'@|@meet@
@Iltim@|@Orphan@
@Ilu@|@Ago@
@Imballa@|@pack@
@Imbarka@|@embark@
@Imbaxxi@|@Lowered@
@Imbiċċer@|@Butchered@
@Imbotta@|@push@
@Imbuttar@|@Pushing (v.n.)@
@Imiss lil+p.s.@|@It is your turn@
@Immaġina@|@imagine@
@Immaniġġa@|@manage@
@Immansa@|@tame@
@Immexxi@|@Guided@
@Impala@|@shovel@
@Imperatur@|@Emperor@
@Imposta@|@post@
@Imqar@|@If only@
@Imqareb@|@Naughty@
@Imqattagħ@|@Torn@
@Imsemmi@|@Mentioned@
@Imtedd@|@lay down@
@Imtela@|@be filled@
@Inbala'@|@be swallowed@
@Inbeda@|@be begun@
@Inbiegħ@|@be sold@
@Inċara@|@plane@
@Inċarar@|@Planing@
@Indaħal@|@interfere@
@Indeċiż@|@Undecided@
@Indefinit@|@Indefinite@
@Indifen@|@be buried@
@Indipendenti@|@Independant@
@Indirizzat@|@Address@
@industrija@|@industry@
@Infama@|@defame@
@Infaxxa@|@bandage@
@Infermier@|@Nurse@
@Infetta@|@infect@
@Infirex@|@be spread@
@Infondat@|@Unfounded@
@Inġama'@|@be gathered@
@Ingħad@|@be said@
@Ingħadd@|@be added@
@Ingħata@|@be given@
@Ingliż@|@English@
@ingwanta@|@glove@
@Inħass@|@be felt@
@Inħtieġ@|@be necessary@
@injam@|@wood@
@Inkanta@|@auction off@
@Inkiteb@|@be written@
@Inkonxjament@|@Unconsciously@
@Inqabad@|@be caught@
@Inqara@|@be read@
@Inqata'@|@be cut@
@Inqatel@|@be killed@
@Insab@|@be found@
@Inseraq@|@be stolen@
@Inserra@|@saw off@
@Inserrar@|@Sawing@
@Instab@|@be found@
@Instama'@|@be heard@
@Intaqal@|@be said@
@Intaxxa@|@tax@
@Intefaq@|@be spent@
@Intelaq@|@abandon oneself@
@Intelliġenti@|@Intelligent@
@Intenzjonalment@|@Intentionally@
@Intenzjoni@|@Intention@
@Interroga@|@interrogate@
@Interrogatorju@|@Interrogation@
@Intesa@|@be forgotten@
@Inti (neg: Mintiex)@|@You@
@Intom (neg: Mintomx)@|@You (pl)@
@Intortament@|@Guiltlessly@
@Intrabat@|@be bound@
@Invaża@|@possess (devil)@
@Inxtamm@|@be smelt@
@Inxurja@|@insure@
@Ipparkja@|@park@
@Ipparkjat@|@Parked@
@Ippassiġġa@|@walk up and down@
@Ippersonifika@|@personify@
@Ippopolarizza@|@popularize@
@ippostja@|@post@
@Ippoża@|@pose@
@Ippremja@|@reward@
@Ippretenda@|@pretend@
@Ipprogramma@|@program@
@Ipprokura@|@procure@
@Ipprostesta@|@protest@
@Ipproteġa@|@protect@
@Ippumpja@|@pump@
@Ippumpjar@|@Pumping@
@Iqsar@|@Shorter@
@Irbatta@|@rivet@
@Irċieva@|@receive@
@Irħas@|@Cheaper@
@Irmedja@|@remedy@
@Irnexxa@|@succeed@
@Irqaq@|@Thinner@
@Ir-raba'@|@Fourth@
@Irrabja@|@get angry@
@Irraġuna@|@reason@
@Irrakkomanda@|@recommend@
@Irrekordja@|@record@
@Irrepeta@|@repeat@
@Irrikordja@|@record@
@Irrikordjar@|@Recording@
@Irriskja@|@risk@
@Irrispetta@|@respect@
@Ir-rita tal-għajn@|@Retina@
@Ir-rokna tal-għajn@|@Corner of eye@
@Irrombla@|@roll@
@Irvella@|@rebella@
@Irvina@|@ruin@
@Isbaħ@|@Lovlier@
@Isem@|@Name@
@Isfar, Safra@|@Yellow@
@Iskultur@|@Sculptor@
@Iskutella tar-ras@|@Skull@
@Ismen@|@Fatter@
@Issa@|@Now@
@Issaddad@|@grow rusty@
@Issaffa@|@be purified@
@Issapna@|@soap@
@Is-seba'@|@Seventh@
@Issegwa@|@be followed@
@Issejjaħ@|@be called@
@Issellef@|@borrow@
@Issemma@|@be mentioned@
@Issensja@|@discharge from work@
@Issetlja@|@settle@
@Issetta@|@pelt@
@Issieħeb@|@associate oneself@
@Is-sitt@|@Sixth@
@Issoda@|@strengthen@
@Issodisfa@|@satisfy@
@Issofra@|@be suffered@
@Issogra@|@risk@
@Issostna@|@be sustained (law)@
@Iswed, Sewda@|@Black@
@Itir@|@Airborne@
@Itjeb@|@Better@
@Ittabba'@|@get stained@
@Ittajpja@|@type@
@Ittajpjar@|@Typing@
@It-temp@|@Weather@
@It-tielet@|@Third@
@It-tmien@|@Eighth@
@It-tnieni@|@Second@
@Ittondja@|@round@
@Ittradixxa@|@betray@
@Ittraskura@|@neglect@
@Ittraskurat@|@Neglected@
@Ittratta@|@treat@
@Ittrippla@|@triple@
@Iva@|@Yes@
@Ivventa@|@invent@
@Ivversja@|@sing verses@
@Ivvjaġġa@|@travel@
@Ix-xagħar tal-għajn@|@Eyelash@
@Ixxaħħam@|@receive bribes@
@Ixxala@|@enjoy oneself@
@Ixxala@|@make merry@
@Ixxuttja@|@shoot@
@Iżda@|@But@
@Iżgħar@|@Smaller@
@Iżjed il+adj@|@More +adj@
@Iżża ħajr@|@give thanks@
@Izzakkak@|@grow rapidly@
@Iżżattat@|@be presumptuous@
@Jaqaw@|@Maybe@
@Jekk@|@If@
@Jekk Jogħġbok@|@Please@
@Jew@|@Or@
@Jewilla?@|@By any chance?@
@Jien (neg: Miniex)@|@I@
@Jisem + ps@|@be named@
@Jum@|@Day@
@Kabbar@|@enlarge@
@Kaboċċa@|@Cabbage@
@Kaċċa@|@Hunt@
@kaċċaċ@|@hunt@
@Kaċċatur@|@Catcher@
@Kagħka@|@Ring Cake@
@Kaħħal@|@plaster@
@Kaħlija@|@Blacktail@
@Kal@|@eat@
@Kallu@|@Corn@
@kalzetta@|@sock@
@kamera@|@camera@
@Kampnar@|@Steeple@
@Kamra@|@Room@
@Kanarin@|@Canary@
@Kannella@|@Brown@
@Kanta@|@sing@
@Kantant@|@Singer@
@kanzunetta@|@song@
@kappell@|@cap@
@Kappell@|@Hat@
@Kappella@|@Chapel@
@Kappillan@|@Chaplain@
@Kapriċċ@|@Whim@
@Karfusa@|@Celery@
@Karkur@|@Slipper@
@Karnival@|@Carnival@
@Karozza@|@Car@
@Karta@|@Paper@
@Kastell@|@Castle@
@Katnazz@|@Padlock@
@Kattiv@|@Cruel@
@Katusa@|@Pipe@
@Każbar@|@revile@
@Kbir@|@Big@
@Kburija@|@Pride@
@Kedd@|@vex@
@Keffen@|@shroud@
@Kelb@|@Dog@
@kellem@|@speak@
@kellem@|@talk@
@Kellu +ps + verb@|@have to@
@Kelma@|@Word@
@Kemm@|@How much@
@Kemm il +sing noun@|@How much@
@Kemmex@|@wrinkle@
@Kennies@|@Scavenger@
@Kera@|@Rent@
@Kesaħ@|@be cold@
@Kewba@|@Written@
@Kewkba@|@Star@
@Kexkex@|@shock@
@Kexxun@|@Drawer@
@Kiber@|@grow@
@Kiefer@|@Cruel@
@Kiel@|@eat@
@Kien@|@be@
@Kiesaħ@|@Cold@
@Kif@|@How@
@Kif inti?@|@How are you@
@Kilwa@|@Kidny@
@Kines@|@sweep@
@kiser@|@break@
@Kisser@|@smash@
@Kiteb@|@write@
@Kitla@|@Kettle@
@Kittieb@|@Writer@
@Kixef@|@uncover@
@Kixef@|@unveil@
@kkuntempla@|@wonder@
@Klabb@|@Club@
@Knisja@|@Church@
@Kobor@|@Greatness@
@Kollox@|@Everything@
@Kollox Sew@|@All right@
@Kolonja@|@Colony@
@Komma@|@Sleeve@
@kompjuter@|@computer@
@Kontra@|@Against@
@Kopra@|@cover@
@Korra@|@be injured@
@kowt@|@coat@
@Koxxa@|@Thigh@
@Kranju@|@Skull@
@Kredu@|@Creed@
@Kritiku@|@Critic@
@Kriżi@|@Crisis@
@Krudil@|@Cruel@
@Kruħa@|@Ugliness@
@Kruhija@|@Uglyness@
@Ksieħ@|@Cold@
@Ktieb@|@Book@
@Kuċċarun@|@Ladle@
@kuġin@|@cousin@
@kuker@|@stove@
@Kul wieħed@|@Each@
@Kuljunata@|@Ridicule@
@Kull@|@Every@
@Kull ħadd@|@Everyone@
@Kull meta@|@Whenever@
@Kull wieħed@|@Eache one@
@Kullfejn@|@Wherever@
@Kullimkien@|@Everywhere@
@Kullma@|@Whatever@
@Kullmin@|@Whoever@
@Kulur@|@Color@
@Kumidita@|@Comfort@
@Kumpanjol@|@Peasant@
@Kunċizzjoni@|@Conception@
@Kuntrarjament@|@Contrarily@
@Kuntrarju@|@Contrary@
@Kuntratt@|@Contract@
@Kuraġġ@|@Courage@
@Kustjoni@|@Question@
@Kwalifikat@|@Qalified@
@Kwart@|@Quarter@
@Kwiet@|@Quiet@
@Kwint@|@Fifth (1/5)@
@Kwistjoni@|@Question@
@L hawn@|@Here@
@L hemm@|@There@
@L isfel@|@Downward@
@La@|@When@
@La darba@|@Since, Considering that…@
@Labbar@|@pierce or fasten with pins@
@L-abjad tal-għajn@|@White of eye@
@Labra@|@Pin@
@Lagħab@|@play@
@Lagħaq@|@lick@
@Laħaq@|@reach@
@Laħma@|@Meat@
@lampa@|@lamp@
@Lamtu@|@Starch@
@Lanċa@|@Launch@
@Lanġas@|@rain heavily, storm@
@Langasa@|@Pear@
@Laqa'@|@receive@
@Laqa'@|@welcome@
@Laqat@|@hit@
@Laqat@|@strike@
@Larinġa@|@Orange@
@lasta@|@stick@
@Lazz@|@Showelaces@
@Le@|@No@
@Lebbes@|@dress s.o.@
@Leħen@|@Voice@
@lejl@|@night@
@Lejn@|@Toward@
@Lejn il-baħar@|@Toward the sea@
@Lejn il-lemin@|@Toward the right@
@Lejn ix-xellug@|@Toward the left@
@Lejn l-art@|@Toward the ground@
@Lela@|@Lilac@
@Lemaħ@|@perceive@
@Lenbeb@|@roll pasta with a rolling pin@
@Leqq@|@glitter@
@Lest@|@Ready@
@Lewn@|@Color@
@L-ewwel@|@First@
@Lezzjoni@|@Lesson@
@L-għatu tal-għajn@|@Eyelid@
@L-għaxar@|@Tenth@
@Lhudi@|@Jew@
@Li + noun + ta' + p.s.@|@Whose (relative)@
@Li bi + p.s.@|@With which@
@Li Fi + p.s.@|@In Which@
@Li ġej@|@Next@
@Li għal + p.s.@|@For which@
@Li ma' + p.s.@|@with Which@
@Li Xulxin@|@Each other@
@Li, Illi@|@Who, That, Which@
@Libes@|@get dressed@
@Libsa@|@Dress@
@Lid@|@Lead@
@Liebes@|@Dressed@
@Liebes@|@Dressed up@
@Liema@|@Which@
@Lig@|@League@
@Likk@|@Small Ball@
@Lingwa@|@Language@
@Ljun@|@Lion@
@Logħba@|@Game@
@Logħob@|@Playing@
@Lotterija@|@Lottery@
@lsien@|@tongue@
@Lsir@|@Slave@
@Lumija@|@Lemon@
@Lupu@|@Wolf@
@Lura@|@Backwards@
@Lvant@|@East@
@Ma'@|@With@
@Ma Fadiex@|@mistrust@
@Ma' ġenb@|@Beside@
@Ma' kullimkien@|@In every place@
@Ma' nżul ix-xemx@|@At sunset@
@Madwar@|@Around@
@Madwar ____ ruħ@|@About _____ people@
@Madwar il-belt@|@In the neighborhood@
@Maġġur@|@Major@
@Magħġen@|@Kneading basin@
@Magħlaq@|@Enclosure@
@Magħlef@|@Fodder@
@Magħluq@|@Closed@
@Magħmudija@|@Baptism@
@Magħqad@|@Seat@
@Magħruf@|@Known@
@Magħżel@|@Dostaff@
@Maġmar@|@Brazier@
@Maħbeż@|@Oven@
@Maħbub@|@Loved@
@Maħfra@|@Forgiveness@
@Maħrub@|@Fled@
@Maħżen@|@Magazine@
@Majjal@|@Pork@
@Mal-lejl@|@In the night@
@Malti@|@Maltese@
@Mans@|@Tame@
@Mantna@|@maintain@
@Maqbad@|@Handle@
@Maqlugħ@|@Earned@
@Maqtugħ@|@Cut (adj)@
@Maqtul@|@Killed@
@Mar@|@go@
@mara@|@wife@
@Mara@|@Woman@
@Marad@|@fall sick@
@Mard@|@Sickness@
@Marda@|@Ailment@
@Marden@|@Spindle@
@Mardud@|@Restored@
@Marid@|@Sick@
@Masġar@|@Corpse@
@Mas-sebħ@|@At day break@
@Mawra@|@Walk@
@Mawrien@|@Going (v.n.)@
@Maxat@|@comb@
@Mazz@|@Bunch@
@Mbagħad@|@Then@
@Mbierek@|@Blessed@
@mbotta@|@push@
@Meditazzjoni@|@Meditation@
@Megħjun@|@Helped@
@Meħlus@|@Freed@
@Meħud@|@Taken@
@Mejda@|@Table@
@Mejjet@|@Dead@
@Mela@|@fill@
@melħ@|@salt@
@Melles@|@carress@
@Meqjum@|@Respected@
@Meqjum@|@Venerated@
@Meqjus@|@Measured@
@Mera@|@contradict@
@Merħla@|@Flock@
@Mertu@|@Merit@
@mesaħ@|@wipe@
@Mess@|@touch@
@Messaġġier@|@Messenger@
@Meta@|@When@
@Mewt@|@Death (v.n.)@
@Mewt@|@Dieing, act of@
@Mewta@|@Death@
@Mewta@|@Death (instance)@
@mewwes@|@stab@
@Mexa@|@walk@
@Mexxa@|@guide@
@Mexxa@|@lead@
@Mexxej@|@Leaer, Flowing@
@Mgħaġġel@|@Hurried@
@mgħallem@|@boss@
@Mgħallem@|@Master@
@Mgħarfa@|@Spoon@
@Mgħax@|@Profit@
@Mgħażqa@|@Spade@
@Mgħobbi@|@Loaded@
@Mġiba@|@Behavior@
@Mħabba@|@Love@
@Mħadda@|@Pillow@
@Mħakka@|@Cheese grater@
@Mħallef@|@Judge@
@Mħarbat@|@Destroyed@
@Mħatra@|@Wager@
@Mħawed@|@Complicated@
@M'hemmx imn'hiex@|@You're welcome@
@Mhux minnu@|@Its not true@
@M'hux, M'hix@|@It is not@
@Mibdi@|@Started@
@Mibegħda@|@Hatred@
@Mibjud@|@Laid@
@Mibni@|@Built@
@Mibugħ@|@Sold@
@Midbaħ@|@Sacrificial Altar@
@Midbiel@|@Withered@
@Middi@|@Glittering@
@Midjun@|@Owing money@
@Midjuq@|@Tasted@
@Midneb@|@Sinner@
@Midra@|@Winnowing fork@
@Miegħek@|@roll about@
@Miera@|@contradict@
@Miet@|@die@
@Miexi@|@Walking (p.p)@
@Miftakar@|@Rembered@
@Miġi@|@Arriving (v.n.)@
@Miġja@|@Arrival@
@Miġja@|@Coming@
@Miġjub@|@Brought@
@Miġnun@|@Mad@
@Mija@|@One Hundred@
@Mijja@|@Hundred@
@Mikri@|@Rented@
@Miksur@|@Broken@
@Miktub@|@Written@
@Milli@|@Than@
@Millied@|@Christmas@
@Mil-lista@|@From the list@
@Milud@|@Born@
@Mimli@|@Filled@
@Mimli bi@|@Full of@
@Mimsus@|@Touched@
@Min@|@Who@
@Min issa 'l quddiem@|@From now on@
@Min sa fejn?@|@By what right?@
@Min?@|@Who@
@Minfaħ@|@Bellows@
@Minfes@|@Nostril@
@Minġel@|@Scythe@
@Mingħajr@|@Without@
@Minħar@|@Nose@
@Minkeb@|@Elbow@
@Minn@|@From@
@Minn fejn int?@|@Where are you from?@
@Minn għal +  p.s. li@|@It seems (person) that@
@Minn kullħadd@|@By everyone @
@Minn ta' quddiem@|@Of the very first@
@Minn taħt@|@In an unfavorable position@
@Minn wara@|@From behind@
@Minnfuq@|@Inthe bargain@
@Min-nies@|@From the people@
@Minsi@|@Forgotten@
@Minuta@|@Minute@
@Mira@|@Mirror@
@Mirkeb@|@Ship@
@Misjub@|@Found@
@Misjur@|@Ripe@
@Mismugħ@|@Heard@
@Misnieħ@|@Rancid@
@Misraħ@|@Open air square@
@Missier@|@Father@
@Mistħi@|@Ashamed@
@Mistħi@|@Timid@
@Mistħija@|@Bashfulness@
@Mistieden@|@Invited@
@Mistoħbija@|@Concealment@
@Mistoqsija@|@Question@
@Mitfugħ@|@Thrown@
@Mitħna@|@Mill@
@Mitraħ@|@Mattress@
@Mixegħla@|@Illumination@
@Mixi@|@Walking@
@Mixtla@|@Bed of flowers@
@Mixtri@|@Bought@
@Mixwi@|@Grilled@
@Miżbla@|@Dunghill@
@Miżen@|@Scales@
@Mizirgħa@|@Sown Field@
@Miżjud@|@Added@
@Miżwed@|@Pod@
@Mkebba@|@Reel@
@Mkien@|@Place@
@Mkien (ma…)@|@No where@
@Mkisser@|@Broken@
@Mleff@|@Child's cloak@
@Mnejn@|@Whence@
@mnieħer@|@nose@
@Mogħdija@|@Passage@
@Mogħdrija@|@Compassion@
@Mogħti@|@Given@
@Moħba@|@Hiding place@
@Moħbi@|@Hidden@
@Moħħ@|@Brain, Forehead, Mind@
@Moħħ@|@Forehead@
@Moħli@|@Wasted@
@Moħriet@|@Plough@
@Moqdief@|@Oar@
@Moqli@|@Fried@
@Moqri@|@Read@
@Moqrija@|@Oppression@
@Moqżież@|@Rilthy@
@Mormi@|@Thrown@
@Morr@|@Bitter@
@Mpjega@|@employ@
@Mqareb@|@Naughty@
@Mqass@|@Scissors@
@Mrar@|@be bitter@
@Mreddgħa@|@Wet-nurse@
@Mrewħa@|@Fan@
@Mselħa@|@Broom@
@Msella@|@Packing needle@
@Mserka@|@Spool@
@mtedd@|@lie@
@Muftieħ@|@Key@
@Muġugħ@|@Hurt@
@Muħġar@|@Stony@
@Mulej@|@Lord@
@Munqar@|@Beak@
@muntanja@|@mountain@
@Muntun@|@Ram@
@Munxar@|@Saw@
@Munżell@|@Stack of hay@
@Mus@|@Folding Knife@
@Musbieħ@|@Oil lamp@
@Musfar@|@Yellowish@
@Musħab@|@Cloudy@
@Musħaħ@|@Sturdy@
@Musmar@|@Nail@
@musrana@|@guts@
@Muswaf@|@Wooly@
@Mutrab@|@Dusty@
@Mutu@|@Dumb@
@Muxgħar@|@Hairy@
@Mużew@|@Museum@
@mużika@|@music@
@Mwemmen@|@Believed@
@Mxedd@|@Girth@
@Nagħal@|@Horse-Shoe@
@Nagħġa@|@Sheep@
@Naħla@|@Bee@
@Naqqar@|@peck@
@Nar@|@Fire@
@Narak iktar tard@|@See you later@
@Naspla@|@Medla@
@Naża'@|@undress@
@nbid@|@wine@
@Nbiħ@|@Barking@
@Ndaf@|@become clean@
@Ndafa@|@Cleanliness@
@Nebħa@|@Bark@
@Nefaħ@|@blow@
@Nefaq@|@spend@
@Nefħa@|@Blow@
@Negozjant@|@Businessman@
@Nejba@|@Widsom tooth@
@Nemla@|@Ant@
@Nerv@|@Nerve@
@Nervuż@|@Irritable@
@Nesa@|@forget@
@Newl@|@Loom@
@Nfiħ@|@Blowing@
@Ngaġġa@|@enroll oneself@
@Ngħas@|@Temple@
@Ngombra@|@encumber@
@Ngrana@|@put s.th. in gear@
@Nġurja@|@abuse, insult@
@Niċċa@|@Niche@
@Nidem@|@repent@
@Niedi@|@Wet@
@Nieqes@|@Less@
@Niexef@|@Dry@
@Nieżel@|@Descending (adj)@
@Nieżel@|@Descending (p.p)@
@Nifs@|@Self@
@Niġġeż@|@prick@
@Niseġ@|@weave@
@Nisrani@|@Christan@
@Nissieġ@|@Weaver@
@Niten@|@stink@
@Nixfa@|@Dryness@
@Niżel@|@descend@
@Niżla@|@Slope@
@Niżżel@|@bring down@
@Nkludja@|@include@
@Nkwadra@|@frame s.th.@
@Nobbli@|@Noble@
@Nofs@|@Half@
@ntefaħ@|@swell@
@numru@|@number@
@Nvista@|@visit@
@Nżul@|@Descent@
@Obbligu@|@Duty@
@Obda@|@obey@
@Obligazzjoni@|@Obligation@
@Offerta@|@Offering@
@Ogħla@|@Higher@
@Ogħna@|@Richer@
@Oħla@|@Sweeter@
@oħt@|@sister@
@Oħxon, Ħoxna@|@Stout, Bass@
@Ombra@|@feel repugnance for@
@Ombra@|@Shade@
@Omm@|@Mother@
@Onest@|@Honest@
@Onorat@|@Honored@
@Ordina@|@order@
@Ordinat@|@Organized@
@paċi@|@peace@
@Paċpaċ@|@chat@
@Paġna@|@Page@
@Pajjiż@|@Country@
@Pajlot@|@Pilot@
@Pala@|@Shovel@
@Palazz@|@Palace@
@Pannet@|@stitch@
@Papa@|@Pope@
@Papoċċ@|@Footwarmers@
@Parrukkier@|@Barber@
@Partat@|@barter@
@Passiġġata@|@Stroll@
@Passiġġier@|@Passenger@
@Passiġġiera@|@Perch@
@Pastaż@|@Vulgar@
@Patata@|@Potato@
@Patri@|@Monk@
@Paxxa@|@delight@
@Pejjep@|@smoke@
@Penna@|@Pen@
@Pennet@|@drink pints@
@Perreċ@|@expose@
@persuna@|@person@
@Petne@|@Comb@
@Petpet@|@blink@
@Pinġa@|@paint@
@Pinġut@|@Painted@
@pinna@|@pen@
@Pirata@|@Pirate@
@Pitgħada@|@The day after tomorrow@
@Pitrava@|@Beetroot@
@pitter@|@paint@
@Pittura@|@Painting@
@Piżella@|@Peas@
@pjaneta@|@planet@
@Pjazza@|@Square@
@plastik@|@plastic@
@Plattu@|@Plate@
@Poeta@|@Poet@
@Poġġa@|@place@
@poġġa@|@sit@
@Poplu@|@Populus@
@port@|@harbour@
@Possibbli@|@Possible@
@Poża@|@Pose@
@Premju@|@Prize@
@Priġunier@|@Prisoner@
@Prinċep@|@Prince@
@Prinċipessa@|@Princess@
@Professur@|@Professor@
@Pubbliku@|@Public@
@Pulit@|@Clean@
@Pulit@|@Neat@
@pulizija@|@policeman@
@Pużati@|@Cutlery@
@Qabad@|@seize@
@Qabad + verb@|@start + verb@
@Qabar@|@Tomb@
@Qabel@|@agree@
@Qabel@|@Before@
@Qabel il-waqt@|@Prematurely@
@Qabel ma…@|@Before + verb@
@Qabel xejn@|@begin with@
@Qabeż@|@jump@
@Qabla@|@Midwife@
@Qadd@|@Waist@
@Qaddej@|@Servant@
@Qaddis@|@Holy@
@Qadim@|@Old@
@Qafas@|@Cage@
@qafel@|@tie@
@qagħad@|@stand@
@Qagħad@|@stay@
@Qaħqaħ@|@hack@
@Qajjem@|@raise s/o@
@Qajla@|@Slowly@
@Qal@|@say@
@Qala'@|@earn@
@qala’@|@vomit@
@Qalb@|@Heart@
@Qalbieni@|@Couragious@
@Qaleb@|@Cheese form@
@Qalfat@|@Caulker@
@Qalgħa@|@Gossip@
@Qalgħa@|@Profit@
@Qali@|@Frying@
@Qalil@|@Severe@
@Qam@|@rise@
@Qamar@|@Moon@
@Qamħa@|@Corn@
@qamla@|@louse@
@Qanfud@|@Hedgehog@
@Qara@|@read@
@Qarar@|@hear confession@
@Qaras@|@pinch@
@Qares@|@Sour@
@Qargħa@|@Bald@
@Qari@|@Reading@
@Qari@|@Reading, act of@
@Qarib@|@Near@
@Qarib@|@Relative@
@Qarja@|@Reading passage@
@Qarmeċ@|@crunch@
@Qarn@|@Horn@
@Qarr@|@confess@
@Qarr@|@go inconfession@
@Qarrej@|@Reader@
@Qartalla@|@Basket@
@Qartas@|@Paper Bag@
@Qartas@|@Pocket@
@Qasam@|@break@
@Qasam@|@divide@
@Qasam@|@Farm@
@qasam@|@split@
@Qasba@|@Reed@
@Qasir@|@Short@
@Qassam@|@distribute@
@Qassar@|@shorten@
@Qassis@|@Priest@
@Qata'@|@cut@
@qata’@|@cut@
@Qatel@|@kill@
@Qatgħa@|@Shock@
@Qatla@|@Slaughter@
@Qatra@|@Drop@
@Qatt (ma…)@|@Never@
@Qatta@|@Truss@
@Qatta'@|@cause cut@
@Qatta'@|@cut inpieces@
@Qattar@|@drip@
@Qattiel@|@Murderer@
@Qattiel@|@Murderous@
@Qattus@|@Cat@
@Qawi@|@Strong@
@Qawma@|@Awakening@
@Qawmien@|@Act of Awakening@
@Qawsalla@|@Rainbow@
@Qażquż@|@Pig@
@Qbad@|@Siesing@
@Qbada@|@Seisure@
@Qdiem@|@get old@
@Qeda@|@serve@
@Qela@|@fly@
@Qered@|@destroy@
@Qerq@|@Treachery@
@qħerq@|@root@
@Qiegħ@|@Bottom@
@qiegħed@|@put@
@Qies@|@measure@
@Qies@|@Measurement@
@Qligħ@|@Earning (v.n.)@
@Qlugħ@|@Sail@
@Qmis@|@Shirt@
@Qoffa@|@Basket@
@Qoffa@|@Basketful@
@Qorq@|@Scandal@
@Qorti@|@Law-court@
@Qosor@|@Shortness@
@Qotna@|@Cottom@
@qoxra@|@bark@
@Qoxra@|@Husk@
@Qrara@|@Confession@
@Qras@|@turn sour@
@Qroqqa@|@Brooding Hen@
@Qtil@|@Killing@
@Quddiem in-nies@|@Publicly@
@Quddiem kullħadd@|@In everyone's presence@
@Quddiem, Minflok@|@In front of@
@Qżież@|@grow filthy@
@Ra@|@see@
@ra@|@watch@
@Rabat@|@tie@
@Rabja@|@Anger@
@rada’@|@suck@
@Radd@|@Restoration@
@Radd@|@restore@
@Radda@|@Furrow@
@Raddiena@|@Wheel@
@Radju@|@Radio@
@Raġa'@|@repeat@
@raġel@|@husband@
@raġel@|@man@
@Raġġ@|@Ray@
@Ragħad@|@Thunder@
@Raġil@|@Man@
@raġun@|@reason@
@Raġunar@|@Reasoning@
@Raġuni@|@Reason@
@Raħal@|@Village@
@Raj@|@Seeing@
@Rakkomandazzjoni@|@Recommendation@
@Rama@|@harness@
@ramla@|@sand@
@Raqad@|@sleep@
@Raqda@|@Slumber@
@Raqq@|@become thin@
@Raqqad@|@put s/o sleep@
@Raqqaq@|@thin s.o.@
@Rari@|@Rare@
@Ras@|@Head@
@Rasaq@|@approach@
@Rass@|@press@
@Rbombja@|@resound, echo@
@re@|@king@
@Rebaħ@|@win@
@Rebbieħi@|@Victorious@
@Rebħ@|@Victory@
@Rebħ@|@Winning@
@Rebħa@|@Victory@
@Rebħa@|@Win@
@Refa'@|@raise@
@reġina@|@queen@
@regola@|@rule@
@Reħa@|@let go@
@reliġjon@|@religion@
@Reliġjoni@|@Religion@
@Rema@|@throw away@
@Reqqet il-wiċċ@|@Bashfulness@
@respira@|@breathe@
@Ressaq@|@bring s.o. near@
@restorant@|@restaurant@
@Rett@|@Upright@
@Reżaħ@|@shiver@
@Rġulija@|@Manliness@
@Rħis@|@Cheap@
@Ried@|@want@
@Rieġa@|@rule@
@Riegħed@|@thunder@
@Rieqed@|@Asleep@
@Rieqed@|@Sleeping@
@Riġel@|@Leg@
@Riħ@|@Cold Sickness@
@Riħ@|@Wind@
@Rihabilitazzjoni@|@Rehabilitation@
@Rikeb@|@ride@
@Rikkeb@|@make s.o. ride s.th.@
@Rimedju@|@Remedy@
@Rimi@|@Throwing away@
@rixa@|@feather@
@rkoppa@|@knee@
@Rkupa@|@recover@
@rmied@|@ashes@
@Rokna@|@Corner@
@Romblu@|@Roller@
@Romol@|@be widowed@
@Roqgħa@|@Patch@
@rota@|@bike@
@Rovina@|@Ruin@
@Roża@|@Pink@
@Rozzi@|@Rude@
@Rqad@|@Dormancy@
@Rqad@|@Sleeping, act of@
@Rqiq@|@Thin@
@Rtuba@|@Softness@
@Ruħ@|@Soul@
@Rumanza@|@Novel@
@Rvell@|@Rebellion@
@Sa@|@Until, As far as@
@Sa, Ħa@|@Will@
@sab@|@find@
@Saba'@|@Finger@
@Sabagħ@|@Finger@
@Sabar@|@Patience@
@Sabbar@|@comfort s.o.@
@Sabi@|@Young man@
@Sabiħ@|@Beautiful@
@Sabiħ@|@Lovely@
@Sadd@|@plug@
@Sadid@|@rust@
@Safar@|@Departure@
@Safejn?@|@Until where?@
@Safi@|@Pure@
@Safrani@|@Pale@
@Safrani@|@Yellowish@
@Sahal@|@work overtime@
@Saħan@|@become warm@
@Saħħ@|@come true@
@Saħħ@|@materialize@
@Saħħa@|@Good bye@
@Saħħan@|@heat@
@Sajd@|@Fishing@
@Sajf@|@Summer@
@Sajjem@|@Fasting@
@Sajjem@|@Fasting (adj)@
@Sajjetta@|@Lightning@
@Sajran@|@Cooking@
