@English@|@Bolivian Quechua@
@gangrene@|@ismusqa@
@garbage@|@kgoppa, q'opa@
@garden@|@pawqar@
@generosity@|@khuyapayay@
@generous@|@khuyakuq@
@ghost@|@kuku, kukuchi@
@giant@|@hatunchachaq@
@gift@|@t'inka@
@giggly@|@qalincha@
@girl@|@p'asña@
@glaucoma@|@nawi phuyu onqoy@
@glorious@|@kusimanta@
@glory; to give light@|@k'anchay@
@glutton@|@rakrapu@
@goat@|@chivo@
@goat (Sp.)@|@chiwu@
@gold@|@qori, qori q'ello@
@good@|@allin, kusa, sumaj, walej@
@good-tasting@|@misk'i@
@grand@|@jatun, jatun@
@grandchild@|@allchhi@
@grandfather@|@hatun-tayta@
@grandmother@|@hatun mama@
@grandparent (Sp.)@|@awilu@
@grass@|@q'achu@
@grasshopper@|@ch'illik'utu@
@graven image@|@lanti@
@grease@|@wira@
@great@|@matun@
@great white god of the Incas@|@Wiraqocha@
@greater@|@kuraq@
@greedy@|@mich'a@
@green@|@k'uku, q'omer@
@grey@|@oqe@
@grief@|@phutiy@
@gringo@|@yuraq siki@
@groin@|@chaka, phaka@
@grossness@|@wasu@
@ground up@|@kutasqa@
@ground up food@|@ñut'u@
@ground; plain@|@pampa@
@group@|@t'aqa@
@guest@|@qorpa@
@guide@|@reqsichiq@
@guitar-like musical instrument@|@charanku@
@gum disease@|@hut'u kiru@
@haba bean@|@chaqollu@
@habitual coca user@|@jach'u simi@
@hail@|@chikchi@
@hair@|@chukcha@
@hair brush made out of straw@|@sijrana@
@hair on the body@|@philli@
@half@|@kuskan@
@half again@|@khuskan@
@hammer@|@takana@
@hand@|@maki@
@handball@|@k'ajcha@
@happiness@|@kusi, kusikuy@
@happy@|@kusisqa@
@hard@|@ch'ila, sinchi@
@hard and dried out (like bread)@|@chujru@
@hard hearted@|@rumi sonqo@
@hard of hearing@|@pisi ninriyoj@
@hard stalks@|@akurma@
@hard to see@|@ayphu@
@hardly@|@ñak'ayta@
@harp@|@tawtinku@
@harvest@|@aymuray@
@hat@|@chuku, k'umpu@
@hate@|@k'ara@
@hateful@|@cheqnipakuq@
@hawk; common last name@|@mamani@
@he@|@pay@
@head@|@uma@
@healthy@|@qhali@
@heap@|@qotu@
@heat@|@k'aja, ruphay@
@heated@|@q'oni@
@heated up@|@ruphapakuy@
@heaven@|@janaj pacha@
@heavy@|@llasa@
@heel@|@talon@
@height@|@sayay@
@Hell@|@ukhu pacha@
@help@|@yanapa@
@helper@|@yanapaj, yanapakuq@
@helpless@|@ñuk'usqa@
@hemarrhoids@|@oqoti onqoy@
@hematoma@|@yawar wañuska@
@hemorraghe@|@kurus onqoy@
@her@|@pay@
@herb@|@asnapa, qora@
@herbal medicine@|@hanpi qora@
@herd@|@t'aqa@
@here@|@ka ka, kaypi@
@hidden@|@pakasqa@
@hide@|@qara@
@high@|@hatun, janaj@
@high council@|@kuraj junta@
@hill@|@orqo, suchuna@
@hives@|@mara onqoy@
@hoarse@|@ch'achuch'aja@
@hoe@|@qhorana@
@hole@|@jusk'u, k'ajllu, t'oqo@
@hole in the ground@|@phutunku@
@holy@|@willka@
@homosexual@|@chinaku, q'ewa@
@honest@|@sullull, sut'i sonqo@
@honesty@|@cheqaqta@
@honeycomb@|@lachiwana@
@honor@|@llumpaylla@
@hoof@|@sillu@
@hook@|@tupu@
@hope@|@suyakuy@
@horn@|@wajra@
@horse@|@caballo@
@horsetail-medicinal plant with thin@|@akurma@
@host@|@qorpachaq@
@hot@|@jaya, q'oni, q'oñi@
@hot ash@|@nina siksi@
@hot pepper@|@uchu@
@hot sauce@|@llajwa@
@house@|@wasi@
@house without a roof@|@laqaya@
@how@|@imayna@
@How cold!@|@alaláu!@
@how many?@|@jayk'a@
@how much@|@hayk'a@
@how much?@|@maskha, mayk'a@
@how spicy! how hot!@|@jaw!@
@huddled@|@mayt'usqa@
@humble@|@samp'a@
@hummingbird@|@q'enti@
@hundred@|@pachaq@
@hunger@|@yarqay@
@hurry up@|@usqhay@
@husband@|@qosa@
@husk@|@phanqa@
@husk corn@|@t'ejway@
@hydrophobia@|@alqo onqoy@
@hymen@|@rakaq llikan@
@hypocrite@|@puraj uya@
@I@|@noqa, ñoqa@
@I am coming@|@hampusqayki@
@I am ill@|@onqosqan kashani@
@I am sick@|@onqosqan kashani@
@ice@|@chhullunka, chullunka@
@identical@|@kaqlla@
@idol@|@lanti@
@ignorant@|@q'oqa@
@ill@|@onqosqa@
@illiac@|@teqni tullu@
@image@|@rikch'ay@
@immediately@|@kunan@
@in pain@|@nanasqa@
@in place of@|@kintamanta@
@in the middle@|@chawpi@
@in vain@|@qhasi mana kaj, qhasimanta, yanqa@
@incense burned to virgin or saint@|@q'oa@
@incision@|@khalla@
@indifferent@|@q'aymasqa@
@inhabitant@|@tiyaq@
@inner skirt@|@inawa@
@innocent@|@llumpaq@
@inside@|@ukhupi@
@insipid@|@q'ayma@
@insturment used to spin wool into yarn@|@phuskha@
@insult@|@luti@
@intelligent@|@yiyayniyoq@
@intestinal gas(es)@|@supi@
@intestine@|@ch'unchul, ch'unchula@
@invalid (hands)@|@ñuk'u@
@invalid (legs)@|@such'u@
@iron@|@phillti@
@irrigation ditch@|@larq'a@
@Is it true?@|@riki?@
@island@|@wat'a@
@isn't that right?@|@icharí(s)@
@isn't that so?@|@icharí(s)@
@it is very good@|@ancha allinmi@
@jacket@|@chamara@
@jerky; thin@|@ch'arki@
@job@|@llank'ana@
@joke@|@asina@
@jug@|@p'uyñu@
@juice@|@hilli@
@jungle@|@yunka@
@just@|@chaninniyoq@
@just a moment ago@|@ñaqha@
@key@|@p'uti@
@kidney@|@lurun, rurun@
@kidney pain@|@wasa rurun nanay@
@kind@|@khunyakuq@
@kind of (prefix)@|@as-@
@knee@|@chaki moqo, moqo@
@knife@|@kuchuna@
@knot@|@khipu@
@know-it-all@|@qelqeri@
@knuckle@|@moqochu@
@labor@|@llamk'ay@
@lake@|@qhocha@
@lame@|@wist'u@
@lamp@|@allana@
@land@|@allpa@
@language and people closely related to Quechua@|@aymara@
@large@|@hatun@
@large butt@|@waka punku@
@large intestine@|@rakhu ch'unchula@
@large needle@|@yawri@
@lark@|@tuya@
@larva@|@ch'iya@
@laryngitis@|@tonqor onqoy@
@last@|@qhepa@
@last evening@|@ch'isi@
@last name@|@apillidu@
@last year@|@qayna wata@
@later@|@qhepata@
@law@|@kamachisqa@
@lazy@|@qella, qhella@
@leader@|@kamachej@
@leaf@|@laphi, raphi@
@left@|@lloq'e@
@left overs@|@puchoj@
@leg@|@chaka, chaki@
@lesbian@|@qharinchu@
@let's eat@|@haku mikhumusunchis@
@let's go@|@jaku@
@let's rest@|@haku samamusunchis@
@let's see@|@má@
@letter@|@qelqa@
@life@|@kawsay@
@light@|@ayphu, k'anchay, p'akiriq@
@lightning@|@illapa, jatun k'anchay@
@like@|@jina@
@like that@|@ajina@
@like this@|@ajina@
@likewise@|@kaqllataq@
@limit@|@saywa@
@lip@|@wirp'a@
@lips@|@simi punta@
@liquor offering to Pachamama@|@ch'allay@
@listen to me@|@uyariway@
@lit. double-faced@|@puraj uya@
@little@|@huch'uy, pisi@
@little bird; child@|@irpa@
@little brat@|@ch'iti@
@little by little@|@pisipisimanta@
@little firefly@|@nina nina@
@little fish; tadpole@|@challwa@
@little green frog@|@pikaltultu@
@little green fruit from the potato plant@|@mak'unku@
@little hut out in the fields@|@ch'ujlla@
@little lamb withouth horns@|@muchhu@
@little parrot@|@q'echichi@
@lively@|@k'uchi@
@liver@|@kukupin@
@living@|@astana@
@lizard@|@allallanka, sukulluku@
@llama@|@llama@
@llama fat sold by herders@|@llama untu@
@load carried on back@|@q'epi@
@locust@|@aqarqitu@
@long@|@papa runa, tawatawa, wask'a@
@long necked@|@llama kunka@
@look!@|@qhaway ma!@
@loose@|@waya@
@loud@|@suni@
@louse@|@usa@
@love@|@munakuy@
@lower@|@ura@
@lower part@|@urin@
@luck@|@ataw@
@lump@|@k'iri@
@lump; hill; wad of coca in the mouth@|@ch'utu@
@lunar eclipse@|@killa wañuy@
@lunatic@|@t'uku@
@lung@|@sorq'an@
@lung cancer@|@sorq'an phiru onqoy@
@luxury@|@achalayki@
@macho@|@wapu@
@mad@|@phiña@
@made a border@|@hallmay@
@made for carrying things@|@awayu@
@make a hole in the ground@|@t'oqoy@
@make noise@|@ch'ajway@
@malaria@|@chukchu@
@male@|@qhari@
@malignant@|@phiru onqoy@
@man@|@qhari, runa@
@man and wife@|@qhari warmi@
@man's body@|@runa kurku@
@manure@|@wanu@
@many@|@askha@
@map@|@saywiti@
@marble@|@pachar@
@marbles@|@pepas@
@market stand@|@qhatu@
@marriage@|@kasarakuy@
@married@|@qhariy@
@marvel@|@achachilla@
@matrimony@|@warmichakuy@
@mature@|@poqosqa@
@maybe@|@icha, ichá, ichapis@
@mean@|@sajra@
@measurement of weight-about 25 lbs.@|@arruba@
@meat@|@aycha@
@medicine@|@hampi, jampi@
@medicine man@|@jampiri@
@meeting@|@huñunakuy@
@meeting; to meet@|@tantakuy@
@melancholy@|@llakikuy@
@memory@|@yuyay@
@meningitis@|@ñoqhon p'istuq llika onqoy@
@menudo@|@ñut'u@
@messed-up hair@|@ch'ajra uma@
@metal or wood@|@ch'eqoy@
@midday@|@chawpi p'unchay@
@middle@|@chawpi@
@midnight@|@chawpi tuta@
@milk@|@ñuqñu@
@million@|@hunu, millun@
@mine@|@qhoya@
@minor@|@sullk'a@
@minute@|@ch'iñi@
@mirror@|@lirpu@
@miser@|@qollqe sonqo@
@misfortune@|@desgracia@
@mixture of coarse and fine elements@|@chhama@
@moist@|@mik'i@
@mole@|@ana@
@money@|@qolqe@
@money; silver@|@qollqe@
@month@|@killa@
@monument@|@tuyru@
@moon@|@killa@
@more@|@ancha, aswan@
@morning@|@tutamanta@
@mosquito@|@qhete@
@moth@|@thuta@
@mother@|@mama@
@mountain@|@orqo@
@mouse@|@hukucha, juk'ucha@
@mouth@|@simi@
@much@|@askha, chanin@
@mucous@|@qhoña@
@mud@|@t'uru@
@multicolor@|@atapawqar@
@mummy@|@chullpa@
@musical instrument@|@anata, rullanu, tarka@
@musical instrument (flute)@|@pinkillu@
@musical instrument like panpipes@|@sumpuña@
@mute@|@upa@
@mutual help@|@ayni@
@my age@|@ñoqa wiña@
@myalgia@|@kurku aychay nanay@
@nail@|@sillu@
@naked@|@q'ala@
@name@|@suti@
@named@|@sutichasqa@
@narrow@|@k'isku, k'ullku, ñañu@
@narrow scone-like bread@|@tawatawa@
@native goddess@|@Pacha Mama@
@nature@|@teqsirunkhu@
@nausceous@|@wikch'unayay@
@near@|@sispa@
@necessity@|@pisiry@
@neck@|@kunka, much'u@
@needle@|@kiska@
@needle (Sp.)@|@ajwa@
@neighbor@|@wasimasi@
@neighborhood@|@muyuriqnintin@
@nephritis@|@wasa rurun onqoy@
@nerve@|@anku@
@nest@|@thapa@
@net@|@lluku@
@net used to carry things@|@ch'ipa@
@never@|@mana jayk'aj, ni jayk'aj@
@nevertheless@|@chaywampis, chaywanpas@
@new@|@mosoq@
@New Testament@|@Mosoj Testamento@
@new year@|@mosoj wata@
@newly@|@mosojmanta@
@next@|@qhepa, qhepan@
@nice@|@k'acha, kusa@
@night@|@ch'isi, tuta@
@nightingale@|@ch'eqollo@
@nine@|@esqon, isqon@
@no@|@mana@
@no (command form)@|@ama@
@noise@|@roqya@
@non-edible onion like plant@|@khuchi khuchi@
@no-one@|@mana pipis, ni pi@
@noontime@|@chawpi p'unchay@
@nose@|@senqa@
@not able to read well@|@pisi ñawiyoj@
@not yet ripe@|@k'uku@
@nourishment@|@mihuna@
@now@|@kunan, ña@
@nowhere@|@maypipas@
@numerous@|@llasaq@
@oats (Sp.)@|@awina@
@obedient@|@kaukuq@
@obstinate@|@sullullpachasqa@
@odor@|@q'apay@
@oh!@|@juy!@
@ok@|@allin, walej@
@old@|@machu, mawk'a, ñawpa, thanta@
@old person@|@achachi@
@Old Testament@|@Ñawpaj Testamento@
@older@|@kuraj@
@once again@|@ujtawan@
@once more@|@huk kutitawan, ujtawan, ujtawan, waqmanta, watejmanta@
@one@|@huk, uj@
@one armed@|@ñuku@
@one eyed@|@ch'ulla ñawi@
@one hundred pounds@|@kintal@
@one hundred thousand@|@pachaq waranqa@
@one more time@|@huk kutitawan, ujtawan@
@only@|@sapallan@
@open@|@kicharisqa@
@open (like a blossomed flower)@|@phancha@
@orange@|@wilapi@
@ornament@|@achala@
@orphan@|@wakcha@
@orphan; poor@|@wajcha@
@other@|@hoq@
@other; well!@|@waj@
@outer darkness@|@jawa laqha@
@outside@|@hawa@
@outside that@|@chay jawa@
@outside; broad bean-see haba@|@jawa@
@ovary@|@kismaq muhun@
@over@|@patapi@
@over there@|@jaqay@
@overripe@|@q'eta@
@owl@|@ch'useqa, juku, tuka@
@package@|@q'epi@
@pain@|@llaki, nanay@
@palm@|@maki t'aqlla@
@palm of the hand@|@t'ajlla@
@palpitation@|@phatatatay@
@pancreas@|@k'ayrapin@
@papa@|@tayta@
@papaya@|@papaya@
@paralyzed@|@tunu@
@parasitic insect@|@niwa@
@parent@|@wawayoj@
@parent of an illegitimate child@|@wawani@
@parents@|@mamatayta, tata-mama@
@parietal@|@yuyay tullu@
@part in the hair@|@rak'i@
@partridge@|@p'isaqa, yuthu@
@path@|@ñan@
@paved strip; ariport@|@pista@
@pea (Sp.)@|@alberga@
@peace@|@thak kay@
@peak@|@mukuku@
@peers@|@wiñ aynintin@
@penis@|@jisp'ana@
@penumbra@|@rasphi@
@pepper@|@roqoto@
@perfect@|@cabal, chaninpuni@
@perfume@|@q'apachi@
@perhaps@|@ichá, ichapis@
@peritonitis@|@llika wira onqoy@
@persecution@|@qatiykachakuy@
@person@|@runa@
@person from Santa Cruz@|@kampa@
@person from Tarija@|@chapaku@
@person in charge@|@uma runa@
@person who sleeps a lot@|@puñu siki@
@phlebitis@|@sirk'a onqoy@
@phlegm@|@llawsa@
@picante@|@jaya@
@piece@|@phichu@
@pig@|@khuchi@
@pigeon@|@jurk'uta, kukuli@
@pillow@|@sawna@
@pimple@|@ch'upu@
@pink@|@panti@
@pitu mixed with caldo (broth)@|@chhapu@
@place@|@pata@
@place near Malka@|@Chullpa Pata@
@place of sale@|@qhatu@
@placenta@|@thamin@
@planet Mars@|@awqaquq@
@plant@|@qhora@
@plant like the potato@|@achira@
@plant with blue flower@|@q'ela@
@plant with edible leaves@|@jat'aqo@
@plant with lavender flowers@|@chhilltu chilltu@
@plant with red velvet flowers@|@ch'unqa ch'unqa@
@plant with rope-like bark@|@turu qara@
@plant with yellow flowers@|@maych'a@
@plant with yellow leaves and fruit@|@ñujch'u@
@plaque@|@qhenchapira@
@plate of food with papa lisa@|@sajta@
@pleasure@|@añaka@
@plenty@|@llasaq@
@pleurisy@|@sorq'an llika onqoy@
@plow@|@taklla@
@poem@|@harawi@
@pollen@|@sisa@
@pollywog@|@challwa, joq'ollu@
@pond@|@qocha@
@poor@|@wakcha@
@poorly done@|@ronqho@
@poplar@|@kiswar@
@portent@|@willkanqa@
@possibly@|@ichá, ichapis@
@pot@|@manka@
@potato@|@papa@
@potato-like plant@|@oqa@
@powerful@|@qhapaq@
@prairie@|@inkill@
@precious@|@munasqa@
@precisely@|@hinapuni@
@precociously@|@usqhaylla@
@predecessors@|@umaqe@
@pregnant@|@chichu, wijsayoj, wiksayoq@
@prepared@|@ñas@
@presence@|@qaylla@
@pretending to be stupid@|@sonsochakoq@
@pretty@|@k'acha, k'achita, k'achitu@
@priest@|@yaya@
@primogeniture@|@phiwi@
@prince@|@awki@
@princess@|@ñust'a@
@prisoner@|@sank'asqa@
@probably@|@icha@
@promiscuous woman (lit. "wrinkled rear end)@|@sip'u siki@
@proof@|@rikhurichiy@
@prophet@|@sut'inchaj@
@prostitute@|@qola warmi@
@protector@|@hark'aykuq@
@protuberances@|@qhopuchakuna@
@proud@|@apuskachaq@
@proverb@|@hamut'asqa@
@province@|@k'iti@
@provisions@|@qoqaw@
@pulverized grain@|@pitu@
@pupil@|@ñawi yana@
@pure@|@llumpaq@
@purple@|@kulli@
@purple corn@|@kulli sara@
@purple skinned potato@|@abajeño@
@purse@|@ch'uspa@
@puss@|@q'eya@
@put up with (Sp.)@|@awantay@
@putrefied@|@ismusqa@
@queen@|@qoya@
@quickly@|@asllamanta, usqhayta@
@quiet@|@ch'in, qasi@
@quiet place; desert@|@ch'in pacha@
@quietly@|@ch'inlla@
@quinoa@|@kinuwa@
@rabbit; quinea pig@|@qowi@
@radio@|@wach'i tullu@
@rag@|@thanta@
@rage@|@ch'usku@
@rain@|@para@
@rainbow@|@k'uycha, k'uychi@
@ranch@|@finca@
@rapidly@|@p'italla, usqhaylla@
@rather@|@yallinraq@
@rather (Sp.)@|@antis@
@raven@|@suwiq'ara@
@ravine@|@sankha@
@raw@|@chawa, hanku@
@ready@|@kamarisqa@
@ready; good@|@ñapis@
@really big container used for water or alcohol@|@p'uñu@
@rebellion@|@kutipakuy@
@recently@|@chayraq@
@rectum@|@oqoti@
@red@|@puka@
@red grasshopper@|@uchu uchu@
@reddish clouds in morning and evening@|@antawara@
@reeds@|@t'otora@
@reeds that grow along shorelines@|@t'utura@
@region@|@suyu@
@regret@|@nanachikuy@
@relative@|@yawarmasi@
@repeatedly@|@pasaqta@
@repugnant@|@millay@
@respectable@|@manchanan@
@respectfully@|@llumpaywan@
@responsibility@|@hunt'ana@
@retinue@|@suntur@
@reward@|@kutichipuy@
@rib@|@wajtan, waqta@
@rice (Sp.)@|@arrus@
@rich@|@qhapaj, qhapaq@
@right (side)@|@paña@
@righteous@|@llumpaq@
@rigid@|@k'irku@
@ring@|@siwi@
@ring (Sp.)@|@anillo@
@ripe@|@poqosqa@
@ritual bath@|@qarpay@
@river@|@mayu@
@road@|@ñan@
@roast@|@kanka@
@rock@|@rumi@
@rolled up@|@mayt'usqa@
@rooster@|@k'anka@
@root@|@saphi@
@root cellar@|@phina@
@rope@|@washka@
@rope; spanking@|@waska@
@rose@|@waysallpu@
@rotten@|@imusqa@
@rotten egg@|@loq'o runtu@
@rough@|@khallka, kharka@
@rough skin@|@p'aspa@
@rough textured@|@qhasqa@
@round@|@lump'u, papa imilla@
@round object@|@morq'o@
@round rock used to grind@|@maran uña@
@round tomb@|@chullpa@
@rudeness@|@wasu@
@rug@|@qompi@
@ruler@|@kamachej@
@runny nose@|@isilla@
@sack@|@t'eqo@
@sad@|@llakisqa, phutisqa@
@safe@|@takyasqa@
@sagebrush@|@q'oa@
@salt@|@kachi@
@salt shaker@|@kachi churana@
@salted@|@kachiyasqa@
@salty@|@qollpa@
@salve@|@llusina ampi@
@same@|@hinalla, kiki-@
@sand@|@aqo, t'iyu@
@sandal@|@usut'a@
@sandals (made from tire treads)@|@ujut'a@
@Satan@|@tataku@
@satisfaction@|@samikuy@
@savage@|@mikhukuq@
@scar@|@q'ella, t'iri@
@scarecrow@|@jarap'ay@
@sciatica@|@q'echu@
@scientific@|@hamut'asqa@
@scoop@|@winku@
@scorpion@|@pikaq, q'ewi chupa@
@sculptor@|@rumiru@
@sculpture@|@ch'eqoy@
@scythe@|@ichhuna@
@sea@|@lamarqocha@
@sea shell@|@ch'uru@
@sea shell or cow horn trumpet@|@pututu@
@secure@|@takyasqa@
@security@|@waqachay@
@seed@|@muhu, muju@
@seer@|@rikoj@
@semen@|@yuma@
@senator@|@kamachiq@
@separated@|@t'aqasqa@
@serious@|@ch'aki sonqo@
@servant@|@kamachi@
@seven@|@qanchis@
@shack used to store food@|@pirwa@
@shade@|@llanthu@
@shame@|@p'enqay@
@sharp@|@k'awchi@
@shawl@|@lliklla@
@she; him@|@pay@
@shed@|@hap'aka@
@shin@|@chaki senqa@
@short@|@huch'uy@
@short (skirt or pants)@|@k'aka, k'aka siki@
@shortcut@|@cheqanchana@
@shortly@|@pisipachapi@
@shoulder@|@rikra@
@shoulder; wing@|@lijra@
@shovel@|@lampa@
@shrewd@|@atoqllaña@
@shrunken@|@q'entisqa@
@sick@|@mana allin, onqosqa@
@sickle@|@jusi@
@sickness; to be sick@|@onqoy@
@side@|@kinray@
@side of the body@|@wajta@
@sieve@|@suysuna@
@silence@|@ch'in@
@silent@|@upallalla@
@silly@|@lisu@
@similar@|@miraq, niraq@
@simple@|@sikllalla@
@sin@|@hucha, jucha@
@sincere@|@chaniniyoq@
@sinner; guilty@|@juchasapa, juchayoj@
@sir@|@tata@
@sister@|@pana@
@sister (of her)@|@ñaña@
@sister-in-law@|@age, aqe@
@sit down@|@tiyaykuy@
@six@|@soqta@
@size@|@sayay@
@size; very@|@chhika@
@skein of yarn@|@juñi@
@skeleton@|@runa saqru@
@skin@|@qara@
@skin eruption@|@suphullu@
@skinny@|@tullu, tulluskiri@
@skirt@|@wara@
@skull@|@t'ojlu, uma tullu@
@skunk@|@anathuya@
@sleepy@|@puñuysapa@
@slim@|@siklla@
@sling@|@warak'a@
@slip@|@inawa@
@slope@|@suchuna@
@slow@|@lat'u@
@slowly@|@allillamanta, allimanta@
@small@|@huch'uy, juch'uy, t'una@
@small amount of money@|@phata@
@small bush with podded fruit@|@mutiya@
@small cactus with red fruit@|@ayarampu@
@small canyon@|@wayq'o@
@small green grasshopper@|@ñakurutu@
@small green pepper@|@t'una uchu@
@small person@|@phichitanka, t'una runa@
@smoke@|@q'osñi@
@smooth@|@llusk'a@
@snake@|@katari, mach'aqway@
@snot@|@qhoña, t'isi@
@snow@|@rit'i@
@snuff@|@senq'ay@
@so@|@hina@
@so much@|@chhaytukuy@
@sob@|@hik'i@
@sober@|@ch'aki sonqo@
@soft@|@llamp'u@
@sole@|@sapallan@
@solid@|@ch'ila@
@solitary@|@sapanchakusqa@
@some@|@wakin@
@some; type of fruit@|@tumpa@
@someone@|@wakin@
@something@|@ima@
@sometimes@|@awisnin, mayninpi@
@sometimes (Sp.)@|@avesnin, ayves@
@somewhat@|@tumpa@
@son@|@churi@
@song@|@taki@
@son-in-law@|@tullqa@
@soon@|@kunallan@
@sorcerer@|@aysiri@
@sore on the face@|@muchi@
@sorrowful@|@llakimana@
@soul@|@nuna@
@sound@|@qhali, win@
@sound of hitting the head@|@ñach'aj@
@sound of slapping@|@laq'aj@
@sound of swallowing@|@q'olltin@
@soup@|@lawa@
@sour@|@k'allku, p'osqo@
@space@|@pinchi@
@speedy@|@usqhaq@
@sperm@|@yuma@
@spicy@|@jaya@
@spider (Sp.)@|@araña@
@spider that carries eggs on its back@|@apasanka@
@spirit@|@kuku@
@splendor@|@k'anchariy@
@spoiled@|@q'eta@
@spoiled kid@|@q'elliskiri@
@spouse@|@qosa@
@spring@|@pukyu@
@spring; well; fountain@|@pujyu@
@sprinkle@|@ch'alaych'altay@
@sprout@|@yuri@
@squash@|@sapallu@
@squinty@|@ch'usu@
@staff@|@champi, tawna@
@stand of trees@|@sach'a sach'a@
@star@|@qoyllur@
@star (usually Venus)@|@ch'aska@
@starch@|@meqo@
@stature; to stand up; steep@|@sayay@
@steep@|@sayaq@
@stepchild@|@churi, qhari wawa@
@sterile@|@qomi@
@stick@|@k'aspi@
@stingy@|@ch'ipu@
@stomach@|@wiksa@
@stomach ache@|@wiksa nanay@
@stone@|@rumi@
@story@|@willakuy@
@stove@|@q'oncha@
@straight@|@cheqan@
@strain@|@chharpuykuy@
@straw@|@ichhu@
@stream@|@mayucha@
@street@|@ñan@
@strength@|@kallpa@
@string@|@tiwlli@
@strong@|@kallpayoj, kallpayoq, wapu@
@stuck up@|@machu machu@
@student@|@yachachisqa@
@stumble@|@chankaykachay@
@stupid@|@q'oqa, sonsera@
@stutterer@|@khaka@
@subject@|@yuyancha@
@success@|@qespinqay@
@Sucre@|@Charkas, Chukisaka@
@suddenly@|@asllamanta, qonqaymanta@
@sun@|@inti@
@Sunday@|@samarina p'unchay@
@sundown@|@akupana, inti yaykuy@
@sunflower@|@inti t'ika@
@sunset@|@akupana@
@sunshine@|@phaqsi@
@supreme@|@apu@
@surely@|@cheqaqmanta@
@surname (Sp.)@|@apillidu@
@swallow@|@khallwa@
@swamp@|@oqho@
@sweat@|@hump'i, jump'i@
@sweet@|@misk'i@
@sweet smelling sage brush@|@muña@
@swollen@|@punkisqa@
@symbol@|@seq'e@
@table@|@wampar@
@tail@|@chupa@
@take advantage of@|@usachikuy@
@take advantage of (Sp.)@|@aprovechay@
@take this@|@ka ka@
@tall@|@sayaq@
@tamale@|@jumint'a@
@tasteless@|@q'ayma@
@teacher@|@yachachej, yachachiq@
@tear@|@weqe@
@temporal@|@wañuna tulla@
@ten@|@chunka@
@ten thousand@|@chunka waranqa@
@tender@|@llullu@
@tendon@|@anku, hank'u@
@terrible@|@map'a@
@terror@|@q'aqchay@
@testicle@|@q'oruta, runtu@
@that@|@chay@
@that (emphatic)@|@achay@
@the Devil@|@tataku@
@the flu@|@chhulli@
@the four regions of the earth@|@tawantinsuyu@
@the side of a hill@|@qhata@
@the sound of a donkey@|@qawchi@
@the sound of a kiss@|@ch'utoj@
@the sound of closing a lock@|@ch'ataj@
@the sound of crunching in the mouth@|@k'arun@
@the sound of thunder@|@qholluqayayqhon@
@the sound of walking in water@|@ch'allpaj@
@then@|@ari, chanta, má@
@then (used with maypachachus)@|@chaypacha@
@there isn't any@|@pawchi@
@they; them@|@paykuna@
@thick@|@rakhu, sankhu@
@thief@|@suwa@
@thigh@|@chaka aycha@
@thin@|@ñañu, papa runa, tullu@
@thin cord@|@watu@
@thing@|@ima@
@thirst@|@ch'akiy@
@thorn@|@khiska@
@thorn bush with shiny leaves@|@janak'achi@
@thorned plant with yellow flowers@|@añawayu@
@thought@|@yuyay@
@thousand@|@waranqa@
@thread@|@q'aytu@
@three@|@kinsa@
@throat@|@tonqor, tunqori@
@through@|@chawpinasqapi@
@thunder@|@qhaqya@
@tibia@|@pichu@
@ticklish@|@kulla@
@tied up@|@watasqa@
@tight with money@|@mich'a@
@tightly spun yarn@|@t'ullku@
@time@|@kuti, pacha@
@timid@|@p'enqali@
@tired@|@sayk'usqa@
@to abandon@|@saqerpariy, saqey, wikch'uy@
@to abhor@|@cheqnipakuy@
@to abort@|@sulluy@
@to abound@|@ahkachay, ashkachay@
@to abstain from eating (Sp.)@|@ayunay@
@to abuse@|@atipay@
@to accept@|@uynikuy, uyniy@
@to accomodate@|@tupachiy@
@to accompany@|@yanay@
@to accumulate@|@qotuy@
@to accuse@|@juchachay@
@to acquaint (others) with@|@reqsichiy@
@to acquire@|@rantiy@
@to adhere@|@k'askay, ratay@
@to admire@|@lirpukuy@
@to admit@|@uyakuy@
@to admonish@|@rimay@
@to adore@|@yupaychay@
@to adorn@|@achalachiy, achalakuy@
@to advance@|@ñawpachiy@
@to advance (another)@|@awpay@
@to advance oneself@|@awpariy@
@to advise@|@yuyaychay@
@to advise; to tell; message@|@willay@
@to affirm@|@takyachiy@
@to affix@|@k'askachiy, t'ipay@
@to age (man)@|@machuyay@
@to agitate@|@tarantachiy@
@to agonize@|@wañunayay, wañuy p'itiy@
@to agree@|@rimanakuy, rimankkuy, yachachinakuy@
@to agree to@|@uyakuy@
@to align@|@sinruy@
@to allege@|@thawtiykachay@
@to alleviate@|@thanirichiy@
@to allow@|@saqey@
@to amaze@|@utirayachiy@
@to amend one's way@|@wanay@
@to amputate@|@wit'uy@
@to amuse oneself@|@hawkay@
@to anathematize@|@ñakapay@
@to animate@|@ch'itiyay, kawsariy@
@to annihilate@|@k'asuyachiy@
@to annoint@|@jawiy@
@to announce@|@rimariy@
@to annoy@|@pujllapaya, tarantachiy@
@to anoint@|@hawiy@
@to answer@|@kutichiy@
@to appeal@|@uyarichikuy@
@to appear@|@rikhuriy@
@to applaud@|@t'aqllakuy@
@to appreciate@|@chaninchay@
@to approach@|@achhuykuy, anchhuykuy, chimpaykamuy@
