@English@|@Tagalog@
@digestible@|@natutunaw, tunawín@
@digestion@|@pagkatunaw ng kinain, pagtunaw ng kinain, pantúnaw@
@digger@|@manghuhukay@
@digit@|@dalì, dalirì, isang dalì@
@dignified@|@karapatdapad@
@dignitary@|@kaginoohán@
@dignity@|@kamahalan, karangalan, karapatán@
@dignity and honor@|@puri't dangal@
@digress@|@lumayô, lumihís humiwalay, magpasikotsikot@
@digression@|@paghiwalay, paglayô, paglihis, pagpapasikotsikot@
@dike@|@hádlangan ng tubig, pilapil@
@dilate@|@habaan, humabà, laparan, lumapad, lumwang, lwangan@
@dilation@|@paghabà, paglapad, paglwang@
@dilatory@|@mabagal, makupad, makuyad@
@diligence@|@kasipagan, sipag@
@diligent@|@masípag@
@dilucid@|@malinaw, nanganganinag@
@dilucidate@|@linawan, liwanagin@
@dilute@|@bantuan, lagnawan, malagnaw, may bantô@
@dilution@|@pagpapalagnaw, pagpapalagnaw@
@diluvian@|@ukol sa kagunaw@
@dim@|@lumabò, madilím, madilím, malabò ang mata, súlipin@
@dime@|@isang pisetas@
@dimension@|@habà at lapad, lakí@
@dimension measure@|@sukat@
@diminish@|@bawasan, bumawas, magbawas@
@diminishing brightness@|@malamlam@
@diminution@|@pagbabawas, pagkabawas@
@diminutive@|@mali ít, maliít, may bawas@
@dimity@|@káyong sita@
@dimple@|@butas ng pisngí@
@din@|@hugong, íngay, kagulo, tunog@
@dine@|@kumain@
@dingy@|@kulay na malabò@
@dinner@|@hapunan, tanghalian@
@dint@|@banggâ, bugbog, bunggô@
@diocese@|@dyosesis, kapangyarihan ng obispo@
@dip@|@isawsaw, lubog, sawsaw, sisid, sukbó, tubog@
@diploma@|@diploma, título@
@dire@|@kakilakilabot kasindaksindak@
@direct@|@Matwid, twirin@
@direction@|@bánda, dáko@
@director@|@tagapamahalà, tagapamatnubay, tagapamatnugot@
@directory@|@pámunuan, patnubay@
@directress@|@babaing tagapamatnugot@
@direful@|@kakilakilabot, kasindaksindak@
@dirge@|@dalit sa paglilibing, panambitan@
@dirk@|@panaksak, patalim na tila talibong@
@dirt@|@dumi, kababuyan, magdumé, magpakababoy@
@dirty@|@baboy, Madumi, marumí@
@disability@|@kawalan ng kapangyarihan, kawalán ng kaya@
@disadvantage@|@kasahulán, makasahól makalamáng, pagkasahol@
@disadvantageous@|@nalamangán, nasahulán@
@disagree@|@dîmagkasundô, magkásirâ@
@disagreeable@|@Kasuklamsuklam@
@disagreement@|@alitan, kásiraan, pagkakaal, pagkakásirâ@
@disallow@|@hwag magpahintulot@
@disannul@|@pawalán ng halagá, pawalan ng kabuluhan@
@disappear@|@mawalâ@
@disappearance@|@pagkawalâ@
@disappoint@|@hwag gumanap ng sinalitâ, sumayang@
@disappointment@|@damdamin, kahihiyan, samâ ng loob, sentimiento@
@disapproval@|@pagkaayaw, pagkatanggí, pintas@
@disapproved@|@inayawan, tinanggihan@
@disarm@|@alisan ng almás ó panglaban@
@disarmament@|@pag-aalis ng almás ó panglaban@
@disarrange@|@gumulo, sumirà ng ayos@
@disarrangement@|@kaguluhan, kawalan ng ayos@
@disaster@|@kapahamakan, kasakunaan, kasawîan@
@disastrous@|@kapahapahamak, nakasasawî@
@disavow@|@kumailâ@
@disband@|@humiwalay, tumiwalag@
@disbelief@|@Kawalán ng pananampalataya, kawalan ng paniwalà@
@disbelieve@|@mag-urong-sulóng, magalangan, mawalan ng paniwalà@
@disburse@|@gumugol, magbayad, magdukot@
@disbursement@|@pag-babayad, pag-gugol, pagdudukot@
@disc@|@bilog (na lapád)@
@discard@|@ialis, itiwalag@
@disccation@|@pagtuyô@
@discern@|@mámalas, mátanaw, máwatasan@
@discernible@|@mámalas, mátanaw, máwatasan@
@discerning@|@tuso@
@discharge@|@pagbababâ ng pasán, paglulunsad ng lulan@
@discharge (1)@|@magbayad ng utang, pagkabunot sa utang@
@disciple@|@alagad@
@discipline@|@magpaganap ng tungkulin, pagganap ng tuntunin@
@disclaim@|@kumailâ, tumalikwas@
@disclaimer@|@ang nagkakailâ, ang tumatalikwas@
@disclose@|@ihayag, ilitaw@
@disclosure@|@paglilitaw, pahayag@
@discolor@|@kumupas ang kulay@
@discoloration@|@pagkupas ng kulay@
@discolored@|@kupas ang kulay, maputlâ, putlâin@
@discomfit@|@manaig, manalo@
@discomfiture@|@pagkadaig, pagkaligalig, pagkatalo@
@discomfort@|@dumalamhatì, magpalugamì, pagkalugamì@
@discommode@|@mang-abala, manggalit@
@discompose@|@gumuló, lumigalig@
@discomposure@|@pagkaguló@
@disconcert@|@gumuló, lumigalig@
@disconection@|@pagkahiwalay, pagkatanggal@
@disconnect@|@ihiwalay, tanggalin@
@disconsolate@|@Dî maaliw@
@discontent@|@makainíp, yumamot@
@discontinuance@|@paglilikat, pagtigil@
@discontinuation@|@pagkaabala., pagkauntol, paglilikat@
@discontinue@|@itigil, maglikat, mápauntol@
@discord@|@káalitan@
@discordance@|@kásiraan, pagkakasirà@
@discordancy@|@kásiraan, pagkakasirà@
@discordant@|@dî tugmâ, magulo, walang-ayos@
@discountenance@|@hiyain, pasamain ang mukhâ@
@discourage@|@magpahinà ng loob@
@discouragement@|@kasiraang-loob, panglulupaypay, takot@
@discourse@|@makipanayam, manalitâ, panayam, talumpatì@
@discourtesy@|@kalapastanganan, kawalán ng galang@
@discover@|@tumuklas; maghayag@
@discovery@|@pagkatuklas; pagkahayag@
@discredit@|@kasiraang puri@
@discrepancy@|@kaibhan, pagkakaiba@
@discrepant@|@Iba@
@discrete@|@bukod, hiwalay@
@discretion@|@hinahon, kabaitan@
@discretitable@|@Bastós@
@discriminate@|@itangì, magtangì@
@discrimination@|@pagkakatangì, pagtangì@
@discuss@|@makipagtalo@
@discussion@|@pagtatalo@
@disdain@|@tuyáin@
@disdainful@|@mapaghamak, mapagtuyâ@
@disdown@|@ikailâ, tanggihan@
@disease@|@sakit, samà ng katawan@
@diseased@|@may-sakít@
@disembark@|@ilunsad, maglunsad@
@disembarkation@|@paglulunsad@
@disembarrass@|@alisin sa kahihiyan@
@disencumber@|@hanguin sa kahihiyan@
@disengage@|@isaayos@
@disentangle@|@isaayos@
@disfavor@|@magpawalang halagá, pagpapawalang halagá@
@disfigure@|@papangitin, pasamâin ang anyô@
@disfigurement@|@pagpangit, pagsamâ ng anyô@
@disfranchise@|@alisin ang pahintulot@
@disgorge@|@sumuka@
@disgrace@|@kahihiyan, kasiraang puri@
@disgraceful@|@nakahihiyâ, nakasisirang puri@
@disguise@|@disfrás, máskara, pagbabalat-kayô@
@disgust@|@magpasamâ ng loob, samâ ng loob@
@disgusted@|@masamâ ang loob@
@disgusted with someone@|@namumuhi@
@dish@|@pinggán, ulam@
@dishearten@|@magpahinà ng loob, tumakot@
@dishevel@|@gumusot@
@dishonest@|@walang bait@
@dishonesty@|@kawalan ng bait@
@dishonor@|@kasiraang puri, pulà@
@dishonorable@|@nakahihiyâ, nakasisirang puri@
@disinclination@|@kawalán ng pagayon ó pagpayag@
@disincline@|@hwag pumayag, hwag umayon@
@disinfect@|@desinpektar@
@disinherit@|@di papagmanahin, hwag papagmanahin@
@disinter@|@hukayin (ang ibinaón)@
@disinterested@|@walang interés, walang nasang masamâ, walang sikap@
@disjoin@|@tanggalin@
@disjoint@|@ilinsad, tanggalin@
@dislike@|@mayamot, samâ ng loob@
@dislocate@|@ilinsad, tanggalin@
@dislocation@|@pagkalinsad@
@dislodge@|@paalisin, palayasin@
@disloyal@|@hindî tapat, pusóng, sukáb, taksil@
@disloyalty@|@kapusungán, kasukabán, kawalán ng pagtatapat@
@disloyalty (1)@|@kataksilan@
@dismal@|@kasindaksindak, malungkót@
@dismay@|@hilo, mawalan ng diwà, pagkawalá sa sariling isip@
@dismember@|@papaghiwalayin@
@dismemberment@|@pagtanggal@
@dismiss@|@itiwalag, paalisín, palayasin@
@dismissal@|@pagpapaalam sa ginagawaan@
@dismissal (1)@|@pag-alís sa pinagtatrabahuhan@
@dismount@|@umibis@
@disobedience@|@paglabag, pagsalangsang, pagsway@
@disobedient@|@magpaglabag, mapagsalangsang, maswayin@
@disobey@|@lumabag, sumalangsang, sumway@
@disobeyed@|@tumalima@
@disoblige@|@dî kumilala ng utang na loob, magpalamara@
@disobliging@|@dî pagkilala ng utang na loob, pagkapalamara@
@disorder@|@guluhin, kaguluhan, lumitó@
@disorderly@|@maguló, may kaguluhan@
@disorganization@|@pagkasirà ng ayos@
@disorganize@|@sumirà ng ayos@
@disparage@|@pumulà@
@disparagement@|@paghamak, pagpulà@
@disparity@|@kaibhan, pagkaiba@
@dispassion@|@kalamigan ng loob@
@dispassionate@|@malamig ang loob, walang kiling sa kanino man@
@dispatch@|@hatid-kawad, telegrama@
@dispel@|@isabog, papanabugin@
@dispensable@|@maipauumanhin, mapalalagpas@
@dispensary@|@botika, pámilihan ng gamot@
@dispensation@|@pagkakaloob, pamamahagi, pamimigay@
@dispense@|@magbahagi, magkaloob@
@disperse@|@ikalat, isabog@
@dispersion@|@pagkakalat, pagkalat, pagkasabog, pagsabog@
@displace@|@alisin sa ayos, ilinsad@
@displacement@|@pagkaalis sa ayos, pagkalinsad@
@display@|@ihayag, ipahalatâ, ipamalas, pagpapamalas@
@display (1)@|@paghahayag, pagpapahalatâ@
@displease@|@magpasamâ ng loob, makagalit, makayamot@
@disposal@|@pamamahalà, paraan@
@dispose@|@isaayos, magpasiya@
@disposed@|@mahilig, makiling, nátatalaga@
@disposition@|@paraan@
@disposses@|@alisán ng pag-aarì, kamkaman@
@dispossession@|@pag-aalís ng pag-aarì, pagkamkam@
@disproportion@|@Hindî pantay, Kabilán, kábilanin, papagkabilanín@
@disprove@|@pabulaanan@
@disputable@|@máipakikipagtalo@
@disputant@|@ang nakikipagmátwiranan, ang nakikipagtalo@
@disputation@|@pagmamatwiranan@
@dispute@|@makipagmatwiranan@
@dispute (1)@|@pagmamatwiranan@
@disqualification@|@kawalán ng abot, kawalan ng kaya@
@disqualify@|@ariing walang kaya, ipalagay na walang kaya@
@disquiet@|@kawalan ng katahimikan, ligaligin, pagbabalisa@
@disquietude@|@kabákabá, pagkabalisa@
@disquisition@|@paglitis, pagsisiyasat, pagsurì@
@disregard@|@pag-alangán, pagpapawalang halagá@
@disregrad@|@pag-alangán, paghamak, pagpapawalang halagá@
@disreputable@|@walang puri@
@disrepute@|@kasiraang puri, pulà@
@disrespect@|@kalapastanganan, kawalán ng galang@
@disrobe@|@hubarán, hubuan@
@dissalt@|@patabangín@
@dissatisfaction@|@tabang ng loob@
@dissatisfy@|@patabangin ang loob@
@dissemble@|@magkunwâ@
@disseminate@|@maghasik, magsabog ng binhi@
@dissemination@|@paghahasik, pagsasabog ng binhî@
@dissertation@|@paghiwalay, pagtiwalag@
@dissimilar@|@hindî kaparis, Kaibá@
@dissimilarity@|@kaibhan, pagkaiba@
@dissimulate@|@alintanahin, hwag pansinin@
@dissimulation@|@dî pagpansin, pag-alintana@
@dissipate@|@pawiin@
@dissipation@|@pagkapawì, pagpawì@
@dissolute@|@talipandas@
@dissolution@|@pagkatunaw@
@dissolve@|@tumunaw, tunawin@
@dissonance@|@kawalán ng pagkakatugmâ@
@dissonant@|@masamâ ang tunog@
@dissuade@|@mag-udyok, magbuyó@
@dissuasion@|@pagbubuyó, udyok@
@distaff@|@panulid@
@distance@|@agwát, layò, pagitan ilayô@
@distant@|@malayò@
@distaste@|@suyà, yamót@
@distasteful@|@nakaiinip, walang lasa@
@distemper@|@bigat ng katawan, samâ ng katawan@
@distend@|@palawigin, palwangin@
@distension@|@lawig, lwang@
@distill@|@alakin@
@distillation@|@pag-alak, paggawâ ng alak@
@distillery@|@alakán, gáwaan ng alak@
@distinct@|@Iba, kaiba, malínaw, maliwánag@
@distinction@|@katangian, pagkakatangì, pamumukod, pangingiba@
@distinguish@|@kilalanin, mamukod, mangibá, mátangì@
@distinguishable@|@hálatain, madalíng makilala, púnahin@
@distinguished@|@bantog@
@distort@|@bumaluktot, maglihís, maglisyâ, pumilipit@
@distortion@|@pagbaluktot, pagpilipit@
@distract@|@lumibáng, luminlang@
@distraction@|@áliwan@
@distress@|@dalamhatì, magpahirap, magpasakit, sákit@
@distribute@|@ipamahagi, ipamigay@
@distribution@|@pamamahagi, pamimigay@
@distributive@|@nababahagi@
@distrust@|@sapantahà@
@distrust (1)@|@hinalà, maghinalà@
@distrustful@|@may sapantahà, naghihinalà, nagsasapantahà@
@distrustful (1)@|@may hinalà@
@disturb@|@gambalain, mangguló, umabala@
@disturbance@|@gambalá, pangguguló, pangliligalig@
@disturbed@|@nabulabog@
@disunion@|@paghihiwalay, pagkakaalit@
@disunite@|@maghiwalay, magkaalit@
@disuse@|@dî kagamitan, hwag gamitin, lipas, palipasin@
@ditch@|@gumawâ ng sangka, sangka@
@ditto@|@gayon din, idem@
@ditty@|@awit, kantáhin@
@diurnal@|@araw-araw, bawa't araw, nauukol sa araw@
@dive@|@sumisid, sumukbó@
@diver@|@máninisid@
@diverge@|@humiwalay, lumayô@
@divergence@|@pagkakahiwalay@
@divergency@|@pagkakahiwalay@
@divers@|@iba't iba, sarisarì@
@diverse@|@hindî kagaya, Iba, kaiba@
@diversification@|@kaibhán, pagkakaiba't iba@
@diversify@|@papag-ibaibahín@
@diversion@|@pagpaparaan ng panahon@
@diversity@|@kaibhan@
@divert@|@iligaw; libangin, ilihis@
@divertisement@|@pagpaparaan ng panahon@
@divest@|@alisán ng pag-aarì, hubarán, hubdan@
@divesture@|@pag-aalis ng pag-aarì, paghuhubad@
@divide@|@bahagihin, hatí', hatíin, hatíin, magbahagi@
@divider@|@tagapagbahagi@
@divination@|@hulà, panghuhulà@
@divine@|@humulà, nauukol sa Dios, parè, pastor@
@divine (1)@|@hulaan@
@divinity@|@pagka-Bathalà, pagka-Dios@
@division@|@bahagi, pagbabahagi, paghahatì@
@divorce@|@ihiwalay ang asawa, paghihiwalay ng magasawa@
@divulge@|@ihayag, ipamansag@
@dizziness@|@hilo, lulà@
@dizzy@|@hílo, lulâ@
@do@|@gáwâ, gáwa', gawin, gawín, gumawâ@
@Do you have ______?@|@Mayroon ka bang ______?@
@Do you have a pet?@|@Mayroon ka bang alagang hayop?@
@Do you have a safe?@|@Meron ba kayong safe?@
@Do you have any snacks?@|@Meron ba kayong chicherya?@
@Do you have any vacancies?@|@Mayroon ba kayong bakante?@
@Do you have anything quieter?@|@Meron ba kayong mas tahimik?@
@Do you have children?@|@Mayroon ka bang mga anak?@
@Do you have cigarettes?@|@Meron ba kayong sigarilyo?@
@Do you have___?@|@Mayroon ka bang _____?@
@Do you know how to play __?@|@Marunong ka bang maglaro ng _?@
@Do you sail?@|@Ikaw ba ay lumalayag?@
@Do you serve ______?@|@Nagsisilbi ba kayo ng ______?@
@Do you serve alcohol?@|@Meron ba kayong alak?@
@Do you understand English?@|@Nakakaintindi ka ba ng Ingles?@
@do you understand?@|@Naiintindihan ba ninyo?@
@Do you want something from the....@|@May gusto ka ba sa….@
@docile@|@maamongloob, timtiman@
@docility@|@kaamuang-loob, pagkatimtiman@
@dock@|@dike@
@dock (1)@|@masamang damó@
@docket@|@rótulo@
@doctor@|@doktór, duktor, manggagamot, paham, pantas@
@doctor of medicine@|@pagka-manggagamot@
@document@|@dokumento, kasulatán@
@dodge@|@manghibò sumilò, silò@
@doe@|@usang babae@
@Does the room come with...@|@Kasama ba sa kwarto ang___?@
@dog@|@áso@
@dog-cheap@|@nápaka mura@
@dogfish@|@patíng@
@dogged@|@matigas ang ulo, ugaling hayop@
@doggerel@|@hámak@
@dogma (1)@|@dogma@
@doings@|@mga kagagawán, mga kilos@
@dole@|@bahagi, bigay, kaloob, limos@
@doleful@|@kahambalhambal, kahapishapis@
@doll@|@manikà, manyikà, manyikang@
@dollar@|@dolyar, pisong amerikano@
@dolor@|@anták, hapdî, sakít@
@dolorous@|@maantak, mahapdî, masakít@
@dolt@|@taong ungas@
@domain@|@lupang saklaw@
@domestic@|@kasamasama, matalik, nauukol sa sariling buhay@
@domestic (1)@|@maamò@
@domesticate@|@paamuin@
@domesticity@|@kaamuan@
@domination@|@sakop@
@domineer@|@lumupig, magpasukò@
@Dominican Republic@|@Repúblikáng Dominikano@
@domino@|@dominó@
@don@|@Ginoo, isuot ang damít@
@donate@|@magdulot, magkaloob, umabuloy, umambag@
@donation@|@ambag, bigay, dulot@
@donkey@|@ass, borriko@
@donor@|@ang nagbibigay, ang nagkakaloob@
@don't@|@huwag@
@Don't cry.@|@Huwág kang umiyák@
@don't like@|@ayaw@
@don't mention it!@|@Walang anoman@
@Don't run here@|@Huwág kayóng tatakbó rito@
@Don't touch me there!@|@Huwag mo akong hawakan diyan@
@don't want@|@ayaw@
@doof@|@maghubad ng suot, maghubò@
@doom@|@humatol, magparusa, parusa@
@doomsday@|@kaarawan ng paghuhukom@
@door@|@pinto, pintúan@
@doorkeeper@|@bantay-pintô, tanod-pintô@
@doorway@|@pasukán@
@dormant@|@nakakatulog@
@dorsal@|@nauukol sa likod@
@dorse@|@dósis, takal ng gamot@
@dot@|@magtuldók, tuldok@
@dotage@|@pag-uulian, pagkaulian@
@dotal@|@nauukol sa bigay-kaya@
@dotard@|@ulian@
@dotation@|@pagdudulot ng bigay-kaya, pagkakaloob@
@dote@|@mag-ulian@
@double@|@dalawahan, doble, ibayo, makalawa, tiklop, yupì@
@doublet@|@kamisola, kapareha@
@double-tongued@|@bulaan, sinungaling@
@doubt@|@álinlangan, hinalà, pag-aalinlangan, sapantahà@
@doubtful@|@nakapag-aalinlangan, urong-sulong@
@doubtless@|@walang pagsala@
@dough@|@masa, tapay@
@doughty@|@malakas ang loob@
@douse@|@sumisid, sumukbó@
@dove@|@kalapati@
@dove-cot@|@bahay-kalapati@
@dovehouse@|@bahay-kalapati@
@dowdy@|@babaing salaulà, marungis, salaulà@
@dowel@|@pakong kahoy@
@dower@|@bigay-gaya, kaloob@
@down@|@balahibong malambot, ibaba, sa ibabâ@
@downcast@|@malumbay@
@downfall@|@pagkabagsak, pagkaguhô@
@downhill@|@pababa ng buro!@
@downright@|@pababâ, paibabâ@
@downstairs@|@sa ibabà@
@down-train@|@treng pabalík@
@downward@|@pababâ, palusóng@
@downwards@|@pababâ, palusóng@
@downy@|@mabalahibo@
@dowry@|@bigay-kaya@
@doxology@|@pagpupuri sa Dyos@
@doxy@|@masamang babae@
@doze@|@mag-antok, magtukâ, umidlip@
@dozen@|@dosena, labing dalawa@
@drab@|@kayong lana na kulay kastanyas@
@drachm@|@drakma, salapî sa Gresya@
@draft@|@dibuho, dumibuho, letra de cambio, plano@
@draftsman@|@dibuhista, taga-pag-anyô ng plano@
@drag@|@hilahin, humila, panagíp, panghila, paragos@
@draggle@|@dumhan at hilahin sa lupà@
@dragon@|@dragon, hayop na kathang-isip@
@dragonfly@|@gamogamó@
@drain@|@alisan ng tubig, limasin, páagusan, pansol@
@drainage@|@páagusan, pansol@
@drake@|@itik na lalake ó patong lalake@
@drama@|@drama, dulà, palabas-dulaan@
@dramatic@|@nauukol sa drama@
@dramatical@|@nauukol sa drama@
@dramatize@|@gawing drama@
@drape@|@takpan ng kayo ó damit@
@draper@|@mánininda ng kayo@
@drapery@|@gáwaan ng kayo@
@draught@|@lagok, pagguhit ng banghay@
@draw@|@bumatak, dumibujo, guhit, humila, iguhit, kumabig@
@drawback@|@bawas sa singil ng aduana@
@drawer@|@mánanalok ng tubig, mang-iigib, tagaigib@
@drawer (1)@|@tagakadlô ng tubig@
@drawers@|@salawal@
@drawing@|@dibuho, pagguhit@
@drawl@|@bulong, bumulong-bulong@
@dray@|@bagol, karitón@
@dread@|@mangilabot, masíndak, matakot@
@dreadful@|@kakilákilabot, kasindak-sindak, katakot-takot@
@dream@|@managinip, panaginip@
@dreamy@|@mapanaginipín@
@dreary@|@kalagimlagim, kapanlawpanlaw, malungkót@
@dreary (1)@|@kahambalhambal@
@dredge@|@kumalaykay@
@dregs@|@sapal@
@drench@|@basain, tigmakin@
@dress@|@barò, bihis, bihis, bihisan, kasuutan, suot, suot@
@dressy@|@maingat sa pagbibihis@
@dribble@|@pumatak, tumulò@
@dribblet@|@munting utang@
@dried-beef@|@pindang, tapa@
@drier@|@pangpatuyô@
@drift@|@dahás, mag-udyok, magbunton, magbuyó, pilit@
@drill@|@pagtuturò sa mga bagong kawal@
@drink@|@inom, inumín, uminóm@
@drinks@|@inumin@
@drip@|@patak, pumatak, tulò, tumulò@
@dripping@|@tabâ@
@dripping-pan@|@sisidlan ng mantikà@
@drive@|@maghatid, maneho, manguchero@
@driver@|@drayber, drayver, tsupér@
@drizzle@|@ambon, umambon@
@droll@|@mapagpatawa, púsong@
@drollery@|@katatawanán@
@dromedary@|@dromedaryo@
@drone@|@magpabayâ, magpakatamad, taong tamad@
@droop@|@malanta@
@drop@|@hulog, hulog, ibagsak, mahúlog, pumatak, tumulò@
@drop down@|@bagsak@
@drop off@|@hatíd@
@dropsy@|@sakít na pamamanás@
@dross@|@dumí ng metal, kalawang, taing bakal@
@drossy@|@makalawang@
@drought@|@pagkakatuyot, panahong salát sa ulán@
@droughty@|@tuyót@
@drove@|@kában, karamihan ng tao, kawan@
@drover@|@may kawan ng hayop@
@drown@|@lumunod, malunod, sumisid, sumukbó@
@drowse@|@mag-antok, magtukâ@
@drowsy@|@maantukin, nag-aantok@
@drrowsiness@|@antok@
@drub@|@hampás, humampas, palò suntok, pumalò@
@drubbing@|@hampás@
@drudge@|@mámamasan, mánunulong sa kusinà, mánununong@
@drudgery@|@gáwaing hamak@
@drug@|@gamót@
@drug store@|@Butiki-bituka-butika@
@druggist@|@ang nagbibilí ng gamot@
@drum@|@tambol, tumambol@
@drum-major@|@tambol mayor@
@drum-stick@|@panugtog ng tambol@
@drunk@|@langô, lasing@
@drunkard@|@langô, lasíng@
@drunken@|@langô, lasíng@
@drunkness@|@kalanguan, kalasingan@
@dry@|@patuyúin, tuyô, tuyuin@
@dryly@|@may katuyuan, may pagkatuyô@
@dub@|@magbansag, mamamsag@
@dubious@|@álanganin@
@duck@|@bibe, bibi, itik, pato@
@duckling@|@munting itik, sisiw ng itik ó pato@
@duct@|@agusán, pádaluyan@
@ductile@|@malambot, masunurin@
@dudgeon@|@talibong@
@due@|@marapat, tamà, tapat, totoo, ukol, ukol@
@due (1)@|@atang na sisíngilin@
@duel@|@away, babág, labanán, makipag-away, makipagbabag@
@duet@|@pagtutugmaan sa awit ng dalawa@
@dug@|@suso ng hayop@
@duke@|@duke@
@dulciner@|@isang instrumentong panugtog, tímpano@
@dull@|@dungô, mapurol, tigíl, ungas; malamlam@
@dullness@|@kadungúan, kalamlamán, kaungasan@
@duly@|@akmâ, ukol@
@dumb@|@pipi@
@dumb-bell@|@peso@
@dumbfound@|@patahimikin, tuligin@
@dumbness@|@pagkapipi, pagkawalang kibô@
@dummy@|@taong pipi@
@dump@|@bigat ng loob, panglaw@
@dumpy@|@mataba't pandak@
@dun@|@mahigpit na mániningil, malabò ang kulay@
@dunce@|@musmos@
@dune@|@buról@
@dung@|@dumí, tae@
@dungeon@|@bilangguan@
@duo@|@tugmaan sa awit ng dalawa@
@dupe@|@mang-ulol, mangdayà, musmos, tunggak@
@duple@|@doble, ibayo, makalawa@
@duplicate@|@dalawang salin, duplikado, ikalawang salin@
@duplicity@|@kataksilan, paggigiring pulá, pagkadoble@
@durability@|@láon, pamamarati, tagal@
@durable@|@magtatagal, malalaunan, matatagalan@
@durance@|@tagal (sa hirap)@
@duration@|@laon, pamamarati, tagal@
@duress@|@pagkakulong@
@durian@|@duryán@
@during@|@habang, habang..., sa loob ng panahong..., samantalà@
@dusk@|@madilim, pagdidilim, pagtatakip-silim@
@dusky@|@madilim@
@dust@|@alabók, alikabók, dikdikín, gabok, magpagpag@
@dust-cart@|@karo ng dumí ó sukal, karo ng dumí ó sukal@
@duster@|@pamalís ng alikabok@
@dustman@|@manglilinis ng dumi ó sukal@
@dusty@|@maalikabok, tungkulin@
@Dutch@|@nauukol sa Olanda, taga Olanda@
@Dutch East Indies@|@Silangang Indiyong Ulandés@
@duteous@|@masunurin, tapat na loob@
@dutiful@|@mababangloob, masunurin@
@dutifulness@|@pagsunod, pagtalima, pitagan@
@duty@|@bwis ó singil ng aduana, katungkulan@
@dwarf@|@bansutín, pandak, papandakín, unano@
@dwarfish@|@pandak, unano@
@dwell@|@manahan, tumahan, tumirá@
@dwelling@|@bahay, táhanan@
@dwindle@|@kumaontî, mabawasan, umuntî@
@dye@|@kúlay, pintúra, tinà., tuminà@
@dyeing@|@pagtitinà@
@dyer@|@manininà@
@dying@|@naghihingalô@
@dynamite@|@dinamita@
@dysentery@|@iti, pag-iiti@
@dyspepsy@|@dispepsia@
@dyspeptic@|@ang may-sakít sa sikmurà@
@each@|@balang isa, bawa't, bawa't isa@
@eager@|@maningas na nais, sabik@
@eagerness@|@hangad, pananabik, pita@
@eagle@|@agila@
@eagle-eyed@|@may malayong tanaw@
@eagle-sighted@|@may malayong tanaw@
@eaglet@|@munting ágila@
@ear@|@pakinig, tainga, táynga, tenga@
@ear (1)@|@pusò ng maís ó ng palay, tumubò ang pusô ng maís@
@ear rings@|@hikaw@
@ear-bored@|@may butas ang tenga@
@earings@|@hikaw@
@earl@|@konde, mataas na karangalan@
@earlap@|@pingol (ng taynga)@
@earldom@|@ang saklaw ng konde@
@earless@|@walang taynga@
@early@|@maága, maagap, taóntaón@
@earn@|@kitain, kumita, magkaroon ng salapî@
@earnest@|@katotohanan@
@earning@|@kita, pinag-arawan, salaping pinagtrabahuhan@
@earnings@|@kita@
@ear-ring@|@hikaw@
@earrings@|@hikaw@
@earth@|@ibaon sa lupà, lupà@
@earthen@|@bagay na lupà@
@earthliness@|@kalayawan, kamunduhan@
@earthly@|@ukol sa lupà@
@earthquake@|@lindol@
@earthworm@|@bulate, uod@
@ear-witness@|@saksíng nakárinig@
@ease@|@katahimikan, katimawaan, katiwasayan@
@easily triggered off@|@kapusukan@
@east@|@silángan, silanganan@
@easter@|@Paskó ng pagkabuhay@
@easter-eve@|@sábado de glorya@
@easterly@|@galing (ó buhat) sa silanganan@
@eastern@|@galing (ó buhat) sa silanganan, silangánan@
@eastward@|@sa dakong silanganan, sa gawíng silanganan@
@easy@|@madalî, magaan@
@eat@|@kumain@
@Eat that@|@Kainin mo iyan.@
@eatable@|@kakainin, nakakain, pagkain@
@eaten slowly@|@nginangatngat@
@eaves@|@balisbisan, lambang@
@eaves dropper@|@tagasubok, tagaulinig@
@eaves trough@|@alulod@
@ebb@|@kati ng tubig, kumati@
@ebbing@|@pagkati@
@ebon@|@maitim, sa ébano@
@ebony@|@ebano, kahoy na maitím@
@ebullition@|@bulwák, kulô, pagbubulâ@
@eccentric@|@kakatwâ, katwâ, lisyâ sa kalagitnaan@
@ecclesiastic@|@nauukol sa iglesia, nauukol sa simbahan, pastor@
@Ecclesiates@|@Eklesiastes@
@echo@|@alingawngaw, dagundong, taginting, umalingawngaw@
@echo (1)@|@tumaginting@
@eclipse@|@maglahò, paglalahò ng bwan ó araw@
@ecliptic@|@daan ng araw@
@economic@|@mapag-arimohonan, matipid@
@economical@|@mapag-arimohonan, matipid@
@economize@|@mag-arimohonan@
@economy@|@arimohonan, pag-aarimohonan, pagtitipid, tipid@
@ecstasy@|@galak, sayá, twâ@
@ecstatic@|@galak, masayá, twâ@
@Ecuador@|@Ekwadór@
@eddy@|@ulì-ulì@
@edge@|@baybayin, gilid, laylayan, patalím, tabí, talím@
@edge ways@|@pagilid, sa gawíng gilid@
@edge wise@|@pagilid, sa gawíng gilid@
@edged@|@hasâ, matalas@
@edge-tool@|@asangkapang panghiwà@
@edging@|@gilid, puntás, tabí@
@edible@|@nakákain@
@edict@|@utos@
@edification@|@pagtatayô@
@edifice@|@bahay, gusalì@
@edify@|@magturò@
