@English@|@Voro@
@Window setup@|@aknidõ paikapandminõ@
@wing@|@siib@
@with@|@üten@
@wolf@|@susi@
@woman@|@naanõ@
@Work offline@|@Tüütäq ilma võrguldaq@
@worm@|@huss, vagõl@
@Wrap@|@lõikama@
@Wrap mode@|@Rito lõikaminõ@
@year@|@aastak@
@yellow@|@kõllanõ, vahanõ@
@yes@|@jaa, jah@
@you@|@saq@
@you (pl)@|@tiiq@
@You didn't give@|@saq anna-as@
@You don't give@|@saq anna-aiq@
@You have@|@Sul om@
@Zoom@|@Suurõndus@
@Zoom value@|@Suurõndusastõq@

