@English@|@Papiamento@
@channel@|@kanal, pipa@
@chaos@|@babel, bochincha, desòrden, kaos@
@chaotic@|@kaótiko@
@chapter@|@kapítulo@
@character@|@karakter, seña, señal@
@charcoal@|@karbon@
@chariot@|@garoshi@
@charity@|@limosna@
@chase@|@yag@
@chasm@|@abismo precipicio@
@chauffer@|@chufùr@
@chauffeur@|@chufùr@
@cheap@|@barata@
@cheat@|@desgraciado, desgrasiadu, kanaya@
@check@|@chèk@
@checker@|@chèkdó, chèker@
@cheerful@|@alegre@
@cheese@|@keshi@
@chemist@|@botikario, kimíko@
@chemist' shop@|@botika@
@chemistry@|@kímika@
@cheque@|@chèk@
@cherch@|@iglesia@
@cherry@|@chèri@
@chest@|@caha, pechu@
@chew@|@kou@
@chewing-gum@|@bals@
@chick@|@puítu@
@chicken@|@galiña, puítu@
@chief@|@bòs, chif, hefe@
@chief of police@|@komisario@
@child@|@yiu, yu@
@childish@|@infantil@
@Chile@|@Chili@
@Chilean@|@chileno@
@chilli@|@promèntè@
@chilly@|@friu@
@chimpanzee@|@chimpansé@
@chin@|@kachete@
@China@|@China@
@Chinese@|@chines@
@chisel@|@beitel@
@chlorine@|@klòròks@
@chocolate@|@chukulati@
@choice@|@chòis@
@choke@|@choka@
@cholera@|@kólera@
@choose@|@kis, shohe@
@chop@|@kap@
@chord@|@akuerdo@
@chorus@|@kor@
@chrestomathy@|@antologia@
@Christ@|@Kristo, Kristu@
@christening@|@boutismo@
@Christian@|@kristan, kristian@
@Christianity@|@kristianismo@
@Christmas@|@Pasko, Pasku@
@chronicle@|@krónika@
@chuck@|@karisia@
@church@|@iglesia@
@cinder@|@shinishi@
@cinema@|@cine@
@circle@|@serkel@
@circunstances@|@situacion@
@circus@|@circo@
@city@|@playa, siudad, stat@
@citzien@|@ciudadanu@
@clamp@|@kram@
@class@|@klas, klase@
@classic@|@klásiko@
@claw@|@pata@
@clay@|@klei@
@clean@|@limpi, limpia@
@cleanliness@|@limpiesa, puresa@
@cleanly cut@|@nèt, nèta@
@cleanse@|@purifiká@
@clear@|@kla@
@clever@|@bispou, djispou, hèndi@
@client@|@kliente, kumpradó@
@climate@|@klima@
@climb@|@subi@
@clinic@|@klínika@
@clip@|@corta@
@cloak@|@mantel@
@clock@|@oloshi, ora@
@close@|@cera, íntimo@
@closed@|@cerá@
@closet@|@kashi@
@clothe@|@bisti@
@clothes@|@paña@
@clothing@|@paña@
@cloud@|@nubia@
@clown@|@payaso@
@club@|@klup@
@cluster@|@cachu@
@coach@|@trein, tren@
@coast@|@costa@
@coat@|@bachi, yas@
@cocaine@|@kokaina@
@cock@|@gai@
@cockroach@|@kakalaka, kalakala@
@cocktail@|@kòktel@
@cocoa@|@kakou, kòkou@
@coconut@|@koko@
@cod@|@bakalou, bakiou@
@codfish@|@bakalou, bakiou@
@coffee@|@kòfi@
@coffee-house@|@botikin@
@cognac@|@koñak@
@coir@|@kor@
@cold@|@ferkout, frialdat, friu, verkout@
@collar@|@krag, kueyo@
@colleague@|@kolega@
@collection@|@kolekshon@
@collony@|@kolonia@
@Colombia@|@Kolombia@
@Colombian@|@colombianu, kolombiano@
@colonel@|@kolonél@
@colonial@|@kolonial@
@colony@|@kolonia@
@color@|@koló@
@column@|@rúbro@
@comb@|@peña@
@come@|@bin, bini@
@come about@|@bira@
@come across@|@topa@
@come back@|@bin bek, bolbe@
@come into@|@drenta@
@come to a halt@|@para@
@come to an end@|@caba@
@come together@|@djòin@
@comedy@|@komedia@
@comet@|@kometa@
@comfortable@|@kómodo, konfortabel@
@comic@|@kómiko@
@comical@|@kómiko@
@comma@|@kòma@
@command@|@manda, mando@
@commander@|@komandante@
@commencement@|@cuminsamentu@
@commend@|@gaba@
@commerce@|@komersio@
@committee@|@komishon@
@common@|@komun@
@communism@|@komunismo@
@communist@|@komunista@
@compact@|@kompakto@
@companian@|@kompaña@
@companion@|@kompai, kompañero@
@company@|@firma@
@comparison@|@komparashon@
@compartment@|@vak@
@compass@|@kompas, kòmpas@
@compassion@|@kompashon, kondolensia, piedat@
@compatriot@|@kompatriota, paisano@
@compel@|@forsa, fòrsa@
@compensation@|@rekompensa@
@competition@|@konkurensia, konkurso@
@compile@|@kompilá@
@complain@|@keha@
@complaint@|@keho@
@complete@|@kompletá, kompleto, yen@
@completely@|@kompletamente@
@complex@|@kompleho@
@compliment@|@kòmplimènt@
@compose@|@komponé@
@composer@|@komponista, kompositor@
@compulsory@|@obligatorio@
@computer@|@kòmpiuter@
@comrade@|@kompai, kompañero@
@comunication@|@comunicacion@
@conceive@|@priña@
@concept@|@konsepto@
@concern@|@importansia@
@concert@|@kònsèrt@
@conclusion@|@konklushon@
@concord@|@akuerdo@
@concrete@|@betòn, konkret, konkreto@
@concurrence@|@akuerdo@
@condemnation@|@desaporbashon@
@condition@|@kondishon, kondishon@
@condom@|@kòndòn, konshon@
@conduct@|@komportashon, kondukta@
@confession@|@konfeshon@
@confide@|@konfia@
@confidence@|@fe, konfiansa@
@confirmation@|@konfirmashon@
@conflict@|@konflikto@
@confortable@|@kómodo, konfortabel@
@confuse@|@konfundí@
@confusion@|@konfushon@
@congratulation@|@felisitashon@
@congress@|@kongreso@
@conjunction@|@konhunshon@
@connect@|@dì@
@connection@|@konekshon@
@conscious@|@konsiente@
@conservative@|@konservativo@
@conserve@|@wak, weita, weta@
@considerable@|@konsiderabel@
@consist@|@kosistí@
@consolation@|@konsolashon, konsuelo@
@consonant@|@kosonante@
@conspiracy@|@kòmplòt@
@constant@|@konstante@
@constantly@|@konstantemente, kontinuamente@
@consternation@|@konsternashon@
@constitution@|@konstitushon@
@consul@|@kònsel@
@consulate@|@konsulado@
@consultation@|@konsulta@
@contact@|@kontakto@
@container@|@póchi@
@contempt@|@despresio, menospresio@
@contented@|@kontento, kontentu@
@contents@|@kontakto, kontenido@
@contest@|@konkurso@
@continent@|@kontinente@
@continual@|@konstante@
@continue@|@dura@
@contraband@|@kontrabanda@
@contract@|@kontrakto, kontrato@
@contrary@|@kontrali, kontrario@
@control@|@reina@
@controller@|@chèkdó, chèker@
@convention@|@kongreso@
@conversation@|@kobersashon@
@cook@|@kòki, kushiná, kushna@
@copper@|@koper@
@copy@|@kopia@
@corckscrew@|@kos di saka kòrki@
@cord@|@kabuya, liña@
@cordial@|@kordial@
@cork@|@kòrki@
@corkscrew@|@kos di saka kòrki@
@corn@|@kayo, mainshi@
@corner@|@skina@
@corpse@|@kadaver@
@corpulent@|@diki, gordo@
@correct@|@korekto@
@cost@|@bal, kosta@
@Costa Rica@|@Kosta Rika@
@Costa Rican@|@kostarikeño@
@costly@|@kostoso@
@costumary@|@hewon, usual@
@costume@|@bistí, flus@
@cottage@|@kasita@
@cotton@|@katuna@
@cough@|@tosa@
@counsel@|@abogado, konseho@
@counsellor@|@konsehero@
@count@|@conta, konde, rek@
@counting-frame@|@teleram, tèlram@
@countless@|@inkontabel@
@country@|@kampo, pais@
@countryside@|@kampo@
@courage@|@kurashi@
@courageous@|@wapu@
@course@|@plato@
@court@|@curá@
@courteous@|@galante, gentil@
@courtyard@|@curá@
@cousin@|@prima, primu@
@cousine@|@prima@
@cover@|@kubri@
@cow@|@baka@
@crab@|@kangreu@
@crawl@|@gatia@
@craziness@|@lokura@
@crazy@|@loko@
@cream@|@krem, krèm, krema@
@create@|@krea@
@credit@|@kredit@
@creep@|@gatia@
@crew@|@tripulashon@
@crime@|@krimen@
@criminal@|@kriminal@
@crisis@|@krisis@
@criticism@|@krítika@
@crockery set@|@servisio@
@crocodile@|@krokodel@
@crook@|@desgrasiado, desgrasiadu, kanaya@
@cross@|@krou, krus, rabia@
@crossword puzzle@|@krusigrama@
@crowd@|@monton, multitut@
@crude@|@krudo@
@cruel@|@kruel@
@crumbs@|@wiriwiri@
@cry@|@grito, gritu, yora@
@crystal@|@kristal@
@Cuba@|@Kuba@
@Cuban@|@kubano, kúbiko@
@cubic@|@kubano, kúbiko@
@cucumber@|@kònkòmber@
@cultivation@|@kultivo, kultivo@
@culture@|@kultura@
@cunning@|@bispou, djispou@
@cunt@|@blònchi, doshi, tonto@
@cup@|@kòpi@
@cupboard@|@kashi@
@Curaçao@|@Kòrsou@
@cure@|@kura@
@curious@|@kaweta@
@current@|@aktual, koriente@
@currently@|@awendía, awor@
@curry@|@kòri@
@curtain@|@kòrtina@
@curve@|@birada, lorada@
@custom@|@bisio, kostumber, kutumber@
@customary@|@usual@
@customer@|@kliente@
@customs@|@duana@
@cut@|@corta, kap@
@cycle@|@bais, baiskel@
@Czech@|@checo@
@dad@|@pai, papá, papi@
@daddy@|@pai, papá, papi@
@dagger@|@puñá, puñal@
@dahlia@|@dalia@
@daily@|@diariamente@
@daily paper@|@diario@
@dainty@|@amabel, delikado, delikadu@
@damage@|@daña, daño, defekto, fayo@
@dance@|@balia, baliamentu@
@dancer@|@bailadó, bailarina@
@danger@|@peliger, peligro@
@dangerous@|@peligroso@
@Danish@|@danes@
@dare@|@dùrf, tribi@
@dark@|@skur@
@darkness@|@skuridat@
@dark-room@|@kámara@
@darn@|@karacho, karaho, karai, karamba, kariso, kónchale, kónfiro, koño@
@darn(1)@|@kariso, kónchale, kónfiro, koño@
@date@|@deit, fecha@
@daughter@|@yiu mohé, yiu muhé@
@daugther@|@yiu muhé@
@dawn@|@amanesé@
@day@|@dia@
@daybreak@|@amanesé@
@dazzle@|@blèndu, blènt@
@de ashamed@|@tin bergwensa@
@de luxe@|@luhoso@
@deadly@|@mortal@
@deaf@|@sordo@
@deaf with@|@trata@
@deaft@|@derota, vense@
@deal with@|@trata@
@dear@|@apreciado, estimado, karo, karu@
@dear(1)@|@kostoso, stimá@
@death@|@morto@
@death throes@|@agonia@
@debt@|@debe@
@decameter@|@decameter@
@deceitful@|@engañoso@
@December@|@december, desèmber@
@decimeter@|@desimeter, desimetro@
@decision@|@desishon@
@decisive@|@desisivo@
@deck@|@dèk@
@declaration@|@deklarashon@
@declaration of policy@|@program@
@decree@|@dekreto@
@deem@|@kere, opiná, wak, weita, weta@
@deep@|@profundo@
@deer@|@biná@
@defeat@|@derota, vense@
@defecate@|@kaka, pupu@
@defence@|@defensa@
@defendant@|@akusado@
@definitely@|@definitivamente@
@definition@|@definishon@
@definitive@|@definitivo@
@degree@|@grado, título@
@delegate@|@delegado@
@delegation@|@delegashon@
@delicate@|@delikado, delikadu@
@delight in@|@djòdjò, gosa@
@deluxe@|@luhoso@
@democracy@|@demokrasia@
@democrat@|@demokrat@
@democratic@|@demokrátiko@
@demon@|@demoño@
@den@|@neishi@
@Denmark@|@Dinamarka@
@dentist@|@dentista@
@deny@|@minti, nenga@
@depart@|@sali@
@department@|@vak@
@dependence@|@dependensia@
@dependent@|@dependiente@
@deportment@|@komportashon, kondukta@
@depressed@|@depresivo@
@depression@|@krisis@
@depth@|@profundidat@
@desappearance@|@desaparishon@
@descend@|@baha, bai abou@
@description@|@deskripshon@
@desert@|@desierto, wustein@
@design@|@diseño, pinta, tek@
@desire@|@antoho, deseo@
@despair@|@desesperashon@
@despite@|@apesar@
@despotic@|@despótiko@
@destine@|@destiná@
@destiny@|@destinashon, destino, destinu@
@destruction@|@destrukshon@
@detail@|@detaya@
@detrimental@|@desbentahoso@
@device@|@aparato@
@devil@|@diabel, djabel, djablo, satanas@
@devilish@|@diabóliko@
@dexterous@|@hèndi@
@diabetes@|@diabetes@
@diabolical@|@diabóliko@
@diagram@|@figura@
@dial@|@disko@
@dialect@|@dialekto@
@dialogue@|@diálogo@
@diameter@|@diameter@
@diamond@|@djamanta@
@diarrhoea@|@kram@
@dictator@|@diktadó, diktador@
@dictatorship@|@diktadura@
@dictionary@|@diksionario@
@die@|@dou, muri@
@diet@|@diet, dieta, diete@
@difference@|@diferensha, diferensia@
@different@|@desigual, diferente, distinto@
@difficult@|@dificil, difísil@
@dig@|@koba@
@digestion@|@digestion@
@diligent@|@brio@
@dim@|@skur@
@dimension@|@tamaño@
@diminutive@|@chikí, chikito, chikitu@
@din@|@babel, bagamunderia, beheit, bochincha@
@din(1)@|@bòmbòshi, boroto, desòrden@
@dining-room@|@komedó@
@diploma@|@akto, diploma@
@diplomat@|@diplomátiko@
@direct@|@stür@
@direction@|@direkshon, rumbo@
@director@|@direktor@
@directory@|@katalòk@
@dirty@|@fis, sushi@
@disabled@|@inválido@
@disadvantage@|@desbentaha@
@disappear@|@somentá@
@disappearence@|@desaparishon@
@disappointment@|@desepshon, desilushon@
@disapprobation@|@desaprobashon@
@disapproval@|@desaprobashon@
@disaprove@|@desaprobá@
@disc@|@disko@
@discipline@|@disciplina@
@discontented@|@malkontento, malkontentu@
@discount@|@rebaha@
@discovered@|@discubri@
@discovery@|@descubriniento@
@discrimination@|@diskriminashon@
@disease@|@malesa@
@disgust@|@debòr, desgusto, disgusto, disgustu@
@disgusting@|@abominabel@
@dish@|@plato@
@dislike@|@antipatia@
@dismal@|@desagradabel, miserabel, tristu@
@disobedient@|@desobediente@
@displeased@|@malkontento, malkontentu@
@dispose of@|@bende@
@disposition@|@talento@
@dissatisfied@|@malkontento, malkontentu@
@dissemble@|@fingi@
@distance@|@distansha, distansia@
@distant@|@leu@
@distinct@|@kla@
@distinction@|@distinshon@
@distribution@|@distribushon@
@district@|@bario, distrikto@
@dive@|@sambuyá@
@divine@|@dibino@
@divorce@|@diborsio@
@do@|@hasi@
@Do you go to school@|@Abo ta bai skol?@
@doctor@|@dòkter, dòkto, doktor@
@document@|@dokumento@
@dog@|@cacho, cachó, kachó@
@dogma@|@dògma@
@doll@|@pòpchi@
@dollar@|@dòlò@
@dolphin@|@dòlfein@
@domedary@|@dromedario@
@domestic@|@indígena@
@Dominican Republic@|@Dominikano, Repúblika Dominikano, Repúblika Dominikanu@
@dominion@|@dominio@
@donkey@|@buriko, buriku, buro@
@Don't forget!@|@No lubidá!@
@don't touch me there!@|@no mishi kumi eynan!@
@door@|@porta@
@dot@|@punto@
@double@|@dòbel@
@doubt@|@duda@
@doubtful@|@dudoso@
@dovepigeon@|@palomba@
@down@|@abou@
@dozen@|@dosein, dozèn, dòzen@
@drag@|@hala, trèk@
@dragon@|@dragon@
@dram@|@aperitivo@
@drama@|@drama@
@drastic@|@drástiko@
@draw@|@hala, igualdat, pinta, tek, trèk@
@drawer@|@lachi@
@drawers@|@djòki, karson di abou, karsonsio@
@drawing@|@diseño@
@dreadful@|@feros, feroso, horibel, teribel@
@dream@|@soña, soño@
@dreary@|@desagradabel, tristu@
@dress@|@bisti, shimí, shimis@
@drill@|@bor, bora@
@drink@|@bebe, bebida@
@drinkable@|@bebibel@
@driver@|@chufùr@
@driving-licence@|@reibewijs@
@driving-license@|@reibewijs@
@dromedary@|@dromedario@
@drop@|@gota@
@drop of water@|@gota@
@drug@|@remedi@
@drugstore@|@botika@
@drum@|@tambòr, tambora, tambú@
@drunk@|@fuma@
@drunkenness@|@buracheria@
@dry@|@seka, seko, seku@
@dryness@|@sekura@
@dual@|@dòbel@
@duck@|@pato@
@duckduck@|@patu@
@duke@|@duke@
@dumb@|@mudo, mudu@
@dung@|@pupu@
@during@|@durante, miéntras@
@during the night@|@anochi@
@dust@|@puiro, puiru@
@Dutch@|@holandes, hulandes, ulandes@
@Dutchman@|@makamba@
@duty@|@deber@
@dwarf@|@enano@
@dwarft@|@enano@
@dwell@|@biba@
@dwelling@|@kas@
@dye@|@koló@
@dynamite@|@dinamit@
@each@|@kada, tur@
@eagle@|@águila@
@ear@|@horeya, orea, oreya@
@earl@|@konde@
@early@|@tempran@
@earn@|@gana@
@earnest@|@serio@
@earring@|@renchi di horeya, renchi di orea, renchi di oreya@
@earth@|@tera@
@earthquake@|@temblor@
@easel@|@stal@
@easily@|@fásilmente@
@east@|@oost, pariba@
@Easter@|@Pasko Grandi, Pasku Grandi@
@eastern@|@oriental@
@easy@|@fásil@
@ecclesiastic@|@eklesiástiko@
@economical@|@ekonómiko@
@economics@|@ekonomia@
@economy@|@ekonomia@
@Ecuador@|@Ekuador@
@Ecuadorian@|@ekuatoriano@
@edge@|@rant@
@edible@|@komibel@
@edition@|@edishon@
@education@|@edukamentu, edukashon@
@eelements@|@alfabèt@
@eerring@|@orea, oreya, renchi di horeya@
@effort@|@esfuerso@
@egg@|@webo, webu@
@Egypt@|@Egipto@
@eight@|@ocho@
@eight hundred@|@ochoshen@
@eighteen@|@djesocho@
@eighty@|@ochenta@
@elbow@|@èlebog@
@election@|@chòis@
@electric@|@eléktriko@
@electric fan@|@fén, vèn@
@electric torch@|@flèshlait, foks@
@electricity@|@elektrisidat@
@elegant@|@elegante@
@element@|@elemento@
@elemental@|@elemental@
@elementary@|@elemental@
@elephant@|@elefante, olefante, olifant, olifante@
@eletric fan@|@vèn@
@eleven@|@diesun, djesun@
@else@|@otro@
@embassy@|@embahada@
@emblem@|@emblema@
@embrance@|@brasa@
@emerald@|@esmeralda@
@emergency@|@kresis, krisis@
@emmet@|@fruminga, vruminga@
@emotion@|@emoshon@
@emperor@|@emperadó, emperador, imperiadó@
@empire@|@imperio@
@employ@|@usa, uza@
@employee@|@empleado@
@employment@|@aplikashon@
@empress@|@emperador, emperadora@
@empty@|@bashí@
@en the right@|@drechi@
@enchanter@|@tovenar@
@encounter@|@topa@
@encyclopaedia@|@ensiklopedia@
@end@|@caba, fin, kaba, terminá@
@end up@|@caba, yega@
@ending@|@fin@
@endlessly@|@infinitamente@
@endorse@|@gira@
@endorsement@|@giro@
@endure@|@dura, sufri@
@enemy@|@enemigo, enemigu@
@energy@|@energia@
@engagement@|@kompromisso@
@engine@|@mashin, motor@
@engineer@|@ingeniero@
@England@|@Inglatera@
@English@|@ingles@
@enigma@|@charada, misterio, púzel@
@enjoy@|@djòdjò, gosa@
@enjoyable@|@agradabel@
@enlarge@|@amplia, oumentá@
@enmity@|@enemistat@
@enormous@|@enorme@
@enough@|@basta, bastante, sufisiente@
@entangle@|@impliká@
@enter@|@drenta@
@entertaining@|@chaskero, chistoso, dibertido@
@entire@|@enté, enter, henté, henter, hèntèr, tur@
@entirely@|@kompletamente@
@entomb@|@dera@
@entrance@|@drentada, entrada@
@entrust@|@konfia@
@envelope@|@ènvelop@
@envious@|@kudisioso@
@envy@|@envidia, kodishi, kodisia@
@epilepsy@|@epilepsia@
@episcopal@|@episkopal@
@epoch@|@époka@
@equal@|@igual, pareu@
@equality@|@igualdat@
@equilibrium@|@balansa@
@equipment@|@ekipahe, ekipo@
@era@|@époka@
@erect@|@funda@
@erotic@|@erótiko@
@err@|@kiboká, kibuká@
@errand@|@mensahe@
@error@|@eror, fayo, fout, kibokashon, kibukashon@
@escape@|@hui@
@escort@|@kompañamento, kompañamentu, kompañero@
@eskimo@|@èskimo@
@Esperantist@|@esperantista@
@Esperanto@|@esperanto@
@esposo@|@casá@
@establish@|@funda@
@estimate@|@taksa, takser@
@ethical@|@étiko@
@Ethiopia@|@Etiopia@
@Ethiopian@|@etiópiko@
@Europe@|@Oropa@
@European@|@oropeano, oropeo@
@evangelic@|@evangéliko@
@even@|@asta, igual, pareu, regular@
@evening@|@nochi@
@event@|@akontesimentu@
@ever@|@semper, sèmper@
@everlasting@|@infinito, interminabel@
@every@|@kada, tur@
@every one@|@kada@
@everybody@|@kada, tur@
@everything@|@tur cos@
@everything is good@|@tur cos ta bon@
@everywhere@|@tur camina, tur caminda@
@evoke@|@sklama@
@exact@|@exacto@
@exactness@|@presishon@
@examination@|@èksamen, investigashon@
@example@|@ehèmpel, ehemplo@
@excced@|@bit@
@exccedingly@|@èkstraordinariamente@
@exceed@|@bit@
@exceedingly@|@èkstraordinariamente@
@except@|@ademas di, eksepshonalmente@
@except for@|@ademas di@
@exception@|@eksepshon@
@exceptional@|@eksepshonal@
@exchange@|@interkambio@
@excise@|@akseins@
@excitement@|@agitashon@
@exclusively@|@djis, solamente@
@excrement@|@pupu@
@excuse me@|@èkskius@
@execise-duty@|@akseins@
@executioner@|@burdugu@
@exercise@|@ehesisto@
@exercise-book@|@skref, skreft@
@exhibition@|@eksibishon@
@exhortation@|@aanmaning@
@exist@|@eksistí, salida@
@existence@|@eksistensia@
@exit@|@salida@
@expect@|@spera, warda@
@expensive@|@karo, karu, kostoso@
@experiment@|@eksperimento@
@expert@|@baké, bakiá, bakianu@
@expire@|@caba, fayesé, muri@
@explanation@|@aklarashon@
@explosion@|@eksploshon@
@exposition@|@eksibishon@
@expression@|@ekspreshon@
@extend@|@tamaño@
@extension@|@sufiho@
@external@|@eksterno@
@extra@|@èkstra@
@extraordinarily@|@èkstraordinariamente@
@extraordinary@|@èkstraordinario@
@extreme@|@ekstremo@
@eye@|@wowo@
@eyebrow@|@seha@
@fabric@|@tela@
@face@|@kara@
@facile@|@fásil@
@faction@|@partida, partido@
@factory@|@fábrika@
@faculty@|@fakiltat, fakultat@
@fail@|@faya@
@failure@|@fayit, frakaso@
@faint@|@debil, desmaña, suak@
@fair@|@bazar, blònt, husto, hustu, marshe@
@fairy tale@|@fábula@
@faith@|@fe@
@faithful@|@fiel@
@falcon@|@falki@
@fall@|@kai, kaí, kaída@
@false@|@falso, falsu@
@fame@|@gloria@
@family@|@famia@
@fancier@|@amatùr@
@fancy@|@figurá, imaginá, imahiná@
@fantasy@|@fantasia@
@far@|@leu@
@farewell@|@ayo, despedida, so long, tanten@
@farm@|@agrario@
@farmer@|@agrikultor, kunukero@
@farming@|@agrikultura@
@fashion@|@moda@
@fast@|@lihe, rápidamente, rápido@
@fat@|@diki, gordo, sebu, vèt@
@fate@|@destinashon, destino, destinu@
@fateful@|@fatal@
@father@|@papa, tata@
@father-in-law@|@suegro, suegru@
@fatherland@|@patria@
@fatty@|@vèt@
@faucet@|@kranchi@
@fault@|@kulpa@
@favor@|@fabor@
@favourable@|@faborabel@
@fear@|@ansia@
@February@|@februari, febrüari@
@federal@|@federal@
@federation@|@federashon@
@feel@|@fula, helful, sentimento, sentimentu, sinti@
@feeling@|@helful, sentimento, sentimentu@
@felling@|@sentimento@
@fellow@|@hòmber@
@female@|@embra, femenino@
@female admirer@|@atmiradora@
@female cat@|@pushi@
@female cock@|@kòki@
@female martyr@|@mártir@
@female singer@|@kantante@
@female slave@|@katibo, katibu@
@female student@|@studiante@
@female teacher@|@maestra@
@feminine@|@embra@
@ferry@|@fèril@
@fertile@|@fértil@
@fertilizer@|@mèst@
@fervor@|@fervor@
@festival@|@festival, fiesta@
@fetch@|@hiba, trese@
@feudal@|@feodal@
@fever@|@keintura@
@fewer@|@menos@
@fiancé@|@komprometido@
@fiancée@|@komprometida@
@fiasco@|@frakaso@
@fiction@|@fikshon@
@field@|@kunuku, vèlt@
@field hospital@|@ambulans@
@fifteen@|@diescincu, djessinko, djessinku@
@fifty@|@cincuenta@
@fight@|@bringa@
@figure@|@figura, rek@
@fiil in@|@yena@
@file@|@feilo, feilu, fila, rek, turno, veila, veilo, veilu@
@files@|@argif@
@fill@|@yena@
@fill up@|@yena@
@filling station@|@gasolinsteishen@
@film@|@pelíkula@
@filter@|@felter, filtra, filtro@
@filthy@|@fis, sushi@
@fin@|@ala@
@final@|@fini@
@financial@|@finansiero@
@fine@|@bunita, ekselemtemente, ekselente, kiut@
@fine(1)@|@delikado, delikadu@
@finger@|@dede@
@finish@|@finalisá, kaba, terminá@
@finished@|@kla@
@Finland@|@Finnlandia@
@fire@|@kandela@
@firm@|@firma@
@first@|@di promer, promer@
@fish@|@piska@
@fisherman@|@piskadó@
@fist@|@kònòpi, moketa, mokete@
@five@|@cincu, sinku@
@fix@|@drecha@
@flag@|@bandera@
@flame@|@vlam@
@flamingo@|@chògògò, flamingo@
@flat@|@apartamento@
@flat tire@|@flet tair@
@flatter@|@chifla, chula, chulia, labia@
@flattery@|@chuliamento, chuliamentu@
@flavour@|@aroma, sabor@
@flea@|@pruga@
@flee@|@hui@
@flesh@|@karni@
@flexible@|@doblabel, flèksibel@
@flight@|@huimento, huimentu@
@float@|@drift, landa, landra@
@floor@|@piso, suela@
@flour@|@ariña, hariña@
@flower@|@flor@
@flowerpot@|@pòchi@
@flu@|@grip@
@fluor@|@ariña@
@flute@|@flùit@
@flutter@|@agitashon@
@fly@|@muska, muskita@
@flying fish@|@bulladoé@
@foam@|@skuma@
@fold@|@dobla@
@folder@|@skreft@
@foliage@|@foyo@
@folk@|@pueblo@
@folklore@|@folklor@
@follow@|@sigui@
@font@|@pila@
@food@|@alimento, kuminda@
@fool@|@chambòn, chiflá, lolas, lolo, sokete@
@foolish@|@bobo, bubè, chambòn, sokete@
@foot@|@pia@
@football@|@futbòl@
@for@|@durante, miéntras, pa@
@for example@|@por ehempel@
@for mi@|@pa mi@
@for sale@|@bendibel@
@for the reason that@|@como@
@for the time being@|@temporalmente@
@for(1)@|@komo, komokiera, pasó, pasobra@
@forbid@|@taha@
@force@|@forsa, fòrsa, fortalesa@
@forehead@|@frenta, frente@
@foreign@|@estranhero, strañu@
@foreign country@|@eksterior, taira@
@foreigner@|@strañero, stranhero@
@foreing country@|@taira@
@forest@|@mondi@
@forgetfull@|@lubidadó@
@fork@|@fòrki, hòrkèt, orketa@
@form@|@fasun, forma, formulario@
@formerly@|@antes, dilanti@
@formidable@|@èkstraordinario@
@formula@|@fòrmula@
@forse@|@fortalesa@
@fortunate@|@felis@
@fortune@|@destino, fortuna@
@forty@|@kuarenta@
@found@|@funda@
@foundation@|@bòm, fòndo@
@fountain@|@fòntein, fuente@
@four@|@cuater, kuater, kuatro, kwater@
@fourteen@|@diescuater, djeskuater@
@fourty@|@cuarenta@
@fowl@|@galiña@
@fraction@|@frakshon@
@fragant@|@aromátiko@
@fragile@|@bros, fofo, kibrabel@
@frame@|@kader, kosein, kosèn@
@framework@|@kader@
@France@|@Fransha, Fransia@
@free@|@gratis@
@freedom@|@libertat@
@French@|@frances, franses@
@frequently@|@cu frecuencia@
@fresh@|@fresku@
@Friday@|@diabièrne, djabèrna, djabièrnè@
@friend@|@amiga, amigu, gayo, kompai, sosio, tersio@
@friend (man)@|@amigu@
@friend (woman)@|@amiga@
@friendly@|@afabel, amikal@
@friendship@|@amistat@
@fright@|@miedo, miedu@
@frigid@|@friu@
@fringe@|@rant@
@frog@|@dori, sapu@
@from@|@desde, di@
@from here@|@di aki@
@from where@|@di únda@
@frontier@|@frontera, limite@
@froth@|@skuma@
@fruit@|@fruta@
@fry@|@hasa@
@fuck@|@hunga, kue, limpia@
@full@|@yen@
@full-grown@|@adulto@
@fun@|@delisia, prèt@
@function@|@puesto@
@funeral@|@deramento, entiro@
@fungus@|@djipopo@
@funny@|@chaskero, chistoso, dibertido, kómiko@
@furious@|@furioso, hostiná, koñá, rabiá, raso, rasu@
@furniture@|@mueble@
@future@|@benidero, futuro, porvenir@
@gag@|@broma, chasko, chiste@
@gain@|@atkisishon, gana, ganashi@
@Galicia@|@Galisia@
@gall@|@hal@
@gallery@|@galeria@
@gallop@|@alòp, alopiá, galòp@
@game@|@wega@
@gammer@|@biehita@
@gaol@|@piskalat, prison, prizon, prizòn@
@garage@|@garashi@
@garden@|@hardin, hòfi@
@gardener@|@hardinero@
@garlic@|@konofló, konoflok@
@garss@|@yerba@
@gas@|@gas@
@gasoline@|@gasolin@
@gate@|@porta@
@gateway@|@porta@
@gather@|@kolektá, konklú@
@gaunt@|@flako, flaku, tristu@
@gay@|@alegre, mariko, mariku@
@gazelle@|@gazè@
@gazzette@|@korant@
@general@|@general, univèrsal@
@generally@|@generalmente@
@generation@|@generashon@
@generative@|@seksual@
@gentle@|@dushi@
@gentleman@|@kabayero, señor@
@genuine@|@outéntiko@
@genuinely@|@realmente@
@geographer@|@geógrafo@
@geographic@|@geográfiko@
@geography@|@geografia@
@geology@|@geologia@
@geometry@|@geometria@
@geranium@|@geranium@
@germ@|@mikrobio@
@German@|@aleman@
@Germanic@|@germániko@
@Germany@|@Alemania@
