@English@|@Tetum@
@last week@|@semana uluk@
@late@|@tarde@
@later@|@liu tiha@
@later on@|@orasida@
@laundry@|@fase-ropa fatin@
@laurel tree@|@loru tahan@
@law@|@lei, ukun-fuan@
@laziness@|@baruk teen@
@lazy@|@baruk, baruk-teen@
@lead@|@makdadi@
@leaf@|@ai-tahan, ai tahan, tahan@
@leaf tip@|@dikin@
@leaf vegetables@|@modo-tahan@
@lean against@|@sadere@
@learn@|@aprende@
@leather@|@karau kulit@
@leave@|@husik@
@leech@|@susu-raan@
@left@|@karuk@
@leki berek has run away@|@leki berek halai tiha ona@
@lemon@|@derok, derok masin, saburaka siin, subraka siin, suburaka siin@
@lemonade@|@limonada@
@lend@|@fó-empresta@
@lesson@|@lisaun@
@letter@|@karta, surat@
@level@|@belak@
@lever@|@ai-suak@
@library@|@biblioteka@
@lick@|@belo@
@lick pussy@|@lambe huin@
@lie@|@lia-bosok@
@life@|@vida@
@lift by fingers@|@bi'it@
@light@|@kmaan@
@light (in colors)@|@naroman@
@light rain@|@udan rahun@
@lightning@|@rai-lakan@
@like@|@gosta, hanesan@
@like this/that@|@nune'e@
@lime@|@derok-masin@
@lime of stone@|@ahu@
@line up@|@hakadak@
@lion@|@leaun@
@lip@|@ibun-kulit@
@listen@|@rona@
@lit@|@ibun kulit@
@little@|@la dun@
@little finger@|@limafuan-ki'ik@
@liver@|@aten, aten metan@
@living room@|@saladevizitas@
@lizard@|@lafaek rai-maran@
@llech@|@matak@
@load@|@tula@
@locust@|@leka, sigarra@
@log@|@ai-knotak@
@loincloth@|@kafoli, kfoli@
@long@|@naruk@
@long ago@|@horiuluk@
@long time ago@|@keleur ona@
@long-sleeved shirt@|@kamiza@
@look@|@hateke@
@look for@|@buka@
@loosen@|@kore@
@lord@|@na'i@
@lose@|@lakon@
@lost a game@|@lakon@
@louse@|@utu@
@love@|@domin@
@low@|@kraik@
@low tide@|@tasi tun, tasti tun@
@lower@|@hatún@
@lukewarm@|@mamut@
@lunch@|@almosu@
@lung@|@aten-book@
@machete@|@katana@
@mad@|@bulak@
@magazine@|@revista@
@mahogamy@|@ai sarian@
@maid@|@feto uma-laran@
@maize@|@batar@
@malaria@|@bee-doko@
@male@|@-mane, mane@
@male animal@|@-aman@
@male of names@|@mau, mauk@
@male pawpaw@|@ai dila manen@
@man@|@mane@
@mandarin@|@derok-lotuk, subraka lotuk@
@mane of horse@|@dadinis@
@mange@|@merik@
@mango@|@haas@
@man's sister@|@feton@
@march@|@marsu@
@mare@|@kuda inan@
@Maria is bigger than John@|@Maria bo'ot liu Joao@
@market@|@basar, merkadu@
@marriage@|@barlake@
@marrow@|@dolen@
@masculine@|@amak@
@mass@|@lolon@
@mast@|@ro rii@
@master@|@amu@
@match@|@ahi kose, ai kose@
@Mau Bere went to Baukau@|@mau bere ba ona baukau@
@Mau Leto went home[@|@Mau Leto ba tiha uma@
@maul@|@kamat@
@may@|@maiu@
@may I go?@|@hau bele ba ona ka lae?@
@maybe@|@kal@
@me@|@ha'u, hau@
@meal@|@han-hemu, refeisaun@
@mean@|@nia arti@
@measure@|@sukat@
@measuring stick@|@ai sukat@
@meat@|@na'an@
@medicine@|@ai-moruk, ai moruk@
@melon@|@babuar-lotuk@
@mend@|@sukiu@
@midday@|@loro-natutun, loro manas, loro natuntun@
@middle@|@balu, klaran@
@middle finger@|@limafun-klaran@
@mild@|@kosok@
@mildew@|@kulapur@
@milk@|@susu ben, susubeen@
@mince@|@tetak@
@mine@|@ha'u-nian, ha'u nain@
@mint@|@karuda, karudu@
@minute@|@minutu@
@mirror@|@lalenok, lelenok@
@misfortune@|@rahun-aat@
@mist@|@abuabu, rai-abu@
@mistress@|@nona@
@mix@|@kahur@
@moan@|@hahihik@
@modest@|@harak-oin@
@moment@|@momentu@
@monday@|@loron-segunda, segunda@
@money@|@osan@
@monkey@|@lekirauk@
@month@|@fulan@
@moon@|@fulan@
@more@|@liután, resin, tan@
@morning@|@dadeer@
@mortar@|@nesun@
@mortar for crushing@|@lesun@
@mosquito@|@susuk@
@moss@|@lumut@
@mother@|@inan@
@mother-in-law@|@banin feto, inan-banin@
@mould@|@utur@
@mount@|@sa'e@
@mountain@|@foho, rai foho@
@mountain foot@|@rai hun@
@mountain top@|@rai tutun@
@mourning@|@lutu@
@mouse@|@laho@
@moustache@|@ibun-rahun@
@mouth@|@ibun@
@move@|@book, muda@
@movie@|@filme@
@much@|@barak@
@murky@|@merak@
@murmur@|@botu-botu@
@museum@|@muzeu@
@mushroom@|@kulat@
@music@|@múzika@
@must@|@tenki@
@mute@|@monok@
@mutual@|@malu@
@my@|@ha'u-nia@
@My fiend's name is Robert@|@Ha'u nia belu nia naran Robert@
@my life@|@hau nia moris@
@my name is@|@hau nia naran@
@My name is John@|@Ha'u nia naran John@
@My name is John.@|@Ha'u nia naran John.@
@My wife's name is Betty@|@Ha'u nia kaben naran Betty@
@nail@|@besi-kusan, besi-kusar, hedi, pregu@
@naked@|@isin-molik, tanan@
@name@|@naran@
@narrow@|@kloot@
@nasal mucous@|@kuus@
@nation@|@nasaun@
@national@|@nasionál@
@native doctor@|@matan dook@
@nausea@|@laran-sa'e@
@navel@|@husar@
@near@|@besik, rabat@
@neck@|@knoruk, kokorok@
@need@|@kuran, presiza@
@need not@|@lalika@
@needle@|@daun@
@neighbour@|@viziñu@
@nest@|@knuuk, manu-knuuk@
@net for shrimps@|@lahat@
@never@|@nunka@
@new@|@foun@
@news@|@lia-foun@
@newspaper@|@jornál@
@next week@|@semana mai, semana oin@
@nibble@|@ruu@
@night@|@kala, kalan@
@nine@|@sia@
@nineteen@|@sanulu-resin-sia@
@ninety@|@sianulu@
@nipple@|@susu matan@
@nit@|@lisak, utu-tolun@
@no@|@la, lae@
@noble class@|@dato@
@noise@|@barullu, lian, tarutu@
@none@|@la ida, la iha@
@noon@|@loro-natutun@
@north@|@loro rai, loro ruai, norte, tasi-feto@
@nose@|@inus@
@not@|@la'ós@
@not bad@|@Balu di'ak@
@not difficult@|@la tos@
@not much@|@la dun barak@
@not to@|@keta@
@not very@|@ladún@
@not yet@|@sei dauk, sei duak, seidauk@
@nothing@|@la-os, la buat ida@
@nourishment@|@hahan@
@november@|@novembru@
@now@|@agora, ona, oras-ne'e@
@nurse@|@enfermeira@
@obey@|@halo tuir, rona@
@obstruct@|@hanetik@
@occupation@|@serbisu@
@ocean@|@oseanu, tasi-boot@
@october@|@outubru@
@octopus@|@kuik, kurita@
@office@|@eskritóriu@
@often@|@beibeik@
@oil@|@meina, mina@
@old@|@tuan@
@old man@|@katuas@
@old woman@|@feik, ferik@
@on@|@ba, iha@
@on foot@|@la'o de'it@
@on left@|@iha karuk@
@on right@|@iha kuana, iha liman los@
@on the bottom@|@iha kidun@
@on top@|@iha tutin@
@once@|@dala ida, dalan ida@
@one@|@ida@
@one hundred@|@atus, atus ida@
@one hundred and five@|@atus-resin-lima@
@one hundred thousand@|@tokon@
@one only@|@ida de'it@
@one thousand@|@rihun ida, ruhan ida@
@onion@|@liis, lis bot@
@only@|@de'it, mesa@
@open@|@nakloke@
@operation@|@oerasaun@
@opposite side@|@sourin balu@
@or@|@ka@
@or else@|@selae@
@or not?@|@ka lae?@
@orange@|@derok, sabraka, sabruka, saburaka, subraka@
@order@|@haruka@
@orphan@|@oan-kiak, oan kiak@
@our@|@ami-nia, ita-nia, ita nia@
@our country@|@ita nia rai@
@our family's car@|@ami nia karreta@
@ours@|@ami-nian, ita-nian, ita nian@
@outrigger@|@bero-liman@
@outside@|@liur@
@oven@|@ahi-matan@
@overseas@|@tasi balun@
@owl@|@kaku, kakutak, kuku@
@owner@|@na'in@
@oxen@|@karau uaka@
@oyster@|@tiran@
@pace@|@hakat ain@
@package@|@futun@
@packet@|@falun, pakote@
@paddy field@|@natar@
@pain@|@moras@
@painting of art@|@pintura@
@palace@|@kadunan@
@pale@|@oin-kamutis@
@palm@|@liman tanen@
@palm of hand@|@hakdirun@
@palm tree@|@tali-hun@
@palm wine@|@tuak@
@pandanus@|@hedan@
@papaya@|@ai-dila@
@papaya fruit@|@ai dila fuan@
@papaya tree@|@ai dila@
@paper@|@surat, surat-tahan@
@parafin@|@mina-rai@
@parcel@|@falun@
@parents@|@aman-inan@
@parrot@|@loriku@
@party@|@festa@
@pay@|@selu@
@pea@|@eravila, tunis@
@peace@|@dame, pás@
@peanut@|@fore-rai, forei rai@
@pearl@|@mutisala@
@peg@|@kusa@
@pen@|@kaneta, luhan@
@pencil@|@lapis@
@penis@|@lasan, uti@
@people@|@povu@
@pepper@|@pimenta@
@perform@|@hala'o@
@perfume@|@mina-morin@
@person@|@ema@
@persuade@|@hamaus@
@pestle@|@alu, alun@
@petal@|@ai funan kinas, kinas@
@petrol@|@gazolina@
@pick@|@ku'u@
@pick up@|@hili@
@picture@|@ilas@
@piece@|@baluk, pedasuk@
@pig@|@fahi@
@pigeon@|@falur, laketeu, pombu@
@pillow@|@kluni, xumasu@
@pimply@|@fuak@
@pinch@|@ku'u@
@pineapple@|@ai-nanas, ananas@
@pink@|@kór-roza@
@pitcher@|@lolo@
@pity@|@sadi'a@
@place@|@fatin, tau@
@place together@|@harabat@
@plain@|@rai-tetuk@
@plait@|@dalis@
@plank@|@ai kebelak@
@plant@|@kuda@
@plastic@|@plástiku@
@plate@|@bikan, hanek@
@play@|@joga@
@play cards@|@joga surat@
@please don't go yet@|@favor ida keta ba lae@
@please help me!@|@halo favor ajuda hela hau!@
@please hurry!@|@halo lalais!@
@pliers@|@besi-kakatua@
@plough@|@fila rai@
@plough up@|@so'o@
@plump@|@kabuar@
@poison@|@morun, venenu@
@police@|@polísia@
@pond@|@debu@
@poor@|@kiak@
@pork@|@na'an-fahi@
@position@|@fatin@
@possess@|@soi@
@possible@|@bele, posivel@
@possum@|@laku@
@post@|@ai rii, ai riin@
@post office@|@korreius, uma-korreiu@
@pot for cooking@|@sanan@
@pot for storage@|@kusi@
@potato@|@fehuk-ropa, fehuk ropa@
@pouch@|@kohe@
@pound@|@fai@
@pour@|@kiak@
@pour kiquid@|@fui@
@pour liquid@|@fui@
@praise@|@hahi'i@
@pray@|@hamulak, harohan@
@precipice@|@rai horun@
@pregnant@|@kabuk, kou'us@
@prehaps@|@karik@
@press@|@hanehan@
@pretend@|@finje@
@prevent@|@hakahik, hatau@
@previously@|@nanis@
@price@|@folin, presu@
@prick@|@sona@
@priest@|@amlulik, na'ilulik@
@prince@|@liurai-oan@
@prison@|@dadur, dadur-fatin, kadeia@
@prisoner@|@ema-dadur, ema dadur, prizoneiru@
@proceed@|@ba@
@proud@|@foti-oin@
@pub@|@bar@
@pull@|@fokit@
@pull out@|@fukit@
@pumpkin@|@lakeru@
@punish@|@kastigu@
@pupil@|@matan oan@
@purple@|@kór-violeta@
@purse@|@bolsa@
@push@|@dudu@
@Put the bandage on this wound@|@Tau hena iha kanek ne'e@
@python@|@foho rai, fohorai@
@quail@|@fafiur, kiukae@
@quarrel@|@haksesuk@
@queen@|@liurai-feto@
@question@|@husu lia, lia-husu, pergunta@
@question tag@|@ka lae?@
@quick@|@lais@
@quickly@|@lailais, lalais@
@rabbit@|@koellu@
@radio@|@rádiu@
@railway@|@kamiñudeferru@
@railway station@|@estasaun@
@rain@|@udan@
@rainbow@|@baur@
@raining@|@udan tau@
@rainshield@|@salurik@
@raise@|@hi'it@
@rake@|@ai-knaar@
@range@|@rai lolon@
@rat@|@laho@
@rattle@|@nakdoko@
@ravine@|@rai-olat@
@really@|@tebetebes@
@red@|@mean@
@red wine@|@tua-tintu@
@reef@|@meti, meti-ulun@
@refrigerator@|@jeleira@
@refuse@|@lakohi, lakoi@
@rejoice@|@haksolok@
@relate@|@konta@
@relative@|@parente@
@relatives@|@maluk@
@religion@|@relijiaun@
@remember@|@hanoin-hetan@
@repair@|@hadi'a@
@repay@|@selu@
@repent@|@hanoin-hikas@
@reprimand@|@haksi'ak@
@resin@|@ai-been, ai ben@
@ressist@|@tuba rai@
@restaurant@|@restaurante, uma han@
@return@|@fila fali@
@rib@|@knosen-ruin@
@rice@|@hare@
@rice cooked@|@etu@
@rice cooked in leaf@|@katupa@
@rice gruel@|@sasoro@
@rice paddy@|@hare natar@
@rice powder@|@badaak@
@rice stem@|@hare kain@
@rich@|@kmaus, maksoik, riku@
@riddle@|@ai-sasi'ik@
@rifle@|@kilat@
@right@|@kuana@
@right. straight@|@loos@
@ring@|@kadeli@
@ring finger@|@limanfuan-kadeli@
@ripe@|@tasak, taska@
@river@|@mota@
@river (lower reaches)@|@mota ain@
@river bed@|@mota suli@
@river lower reaches@|@mota ain@
@river mouth@|@mota ibun@
@road@|@dalan-inan@
@roast@|@sona, tunu@
@rock@|@fatuk@
@roll@|@duir@
@roll up@|@bobar, lulun@
@roof@|@kakuluk, uma-kakuluk@
@room@|@kuartu, tobi@
@rooster@|@manu-aman@
@root@|@abut, ai abut@
@rope@|@tali, talin@
@rose@|@ai nar@
@rose brush@|@ai nar@
@rotten@|@dodok@
@rough@|@krutuk@
@rough sea@|@tasi boot@
@round@|@kabuar@
@row@|@hean@
@rowdy@|@haksi'ak@
@rub@|@kose@
@rudder@|@kamudi@
@run away@|@halai@
@sack@|@buu, ka'ut, karól, karón, kbuu@
@sacred@|@lulik@
@sad@|@laran-kraik, oin kraik@
@saddle@|@kuda-kusin, selan@
@saddle bag@|@kotu kotuk@
@safety matches@|@ahi-kose@
@saffron@|@kinur@
@sago@|@aka, akar@
@sail@|@laan@
@sailor@|@ema-ró, mariñeiru@
@salary@|@kolen, saláriu@
@saliva@|@kabeen@
@salt@|@masin@
@salty@|@meer@
@same@|@hanesa, oin-ida, oin-ida de'it@
@sand@|@rai-henek, rai henek@
@sandalwood@|@ai-kameli, ai kameli@
@sap@|@ai uen@
@sarong@|@lipa@
@saturday@|@loron-sábadu, sabadu@
@sausage@|@xourisu@
@savage@|@buis@
@saw@|@kado, kadoo, serrote@
@sawdust@|@ai rahun@
@say@|@dehan@
@scales@|@kikit@
@scar@|@fitar@
@scatter@|@kari@
@scent@|@mourin@
@school@|@eskola@
@scissors@|@kateri@
@scoop water@|@kuru@
@scorch@|@sunu@
@scorpion@|@sakunar@
@scratch@|@koi@
@screwpine@|@hedan@
@sea@|@tasi@
@sea bottom@|@tasi kidun@
@sea cucumber@|@manabe@
@sea urchin@|@teon@
@sea water@|@tasi be@
@seas@|@tasi@
@seashell@|@sipu@
@second@|@sekundu@
@secret@|@lia suik, sumik@
@see@|@hare@
@seed@|@musan@
@seek@|@buka@
@seldom@|@dala balu de'it@
@-self@|@an@
@sell@|@fa'an@
@sell fish@|@lori ikan@
@send@|@haruka@
@separate@|@haketak, ketak@
@september@|@setembru@
@servant@|@mane uma-laran@
@serve@|@serbi@
@serve meal@|@suru@
@sesame@|@lena@
@seven@|@hitu, nitu@
@seventeen@|@sanulu-resin-hitu@
@seventy@|@hitunulu@
@sever@|@hakotu@
@sew@|@suku@
@shade@|@ai mahon, mahan, mahon@
@shadow@|@lalatak@
@shake@|@doko, liki, nakdoko@
@shallow@|@klarek@
@shame@|@moe@
@shark@|@ikan-gama, uu@
@sharp@|@kro'at, meik@
@sharpen@|@kadi@
@she@|@nia@
@sheath@|@knuan@
@shed@|@bagansál, klobor@
@sheep@|@bibi-malae, bibi malae@
@shield@|@kalili@
@shimp@|@boek@
@ship@|@ró-ahi, ró-tasi@
@shirt@|@faru@
@shoes@|@sapatu@
@shoot@|@ai tahan dikin@
@shop@|@loja, toko, xina-uma@
@shore@|@tasi-ibun@
@short@|@ain-badak, badak@
@short-sleeved shirt@|@kamizola@
@shoulder@|@kabaas, kbas, kebas@
@shout@|@hakilar@
@shred@|@kles@
@shut@|@sulan, taka@
@shy@|@moe@
@sick@|@isin-moras, laran moras, moras@
@side@|@sorin@
@silent@|@hakmatek, kalma, nonook@
@silk@|@suta@
@silver@|@murak-mutin, osamutin, osan-mutin, osan mutin@
@similar@|@hanesan, oin-hanesan@
@sin@|@sala@
@since@|@hori@
@sing@|@hananu@
@singer@|@kantadór@
@single nobleman@|@klosan@
@sink@|@mout@
@sir@|@na'in, señór@
@sister@|@biin@
@sister-in-law@|@ka'an@
@six@|@neen@
@sixteen@|@sanulu-resin-neen@
@sixty@|@neenulu@
@skewer@|@tuu@
@skin@|@kulit@
@skinny@|@krekas@
@skirt@|@saia@
@skull@|@ulun-ruin, ulun fatuk@
@sky@|@lalehan@
@slap@|@basa@
@slash@|@saki@
@slave@|@atan@
@sleep@|@dukur@
@sleeping area@|@lantent@
@sleeping mat@|@biti@
@sleepy@|@matan-dukur@
@sleeve@|@faru-liman@
@slice@|@laba, tilak@
@slide@|@namdoras@
@slope of hill@|@rai klean@
@slowly@|@neineik@
@slug@|@babuku@
@small@|@ki'ik, uit oan@
@small change@|@osan-rahun@
@small marsupial@|@meda@
@smallpox@|@kolar@
@smash@|@harahun@
@smell@|@dois, iis@
@smile@|@hatudu oin-midar@
@smoke@|@ahi-suar, ahi suar@
@smoke of food@|@tamun@
@smoke tobacco@|@fuma@
@smooth@|@kabeer@
@snail@|@babuk, babuku, kudaku@
@snake@|@samea@
@snap@|@kotu@
@sneeze@|@fani@
@snip@|@teri@
@snore@|@nakoron@
@snot@|@inus-teen, inus been@
@snow@|@neve@
@so@|@entaum@
@so much@|@nahun@
@so that@|@para@
@soak@|@hoban@
@soap@|@sabaun@
@sock@|@meias@
@soft@|@mamar@
@soft bag@|@bornál@
@soldier@|@soldadu@
@sole of foot@|@ai-tanen@
@solid@|@metin@
@some@|@aruma, balu@
@something@|@buat ruma, rumah@
@sometimes@|@dala balu@
@son@|@oan-mane@
@son of a bitch@|@puta kepariu@
@song@|@ai-knananuk, kananu@
@song sung at gatherings@|@dahur@
@son-in-law@|@mane-foun@
@soon@|@lakleur, orasida@
@soot@|@sanametan@
@sorcerer@|@buan@
@soul@|@klamar@
@soul of dead person@|@matebian@
@soup@|@modo-been, modo ben, sopa@
@sour@|@siin@
@south@|@loro lor, súl, tasi-mane@
@sow seed@|@kudsa@
@soy bean@|@forei keli@
@space@|@let@
@sparrow@|@manu-liin@
@speak@|@hateten, ko'a lia@
@spear@|@dima, diman@
@spell@|@maninga@
@spend@|@gasta@
@spider@|@bere-loik, labadain@
@spill@|@fakar@
@spin cloth@|@ti'i@
@spine@|@kotuk-ruin@
@spinster@|@feto-klosan@
@spirit of dead@|@mate klamar@
@spoil@|@estraga@
@spoon@|@kanuru@
@sport@|@desportu@
@spot@|@fatin@
@spread@|@lekar@
@spring@|@be matan@
@spur for cock fighting@|@tara@
@spy@|@hafuhu@
@square@|@prasa@
@squeeze@|@buti, kumu@
@stab@|@suku@
@stable@|@kuda luhan@
@stairs@|@eskada, odan@
@stake@|@ai riin, riin@
@stamp@|@selus@
@star@|@fitun@
@stare@|@fihir@
@steam of food@|@kukus@
@steam ship@|@ro ahi@
@steel@|@asu, besi-asu, besi asu@
@stem@|@kain@
@step@|@odan@
@stick@|@ai-dona, belit@
@sting@|@sona@
@stingray@|@hai@
@stinly pussy@|@huin dois@
@stockings@|@meias@
@stomach ache@|@kabun dulas, kabun moras@
@stone@|@fatuk@
@stop@|@hapara, tiba@
@storm@|@anin-fuik@
@story@|@ai-knanoik@
@straight@|@los@
@straight tree@|@ai los@
@strawberry@|@morangu@
@stream@|@dadalak@
@street@|@dalan, liurón, lurón@
@strength@|@biit, kbiit@
@stretcher@|@hadak@
@strip@|@kolu@
@strive@|@haka'as an@
@strong@|@forte, maka'as, rosak@
@strong wind@|@anin boot, uarta@
@student@|@estudante@
@stupid@|@beik, beik@
@suck@|@mo'at@
@suck dick@|@susu lasan@
@suck my dick@|@susu hau nia lasan@
@suckle@|@susu, susun@
@suddenly@|@tekitekir@
@suffer@|@terus@
@sugar@|@masin-midar, masin maidar@
@sugarcane@|@au touhu, tohu@
@suit@|@fatu-pár@
@sun@|@loro, loro-matan, loron@
@sun hat@|@tudón@
@sunday@|@domingo, domingu, loron-domingu@
@sunny weather@|@rai-loro@
@sunrise@|@loro sa'e, lorosae@
@sunset@|@loron monu@
@superlative@|@liu@
@supper@|@han-kalan@
@support@|@sadere@
@surface@|@leten@
@surround@|@hale'u@
@swallow@|@tolan@
@swamp@|@be kolan, kolan@
@swear@|@hotar@
@sweat@|@kosar, kosar-been@
@sweater@|@faru-manas, pulover@
@sweep@|@dasa@
@sweet@|@midar@
@sweet corn@|@batar nurak@
@sweet potato@|@fehuk-midar, fehuk mida@
@sweet sop@|@ai-ata@
@sweet sop (wild)@|@ai-ata nona, ai-nona@
@sweet yam@|@kumbili@
@swell@|@bubu@
@swin@|@nani, nanin@
@swing@|@boi@
@sword@|@surik@
@syringe@|@baburit@
@table@|@meza@
@tail@|@ikun@
@tailor@|@badain-faru@
@tall@|@ain-aas@
@tamarind@|@sukaer, sukair@
@tame@|@maus@
@taro@|@talas, taras@
@taste@|@koko@
@taste liquids@|@timis@
@taste solids@|@tamis@
@tasty@|@furak@
@tea@|@sa, xá@
@teach@|@hanourin@
@teacher@|@guru, mestre@
@teacher male@|@profesór@
@teacher woman@|@mestra, profesora@
@tear@|@lees, les, matan-been@
@tears@|@luun@
@telephone@|@telefone@
@temple@|@tilun-hun@
@temple of head@|@kikir@
@tempt@|@babeur, tenta@
@ten@|@sanulu@
@ten thousand@|@reben@
@termite@|@mirain@
@testicles@|@lasan-fuan, lasan fuan@
@teti berek is still having a bath@|@teti berek sei haris@
@thank@|@fó neon@
@thank you@|@hau diak obrigado@
@thank you very much@|@obrigado barak@
@thanks@|@obrigado, obrigadu@
@that@|@katak, ne'e, ne'e ba, ne'ebá@
@that is good enough@|@naton ona, ne'e di'ak ona@
@that those@|@ide ne'e ba@
@the big fish@|@ikan bo'ot nee@
@The bus arrives at one o'clock@|@Bus mai tuku ida@
@the day after tomorrow@|@bainura@
@The people of East Timor@|@Povu Timor Lorosa'e nian@
@The Timorese are not Indonesians@|@Timor oan la'ós Indonézia oan@
@their@|@sira-nia@
@theirs@|@sira-nian@
@there@|@iha ne'e ba, iha ne'ebá@
@therefore@|@ne'e duni, nu'u ne'e@
@these@|@ne'e mai@
@they@|@sira, sira sia@
@They have arrived some time ago@|@Sira to'o tiha@
@they threw a stone in the water@|@sire tiha fatuk ba ue@
@thick@|@bokar, mahar@
@thief@|@na'ok-teen@
@thigh@|@ain-kelen, kelen@
@thin@|@krekas, mihis@
@thing@|@buat@
@think@|@hanoin@
@thirty@|@tolunulu@
@this@|@ide ne'e, ne'e@
@this one@|@ida ne'e mazi, ide ne'e@
@this time@|@iha oras ne'e@
@thorn@|@ai tarak@
@thousand@|@rihun@
@thread@|@kabas-lahan, lahan@
@threaten@|@ameasa, tatera@
@three@|@tolu@
@thristy@|@hamrook@
@throat@|@kakorok@
@thron@|@ai-tarak@
@throw away@|@soe@
@thumb@|@kukamak, limafuan-boot@
@thunder@|@kukur, rai-tarutu, rai tartutu@
@thursday@|@loron-kinta, quinta@
@thus@|@nune'e@
@ticket@|@billetu@
@tickle@|@kili@
@tie@|@gravata, kesi@
@tie up@|@futu@
@time@|@oras, tempu@
@times@|@dala@
@timid@|@fodak@
@tin@|@kaleen, kalen@
@tired@|@kole@
@tirty@|@tolu nulu@
@to@|@ba@
@to agree@|@hatán@
@to alight from@|@tun hosi@
@to alter@|@hakfilak@
@to answer@|@hatán@
@to ask@|@husu@
@to bathe@|@hariis@
@to be born@|@moris@
@to become mouldy@|@nakfunan@
@to begin@|@hahu, hahú, komesa@
@to break@|@kotu@
@to break accidentally@|@tohar@
@to break deliberately@|@silu@
@to build@|@halo, harii@
@to bury@|@hakoi@
@to carry@|@lori@
@to close@|@taka@
@to continue@|@kontinua, tuir@
@to converse@|@konversa@
@to cook@|@te'in@
@to crow@|@koa@
@to cut@|@ko'a@
@to die@|@mate@
@to draw@|@hakerek@
@to dress@|@hatais@
@to drink@|@hemu@
@to drive a car@|@kaer karreta@
@to dye@|@fase ho tinta@
@to eat@|@han@
@to explain@|@esplika@
@to faint@|@oin-nakukun@
@to feel@|@sente@
@to fight@|@funu@
@to fight one another@|@baku malu@
@to find@|@ketan@
@to finish@|@hotu, ramata@
@to forget@|@haluha@
@to fuck@|@het@
@to get angry@|@hirus@
@to get married@|@kaben@
@to go@|@bá@
@to hate@|@hakribi, odi@
@to heap@|@bou@
@to hope@|@espera@
@to hurt@|@moras@
@to invite@|@konvida@
@to joke@|@hatete-halimar@
@to jump@|@haksoit@
@to kiss@|@re'i@
@to know a person@|@hatene, koñese@
@to laugh@|@hamnasa@
@to learn@|@buka-hatene@
@to lie@|@bosok@
@to lie down@|@latan@
@to live@|@hela, horik, moris@
@to lock@|@taka metin@
@to look at@|@hateke ba@
@to love@|@hadomi@
@to meet@|@hasoru@
@to notice@|@haree-hetan, nota@
@to obtain@|@hola@
@to open@|@loke@
@to paint@|@pinta@
@to pay@|@selu@
@to phone@|@telefona@
@to photograph@|@hasai retratu@
@to play@|@halimar@
@to play music@|@toka@
@to post@|@haruka@
@to postpone@|@adia@
@to pronounce@|@pronunsia@
@to pull@|@dada@
@to read@|@lee@
@to rest@|@deskansa@
@to return@|@hafila@
@to run@|@halai@
@to see@|@hare, haree@
@to shave@|@koir@
@to shine@|@nabilan@
@to show@|@hatudu@
@to sing@|@kanta@
@to sit@|@tuur@
@to sleep@|@toba@
@to smash@|@fera@
@to smile@|@halo oin-midar@
@to speak@|@ko'alia@
@to spit@|@tafui@
@to spite@|@tafe@
@to stamp the feet@|@teik@
@to stand@|@hamriik@
@to steal@|@na'ok, na'uk@
@to stop@|@para@
@to swin@|@hariis@
@to take@|@lori bá@
@to take off@|@hasai@
@to teach@|@hanorin@
@to tell@|@haktuir, hatete@
@to thank@|@agradese@
@to thresh grain@|@be'u@
@to travel@|@halo viajen@
@to turn off the light@|@hamate ahi-oan@
@to turn on the light@|@sunu ahi-oan@
@to wait@|@hein@
@to wake up@|@hadeer@
@to win@|@manán@
@to work@|@knaar, serbisu@
@to write@|@hakerek@
@toast@|@lalar@
@tobacco@|@tabaku@
@today@|@ohin@
@toe@|@ain-fuan@
@together@|@hamutu, hamutuk@
@toilet@|@liur fatiun, sentina, soe-bee fatin@
@tomato@|@tomate@
@tommorow@|@loron aban@
@tomorrow@|@aban@
@tongs@|@besi-laknabit@
@tongue@|@nanal, nanál@
@too many@|@resikliu@
@too much@|@demais, liu tan, resik@
@tooth@|@nehan@
@toothache@|@nehan-moras@
@toothbrush@|@eskova-nehan@
@toothpaste@|@pasta-nehan@
@top@|@tutun@
@touch@|@bok, kona, lamas@
@town@|@kota, vila@
@track@|@dalan@
@tradesman@|@badain@
@traffic@|@tránzitu@
@train@|@komboiu@
@trample@|@sama@
@transfix@|@tuu@
@travel@|@la'o@
@travel about@|@lemu@
@treacherous@|@laran makerek@
@tree@|@ai-hun@
@tree base@|@ai hun@
@tree-top@|@ai-leten@
@tremble@|@nakded ar, nakdedar@
@tricky@|@makerek@
@trim@|@lere@
@trouble@|@susar@
@troublemaker@|@kbabut@
@trousers@|@kalsa@
@true@|@loos@
@truly@|@tebes@
@trunk@|@ai-lolon@
@trunk of a tree@|@ai lolon@
@truth@|@lia-loos@
@try@|@koko@
@tuber of all kinds@|@fehuk@
@tuesday@|@loron-tersa, tersa@
@turn@|@fila@
@turtle@|@lenuk@
@turtledove@|@lakateu@
@TV@|@televizaun@
@TV set@|@televizór@
@twelve@|@sanulu-resin-rua@
@twenty@|@duapuluh, ruanulu@
@twenty one@|@ruanulu resin ida@
@twenty-five@|@ruanulu-resin-lima@
@twenty-one@|@ruanulu-resin-ida@
@twin@|@oan-kaduak@
@twist@|@dulas, sulas@
@two@|@rua@
@two hundred forty six@|@atus rua haatnulu resin neen@
@ugly@|@oin aat@
@ugly people@|@oin-aat@
@ugly thing@|@lafurak@
