@English@|@Hebrew@
@dress (vb.)@|@lavesh@
@dribble@|@kidrer@
@drink (n.)@|@mashqe@
@drink (vb.)@|@shata@
@drive@|@nahag@
@drive out@|@nadah'@
@driver (f.)@|@naheget@
@driver (m.)@|@nehag@
@driver's license@|@rishyon nehiga@
@drop (n.)@|@tipa@
@drought@|@h'orev@
@dry@|@h'arev@
@dry (adj.)@|@yavesh@
@dry (vb.)@|@qalat, safag@
@dry: become ~ / make ~@|@yavash@
@dryness@|@h'orev@
@duck@|@barvaz@
@duration@|@orekh@
@dust@|@afar, avaq@
@Dutch (language)@|@holandit@
@duty@|@mishmeret@
@dwell@|@gar, hitgorer, yashav@
@dwelling@|@mishkan, moshav@
@e.g.@|@limashal@
@eagle@|@ayit@
@ear@|@ozen@
@early@|@muqdam@
@earth@|@adama@
@Earth@|@adama, erets@
@earthquake@|@ra"ash@
@east@|@mizrah', qadim, qedem@
@eat@|@akhal@
@economics@|@kalkala@
@edge@|@pe'a@
@edit@|@rakh@
@editorial board@|@ma"arekhet@
@editorial staff@|@ma"arekhet@
@education@|@tinukh@
@egg@|@beytsa@
@Egypt@|@mitsrayim@
@Egyptian@|@mitsri@
@eight (f.)@|@shmone@
@eight (m.)@|@shmona@
@eighteen (f.)@|@shmone-esre@
@eighteen (m.)@|@shmona-asar@
@eighth (f.)@|@shminit@
@eighth (m.)@|@shmini@
@eighty@|@shmonim@
@elbow@|@marpeq@
@elect@|@bah'ar@
@electrician@|@h'ashmalla@
@electricity@|@h'ashmal@
@electrify@|@h'ishmel@
@elephant@|@pil@
@elevator@|@ma"alit@
@eleven (f.)@|@ah'at-esre@
@eleven (m.)@|@ah'ad-asar@
@eleventh (f.)@|@ha'ah'at-esre@
@eleventh (m.)@|@ha'ah'ad-asar@
@elk@|@ayal@
@else@|@od@
@e-mail@|@do'ar eleqtroni@
@emissary: immigration ~@|@shaliah' aliya@
@empty (adj)@|@reyq@
@encamp@|@h'ana@
@encampment@|@mah'ane@
@enemy@|@oyev, tsar@
@engine@|@mikhona@
@engineering@|@handasa@
@England@|@angliya@
@English (adj.)@|@angli@
@English (language)@|@anglit@
@engrave stone@|@pitah'@
@Enjoy your meal!@|@bete'avon!@
@enough@|@day@
@enough of@|@dey@
@entangled: become ~@|@histabel@
@enter@|@bo', nikhnas@
@entitled@|@zaka'i@
@entrance@|@mavo, petah'@
@envelope@|@ma"atafa@
@envy@|@qine'@
@equal (to)@|@shave (l-)@
@era@|@zman@
@erect@|@hitsiv@
@err@|@ta"a@
@error@|@shgi'a@
@escape (n.)@|@malat@
@establish@|@yasad@
@establishment@|@mosad@
@eternally@|@netsah', tamid@
@eulogise@|@safad l-@
@evade@|@hishtamet@
@evaluate@|@he"erikh@
@evening@|@erev@
@evening: good ~ !@|@erev tov!@
@event@|@eruah', miqre@
@ever since@|@me-az@
@every@|@kol@
@everybody@|@kol eh'ar, kulam@
@everyone@|@kol eh'ar, kulam@
@everything@|@hakol@
@everything is fine / alright!@|@hakol beseder!@
@everything that@|@kol ma she@
@evident@|@barur@
@evil@|@ra"@
@evil: be ~@|@ra"a"@
@exam@|@beh'ina, mivh'an@
@examine@|@bah'an@
@example@|@mashal@
@excellent@|@mitsuyan@
@except@|@zulat@
@exchange@|@hitstin@
@exchange (money)@|@parat@
@excitability@|@ragshanut@
@excited: be ~@|@ragash@
@excited: become ~@|@hitragesh@
@excuse@|@teyruts@
@excuse me!@|@slih'a@
@execute@|@bitsea"@
@exemption@|@ptor@
@exercise (n.)@|@targil@
@exit@|@motsa@
@Exodus (bibl.)@|@shmot@
@expand@|@pitah'@
@expect@|@tsipa, yih'el@
@expel@|@geresh@
@expensive@|@yaqar@
@experience (vb.)@|@hitnassa (b-)@
@exploitation@|@osheq@
@express mail@|@do'ar eqspres@
@extortion@|@osheq@
@extradite@|@hisgir@
@exult@|@gil@
@eye@|@ayin@
@eye glasses@|@mishqafayim@
@eyes@|@eynayim@
@eze@|@which (m. s.)@
@ezo@|@which (f. s.)@
@face@|@panim@
@facing@|@mul@
@faith@|@emuna, tiqva@
@faithful: be ~@|@ne'eman@
@fall@|@karav, nishpakh@
@fall (n.)@|@stav@
@fall (rain / snow)@|@yarad@
@fall (vb.)@|@nafal@
@fall in love@|@hit'ahev@
@fall on@|@hitnapel (al)@
@families@|@batim@
@family@|@bayt, mishpah'a@
@family law@|@diney mishpah'a@
@famine@|@ra"av@
@far@|@rah'ok@
@far away@|@merh'aq@
@far: be ~ off@|@rah'aq@
@farmer@|@h'aqla'i, ikar@
@fast (adv.)@|@maher@
@father@|@av@
@favor@|@h'en@
@favor (n.)@|@ratson@
@favour (n.)@|@ratson@
@favour (vb.)@|@h'anan@
@fax@|@faqs@
@fear (n.)@|@pah'ar@
@fear (vb.)@|@yare'@
@fear (vb.). be afraid@|@pah'ad@
@fearful@|@yare@
@feast@|@mishte@
@February@|@febru'ar@
@fed up: be ~@|@nam'as (al)@
@fed: be ~@|@nazon (al)@
@feed person@|@lah'am@
@feel@|@hirgish@
@female@|@niqeva@
@female (gender)@|@neqeva@
@feminine@|@neqeva, niqeva@
@ferry@|@ma"boret@
@festival@|@h'ag@
@fever@|@h'om@
@few (f.)@|@ah'adot, me"atot@
@few (m.)@|@ah'adim, me"atim@
@fidelity@|@amet@
@field@|@h'elqa, shade@
@fifteen (f.)@|@h'amesh-esre@
@fifteen (m.)@|@h'amisha-asar@
@fifth (f.)@|@h'amishit@
@fifth (m.)@|@h'amishi@
@fifty@|@h'amishim@
@figure (n.)@|@dimut@
@fill@|@mille'@
@filled@|@male@
@film@|@seret@
@find@|@matsa'@
@find guilty@|@hirshia"@
@find strange@|@nikar@
@fine@|@beseder@
@finger@|@etsba"@
@finish@|@gamar@
@finish (vb.)@|@kala@
@finished: be ~@|@nigmar@
@fire@|@esh@
@firm (adj.)@|@h'azaq@
@first (f.)@|@rishona@
@first (m.)@|@rishon@
@fish (n.)@|@dag@
@fisherman@|@dayag@
@fist@|@egrof@
@fit (adj.)@|@mat'im@
@five (f.)@|@h'amesh@
@five (m.)@|@h'amisha@
@flag@|@degel@
@flee@|@barah', nus@
@flesh@|@basar@
@flight@|@nilh'am, tisa@
@fling@|@zaraq@
@flock(s) (sheep and goats)@|@tson@
@flood (vb.)@|@shataf@
@flour@|@qemah'@
@flow@|@zav@
@flower@|@perah'@
@fly (by plane)@|@tas@
@food@|@leh'em, ma'akhal, okhel, okhla@
@foolish@|@ksil@
@foot@|@kaf-regel, regel@
@for@|@ki@
@for example@|@limashal@
@for free@|@h'inam@
@for instance@|@limashal@
@for whom?@|@lemi?@
@forbid@|@asar@
@forbidden@|@asur@
@force (n.)@|@koah@
@forecast: weather ~@|@tah'azit mezeg ha"avir@
@foreign@|@nakhri@
@foreigner@|@ben nekhar, ish nakhri, nekhar@
@forest@|@ya"ar@
@forever@|@netsah'@
@forget@|@shakhah'@
@forgive@|@salah'@
@forgive me!@|@slih'a@
@forhead@|@metsah'@
@fork@|@mazleg@
@fornication@|@taznut, znut@
@forsake@|@natash@
@forward@|@qadima@
@found@|@yasad@
@found: be ~@|@nimtsa@
@foundation@|@yesod@
@fountain@|@ma"iyan@
@four (f.)@|@arba"@
@four (m.)@|@arba"a@
@fourteen (f.)@|@arba"-esre@
@fourteen (m.)@|@arba"a-asar@
@fourth (f.)@|@rvi"it@
@fourth (m.)@|@rvi"i@
@fourty@|@arba"im@
@fox@|@shu"al@
@France@|@tsarfat@
@fraternity@|@ah'va@
@fraud@|@mirma@
@free@|@h'inam@
@freedom@|@h'ofesh@
@freight train@|@rakevet masa'@
@French (language)@|@tsarfatit@
@French fries@|@tsips@
@fresh@|@tari@
@Friday@|@erev shabbat, yom shishi@
@fridge@|@maqrer@
@friend@|@h'aver@
@frightened: be ~@|@nivhal@
@frog@|@tsfardea"@
@from@|@m-, me-, mi-, min@
@from her@|@mimena@
@from him@|@mimeno@
@from me@|@mimeni@
@from them (f.)@|@mehen@
@from them (m.)@|@mehem@
@from then on@|@me-az@
@from this day on@|@min hayom hazzehivahol'a@
@from time to time@|@mipa"am lepa"am@
@from us@|@mimenu@
@from where@|@me'an, me'ayin@
@from whom?@|@bishbil mi?@
@from you (f. pl.)@|@mikhen@
@from you (f. sg.)@|@mimekh@
@from you (m. pl.)@|@mikhem@
@from you (m. sg.)@|@mimkha@
@front@|@ma"arakha@
@fruit@|@pri@
@fry@|@tigen@
@full@|@male@
@full stop@|@niquda@
@funicular@|@raqevel@
@furious: be ~@|@qatsaf (al)@
@furute (adj.)@|@atidi@
@fury@|@qetsef@
@future (n.)@|@atid@
@future tense@|@atid@
@gain@|@itron@
@galaxy@|@galaksya@
@garden@|@gan@
@gardener (f.)@|@gannanet@
@gardener (m.)@|@gannan@
@garlic@|@shum@
@gate@|@petah', sha"ar@
@gateway@|@sha"ar@
@gather@|@asaf, yasaf@
@gather together@|@qavats@
@Gemini (astr.)@|@mazzal-te'omim@
@general (n.)@|@aluf@
@generality@|@klal@
@Genesis (bibl.)@|@breshit@
@Gentleman@|@adon@
@geography@|@gey'ografiya@
@German (language)@|@germanit@
@get@|@hissig, qibel@
@get away from@|@hitrah'eq (mi-)@
@get dressed@|@hitlabesh@
@get drunk@|@hishtakher@
@get extinguished@|@kava@
@get married@|@hith'aten@
@get out@|@yatsa'@
@get situated@|@hitmaqem@
@get up@|@qam@
@get used to@|@hitragel (l-)@
@gift@|@matana, mattana, minh'a, qarban@
@giraffe@|@girafa@
@girl@|@bah'ura, bat, na"arha, yalda@
@girls@|@banot@
@give@|@he"eniq, natan@
@give a drink@|@hishqa@
@give a talk@|@hirtsa@
@give attention@|@hiqshiv@
@give birth@|@yalad@
@give evidence@|@he"id@
@give servitude@|@sheret@
@glad: be ~@|@samah'@
@gladly@|@bshimh'a raba@
@glass (for drinking)@|@kos@
@glasses@|@mishqafayim@
@glory@|@kavod@
@go@|@h'alakh, halah', halakh, yarad@
@go astray@|@ta"a@
@go back@|@h'azar, shav@
@go by car@|@nasa"@
@go in@|@bo'@
@go into exile@|@galam@
@go out@|@yatsa'@
@go out (fire)@|@kava@
@go through@|@hitnassa (b-)@
@goat@|@ez@
@goat (male)@|@sa"ir@
@god@|@elil, elohim@
@God@|@el, elil, elohim@
@God forbid!@|@h'alila!@
@gold@|@zahav@
@goldfish@|@dgey zahav@
@good@|@tov@
@good afternoon!@|@tsahorayim tovim!@
@Good afternoon! (lit. "good day")@|@yom tov!@
@good evening!@|@erev tov!@
@good luck!@|@behatslah'a!, mazal tov!@
@Good luck!@|@behatslah'a@
@good morning!@|@boqer tov!@
@good night!@|@layla tov!@
@good sense@|@sekel@
@good: be ~@|@yatav@
@goodbye!@|@lehitra'ot!@
@goodness@|@tova@
@gorilla@|@gorila@
@government@|@memshala@
@grace@|@h'en@
@gracious@|@h'annun@
@grain harvest@|@qatsir@
@grammar@|@diqduq@
@grandchild@|@nekhed@
@grandfather@|@saba, sav@
@grandmother@|@sava, savta@
@grant (vb.)@|@he"eniq@
@grasp (vb.)@|@heh'eziq@
@gratis@|@h'inam@
@grave@|@qever@
@gravestone@|@matseva@
@gray@|@afor@
@graze livestock@|@ra"a@
@great@|@adid, gadol, rav@
@great: be ~@|@rava@
@greatness@|@gdola, godel@
@Greece@|@yavan@
@Greek (language)@|@yevanit@
@green@|@yarok@
@greet@|@berekh@
@greetings@|@ih'ulim@
@grey@|@afor@
@grief@|@evel@
@grieve@|@aval@
@ground@|@adama, adama@
@group@|@qvutsa@
@grow@|@gadal@
@grow (plants) (tranz.)@|@tsamah'@
@grow (vb. trans.)@|@gidel@
@grow old@|@hizdaqen@
@growth@|@tsemah'@
@guard@|@mishmar, mishmeret@
@guard (vb.)@|@na"ar, shamar@
@guardpost@|@mishmar@
@guest@|@orah'at, oreah'@
@guide (vb.)@|@nah'a@
@guilt@|@aon, mashma@
@guilty@|@ashem, yoresh@
@guilty: be (found) ~@|@asham@
@guilty: be ~@|@asham (b-)@
@Guinea@|@gine'a@
@gun@|@eqdah'@
@guy@|@bah'ur@
@Guyana@|@gi'ana@
@hail (n.)@|@barad@
@hair (pl.)@|@se"arot@
@hair (sg.)@|@se"ar@
@half (f.)@|@mah'atsit@
@half (m.)@|@h'atsi@
@hamster@|@oger@
@hand@|@kaf-yad, yad@
@handcuffs (pl.)@|@aziqim@
@happen@|@qara@
@happy@|@sameah', sameh'@
@Happy New Year!@|@shana tova!@
@hard@|@qashe@
@harvest@|@asif, qatsir@
@hasten@|@mahar@
@hastily@|@bh'ipazon, maher@
@hat@|@kova", kovan@
@hate (n.)@|@sane@
@have compassion@|@rah'am@
@have insight@|@sakhal@
@have mercy@|@rah'am@
@have to@|@tsarikh@
@he@|@hu@
@head@|@ro'sh@
@heads@|@ra'shim@
@heal@|@rafa'@
@health@|@bri'ut@
@health fund@|@qupat h'olim@
@healthy@|@bari@
@hear@|@shama"@
@heart@|@lavav, lev, levav@
@heat@|@h'ema@
@heaven@|@shamayim, shamayim (pl.)@
@heavy@|@kaved@
@Hebrew (adj.)@|@ivri@
@Hebrew (language)@|@ivrit@
@heed@|@he'ezin@
@height@|@govah, marom, qoma@
@hell@|@geyhinnom, tofet@
@hello!@|@shalom!@
@Hello!@|@hay!, yom tov!@
@help@|@ezra@
@help (vb.)@|@zar@
@helper@|@ezer@
@hen@|@tarnegolet@
@her@|@shela@
@here@|@ka'n, po@
@here is@|@hinne@
@heredity@|@yerusha@
@hero@|@gibur@
@heroism@|@gvura@
@herself@|@atsma@
@he-wolf@|@ze'ev@
@hi!@|@shalom!@
@Hi!@|@hay!@
@hidden@|@neh'ba@
@hidden: be ~@|@nistar@
@hide@|@histir, kih'ed, neh'ba', taman, tsafan@
@hide (refl.)@|@hith'abe'@
@hide oneself@|@hith'abe', satar@
@hiding@|@mistar@
@hiding place@|@mistar, seter@
@high@|@gavoah'@
@high place@|@bama@
@hill@|@giv"a, tel@
@himself@|@atsmo@
@Hindi (language)@|@hindit@
@hip@|@moten@
@his@|@shelo@
@history@|@historiya@
@hit (vb.)@|@paga"@
@hole@|@h'or@
@holiday@|@h'ag@
@holidays@|@h'ofesh, h'ufsha, pagra@
@holiness@|@qodesh@
@Holocaust@|@sho'a@
@holy@|@qadosh@
@holy thing@|@qodesh@
@holy: be ~@|@qadash@
@home@|@babayt, bayt@
@homes@|@batim@
@homework@|@shi"ur bayt@
@honest@|@ken@
@honey@|@dvash@
@honor (n.)@|@kavod@
@hope (n.)@|@tiqva@
@horn@|@qeren@
@horse@|@sus@
@horseman@|@parash@
@hostile: be ~@|@ayav@
@hostility@|@eyva@
@hot@|@h'am@
@hot: become ~@|@h'ara@
@hotel@|@malon@
@hour@|@sha"a@
@house@|@bayt@
@house of@|@beyt@
@houses@|@batim@
@houses of@|@batey@
@how@|@eykh@
@How are things?@|@ma ha"inyanim?, ma nishma"?@
@How are you (f. pl.)?@|@ma shlomkhen?@
@How are you (f. s.)?@|@ma shlomekh?@
@How are you (m. pl.)?@|@ma shlomkhem?@
@How are you (m. s.)?@|@ma shlomkha?@
@How good!@|@kama tov!, ma tov!@
@how many@|@kama@
@how much@|@kama@
@How much does it cost?@|@kama ze ole?@
@How old are you (f.)?@|@bat kama at?@
@How old are you (m.)?@|@ben kama ata?@
@how old is ...? (f.)@|@bat kama... ?@
@how old is ...? (m.)@|@ben kama...?@
@however@|@aval, ulam@
@human@|@enosh@
@humid@|@lah'@
@hundred@|@me'a@
@Hungarian (language)@|@hungarit@
@hunger@|@ra"av@
@hungry@|@ra"ev@
@hurt@|@naga"@
@husband@|@ba"al@
@hydrogen@|@meyman@
@I@|@ani, anokhi (Biblical)@
@I am... years old (f.)@|@ani bat...@
@I am... years old (m.)@|@ani ben...@
@I regret@|@ani mitsta"er / mitsta"eret@
@ice@|@qerah'@
@ice cream@|@glida@
@Iceland@|@island@
@ID@|@te"udat zehut@
@idea@|@ra"yon@
@identity card@|@te"udat zehut@
@if@|@im@
@if (past or wish)@|@ilu, lu@
@if not@|@im lo@
@if not (past)@|@lule@
@if so@|@im ken@
@ignore@|@hit"alem (mi-)@
@ile@|@i@
@ill@|@h'ule@
@ill: be ~@|@h'ala@
@illness@|@h'ali@
@illuminate@|@he'ir@
@I'm sorry!@|@slih'a al hahafra"a!@
@image@|@dimut, tmuna@
@immigrant (to Israel) (f)@|@ola@
@immigrant (to Israel) (m)@|@ole@
@immigrant card@|@te"udat ole@
@immigration (to Israel)@|@aliya@
@immigration emissary@|@shaliah' aliya@
@imperative@|@tsivvui@
@imperative mode@|@tsivvui@
@import: personal ~@|@yevu' ishi@
@important@|@h'ashuv@
@impossible: it is ~@|@i efshar@
@impression@|@roshem@
@in exchange for@|@be"ad@
@in front of@|@lifney@
@in haste@|@bh'ipazon@
@in need of@|@nizqaq (l-)@
@in order (to)@|@kdey (l-)@
@in ruins@|@h'arev@
@in the beginning@|@breshit@
@in the eyes of@|@be"eyney@
@in the house@|@babayt@
@in the meantime@|@beynatayim@
@in vain@|@h'inam@
@in what@|@bamma@
@incense@|@qtoret@
@inclined: be ~@|@nata@
@income tax@|@mas hakhnasa@
@increase (intranz. / refl.)@|@hitrabe@
@indeed@|@be'emet@
@independence@|@atsma'ut@
@Independence Day@|@yom ha"atsma'ut@
@India@|@hodu@
@individual property@|@qinyan@
@infiltrate@|@histanen (l-)@
@infinitive@|@shem hapo"al@
@inform@|@hodia", hudia"@
@inhabitantdwell@|@shakhen@
@inhale@|@sha'af@
@inherit@|@iarash, nah'al@
@inheritance@|@nah'ala, yerusha@
@injured@|@niftsa"@
@inn@|@malon@
@innkeeper@|@ba"al malon@
@innocent@|@h'af mipesha", tsadiq@
@inquire@|@darash@
@insane: become ~@|@hishtamea" mi@
@insert@|@hikhnis, taqa"@
@insight@|@sekel@
@inspect@|@badaq, bah'an@
@instance@|@mashal@
@instance; once upon a time@|@pa"am@
@instead of@|@tah'at@
@institution@|@mosad@
@instruct@|@limed@
@instruction@|@tora@
@insult@|@paga"@
@insulted: be ~@|@ne"elav@
@insurance agent (f.)@|@sokenet-bituah'@
@insurance agent (m.)@|@soken-bituah'@
@integrity; perfection@|@tom@
@intelligence@|@sekhel@
@intelligent@|@h'akham@
@intend@|@hitkaven (l-)@
@intensive school for Hebrew@|@ulpan@
@interesting@|@me"anyen@
@interfere@|@hit"arev (b-)@
@interior@|@qerev@
@interior: ministry of ~@|@misrad hapnim@
@interpret (a role)@|@shih'eq@
@interrupt@|@hifsiq@
@interval@|@bayn@
@invalidate@|@hefer@
@invert@|@hafakh@
@Ireland@|@irland@
@iron@|@barzel@
@island@|@i@
@Israel@|@yisra'el@
@Israeli (adj.)@|@yisra'eli@
@Israeli (n.)@|@yisra'elit@
@issue@|@motsa@
@it does not matter@|@eyn davar@
@it is impossible@|@i efshar@
@it is possible@|@efshar@
@Italian (language)@|@italquit@
@jacket@|@me"il@
@jail@|@asar, beyt-kele'@
@jail (vb.) arrest@|@asar@
@jam@|@riba@
@Jamaica@|@gamayqa@
@January@|@yanu'ar@
@Japan@|@yapan@
@Japanese (language)@|@yapanit@
@jeans@|@mikhnesey-gins@
@Jerusalem@|@yerushalaym@
@jewel@|@takhshit@
@jewelry@|@takhshit@
@job@|@avoda, miqtsoa", misra@
@join@|@tsiref@
@join (intrans.)@|@hitstaref (l-)@
@Jordan@|@yarden@
@journey@|@derekh, massa, nesi'a@
@joy@|@simh'a@
@joyful@|@sameah'@
@judge@|@shofet@
@judge (vb.)@|@shafat@
@judgement@|@shiput@
@judgment@|@mishpat@
@juice@|@mits@
@July@|@yuli@
@jumble@|@balal@
@jump@|@qafats@
@June@|@yuni@
@jurisdiction@|@samkhut@
@just@|@tsadiq@
@justice@|@mishpat, tsdaqa, tsedeq@
@justify@|@hitsdiq@
@keep@|@shamar@
@kibbutz@|@kibuts@
@kick (vb.)@|@ba"at@
@kidnapping@|@h'atifat-adam@
@kill@|@harag@
@kind@|@min@
@kindergarten@|@gan yeladim@
@kindred@|@moledet@
@kinds of@|@miney@
@king@|@melekh@
@kingdom@|@malkhut, malkut, mamlakha, mlukha@
@kingship@|@mlukha@
@kiss (n.)@|@nishika@
@kiss (vb.)@|@nashaq@
@kitchen@|@mitbah'@
@knee@|@berekh@
@kneel@|@kara"@
@knife@|@sakin@
@knight@|@abir@
@knock (vb.)@|@dafaq@
@knot@|@qesher@
@know@|@hikir, yada"@
@know: not ~@|@nikar@
@knowledge@|@da"at@
@Korea@|@qorey'a@
@Kosher@|@kosher@
@Kuwait@|@kuvayit@
@laboratory@|@ma"bada@
@lad@|@bah'ur, na"ar@
@Lady@|@geveret@
@lady: young ~@|@na"ara@
@lagoon@|@hof@
@lake@|@agam@
@lament@|@safad l-@
@lamentation@|@misped@
@lamp@|@mnora@
@land@|@adama, erets@
@landscape@|@nof@
@language@|@lashon, safa@
@large@|@gadol@
@last (adj.)@|@ah'aron@
@last (vb.)@|@arakh@
@late (adj & adv.)@|@me'uh'ar@
@late: be ~@|@eh'er (l-)@
@later@|@ah'ar-kakh, ah'arey-ken@
@laugh@|@sah'aq, tsah'aq@
@law@|@h'oq, tora@
@lawmaker@|@meh'oqeq@
@laws@|@h'uqim@
@lawyer (f.)@|@orekhet-din@
@lawyer (m.)@|@orekh-din@
@lay@|@shakhav@
@lay down@|@shakhav@
@lay to rest@|@heniah'@
@lazy@|@atsel@
@lead@|@nahag@
@lead (n.) (Pb)@|@oferet@
@lead (vb.)@|@nah'a@
@leader@|@manhig, nagir@
@league@|@liga@
@le'an@|@where to@
@lean (vb.)@|@nish"an (al)@
@learn@|@lamad@
@lease@|@skhirut@
@leash@|@retsu"a@
@leave alone@|@hirfa@
@lecture@|@hartsa'a@
@lecture (vb.)@|@hirtsa@
@left: be ~ over@|@notar@
@leg@|@regel@
@lemon@|@limon@
@length@|@orekh@
@Leo (astr.)@|@mazzal-arye@
@leopard@|@namer@
@less@|@pah'ot@
@lesson@|@shi"ur@
@lest@|@pen@
@let@|@hish'ir@
@letter@|@ot@
@letter (mail@|@mikhtav@
@lettucefind shelter@|@h'asa@
@libation@|@nesekh@
@liberty@|@h'ofesh@
@Libra (astr.)@|@mazzal-mo'znayim@
@librarian (f.)@|@safrenit@
@librarian (m.)@|@safren@
@library@|@sifriya@
@Libya@|@luv@
@license@|@rishyon@
@license: driver's ~@|@rishyon nehiga@
@lie (n.)@|@sheqer@
@lie (vb. intrans.)@|@shiqer@
@lie down@|@shakhav@
@lie down (animal)@|@ravats@
@lie in wait@|@arav@
@life@|@h'aya, h'ayim@
@lifetime@|@h'ayim@
@lift (n.)@|@ma"alit@
@light@|@ma'or, ner, or@
@light (vb.)@|@hidliq@
@light blue@|@tkhelet@
@light bulb@|@nura@
@lightning@|@baraq@
@like@|@kmo@
@like (vb.)@|@ahav@
@likeness@|@dimut, tavnit@
@limb@|@ever@
@limonade@|@limonada@
@line@|@pas, shura@
@lion@|@ari, arye@
@lip@|@safa@
@lips (usually pl.)@|@sfatayim@
@lipstick@|@odem@
@list@|@reshima@
@listen@|@shama"@
@listen to@|@he'ezin@
@literature@|@sifrut@
@little@|@qatan@
@little (adv.)@|@me"at@
@live@|@gar, haya@
@live at a place@|@hitgorer@
@liver@|@kaved@
@living room@|@salon@
@load (vb.)@|@ta"an@
@loathe@|@ma'as@
@locate oneself@|@hitmaqem@
@located: be ~@|@nimtsa@
@locust@|@arbe@
@long@|@arukh@
@look (at)@|@histakel (b-/al)@
@look at@|@haza, hibit@
@loot (vb.)@|@bazaz, bizza@
@Lord@|@el, elohim@
@lorry@|@masa'it@
@lose@|@ibed, hifsid@
@love (n.)@|@ah'ava@
@love (vb.)@|@ahav@
@lover@|@dod@
@low@|@namukh@
@loyalty@|@h'esed@
@luck@|@mazzal@
@luggage (pl.)@|@mizvadot@
@lunch@|@ruh'at-tsahorayim@
@lurk@|@arav@
@machine@|@mikhona@
@made holy@|@qidesh@
@magazine@|@ktav "et@
@magazines@|@kitvey "et@
@maiden@|@bat@
@maidens@|@banot@
@mail@|@do'ar@
@mailbox@|@teyvat-hado'ar@
@mailman@|@davar@
@mailwoman@|@davarit@
@maintain@|@kilkel@
@majesty@|@hod@
@make@|@sha, pa"al@
@make a mistake@|@ta"a@
@make a vow@|@nadar@
@make dry@|@yavash@
@make glad@|@simmah'@
@make many@|@hirba@
@make progress@|@hitqadem@
@make smoke@|@hiqtir@
@make swear@|@hishbia"@
@male (gender)@|@zakhar@
@maltreat@|@hit"alel (b-)@
@mama@|@ima@
@man@|@adam, ish@
@mango@|@mango@
@mankind@|@adam@
@many@|@harbe@
@many (f.)@|@rabot@
@many (m.)@|@rabim@
@many: be ~@|@rava@
@March@|@merts@
@mare@|@susa@
@market@|@shuq@
@markets@|@shvaqim@
@marry@|@hith'aten, nassa'@
@masculine@|@zakhar@
@master@|@adon@
@mathematics@|@matematiqa@
@matriculation certificate@|@te"udat bagrut@
@matter: it does not ~@|@eyn davar@
@mature@|@bashel@
@may@|@yakhol@
@May@|@ma'i@
@may (vb.)@|@yakol (l-)@
@maybe@|@ulay@
@me rid of@|@niftar mi-@
@meadow@|@ah'u@
@meal@|@aruh'a, se"uda@
@mean (to)@|@hitkaven (l-)@
@meanwhile@|@beynatayim@
@measure (vb.)@|@madad@
@measurement@|@mida@
@meat@|@basar@
@me'ayin@|@where from@
@meet@|@paga"@
@meet someone@|@hitra'a (im)@
@meeting@|@asefa@
@member@|@ever, h'aver@
@memorial@|@azkhara, zikaron@
@memory@|@zikaron@
@men@|@anashim@
@men of@|@anashey@
@merchandise@|@mimkar@
@mercury@|@kaspit@
@messiah@|@mashiah'@
@metro@|@rakevet tah'tit@
@Mexico@|@meksiqo@
@microwave oven@|@miqrogal@
@middle@|@qerev@
@middle (of)@|@tokh@
@Middle Eastern Studies@|@limudey hamizra hatikhon@
@midnight@|@h'atsot@
@midst@|@qerev@
@milk@|@h'alav@
@million@|@milyon@
@mind@|@lev, levav@
@ministry of absorption@|@misrad haqlita@
@ministry of the interior@|@misrad hapnim@
@minority@|@mitsut@
@minus@|@minus, pah'ot@
@minute@|@daqa@
@miracle@|@nes, pele@
@mirror@|@mar'a@
@miserable@|@umlal@
@misfortune@|@tsara@
@missing: be ~@|@ne"edar@
@mistake@|@shgi'a@
@mitsva@|@commandment@
@mix@|@balal@
@mob@|@hamon@
@mock (vb.)@|@sah'aq@
@modern@|@moderni@
@moment@|@rega"@
@Monaco@|@monaqo@
@Monday@|@yom sheni@
@money@|@kesef@
@monkey@|@qof@
@month@|@h'odesh@
@Moon@|@yareah'@
@moose@|@alqey@
@more@|@od, yoter@
@more than@|@yoter ni@
@morning@|@boqer@
@morning: good ~ !@|@boqer tov!@
@mortgage@|@miskanta@
@Moses@|@moshe@
@moshav (agricultural settlement)@|@moshav@
@mosque@|@misgad@
@moss@|@ezov@
@most@|@beyoter, haki@
@mother@|@em, ima@
@motorcycle@|@ofnoa"@
@mountain@|@har@
@mourn@|@aval, safad l-@
@mourning@|@evel, misped@
@mouse@|@akhbar@
@mouth@|@pe@
@move@|@zaz@
@movement@|@tinu"a@
@movie@|@seret@
@moving picture@|@seret@
@Mr.@|@adon@
@Mrs.@|@geveret@
@much@|@harbe, rav@
@mud@|@bots@
@multiply@|@hirba@
@multitude@|@hamon@
@murder (vb.)@|@ratsah'@
@muscle@|@shrir@
@music@|@muziqa@
@mute@|@ilem@
@my@|@sheli@
@my name is@|@shmi@
@myself@|@atsmi@
@name@|@qara' (l-)@
@name (n.)@|@shem@
@name: my ~ is@|@shmi@
@name: what is your ~ ?@|@ma shimkha?, ma shmekh?@
@named@|@bshem@
@names@|@shmot@
@narrow@|@tsar@
@nation@|@am, goy@
@national@|@le'umi@
@national insurance@|@bittuah' le'ummi@
@Nazareth@|@natseret@
@near@|@al yad, qarev, qarov@
@neck@|@tsavar@
@need@|@tsarikh@
