@English@|@Karakhanid@
@to be proud@|@küven-@
@to be quiet@|@amryl-@
@to be rare@|@seðre-@
@to be satiated@|@bök-@
@to be satisfied@|@qan-@
@to be stopped@|@savra-@
@to be sweet@|@süçi-@
@to be terrified@|@beling-le-@
@to be tired@|@ar-@
@to be vile@|@alyq-@
@to bead@|@tiz-@
@to beat@|@chap-, ur-@
@to become@|@bol-@
@to become bad@|@javry-@
@to become boiled@|@biš-@
@to become clever@|@teti-l-, tetik@
@to become cloudy@|@bürkür-@
@to become crushed@|@uša-l-, ušaq@
@to become drunk@|@esür-@
@to become lean@|@tör, tür-, turuq@
@to become light@|@jeni-@
@to become mad@|@mun-, qutur-@
@to become numb@|@sarq-@
@to become old@|@qary-@
@to become overripe@|@majyl, majyl-@
@to become rough@|@javra-@
@to become shabby@|@çülik-, çülük-@
@to beg@|@qol-@
@to belch@|@kekir-@
@to believe@|@büt-, išen-@
@to bend@|@eg-@
@to bend knees@|@boq-@
@to bind@|@ba-, çuh-la-@
@to bind together@|@tang-@
@to bite@|@ysyr-@
@to blaze@|@jašu-@
@to blow@|@ür-@
@to boil (Intr.)@|@qajna-@
@to bore through@|@tel-@
@to bow@|@bük-, jükün-, töngit-@
@to branch@|@tarmaqla-@
@to break@|@sy-, üz-, üz-@
@to bring@|@elet-, elt-@
@to burn@|@jal-@
@to burn (itr.)@|@jan-, köj-, kön-@
@to burn (tr.)@|@jaq-@
@to bury@|@köli-, köm-@
@to call@|@oqy-@
@to calm@|@amyrt-@
@to change@|@teg-š-ür-ül-@
@to chew@|@kev-@
@to choose@|@seç-@
@to churn butter@|@tamyn-@
@to clean@|@aryt-@
@to climb up@|@jarman-@
@to climb up a small valley@|@syrt-la-@
@to close@|@jaš-, jüm-@
@to collect@|@jyh-@
@to come@|@kel-@
@to come near@|@jaq-@
@to come near to each other@|@jaqyš-@
@to come to an end@|@tüke-@
@to come together@|@jomyt-@
@to comfort@|@avyt-@
@to consider@|@sa-@
@to copulate@|@sik-@
@to cost@|@teg-@
@to cover@|@ešü-, jap-, ört-@
@to cross a mountain@|@aš-@
@to crowd@|@av-@
@to crush@|@janç-, jemür-, jenç-, jyq-, jyq-@
@to cry@|@angyla-@
@to cultivate ground@|@tary-@
@to cut@|@byç-, kes-@
@to cut aslant@|@qyj-@
@to cut into slices@|@tohra-@
@to cut off edges@|@çert-@
@to dance@|@büði-@
@to dawn@|@at-@
@to deceive@|@alda-@
@to decrease@|@egsü-, qoq-@
@to defecate@|@syç-@
@to destroy@|@joð-@
@to destroy each other@|@alqyš-@
@to deviate@|@qyš-@
@to die@|@öl-@
@to die of cold@|@buð-@
@to dig@|@qaz-, qazy-, üng-@
@to diminish@|@qora-, sevre-@
@to dive@|@çom-, çöm-@
@to divide@|@üleš-, üleš-@
@to draw near@|@jahu-@
@to dream@|@tüše-@
@to drink@|@iç-@
@to drip@|@sarq-@
@to drive away@|@sür-@
@to drop@|@tam-@
@to dry off@|@sohul-, suhul-@
@to dry out@|@kebi-, kepi-@
@to earn wages by labour@|@qazhan-@
@to eat@|@je'-, je-@
@to embrace@|@quç-@
@to endure@|@ser-@
@to enjoy oneself@|@avyn-@
@to enter@|@kir-@
@to envy@|@tepze-@
@to erect a building@|@qur-@
@to err@|@jangyl-@
@to esteem@|@aja-@
@to explain@|@jor-@
@to extinguish@|@öç-@
@to fade away@|@majyš-@
@to fasten@|@bodu-@
@to feel@|@sez-@
@to feel joy@|@biken-@
@to feel lust@|@öðlen-@
@to feel pain@|@syzla-@
@to fight@|@savaš-@
@to file@|@ege-, ege-, ike-, ike-@
@to find@|@bul-, tap-, tap-@
@to finish@|@alq-, alq-yn-@
@to flap@|@jelpit-@
@to flee@|@suçy-@
@to flow@|@aq-@
@to fly@|@uç-@
@to follow@|@eðer-, qov-@
@to forget@|@unyt-@
@to freeze@|@üši-@
@to gather@|@çoh-al-, irk-@
@to get ready@|@anu-, anu-, anut-@
@to get rusty@|@totyq-@
@to give@|@ber-@
@to gnaw@|@kemür-, kengdi-@
@to go apart@|@tar-@
@to go astray@|@az-@
@to go away@|@keð-, ket@
@to go mad@|@mün-@
@to grasp@|@tut-@
@to grind@|@ögi-, ügi-@
@to grope for something@|@qarva-@
@to grow@|@igið-, ön-, ün-@
@to gulp down@|@sohur-, suhur-@
@to hack@|@tomur-@
@to hang@|@as-, ker-, tart-@
@to hang on@|@il-, ylyn-@
@to hate@|@jer-, jigren-@
@to heal of a wound@|@büt-@
@to heap up@|@ük-@
@to hear@|@ešid-, ešit-@
@to hide@|@aby-, abyn-, abyt-, batur-, kizle-@
@to hinder@|@tyð-@
@to hit@|@qaq-, soq-, toqy-@
@to hobble@|@axsa-, kiše-, kösür-, tuša-@
@to hope@|@küvez@
@to hope for@|@um-@
@to howl@|@müngre-@
@to hunt@|@ang-dy-@
@to hurry@|@ev-, jügür-@
@to imitate@|@ötgün-@
@to intend@|@uhra-@
@to join@|@bütüš-, qoš-@
@to jump@|@sekri-@
@to jump about a camel@|@tabry-@
@to kick@|@möng-@
@to kill@|@öldür-@
@to kindle@|@tamður-@
@to knead@|@juhur-@
@to kneel@|@sök-, sökit-@
@to kneel down@|@çök-@
@to knock down@|@çal-@
@to know@|@bil-@
@to lap@|@çapla-t-@
@to let@|@byrah-, byraq-@
@to lick@|@jalha-, jalva-@
@to listen@|@tyngla-@
@to live in peace@|@ençrü-n-@
@to load@|@jü-ð-@
@to long for@|@qomy-, qyn-@
@to look@|@baq-@
@to lower@|@qam-@
@to make@|@jap-, qyl-@
@to make an earmark@|@ene-@
@to make holes@|@teš-@
@to make magic@|@ar-@
@to meet@|@uhra-@
@to melt@|@erü-@
@to migrate@|@köç-@
@to milk@|@sah-@
@to miss@|@jaz-@
@to mix@|@qar-, qat-@
@to moisten@|@çy-la-@
@to move@|@qymyt-@
@to mow@|@or-@
@to need@|@kerge-@
@to neigh@|@yngra-@
@to ooze@|@syz-@
@to open@|@aç-@
@to oppress@|@satha-@
@to order@|@bujur-@
@to overflow@|@qar-, taš-@
@to paint@|@boðo-@
@to patch@|@jama-@
@to pay debts@|@üz-@
@to pay respect@|@qaj-@
@to peel off@|@jüz-@
@to perceive by ears@|@tuj-@
@to perforate@|@üš-@
@to pick@|@oj-@
@to pierce@|@topul-@
@to pillage@|@july-@
@to pinch@|@iske-@
@to pity@|@esirge-@
@to plait@|@ör-@
@to plant vertically@|@tik-@
@to plaster@|@çap-@
@to play@|@ojna-@
@to pound@|@tög-@
@to pour out@|@tök-@
@to pour out water@|@quj-@
@to praise@|@ög-@
@to press@|@bas-, syq-@
@to press with one's knees@|@tizle-@
@to prevent@|@jyh-@
@to procure cheese@|@suh-@
@to prop@|@taja-@
@to prop on a pillow@|@jasta-@
@to punish@|@qyna-@
@to push@|@it-, tul-, tuldur-@
@to put@|@sal-@
@to quarrel@|@keriš-, küreš-, tütüš-@
@to rain@|@jah-@
@to rake@|@küri-@
@to ransom@|@jul-@
@to reach@|@jet-, teg-@
@to repent@|@ökün-@
@to revive@|@tiri-l-@
@to rise@|@ah-, jükse-, jükse-, kötür-, ör-, ör-, qaly-@
@to rise of dust@|@toh-@
@to rize@|@mün-@
@to roast@|@qahur-, qohur-, qovur-@
@to roast meat@|@sögül-@
@to rob@|@qaraqla-, tala-, üple-@
@to rot@|@iri-@
@to run away@|@küre-, qaç-, tez-@
@to rush at the prey@|@çoq-@
@to say@|@aj-, ajyt-, te-@
@to scatter@|@saç-@
@to scrape@|@qašy-, qyr-@
@to scrape earth@|@üše-@
@to scratch@|@ez-, xyçy-@
@to screen@|@köši-@
@to search through@|@sohrut-@
@to see@|@kör-@
@to select@|@üðür-@
@to sell@|@sat-, tav-@
@to send@|@yð-@
@to send away people@|@ahla-t-@
@to separate@|@aðyr-@
@to settle one's affairs@|@kenge-@
@to sew@|@qaðu-@
@to shake@|@jajqa-l-, silk-@
@to sharpen@|@bile-, qovša-@
@to sharpen and whet a knife@|@kik-@
@to shave@|@jüli-@
@to shine@|@jaru-@
@to shiver@|@bez-@
@to shout together@|@orlaš-@
@to sift@|@ele-, elge-@
@to singe@|@üt-@
@to sink@|@bat-, üjük-@
@to sit@|@oltur-@
@to skin a sheep@|@keðir-@
@to sleep@|@jat-, uðy-@
@to slide@|@taj-@
@to smear@|@suva-, suval-, suvaš-@
@to smell badly@|@qoq-@
@to smoke@|@tüt, tüte-@
@to smooth@|@japur-@
@to snatch@|@qap-@
@to soar@|@teng-@
@to sober up@|@aðyl-, aðyn-@
@to sound@|@jangra-@
@to sow@|@ek-@
@to spit@|@tüfkür-@
@to spit out@|@soð-, suð@
@to split@|@jar-@
@to split lengthwise@|@jer-, jir-@
@to spread@|@jað-, jaz-@
@to spread out as mat@|@töše-@
@to squander@|@saj-pa-@
@to squeeze@|@qys-@
@to stamp@|@çyhru-@
@to stand@|@tur-@
@to stay behind@|@qal-@
@to stick in@|@suq-@
@to strain@|@süz-@
@to strangle@|@boh-@
@to strike fire@|@çaq-@
@to strive@|@tet-, tetin-@
@to submit@|@echik-@
@to suck@|@em-, sor-@
@to suffer@|@emge-@
@to suffer pain@|@jalq-@
@to support@|@tire-@
@to surpass@|@oz-@
@to suspect@|@jala-@
@to swear@|@qarha-, qyrha-@
@to sweep@|@süpür-@
@to swell@|@köpür-, qapar-, šyš-, syšyl-@
@to swim@|@jüz-@
@to take@|@al-@
@to take trouble@|@qoður-@
@to talk unintelligibly@|@sumly-@
@to taste@|@taty-@
@to tear out@|@jol-, jul-@
@to test@|@syna-@
@to think@|@saq-, sayhn-@
@to thread a needle@|@sap-@
@to threaten@|@jan-@
@to thrust the hand@|@sohly-@
@to tie in a knot@|@tüg-@
@to tie up a parcel@|@çyh-@
@to trot@|@mang-@
@to tuck up@|@sytha-@
@to tumble@|@ahna-@
@to turn@|@evür-@
@to turn a horse@|@qatar-@
@to turn back@|@jan-, qaj-, qaj-@
@to twist@|@çevür-, tolha-@
@to understand@|@angla-, uq-@
@to unite@|@qavur-@
@to untie@|@säš-@
@to urinate@|@qašan-, sið-@
@to vomit@|@qus-@
@to wait@|@küð-@
@to wake up (intr.)@|@oðun-@
@to wake up (trans.)@|@oðhur-@
@to walk@|@bar-, eš-, jor-, jöri-, jory-, jüri-, kez-@
@to wear a tunic@|@bertü-le-n-@
@to wear out@|@opra-@
@to weave@|@toqu-@
@to whine@|@singile-@
@to win@|@jeng-, ut-@
@to wind around@|@saru-@
@to wish@|@küse-@
@to wrinkle@|@bür-, büz-@
@to write@|@jaz-@
@toad@|@qur-baqa@
@together@|@qamuh@
@tomorrow@|@jaryn@
@tooth@|@tiš, tyš@
@top of head@|@tepe, töpü@
@torch@|@jula@
@torque@|@baqan@
@tough@|@tyhraq@
@trace@|@iz@
@tramp@|@tep-@
@tree@|@jyhaç@
@tricky@|@tevlig@
@trot@|@jel-@
@trousers@|@öm@
@true@|@bajyq@
@trumpet@|@borhuj@
@turban@|@suvluq@
@turf@|@çim, çimgen, çym@
@turnip@|@turma@
@two@|@eki@
@two-year old calf@|@taðun@
@udder@|@jelin@
@ulcer@|@bez@
@unclear silhouette@|@baryq@
@understand@|@ö-@
@undisciplined@|@tosun@
@uneven ground@|@opuz@
@unicorn from the Kyfchak@|@bulan@
@unrelated@|@ögej@
@unsubstantial@|@jupqa, juvha, juvqa@
@upper part of breast@|@ömgen@
@upper rib@|@ejegü@
@uproot@|@qongur-@
@used clothing@|@çopra, çöpür-çepür, çübrä@
@valley@|@qol, syhra@
@variegated@|@ala@
@variegated sheep@|@qartal qoj@
@vehicle@|@qangly@
@vein@|@tamar, tamur@
@vertical@|@tik@
@very@|@ajy, eng, iði@
@very much@|@dümen, tümen@
@vessel@|@ediš, eðiš, ijiš, könek@
@vile@|@çöq@
@vinegar@|@sirke@
@virgin's hymen@|@qapaq@
@voice@|@ün@
@vulva@|@am@
@waist@|@bel@
@wall@|@tam@
@walnut@|@jahaq@
@war@|@jahy@
@wares@|@tavar@
@warm@|@jylyh, ylyh@
@warp@|@aryš@
@warp of cotton cloth@|@butar@
@warrior@|@alp, alpahut@
@wart@|@sigil@
@water@|@suv@
@water nut@|@tumhujun@
@wave@|@qom@
@way of using something@|@osuh, usuh@
@we@|@biz@
@wedge for fastening the axe@|@talhuq@
@weeping@|@syhyt@
@weft@|@arqah@
@well@|@bulaq, quðuh@
@what@|@ne@
@wheat chaff@|@topun@
@whet a knife@|@kikçür-@
@which@|@kem, kim, qaju@
@whip-lash@|@çahyh, çavyh@
@whirlwind@|@qað, qasyrqu@
@white@|@aq, ürüng@
@white blaze@|@qašha@
@white lead@|@opo@
@wick@|@bilik@
@wicked@|@jaman@
@wide@|@keng@
@wide open@|@angyl açuq@
@widower@|@tul@
@wild@|@saš@
@wild animal@|@kejik@
@wild duck@|@angyt@
@wild goat@|@elik@
@wild mountain she-goat@|@jymha, ymha@
@wild onion@|@java, kömürgen, kövürgen@
@willow@|@sögüt@
@wind@|@jel@
@window@|@dünlük, tünglük, tünlük@
@wine@|@sücig@
@wing@|@qanat@
@winter@|@qyš@
@witchcraft@|@jelvi@
@with a shaved head@|@toq@
@with pain in one's heart@|@köj-, köngli küjüp, küj-@
@wither@|@soluš-@
@without saddle@|@jabytaq@
@wizard@|@bögü@
@wolf@|@böri@
@woman@|@urahut@
@woman's breast@|@bökseg@
@wonder@|@tang@
@wonderful@|@tangsuq@
@wooden nail in camel's nose@|@budlu, butlu@
@wooden plough@|@boqursy@
@wooden trough@|@qaðyq@
@wool@|@jung@
@worm@|@qurt@
@wormwood@|@japçan, javçan@
@worship@|@tap-@
@worth@|@teg-iš@
@wound@|@baš, bert-@
@wounded@|@balyh@
@wrinkled@|@burqy, burqyh@
@year@|@jaš, jyl@
@yellow@|@saryh@
@young@|@tajuq er@
@young animal@|@bala@
@young camel@|@torum@
@young of a wild animal@|@enük@
@young of camel@|@botu@
@young pig@|@çoçuq@
@younger brother@|@ini@
@younger sister@|@singil@

