@English@|@Estonian@
@alfresco meal@|@eine väljas@
@alga@|@vetikas@
@algae@|@vetikad@
@algaecide@|@vetikamürk@
@algal bloom@|@vee õitsemine@
@algebra@|@algebra@
@algebraic@|@algebra-, algebraline@
@algebraic equation@|@algebravõrrand@
@algebraic number@|@algebraline arv@
@Algeria@|@Al˛eeria@
@Algerian@|@al˛eeria ; al˛eerlane@
@algerians@|@al˛eerlased@
@algesia@|@ülitundlikkus@
@algicide@|@vetikas@
@algid@|@külm, külmahoogudega@
@Algiers@|@Al˛iir@
@algin fiber@|@alginaatkiud@
@alginate@|@alginaat@
@algophilia@|@kannatuste nautimine@
@algophobia@|@algofoobia, valukartus@
@algorithmic@|@algoritmiline@
@alias@|@alias@
@alibi@|@alibi, ettekääne@
@Alice in Wonderland@|@Alice imedemaal@
@alidade@|@alidaat (nurgamõõteriista osa)@
@alien@|@tulnukas, võõrplaneetlane ; võõras@
@alienable@|@võõrandatav@
@alienate@|@(endast) eemale tõukama, võõrandama@
@alienation@|@võõrandumine@
@alieni juris@|@vaimuhaige vm), vastutusvõimetu (alaealine@
@alienist@|@kohtupsühhiaater, psühhiaater@
@alien's passport@|@välismaalase pass@
@alight@|@(lind oksale) maanduma, langema, maha astuma@
@alight on@|@(mõtte vms) peale tulema, maanduma@
@alighting@|@lennulaud@
@align@|@joondama, joonduma@
@align with@|@koostööd tegema, liituma@
@alignment@|@joondus, meelelaad@
@alike@|@sarnane@
@aliment@|@kosutama, kosutus, toit ; toitev olema, ülal pidama@
@alimentary@|@seede-@
@alimentary canal@|@seedetrakt@
@alimentation@|@elatamine, seedimine, toitaine@
@aliquot@|@kogus (keemias), osa, pärisjagaja@
@alist@|@kaldu, kreeni, kreenis@
@alit@|@< alight@
@alive@|@elus@
@alizarin@|@alisariin (punane värvaine)@
@alizarine@|@alisariin@
@alkali@|@leelis@
@alkaline@|@leelis-@
@alkaline metal@|@leelismetall@
@alkaline-earth metal@|@leelismuldmetall@
@alkalinity@|@happesus@
@alkaloid@|@alkaloid@
@alkane@|@alkaan, küllastunud süsivesinik@
@all@|@kõik ; üleni@
@all-@|@kõik-@
@all aboard@|@kõik pardale@
@all alone@|@ihuüksi@
@all along the line@|@igal hetkel@
@all at once@|@ühtäkki@
@all but@|@kõik peale, kõik välja arvatud@
@all eyes@|@ülitähelepanelik@
@all gone@|@läinud, otsas@
@all hail@|@tervist@
@all hands on deck@|@kõik mehed tekile@
@all in all@|@lõppkokkuvõttes@
@all in good time@|@iga asi omal ajal@
@all over the place@|@(üle) kogu (maja, terves (...), toa vm)@
@all over the town@|@kogu linnas, üle kogu linna@
@all over the world@|@kogu maailmas@
@All Quiet on the Western Front@|@Läänerindel muutusteta@
@all right@|@hea küll, hästi@
@All Saints' Day@|@kõigi pühakute päev@
@all sorts of@|@igat sorti@
@All Souls' Day@|@hingedepäev (2. november)@
@all the better@|@seda parem@
@all the comforts of home@|@kodumugavused@
@all the day long@|@kogu pika päeva@
@all the fashion@|@suurmood@
@all the more@|@seda enam@
@all the rage@|@moeasi@
@all the same@|@üks ja seesama, ükskõik@
@all the time@|@aina, kogu aeg@
@all the way@|@kogu tee@
@all things being equal@|@kui midagi ei muutu, sellistel asjaoludel@
@all things considered@|@kõike seda arvesse võttes@
@all thumbs@|@kobakäpp@
@all together@|@lõppkokkuvõttes@
@all walks of life@|@iga eluala@
@alla@|@alla (kombel, viisil)@
@alla prima@|@alla prima (kiire maalimine)@
@Allah@|@Allah@
@all-a-port@|@vasakule poordi@
@all-around@|@igakülgne@
@all-a-starboard@|@paremale poordi@
@allative@|@alaleütlev (kääne)@
@allative case@|@alaleütlev kääne, allatiiv@
@allatrate@|@haukuma@
@allay@|@maha rahustama, maha suruma, vaigistama@
@Alle@|@väikealk, ürr@
@allect@|@ahvatlema@
@allegation@|@süüdistus, väide (tõendamata)@
@allege@|@(tõeseks) väitma, tõenduseks esitama@
@alleged@|@väidetav@
@allegedly@|@väidetavalt@
@alleger@|@väitja@
@allegiance@|@truudus@
@allegorical@|@allegooriline@
@allegory@|@allegooria, mõistujutt, mõistukuju@
@allegretto@|@allegretto (elavalt)@
@allegro@|@allegro (kiiresti, kiiretempoline muusikapala)@
@allele@|@alleel (geeniteisend)@
@allelism@|@alleelsus@
@alleluia@|@halleluuja@
@all-encompassing@|@kõikehõlmav@
@allergen@|@allergeen@
@allergenic@|@allergeenne, allergiat tekitav@
@allergic@|@allergiline@
@allergology@|@alleroloogia@
@allergy@|@allergia@
@alleviate@|@leevendama@
@alley@|@põiktänav, vahekäik@
@alley cat@|@tänavakass@
@alleyway@|@koridor, vahekäik@
@Allhallow@|@< Allhallows@
@Allhallowmas@|@kõigi pühakute päev (1. nov)@
@Allhallows@|@kõigi pühakute päev (1. nov)@
@Allhallowtide@|@novembri algus@
@allheal@|@palderjan (ka muu ravimtaim)@
@alliaceous@|@sibula-@
@alliance@|@allianss, liit@
@allied@|@ühinenud@
@alligate@|@kokku siduma, ühte liitma@
@alligator@|@alligaator@
@all-important@|@esmajärgulise tähtsusega@
@all-in@|@kõikehaarav@
@all-in-one@|@universaalne@
@allision@|@otsasõit (seisvale laevale), vastupõrkamine@
@alliteration@|@algriim, alliteratsioon@
@alliterative@|@alliteratsiooniline@
@Allium@|@lauk, sibul@
@all-knowing@|@kõiketeadev@
@allmouth@|@< goosefish@
@all-night@|@hommikuni kestev@
@all-nighter@|@öö läbi töötamine@
@allocate@|@jaotama, reserveerima, varuma@
@allocate costs@|@kulusid jaotama@
@allocated@|@reserveeritud@
@allocating@|@kontingeerimine@
@allocation@|@eraldus, jaotamine, määramine, paigutus@
@allocatur@|@allocatur (lubatud, er kohtus tõendina)@
@allochroic@|@värvi muutev@
@allochroous@|@< allochroic@
@allocution@|@(pidulik) pöördumine@
@allogamy@|@< xenogamy@
@allogeneous@|@eri liiki, loomult erinev@
@allograph@|@allograaf@
@allomorph@|@allomorf@
@allophone@|@allofoon, häälikuvariant@
@alloploidy@|@allopoidsus@
@all-or-nothing@|@kõik või mitte midagi@
@Allosaurus@|@allosaurus@
@allot@|@(osadena) eraldama, andma, välja jagama@
@allotment@|@jagu, maalapp, väljajagamine@
@allow@|@lubama, võimaldama@
@allowable@|@lubatav, mööndav@
@allowance@|@elatusraha@
@allowance for current@|@hoovusõiend@
@allowed@|@lubatud@
@alloy@|@sulam@
@alloy iron@|@legeeritud teras@
@alloying@|@legeerimine@
@all-powerful@|@kõikvõimas@
@all-purpose@|@universaalne@
@all-red@|@eht-briti@
@all-round@|@ring-@
@all's well that ends well@|@lõpp hea kõik hea@
@all-seeing@|@kõikenägev@
@allspice@|@nelkpipar@
@all-terrain@|@maastiku-@
@all-time@|@kõigi aegade, lõplik, lõpp-@
@all-time great@|@kõigi aegade parim@
@allude@|@(möödaminnes) mainima, juttu tegema@
@allude to@|@vihjama@
@allure@|@ahvatlema, peibutama ; külgetõmme@
@allusion@|@allusioon@
@alluvial@|@sette-@
@alluvial plain@|@setteorg@
@alluvial valley@|@setteorg@
@all-white@|@ainult valgetest koosnev@
@ally@|@liitlane@
@ally-ally oxen free@|@uka-uka mina prii@
@all-year@|@aastaringne@
@allyl@|@allüül@
@allyl chloride@|@allüülkloriid (C3H5Cl)@
@allyl group@|@allüülrühm (C3H5 radikaal)@
@allyl radical@|@allüülradikaal (C3H5 radikaal)@
@Alma mater@|@Alma mater@
@Alma-Ata@|@Alma-Ata, Almatõ@
@almanac@|@almanahh@
@Almaty@|@Alma-Ata, Almatõ@
@almighty@|@kõikvõimas@
@Almighty@|@kõikvõimas (Jumal)@
@Almighty God@|@kõikvõimas Jumal@
@almond@|@mandel@
@almond cake@|@mandlikook@
@almond milk@|@mandlipiim@
@almond oil@|@mandliõli@
@almond paste@|@mandlimass@
@almond willow@|@vesipaju (Salix triandra)@
@almond-eyed@|@mandlisilmne, pruunisilmne@
@almond-shaped@|@mandlikujuline (raidkuju silm)@
@alms@|@almus, annetus@
@alms box@|@korjanduskarp@
@alms dish@|@korjandustaldrik (er kirikus)@
@almsgiver@|@annetaja@
@almshouse@|@vaestemaja@
@almsman@|@annetustest elaja, kerjus@
@Alnus@|@lepp@
@aloe@|@aaloe@
@aloe vera@|@aaloe@
@aloes@|@aaloed, aaloeekstrakt (kõhulahtisti)@
@aloft@|@kõrgemale, kõrgustesse, mastitippu, otsas, üles@
@alogical@|@ebaloogiline@
@alogism@|@absurdne väide, alogism@
@alogy@|@aloogia@
@aloha@|@aloha, tere@
@Aloha State@|@Havai@
@alone@|@üksi, üksinda@
@aloneness@|@üksindustunne@
@along@|@mööda, piki@
@alongshore@|@piki kallast, piki randa@
@alongside@|@kõrvuti@
@aloof@|@eemalviibiv, eraldi, reserveeritud ; eemal@
@alopecia@|@karvutus, kiilanemine@
@aloud@|@kuuldavalt, kõva häälega@
@alp@|@kõrgmägi@
@alpaca@|@alpaka, alpaka vill@
@Alpenglühen@|@< alpenglow@
@alpenhorn@|@alpisarv@
@alpenstock@|@alpinistikepp@
@alpha@|@alfa@
@alpha and omega@|@A ja O, alfa ja oomega@
@alpha particle@|@alfaosake@
@alphabet@|@tähestik@
@alphabet book@|@aabits@
@alphabetic character@|@tähemärk@
@alphabetic sorting@|@tähestikuline järjestamine@
@alphabetic symbol@|@tähtsümbol (erialalühend)@
@alphabetic writing@|@häälikkiri@
@alphabetical@|@alfabeetiline, tähestikuline@
@alphabetically@|@tähestikuliselt@
@alphabetization@|@tähestikjärjestus@
@alphabetize@|@tähestikuliselt järjestama@
@alphabetized@|@tähestikulises järjekorras@
@alphanumeric@|@tärk-@
@alphanumerical@|@tähe- või numbri-@
@alphanumerical character@|@tärk@
@alpine@|@mägi-@
@Alpine@|@Alpi@
@alpine accentor@|@mägiraat (Prunella collaris)@
@alpine campion@|@alpi tõrvalill@
@alpine garden@|@kiviktaimla@
@alpine larch@|@Lyalli lehis (Larix lyallii)@
@alpine swift@|@suurpiiritaja (Apus melba)@
@alpinism@|@alpinism, mägironimine@
@alpinist@|@alpinist@
@Alps@|@Alpid@
@already@|@juba@
@alright@|@hästi, käib kah@
@Alsace@|@Alsace, Elsass@
@Alsatia@|@Alsace, Alsatia, Elsass@
@Alsatian@|@Elsassi ; elsaslane, elsassi keel@
@Alsatian dog@|@Saksa lambakoer@
@also@|@ka, samuti@
@Alstroemeria@|@alströmeeria, inkaliilia@
@Altai@|@Altai, altai keel@
@Altai Mountains@|@Altai@
@Altaic@|@altai keeled@
@Altamira@|@Altamira@
@altar@|@altar@
@Altay@|@Altai@
@Altay Mountains@|@Altai@
@alter@|@muutma, vaheldama@
@alter ego@|@alter ego, teine mina@
@alteration@|@muutmine, ümbertegemine@
@altercation@|@lärmakas riid@
@altered@|@muudetud, ümber tehtud@
@alterity@|@võõrapärasus@
@Alternanthera@|@kõlupea (taim)@
@alternate@|@alternatiiv-, alternatiivne, asendus- ; vahelduma@
@alternately@|@vaheldumisi@
@alternating@|@vahelduv@
@alternating current@|@vahelduvvool@
@alternating current motor@|@vahelduvvoolumootor@
@alternating light@|@vahelduvtuli@
@alternation@|@vaheldus@
@alternative@|@alternatiivne, teine@
@alternative name@|@rööpnimi@
@alternative question@|@valikküsimus@
@alternatively@|@teise võimalusena@
@alternator@|@generaator, vahelduvvoolugeneraator@
@although@|@ehkki, kuigi, vaatamata sellele et@
@altimeter@|@altimeeter, kõrgusmõõtur@
@altissimo@|@altissimo (väga kõrgelt, üle F)@
@altitude@|@kõrgus, kõrgus merepinnast@
@altitude of flight@|@lennukõrgus@
@altitudinal@|@mäestiku@
@altitudinarian@|@kõrgustesse tõusev@
@alto@|@alt@
@altogether@|@tervikuna, üldse@
@altricial@|@(vastsündinult) abitu@
@altruism@|@altruism, omakasupüüdmatus@
@altruist@|@altruist@
@altruistic@|@altruistlik, omakasupüüdmatu@
@altruistically@|@altruistlikult@
@ALU@|@ALU (loogika-aritmeetikaplokk)@
@alum@|@maarjas@
@alum stone@|@maarjajää@
@alumina@|@alumiiniumoksiid@
@aluminium@|@(Br) alumiinium (Al)@
@aluminium hydroxide@|@alumiiniumhüdroksiid@
@aluminum@|@alumiinium (Al)@
@alumna@|@(kooli) kasvandik, (nais)vilistlane@
@alumnae@|@< alumna@
@alumni@|@< alumnus@
@alumnus@|@(kooli) kasvandik, (mees)vilistlane@
@alvar@|@paepealne@
@alveolar@|@alveolaar, hambasombuhäälik@
@alveolus@|@hambasomp@
@always on top@|@alati pealmiseks@
@Alyssum@|@kilbirohi@
@Alzheimer's disease@|@Alzheimeri tõbi@
@am@|@olen@
@AM@|@enne lõunat@
@ama@|@pärlikasvataja@
@amabile@|@amabile (armsalt)@
@amadan@|@tola@
@amah@|@amah (amm, majapidajanna)@
@amain@|@kõgu jõust, täiskiirusel@
@amalgam@|@amalgaam, elavhõbesegu, sulam@
@amalgamate@|@elavhõbedat lisama, kokku sulatama, ühinema@
@amalgamation@|@amalgaamimine, ühtesulamine@
@Amanita@|@kärbseseen@
@amanuensis@|@kirjutaja (dikteerimise järgi), ümberkirjutaja@
@amaranth@|@amarant, närtsimatu lill, rebashein@
@amaranthine@|@igavesti õitsev, närtsimatu@
@Amaranthus@|@rebashein@
@amateur@|@amatöör, asjaarmastaja ; harrastus-@
@amateur athlete@|@amatöörsportlane@
@amateur band@|@harrastusansamber@
@amateur radio operator@|@raadioamatöör@
@amateurish@|@amatöörlik, asjaarmastajalik@
@amateurism@|@amatörism@
@amative@|@armastus-, kiindumus- ; armunud@
@amatory@|@armu-, seksuaalselt hellitlev@
@amatory affair@|@armuafäär@
@amaze@|@hämmastama@
@amazed@|@hämmastunud@
@amazedness@|@hämmastus (olek)@
@amazement@|@hämmastus@
@amazing@|@hämmastav@
@amazingly@|@hämmastavalt@
@Amazon@|@Amasoonas, Amazonas@
@ambagious@|@keerutav, ringiratast liikuv@
@ambassador@|@saadik, suursaadik@
@ambassador-at-large@|@suursaadik@
@amber@|@ambra (lõhnaaine), merevaik@
@ambi-@|@ambi- (igalt poolt, mitmest küljest)@
@ambidextrous@|@käteosav, mõlemakäeline@
@ambient@|@muutuv@
@ambiguity@|@mitmesus, mitmetähenduslikkus@
@ambiguous@|@ebaselge, mitmetähenduslik@
@ambilaevous@|@< ambisinistrous@
@ambisinister@|@< ambisinistrous@
@ambisinistrous@|@kahe vasaku käega@
@ambit@|@(ringina ümbritsev) piir, tegevuspiirkond@
@ambition@|@ambitsioon, auahne plaan@
@ambitions@|@ambitsioonid, auahned plaanid@
@ambitious@|@auahne@
@ambitiously@|@auahnelt@
@ambitiousness@|@auahnus@
@ambivalent@|@ambivalentne, mitmeti mõistetav, vastakas@
@amble@|@lonkima@
@ambroid@|@merevaigust@
@ambrosia@|@ambroosia (jumalate söök, magustoit), rohttaim@
@Ambrosia@|@ambroosia (rohttaim)@
@ambsace@|@halb õnn, kaks ühte (täringuviskes), vähim kogus@
@ambulance@|@(van) preeriavanker, kiirabi, kiirabiauto@
@ambulant@|@ambulatoorne, liikumisvõimeline@
@ambulate@|@kõndima@
@ambulatory@|@edasikanduv@
@ambush@|@varitsus ; varitsema@
@ameliorate@|@parandama@
@amelioration@|@< melioration@
@amen@|@aamen@
@amenability@|@alistuvus, järeleandlikkus@
@amenableness@|@alistuvus, järeleandlikkus@
@amenably@|@järeleandlikult@
@amend@|@täiendama, õgvendama@
@amendable@|@parandatav, täiendatav@
@amendatory@|@parandusi sisse viiv@
@amended@|@parandatud, paremuse poole muudetud@
@amendment@|@parandus, täiendamine, õiendus ; parandamine@
@amends@|@hüvitis (ülekohtu vms eest)@
@amenities@|@hüved, mugavused@
@amenity@|@hüve, mugavus@
@ament@|@pajuurb, puruloll@
@amerce@|@karistama@
@amercement@|@trahvisumma@
@amerciable@|@rahatrahviga karistatav, trahvitav@
@America@|@Ameerika@
@american@|@ameerika@
@American@|@ameeriklane ; Ameerika@
@American bittern@|@ameerika hüüp@
@American crab@|@pärg-õunapuu (Malus coronaria)@
@American English@|@Ameerika inglise keel@
@American Samoa@|@Ameerika Samoa@
@American Tragedy@|@Ameerika tragöödia@
@americanism@|@amerikanism@
@Americanism@|@amerikanism@
@americanist@|@amerikanist@
@americanization@|@amerikaniseerimine@
@americanize@|@amerikaniseerima@
@americanized@|@amerikaniseeritud@
@americans@|@ameeriklased@
@Americas@|@Põhja- ja Lõuna-Ameerika@
@America's Cup@|@«America» karikas@
@americium@|@ameriitsium (Am)@
@americum@|@ameriitsium (Am)@
@Amerind@|@Ameerika indiaanlane@
@amerindian@|@Ameerika indiaanlane@
@amesace@|@< ambsace@
@amethyst@|@ametüst ; ametüstpunane@
@amethystlike@|@ametüstisarnane@
@amhar@|@amhaar@
@Amhara@|@Amara@
@amharic@|@amhaari@
@Amharic@|@amhari keel@
@amiability@|@avatus@
@amiable@|@armastusväärne@
@amiableness@|@armastusväärsus, meeldivus@
@amiably@|@lahkelt, sõbralikult@
@amicability@|@rahumeelsus, sõbralikkus@
@amicable@|@sõbralik@
@amicableness@|@rahumeelsus@
@amicably@|@rahumeelselt, sõbralikult@
@amici curiae@|@huvitatud osapooled@
@amicus curiae@|@ametlik toetusavaldus, märgukiri@
@amicus curiae brief@|@ametlik toetusavaldus, märgukiri@
@amid@|@keset, keskel@
@amid-@|@keset@
@amide@|@amiid@
@amidopyrine@|@amidopüriin@
@amidship@|@keskel, keskkohas@
@amidst@|@keset, seas@
@amigo@|@amigo, sõber@
@amine@|@amiin (lämmastikuühend)@
@amino acid@|@aminohape@
@amir@|@emiir@
@amirate@|@emiraat@
@amiss@|@nurja, vääralt, vääriti@
@amitosis@|@amitoos (raku lihtpooldumine)@
@amity@|@(riikide) sõprus, sõbralikud suhted@
@ammeter@|@ampermeeter@
@ammo@|@laskemoon@
@ammonia@|@ammoniaak@
@ammonia alum@|@ammooniummaarjas@
@ammonia water@|@ammoniaagilahus@
@ammoniac@|@ammoniaagi-@
@ammoniacal@|@ammoniaagi-@
@Ammonite@|@ammonlane@
@ammonium@|@ammoonium (NH4 radikaal)@
@ammunition@|@laskemoon@
@ammunition box@|@laskemoonakast@
@ammunition chest@|@laskemoonakast@
@ammunition depot@|@laskemoonaladu@
@ammunition dump@|@laskemoonaladu@
@amnesia@|@amneesia, mälukaotus@
@amnesties@|@amnestiad@
@amnesty@|@amnestia@
@Amnesty International@|@Amnesty International@
@amniota@|@sünnitav selgroogsete klass@
@amniotic@|@loote-@
@amniotic fluid@|@lootevesi@
@amniotic sac@|@lootekott@
@amoeba@|@amööb@
@amoebalike@|@amööbilik@
@amoeban@|@amööbi-@
@amoebas@|@amööbid@
@amoebic@|@amööbi-@
@amoeboid@|@amööbisarnane@
@amoeboidism@|@amööbisarnasus@
@amoebous@|@amööbne@
@amok@|@amok@
@among@|@hulgas, keskel, seas, vahel@
@among other things@|@muuhulgas@
@among the living@|@elavate seas@
@among us@|@meie vahel, omavahel@
@amongst@|@hulgas, keskel, seas, vahel@
@amontillado@|@amontillado@
@amor@|@Amor@
@amoral@|@amoraalne, moraaliväline@
@amoralism@|@amoralism@
@amoralist@|@amoralist@
@amorally@|@amoraalselt@
@amoret@|@amorett@
@amorist@|@armastusele pühendunu@
@amoristic@|@armastusse puutuv, romantiline@
@amorous@|@armu-, armunud@
@amorously@|@armunult@
@amorpha@|@amorfa@
@amorphous@|@amorfne, vormitu@
@amort@|@põrmu paisatud@
@amortisation@|@amortisatsioon@
@amortise@|@amortiseerima, osade kaupa võlga tasuma@
@amortization@|@amortisatsioon@
@amortize@|@amortiseerima, maha kandma, osade kaupa võlga tasuma@
@Amos@|@Aamos, Amos@
@amount@|@hulk, kogus, kogusumma ; küündima@
@amount due@|@makstaolev summa@
@amount of helm@|@rooli pöördenurk, roolinurk@
@amount of money@|@rahasumma@
@amount of rudder@|@rooli pöördenurk, roolinurk@
@amount to@|@kokku tegema, küündima, ulatuma@
@amount to something@|@kokku tegema, küündima, ulatuma@
@amour@|@salajane armusuhe@
@amour propre@|@ülim uhkustunne@
@amour-propre@|@ülim uhkustunne@
@amp@|@amper@
@ampelography@|@viinamarjateadus@
@amperage@|@voolutugevus@
@ampere@|@amper@
@ampere-hour@|@ampertund@
@ampere-minute@|@amperminut@
@ampere-second@|@ampersekund@
@ampersand@|@&-märk, ampersand, ja-märk@
@amphetamine@|@amfetamiin@
@amphi-@|@amfi-@
@Amphibia@|@kahepaiksed@
@amphibian@|@amfiib, amfiiblennuk ; amfiib-, kahepaikne@
@amphibious@|@amfiib-@
@amphibious warfare@|@maa- ja meresõda@
@amphibolous@|@amfiboolne, kahetähenduslik, kahevalentne@
@amphigory@|@vemmalvärss@
@amphigouri@|@< amphigory@
@amphitheater@|@amfiteater@
@amphitheaters@|@amfiteatrid@
@amphitheatre@|@amfiteater@
@amphitheatric@|@amfiteatri-@
@amphitheatrical@|@amfiteatri-@
@amphora@|@amfora@
@amphoric@|@õõnsalt kõlav@
@ample@|@rikkalik, üleküllaldane@
@ampleness@|@avarus, üleküllasus@
@ampliative@|@avardav, võimendav@
@amplification@|@laiendus, täiendamine, võimendus@
@amplified@|@laiendatud, võimendatud@
@amplifier@|@võimendi@
@amplify@|@võimendama@
@amplifying@|@võimendav, võimendus-@
@amplitude@|@amplituud, laius, ulatus@
@amplitude modulation@|@amplituudmodulatsioon@
@amply@|@küllaldaselt, rohkelt@
@ampoule@|@ampull@
@ampoules@|@ampullid@
@ampul@|@ampull@
@ampullosity@|@pundumus@
@amputate@|@amputeerima@
@amputated@|@amputeeritud@
@amputation@|@amputatsioon@
@amputee@|@amputeeritu (patsient), köndistunu@
@amsterdam@|@Amsterdami@
@amtrac@|@amfiibsõiduk@
@Amu Darya@|@Amudarja@
@amuck@|@amok@
@amulet@|@amulett@
@Amur@|@Amuur@
@amurcous@|@haisev, lögane@
@amuse@|@lõbustama@
@amused@|@kaasahaaratud, lõbustatud@
@amusement@|@lõbustus, meelelahutus@
@amusement arcade@|@mängusaal@
@amusement device@|@mänguautomaat@
@amusement park@|@lõbustuspark@
@amusement ride@|@lõbusõit@
@amusing@|@amüsantne, kaasakiskuv, lõbustav@
@amusingly@|@lõbustavalt@
@amusive@|@amüsantne, lõbustav@
@Amy@|@Amy (= Amelia)@
@amyl-@|@amüül-@
@amyl alcohol@|@1-pentanool, amüülalkohol@
@amylase@|@amülaas@
@amylic@|@amüül-@
@amyloid@|@amüloid@
@amylose@|@amüloos@
@An@|@An (lennuk, Sumeri taevajumal)@
@an advantage@|@eelistuseks@
@an error@|@viga@
@an eternity@|@igavik@
@an eye for@|@silma (millegi jaoks)@
@an eye for an eye@|@silm silma vastu@
@an incurable disease@|@ravimatu haigus@
@an iota of@|@kriipsugi, vähimatki@
@ana@|@temaatiline anekdootide kogu@
@anabaptism@|@anabaptism@
@anabaptist@|@anabaptist@
@anabases@|@< anabasis@
@anabasis@|@edasitung, sõjaretk, taganemine, tõus (mäkke)@
@anabatic@|@ülespoole liikuv@
@anabiosis@|@anabioos, elutegevuse soikumine@
@anabiotic@|@anabiootiline@
@anabolic@|@anaboolne (sünteesi soodustav)@
@anabolic steroid@|@anaboolne steroid@
@anabolism@|@anabolism@
@anachorism@|@asukohta sobimatus@
@anachronic@|@anakrooniline@
@anachronical@|@anakrooniline@
@anachronism@|@anakronism, igand, valesse aega sattunu@
@anachronist@|@anakronist@
@anachronistic@|@anakronistlik@
@anachronistical@|@anakronistlik@
@anachronistically@|@anakronistlikult@
@anachronous@|@anakronistlik, vales ajastus@
@anacoluthia@|@anakoluut@
@anacoluthic@|@anakoluutne@
@anacoluthon@|@anakoluut, lauseehitusviga@
@anaconda@|@anakonda@
@anacreontic@|@anakreontiline@
@anacrisis@|@piinapingil ülekuulamine@
@anadromous@|@jõgedesse kudema tulev@
@Anadyr@|@Anadõr@
@anaemia@|@aneemia@
@anaemic@|@aneemiline@
@anaerobe@|@anaeroob@
@anaerobia@|@anaeroobia@
@anaerobic@|@anaeroobne@
@anaerobic bacteria@|@anaeroobne bakter@
@anaerobic organism@|@anaeroobne organism@
@anaerobically@|@anaeroobselt@
@anaesthesia@|@anesteesia, tuimastus@
@anaesthesiologist@|@anestesioloog@
@anaesthesiology@|@anestesioloogia@
@anaesthetic@|@anesteesia-, tuimasti ; tundetu@
@anaesthetist@|@anestesioloog@
@anaesthetize@|@tuimastama@
@Anagallis@|@varsapõlv@
@anaglyph@|@anaglüüf@
@anaglyphic@|@anaglüüfiline@
@anaglyphical@|@anaglüüfiline@
@anagoge@|@allegooriline tõlgendus, anagoog@
@anagogic@|@sisemine, sügav (mõte)@
@anagram@|@anagramm@
@anagrammatic@|@anagrammiline@
@anagrammatical@|@anagrammiline@
@anagrammatically@|@anagrammiliselt@
@anal@|@anaalne, päraku-@
@anal intercourse@|@anaalne suguühe@
@anal sex@|@anaalseks@
@anal vein@|@pärakuveen@
@analects@|@tsitaadid@
@analeptic@|@analeptiline ; analeptikum@
@analeptical@|@analeptiline@
@analgesia@|@analgeesia, valutundetus@
@analgesic@|@analgeetiline ; analgeetikum, valuvaigisti@
@analgesics@|@valuvaigistid@
@analgetic@|@analgeetiline@
@analog@|@analoog, analoog-@
@analog computer@|@analoogarvuti@
@analog process@|@analoogprotsess@
@analog-digital converter@|@analoog-digitaalmuundur@
@analogical@|@analoogiline@
@analogically@|@analoogiliselt, analoogselt@
@analogicalness@|@analoogilisus@
@analogism@|@analogism@
@analogist@|@analogist, sarnasuste otsija@
@analogous@|@analoogne, samafunktsionaalne@
@analogously@|@analoogiliselt@
@analogue@|@analoog@
@analogue computer@|@analoogarvuti@
@analogy@|@analoogia@
@analphabet@|@kirjaoskamatu@
@analphabete@|@kirjaoskamatu@
@analphabetic@|@kirjaoskamatu, mittetähestikuline@
@analysability@|@analüüsitavus@
@analysable@|@analüüsitav, jaotatav, liigendatav@
@analysation@|@analüüsimine@
@analyse@|@analüüsima@
@analyser@|@analüüsivahend@
@analysis@|@analüüs@
@analysis situs@|@topoloogia@
@analyst@|@analüütik ; psühhoanalüütik@
@analytic@|@analüütiline (keel, liit-, meetod vm)@
@analytic faculty@|@analüütilise mõtlemise oskus@
@analytic form@|@liitvorm@
@analytic geometry@|@analüütiline geomeetria@
@analytic philosophy@|@analüütiline filosoofia@
@analytic psychology@|@analüütiline psühholoogia@
@analytic superlative@|@liitülivõrre@
@analytical@|@analüütiline@
@analytical chemistry@|@analüütiline keemia@
@analytical cubism@|@analüütiline kubism@
@analytical cubist@|@analüütiline kubist@
@analytical geometry@|@analüütiline geomeetria@
@analytical psychology@|@analüütiline psühholoogia@
@analytically@|@analüüsi abil, analüütiliselt@
@analyticity@|@analüütilisus@
@analytics@|@analüütika@
@analyzability@|@analüüsitavus@
@analyzable@|@analüüsitav, jaotatav, liigendatav@
@analyzation@|@analüüsimine@
@analyze@|@analüüsima@
@analyzer@|@analüsaator@
@anamnesis@|@haiguse eellugu@
@anamnestic@|@anamneesiga seotud@
@anamorphism@|@anamorfism@
@anamorphosis@|@anamorfoos@
@ananas@|@ananass@
@anapaest@|@anapest@
@anapest@|@anapest@
@anaphora@|@anafoor@
@anaphoric@|@anafoorne@
@anaphrodisia@|@anafrodiisia, sugukihu puudus@
@anaphrodisiac@|@anafrodisiakum@
@Anapsida@|@kilpkonnad@
@anarchic@|@anarhiline@
@anarchical@|@anarhiline@
@anarchically@|@anarhiliselt@
@anarchism@|@anarhism@
@anarchist@|@anarhist@
@anarchistic@|@anarhistlik@
@anarchy@|@anarhia, seadusetus@
@Anas@|@part@
@anastigmat@|@anastigmaat@
@anastigmatic@|@anastigmaatiline@
@anastrophe@|@anastroof, sõnajärje ümberpööramine@
@anathema@|@anateem, kirikuvande alla panemine@
@anathematize@|@< anathemize@
@anatheme@|@anateem, kirikuvande alla panemine@
@anathemize@|@kirikuvande alla panema, needma@
@Anatidae@|@partlased@
