@English@|@Gothic@
@die@|@af-dáuþjan, wv., diwan, sv., ga-dáuþnan, wv., ga-swiltan, sv., swiltan, sv., us-anan, sv.@
@different@|@missa-leiks, adj.@
@difficult@|@aglus, adj.@
@dig@|@graban, sv.@
@dig out@|@us-graban, sv.@
@dig up@|@uf-graban, sv.@
@dignity@|@waírþida, sf.@
@diligent@|@us-dáudjan, wv.@
@diligently@|@glaggwuba@
@dinner@|@undaúrni-mats, sm.@
@disciple@|@sipôneis, sm.@
@disciple: be a ~@|@sipônjan, wv.@
@disclose@|@and-huljan, wv.@
@discord@|@missa-qiss, sf.@
@discover@|@finþan, sv.@
@disease@|@sauil, sn. sun, un-háil sn.@
@diseased@|@siuks, adj.@
@disfigure@|@fra-wardjan, wv.@
@disgrace@|@un-swêre wf.@
@disguise@|@huljan, wv.@
@dish@|@mês, sn.@
@dishonorable@|@un-swêrs, adj.@
@dishonour@|@un-swêre wf.@
@disobedient@|@un-ga-£aírbs, adj.@
@disorder@|@bi-háit, sn.@
@dispersion@|@dis-taheins, sf.@
@displeased: be ~@|@un-wêrjan, wv.@
@dispute@|@and-rinnan, sv., and-sakan, sv., miþ-sôkjan, wv.c.dat., sakan, sv., sôkjan, wv.@
@dispute over words@|@waúrda-jiuka, sf.@
@disputer@|@sôkareis, sm.@
@disquiet@|@brakja, sf.@
@disrobe@|@andwasjan, wv.@
@dissension@|@missa-qiss, sf.@
@dissolute@|@us-wiss, adj.@
@dissolution@|@dis-wiss, sf.@
@distant@|@faírra, adv.@
@distress@|@aggwiþa, sf., agliþa, sf.@
@distribute@|@fra-dáiljan, wv.@
@district@|@fêra, sf., gaw sn.@
@ditch@|@dal, sn., graba, sf.@
@divide@|@dáiljan, wv., dis-dáiljan, wv., fra-dáiljan, wv., ga-dáiljan, wv., skáidan, sv.@
@divine@|@gudisks, adj.@
@divorce@|@af-satjan, wv.@
@divorcement@|@af-sateins, sf.@
@dkin@|@fill, sn.@
@do@|@ga-táujan, wv., táujan, wv.@
@doctor@|@lêkeis, sm.@
@doctrine@|@láiseins, sf.@
@dog@|@hunds, sm.@
@door@|@daúr, sn., daúrô, wf., haúrds, sf.@
@door-keeper@|@daúra-wards, sm.@
@dove@|@ahaks, sf.@
@down@|@dalaþ, adv.@
@doze off@|@slêpan, sv.@
@drachma (Greek coinage)@|@drakma, wm.@
@drag@|@dragan, sv.@
@drapery@|@faúra-hâh sn.@
@draught@|@ur-runs, sm.@
@draw@|@tiuhan, sv.@
@draw away@|@af-tiuhan, sv.@
@draw near@|@ana-qiman, sv., nê£jan sik, wv.@
@drink@|@dragk, sn., drigkan, sv.@
@drive@|@dráibjan, wv., dreiban, sv.@
@drive away@|@us-tiuhan, sv.@
@drive out@|@us-dreiban, sv., us-waírpan, sv.@
@drunk@|@af-drugkja, wm.@
@drunkard@|@af-drugkja, wm.@
@drunkenness@|@drugkane wf.@
@dry@|@báuþs wairþan, bi-swaírban, sv.@
@dry up@|@ga-staúrknan, wv.@
@dry: become ~@|@ga-þaúrsnan, wv.@
@due to@|@du-þê, duþþê, conj.@
@dumb@|@báuþs adj., dumbs, adj.@
@dunghill@|@maíhstus, sm.@
@during@|@miþ-þan-e conj.@
@dust@|@mulda, sf.@
@dwell@|@bauan, wv., ga-bauan, wv., saljan, wv.@
@dwelling@|@bauáins, sf.@
@dwellling abode@|@saliþwôs, sf. pl.@
@e@|@ga-£atjan, wv.@
@e Sabbath@|@afar-sabbatus, sm.@
@each@|@£arjiz-uh, indef. pr., £az-uh, indef. pr.@
@each of two@|@£aþar-uh, indef. pr.@
@eager@|@gaírns, adj.@
@eagerness@|@aga-leiz@
@ear@|@áusô, wn.@
@ear of corn@|@ahs, sn.@
@earlier@|@áiris, adv.@
@early morn@|@ûhtwô, wf.@
@earnest@|@wad sn.@
@earth@|@aírþa, sf., faír£us, sm., midjun-gards, sm.@
@earthly@|@aírþeins, adj.@
@easier@|@raþizô, adj.@
@easy@|@áinfalþs, azêts, adj.@
@eat@|@ga-matjan, wv., itan, sv., matjan, wv.@
@eat up@|@fra-itan, sv.@
@edge: an ~@|@bôta, sf.@
@effective@|@waúrstweigs, adj.@
@effectual@|@waúrstweigs, adj.@
@eight@|@ahtáu, num.@
@eight days of age@|@ahtáu-dôgs, adj.@
@eighth@|@ahtuda, num.@
@eighty@|@ahtáutêhund, num.@
@either ... or@|@andiz-uh...aiþþáu@
@either...or@|@jabái...aíþþáu@
@eleven@|@áinlif, num.@
@else@|@aíþþáu, conj.@
@elsewhere@|@aljar, adv., aljaþ, adv.@
@elucidate@|@ga-skeirjan, wv.@
@emperor@|@káisar, sm.@
@empty@|@láus, adj.@
@empty stomach@|@láus-qiþrs, adj.@
@empty words@|@láusa-waúrde wf.@
@empty-handed@|@láus-handus, adj.@
@encompass@|@bi-wáibjan, wv.@
@encounter@|@ga-môtjan, wv.@
@end@|@andeis, sm.@
@endeavour@|@us-dáudjan, wv.@
@endless@|@anda-láus, adj., andi-láus, adj., un-sweibands, pres. part.@
@endure@|@and-standan, sv., ga-þulan, wv., þulan, wv., us-baíran, sv., us-þulan, wv.@
@enemy@|@fijands m.@
@engulf@|@fra-slindan, sv.@
@enjoy@|@ga-leikan, wv., niutan, sv.@
@enliven@|@ana-qiujan, wv.@
@enough@|@ga-nôhs, adj.@
@enroll@|@ana-mêljan, wv., ga-mêljan, wv.@
@entangle@|@du-ga-windan, sv.@
@enter@|@at-gaggan, sv., inn atgaggan, inn gaggan@
@enter in@|@inn atgaggan@
@entice@|@ga-£atjan, wv.@
@entreat@|@bidjan, sv.@
@entreaty@|@uf-blôteins, sf.@
@entrust@|@ana-filhan, sv., ga-trauan, wv.@
@entry@|@daúr, sn.@
@envy@|@neiþ, sn.@
@equal@|@ibna-leiks, adj., leiks, suffix@
@equally@|@sama-leikô, adv.@
@era@|@alds, sf.@
@eradicate@|@af-swaírban, sv.@
@error@|@ga-twola@
@error: be in ~@|@uswiss usmitan@
@escape@|@unþa-þliuhan, sv.@
@especially@|@þis-hun, adv.@
@espousal.@|@fra-gifts, sf.@
@establish@|@stiurjan, wv.@
@eternal@|@áiweins, adj.@
@eternity@|@áiws, sm., ajukdûþs, sf.@
@evangelist@|@aiwaggêlista, wm.@
@even@|@ibns, adj., jah, conj.@
@even as@|@swa-swê, adv.@
@even if@|@jabá conj.@
@even though@|@þáuh-jabá conj.@
@evening@|@anda-naht sn.@
@evening meal@|@nahta-mats, sm.@
@evenness@|@ibnassus, sm.@
@ever@|@£an-hun, adv., sinteinô, adv.@
@everlasting@|@áiweins, adj.@
@every@|@£arjiz-uh, indef. pr., £az-uh, indef. pr., alls, adj.@
@everyone@|@áin-£arjiz-uh, indef. pr.@
@evident@|@swi-kunþs, adj., us-kunþs, adj.@
@evil@|@þata ubilô, ubils, adj., un-sêls, adj., un-þiuþ, sn.@
@evil spirit@|@skôhsl, sn.@
@evil-doing@|@ubiltôjis, adj.@
@evilly@|@ubilaba, adv.@
@evil-speaking@|@ubil-waúrds, adj.@
@exactly@|@glaggwuba@
@exalt@|@háuhjan, wv., mikiljan, wv., us-háuhjan, wv.@
@exalted: be ~@|@ufar-hafnan, wv., us-háuhnan, wv.@
@example@|@fri-sahts, sf.@
@excellently@|@waíla, adv.@
@except@|@alja, conj., inuh, nibá niba, conj.@
@excess@|@us-stiure wf.@
@excessively@|@abraba, adv.@
@exchange@|@in-máideins, sf.@
@excuse@|@faúr-qiþan, sv., inilô, wf.@
@excuses: make ~@|@faúr-qiþan, sv.@
@executioner@|@spaíkulâtur, m.@
@exercise lordship@|@ga-fráujinôn, wv.@
@exhaust@|@af-dôjan, wv., fra-wisan, sv.@
@exhibiting@|@faúr-lageins, sf.@
@existence@|@wists sf.@
@expect@|@beidan, sv. c. gen.@
@expend@|@fra-qiman, sv., fra-wisan, sv.@
@expire@|@us-anan, sv.@
@extoll@|@þiuþjan, wv.@
@eye@|@áugô, wn.@
@eye of a needle@|@þaírkô nêþlôs@
@fable@|@spill, sn.@
@face@|@an-sîen, and-âug sn., ludja, sf., wlits, sm.@
@faint@|@uf-ligan, sv.@
@faith@|@ga-láubeins, sf.@
@faithful@|@triggws, adj.@
@fall@|@driusan, sv., drus, sm., ga-driusan, sv.@
@fall asleep@|@slêpan, sv.@
@fall down@|@driusan, sv.@
@falling away@|@af-stass, sf., us-drusts, sf.@
@falling off@|@af-stass, sf., us-drusts, sf.@
@false Christ@|@ga-liuga-xristus, sm.@
@false god@|@abgud idol@
@false prophet@|@ga-liuga-praúfêtus, sm.@
@false witness@|@ga-liuga-weitwôþs sm.@
@falsify@|@máidjan, wv.@
@fame@|@mêriþa, sf.@
@family@|@fadreins, sn.@
@family: member of the ~@|@hîwa@
@famous@|@mêrs, adj.@
@far@|@faírra, adv.@
@far away@|@landis@
@far off@|@faírra, adv.@
@fare@|@faran, sv.@
@fast@|@fastan, wv., tulgus, adj.@
@fasting@|@fastubn sn.@
@father@|@atta, wm., fadar, m.@
@fatigue@|@af-dôjan, wv., af-môjan, wv.@
@favour@|@ansts, sf.@
@favourable@|@ansteigs, adj.@
@fear@|@agis sn., faúrhte wf., ôgan, pret.-pres.@
@fear: have ~@|@faúrhtjan, wv.@
@fearful@|@faúrhtjan, wv., faúrhts, adj.@
@fearless@|@un-agands, adj.@
@fearlessness@|@un-age wf.@
@feast@|@daúhts, sf., dulþs, sf.@
@feast of the passover@|@paska, sf.@
@feeble@|@ga-máiþs adj., lasiws, adj.@
@feed@|@fôdjan, wv., haldan, sv., matjan, wv.@
@fellow-man@|@ga-man, sn.@
@fellow-worker@|@ga-waúrstwa, wm.@
@female@|@qina-kunds, adj., qineins, adj.@
@female cousin@|@niþjô, wf.@
@female neighbour@|@ga-raznô, wf.@
@fetter@|@hæft, náudi-band sf.@
@fetters@|@eisarna bi fôtuns gabugana@
@fever@|@brinnô, wf., heitô, wf.@
@few@|@fáus adj.@
@field@|@akrs, sm., háiþ sf., þaúrp, sn.@
@fierce@|@sleideis adj., un-mana-riggws, adj.@
@fiery@|@funisks, adj.@
@fifteen@|@fimf-taíhun, num.@
@fifteenth@|@fimfta-taíhunda, num.@
@fifth@|@fimfta-, num.@
@fifty@|@fimf tigjus, num.@
@fig@|@smakka, wm.@
@fight@|@háifstjan, wv., háifsts, sf., weihan, sv.@
@fig-tree@|@smakka-bagms, sm.@
@figuratively@|@us-mitan, sv.@
@fill@|@fulljan, wv., ga-fulljan, wv., ga-fullnan, wv., ga-sôþjan, wv.@
@final@|@aftumists, adj.@
@find@|@bi-gitan sv., finþan, sv.@
@find fault with@|@faian, wv.@
@find out@|@finþan, sv., ga-fraíhnan, sv.@
@find room@|@ga-môtan, pret.-pres., môtan, pret.-pres.@
@find room: I ~@|@ga-môt, pret.-pres.@
@finger@|@figgrs, sm.@
@finger-ring@|@figgra-gulþ, sn.@
@finish@|@us-tiuhan, sv.@
@fire@|@fôn, n.@
@firm@|@tulgus, adj.@
@first@|@faúr-þis, adv., fruma, adj., frumists, adj.@
@first-born@|@fruma-baúr, sm.@
@fish@|@fiskôn, wv., fisks, sm.@
@fisher@|@fiskja, wm., nuta, wm.@
@fit@|@fagrs, adj., ga-dôfs, adj., tils, adj.@
@fitting@|@ge-dafen@
@fitting: be ~@|@gi-burren@
@five@|@fimf, num.@
@fix@|@metemên, ráidjan, wv.@
@fixed@|@ga-ráiþs adj.@
@flawless@|@fulla-tôjis, adj.@
@flee@|@ga-þiuhan, sv., þliuhan, sv., unþa-þliuhan, sv.@
@fleeting@|@£eila-£aírbs, adj.@
@flesh@|@leik, sn., mims sn.@
@flight@|@þlaúhs, sm.@
@flock@|@haírda, sf.@
@flood@|@flôdus, sf.@
@flow away@|@us-gutnan, wv.@
@flower@|@blôma, wm.@
@flute: play the ~@|@swiglôn, wv.@
@foal@|@fula, wm.@
@foam@|@£aþjan, wv.@
@foe@|@fijands m.@
@foiliage@|@láufs, sm.@
@fold@|@falþan, sv., garda, wm.@
@-fold@|@falþs, adj.@
@fold up@|@falþan, sv.@
@follow@|@afar-láistjan, wv., afargaggan, sv., ga-láista wisan, ga-láistjan, wv., láistjan, wv.@
@follow after@|@afar-láistjan, wv., láistjan, wv.@
@follower@|@ga-láista, wm.@
@folly@|@un-frôde wf., un-wit sn.@
@foment trouble@|@drôbjan, wv.@
@font@|@brunna, wm.@
@food@|@fôdeins, sf., mats, sm., us-fôdeins, sf.@
@foolish@|@dwals, adj., un-wits, adj.@
@foolish talking@|@dwala-waúirde wf.@
@foolish: be ~@|@dwalmôn, wv.@
@foolishness@|@dwaliþa, sf., un-frôde wf., un-wit sn.@
@foot@|@fôtus, sm.@
@foot-print@|@láists, sm.@
@footstool@|@fôtu-baúrd, sn.@
@for@|@áuk raíhtis, áuk, conj., raíhtis, conj., þan-nu, þan-uh, conj., untê, conj.@
@for how long a time@|@£an lagg mêl@
@for that@|@þê-e conj.@
@for the third time@|@þridjô, adv.@
@forbid@|@faúr-biudan, sv., warjan, wv.@
@force@|@náuþjan, wv.@
@forefather@|@atta, wm.@
@foreign@|@alja-kuns, adj., eli-lent@
@foremost@|@aúhumists adj., frumists, adj.@
@foretell@|@faúra-ga-teihan, sv., faúra-qiþan, sv.@
@forever@|@áiweins, adj., in áiwins@
@forewarn@|@faúra-ga-teihan, sv.@
@forget@|@ufar-munnôn, wv.@
@forgiveness@|@af-lêts, sm., fra-lêts, sm.@
@form of earth@|@deigan, sv.@
@formerly@|@faúr-þis, adv.@
@fornication@|@kalkinassus, sm.@
@forsake@|@af-qiþan, sv., bi-leiþan, sv.@
@forth@|@us-gaggan, sv., ût, adv.@
@forty@|@fidwôr tigjus, num.@
@foul@|@fûls, adj.@
@foundation@|@grundu-waddjus, sm.@
@four@|@fidwôr, num.@
@fourfold@|@fidur-falþs, num., fidurfalþs@
@fourteen@|@fidwôr-taíhun, num.@
@fowl@|@fugls, sm.@
@fox@|@faúhô, wf.@
@fragment@|@draúhsna, sf., ga-bruka, sf.@
@free@|@freis, adj., láusjan, wv.@
@free: set ~@|@and-bindan, sv.@
@freedom@|@frei-hals, sm.@
@friend@|@frijônd sf., frijônds, m.@
@frighten completely@|@us-agjan, wv.@
@from@|@af, prep. c. dat., faúr, fram, prep. c. dat., us, prep. c. dat.@
@from a distance@|@faírraþrô, adv.@
@from afar@|@faírraþrô, adv.@
@from all sides@|@aljaþrô, adv.@
@from another direction@|@aljaþ, adv.@
@from every direction@|@aljaþrô, adv.@
@from henceforth@|@fram himma@
@from now on@|@fram himma@
@from there@|@þaþrô, adv.@
@from without@|@ûtaþrô@
@fruit@|@akran, sn.@
@fruit: bear ~@|@akran baíran, ga-wrisqan, sv.@
@fruitbearing@|@akran baíran@
@fulfill@|@fulljan, wv., us-fulljan, wv.@
@fulfilled: be ~@|@us-fullnan, wv.@
@fulfilling@|@us-fulleins, sf.@
@full@|@fulls, adj., saþs, adj.@
@full of light@|@liuhadeins, adj.@
@full: be ~@|@saþs waírþan@
@fulness@|@fulleiþs, sf. sn., fullô, wf.@
@furlong@|@spaúrds, adj.@
@furnish@|@ga-stráujan, wv., und-rêdan, sv.@
@further@|@framis, adv., þana-máis, adv., þana-seiþs, adv.@
@furtherance@|@fram-gâhts, sf.@
@gable@|@gibla, wm.@
@gain@|@ga-geigan, wv.@
@gallows@|@galga, wm.@
@garment@|@snaga, wm.@
@gather@|@ga-rinnan, sv., lisan, sv.@
@gather gether@|@ga-lisan@
@genealogy@|@ga-baúrþi-waúrda@
@generally@|@allis, adv.@
@generation@|@alds, sf., kun sn.@
@genuine@|@pistikeins, adj.@
@get@|@and-niman, sv., fra-niman, sv.@
@get an advantage of@|@ga-áiginôn, wv.@
@get lost@|@fra-lusnan, wv.@
@get old@|@us-alþan, sv.@
@gibberish@|@dwala-waúirde wf.@
@gift@|@giba, sf., kaúrbân, máiþms, sm.@
@gird up@|@uf-gaírdan, sv.@
@girdle@|@gaírda, sf.@
@give@|@fra-giban, sv., giban, sv.@
@give  drink@|@ga-dragkjan, wv.@
@give drink@|@dragkjan, wv.@
@give life@|@ga-qiujan, wv.@
@give light@|@liuhtjan, wv.@
@give thanks@|@awiliudôn, wv.@
@give up@|@at-giban, sv., ga-lêwjan, wv.@
@giver@|@gibands, m.@
@giving away: a ~@|@fra-gifts, sf.@
@glad@|@blîde@
@glade@|@dal, sn.@
@gladly@|@ga-baúrjaba, adv.@
@gladness@|@fahêþs, sf.@
@glance around@|@faír-weitjan, wv.@
@glen@|@dal, sn.@
@glitter@|@glitmunjan, wv.@
@glorify@|@ga-swêran, wv., háuhjan, wv., mikiljan, wv.@
@glorious@|@wulþags, adj.@
@glory@|@wulþus, sm.@
@glutn@|@af-êtja, wm.@
@gnash with the teeth@|@kriustan, sv.@
@gnashing@|@krusts, sf.@
@go@|@du-at-gaggan, sv., faran, sv., ga-leiþan, sv., gaggan, sv., leiþan, sv., wratôn, wv.@
@go along@|@skêwjan, wv.@
@go astray@|@fra-lusnan, wv.@
@go away@|@us-leiþan, sv.@
@go before@|@faúr-bi-gaggan, sv.@
@go down@|@at-gaggan, sv., sagqjan wv., sigqan, sv.@
@go in@|@inn atgaggan, inn gaggan@
@go out@|@us-gaggan, sv.@
@go out from@|@ur-rinnan, sv.@
@go through@|@þaírh-gaggan, sv., þaírh-leiþan, sv.@
@go up@|@us-steigan sv.@
@goad@|@gáiru, sn.@
@goat@|@gáits, sm.@
@God@|@all-waldands, sm., guþ, sm.@
@godless@|@af-guþs, adj., guda-láus, adj.@
@godliness@|@ga-gude wf.@
@godly@|@ga-gudaba, adv., ga-guþs adj.@
@Gods: heathen ~@|@guda@
@going down (of the sun)@|@sagqs sm.@
@gold@|@gulþ, sn.@
@golden@|@gulþeins, adj.@
@good@|@gôþs adj., leikáins, sf., sêls, adj., þiuþ, adj., þiuþeigs, adj.@
@good for: be ~@|@dugan, pret.-pres.@
@good: do ~@|@bôtjan, wv., þiuþjan, wv.@
@goodness@|@gôde wf.@
@gorgeous@|@wulþags, adj.@
@gospel@|@aíwaggêljô, wf.@
@govern@|@faúra-standan, sv., reikinôn, wv., waldan, sv.@
@governor@|@faúra-gagga, wm., faúra-gaggja, wm., káisar, sm., kindins, sm., ragineis, sm.@
@grab on to@|@ana-haban, wv.@
@grace@|@ansts, sf.@
@gracious@|@ansteigs, adj., hulþs, adj.@
@grain@|@£áiteis, sm.@
@grandmother@|@awô, wf.@
@grant@|@fra-giban, sv., und-rêdan, sv.@
@grasp@|@fâhan, sv.@
@grass@|@gras, sn., haw sn.@
@grave@|@aúrah sf., aúrahjô, hláiw, sn.@
@great@|@abrs, adj., filu, mikils, adj.@
@great age: of ~@|@fram-aldrs, adj.@
@great deal@|@filu@
@great many@|@mnags, adj.@
@greatest@|@máists, adj.@
@greatly@|@abraba, adv., mikilaba, adv.@
@greatness@|@mikil-dûþs, sf., mikile wf.@
@greedy@|@friks, adj., grêdags, adj.@
@greedy: be ~@|@grêdôn, wv.@
@greet@|@gôljan, wv.@
@grief@|@saúrga, sf.@
@grievously@|@harduba, adv.@
@grind@|@malan, sv.@
@grind the teeth@|@kriustan, sv.@
@ground@|@grundus, sm.@
@grow@|@alan, sv., in-swinþjan, wv., keinan, sv., liudan, sv.@
@grow up@|@us-keinan, sv.@
@grown up: being ~@|@láuþs, adj.@
@growth@|@us-wahsts, sf., wahstus, sm.@
@guard@|@wardja, wm.@
@guest@|@gasts, sm.@
@guest-chamber@|@saliþwôs, sf. pl.@
@guide@|@tiuhan, sv.@
@guilty@|@skula, adj.@
@habit@|@sidus, sm.@
@haft@|@hæft@
@hair@|@tagl, sn.@
@hair of the head@|@skuft, sn.@
@half@|@halbs, adj.@
@half-blind@|@háihs, adj.@
@hall@|@rôhsns, sf.@
@hallowed: be ~@|@weihnan, wv.@
@halt@|@halts, adj.@
@hand@|@handus, sf.@
@hand: be at ~@|@at-nê£jan, wv.@
@hand-made@|@handu-waúrhts, adj.@
@handmaid@|@þiwi sf.@
@hang@|@hâhan, sv.@
@happen@|@ga-daban, sv.@
@happy@|@sâlîg@
@hard@|@aglus, adj., hardus, adj.@
@harden@|@ga-dáubjan, wv.@
@hardened@|@dáufs, adj.@
@hard-heartedness@|@hardu-haírte wf.@
@hardly@|@harduba, adv., ni allis@
@hardness@|@dáubiþa, sf.@
@harlot@|@kalkjô, wf.@
@harm@|@ana-mahtjan, wv.@
@harvest@|@asans, sf.@
@hasten@|@rinnan, sv., sniumjan, wv., sniwan, sv.@
@hasten to@|@faúr-sniwan, sv.@
@hasten towards@|@du-at-sniwan, sv.@
@hate@|@fijan, wv., hatan, wv., hatjan, wv.@
@hatred@|@fijaþwa sf., hatis, sn., neiþ, sn.@
@haughty@|@háuh-þûhts, adj., un-tila-malsks, adj.@
@haul@|@ga-fâhs, sm.@
@have@|@áihan, pret.-pres., ga-haban, wv., haban@
@have pity on@|@ga-arman, wv.@
@have space@|@ga-môtan, pret.-pres.@
@have: I ~@|@áih, pret.-pres.@
@have: we ~@|@áigum,@
@hay@|@haw sn.@
@he@|@is, pers. pr.@
@he other side (of a lake)@|@jáinis stadis@
@he who@|@sa-e rel. pr.@
@head@|@háubiþ, sn.@
@heal@|@ga-háiljan, wv., háiljan, wv., lêkinôn, wv.@
@healed: be ~@|@ga-háilnan, wv.@
@healing@|@lêkinassus, sm.@
@healt@|@halts, adj.@
@health@|@ga-nists, sf.@
@healthy@|@swinþs, adj.@
@heap up@|@ga-dragan, sv., rikan, sv.@
@hear@|@and-háusjan, wv., ga-háusjan, wv., háusjan, wv., háusjôn, wv.@
@hearing@|@hliuma, wm.@
@heart@|@haírtô, wn.@
@heath@|@háiþ sf.@
@heathen woman@|@háiþnô, wf.@
@heaven@|@himins, sm.@
@heavenly@|@himina-kunds, adj.@
@heavy@|@kaúrus, adj., swâr@
@hedge@|@faþa, sf.@
@heed@|@and-háusjan, wv.@
@height@|@háuhist sn.@
@heir@|@arbi-numja, wm., arbja, wm.@
@heiress@|@arbjô, wf.@
@Hell@|@gaíaínna, wm., halja, sf.@
@helmet@|@hilms, sm.@
@help@|@hilpan, sv., niþan, sv.@
@hem of a garment@|@skáuts, sm.@
@henceforth@|@fram himma@
@henceforward@|@fram-waírþis, adv.@
@herd@|@haírda, sf.@
@here@|@hêr, adv.@
@heritage@|@arb sn.@
@hew@|@máitan, sv.@
@hidden@|@ana-láugns, adj., fulgins, adj.@
@hidden: the thing ~@|@fulhsn sn.@
@hide@|@baírgan, sv., filhan, sv., fill, sn., ga-filhan, sv., huljan, wv.@
@hiding-place@|@filigri sn.@
@high@|@háuhs, adj.@
@higher@|@aúhuma, adj., háuhis, adv.@
@highest@|@aúhumists adj., háuhist sn.@
@highest point@|@háuhist sn.@
@highly@|@háuhaba, adv.@
@hill@|@hláins, sm.@
@hill-country@|@baírgahe wf.@
@hinder@|@marzjan, wv.@
@hindmost@|@hindumists, adj.@
@hip@|@hups, sm.@
@hired servant@|@asneis, sm.@
@his@|@seins, poss. pr.@
@hit@|@bliggwan, sv., slahan, sv.@
@hither@|@hêr, adv., hidrê, adv., und hita nu@
@hoard up@|@huzdjan, wv.@
@hold@|@ga-haban, wv., haban, haldan, sv.@
@hold dear@|@ga-þláihan, sv.@
@hold fast@|@ga-fastan, wv.@
@hold firm@|@fastan, wv., ga-standan, sv.@
@hold one's ngue@|@af-dumbnan, wv.@
@hold one's tongue@|@þahan, wv.@
@hold up@|@uf-haban, wv.@
@hole@|@grôba, sf.@
@hole through anything@|@þaírkô, wn.@
@holiness@|@weihiþa, sf.@
@hollow out@|@ga-draban, sv.@
@holy@|@weihs, adj.@
@holy: become ~@|@weihnan, wv.@
@homestead@|@háimôþl sn.@
@honestly@|@aíþþáu jah@
@honey@|@miliþ, sn.@
@honour@|@blôtan, sv., swêran wv., swêre wf., swêriþa sf.@
@honoured@|@swêrs adj.@
@hope@|@wênjan, wv., wêns, sf.@
@horn@|@haúrn, sn.@
@horn-blower@|@haúrnja, wm.@
@hosanna@|@ôsanna@
@host@|@harjis, sm.@
@hostile@|@anda-neiþs, adj.@
@hound@|@hunds, sm.@
@hour@|@£eila, sf.@
@hour season@|@mêl, sn.@
@house@|@gards, sm., razn, sn.@
@household@|@gards, sm.@
@household: of the same ~@|@inna-kunds, adj.@
@how@|@£áiwa, conj. and adv., £ê, adv.@
@how long@|@und £a@
@how much@|@£an filu@
@however@|@ak conj., iþ, conj., raíhtis, conj., swê-þáuh, adv.@
@human@|@mannisks, adj.@
@humanity@|@manniskôdus, sm.@
@humble@|@hnáiws, adj.@
@hundred@|@hund, sn., taíhuntêhund  num.@
@hundredfold@|@taíhuntaíhund-falþs, num.@
@hunger@|@huggrjan, wv., hûhrus, sm.@
@hungry@|@grêdags, adj.@
@hungry: be ~@|@grêdôn, wv.@
@hurl@|@waírpan, sv.@
@hurl down@|@af-dráusjan, wv.@
@husband@|@aba, hîwo@
@husk@|@haúrn, sn.@
@hypocrisy@|@liute wf.@
@hypocrite@|@liuta, wm.@
@hypocritical@|@liuts, adj.@
@I am@|@im, def. v.@
@I know@|@wáit, pret.-pres.@
@I may be@|@sijáu@
@I need@|@þarf, pret.-pres.@
@I thought@|@þâhta, pret.@
@if@|@iþ, conj., jabá conj., þandê, conj., þat-ei conj.@
@if so@|@ja-u@
@if...not@|@nibá niba, conj.@
@ignorance@|@un-wit sn.@
@ill@|@siuks, adj.@
@ill: be ~@|@ubil haban@
@ill-treat@|@ga-áiwiskôn, wv.@
@illuminate@|@ga-liuhtjan, wv.@
@illumination@|@and-huleins, sf.@
@image@|@man-leika, wm.@
@immanent@|@at-ist@
@immature@|@barnisks adj.@
@immediately@|@anaks, adv., suns-áiw, adv., suns, adv.@
@imminent@|@at-wisan, sv.@
@immortality@|@un-riure wf.@
@impious@|@af-guþs, adj.@
@implacable@|@un-hunslags, adj.@
@impossible@|@un-mahteigs, adj.@
@imprison@|@fra-hinþan, sv.@
@in@|@ana, prep. c. acc./dat., and, prep. c. acc., in, prep. c. acc., in, prep. c. acc., inn, adv.@
@in a greater rush@|@sniumundôs@
@in debt@|@skula, adj.@
@in front of@|@in and-waírþja@
@in like manner@|@sama-leikô, adv.@
@in need@|@wans@
@in no way@|@waíhtá ni in waíhtá@
@in order@|@ga-hâhjô, adv.@
@in order that@|@þe conj.@
@in such manner@|@ana-leikô, adv.@
@in that place@|@jáinar, adv.@
@in the midst@|@in midumá@
@in vain@|@swarê, adv.@
@in what way@|@£áiwa, conj. and adv.@
@incarcerate@|@at-giban, sv.@
@incline@|@driusô, wf.@
@inconstant@|@£eila-£aírbs, adj.@
@incontinent@|@un-ga-habands sik, pres. part.@
@incorruption@|@un-riure wf.@
@increase@|@áukan, sv., bi-áukan, sv., þeihan, sv., us-wahsts, sf., wahsjan, sv.@
@indeed@|@áuftô (aúftô?), adv., raíhtis, conj., swê-þáuh, adv.@
@inebriate@|@af-drugkja, wm.@
@inebriation@|@drugkane wf.@
@infirmity@|@siuke wf., un-mahts, sf.@
@inflexibility@|@dáubiþa, sf.@
@inhabit@|@bauan, wv.@
@inherit@|@arbja wairþan@
@inheritance@|@áigin, sn., arb sn.@
@inheritor@|@arbja, wm.@
@inhuman@|@un-mana-riggws, adj.@
@initiate@|@ana-stôdjan, wv.@
@injure@|@ana-mahtjan, wv., ga-skaþjan, wv., ga-sleiþjan, wv., hôlôn, wv., meiþa, skaþjan, sv.@
@injured in: be ~@|@gasleiþjan sik@
@injustice@|@un-sêle wf.@
@inmost@|@innuma, adj.@
@inner@|@innuma, adj.@
@innermost@|@innuma, adj.@
@innocent@|@un-áiwisks, adj.@
@inopportunely@|@un-ûhteigô adv.@
@inquiry@|@sôkns, sf.@
@inside@|@innana, adv.@
@insipid: become ~@|@báuþs wairþan@
@inspiration@|@ahmateins, sf.@
@instruct@|@talzjan, wv.@
