@Somali@|@English@
@calaamo@|@emblem@
@calaf@|@daily bread@
@calafka@|@bad@
@calali@|@chew@
@calan@|@flag@
@calas@|@muddy water@
@caleen@|@leaf@
@callaafad@|@bait@
@callaal@|@bribe@
@calmo@|@choose@
@calmo@|@like, love@
@calmo@|@love@
@caloolduubasho@|@giving up@
@caloolgal@|@pregnancy@
@caloolsami@|@good heartedness@
@caloolxumo@|@sadness@
@caloolxumow@|@be sad@
@caloolyoob@|@worry@
@caloolyow@|@anxiety (1)@
@caloolyow@|@worry (1)@
@calyo@|@saliva@
@camal@|@behavior@
@camalxumo@|@bad temper@
@cambaareey@|@condemn@
@canaad@|@obstinacy@
@canaan@|@reprimand@
@canab@|@grapes@
@canbaar@|@storm@
@canjeel@|@type of tree@
@canjeero@|@flat@
@canjil@|@imitate@
@canqaw@|@ankle@
@canshuur@|@tax@
@cantuug@|@take a bite of@
@cantuugo@|@bite@
@canug@|@child@
@caqiido@|@religious principle@
@caqli@|@intelligence@
@caqliceli@|@give advice to@
@caqlilow@|@intelligent person@
@caraadi@|@encourage@
@carabbaabba@|@take anger out on@
@carabi@|@type of fish@
@caradhaban@|@pain@
@caraf@|@be fragrant, sweet odor@
@carar@|@escape@
@cararid@|@running away@
@carbi@|@tame@
@carbuun@|@deposit, put down a deposit@
@carceero@|@haze@
@carceero@|@fog@
@caree@|@make angry@
@cariir@|@trembling@
@cariish@|@rectangular house, mud hut@
@carjab@|@used, lose its newness@
@caro@|@anger, destroy@
@carood@|@be angry, becoming angry@
@carrab@|@tongue@
@carraggeddiso@|@take a vacation@
@carro@|@dirt@
@carruur@|@children@
@cartan@|@anger, become angry@
@caruur@|@child@
@carwaajiis@|@purple@
@cas@|@red@
@casaan@|@redness@
@casabo@|@relatives@
@casar@|@afternoon@
@casarliiq@|@late in the afternoon@
@cashar@|@lesson@
@cashee@|@have evening meal@
@cashiiro@|@relatives@
@casho@|@supper, day@
@cashuur@|@tax@
@casiin@|@red@
@casiis@|@respectability@
@casiisnimo@|@respectability@
@casri@|@era@
@casum@|@invite@
@casumid@|@inviting@
@casuumad@|@invitation@
@cataab@|@complain@
@cataabid@|@rebuke@
@cataw@|@complaint@
@caw@|@near, side@
@caw@|@side@
@cawarid@|@cheating@
@caweys@|@spending the evening@
@caweysin@|@evening@
@cawiif@|@off-white@
@cawil@|@substitute@
@cawl@|@tan color@
@cawo@|@night@
@cawo@|@good fortune@
@caws@|@grass@
@cay@|@insult (1)@
@cay@|@drool@
@cayaar@|@game, play@
@cayaari@|@entertain, pulley@
@cayaaryahan@|@sportsman@
@cayayaan@|@insects@
@caydh@|@the poor@
@caydnaan@|@poverty@
@cayil@|@fatness, get fat@
@cayili@|@fatten@
@caymad@|@remaider@
@caymasho@|@being safe@
@caymi@|@saving@
@caymis@|@insurance@
@caymo@|@remaider, take refuge@
@cayn@|@type@
@caynad@|@type@
@caynad@|@sort@
@caynad@|@kind@
@cayr@|@poor person@
@cayrin@|@release@
@cayrtoobo@|@become poor@
@caytan@|@insult (1)@
@cedhib@|@heel@
@cedhiidhi@|@being short@
@ceeb@|@shame@
@ceebaal@|@shame@
@ceebee@|@expose@
@ceebeeyn@|@exposure@
@ceednaan@|@need@
@ceegaag@|@be filled to the rim@
@ceego@|@strangulation@
@ceeji@|@stiffle@
@ceeji@|@strangle@
@ceejo@|@strangulation@
@ceel@|@well@
@ceemad@|@sack@
@ceeriin@|@raw food@
@ceerso@|@chase@
@ceeryaamo@|@clouds@
@cees@|@respect (1)@
@cees@|@honor (1)@
@celcelis@|@repetition@
@celi@|@stop@
@ceyri@|@chase@
@ceyro@|@chase@
@ci@|@cry@
@cib@|@nipple@
@cibaadeysi@|@worship@
@cibaadeyso@|@worship@
@cibaado@|@worship@
@cid@|@community, people (1)@
@ciddale@|@owner@
@ciddi@|@fingernail@
@ciddijiid@|@walk slowly, slow@
@ciddikujoog@|@finger tip@
@cidhif@|@limit@
@cidhif@|@pole@
@cidhif@|@tip, edge (1)@
@cidhif@|@edge (1)@
@cidlee@|@vacate@
@cidlood@|@feel lonely@
@cidna@|@nobody@
@cigaal@|@headband, put a turban on@
@cigasho@|@alternative@
@cigasho@|@substitute@
@ciid@|@brown, sand, celebrate, dirt@
@ciidami@|@rescue@
@ciidamin@|@service@
@ciidammo@|@military@
@ciidan@|@be of service, workforce@
@ciidansi@|@looking for help@
@ciidanso@|@seek help@
@ciidanso@|@rescue@
@ciidanxumo@|@needing help@
@ciil@|@disturb, grief@
@ciilcun@|@feel anxious, grief, anxiety@
@ciilkaanbi@|@repetance@
@ciir@|@blister, buttermilk, stagger@
@ciirso@|@rely on@
@ciiryaamo@|@cloud@
@ciiryaamo@|@fog@
@ciise@|@spear@
@cilaaq@|@argue, argument (1)@
@cilaaq@|@argument(1), argue (1)@
@cilaaq@|@argue (1)@
@cilaaqaad@|@connections, relations@
@cilaaqtamid@|@act of arguing@
@cilaaqtan@|@argue@
@cillanaad@|@hidden thing@
@cilmi@|@learning@
@cimil@|@trap@
@cimilo@|@weather@
@cimri@|@age@
@cinaad@|@stubbornness@
@cinjir@|@rubber@
@cinwaan@|@adress, address@
@ciqaab@|@punishment@
@ciqaab@|@punish@
@cir@|@sky, capacity of the stomach@
@ciraab@|@eloquence@
@ciraaq@|@Iraq@
@cirboor@|@tornado@
@cirboor@|@cyclone@
@circaddaa@|@moonlight@
@cirib@|@heel@
@ciribdanbeed@|@result@
@ciribtir@|@eradication@
@ciribtir@|@eradicate@
@cirid@|@sand@
@cirif@|@edge@
@ciriir@|@difficulty@
@ciriiri@|@crowd@
@cirkasoodhac@|@something unexpected@
@cirrid@|@gum@
@cirro@|@gray hair@
@ciryaamo@|@mist@
@cis@|@respect@
@cisaaro@|@fine@
@cisaaro@|@penalty, fine@
@cisbitaal@|@hospital@
@cisee@|@respect (1)@
@cisee@|@honor (1)@
@ciseyn@|@respect (1)@
@ciseyn@|@esteem@
@cishe@|@early evening@
@ciso@|@honor (1)@
@ciso@|@to respect@
@cisyaan@|@defiance@
@ciyaal@|@children@
@ciyaalnimo@|@childhood@
@ciyaar@|@dance@
@ciyi@|@sharing@
@ciyid@|@crying@
@ciyy@|@cry@
@cod@|@voice@
@cod baahiye@|@amplification@
@codasho@|@request@
@codasho@|@appeal@
@codkar@|@orator@
@codsasho@|@appeal@
@codsi@|@appeal@
@codso@|@request@
@col@|@enemy@
@colaacol@|@leech@
@colaad@|@aggression@
@colguri@|@family quarrel@
@cood@|@wealth@
@cooddi@|@meat@
@cub@|@stuff@
@cub@|@stuffing@
@cub@|@to plug@
@cudaddaar@|@justification@
@cudaddaarasho@|@justification@
@cudbi@|@cotton@
@cuddad@|@hammer@
@cuddoonaan@|@evenness@
@cuddoonaan@|@parallelness@
@cudud@|@upper arm@
@cudur@|@ailemt, ailment@
@cudurdaar@|@excuse@
@cudursheeg@|@diagnosis@
@cuf@|@stuff@
@cuf@|@plug@
@cufee@|@stuff@
@cufee@|@plug@
@cugtan@|@take sides@
@cukad@|@leather@
@cukur@|@wrist@
@cul@|@purify@
@culaab@|@weight@
@culays@|@weight@
@cululbad@|@memory@
@cululubasho@|@memory@
@cululubo@|@remember@
@culus@|@heavy@
@cumaacun@|@foot@
@cumi@|@tom-cat@
@cumri@|@life, age@
@cun@|@eat@
@cunaa@|@big eater@
@cuncun@|@itch@
@cuncunid@|@itching@
@cune@|@throat@
@cunno@|@food (1)@
@cuno@|@food@
@cuno@|@food (1)@
@cunsii@|@cause to eat@
@cunsur@|@origin@
@cuntan@|@be agreeable@
@cunto@|@food@
@cuntub@|@small group@
@cunug@|@infant@
@cuq@|@incubation@
@cuqdad@|@phobia@
@cuqdad@|@complex, having little capacity@
@cuqubo@|@curse@
@cuquul@|@wise men@
@cuquul@|@elders@
@cuquule@|@elders@
@cuquule@|@wise men@
@cuquulee@|@be thrifty@
@curaar@|@collateral@
@curad@|@first born@
@curasho@|@cloud@
@curcur@|@forearm, hill@
@curi@|@create@
@curiye@|@element@
@curre@|@male cat (tomcat)@
@curri@|@male cat (tomcat)@
@curuf@|@custom@
@curuq@|@fatigue, feel fatigue@
@curyaami@|@cripple@
@curyaan@|@become crippled@
@cusayb@|@new thing@
@cusbataal@|@hospital@
@cusbee@|@put salt on@
@cusbo@|@salt@
@cusboonan@|@newness@
@cusboonee@|@renew@
@cuskug@|@sit and do nothing@
@cusub@|@new@
@cutub@|@small group@
@cutush@|@weak person, old@
@cuud@|@type of incense@
@cuudi@|@burn@
@cuur@|@crowd@
@cuur@|@group@
@daa@|@let go@
@daabac@|@embroider@
@daabac@|@print@
@daabac@|@printing@
@daac@|@belch@
@daacad@|@frankness@
@daacuun@|@cholera@
@daad@|@flood, flow of water@
@daadguree@|@trasfer@
@daadguree@|@evacuate@
@daafac@|@defense@
@daafacid@|@protecting@
@daafi@|@cereal@
@daah@|@be late, screen@
@daahi@|@delay@
@daahi@|@detain@
@daahi@|@hinder@
@daahid@|@delay (1)@
@daahid@|@lateness@
@daahir@|@delay@
@daaho@|@curtain@
@daal@|@be tired, fatigue@
@daalaca@|@leftover@
@daallan@|@sweet@
@daallin@|@felon@
@daallinimo@|@dishonesty@
@daaltirasho@|@act of resting@
@daaltiro@|@rest@
@daan@|@cliff, lower jaw, one half of the jaw@
@daandaami@|@make dizzy@
@daandaan@|@dizziness, feel dizzy@
@daandaansasho@|@provocation@
@daandaansi@|@provocation@
@daandaanso@|@provoke@
@daanyeer@|@monkey@
@daaq@|@graze@
@daaqa@|@grazing@
@daaqad@|@window@
@daaqo@|@strenght (1)@
@daaqsin@|@grazing area@
@daar@|@building, light@
@daarad@|@fence@
@daaran@|@catch fire@
@daardaar@|@annoying, kindle several fires@
@daardhuuq@|@portion@
@daarid@|@ignition@
@daarood@|@clan family@
@daas@|@store@
@daas@|@shop@
@daasad@|@can@
@daasad@|@tin@
@daash@|@fenced yard@
@daaska baadka@|@grocery store@
@daawad@|@act of watching@
@daawade@|@onlooker@
@daawadhigasho@|@medical treatment@
@daawasho@|@act of watching@
@daawee@|@give medicine@
@daaweyn@|@give medical treatment@
@daaweysad@|@medical treatment@
@daaweysasho@|@medical treatment@
@daawo@|@medicine, view, cooperation@
@daawo siin@|@administration@
@daawooyin@|@medicine@
@daay@|@leave alone, understand@
@daayeer@|@ape, monkey@
@daayeer@|@monkey, baboon@
@dab@|@fire, trap, grasp, give back@
@dabaadi@|@end@
@dabaal@|@swimming@
@dabaaldeg@|@celebrate@
@dabaalo@|@swim@
@dabaax@|@slaughter@
@dabac@|@behavior@
@dabac@|@manner@
@dabadeed@|@behind@
@dabadhiig@|@stomach hemorrhage@
@dabadhilif@|@stooge@
@dabadir@|@send after@
@dabaggaalle@|@squirrel@
@dabaggal@|@following@
@dabaggal@|@follow@
@dabajoognimo@|@dependency@
@dabammari@|@postpone@
@daban@|@back@
@dabandeeb@|@walking back and forth@
@dabaq@|@floor@
@dabaqad@|@class, rank@
@dabar@|@hobble@
@dabasoco@|@go after@
@dabasocod@|@act of following@
@dabasocosho@|@act of following@
@dabayaaqo@|@end@
@dabayl@|@wind, weather@
@dabbaal@|@stupid person@
@dabbaaldeg@|@celebrate, celebration@
@dabbaan@|@ford (a river), shallow water@
@dabbar@|@rage@
@dabbaraale@|@hot-tempered person@
@dabci@|@character, weaken@
@dabeeb@|@argument@
@dabeebad@|@arguing@
@dabeebasho@|@arguing@
@dabeebo@|@argue@
@dabeec@|@nature@
@dabeec@|@character@
@dabeecad@|@nature, behavior@
@Dabeecad la qabsi leh@|@adaptative behavior@
@dabel@|@request@
@dabhan@|@across@
@dabicad@|@behavior (1)@
@dabiib@|@doctor@
@dabin@|@trap@
@dable@|@soldier with firearms@
@dabniin@|@rope@
@dabo@|@tail, buttocks, upper back, behind@
@dabool@|@cover, lid@
@dabuub@|@argument (1)@
@dabuula@|@heifer@
@dabuula@|@buck@
@dac@|@rain@
@dacaayad@|@propaganda@
@dacal@|@earlobe, edge@
@dacar@|@bitter stuff@
@dacas@|@sandals@
@dacdarree@|@discourage@
@dacdarro@|@oppression@
@dacwad@|@lawsuit@
@dacwo@|@summons@
@dacwood@|@protest@
@dad@|@human being, people@
@dad@|@people, cover up, men@
@dadaal@|@act of striving, strive@
@dadab@|@circle@
@dadab@|@round, horizontal@
@dadnimo@|@humaneness@
@dadqalato@|@cannibal@
@dadweynaha@|@the public@
@dadweyne@|@public@
@dadyow@|@the people@
@dafir@|@repudiate@
@dafo@|@hawk@
@dag@|@deceive@
@dagaal@|@look for, attack, war@
@dagaalame@|@soldier@
@dagaalan@|@fight@
@dagaallan@|@fight@
@dagaan@|@surroundings@
@dagal@|@war@
@dagniin@|@deception@
@dago@|@escape narrowly@
@dahaar@|@decoration, decorate@
@dahaar@|@decorate@
@dahab@|@gold@
@dakhli@|@revenue@
@dal@|@country@
@dalab@|@request@
@dalal@|@countries@
@dalbade@|@customer@
@dalbo@|@apply for a job@
@daldalool@|@be full of holes@
@daleel@|@empty@
@daliig@|@road, line@
@daliigmo@|@message@
@daliil@|@indication@
@daljir@|@soldier@
@dalkucelin@|@repatriation@
@dalool@|@hole@
@dalooli@|@pierce@
@dalxiis@|@travel@
@dalxiise@|@tourist@
@damaanad@|@bail@
@damaashaad@|@festival, hold a festival@
@damac@|@desire (1)@
@damacsanaan@|@state of desire@
@damacsanoow@|@intend@
@dambas@|@ash@
@dambee@|@be last@
@dambeysii@|@put behind@
@dambiil@|@handwoven bag, basket@
@dameer@|@ass@
@dameer@|@donkey@
@dammaanad@|@assertion@
@damqasho@|@pain@
@dan@|@be extinguished, interest, to aim, objective@
@danab@|@thunderbolt@
@danabnimo@|@thunder@
@danbaab@|@commit a crime, crime@
@danbaysaal@|@heat@
@danbaysaal@|@hearth, heat@
@danbeed@|@rear@
@dandaami@|@lift@
@danee@|@interest@
@danjire@|@ambassador@
@danni@|@thought@
@danqadaan@|@pain@
@danwadaag@|@ccoperative@
@daqiiq@|@flour@
@daqiiqad@|@minute@
@daqiiqo@|@minute@
@dar@|@add scoop, add, scoop, sake, reason, pond, pool@
@daraad@|@sake@
@daraawiish@|@dervishes@
@darab@|@fat of the meat, preparation@
@darajee@|@respect (1)@
@darajo@|@rank@
@daran@|@join, type of plant@
@darar@|@house@
@daras@|@lesson, study@
@daray@|@type of tree@
@darbi@|@prepare@
@dardaaran@|@make a will, will@
@dardaarweris@|@warning@
@dareen@|@feeling, suspect@
@dareensad@|@feeling@
@dareensii@|@to cause doubt@
@dargad@|@bed@
@darid@|@adding@
@dariiq@|@path@
@dariiqo@|@sect@
@darin@|@mat@
@darnaan@|@being worse@
@darnayd@|@worst (thing)@
@daro@|@rustling@
@daroor@|@leakage@
@daroor@|@leak@
@darraad@|@day before yesterday@
@darri@|@lack of@
@darro@|@lack@
@darsan@|@dozen@
@darsi@|@act of scooping up@
@darso@|@scoop@
@daruur@|@cloud, put a border on@
@Daruuro usoo sasabay@|@Begging the clouds to rain@
@darxumo@|@trouble (1)@
@daryeel@|@help@
@daw@|@group of wells, way@
@dawaca@|@jackal@
@dawaco@|@fox, jackal@
@dawdarro@|@injustice@
@dawir@|@wait@
@dawlad@|@government@
@dawladnimo@|@nationhood@
@dawladnimo@|@statehood@
@dawli@|@governmental@
@dawo@|@medicine@
@dawr@|@role@
@day@|@look at@
@dayaan@|@make a loud noise, loud noise@
@dayac@|@negligence@
@dayactir@|@maintenance, safeguard@
@dayasho@|@looking@
@dayax@|@moon@
@daymi@|@lend@
@daymo@|@glance@
@daynso@|@borrow@
@dayo@|@jackal@
@dayr@|@autumn, autumn rains@
@dayri@|@drive away@
@dayri@|@send@
@dayuurad@|@airplane@
@deddo@|@cold@
@deebaaji@|@deposit@
@deedifee@|@insult@
@deegaan@|@forest@
@deel@|@4th letter of Arabic alphabet@
@deelqaaf@|@gibberish@
@deeq@|@generosity, suffice@
@deeyno@|@borrow@
@deg@|@descend, peak@
@degaan@|@settlement@
@degdeg@|@hurry, speed@
@degdegid@|@hurry@
@degdegid@|@haste@
@degdegsiinyo@|@speed, haste@
@degdegsiinyo@|@haste, speed@
@degganaan@|@calm@
@degganahay@|@reside in@
@degid@|@landing@
@degmo@|@settlement@
@dego@|@descend@
@deji@|@cause to descend@
@dejin@|@accomodation@
@deked@|@dock@
@dembi@|@crime@
@demi@|@turn off@
@derbi@|@wall@
@deres@|@study@
@derin@|@handwoven mat@
@deris@|@neighbour, learn@
@dermo@|@handwoven mat@
@dersi@|@lesson@
@dersid@|@lecture@
@dey@|@glance@
@deyd@|@fence@
@deyn@|@abandoning, debt@
@deyn qab@|@borrow@
@deyr@|@fence@
@dhaad@|@part of the leg, tie by the leg@
@dhaaf@|@leave@
@dhaafi@|@cause to pass over@
@dhaafin@|@act of passing over@
@dhaafsad@|@exchange (1)@
@dhaafsasho@|@exchange@
@dhaafsi@|@exchange (1)@
@dhaafso@|@exchange@
@dhaaji@|@imitate@
@dhaajin@|@imitation@
@dhaami@|@turn on water@
@dhaawac@|@injury, wound@
@dhaayo@|@knowledge (1)@
@dhaayo@|@englightenment@
@dhab@|@hit, truth, lap@
@dhabaandhaw@|@beating@
@dhaban@|@cheek@
@dhabar@|@back@
@dhabasho@|@movement@
@dhabbaqo@|@insult@
@dhabbe@|@street@
@dhabcan@|@grass@
@dhabdarro@|@insult@
@dhabee@|@make it real@
@dhabiil@|@manage@
@dhaboob@|@become real@
@dhabqi@|@disturb@
@dhac@|@fall@
@dhaca@|@robbery@
@dhacdhac@|@march@
@dhacdhac@|@trample@
@dhacsaal@|@fatigue@
@dhadhaab@|@rock, boulder@
@dhadhab@|@dream@
@dhadhab@|@to dream@
@dhadhan@|@taste@
@dhafdhaf@|@mixture@
@dhafoor@|@temple@
@dhagar@|@deceive@
@dhagar@|@deception, deceive@
@dhagax@|@stone@
@dhah@|@say@
@dhakhso@|@be quick@
@dhaktar@|@doctor@
@dhal@|@be born@
@dhal@|@beget, offsrping, give birth@
@dhalaal@|@melt@
@dhalaal@|@shine@
@dhalad@|@infant@
@dhalan@|@character@
@dhalanteed@|@mirage@
@dhalasho@|@birth@
@dhalco@|@sunset (1)@
@dhaleecee@|@criticize@
@dhaleeco@|@criticism@
@dhali@|@cause, womb@
@dhaliil@|@disapprove of@
@dhalin@|@causing@
@dhaliye@|@midwife@
@dhallaan@|@small children@
@dhallaanciil@|@birthday@
@dhalleexsi@|@tilt@
@dhalleexsi@|@turn@
@dhallin@|@age@
@dhallinyar@|@young@
@dhalo@|@be born@
@dhalyo@|@family@
@dhamaad@|@completion@
@dhambaal@|@letter (mail), editorial@
@dhambeys@|@ending@
@dhammaad@|@fishing@
@dhammaan@|@all@
@dhammays@|@full-term baby@
@dhammaystir@|@conclude@
@dhamme@|@captain@
@dhammeey@|@conclude@
@dhammeyn@|@completion@
@dhan@|@all, direction, drink (milk)@
@dhanbalan@|@be burst open@
@dhantaal@|@split@
@dhaqaaji@|@move@
@dhaqaale@|@economy@
@dhaqaalo@|@economy@
@dhaqaaq@|@move@
@dhaqaaq@|@movement@
@dhaqaaqil@|@living@
@dhaqan@|@be well cared for, culture@
@dhaqasho@|@raising@
@dhaqdhaq@|@rinsing out@
@dhaqdhaq@|@rinse out@
@dhaqdhaqaaq@|@be restless, movement, motion, activity@
@dhaqmaad@|@way of life@
@dhaqo@|@raise@
@dhaqsad@|@hurry@
@dhaqso@|@hurry@
@dhaqtan@|@competition@
@dhar@|@be stunted, clothes@
@dharaar@|@day@
@dharaarin@|@daytime@
@dharbaax@|@hit@
@dharbaaxo@|@slap@
@dharer@|@dripping@
@dharran@|@work clothes@
@dhasiig@|@reject@
@dhasiig@|@rejection, reject@
@dhaw@|@hit@
@dhawaaq@|@shout, pronounciation, shout caused by grief@
@dhawr@|@protect, small number, terror@
@dhawrid@|@expectance@
@dhax@|@stay out@
@dhaxal@|@inheritance@
@dhaxal@|@inherit@
@dhaxan@|@cold@
@dhaxle@|@heir@
@dhaxlo@|@inherit livestock@
@dhaxsad@|@marrying@
@dhaxsasho@|@marrying@
@dhayal@|@amusement, play@
@dheddig@|@female@
@dheddignimo@|@femaleness@
@dheddigood@|@women@
@dhedhemi@|@taste@
@dheef@|@benefit, food@
@dheegasho@|@imitation@
@dheehan@|@be enamelled@
@dheel@|@play@
@dheelaas@|@festivity@
@dheelan@|@move at night@
@dheeldheel@|@joke, fooling, kidding@
@dheeldheeli@|@entertain a child@
@dheeldheeli@|@amuse@
@dheelis@|@dancing@
@dheelis@|@playing@
@dheer@|@tall@
@dheer@|@long@
@dheeraad@|@surplus@
@dheeraan@|@state of being long@
@dheeree@|@lengthen@
@dheeri@|@clay vessel, length@
@dheg@|@ear, adhere@
@dhegbas@|@gossip@
@dhegeyso@|@listen@
@dhego@|@earrings@
@dheh@|@say it!@
@dheji@|@stick@
@dhereg@|@feel full, fullness@
@dheregsanaan@|@fullness@
@dherer@|@be excited, height@
@dhereri@|@measure@
@dheri@|@pot@
@dhex@|@middle@
@dhexdeg@|@reside among@
@dhexdhexaad@|@neutral@
@dhexdhexaadi@|@mediate@
@dhexdhexaadin@|@mediation@
@dhexdood@|@between@
@dhexdooda@|@between@
@dhexee@|@be in the middle@
@dhexgalka@|@mediation@
@dhexmar@|@ensue, passing through@
@dhexyaallo@|@refrain@
@dhi@|@say@
@dhib@|@make trouble, trouble (1)@
@dhibaad@|@dowry@
@dhibaato@|@trouble (1)@
@dhibbaan@|@wound@
@dhibic@|@drop, drip@
@dhibiq@|@dot, period@
@dhibiq@|@period@
@dhici@|@miscarry@
@dhiddib@|@fix@
@dhidid@|@sweat@
@dhididkii@|@perspiration@
@dhif@|@rareness@
@dhig@|@act of putting, part of a hut, put down, teach@
@dhigaal@|@written document@
@dhigad@|@act of studying@
@dhigasho@|@writing@
@dhigasho@|@learning@
@dhige@|@author@
@dhige@|@writer@
@dhigee@|@write on@
@dhigid@|@writing@
@dhigis@|@act of writing@
@dhigmo@|@writing@
@dhignaan@|@state of being written@
@dhigo@|@put for oneself@
@dhih@|@say@
@dhiib@|@surrender, give, gather@
@dhiibo@|@entrust@
@dhiidhi@|@annoyance@
@dhiidhiy@|@be angry, annoyed@
@dhiidhiy@|@be annoyed@
@dhiig@|@blood@
@dhiig kar@|@high blood pressure@
@dhiigaab@|@bleed@
@dhiigbax@|@bleed@
@dhiigo@|@slip@
@dhiigo@|@slide@
@dhiijis@|@bleeding@
@dhiillo@|@bad news@
@dhiinto@|@wine@
@dhiinto@|@fermented juice@
@dhiiqo@|@mud@
@dhiirigeli@|@encourage@
@dhiirranaan@|@courage@
@dhiirrasho@|@courage@
@dhiirri@|@courage, encourage, motivate@
@dhiirrin@|@encouragement@
@dhilmaanyo@|@mosquito@
@dhimaad@|@dead person, dead creature@
@dhimaal@|@injury@
@dhiman@|@be reduced@
@dhimasho@|@death (1)@
@dhimir@|@mind@
@dhimir@|@understanding@
@dhimo@|@die@
@dhinac@|@beside, side@
@dhinacee@|@pass beside@
@dhinbil@|@spark@
@dhinic@|@side@
@dhinmow@|@decrease@
@dhir@|@plants@
@dhirfi@|@anger (1)@
@dhirif@|@be angry, anger (1)@
@dhis@|@build, structure@
@dhisan@|@be constructed@
@dhisid@|@building@
@dhismo@|@construction@
@dhisnaan@|@construction@
@dhiso@|@build@
@dhoob@|@accumulate, something made of clay@
@dhoobey@|@clay soil@
@dhoobo@|@mud@
@dhood@|@boasting@
@dhoof@|@travel@
@dhoof@|@travel abroad@
@dhoofid@|@departure@
@dhoofin@|@exporting@
@dhoofiye@|@exporter@
@dhoofniin@|@departure@
@dhoohanaan@|@absent-mindedness@
@dhoolbir@|@smile@
@dhot@|@big white cloud@
@dhowaad@|@act of approaching@
@dhowaan@|@nearness@
@dhoweey@|@draw near@
@dhoweeyey@|@Baghdad@
@dhowr@|@expect, several@
@dhug@|@disease of camels@
@dhugasho@|@glance@
@dhugmo@|@attention@
@dhugo@|@look at, glance@
@dhugo@|@glance@
@dhul@|@country@
@dhulbahante@|@clan@
@dhulbar@|@equator@
@dhuldhaqasho@|@land conservation@
@dhulgoosi@|@feudalism@
@dhumuc@|@bottom vertebra@
@dhun@|@be lost@
@dhun@|@get lost@
@dhunji@|@swallow@
@dhuroob@|@be blessed@
@dhurwaa@|@blessing@
@dhurwaa@|@good (thing)@
@dhusuq@|@filth@
@dhusuq@|@dirt@
@dhuumo@|@hide oneself@
@dhuun@|@life, water pipe@
@dhuuni@|@nourishment, food (1)@
@dhuuri@|@ache@
@dhuxul@|@coal@
@dib@|@after, back, rump of animal, tail, buttocks@
@dibad@|@outside@
@dibadbax@|@demonstration@
@dibadda@|@outside@
@dibdhac@|@postponement@
@dibed@|@outside@
@dibi@|@ox, young bull, calf@
@dibin@|@lip@
@dibindaabyo@|@violence@
@dibjir@|@destitute person@
@diblomaasi@|@diplomat@
@dibudday@|@core of fruit@
@dibudhac@|@lateness@
@dibudhac@|@postponement (1)@
@dibuhabeyn@|@improvement@
@dibusocod@|@reaction@
@difaac@|@defense@
@digaag@|@poultry@
@digaagad@|@hen@
@digiiran@|@guinea-fowl@
@digir@|@pea, beans, bean@
@digniin@|@alert@
@digsiga@|@cooking vessel@
@diid@|@refuse, loss of consciousness@
@diiddo@|@refusal@
@diiddoley@|@negative@
@diidmo@|@refusal@
@diif@|@weakness (1)@
@diif@|@fatigue@
@diil@|@eyebrow@
@diilalyo@|@cold weather@
@diimid@|@surprise@
@diin@|@religion@
@diinceelaad@|@turtle@
@diiqo@|@gift@
@diir@|@caterpillars, skin of fruit, peel@
@diiri@|@warm@
@diirri@|@warm up@
@diirsasho@|@warming oneself@
@diirsi@|@being warm@
@diirsimaad@|@warmth@
@diirso@|@warm self@
@diis@|@push down@
@diiwaan@|@poem@
@dil@|@killing@
@dil@|@kill@
@dilaan@|@killer@
@dildil@|@stripe, line@
@dillaac@|@crack@
@dillaacso@|@tear open@
@dillaan@|@victim@
@dimoqraadi@|@democracy@
@dimoqraadinimo@|@democracy@
@dinad@|@cat@
@dindin@|@leak@
@diq@|@become faint@
@diq@|@small@
@diq@|@tenuous@
@diqsi@|@fly@
@dir@|@figure@
@dir@|@shape, aspect, drive away, send@
@dir@|@aspect, send@
@diran@|@against@
@dirgasho@|@shift@
@dirgasho@|@small movement@
@dirir@|@fight, strife@
@dirir@|@argue (1)@
@diris@|@act of sending@
@dirqi@|@compel, force, compulsion@
@distuur@|@constitution@
@dixiri@|@worm@
@diyaad@|@chicken@
@diyaan@|@roar, rumble, thunder@
@diyaan@|@thunder@
@diyaan@|@rumble@
@diyaar@|@readiness@
@diyaarad@|@aircraft, airplane@
@diyaari@|@prepare@
@do wrong@|@do something to@
@dobi@|@vessel for oil@
@doob@|@bachelor@
@doobir@|@luck@
@dooc@|@news@
@dooc@|@information, news@
@dood@|@act of arguing, debate, discussion@
@doodaa@|@debater@
@doodis@|@argument (2)@
@doofaar@|@pig@
@doog@|@new grass, pain from old wound@
@dool@|@buttock, foreigner@
@doolaalo@|@foreign lands@
@doollar@|@dollar@
@doon@|@boat, want, look for@
@doonasho@|@desire (2)@
@doonasho@|@seeking@
@doonid@|@wish@
@doono@|@fetch for self@
@dooq@|@taste@
@door@|@choose, role@
@doorad@|@choice@
@doorasho@|@choice@
@doorbid@|@hope@
@doorbid@|@expect (1)@
@doori@|@alter, disguise@
@dooro@|@chicken, hen@
@dooro@|@choose@
@dooro@|@hen, choose@
@doorsi@|@exchange (1)@
@doox@|@disembowel, water channel@
@dooxo@|@valley@
@doqon@|@stupid@
@dorraad@|@day before yesterday@
@dorrad@|@election@
@dotoor@|@doctor@
@dowlad@|@state@
@dowr@|@be dry, dry@
@dub@|@skin@
@dubaax@|@fresh meat@
@dubaaxi@|@twitch@
@ducee@|@pray@
@ducee@|@bless@
@duceysasho@|@act of prayer@
@duceysi@|@act of prayer@
