@English@|@Yoruba@
@decade@|@ôdún mëwàá-mëwàá@
@decay@|@ìbàjë, rírà@
@deceased@|@àìsí, eni kòsí, enití ó ti kú, oloógbé@
@deceit@|@àrékendá, èrú, êtàn, ìrêje, ìÿìnà, mëêwá@
@deceitful@|@lêtànnírëêje@
@deceive@|@tàn-jeÿì-lônàÿe-àgálámànÿà sí@
@December@|@oÿù Kejìlá ôdúnìpárí ôdún@
@decency@|@ìwà yíyetítô  fífínjúfónífóní@
@decent@|@yíyeëtô ìfínjúníparamô@
@deception@|@ëtànèrúàbòsíharamùìrêje@
@deceptive@|@lêërúnítànjenírëje@
@decide@|@parí rëfi ìgbà sífi òpin sí, pinnu@
@decision@|@ìpinnuìfòpin-sí@
@deck@|@ite apakoôkö@
@declaration@|@ìtenumôwíwísísô@
@declare@|@wí  sôtenumôkéde@
@decline@|@ìdínkùìparíkíkö, kö, tê@
@decode@|@tákáyanjúlàdí@
@decorate@|@ÿe lôÿôwëdálôlásìwe-fúnÿelêwà@
@decoration@|@ohun öÿô ìwë@
@decrease@|@dínkùrëhinfà-sêhìn@
@dedication@|@ìfisôtöìyàsímímô@
@deduct@|@mú-kúròyô-kúròyô-jáde@
@deduction@|@ìmúkúròìyôkúrò, ìyôjádeëkôàfàyô@
@deed@|@ìwé ìní, ìÿeìlò@
@deep@|@jijinjinle, jíjinlëwíwôrakárapúpö@
@deer@|@àgbörínìgalàegbin@
@deface@|@pa-rêbà-jêbàlójújê@
@default@|@àbùkùìkunààìlèÿe nkan@
@defeat@|@ìÿégunìbìÿubúìparun, ségunbì-ÿubupa-runlésá@
@defect@|@abàwonàbùkù@
@defective@|@níàbawônní àbùkù@
@defence@|@àbò asà@
@defend@|@gbèjàdábòbòÿe odi fún@
@defendant@|@enití a pè lêjô@
@defer@|@súnsíwájúdá-dúrófà-sêhìnfifalë@
@deference@|@ìyìnöwö  ìböwöìforíbalëìjúbà@
@defiance@|@ìfòlêyeìpèníjà@
@deficiency@|@àbùkùëÿë, àìpéàbùkù@
@deficit@|@àìpéàbùkù@
@define@|@sô àsôyé túmökì@
@definite@|@dájú tóyanjúpàtó pàtàkì@
@definitely@|@adv dájúdájúpàtàkìláláìyë@
@definition@|@ìtumö oríkì@
@definitive@|@dájú tóyanjúpàtó pàtàkì@
@deformed@|@lábùkùìbàlêwàjêrírô@
@defraud@|@rê-jëtànjeÿe-èrú@
@degree@|@ìwön òtútù tàbí oru@
@delegate@|@aÿojú-eniaÿoju@
@delegation@|@egbê aÿojú@
@deliberate@|@àmöômö ÿeàgbìmöÿelétòlétò@
@deliberately@|@àmöômö@
@delicate@|@ÿêlêgedára@
@delicious@|@dùnaládùn@
@delightful@|@ládùndídùn@
@deliver@|@gbàjö-lôwôgbà-sílëbímô, ìbôlôwô  ìjölôwôìbímô@
@demand@|@béèrèfagbára béèrè, ìbéèrè@
@demanding@|@líleÿíÿòroní ÿòrotí nse ìbérè@
@demon@|@èÿùiwinabili@
@demonstrate@|@fi hànlàdìÿe hàn@
@den@|@ihò@
@denial@|@sísêìfidùkíkö@
@denounce@|@köbáwíjêrí síkìlö@
@dense@|@kinípôndídìgö@
@dent@|@ìtësínú@
@dentist@|@oníÿègùn ehín@
@deny@|@fidùsêkö fúngbónu@
@depart@|@lôkúrò  kúkángárá@
@department@|@apáìsösàkaaní@
@departure@|@ilô kuròiku atilô àyún@
@depend@|@gbêkëlêgbáralégbíyelégbójúlé@
@dependent (1)@|@ti àgbàbônípa wíwà níkàwô@
@deploy@|@rán lôtú-sílëse@
@deport@|@lé kúrò ní ìlúwàlô hùwàlò@
@deportantion@|@lílé kúrò ní ìlúwíwàlô@
@deposit@|@fi dógófi ÿúra, ohun ìdógóàdáwin@
@depression@|@ìrësílëìrëwësíìdorí kodò@
@deprive@|@gbà lôwô enirô lóyègbàloyè@
@depth@|@jíjìnìjìnlë  ìbú@
@descendant@|@ômôàtëlé@
@description@|@àpereìsàpereàpèjúwe@
@desert@|@aginjùaÿálë, kö sílèfi-sílèyô sílè@
@diary@|@ibi ìfúnwàrà@
@disease@|@àìsàn@
@dog@|@ajá@
@donkey@|@ass kétékété@
@Don't touch me there!@|@Má fowó kan ibè yen!@
@door@|@ilekun@
@doubt@|@àníàní@
@dove@|@eyelé@
@dream@|@àlá@
@drop@|@kán; bó; rè; sòkalè@
@drug@|@egbòogi@
@duck@|@abo pépéye@
@dye@|@àw@
@each@|@õkõõkan, olúkúlùkù@
@eager@|@nítara, níwára@
@eagle@|@idì (eye)@
@ear@|@etí, ÿirì-ôkà@
@earlobe@|@etí@
@early@|@kùtùkùtù, ní ìbêrê, tëlê@
@earn@|@iÿê, je, pa owó, rí-gbà, tösí, ÿiÿë owó@
@earring@|@ìyetí, òrúka etí, yerí@
@earth@|@ayé, erùpê, il, ilê@
@earthquake@|@ilê mímì, ìrúké ilê, ìwàrìrì ilê@
@ease@|@àìnira, ìdêra, ìrôra@
@east@|@gàbasì, ìlà oòrùn@
@Easter@|@àgbèýde, ôjö àjíýde Krístì@
@eastern@|@nílà-oòrùn@
@eastwards@|@lônà ìlà-oòrùn, níha ìlà-oòrùn@
@easy@|@láìnira, láìÿòro, ní-rôrùn, rôrùn@
@eat@|@je, jeun@
@echo@|@àpèpadà, gbohùngbohùn@
@eclipse (1)@|@ìmúÿókùnkùn, ìÿíjibò@
@ecology@|@êkö nípa õgbôgbà ayé@
@economic@|@nípa ìÿúnná ôrõ-ajé@
@economy@|@ìÿúnlò ôrõ-ajé, ìÿúnná, mímô owó töjú@
@edge@|@etí nkan, ìgbátí, ojú õbe, ojú ohun èlò@
@edit@|@olótùú, tún ìwé kíkô ÿe fún títà@
@editor@|@eni tí ÿe ìwé fún títê, olótùú@
@educate@|@kö, kö lêkõö, tö@
@education@|@êkö, ìtö ômôdé@
@eel@|@eja àdàgba@
@effect@|@èrè, èso iÿë, ìyôrísí@
@effective@|@èyí tí yóò níyôrísí, wúlò@
@efficiency@|@agbára ìmú àÿe wá, agbára láti ÿiÿê@
@efficient@|@ní agbára láti ÿiÿêní@
@egg@|@eyin@
@eight@|@êjô, mêjô@
@eight hundred@|@ogorun mejo@
@eighteen@|@éjìdínlógún, méjìdìnlógún@
@eighty@|@ôgörin, õrin@
@eigthteen@|@mejidilogun@
@either@|@èyí tàbí èyinì, õkan nínú méjèjì, yálà@
@eject@|@bì  jáde, jáde, ta-nù, tì sóde@
@elaborate@|@dára púpõ, tí a fi aápôn ÿe, tí a ÿe fínnífínní@
@elbow@|@ìgbönwö, ìgúnpá@
@elder@|@alàgbà@
@elder (1)@|@ëgbônàgbà  alàgbà@
@elect@|@ÿà, yàn@
@election@|@ìyànfë, ìÿàyàn, yíyàn@
@electric@|@nípa iná, nípa ìtànná@
@electricity@|@iná, ìtànná@
@elegance@|@ewà, ìdára@
@elegant@|@dídára, dídùn, elëwà, lëwà@
@element@|@êfúùfú, êyà mêrin ayé, iná àti omi@
@element (1)@|@ilê, ìpilêÿê ohun kan@
@elephant@|@àjànàkú, erin@
@elevation@|@ìgbéga, ìgbélékè@
@elevator@|@êrô ìgbé nýkan sókè@
@eleven@|@mökànlá, ókànlá@
@eligible@|@ye ní yíyàn@
@eliminate@|@í jáde, mú kúrò, rénù@
@else@|@bíbëêkö, òmíì, òmíràn@
@elude@|@fi èrú tàn sílê@
@elusive@|@tí a fi èrú tàn sílê@
@embargo@|@òfin ìdádúró ìÿòwò@
@embark@|@bêrê, fi sökõ, wôkõ@
@embarrass@|@dààmú, gõ, sú@
@embarrassement@|@gígõ, ìdàmú owo, ìÿòro, sísú@
@embarrassing@|@dídàmú, gígõ, sísú@
@emblem@|@àmì, àpere@
@embrace@|@fi apá gbà möra, fi ôwö gba ni möra, gbà  möra@
@embryo@|@ôlê, oyún@
@emerge@|@rú-jáde, tinú ñýkan jáde@
@emergency@|@àìbáàmö, ójijì, pàjáwìrì@
@emmet@|@èèrà@
@emotion@|@ìmí-ëdùn@
@emotional@|@níní ìmí-ëdùnìmölára@
@emperor@|@ôba ñlá kanôba lórí àwôn ôba@
@emphasis@|@ìtênumôàtenumô@
@emphasize@|@tenumö@
@empire@|@ìjôbaagbára ôbailé ôba@
@employ@|@gbà síÿêfiÿê fún@
@employee@|@òÿìÿêoníÿê@
@employer@|@ògá iÿêafúnniníÿêÿe@
@employment@|@iÿê@
@empty@|@dà kúrògbòfo, òfoasán@
@enable@|@rànlôwôfi agbára fúnmú ni ÿe@
@encircle@|@yípoyíkárôgbàkà@
@enclose@|@ká môra@
@enclosure@|@ôgbàilé tí a sægbà yíkà@
@encounter@|@bá, bá, ìjàogunìbápàdéìdojúkô@
@end@|@ìgbêhìn, ìparí, ìpêkun ìdí, ìtorí, òpin@
@end(1)@|@àtúbõtán, ìyôrísí@
@endanger@|@fi wéwuwú léwu@
@endless@|@láìlópinláìnípëkun@
@endorse@|@fi ôwô sí ìwé, kô àkôlé sí ìwé@
@endorsement@|@àkôlé inú ìwé ìgbowó, ìfôwô sí ìwé@
@endurance@|@ìrôjúìfaradàìforítììfôkànràn@
@endure@|@rôjúforítìfaradàpamôrafôkànràn@
@enemy@|@ötáoníkeéta@
@energy@|@agbáraokun-inúokunra@
@engagement@|@ìdánaàdéhùn ìgbéyàwó@
@engine@|@êrô, ro@
@engineer@|@elërô@
@engrave@|@fínÿônà fínfín sígbê@
@enjoy@|@gbádùn, jayé, je-ìfà@
@enjoyable@|@ohun aládùn, ohun ìfà@
@enjoyment@|@ìgbádùnadùnìjayéìdùnnúìdùnmô@
@enlarge@|@fëmú-tóbifikúnbùmô@
@enlargement@|@ìmútóbifífëàfikúnìbùmô@
@enormous@|@títóbi púpö@
@enough@|@tótêrùn kárí@
@ensure@|@ÿe-dájúmú dájú@
@enter@|@wöwôléwônúkô sínú ìwébô sínú@
@error@|@àsìse@
@eskimo@|@ëskímò@
@evening@|@al, ìrólè àsálèojooróalè@
@exactly@|@déédéé@
@expect@|@dè@
@explanation@|@àlàyé@
@extremely@|@gidigidi@
@eye@|@ojú@
@fable@|@àlö, ìtàn asán@
@fabric@|@aÿô, ilé@
@fabulous@|@aláìgbàgbö@
@face@|@ojú@
@facing@|@kôjú-sí@
@fact@|@àsôdájú, àsôpàtó, ohun ìdájú gan-an@
@factory@|@egbë àwôn oníÿòwò, ilé iÿë, ilé òwò@
@faculty@|@àÿ, ìmõ, ìyè, ôgbön orí@
@fade@|@fò, rê sílê, tí, ÿá@
@fail@|@bàjê, bàtì, kùnà, tàsé, yê@
@failure@|@àbùkù, àìyégé, àÿedànù, ìbàjë, ìdetì, ìkùnà@
@faint@|@àìhàn rere, àìhàn tán, dákú, ÿàárê, ÿojo@
@fair@|@dára, ôjà, tö@
@fairy@|@àrõnì, egbére, iwin, kúrékùré@
@fairytale@|@ìtàn àrõnì@
@faith@|@ìgbàgbö, ìgbëkêlé@
@faithful@|@olódodo, olóòótö@
@fake@|@díbön, pa-rö, tí kíì ÿe òtítö, ÿe bí eni pé@
@falcon@|@àÿá@
@fall@|@bë sílê, dínkù, fà sëhìn, wó, ÿubú@
@false@|@láìÿòótö, láìÿòtítö, ní ayédèrú@
@fame@|@òkìkí@
@familiar@|@dùn-jù, faramö, mímõ, mö-lára@
@family@|@ará, ebí, ìbátan, ìdílé@
@famine@|@ìyàn êrùn, õgbelê@
@famous@|@lókìkí@
@fan@|@alátìlëhìn, êrô ìfërì, êrô tí fë afëfë, ômô êhìn@
@fanatic@|@aláragbóná nípa ìsìn, eléròkerò@
@fang@|@èékánná, ehín, ehín ejò, ehín eranko, ÿíÿánni@
@fantastic@|@níròkurò, ÿàìgbàgbö dídára nýkan@
@fantastic (1)@|@ìkôja àlà dídára ohun@
@fantasy@|@méríìrí@
@far@|@jíjìnà, jìnà, jìnà réré@
@fare@|@onje, owó iÿê, owó ôkö@
@farewell@|@ìdágbére, ìkínni@
@farm@|@oko@
@farmer@|@àgbë, aroko, olóko@
@farmhouse@|@abà, ahéré, iléko@
@farming@|@dídáko, ìdáko@
@farmland@|@oko@
@farther@|@ÿíwájú@
@fascinating@|@dídùn, ní ìwù, nífanimöra@
@fascination@|@ìfanimöra@
@fascism@|@ìjôba ìmúnisìn tipátipá, ìmúnisìn tipátipá@
@fascist@|@amúnisìn tipátipá@
@fashion@|@àrà, àwõ ìÿe, àÿà@
@fast@|@àwê, gbàwê, kíákíá, yára, ÿe kíá@
@fasten@|@dì, so@
@fat@|@êkún, õrá, sanra@
@fatal@|@ti ikú, tí pa ni@
@fate@|@àbáfù, àyànmô, ìdarísí, ikú, ìpín, òpin@
@father@|@bàbá, ÿíwájú@
@father-in-law@|@bàbá ìyàwó, bàbá ôkô@
@fatigue@|@àárê, agara@
@fatty@|@tí ó ní örálôöráôlôràá@
@faucet@|@enu ërô omi@
@fault@|@àbùkù, àÿìÿe, êbi@
@favor@|@ojú-rereìÿeun ìsájú, ÿe ojú rere fúnjíñkí@
@favorable@|@lójú rerenítìlêhìndáradùnmôni@
@favorite@|@àyànfë@
@fawn@|@ômô àgbõnrín@
@fear@|@êrù, ìfòyà, jênnêjênnê, rù@
@fearless@|@láìfòyà, láìníbêrù@
@feasible@|@ní ÿíÿeÿeéÿelágbára ÿíÿe@
@feast@|@àjô àpèje, àsè@
@feat@|@iÿê agbáraiÿê ìyanuitù@
@feather@|@ìyë eye@
@feature@|@ìwò ojúàbùdá@
@February@|@oÿù kejì ôdún@
@federal@|@onídàpöti egbê@
@federation@|@ìÿökanìdàpö@
@fee@|@owó öyàìbùlé@
@feeble@|@láìleraláìlágbára@
@feed@|@oúnje@
@feel@|@möfôwôbàfôwôkàn@
@feeling@|@ìmöìfæwôbàìfôkànmö@
@fellowship@|@ìdàpöìkêgbê@
@female@|@abo, obìnrin, ti ábo@
@feminine@|@ìwà ti obìnrinti aboti obìnrin, ti abo@
@fence@|@ôgbà ògiri@
@fender@|@apá kan lára môtò@
@ferry@|@ôkõ àsôdá@
@fertile@|@elésolêtù lójúelêtùlôörá@
@festival@|@ìgbà àsèàjödún@
@feud@|@ìjàasöààwöèdèkòyédè@
@fever@|@ibàòtútùìlôraìgbóná-ara@
@few@|@díê, ÿàÿà@
@fewer@|@níwönba@
@fiancé/ée@|@àfësönà@
@fiber@|@okùn igiokùn ewéko@
@fiddle@|@dùrù ôlöwö@
@fiddler@|@atedùrù, onífèrè@
@fidelity@|@olóòotôìfaramô@
@fidget@|@rúnraÿàifara-balëÿàìgbéjê@
@field@|@gbagede erëìgbê pápá@
@fierce@|@roròmúnágbóná@
@fifteen@|@mêëdógú, mêëdógúnëêdógún, nëêdógún@
@fifth@|@ìkarùn-únëkarùn-ún@
@fifty@|@adôta@
@fig@|@èso õpõtö@
@fight@|@ìjà, jagun, jìjàkadì, ogun@
@fighter@|@jagunjagun, ôkõ ìjagun òfúrufú, oníjà@
@figure@|@àpere àwòrán, iye@
@file@|@àpò ìtôjú ìwé, ayùn@
@filing cabinet@|@àpótí ìto ìwé lêsese@
@fill@|@kúntê-lôrùn@
@filling@|@kíkúntítêlôrùn@
@film@|@atafo ojú@
@filter@|@asë omi, sêro@
@filth@|@èéríëgbinöbùn@
@filthy@|@léèérílêgbinníriraeléerí@
@fin@|@lêbê ejaàjë eja@
@finance@|@owó  ìnáwó@
@financial@|@ohun tó je mô owóti ìnáwó@
@find@|@wá ríríwá kiribá@
@fine@|@bùléni, dára, dùn, elegë, owó ìdáràn@
@finger@|@ika, ôwö@
@fingernail@|@èékánná ìka ôwö@
@fingerprint@|@àmì ìfôwôsàmìsíàfôwôsàmìsí@
@finish@|@paríÿe-tányôrí@
@fire@|@iná@
@fire alarm@|@ìdágìrì ìpaná@
@fireman@|@panápaná@
@fireplace@|@ibi ìdáná@
@fireworks@|@iná òtùfù tí a ñ tàn fi ÿàríyá@
@firm@|@lágbáraledúró ÿinÿingbôingbôin@
@fish@|@eja, eja, peja wárí@
@fisherman@|@adëja, apeeja@
@fishing boat@|@ôkõ apeja@
@fishing line@|@òpó apeja@
@fishing pole@|@òpó apeja@
@fist@|@êÿë, ëÿê ëkëÿê ìkuùkù@
@fit@|@ÿe ìbámu, ÿe yeÿe ìbámu@
@fitness@|@yíyçtítôìbámu@
@fitting@|@ìbámu rêmúrêmú@
@five@|@árùn-ún, árùn-únmárùn-ún, márùn-ún@
@five hundred@|@ogorun marun@
@fix@|@fà-somú-dúrófi-bötúnÿe@
@fixture@|@ìsomôlëohun ìmúdúró@
@flag@|@àsíá, õpágun@
@flap@|@ìgbôn ìyê pìpìaréhán@
@flare@|@ohun tí ñ jó bùlàbùlà@
@flash@|@ìkôsànìmôlë@
@flat@|@ilé alápìín gbé, têtêjúpelebegbalajaperese@
@flatten@|@têbeerelù môlë pelêbê@
@flatter@|@pôntàn@
@flavor@|@àádùnìtôwòòórùn@
@flavoring@|@àádùn@
@flaw@|@àbúkú, sísánìlà@
@flawless@|@áìlábààwônaláìlábùkùn@
@flea@|@eégbôn, ìdun, iná ara@
@flee@|@sásá-lôbê sá kúrò nínú ewu@
@fleet@|@egbê-ôkööwô-ækö@
@flesh@|@eran@
@flight@|@ìrín àjò, ìsákúrò nínú ewu, ìsákúsàá, ìsálô@
@float@|@lóòfófó lójú omi@
@flood@|@ëkún omi, ìkún omi, ìÿàn omi@
@floor@|@orílëilë-ilé@
@florist@|@olódòdó, oníÿòwò òdòdó@
@flour@|@ìyèfun@
@flower@|@òdòdó@
@flshlight@|@ìmôlë iná òtùfù@
@food@|@orunje@
@foolish@|@g@
@foot@|@es, esè, esê@
@force@|@agbára@
@foreign@|@àjèdì, àjòjì@
@foreigner@|@àlejò@
@forest@|@ìgb, igbó@
@forget@|@gbàgbé@
@four@|@merin@
@four hundred@|@ogorun meji, ogorun merin@
@fourteen@|@merinla@
@fourty@|@ogoji@
@friend@|@órèegbèenìkejì@
@frog@|@òpòló@
@gain@|@àýfàní, èrè, ìfà@
@gallery@|@õdêdê àwòrán, õdêdê lókè@
@gamble@|@ta tëtë@
@gambler@|@atatëtë, onítëtë@
@game@|@eye tí ôde pa, iré, ìÿiré@
@gap@|@ihò êlà ìsán àfo@
@garage@|@ilé àtúnÿe ôkõ ayökëlë, ilé ìpamö ôkõ@
@garbage@|@ìdõtí@
@garden@|@ôgbà@
@gardener@|@aÿögbà, olóko, olùÿögbà@
@gardering@|@dídá oko@
@gargle@|@tu pùpù, we õnà õfun@
@garlic@|@áyù@
@garment@|@aso@
@gas@|@afëfë inú, epo ôkõ, isó@
@gasmask@|@ohun ìbomú@
@gasoline@|@epo (mötò)@
@gate@|@enu önà òdeìlëkùn@
@gateway@|@àbáwôléàbáwölúìwölúojúbodè@
@gathering@|@àwùjo@
@gauge@|@öpá ìdíwön@
@gear@|@ohun èlò, ohun èlò tí nmú ôkö rìn@
@gem@|@òkúta iyebíye@
@general@|@õgágun, olórí ogun, wôpöàníkáríti gbogbo ènìà@
@generally@|@nígbàkúgbàlákòópölákolù@
@generate@|@bíbërëmú jádedá sílë@
@generation@|@ìran ìdàrô@
@generator@|@ërô ërô ìdàrô iná mönömônô@
@generosity@|@inú rereöÿônúìlawô@
@generous@|@nínú rereöÿônúnílawô@
@genitals@|@okó àti çpön@
@genius@|@amòye, iwin, olóye@
@gentle@|@ní ìwà pëlêÿe jêjê@
@gentleman@|@bökìní, gbajúmö, oníwà rere@
@genuine@|@lótìítôláìÿëtànojúlówó@
@geography@|@ìwé ìkôni nípa àgbáyé@
@geology@|@ëkô ohun inú ilë nísàlë@
@germ@|@èèhùorísunìbërëkòkòrò@
@gesture@|@ìÿesíìwö@
@get@|@gbà, gbà, nírígbàgbà@
@ghost@|@ëmí iwin òkú@
@giant@|@asígbônlê, òmìrán@
@gift@|@êbùn, ôre@
@giggle@|@rín êrín kékeré@
@gill@|@ërëkê eja ìjàgbön@
@giraffe@|@àgùnfôn@
@girl@|@ômôbìnrin@
@girlfriend@|@õrë obìnrin@
@give@|@fi bùn, fi fún, jìn@
@give back@|@dá...padà@
@glacier@|@yìnyín nlá gbalasa@
@glad@|@yöÿe inúdídùn@
@gladness@|@ay@
@glamor@|@ìÿújú@
@glamorous@|@ti ìÿújú@
@glance@|@ìwò fírí@
@gland@|@eÿë@
@glare@|@ìkómönàìdánmönà@
@glass@|@àwo onídígí, dígíìwògbéàwòjìji@
@glasses@|@dígí ojúdígí ìríranawòìwojú@
@glider@|@ohun ìmúni yô bere@
@glisten@|@tan ìmôlë@
@globe@|@ìÿù rubutu ayéayé@
@glorify@|@yìnlógo e lógoyìn@
@glory@|@ògoìyínælá@
@glossary@|@ìwé ìtúmöàsôyé@
@glossy@|@dídán@
@glove@|@ìbôwö@
@glow@|@gbóná janjan@
@glue@|@àte, lê, lê-põ@
@gnat@|@kantíkantí@
@goal@|@òpin ìsúré ìje@
@goat@|@ewúr, òbúkô@
@God@|@Olódùmarè, Ôlörun@
@goddess@|@òrìÿà obìnrin@
@goggles@|@dígí ojúawò@
@gold@|@góòlù, wúràìwóòrògóòlù@
@golden@|@ti wúràoníwúrà@
@goldfish@|@eja aláwö wúrà@
@golf@|@irú eré òyìnbó kan@
@golf course@|@ôgbà nla gbalasa oníkoríko@
@golfer@|@eléré@
@good@|@reresuwöndára@
@good afternoon@|@ka'san, ku osan@
@good evening@|@ku irole@
@good morning@|@ku aro@
@good night@|@o d'aro, o di aro@
@goodbye@|@ìkíni ti ìpínyà, õnà re o! ódìgbòÿe o!@
@goodbye (1)@|@òdàbö@
@goodness@|@ohun rere@
@goods@|@erù ohun ìníôjà@
@goodwill@|@ìfê inú rere@
@goose@|@abo pêpêyepêpêye nlá@
@gooseberry@|@irú èso kan@
@gorge@|@öfunàjefëyààjejù@
@gorgeous@|@dídárahíhàn@
@gorilla@|@ìnàkíöbô ìnökí@
@government@|@ìjôbaàkóso ìlú@
@grab@|@já  gbàjá lôwó@
@grace@|@ore-öfêojú rereànfàní@
@graceful@|@dídáralêwà@
@gracious@|@olóre-öfêaláàánú@
@grade@|@ipòìtêjúìtêbereìdôgba, mú têjúmú dôgba@
@gradually@|@díëdíëkërëkërë@
@graduation@|@ayeye ìparí ëkö kíkà@
@graft@|@àlômôìlô ëka sínú igi mìíràn, lômô@
@gram@|@irú ìwön kan@
@grammar@|@ìmö ìlò örö dájúdájúgírámà@
@grammatical@|@ti mímæ ìlò örö dájúdájú@
@granddaughter@|@ômô ômô lóbìnrin@
@grandfather@|@bàbá bàbá, bàbá ìyá, baba ñlá (bàbá), baba ñlá(ìyá)@
@grandmother@|@ìyá bàbá çni, ìyá ñlá, ìyá ñlá (bàbá), ìyá ñlá (bàbá)ìyá ìyá eni@
@grandmother(1)@|@ìyá ìyá çni, ìyá ñlá (ìyá)@
@grandson@|@ômô ômô lökùnrin@
@granite@|@òkúta akô dúdú@
@grant@|@fi fún, fi jíýkí, gbà@
@grape@|@èso àjàrà@
@grapefruit@|@òrombó nlá@
@graph@|@àwòrán ìwön@
@grasp@|@dìmúfæwô gbá múyélóyèe rë@
@grass@|@koríko@
@grasshopper@|@elëgà@
@grateful@|@löpë, moore@
@gratitude@|@ìdúpë, ìmoore@
@grave@|@ibojì, isà òkú@
@gravel@|@òkúta wërë, òkúta wëwë, yanrìn@
@gravestone@|@òkúta orí ibojì@
@graveyard@|@ìte òkú@
@gravity@|@ìwà àgbàìjìnlë õkanibú@
@gravy@|@omi ôbê, omitoro@
@graze@|@je koríko@
@grease@|@õrá@
@greasy@|@kún fún öráôlôràá@
@great@|@olókìkítóbiñlápö@
@great grandfather@|@bàba bàbánlá, bàba ìyáñlá@
@great grandmother@|@ìya bàbánlá, ìya ìyánlá@
@greatness@|@títóbi@
@ground nut@|@êpá@
@guest@|@àlejò@
@guinea fowl@|@awó@
@habit@|@àsà, bárakú, ìwà, ìwôÿô, ìÿe@
@hail@|@òjò dídì yìnyín@
@hair@|@irun ara, irun orí@
@haircut@|@irungígë@
@hairdresser@|@afárunonígbàjámö, onídìríonígbàjámö@
@hairy@|@onírunyetuyçtu@
@half@|@àböìdáméjì, ìdajìàbö@
@hall@|@yàrá nlá@
@hallucination@|@ìÿújú@
@halve@|@dá sí méjìpín sí méjì@
@ham@|@itan elêdë oníyö@
@hammer@|@òlùômôwú@
@hammock@|@ìbôpòìbùsùn àsôrô@
@hand@|@ôwô@
@handbook@|@ìwé ìtônásí@
@handbrake@|@ërô fífà tí nmú ôkö dúró@
@handcuffs@|@pawôpê@
@handful@|@ìkúnwô@
@handicapped@|@tí ÿe arô ara@
@handkerchief@|@aÿô ìnujúgèlè@
@handle@|@ìdìmú@
@handshake@|@ìbôwô@
@handsome@|@dáralêwà@
@handwriting@|@ìköwé@
@handy@|@rôrùnnítòsí@
@hang@|@gbé kôfikô@
@hangar@|@ilé ìfipamô ôkö òfúrufú@
@hanger@|@èlò ìfigbé ëwë kô@
@happen@|@dé, dé, ÿelëÿe@
@happiness@|@inúdídùnàláfíaàìroraayö@
@happy@|@lálàfiàníroranínúdídùn@
@harass@|@pin lêëmíyô lênudá lí agara@
@harassment@|@ìpinlêmìíìyôlênu@
@harbor@|@èbúté ôkö@
@hard@|@nirale  ÿòro@
@harden@|@múle mú ÿòro@
@hardly@|@ÿàÿàekukákáagbára-káká@
@hardship@|@ìÿòroìnira@
@hare@|@ehoro@
@harem@|@ilé elêhàá@
@harm@|@ìpaláraibiìbàjê, palára@
@harmful@|@nípàlaára@
@harmless@|@láìléwuláìnípalára@
@harmony@|@ìÿedédéìrêpöìbárê@
@harness@|@ìjánu eÿin@
@harpoon@|@ôkö irin fún pípa erinmi@
@harsh@|@le, líle@
@harvest@|@ìkórè@
@haste@|@àìfarabalê, àìgbéjë, ìkánjú, ìyára@
@hat@|@aketê, ate@
@hatch@|@pa ômô nínú eyin, yín, yínyínpípa ômô nínú eyin@
@hatchet@|@àáké@
@hate@|@ìkórira, ìrira, kórira@
@hateful@|@kún fún ìrira@
@haul@|@gbéfàwô@
@have you bathed?@|@ýjë o ti wê?@
@havoc@|@ìbàjêòfòìparun@
@hawk@|@àwòdì, àÿá@
@hay@|@koríko gbígbe@
@haystack@|@abà koríko gbígbe, òkìtì koríko gbígb@
@hazard@|@ewu, ìjàbá@
@hazardous@|@léwunípanilára@
@haze@|@ikúùkúù@
@hazy@|@níkúùkúù@
@he@|@ó, òun@
@head@|@orí@
@headache@|@ëförí, frí@
@heading@|@orí õrõ@
@headlight@|@iná ìtônisônà iwájú ôkö@
@headline@|@örö àkôsô@
@headquarters@|@ilé olórí egbê@
@heal@|@wòsànmú lára dáwòjiná@
@health@|@ìleradídá ara@
@healthy@|@níleratagun@
@hear@|@gbö, têtí sí@
@hearing@|@gbígbô ejô, gbígbôràngbígbô@
@heart@|@ôkàn@
@heartbeat@|@ìlù ôkàn, ìlùkìkì  ôkàn@
@heartburn@|@àyàtíta@
@heat@|@oruìmóruìgbóná@
@heater@|@ërô tí  fúnni lóru@
@heating@|@mímóru@
@heatware@|@òru àpáàdí@
@heaven@|@òkè örunörun àláfíà@
@heavy@|@wúwo@
@hectic@|@hílàhílò, láìníyàn@
@hedge@|@ôgbà@
@hedgehog@|@öyà@
@heel@|@gìgísë@
@height@|@gíga@
@heighten@|@gbéga@
@heir@|@àróléajogúnmôgàjí@
@heiress@|@àróléajogúnmôgàjí@
@heirloom@|@ajogúnbá@
@hell@|@örun àpáàdí@
@hello@|@e pêlë, nlë o@
@helm@|@ìtôkö@
@helmet@|@àketë ìborùn@
@help@|@ìrànlöwö, ràn löwö@
@helper@|@atinilëhìn, olùrànlöwö@
@helpful@|@ìÿe ìrànlôwô@
@helpless@|@láìnírànlôwô@
@hem@|@ìÿêtí aÿô@
@hemisphere@|@àwòrán orí ëyà ayé@
@hen@|@abo adìye, àgbébõ@
@her@|@òun, rê, tirê@
@herb@|@ewébë@
@herd@|@öwô eranàgbò eran@
@here@|@ibí@
