@English@|@Russian@
@debunk@|@развенчивать@
@debus@|@высаживать@
@debut@|@первое выступление@
@debutant@|@дебютант@
@debutante@|@дебютантка@
@decade@|@десятилетие@
@decadence@|@упадок@
@decadent@|@приходящий в упадок@
@decagon@|@десятиугольник@
@decalogue@|@десять заповедей@
@decamp@|@удирать@
@decant@|@сцеживать@
@decanter@|@графин@
@decapitate@|@обезглавливать@
@decarbonate@|@обезуглероживать@
@decathlon@|@десятиборье@
@decay@|@гниение@
@decayed@|@гнилой@
@decease@|@смертельный исход@
@deceased@|@покойник@
@decedent@|@покойный@
@deceit@|@обман@
@deceitful@|@обманчивый@
@deceive@|@обмануть@
@decelerate@|@замедлять@
@december@|@декабрь@
@decembrist@|@декабрист@
@decency@|@приличие@
@decennary@|@десятилетие@
@decennial@|@десятилетний@
@decent@|@приличный@
@deception@|@обман@
@deceptive@|@обманчивый@
@decibel@|@децибел@
@decide@|@решать, решаться@
@decided@|@решила@
@decidedly@|@решительно@
@deciduous@|@листопадный@
@decile@|@десятая часть@
@decimal@|@десятичный@
@decimalize@|@переводить в десятичн. систем@
@decimate@|@истреблять@
@decimeter@|@дециметр@
@decipher@|@расшифровавать@
@decision@|@решение@
@decisive@|@решительный@
@deck@|@палуба@
@deckhouse@|@рубка@
@decking@|@настил@
@deckle@|@декель@
@declaim@|@произносить с пафосом@
@declamation@|@торжественная речь@
@declamatory@|@ораторский@
@declaration@|@заявление@
@declarative@|@декларативный@
@declarator@|@описатель@
@declaratory@|@декларативнй@
@declare@|@заявлять, объявлять@
@declared@|@заявленный@
@declassify@|@рассекречивать@
@declension@|@склонение@
@declination@|@отклонение магнитной стрелки@
@decline@|@склон@
@declining@|@преклонный@
@declivitous@|@довольно крутой@
@declivity@|@покатость@
@decoct@|@приготовлять отвар@
@decode@|@расшифровывать@
@decoding@|@расшифровка@
@decollate@|@разрывать@
@decolor@|@обесцвечивать@
@decolorant@|@обесцвечивающее вещество@
@decolorize@|@обесцвечивать@
@decompensation@|@декомпенсация@
@decompose@|@разлагать на составные части@
@decomposition@|@разложение@
@decompound@|@составлять из сложных частей@
@decompress@|@снижать давление@
@decompression@|@постепенное понижение давлени@
@deconsecrate@|@секуляризировать@
@decontaminate@|@обеззараживать@
@decontrol@|@освобождение от контроля@
@decor@|@орнамент@
@decorate@|@украшать@
@decorated@|@украшенный@
@decoration@|@украшение@
@decorative@|@декоративный@
@decorator@|@декоратор@
@decorous@|@соблюдающий приличия@
@decorticate@|@сдирать@
@decorum@|@внешнее приличие@
@decoy@|@ловушка@
@decrease@|@уменьшение@
@decreased@|@уменьшенный@
@decree@|@декрет@
@decrement@|@уменьшение@
@decrepit@|@дряхлый@
@decrepitate@|@обжигать@
@decrepitude@|@маразм@
@decrescent@|@убывающий@
@decretal@|@декрет@
@decretive@|@декретный@
@decretory@|@декретный@
@decry@|@умалять значение@
@decubitus@|@пролежень@
@decumbent@|@лежащий (adj), лежащим (adj)@
@decuple@|@удесятеренный@
@decussation@|@перекрест@
@dedicate@|@посвящать@
@dedicated@|@преданный@
@dedication@|@освящение@
@deduce@|@делать вывод@
@deduct@|@вычитать@
@deduction@|@вычитание@
@deed@|@акт (noun:), подвиг, поступок (noun)@
@deem@|@полагать@
@deep@|@глубокий@
@deepen@|@углублять@
@deepfreeze@|@морозильник@
@deep-frozen@|@свежезамороженный@
@deeply@|@глубоко@
@deep-rooted@|@глубоко укоренившийся@
@deep-sea@|@глубоководный@
@deep-seated@|@глубоко сидящий@
@deer@|@олень@
@deerskin@|@оленья кожа@
@deerstalker@|@войлочная шляпа@
@deface@|@обезображивать@
@defalcate@|@нарушить долг@
@defamation@|@поношение@
@defame@|@клеветать, поносить@
@defatted@|@обезжиренный@
@default@|@невыполнение обязательств@
@defeasance@|@аннулирование@
@defeasible@|@могущий быть отмененным@
@defeat@|@поражение@
@defeated@|@побежденный@
@defeatism@|@пораженчество@
@defect@|@изъян@
@defective@|@поврежденный@
@defence@|@защита@
@defend@|@защищать@
@defendant@|@подсудимый@
@defended@|@защищенный@
@defends/is defending@|@стоит (verb: ia/pres/3ps)@
@defense@|@оборона@
@defensible@|@оправдываемый@
@defensive@|@защитный@
@defer@|@уступать@
@deference@|@уважение@
@deferent@|@отводящий@
@deferential@|@почтительный@
@deferment@|@откладывание@
@deferred@|@замедленный@
@defiance@|@неповиновение@
@defiant@|@открыто неповинующийся@
@deficiency@|@недостаток@
@deficient@|@недостаточный@
@deficit@|@дефицит@
@defilade@|@естественное укрытие@
@defile@|@теснина@
@define@|@определять, устанавливать значение@
@definite@|@определенный@
@definitely@|@точно@
@definition@|@определение@
@definitions@|@определения@
@definitive@|@окончательный@
@deflagrate@|@быстро сжигать или сгорать@
@deflate@|@опровергать@
@deflation@|@дефляция@
@deflect@|@отклонять@
@deflected@|@отогнутый@
@deflection@|@отклонение@
@deflexion@|@опт. преломление@
@defloration@|@лишение девственности@
@deflower@|@лишать девственности@
@defoliate@|@лишенный листьев@
@deforest@|@вырубить леса@
@deform@|@обезображивать@
@deformation@|@уродование@
@deformed@|@обезображенный@
@deforming@|@обезображивающий@
@deformity@|@безобразие@
@defraud@|@обманывать@
@defray@|@оплачивать@
@defrock@|@расстричь@
@defrost@|@размораживать@
@deft@|@ловкий@
@defunct@|@вымерший, несуществующий@
@defy@|@не повиноваться (verb)@
@degas@|@дегазировать@
@degeneracy@|@вырождение@
@degenerate@|@вырождаться@
@degeneration@|@вырождение@
@degenerative@|@вырождающийся@
@deglutition@|@глотание@
@degradation@|@упадок@
@degrade@|@понижать@
@degraded@|@находящийся в состоянии упадк@
@degrading@|@унизительный@
@degree@|@градус, уровень@
@degrees@|@градусов@
@degression@|@снижение налогов@
@dehisce@|@раскрываться@
@dehorn@|@спиливать рога@
@dehumanize@|@делать грубым@
@dehydrate@|@обезвоживать@
@dehydrated@|@обезвоженный@
@dehydration@|@обезвоживание@
@dehydrogenate@|@дегидрировать@
@dehydrogenize@|@удалять водород@
@deification@|@обожествление@
@deify@|@обожествлять@
@deign@|@соизволить@
@deity@|@божественность@
@deject@|@удручать@
@dejected@|@удрученный@
@dejection@|@депрессия@
@delay@|@промедление@
@delayed@|@задержанный@
@delectable@|@восхитительный@
@delectation@|@наслаждение@
@delegacy@|@делегация@
@delegate@|@представитель@
@delegation@|@делегация@
@delete@|@вычеркивать, стирать, удалять@
@deleterious@|@вредный@
@deletion@|@вычеркивание, удаление@
@delft@|@фаянс@
@delhi@|@дели@
@deli@|@гастроном, деликатесная@
@deliberate@|@намеренный@
@deliberation@|@обдумывание@
@deliberative@|@совещательный@
@delicacy@|@изящество@
@delicate@|@нежный@
@delicatessen@|@деликатесы@
@delicious@|@очень вкусный@
@delict@|@правонарушение@
@delight@|@восторг@
@delightful@|@восхитительный@
@delightsome@|@восхитительный@
@delimit@|@определять границы@
@delimiter@|@ограничитель@
@delineate@|@обрисовывать@
@delinquency@|@проступок@
@delinquent@|@виновный@
@delirious@|@бредовый@
@delirium@|@бред@
@deliver@|@вручать, доставлять, передавать, произносить@
@deliver/am delivering@|@подаю (verb: ia/pres/1ps)@
@deliver/are delivering@|@подаём (verb: ia/pres/1pp), подаёте (verb: ia/pres/2pp), подаёшь (verb: ia/pres/2ps), подаю́т (verb: ia/pres/3pp)@
@deliverance@|@освобождение@
@delivers/is delivering@|@подаёт (verb: ia/pres/3ps)@
@delivery@|@доставка@
@dell@|@лесистая долина@
@delouse@|@избавлять от вшей@
@delphian@|@др.-дельфийский@
@delta@|@дельта@
@delude@|@обманывать@
@deluge@|@наводнение@
@delusion@|@заблуждение@
@delusive@|@обманчивый@
@delve@|@впадина@
@demagnetize@|@размагничивать@
@demagog@|@демагог@
@demagogic@|@демагогический@
@demagogy@|@демагогия@
@demand@|@требование, требовать@
@demandant@|@истец@
@demanding@|@требовательный@
@demarcate@|@разграничивать@
@demarcation@|@разграничение@
@demarche@|@дипломатический шаг@
@demean@|@унижать@
@dement@|@сводить с ума@
@demented@|@сумасшедший@
@dementi@|@опровержение@
@dementia@|@помешательство@
@demerit@|@недостаток@
@demesne@|@владение@
@demigod@|@полубог@
@demijohn@|@большая оплетенная бутыль@
@demilitarize@|@демилитаризовать@
@demilitarized@|@демилитаризованный@
@demimonde@|@полусвет@
@demise@|@кончина@
@demission@|@сложение звания@
@demit@|@уходить в отставку@
@demiurge@|@творец@
@demo@|@демонстрация@
@demobilize@|@демобилизовать@
@democracy@|@демократия@
@democrat@|@демократ@
@democratic@|@демократический@
@democratize@|@демократизировать@
@demographic@|@демографический@
@demography@|@демография@
@demoiselle@|@шутл. девушка@
@demolish@|@разрушать@
@demolition@|@разрушение@
@demon@|@демон@
@demonetize@|@изымать из обращения@
@demoniacal@|@демонический@
@demonic@|@дьявольский@
@demonstrable@|@доказуемый@
@demonstrate@|@доказывать@
@demonstration@|@доказательство@
@demonstrative@|@несдержанный@
@demonstrator@|@демонстрант@
@demoralize@|@деморализовать@
@demote@|@понижать в должности@
@demotic@|@демотический@
@demur@|@возражение@
@demure@|@сдержанный@
@demurrage@|@простой@
@demurrer@|@процессуальный отвод@
@demy@|@формат бумаги@
@den@|@берлога@
@denary@|@десятичный@
@denationalize@|@денационализировать@
@denaturalize@|@денатурализовать@
@dendriform@|@древовидный@
@dendritic@|@древовидный@
@dendroid@|@древовидный@
@dene@|@долина@
@dengue@|@тропическая лихорадка@
@denial@|@отрицание@
@denigrate@|@чернить@
@denim@|@грубая хлопчатобумажная ткань@
@denizen@|@натурализовавшийся иностранец@
@denmark@|@дания@
@denominate@|@называть@
@denomination@|@наименование@
@denominative@|@нарицательный@
@denominator@|@знаменатель@
@denotation@|@обозначение@
@denotative@|@означающий@
@denote@|@обозначаете, обозначаешь, обозначают@
@denotes@|@обозначает@
@denounce@|@поносить, разоблачать@
@dense@|@густой@
@density@|@густота@
@dent@|@выемка@
@dental@|@зубной (adj)@
@dentate@|@зазубренный@
@dentation@|@зубчатость@
@denticulate@|@зубчатый@
@dentiform@|@имеющий форму зуба@
@dentist@|@зубной врач@
@dentistry@|@лечение зубов@
@dentition@|@прорезывание зубов@
@denture@|@ряд зубов@
@dentures@|@ряд зубов@
@denuclearized@|@безъядерный@
@denude@|@обнажать@
@denunciation@|@осуждение@
@deny@|@отрицать@
@deodorant@|@уничтожающий запах@
@deodorize@|@уничтожать дурной запах@
@deontology@|@медицинская этика@
@depart@|@идите, отправляется, уйти, уходить, ухожу@
@departed@|@покойный@
@department@|@отдел, отделение, отделению, универмаг (noun)@
@department store@|@универмаг (noun)@
@departs@|@отьезжает@
@departure@|@отъезд@
@depauperate@|@доводить до нищеты@
@depend@|@зависеть@
@dependable@|@надежный@
@dependant@|@подчиненный@
@dependence@|@зависимость@
@dependency@|@зависимость@
@dependent@|@зависимый@
@depict@|@рисовать@
@depiction@|@изображён, изображение@
@depilate@|@удалять волосы@
@deplane@|@высаживать из самолета@
@deplete@|@истощать@
@depletion@|@истощение@
@deplorable@|@печальный@
@deplore@|@сожалеть@
@deploy@|@развертывание@
@deplume@|@ощипывать перья@
@deponent@|@отложительный@
@depopulate@|@обезлюдеть@
@deport@|@высылать@
@deportation@|@ссылка@
@deportee@|@сосланный@
@deportment@|@поведение@
@depose@|@смещать@
@deposit@|@взнос@
@deposit/am depositing@|@кладу (verb: ia/pres/1ps)@
@deposit/are depositing@|@кладём (verb: ia/pres/1pp), кладёте (verb: ia/pres/2pp), кладёшь (verb: ia/pres/2ps), кладут (verb: ia/pres/3pp)@
@depositary@|@склад@
@deposition@|@показание под присягой@
@depositor@|@вкладчик@
@depository@|@склад@
@deposits@|@месторождение@
@deposits/is depositing@|@кладёт (verb: ia/pres/3ps)@
@depot@|@автовокзал (noun:), магазин (noun), склад@
@depot  (usually large train stations)@|@вокзал@
@deprave@|@развращать@
@depraved@|@испорченный@
@depravity@|@испорченность@
@deprecate@|@возражать@
@deprecative@|@неодобрительный@
@deprecatory@|@молящий об отвращении беды@
@depreciate@|@обесценивать@
@depreciation@|@обесценивание@
@depreciatory@|@обесценивающий@
@depredate@|@грабить@
@depredation@|@грабеж@
@depress@|@подавлять@
@depressant@|@успокоительное средство, успокоительный@
@depressed@|@подавленный@
@depressing@|@гнетущий@
@depression@|@уныние@
@depressive@|@угнетенный@
@deprivation@|@лишение@
@deprive@|@лишать@
@depth@|@глубина@
@depurated@|@очищенный@
@deputation@|@делегация@
@depute@|@делегировать@
@deputy@|@депутат@
@deracinate@|@вырывать с корнем@
@derail@|@вызвать крушение@
@derange@|@приводить в беспорядок@
@deranged@|@душевнобольной@
@derby@|@дерби@
@derelict@|@покинутый@
@dereliction@|@упущение@
@deride@|@насмехаться@
@derision@|@высмеивание@
@derisive@|@насмешливый@
@derivation@|@источник@
@derivative@|@производный@
@derive@|@получать@
@derived@|@вырезанный@
@deriving@|@черпание@
@derm@|@кожа@
@dermal@|@кожный@
@dermis@|@кожа@
@dernier@|@последний@
@derogate@|@испорченный@
@derogatory@|@умаляющий@
@derrick@|@кран@
@derring-do@|@отчаянная храбрость@
@desalinate@|@опреснять@
@desalt@|@опреснять@
@descant@|@рассуждать@
@descend@|@спускаться, сходить@
@descendant@|@потомок@
@descending@|@спускающийся@
@descent@|@спуск@
@describe@|@описывать@
@description@|@описание@
@descriptive@|@описательный@
@descriptor@|@дескриптор@
@descry@|@замечать, увидите@
@desecrate@|@осквернять@
@desensitize@|@уменьшать восприимчивость@
@desert@|@необитаемый@
@deserted@|@пустынный@
@desertion@|@дезертирство@
@deserts@|@заслуги@
@deserve@|@заслуживать@
@deserved@|@заслуженный@
@deserving@|@заслуживающий@
@deshabille@|@домашнее платье@
@desiccant@|@высушивающий@
@desiccate@|@высушивать, высыхать@
@desiderate@|@нуждаться@
@desideratum@|@что-л. недостающее@
@design@|@рисунок@
@designate@|@определять@
@designated@|@обозначен, обозначена@
@designation@|@определение, указание@
@designed@|@соответствующий плану@
@designer@|@художник-декоратор@
@designing@|@интригующий@
@desirable@|@желанный@
@desire@|@желание, желать@
@desirous@|@желающий@
@desist@|@воздерживаться@
@desk@|@отделение, письменный стол, стол, стола, столом@
@desman@|@выхухоль@
@desolate@|@заброшенный@
@desolation@|@опустошение@
@desolute@|@несчастный@
@despair@|@отчаяние@
@despatch@|@отправка@
@desperado@|@отчаянный человек@
@desperate@|@отчаянный@
@desperation@|@безрассудство@
@despicable@|@презренный@
@despise@|@презирать@
@despite@|@вопреки@
@despite of@|@вопреки@
@despiteful@|@злобный@
@despoil@|@грабить@
@despoliation@|@ограбление@
@despond@|@отчаяние@
@despondency@|@отчаяние@
@despondent@|@подавленный@
@despot@|@тиран@
@despotism@|@деспотия@
@desquamate@|@шелушиться@
@dessert@|@десерт@
@dessicated@|@сухой@
@destination@|@предназначение@
@destine@|@назначать@
@destined@|@предназначенный@
@destiny@|@судьба@
@destitute@|@сильно нуждающийся@
@destitution@|@нужда@
@destrier@|@боевой конь@
@destroy@|@уничтожать@
@destroyer@|@истребитель@
@destruction@|@разрушение@
@destructive@|@разрушительный@
@destructor@|@мусоросжигательная печь@
@desuetude@|@неупотребительность@
@desultory@|@несвязный@
@detach@|@отдельно стоящий@
@detached@|@отдельный@
@detachment@|@отделение, отделению, разъединение@
@detail@|@детальный, наряд@
@detailed@|@подробный@
@detailing@|@назначение в наряд@
@details@|@подробности@
@detain@|@задерживать@
@detained@|@задерживаемый@
@detainee@|@задержанный@
@detective@|@сыскной@
@detector@|@прибор для обнаружения@
@detent@|@защелка@
@detention@|@задержание@
@deter@|@удерживать@
@detergent@|@очищающий@
@deteriorate@|@ухудшаться@
@determination@|@определение, решительность@
@determinations@|@определения@
@determinative@|@ограничивающий@
@determine@|@вычислять, детерминировать, измерять, обусловливать, определять, решать, решаться@
@determined@|@определенный, решительный@
@determining@|@определения@
@deterrence@|@удержание@
@deterrent@|@удерживающий@
@detersive@|@очищающее средство@
@detest@|@ненавидеть@
@detestable@|@отвратительный@
@detestation@|@сильное отвращение@
@dethrone@|@развенчивать@
@detonate@|@взрывать@
@detonating@|@детонирующий@
@detonation@|@взрыв@
@detonator@|@детонатор@
@detour@|@окольный путь@
@detoxify@|@обезвредить яд@
@detract@|@умалять@
@detraction@|@умаление@
@detrain@|@разгружать@
@detriment@|@вред@
@detrimental@|@вредный@
@detrition@|@преим. стирание@
@detritus@|@обломки@
@deuce@|@черт@
@deuced@|@чертовский@
@devaluate@|@обесценивать@
@devalue@|@обесценивать@
@devastate@|@опустошать@
@devastated@|@опустошенный@
@devastating@|@огромный@
@develop@|@развивать@
@developed@|@развитый@
@developer@|@застройщик@
@development@|@развитие@
@deviate@|@отклоняться@
@deviation@|@отклонение@
@device@|@план, способ, средство@
@devil@|@энергичный@
@devilfish@|@осьминог@
@devilish@|@дьявольский@
@devil-may-care@|@беззаботный@
@devilment@|@черная магия@
@devilry@|@коварство@
@deviltry@|@черная магия@
@devious@|@извилистый@
@devise@|@завещание@
@devisee@|@наследник@
@deviser@|@завещатель@
@devitalize@|@лишать жизненной силы@
@devoid@|@лишенный@
@devoir@|@долг@
@devolution@|@вырождение@
@devonian@|@девонширский@
@devonian period@|@девонский период@
@devote@|@посвящать@
@devoted@|@преданный@
@devotee@|@приверженец@
@devotion@|@преданность@
@devotional@|@набожный@
@devour@|@поглощать (verb:), пожирать@
@devout@|@благоговейный@
@dew@|@роса@
@dewberry@|@ежевика@
@dewlap@|@подгрудок@
@dewy@|@росистый@
@dexter@|@правый@
@dexterity@|@проворство@
@dexterous@|@проворный@
@dextrorse@|@вьющийся слева направо@
@dextrose@|@глюкоза@
@dextrous@|@ловкий@
@diabetes@|@диабет@
@diablerie@|@чертовщина@
@diabolical@|@дьявольский@
@diabolism@|@бесноватость@
@diadem@|@корона@
@diagnose@|@распознавать, ставить диагноз@
@diagnosis@|@диагноз@
@diagnostic@|@диагностический@
@diagnostics@|@диагностика@
@diagonal@|@диагональ@
@diagram@|@график@
@dial@|@диск, циферблат@
@dialect@|@говор@
@dialectician@|@диалектик@
@dialectics@|@диалектика@
@dialectology@|@диалектология@
@dialing@|@набор телефонного номера@
@dialling@|@набор номера диском@
@dialog@|@диалог@
@dialogic@|@диалогический@
@dialogue@|@разговор@
@dials@|@набирает@
@diameter@|@диаметр@
@diametric@|@диаметральный@
@diamond@|@алмаз@
@diapason@|@охват@
@diaper@|@подгузник@
@diaphanous@|@прозрачный@
@diaphragm@|@диафрагма@
@diarchy@|@двоевластие@
@diarist@|@кто ведет дневник@
@diarrhea@|@понос, поноси@
@diarrhoea@|@понос@
@diarthrosis@|@истинный сустав@
@diary@|@дневник@
@diathesis@|@диатез@
@diatomic@|@двухатомный@
@diatribe@|@обличительная речь@
@dibble@|@с.-х. ямкоделатель@
@dibs@|@фишки@
@dice@|@игра в кости@
@dicer@|@игрок в кости@
@dichromatic@|@двухцветный@
@dick@|@кожаный передник@
@dickens@|@черт@
@dicker@|@десяток@
@dickey@|@слабый@
@dicky@|@хворый@
@dicotyledon@|@двудольное растение@
@dictate@|@предписание@
@dictation@|@диктант@
@dictator@|@диктатор@
@dictatorial@|@диктаторский@
@dictatorship@|@диктатура@
@diction@|@дикция@
@dictionary@|@словаре, словарь@
@dictum@|@изречение@
@did@|@делать@
@did bear@|@понесло (verb: pa/past/neu)@
@did bear (unidirectional/one-way)@|@понесла (verb: pa/past/fem), понесли (verb: pa/past/plu)@
@did carry@|@понесло (verb: pa/past/neu)@
@did carry (unidirectional/one-way)@|@понесла (verb: pa/past/fem), понесли (verb: pa/past/plu)@
@did try on/tried on@|@примерил (verb: pa/past/masc), примерила (verb: pa/past/fem), примерили (verb: pa/past/plu), примерило (verb: pa/past/neu)@
@didactic@|@дидактический@
@didactics@|@дидактика@
@diddle@|@облапошить@
@dido@|@шалость@
@die@|@игральная кость@
@die hard@|@твердолобый@
@died@|@умер, умерли@
@diehard@|@неустрашимый@
@diesel@|@дизель@
@diet@|@диета, пища (noun)@
@dietary@|@диетический@
@dietetic@|@диетический@
@dietetics@|@диетика@
@dietician@|@диетврач@
@dietitian@|@диетврач@
@differ@|@отличать, различать@
@difference@|@отличать, разница@
@different@|@другой, необычный, различный, разного, разной, разные, разный, разных@
@differential@|@дифференциальный@
@differentiate@|@отличать, различать@
@differently@|@по-разному (adv)@
@difficult@|@трудная (adj), трудный@
@difficulty@|@трудность@
@diffidence@|@робость@
@diffident@|@неуверенный в себе@
@diffuse@|@распространять@
@diffusion@|@распространение@
@dig@|@берлога, копаем@
@dig in@|@окапываться@
@digamy@|@второй брак@
@digest@|@сборник@
@digestible@|@удобоваримый@
@digestion@|@пищеварение@
@digestive@|@пищеварительный@
@digger@|@землекоп@
@digging@|@копали, копание@
@diggings@|@золотые прииски@
@digit@|@палец@
@digital@|@пальцевидный@
@digitalis@|@наперстянка@
@digitate@|@пальцевидный@
@digitated@|@имеющий развитые пальцы@
@digitize@|@кодировать аналоговую инф-ю@
@dignified@|@величественный@
@dignify@|@воздавать почести@
@dignitary@|@сановный@
@dignity@|@достоинство@
@digress@|@отступать@
@digression@|@отступление@
@digressive@|@отклоняющийся@
@digs@|@жилье, копает@
@digue@|@дамба@
@dihydric@|@ионы@
@dike@|@запруда@
@dilapidate@|@растратить@
@dilapidated@|@полуразрушенный@
@dilatation@|@расширение@
@dilate@|@расширять@
@dilation@|@расширение@
@dilatory@|@медленный@
@dilemma@|@необходимость выбора@
@dilettante@|@любитель@
@diligence@|@дилижанс@
@diligent@|@прилежный@
@diligently@|@усердно@
@dill@|@укроп@
@diluent@|@разжижающий@
@dilute@|@разбавленный@
@diluted@|@разбавленный@
@dilution@|@разбавление@
@dim@|@тусклый@
@dime@|@дешевый@
@dimension@|@измерение@
@dimeter@|@четырехстопный стих@
@diminish@|@уменьшать@
@diminished@|@уменьшенный@
@diminishing@|@уменьшающийся@
@diminution@|@уменьшение@
@diminutive@|@уменьшительный; миниатюрный; маленький; крохотный@
@dimmer@|@реостат для ослабления света@
@dim-out@|@частичное затемнение@
@dimple@|@ямочка@
@dimwit@|@неумный человек@
@din@|@шум@
@dinar@|@динар@
@dine@|@ужинают@
@dine/am dining@|@обедаю (verb: ia/pres/1ps)@
@dine/are dining@|@обедаем (verb: ia/pres/1pp), обедаете (verb: ia/pres/2pp), обедаешь (verb: ia/pres/2ps), обедают (verb: ia/pres/3pp)@
@diner@|@обедающий@
@dines/is dining@|@обедает (verb: ia/pres/3ps)@
@dinette@|@обеденный уголок кухни@
@ding@|@звон колокола@
@ding-dong@|@звенящий@
@dinghy@|@шлюпка@
@dingle@|@глубокая лощина@
@dingo@|@динго@
@dingy@|@тусклый@
@dining car@|@вагон-ресторан@
@dinkey@|@небольшой паровоз@
@dinner@|@обед, ужин@
@dinnerware@|@посуда (noun)@
@dinosaur@|@динозавр@
@dint@|@вмятина@
@diocesan@|@епархиальный@
@diocese@|@епархия@
@diopter@|@диоптрия@
@dip@|@погружение@
@diploma@|@диплом@
@diplomacy@|@дипломатия@
@diplomat@|@дипломат@
@diplomatic@|@дипломатический@
@diplomatics@|@дипломатика@
@diplomatist@|@дипломат@
@diplopia@|@двойное зрение@
@dipper@|@анабаптист@
@dipping@|@погружение@
@dippy@|@рехнувшийся@
@dipsomania@|@алкоголизм@
@dipterous@|@двукрылый@
@dire@|@ужасный@
@direct@|@прямой (adj)@
@directing@|@направление@
@direction@|@направление, направлении, указание@
@directional@|@направленный@
@directions@|@направлениях@
@directive@|@указание, указывающий@
@director@|@директор@
@directorate@|@директорат@
@directorial@|@директорский@
@directory@|@директивный@
@directrix@|@директриса@
@direful@|@ужасный@
@dirge@|@погребальная песнь@
@dirigible@|@управляемый@
@dirk@|@кинжал@
@dirndl@|@широкая юбка в сборку@
@dirt@|@земля, почва@
@dirt-cheap@|@очень дешевый@
@dirtiness@|@грязь@
@dirty@|@грязное, грязный@
@disability@|@неспособность@
@disable@|@делать неспособным@
@disabled@|@инвалидном (noun), нетрудоспособный@
@disabuse@|@выводить из заблуждения@
@disaccord@|@разногласие@
@disadvantage@|@невыгодное положение@
@disadvantageous@|@невыгодный@
@disaffected@|@нелояльный@
@disaffirm@|@отменять@
@disagree@|@не соглашаться@
@disagreeable@|@неприятный@
@disagreement@|@разногласие@
@disallow@|@отвергать@
@disannul@|@отменять@
@disappear@|@исчезать@
@disappoint@|@разочаровывать@
@disappointed@|@разочарованный@
@disappointing@|@неутешительный@
@disappointment@|@разочарование@
@disapprobation@|@неодобрение@
@disapproval@|@неодобрение@
@disapprove@|@не одобрять@
@disarm@|@обезоруживать@
@disarmament@|@разоружение@
@disarming@|@обезоруживающий@
@disarrange@|@приводить в беспорядок@
@disarray@|@беспорядок@
@disarticulate@|@разъединять@
@disassemble@|@демонтировать@
@disaster@|@бедствие@
@disastrous@|@бедственный@
@disavow@|@отрицать@
@disband@|@расформировывать@
@disbar@|@исключать из корпорации@
@disbelief@|@неверие@
@disbelieve@|@не верить@
@disbranch@|@обрезать ветви@
@disbud@|@обрезать молодые побеги@
@disburden@|@освобождать от тяжести@
@disburse@|@оплачивать@
@disbursement@|@выплаченная сумма@
@disc@|@диск@
@discard@|@сбрасывание карт@
@discern@|@отличать, различать, распознавать@
@discernible@|@видимый@
@discerning@|@распознающий@
@discernment@|@проницательность@
@discharge@|@выливать, разгрузка, увольнять@
@disciple@|@последователь, ученик@
@disciplinarian@|@дисциплинарный@
@disciplinary@|@дисциплинарный@
@discipline@|@дисциплина@
@disciplined@|@дисциплинированный@
@disclaim@|@отрекаться@
@disclaimer@|@отказ@
@disclamation@|@отречение@
@disclose@|@обнаруживать@
@disclose/am disclosing@|@открываю (verb: ia/pres/1ps)@
@disclose/are disclosing@|@открываем (verb: ia/pres/1pp), открываете (verb: ia/pres/2pp), открываешь (verb: ia/pres/2ps), открывают (verb: ia/pres/3pp)@
@disclosed/had disclosed/has disclosed@|@открыло (verb: pa/past/neu)@
@disclosed/had disclosed/have disclosed@|@открыли (verb: pa/past/plu)@
@disclosed/had disclosed/have disclosed/has disclosed@|@открыл (verb: pa/past/mas), открыла (verb: pa/past/fem)@
@discloses@|@вскрывает@
@discloses/is disclosing@|@открывает (verb: ia/pres/3ps)@
@disclosure@|@открытие (noun), раскрытие@
@disco@|@дискотека@
@discoid@|@дисковидный@
@discolor@|@изменять цвет@
@discoloration@|@обесцвечивание@
@discolour@|@обесцвечивать@
@discomfit@|@наносить поражение@
@discomfiture@|@поражение@
@discomfort@|@неудобство@
@discommend@|@не одобрять@
@discommode@|@неудобство@
@discompose@|@нарушать порядок@
@discomposure@|@беспокойство@
@disconcert@|@смущать@
@disconcerted@|@расстроенный@
@disconnect@|@разъединять@
@disconnected@|@бессвязный@
@disconsolate@|@неутешный@
@discontent@|@недовольный@
@discontented@|@недовольный@
@discontinuance@|@прекращение@
@discontinuation@|@прекращение@
@discontinue@|@прекращать@
@discontinuity@|@отсутствие непрерывности@
@discontinuous@|@прерывистый@
@discord@|@разногласие@
@discordance@|@диссонанс@
@discordant@|@несогласный@
@discotheque@|@дискотека@
@discount@|@скидка@
@discountenance@|@неодобрение@
@discourage@|@обескураживать@
@discouragement@|@расхолаживание@
@discouraging@|@расхолаживающий@
@discourse@|@высказывание, рассуждение@
@discourteous@|@невоспитанный@
@discourtesy@|@невоспитанность@
@discover@|@обнаруживать@
@discover/am discovering@|@открываю (verb: ia/pres/1ps)@
@discover/are discovering@|@открываем (verb: ia/pres/1pp), открываете (verb: ia/pres/2pp), открываешь (verb: ia/pres/2ps), открывают (verb: ia/pres/3pp)@
@discovered/had discovered/has discovered@|@открыло (verb: pa/past/neu)@
@discovered/had discovered/have discovered@|@открыли (verb: pa/past/plu)@
@discovered/had discovered/have discovered/has discovered@|@открыл (verb: pa/past/mas), открыла (verb: pa/past/fem)@
@discovers/is discovering@|@открывает (verb: ia/pres/3ps)@
@discovery@|@открытие (noun)@
