@English@|@Burmese@
@onion@|@swan, wan.@
@open@|@lein maw@
@orange@|@na kyin da@
@ordination hall for the monks@|@thain@
@other@|@täpah@
@otter@|@phjam, s-ram, sam@
@out of fashion@|@räwh@
@outlet at side of a reserve@|@hlwajh@
@overcast@|@um, um'@
@overflow@|@mräung@
@own@|@mi'mi'@
@owner@|@hrang@
@pacify@|@hnam@
@pagoda@|@kjäuk@
@pain@|@pyaw bwe:@
@pale red@|@ni-kjang-kjang@
@palm of hand@|@pha'wah@
@pantry@|@can'@
@parrot@|@kjijh@
@part@|@äthumh@
@part of a blade@|@ächaung@
@particle of respect@|@pa@
@partridge@|@kha@
@party@|@lu, lu du@
@pass@|@lai, šälai@
@pass over@|@kjaw@
@pavilion for religious@|@mandap@
@pawn@|@krwij@
@peacock@|@u'-daungh, u-tong@
@peel@|@paj'@
@pen@|@khrok@
@penis@|@lih, lix, nï, rih, säw@
@people@|@ta nei. hlyin@
@per day@|@da' poun@
@perform@|@plu, pru'@
@permission@|@äkhwang'@
@person@|@chang@
@person beautiful@|@lu chuo@
@petal of a flower@|@ählap@
@petition@|@hljauk@
@pheasant@|@rac, rykx@
@phlegm@|@hak@
@photograph@|@gaun: oun@
@piece of cloth@|@äthan@
@pig@|@wak, wakx@
@pillow@|@nei ya@
@pine@|@thangh-ruh@
@pine-tree@|@thangh-ruh, thangx@
@place@|@lei hto: dan@
@place one on another@|@thap@
@placed close together@|@c'ip@
@placenta@|@ä-khjangh@
@plait@|@kjac, phwat-mrih@
@platform@|@c'ang@
@pleasant grove@|@c'um@
@pleasant odour@|@kru@
@please@|@chézùpyúp, kyeizu pyu yue@
@please let me have...@|@...pei: ba@
@please post this letter for me@|@please post this letter for me@
@pluck@|@c'hwat@
@poison@|@c'hip, tauk, tukx@
@police@|@rajh@
@pond@|@thumh@
@pool@|@äung@
@poor@|@dbul@
@porcupine@|@phru, phruh@
@posterior@|@hnaungh, tangx@
@power of becoming invisible@|@hrinh@
@premature@|@cawh@
@press@|@hnip@
@principle@|@mu@
@produce sounds@|@kju@
@prohibitive particle@|@thax@
@prostitute@|@pha@
@protruding@|@c'waj@
@protuberance@|@umh@
@public building@|@rum'@
@pull down a branch@|@khju@
@pump air@|@myan@
@pumpkin@|@pha'-rum@
@pungent@|@c'ap@
@pure@|@c'ang@
@pus@|@pling, pran@
@push through a crowd@|@hrajh@
@put down@|@khla'@
@put into and shut up@|@hlaung@
@put upon@|@tañ@
@queen@|@c'awh@
@quick@|@mo:@
@raft@|@phaung@
@rain@|@a sa: a thau, mäwh, mäwx, r-jua, rwa@
@rainbow@|@c'äw'@
@rainy season@|@mo: ya thi@
@raise@|@pang'@
@raise to an erect posture@|@thu@
@ram@|@äwx, säwh, zäw, zäwx@
@rapid@|@swak@
@rat@|@krwak@
@rattan@|@krim@
@raven@|@kjih-'a@
@reaching its peak@|@khak@
@rebuke@|@täungh@
@redeem@|@rwijh@
@refreshments@|@ba tha yei:@
@refuse@|@ähmäuk@
@region@|@khamh@
@reject@|@ngrangh@
@rejoice@|@kran@
@relative@|@äc'hwij@
@religion@|@pyin@
@religious writing@|@khjamh, klam@
@remaining behind@|@rac@
@repair@|@a na:@
@reproach@|@ã-prac@
@residence@|@kra'-hnganh, kra'-hnganh@
@respectable women@|@daw@
@rest@|@sa:daw ze'@
@restaurant@|@htamin:@
@return@|@plan, pran@
@reverence@|@käwh, thi@
@rib@|@nam-räwh@
@rice@|@hta min:, myi'@
@rice field@|@laj-kwangh@
@rice noodles flat@|@hnya' khau' hswe:@
@rice noodles thin@|@hmoun. hin: ga: ba'@
@right@|@lak-ja, n'a@
@ripe@|@hman', smin'@
@ritual drum for religious@|@byaw@
@river@|@lan:, myik@
@rivers@|@myitk-twae@
@rivulet@|@muh@
@road@|@a tu du, kha, khra, lamh@
@roast@|@kjwamh@
@root@|@khji, mrac, mryat@
@ruffle@|@wang'@
@run@|@kjat@
@saddle of a hill@|@kunh@
@salt@|@c'hah, chax@
@saltpetre@|@jamh@
@sambur@|@chat@
@same@|@kyei na'@
@sand@|@sajh, sajx@
@sand bank@|@canh@
@satiated@|@wa'@
@satisfy@|@kyaun@
@saturday@|@sanei@
@say@|@taj@
@scabies@|@äphijh@
@school@|@hsain@
@scrape@|@kut@
@scratched@|@pwanh@
@scream@|@aw@
@screen@|@dom-ra@
@scrofula@|@kjap@
@seaweed@|@hmaw@
@see you later@|@hsoun gya. thei: da paw@
@seed@|@c'ij', mjäwh, mliw, mljuiw, mluiw@
@seize@|@näung-thak@
@seize with claws@|@khup@
@semen@|@sut@
@send back@|@pyan po@
@servant@|@'klwan, klwan@
@service@|@wat@
@sesame@|@hnamh, s-namx@
@set upright@|@cuk@
@seven@|@k'ú- hniq, khu-na, khun ni@
@seventeen@|@hse-khun ni@
@seventy@|@khun-nah seh@
@shadow@|@rip@
@shallow@|@tim@
@she@|@khjangh, su, thu@
@shell@|@khjap@
@shield of any kind@|@ka@
@shin@|@nui-tam-kjanh@
@shine@|@pa'@
@shoot@|@pac', pYk@
@shop@|@nei ma kaun:@
@shore@|@kamh@
@short@|@cvng@
@shrimp@|@ba zun@
@shrub@|@khjum@
@shut the eyes@|@hminh@
@sick@|@ngwei@
@side by side@|@hjañ@
@sign of the plural@|@täi'@
@silk@|@ga de: ga@
@silver@|@ngwij, po:@
@similar@|@c'han@
@since@|@ei'@
@sit@|@jaung@
@six@|@c'auq, cauq, khrauk, khrukx@
@sixteen@|@hse-cauq@
@sixty@|@cauq-seh@
@skin@|@a-rij@
@skink@|@sangh-kjaw@
@skirt for a man@|@khjangh@
@skull@|@khwam@
@sky@|@nam@
@sleep@|@hsa'pya@
@slender@|@kjang@
@sluggish@|@lijh@
@small basket@|@khawh@
@smell offensively@|@hnaw@
@smoke@|@khäwh, khäwx@
@snake@|@mruj@
@snow@|@wax@
@soap@|@tha chin:@
@soft@|@nu-nam'@
@soldier@|@mak@
@some writing paper@|@sa yei: se' ku@
@someone@|@ta-lij@
@son@|@sah, zax@
@song@|@hin: gyo@
@son-in-law@|@sa-mak, smakx@
@sorcerer@|@c'unh@
@soul@|@hnälumh, s-la@
@soup@|@zun:@
@south@|@taun@
@southeast@|@a shei. taun@
@southwest@|@a nau' taun@
@sp. of grain@|@luh@
@space behind@|@nauk@
@spacious resting place@|@zayat@
@speak@|@c'häw, ngak, prawh@
@speak Myanmar@|@da' aun thin pei: nain mala@
@speak with an accent@|@wajh@
@spear@|@hlam, slam@
@speech@|@cäkah@
@spend@|@sumh@
@spew@|@tauk@
@spider@|@pang'-ku@
@spirit@|@c'it@
@spiritous liquor@|@ärak@
@spoon@|@kyaun: tha:@
@spread a carpet@|@pran'@
@spread abroad@|@krajh@
@spread wings@|@phran'@
@sprout@|@pauk@
@spur@|@khang@
@squirrel@|@hran'@
@stall@|@c'häung@
@stare@|@ngij@
@starling@|@chak-rak@
@steal@|@sut@
@steelyard@|@canh@
@stomach@|@päuk@
@stone@|@k-lungx, khajh, khajh, kjauk@
@stop..stop here@|@ya' pa-dima ya'@
@store@|@säw@
@stove@|@phäw@
@straddle@|@twij@
@strand@|@kraw'@
@stream@|@khjaungh, khlong@
@streamer@|@ta-khwan@
@strength@|@an, an, ang, šatx@
@stretch hide on a frame@|@krak@
@stretched out straight@|@can'@
@strike with a motion towards@|@sim@
@strike with a stroke@|@jak@
@string@|@kräwh@
@strong@|@ma@
@strong of tea@|@kja'@
@student@|@nei@
@stupid@|@thäungh@
@sty in the eye@|@c'wan@
@style@|@han@
@subject@|@kjwan, kjwan, kjwan@
@suck@|@chupx@
@suck with the mouth@|@c'ut@
@sufficient@|@lauk, lukx, taw@
@sulphur@|@kan'@
@sultry@|@äuk@
@summon@|@khawx@
@sun@|@nij, nij', zabwe:@
@sunday@|@tanin: ga nwei@
@supermarket@|@sa: thau' koun dai'zei@
@support@|@pum@
@suspect of a crime@|@jäwh@
@swamp@|@c'im'@
@swan@|@nganh@
@sweat@|@khjwijh, khrwijh, skrujx@
@swelling@|@ãbru, raung@
@swim@|@khry, luaj@
@swing@|@swaj'@
@sword@|@thax@
@sympathize@|@krang@
@table@|@za ga: pyaw:, zâbwè@
@tail@|@mrejx, mrih, smrejx@
@take away@|@lu'@
@take shelter@|@khäw@
@take someone's side@|@pangh@
@talk@|@hsaya@
@taxes@|@khwan@
@tea@|@la-phak, lak-phak@
@teach@|@sang@
@teacher@|@ma, saya, sayama@
@temporary building for royal@|@kwanh@
@ten@|@chaj, kjip, s'eh, ta'seh@
@termite@|@khra'@
@testicle@|@lek@
@testiculi@|@la'-u', säwh@
@texture@|@thags@
@thank you@|@chèzùbè, kyei: zu: tin ba de, kyeizu tin ba de@
@that@|@ai ha, ha, san, thäw@
@the back@|@kjawh@
@the back of a knife@|@ähnaung', snukx@
@the betel plant@|@kwamh@
@the brain@|@s-nukx, uh-hnauk@
@the cold season@|@chaungh@
@the elbow@|@lätaung@
@the future@|@nakx, naung@
@the harshness of surface@|@hra'@
@the heart@|@hnac, sni, snik@
@the inside@|@ätwangh@
@the jujube@|@c'hih@
@the liver@|@sanh, singh@
@the loins@|@khah@
@the mouth of a river@|@ähmwamh@
@the myanmar month@|@kason@
@the product of a small insect@|@gum lac, khjip lac@
@the shrine building@|@tazaung@
@the temples@|@mur-gong@
@the topmost place@|@khaung, khaung@
@the under part@|@auk@
@the water lily@|@kra@
@the youngest child@|@thwijh@
@they@|@thu-doh@
@thicken@|@phäung'@
@thicket@|@c'ijh@
@thickness@|@ãthug, mthug, stug@
@thin@|@khjap, pah, pax@
@thing@|@ära, ra@
@Thingyan@|@tha gyan pwe: daw@
@thirst@|@ngat, yei nga'@
@thirteen@|@hse'thoun@
@thirty@|@thoun seh@
@this@|@i, säw'@
@this afternoon@|@di nei. le@
@this evening@|@di nya. nei@
@this morning@|@di mane'@
@thorn@|@chuh@
@thou@|@khang, nan, nang, nang, nhang@
@thousand@|@ta htaun@
@thread@|@khjañ@
@threaten@|@khrimh, krimh@
@three@|@sumh, sumx, thoun, thòun@
@thrifty@|@san@
@throw into water@|@c'äuk@
@thursday@|@kya tha ba dei@
@tie together@|@phwaj', twajh@
@tiger@|@kjah, kla@
@time@|@a chein, kha, tunh@
@title prefixed to the name@|@hrang@
@to accept@|@kamh@
@to add@|@c'wak, hlauk@
@to adorn@|@khjaj, khraj@
@to advance@|@c'hanh@
@to aim@|@rwaj@
@to aim at@|@ran@
@to annul@|@pa'@
@to appear@|@khjangh, paw@
@to appoint@|@khan', khanng@
@to approach@|@c'hañh@
@to arrive@|@täung@
@to ask@|@chijh, mijh-mranh, mranh@
@to bake@|@phut@
@to be adjacent@|@c'ij'@
@to be ascetical@|@khräwh-khram@
@to be back@|@pyan yau@
@to be big@|@cah@
@to be broad@|@khjaung@
@to be burnt@|@tuh@
@to be incomplete@|@khjäw'@
@to be lazy@|@khäw@
@to be near@|@kap@
@to be out of the way@|@lwajh@
@to be pensile@|@rwajh@
@to be similar@|@lu@
@to be thirsty@|@mwat-sip@
@to be tired@|@c'häw'@
@to bear@|@kham, kham'@
@to bear fruits@|@sih@
@to become old@|@kja'@
@to bend@|@kwijh, nwat@
@to bend down@|@kunh@
@to bend round@|@kwij'@
@to bet@|@laungh@
@to bind@|@c'hak, chakx@
@to bite@|@hap@
@to bite and hold fast@|@khajh@
@to blaze@|@tauk@
@to block@|@khu'@
@to block the way@|@pangh@
@to blow@|@hmut, smut@
@to boil@|@kjäw, prut@
@to bore with a gimlet@|@lwan@
@to bow@|@kräw'@
@to brand@|@khat@
@to build@|@chauk@
@to bulge@|@pu@
@to burn a thing@|@laung@
@to burn with lust@|@taung@
@to call@|@khaw@
@to catch with claws@|@c'hit@
@to caw@|@a@
@to change@|@hlai, lajh, lajx, slajx@
@to chew@|@mrum', wah@
@to choke@|@nang@
@to chop@|@rwij@
@to clean@|@chij, chijh, phwap@
@to clear@|@thwang@
@to climb up@|@tak@
@to collect@|@c'han', rumh@
@to comb@|@phih@
@to come to an end@|@kun@
@to come to the end@|@c'humh@
@to commit@|@ap@
@to commit adultery@|@pwij@
@to compare@|@ca, täungh@
@to compensate@|@thij@
@to compress@|@sip@
@to conceal@|@kwaj, kwaj@
@to conquer@|@aung@
@to contend@|@khat@
@to contract@|@khjum'@
@to cook@|@khjak@
@to count@|@rij, twak@
@to cover@|@ämäwh, khrum, up@
@to crack open@|@ak@
@to cross over@|@kuh@
@to crush down@|@kjit, krit@
@to cry@|@ngaw, ngäw, sngäw@
@to cry aloud@|@krwijh@
@to curl@|@twan'-lip@
@to curse@|@dägam@
@to cut in parts@|@c'hac'@
@to dance@|@ka'@
@to dare@|@wam'@
@to darken@|@kjac, krat@
@to deceive@|@hlim', lim@
@to delay@|@kra, ngang@
@to descend@|@sak@
@to destroy@|@c'hangh@
@to develop@|@tha'@
@to dice@|@tauk@
@to die@|@s'ij, sij@
@to dilute@|@tun-tun@
@to dip up@|@khap@
@to distribute@|@wij@
@to distribute among all@|@hnga'@
@to divide@|@kah@
@to doze@|@hmijh@
@to drag@|@c'wat@
@to draw out@|@cäw'@
@to dream@|@mak@
@to drink@|@sauk, tang@
@to drop@|@c'ak, ngäuk@
@to drum@|@jwanh, rwamh@
@to dry up@|@kanh@
@to dust@|@äphu@
@to dye@|@c'häwh@
@to eat@|@cah@
@to emit a pleasant odor@|@sangh@
@to emit an offensive smell@|@c'aw@
@to enjoy one's self@|@kwan'@
@to entrust@|@hnam@
@to explain@|@hrangh-langh@
@to extend in a line@|@tanh@
@to faint@|@mwanh@
@to fall@|@kja'@
@to fawn@|@nwaj'@
@to fear@|@krauk@
@to feed@|@kjau?h, kjaungh, klungx@
@to feel@|@c'amh@
@to feel joy@|@mwij'@
@to feel pleasurable sensations@|@mruh@
@to fence@|@khat@
@to fight@|@täuk@
@to fill@|@phrañ', pling'@
@to fill up a hole@|@pha@
@to find supporters@|@c'uh@
@to fit@|@sang'@
@to fit into@|@cham'@
@to float down@|@mjawh@
@to fly@|@pjam@
@to fold@|@khauk, kukx@
@to follow@|@läuk@
@to forget@|@mij'@
@to give@|@hnangh, pijh, pijh, pijx@
@to give to drink@|@täuk@
@to gleam@|@thwanh@
@to glow@|@um@
@to go@|@ãgro, song@
@to go about monks@|@krwa'@
@to go beyond@|@kjuh@
@to go down@|@changh@
@to go downstream@|@cun@
@to go through@|@äkhlang@
@to govern@|@c'äwh@
@to grow cold@|@grangs@
@to guard@|@läkhu@
@to gulp down@|@krut@
@to hang@|@chwajh@
@to hang for drying@|@hlanh@
@to have a certain feeling@|@hläuk@
@to have ability@|@c'wam', c'wamh@
@to hear@|@krah, sna, sna@
@to hold@|@pwij'@
@to hurry@|@pja'@
@to immerse@|@hnac@
@to incline@|@hngaj'@
@to inhale@|@hru, hrup@
@to insert@|@c'äuk@
@to intercept@|@kan'@
@to invest@|@rangh@
@to itch@|@jah, jah-jam@
@to join@|@c'ap@
@to joke@|@khjaw@
@to kick@|@kan, kjauk, thek@
@to knead with the hands@|@naj@
@to kneel@|@tut@
@to knot@|@thumh@
@to know@|@sajx, si', tat@
@to know well@|@kjak@
@to laugh@|@raj@
@to lean@|@ngaj'@
@to learn@|@tauk, thauk@
@to leave@|@khjan@
@to lend@|@c'äuk@
@to lick@|@ljak, ljakx@
@to lie@|@lajh@
@to lift out of place@|@kaw@
@to lift up@|@thaung@
@to long for@|@ngamh@
@to loose weight@|@c'ac'@
@to love@|@khjac, khjat@
@to make@|@chang@
@to make a hole@|@thwangh@
@to make low@|@hnim'@
@to make mischief@|@laung@
@to make wide@|@khjaj'@
@to measure@|@khrang@
@to measure a distance@|@c'hunh@
@to meet@|@c'hum, ngrah@
@to mend@|@pha@
@to mix@|@c'ap@
@to mock@|@hlaung@
@to move@|@hrwij'@
@to name@|@hman@
@to nibble@|@twap@
@to occur@|@krum@
@to paddle@|@pauk@
@to palm@|@sap@
@to part forever@|@hrajh@
@to pass@|@hlwan, lwan@
@to pay a bill@|@hrangh@
@to peck@|@c'hwap, thuk@
@to perch@|@nax@
@to pervade@|@hnam'@
@to pierce@|@chux, chwa', cux, khja?h, khru@
@to pinch@|@hnap@
@to pine away@|@khjumh@
@to place in a position@|@tan'@
@to place one upon another@|@c'hang'@
@to play@|@käc'ah@
@to point out@|@hnwan@
@to pound@|@thaungh, thungx@
@to pour from one vessel@|@hlaj@
@to pour out@|@swan@
@to practice magic@|@manh@
@to prevent in any way@|@tah@
@to project@|@ngauk@
@to prop up@|@thauk@
@to protrude@|@ngu@
@to puff out@|@phrup@
@to pull@|@runh@
@to put@|@tax, thah@
@to put away@|@paj@
@to put in a row@|@c'ij@
@to put into the mouth@|@khwam'@
@to put on@|@c'wap@
@to put or place in@|@thañ'@
@to put to sleep@|@jip, s-jipx, sip@
@to put up a barrier@|@c'hih@
@to read aloud@|@am@
@to reap@|@rit@
@to rebel@|@pun@
@to recompense@|@rau@
@to regret the loss of@|@lwamh@
@to release@|@khjwat@
@to remove gradually@|@kaj'@
@to rent@|@hngah, sngax@
@to repay@|@c'hap@
@to reply@|@'tu, thuh@
@to resemble@|@läuk@
@to resent@|@cu@
@to rest@|@nah@
@to restrain@|@thinh@
@to rise slightly@|@ngut@
@to roast in embers@|@umh@
@to rot@|@rih@
@to run@|@plij, prijh@
@to run over@|@hljam@
@to run with great speed@|@cö, kjäwx@
@to rust@|@c'ah@
@to scald@|@phrawh@
@to scatter@|@chamh, krajh@
@to scratch@|@khrac, khrit, khritx@
@to scratch oneself@|@phjauk@
@to see@|@mrang@
@to send@|@c'ij@
@to set@|@caungh@
@to set afloat@|@hmjawh@
@to settle@|@nij@
@to sew@|@khjup, khlupx, klupx@
@to shove@|@twanh@
@to shuffle@|@phan@
@to sing@|@kah@
@to sink into@|@nac@
@to sit@|@thäung@
@to sit comfortably@|@c'waj'@
@to sleep@|@ip@
@to slip@|@khjaw@
@to smell@|@namh@
@to sneeze@|@khjij@
@to soften@|@hnuh, nux@
@to sound@|@mran?@
@to speak@|@hu@
@to spit@|@thwijh@
@to spring in clusters@|@rum@
@to sprinkle@|@phranh@
@to squeeze@|@hnac@
@to stand@|@rap, rjapx@
@to stay@|@kjan@
@to steal@|@khäwh, khäwx@
@to steep@|@c'im@
@to stink@|@nam, namx, snamx@
@to stir up@|@hnauk@
@to stop@|@c'ajh, tam', tan', tan'h@
@to stop abruptly@|@tum'@
@to strain@|@c'ac', c'ak, cak@
@to strangle@|@ac'@
@to stretch@|@hlamh, lam, lamh@
@to stretch out straight@|@chan'@
@to strike@|@khja'@
@to strike right and left@|@jamh@
@to strike with the edge@|@khut@
@to stroke@|@sumh@
@to stuff@|@phäw'@
@to suffer@|@kranh@
@to suit@|@ljaw@
@to surround@|@ram, ram@
@to swallow@|@mjäw, mljäw@
@to swallow liquid@|@kjäuk@
@to swarm as ants@|@rwa'@
@to swell@|@c'u, phaungh, phaw, phuh, pum'@
@to swim out@|@phaw'@
@to take an oath@|@kjin@
@to take care of@|@thinh@
@to take out@|@khuh, thut@
@to taste@|@mranh@
@to teach@|@sang@
@to tear@|@phrajh@
@to think abou@|@c'auh@
@to throw@|@hlwang'@
@to thrust at@|@thäwh@
@to thrust through@|@hljäw@
@to tickle@|@käli'@
@to touch@|@täw'@
@to transport@|@täuk@
@to tread@|@hlamh@
@to tremble@|@tun@
@to turn around@|@hlañ', lañ@
@to twirl about@|@hmwij'@
@to twist@|@lip, lwan@
@to untie@|@phrij@
@to vomit@|@an, an, au'@
@to walk by foot@|@hljauk@
@to wander@|@lij@
@to wash@|@khjäwh, khjäwh, khuiw, sac@
@to wash clothes@|@hljaw@
@to wash slightly@|@kjangh@
@to wave hand@|@jap@
@to weave@|@äthag, btag, btags, rak, thog@
@to weigh@|@khjang', khjin@
@to whet@|@swajh@
@to whet a knife@|@kjangh@
@to win a game@|@kjaj@
@to winnow@|@hlij'@
@to wipe@|@sut@
@to wish@|@rwa'@
@to work hard@|@kunh@
@to worry@|@cäwh, kraung'-kra'@
@to wound by a slight@|@hra', wra'@
@to wrap up@|@thup@
@to wrinkle@|@twan'-lim@
@to write@|@rijh@
@toast@|@kang@
@today is a beautiful day@|@di nei. tha ya de@
@together@|@c'u'@
@toilet@|@ein tha@
@tomorrow@|@ne'hpan@
@tongue@|@hlja, s-lja@
@tonight@|@dinei. nya.@
@too large to pass through@|@tac@
@tooth@|@swah, swax@
@top@|@tak, thak@
@torn@|@c'ut@
@touch@|@hmi@
@tough@|@rwat@
@town@|@mräw', mruiw', myo@
@train@|@mi: ya hta:@
@travel@|@kha yi:@
@tree@|@äpang, sac, singx@
@troops@|@tap@
@tropic fever@|@nganh@
@tube@|@plwan, praungh, prwaj, prwan@
@tube closed at one side@|@kjan, klan@
@tuesday@|@inga@
@tumulus@|@pum@
@turn around@|@hlan, lan@
@turn round@|@wajh@
@turtle@|@lip@
@tusk@|@äc'waj@
@twelve@|@seh'hni@
@twenty@|@hna'seh@
@two@|@hnac, hnac, hni', hniq, nikx, nix@
@two front teeth of a horse@|@khaung, khaung@
@tyre@|@bein:@
@umbrella@|@hti:@
@uncle@|@'uh-maungh@
@uncovered@|@praung@
@ungelded@|@lah@
@unite@|@hap@
@unoccupied space beyond houses@|@lwang@
@until@|@a hti@
@upstairs@|@a paw da'@
@urine@|@c'hih@
@use loud violent language@|@ngauk@
@vagina@|@cauk-pat@
@valley@|@khjauk, khlok@
@vehicle@|@hlanh@
@vein@|@kraw, krawx@
@venerable@|@ashin@
@Venus@|@sauk-kra@
@verbal negative@|@ma'@
@vermilion@|@chunh@
@vertical@|@phraung'@
@very@|@a lun, sip, taj@
@very thin@|@hljap@
@very well; thanks@|@nei kaun: ba de@
@village@|@r-wa, rwa, ywa@
@voice@|@äsam@
@vomit@|@phat, phatx@
@voracious eating@|@äthut@
@vulture@|@langh-ta'@
@vulva@|@c'auk, pytx@
@wait@|@saun.@
@walk in sleep@|@hmang-ca-sang@
@want@|@khjäuk, khräuk@
@warm@|@nwijh@
@warm one's self by a fire@|@hlum@
@warp@|@ätäung@
@wash@|@chijx@
@water@|@rij, rij, ti, ye, yei@
@wave@|@hläungh@
@way to the...market?@|@na me thi. ba ya zei@
@we@|@nga-doh, nga-täu'@
@weak eyesight@|@hmun@
@wear earrings@|@pan@
@weary@|@panh@
@wedge@|@sap@
@wednesday@|@bou'da hu:@
@weed@|@paungh@
@weight@|@lcid, ljid@
@welcome@|@kyo zo@
@west@|@a nau'@
@wet@|@c'äw; c'wat, c'hwat@
@what@|@cung@
@what is your nationality@|@ba lu myo: le:@
@what misfortune!@|@dou'kha. be:@
@what time is it@|@be acein shi da la:, be hna nayi shi. be le:@
@what?@|@ba le:@
@when@|@be daw, be daw. le, bedaw@
@where@|@be@
@where are you staying@|@be hma nei le:@
@where is@|@be hma@
@where is my room?@|@kyaw ma a khan be ma le@
@where is the bar?@|@a yit sein ba ma le@
@where is the...@|@beh ma leh@
@which@|@äti, be ha le:@
@which do you like@|@bedin: kyai' tha le@
@which is better@|@bedin: ga. po kaun: le@
@which?@|@ba@
@whirlpool@|@wajh@
@white@|@phru, phyu@
@white spot on the forehead@|@kra@
@who@|@äsu, kha-, su@
@who?@|@ba thu le:, be thu@
@why@|@ba gyaun, ba phyi' lo le@
@wicked demon living in mount@|@phut@
@wife@|@mäjah, maya, minh-ma@
@wild yam@|@kjwijh@
@will you come with me@|@a tu lai'khe. ba le@
@wind@|@khwij, lij@
@wind around@|@pat@
@wish@|@läw@
@with@|@a tu, ne@
@within@|@änak@
@wolf@|@wan@
@woman@|@ä-ma'@
@womb@|@c'hang-'im, hnut@
@wooden fireplace@|@mih-rap-paungh@
@worm@|@jing@
@wriggle@|@twah@
@wristwatch@|@le' pa' nayi@
@write@|@yei:@
@year@|@hnac@
@yes@|@hode, hou' ke ; in:, hou'ké@
@yes (female; polite)@|@hou' ke. shin@
@yes (male; polite)@|@hou' ke. khin bya.@
@yes and no@|@hou' ke ne. ma hou@
@yes; i like it@|@hou' ke. kyai' pade@
@yes; i understand@|@na: le ba de@
@yesterday@|@manei-ga@
@you@|@eshin, khin bya, kwaj, min, nin, shin@
@you all@|@nin-doh@
@you are welcome@|@kyo zo ba de@
@young man and woman@|@ko; ma@
@young novice@|@koyin, shin@
@young shoots@|@käuk@
@zero@|@thoun nya@
@zone@|@wäuk@

