@Indonesian@|@English@
@jml air yg dipindahkan oleh benda yg terapung@|@displacement@
@jml anggota@|@membership@
@jml barang seje-@|@cluster@
@jml bsr@|@multitude, multiplicity, regiment, mass, host, bulk@
@jml bsr  hewan yg digiring@|@drove@
@jml cukup@|@plenty@
@jml kecil yg ditambahkan spy hangat timbangannya@|@makeweight@
@jml kelebihan suara dlm pemi-@|@majority@
@jml org yg hadir@|@attendance, turn-out@
@jml penonton yg membayar@|@gate@
@jml sangat kecil@|@tincture@
@jml sesuatu yg muncul/dihasilkan bersama@|@crop@
@jml tabungan@|@credit@
@jml tdk terlalu bsr@|@modicum@
@jml telur yg ditetaskan@|@clutch@
@jml ternak@|@herd@
@jml uang taruhan yg dikumpulkan@|@pool@
@jml uang yg bsr@|@fortune@
@jml usaha yg dilakukan@|@turn-over@
@jml yg berlebihan@|@superfluity@
@jml yg bnyk@|@profusion@
@jml yg cukup@|@sufficiency@
@jml yg dikirimkan@|@remittance@
@jml yg diterima@|@intake@
@jml yg kecil@|@paucity, handful@
@jml yg sangat kecil@|@jot, crumb@
@jml yg tdk terhitung@|@myriad@
@jml yg terbuang@|@wastage@
@jml/tingkatan normal@|@par@
@jodoh@|@mate/partner/spouse; match/mate (socks,etc); men-i, paired off@
@joget@|@dance@
@jok@|@seat (of car, bajaj, etc.); car upholstery; - kursi, upholstery@
@joki@|@jockey@
@joli2@|@yawl@
@jollity:kead gembira@|@jolly@
@jompo@|@(Jv) old, decrepit, infirm; rumah orang -, old folks home@
@jongkok@|@squat@
@jongos@|@footman, bearer@
@jongos@|@boy, servant@
@joran@|@fishing rod; secara jor-joran, @
@jorok@|@sordid, slipshod@
@jorok@|@dirty, untidy@
@jua@|@only, merely@
@jual@|@sell; sale@
@jual macam2 biasanya utk amal@|@jumble-sale@
@jualan@|@merchandise@
@juang@|@ber-, fight/struggle (for noble cause); memper-kan, struggle for s.t.; per-an, (n)@
@juara@|@champion@
@jubah@|@gown, robe@
@jubah@|@long flowing robe (rel.)@
@jubah panjang dgn penutup kepala@|@cowl@
@jubah panjang pendeta@|@cope@
@jubah pendeta@|@frock@
@jubah pendeta di gereja@|@vestment@
@jubah putih/Pastur@|@surplice@
@Judas@|@Jude@
@judes@|@judas; cruel, vicious (esp. in speech); harsh & rude, unmannered@
@judi dgn roda putar & dadu@|@roullette@
@judul@|@head@
@judul@|@title (gelar); caption; credits; heading (rubrik)@
@juga@|@likewise@
@juga@|@also; too@
@jujur@|@guileless, upright, reliable, ingenuous, devout, bonafide, square, open-hearted, frank, forthright, truthful, fair, faithful, sincere, straight, straight forward, hollow, heartfelt, hearty, downright@
@jujur@|@above-board, honest@
@jujur@|@honest, fair (tangguh); ke-an, honesty, integrity; @
@jukkan hu dgn kata2 lain dlm suatu kalimat@|@inflect@
@jukkan keunggulan/keistimewaan@|@distinguish@
@julang@|@men-, soar, tower; carry on shoulder; hold in high esteem@
@Juli@|@July@
@juling@|@squint, cross-eyed, cast@
@juluk@|@named, called; men-i, dub, nickname (v); -an, (n) nickname@
@julukan@|@nickname, epithet@
@Jumat@|@Friday@
@Jumat sebelum Paskah@|@Good Friday@
@jumbai@|@tassel, frill@
@jumlah@|@quantity, amount, sum@
@jumlah@|@sum, amount, total@
@jumpa@|@meet; ber-, meet, run/bump into; men-i, meet/encounter/find; go to meet@
@jungkat-jungkit@|@pitch@
@Juni@|@June@
@junjung@|@men-, respect, hold in high esteem; carry s.t. on head or shoulders@
@junketing:pesta makan2@|@junket@
@juntrung@|@organized, orderly; men-kan, organize, arrange, put in order; -an, organization, unit; purpose, aim@
@jurang@|@precipice, valley, chasm, brink@
@jurang@|@ravine, gorge, chasm; - yg dalam, deep -@
@jurang curam@|@canyon@
@jurang pemisah@|@gulf@
@jurang sempit@|@gully@
@jurang sempit dalam@|@ravine@
@jurang/celah sempit di antara gunung2@|@gorge@
@juri@|@jury, juror@
@juru@|@skilled worker@
@juru api KA@|@fireman@
@juru bicara@|@mouthpiece@
@juru mudi pertama@|@first mate@
@juru ramal@|@fortune-teller@
@juru rawat yg membalut luka@|@dresser@
@juru sita@|@bailiff@
@juru tulis@|@clerk@
@juru ukur@|@surveyor@
@jurumudi kapal@|@quartermaster@
@jururawat@|@nurse@
@jurus@|@men-, point/lead/go in certain direction; -an, direction; field/division@
@jurus-@|@line@
@justru@|@exact, precise (cocok, tepat)@
@jutawan@|@magnate@
@jutawan@|@millionaire@
@juwawut@|@milet@
@ka@|@scout@
@KA@|@coach@
@ka-@|@tough, rugged, blunt@
@KA bawah tanah@|@tube@
@ka margasatwa@|@preserve@
@ka/terpandang@|@cream@
@kabar@|@tidings, intelligence@
@kabar@|@news, report@
@kabar angin@|@rumour, hearsay@
@kabel listrik@|@trolley@
@kabin pesawat/kapal@|@cabin@
@kabinet@|@cabinet, ministry@
@kabisat@|@leap@
@kabul@|@answered, granted (wish, prayer)@
@kabur@|@vague, fuzzy, obscure, opaque, nebulous, dull, dim, blear eyed, dreamy, clear out@
@kabur@|@run off, take off suddenly without notice; hazy (view); clouded (vision)@
@kabut@|@mist, fog, mist@
@kabut@|@mist/haze/fog; ber-, misty/..@
@kabut tipis@|@haze@
@kaca@|@looking-glass@
@kaca@|@glass@
@kaca dpn mobil@|@windscreen@
@kaca jendela@|@pane@
@kaca mata bertangkai panjang@|@lorgnette@
@kaca mata selam@|@goggles@
@kaca yg dibuat kabur@|@frosted glass@
@kacamata utk 1 mata@|@monocle@
@kacang@|@nut, pod@
@kacang@|@bean@
@kacang@|@nut, bean@
@kacang cina@|@groundnut@
@kacang kapri/polong@|@pea@
@kacang kedelai@|@soya bean@
@kacang tanah@|@peanut, groundnut, monkeynut, groundnut@
@kacang/biji semacam pohon perdu (badam)@|@almond@
@kacang2an@|@lentil, bean@
@kacang2an (kapri@|@pod@
@kacau@|@awry, perplex, muddle, tumultuous, promiscuous, perplexed@
@kacau@|@chaotic@
@kacau@|@in disorder/confusion/disarray (mind/sit.); peng-, agitator/trouble maker@
@kacau balau@|@chaotic, chaotic@
@kacau-balau@|@upside-down, topsy-turvy, pell-mell@
@kacoak, kecoak@|@cockroach@
@kacung@|@lackey, lacquey, errand boy, bearer@
@kacung berseragam@|@flunkey@
@kacung yg mengurus pakaian majikan@|@valet@
@kadal@|@lizard@
@kadal air@|@newt@
@kadang@|@-, -2, sometimes; - kala, ter-, occasionally;@
@kadang2@|@occational, off & on, once in a away, from time to time, stray@
@kadang2 sekali@|@occationally@
@kadar@|@rate@
@kadar@|@capacity/degree/content/level/standard/value/quality; fate; se-nya, simply; to the best of o's ability@
@kado@|@gift@
@kado@|@gift, present@
@kafir@|@infidel, heathen@
@kaget@|@startled/shocked; meng-, do suddenly; ke-an, state of shock@
@kagum@|@wonder@
@kagum@|@meng-i, admire, be amazed by@
@kai@|@assume@
@kaidah@|@norm, rule; principle; theorem@
@kaiin penyangga tangan patah@|@sling@
@kail@|@hook, hook@
@kain@|@drapery, cloth@
@kain@|@cloth, material@
@kain beledu/beludru@|@velvet@
@kain bersulam utk hiasan dinding@|@tapestry@
@kain brokat/berhiasan timbul@|@brocade@
@kain cadar dr bulu itik liar@|@eider-down@
@kain dr wol halus@|@cashmere@
@kain dril@|@drill@
@kain flanel@|@flannelette@
@kain goni@|@sackcloth, sacking@
@kain halus@|@gossamer@
@kain halus semacam beledu@|@plush@
@kain ikat kepala@|@kerchief@
@kain kafan@|@winding-sheet, shroud@
@kain kasa@|@gauze@
@kain kasar kuat@|@hessian@
@kain katun halus@|@muslin@
@kain korden berbunga2@|@cretonne@
@kain krep@|@crape@
@kain lap@|@flannel, tea cloth@
@kain layar/terpal@|@canvas@
@kain linen@|@linen@
@kain linen yg halus@|@lawn@
@kain pel@|@swab, mop@
@kain pembalut@|@lint@
@kain pembalut betis@|@puttee@
@kain penutup pundak Paus@|@pallium@
@kain renda@|@open-work@
@kain seprei@|@sheeting@
@kain spt sutera buatan@|@rayon@
@kain sutera halus & tipis@|@chiffon@
@kain sutera yg agak kaku@|@taffeta@
@kain sutera/linen dgn bunga yg kelihatan jika kena@|@damask@
@kain sutera/wol dgn grs2 timbul gilap utk gaun@|@poplin@
@kain tebal dr wol kasar utk alas@|@baize@
@kain tebal dr wol/bulu halus@|@felt@
@kain tebal penutup jenazah@|@pall@
@kain tebal wol dipakai di bahu org dat tinggi -@|@plaid@
@kain tebal/kasar/kuat/bergrs timbul@|@corduroy@
@kain terpal@|@tarpaulin@
@kain tf tdr dr sambungan pot kain kecil@|@patchwork@
@kain tipis halus@|@cambric@
@kain tua/rombeng@|@rag@
@kain voal/tipis utk gaun@|@voile@
@kain wol bergaris dr Skotlandia@|@tartan@
@kain wol dr pilihan-@|@worsted@
@kain wol lembut & halus@|@flannel@
@kain wol tebal@|@tweed@
@kain wol yg sangat kuat@|@serge@
@kain yg jarang tenunannya@|@cellular@
@kain yg tahan air@|@oilskin@
@kain yg tebal@|@drill@
@kain/bahan utk melapisi@|@lining@
@kain/kulit penutup kaki (dr lulut sd pergelangan)@|@gaiter@
@kait@|@gaff, hook@
@kait@|@hook/barb; catch/exception; ber-an dgn, ter- dgn, link to e.o.; related to; -an, hook, link, relation@
@kaitan@|@touch@
@kaji@|@lesson, instruction; to teach; to study, examine, go over thoroughly@
@kaji@|@knowledge; teaching; inspect; examine; investigate@
@kakak@|@older sibling or cousing; term of address of reference (esp as kak) for a a person somewhat older than the somewhat older than the speaker@
@kakak beradik (laki2)@|@brethren@
@kakek@|@grandfather@
@kaki@|@post@
@kaki@|@foot, leg@
@kaki bebek@|@splay@
@kaki blk@|@rear@
@kaki dpn hewan sbg daging@|@shoulder@
@kaki hewan@|@paw@
@kaki langit@|@skyline@
@kaki lima@|@street cart vender@
@kaki pengkor@|@bandy@
@kaki seribu@|@centipede@
@kaki tangan@|@confederate@
@kakin satin/sutera yg menkilat@|@satin@
@kaku@|@unwieldy, gawky, hulking, numb, awkward, clumsy, rigid, starch, stark, stiff, inert@
@kaku@|@stiff/rigid; clumsy/awkward; meng-kan, stiffen@
@kaku & berat@|@stump@
@kaku & dibuat2@|@stilted@
@kakus@|@latrine, earth closet@
@kakus@|@toilet@
@kala@|@epoch@
@kala@|@time/era/period/age; ber-, periodic(ally); ber-2, occasionally, from time to -@
@kalah@|@succumb@
@kalah@|@-, meng-kan, defeated, lose@
@kalah habis2an & lari tunggang langgang@|@rout@
@kalam@|@pen made from a leaf rib; writing instrument; word, saying@
@kalang@|@ber-, supporting structure, be supported@
@kalang kabut@|@chaotic@
@kalangan@|@circle@
@kalangan@|@circle; arena; realm@
@kalap@|@possessed by evil spirit; beside self w/ anger; ke-an, confusion/bewilderment@
@kalau@|@if@
@kalau dmkn halnya@|@circumstance@
@kalau tdk@|@otherwise@
@kalau2@|@lest@
@kaldu@|@broth, stock@
@kalem@|@calm/cool/patient/relaxed; - dulu! Jangan gugup! Be calm! Don't worry!@
@kaleng@|@can, tin@
@kaleng@|@tin can; ikan -, canned fish@
@kaleng bsr utk mengangkut susu@|@churn@
@kali@|@time, times; (Jkt.) probably; river@
@kali@|@river@
@kalian@|@plural you to equals or below; se-, all; @@ the same time@
@kaliber senapan@|@calibre@
@kalimat@|@sentence@
@kalimat klise@|@stereotyped@
@kalimat sisip@|@parenthesis@
@kalkun@|@turkey@
@kalung@|@necklace@
@kamar@|@chamber@
@kamar@|@chamber, room@
@kamar@|@room@
@kamar anak@|@nursery@
@kamar bawah tanah (gereja) utk kuburan@|@crypt@
@kamar bawah tanah utk menyim@|@vault@
@kamar belajar@|@den@
@kamar di tingkat atas/atap@|@garret@
@kamar di univ yg disediakan utk siswa/dosen@|@common-room@
@kamar duduk@|@parlour@
@kamar kecil menuju ke kamar yg lebih bsr@|@anteroom@
@kamar mayat@|@mortuary@
@kamar periksa dokter@|@surgery@
@kamar rias wanita@|@boudoir@
@kamar tamu/duduk@|@drawing-room@
@kamar tidur@|@chamber@
@kamar tidur mewah di kapal@|@stateroom@
@kamar utk cuci piring@|@scullery@
@kamar utk menyimpan jubah pendeta@|@vestry@
@kamar/ruang sembayang@|@oratory@
@kamar-makan@|@dining-room@
@kambing@|@goat@
@kambing dr Peru@|@alpaca@
@kambing gunung@|@chamois@
@kambing hitam@|@scapegoat@
@kambuh@|@relapse@
@kami@|@us, we@
@kami@|@we; us; our@
@Kamis@|@Thursday@
@kampanye@|@campaign@
@kamper@|@mothballs@
@kampung@|@village@
@kampung@|@village (desa)@
@kampung org Yahudi@|@ghetto@
@kampung yg dipagari(di Afrika)@|@kraal@
@kampungan@|@blatant@
@kamu@|@thou@
@kamu@|@you, yours@
@kamus@|@lexicon@
@kamus@|@dictionary@
@kamus ilmu bumi@|@gezetteer@
@kan@|@pitcher, observe, arrange, disclose, dispatch, suppose, pass, fix, tip, stir, revolt, renounce, recommend, rally, heap, forward, dissolve, crown, carry, board@
@kan@|@..,right?..,isn't it? ..,kan?; because as you well know (Jangan keluar. Kan gelap.)@
@kan@|@short for akan; tak -, not likely to@
@kan (perasaan)@|@register@
@kan adat/hukum@|@licence@
@kan dr pikiran@|@banish@
@kan kead suram di masa dpn@|@croak@
@kan kebanggaan/kepuasan pd diri sendiri@|@preen@
@kan kulit@|@tan@
@kan milik gereja@|@establish@
@kan pemecahannya@|@shelve@
@kan pendpt@|@reconcile@
@kan perasaan curiga@|@compromise@
@kan utk sementara wkt tanpa pengawasan@|@parole@
@kan(bendera/kemah/layar)@|@strike@
@kan/mendirikan@|@promote@
@kan+mengkhawatirkan@|@dreadful@
@kanak@|@anak; child; -2, childish@
@kanan@|@hamper, screw@
@kanan@|@right@
@kancing@|@fastener, fastening@
@kancing@|@button (- baju); meng-(kan), button s.t.; lock/latch s.t.; peng-, fastener/catch/lock@
@kancing baju@|@button@
@kancing kerah kemeja@|@stud@
@kancing pergelangan baju@|@cuff-links, sleeve-links@
@kandang@|@shed, run, pound, pen@
@kandang@|@cage (for animals)@
@kandang anjing@|@kennel@
@kandang ayam@|@coop@
@kandang babi@|@sty, pigsty@
@kandang biri2@|@fold@
@kandang kelinci@|@hutch@
@kandang kuda@|@stable@
@kandang sapi@|@byre@
@kandang ternak@|@corral, stockyard@
@kandang/tempat penyewaan kuda@|@livery stable@
@kandas@|@strand@
@kandung@|@womb, uterus (ber-, meng-, be pregnant; have within it, contain); -an, contents@
@kandung kencing@|@bladder@
@kangguru@|@kangaroo@
@kangguru kecil@|@wallaby@
@kanji@|@size, starch@
@kanjing@|@clasp@
@kano@|@canoe@
@kantin@|@canteen; us; attached to a workplace@
@kantin/warung kue di sekolah@|@tuck-shop@
@kantong@|@pocket; bag; pouch@
@kantong karet dlm bola@|@bladder@
@kantor@|@agency, office, bureau@
@kantor@|@office@
@kantor bea cukai@|@custom@
@kantor2@|@dockyard@
@kantuk@|@sleepiness; drowsiness@
@kantung@|@(kantong) pocket; bag, pouch; meng-i/kan, pocket s.t.@
@kantung dada@|@breast pocket@
@kantung kecil@|@pouch@
@kantung kecil yg diberi wangi2an@|@sachet@
@kaos@|@t-shirt@
@kaos, kaus@|@T-shirt; - kaki, socks@
@kap@|@indifferent@
@kap lampuu@|@shade@
@kap me-@|@bonnet@
@kapak@|@axe, chopper@
@kapak dgn 2 ujung runcing@|@pick axe@
@kapak kecil@|@hatchet@
@kapak kecil org Indian@|@tomahawk@
@kapal@|@vessel, craft@
@kapal@|@boat, ship@
@kapal (layar dgn 3/4 tiang)@|@bark barque@
@kapal api@|@steamer@
@kapal barang@|@freighter@
@kapal barang yg tdk mengadakan perjlnan tetap@|@tramp@
@kapal bertiang layar tunggal (Arab)@|@dhow@
@kapal dagang@|@merchantman@
@kapal kecil yg help kapal bsr menurunkan penumpang@|@tender@
@kapal keruk@|@dredger@
@kapal laksamana@|@flagship@
@kapal layar@|@lugger@
@kapal layar (duluu utk dagang teh)@|@clipper@
@kapal layar Cina@|@junk@
@kapal layar Spanyol abad 15-17@|@galleon@
@kapal memuat batubara@|@collier@
@kapal mewah utk pesiar@|@yatch@
@kapal pemasang ranjau@|@minelayer@
@kapal pengangkut tentara@|@troopship@
@kapal pengawal cepat@|@frigate@
@kapal penjelajah/perang@|@cruiser@
@kapal penumpang yg dijlnkan dgn uap/bensin/listrik@|@launch@
@kapal penunda@|@tug@
@kapal penyapu ranjau@|@minesweeper@
@kapal perang@|@gunboat, man-o'-war@
@kapal perang kecil utk melawan kapal selam@|@sloop@
@kapal perang Romawi/Yunani kuno@|@galley@
@kapal perang swasta yg boleh utk perang@|@privateer@
@kapal perbekalan@|@tender@
@kapal ringan utk lomba@|@yatch@
@kapal selam Jerman@|@U-boat@
@kapal suar@|@lightship@
@kapal tanker@|@tanker@
@kapal terbang pengangkut org scr teratur@|@airliner@
@kapal tua utk penjara@|@hulk@
@kapal uap yg beroda@|@paddle-steamer@
@kapal)@|@sextant@
@kapal/org penangkap ikan paus@|@whaler@
@kapal/pesawat milik suatu prshn@|@liner@
@kapalan@|@callous, horny@
@kapan@|@when@
@kapan baru@|@refit@
@kapas@|@cotton@
@kapasitas@|@capacity @
@kapasitas kapal/armada negara (ton)@|@tonnage@
@kapiler@|@capillary@
@kapling tanah@|@lot@
@kapok@|@learn o's lesson, be cured, 'tried once not want to do again; meng-kan, teach s.o. a lesson@
@kapri@|@snow peas@
@kapsul antariksa@|@capsule@
@kapten (kapal dagang)@|@skipper@
@kapuk@|@kapok@
@kapur@|@lime, chalk@
@kapur@|@chalk@
@kapur barus@|@camphor@
@kapur berwarna@|@pastel@
@kapur mentah@|@quicklime@
@kapur sirih@|@whiting@
@karam@|@wreck, founder, go down, rock, sink@
@karan@|@chord@
@karang@|@shelf@
@karang@|@coral; meng-, composing, writing; -an, arrangement, composition@
@karang ... mengarang@|@compose@
@karangan@|@writing, figment, composition@
@karangan bunga@|@bouquet@
@karangan bunga bundar@|@wreath@
@karangan bunga dipakai di kepala@|@chaplet@
@karangan pendek membahas sesuatu@|@essay@
@karangan sindiran@|@satire, satire@
@karangan/sandirawa pendek lucu@|@skit@
@karat@|@carat, rust@
@karat(an)@|@rust(y)@
@karbol pembersih@|@carbolic acid@
@karcis@|@bill, ticket, note@
@karcis@|@ticket@
@karcis langganan@|@season-ticket@
@karcis pulang-pergi@|@return ticket@
@kardus@|@cardboard@
@kardus@|@cardboard box@
@kare@|@curry@
@karena@|@through@
@karena@|@because (of); reason, cause@
@karesidenan@|@residency@
@karet@|@rubber@
@karet@|@rubber; elastic@
@karet penghapus@|@india rubber@
@karib@|@intimate, chummy@
@karib@|@close intimate friend (kawan/sahabat -); ber-, close to @
@karnivora@|@carnivorous@
@karsa@|@wish, intention; pra-, initiative, idea@
@karton@|@pasteboard, board@
@kartu@|@card@
@kartu-@|@tag@
@kartu selebaran yg berlipat@|@folder@
@kartu yg dibagikan@|@hand@
@karuhun@|@ancestor@
@karung@|@sack@
@karung@|@bag, sack@
@karung pasir utk pertahanan@|@sandbag@
@karunia@|@gift, grant from above; meng-i, favour, reward s.o.@
@karya@|@work, opus; - Shakespeare; ber-, to do work; mengk-kan, assign s.o. to; @
@karya musik pendek dinyanyikan oleh penyanyi+padu-@|@cantata@
@karya seni@|@artistry@
@karya seni jarang yg mahal@|@curio@
@karya seorg ahli@|@handiwork@
@karyawan@|@white collar worker, official employee fu@
@karyawati@|@female worker@
@kasa@|@screen@
@kasar@|@gruff, abrupt, gimcrack, rigorous, uncouth, vitriolic, insolent, harsh, gross, ill-bred, coarse, boisterous, sharp, rugged, rude, raw, ragged, low, indelicate, foul, crude, common@
@kasar@|@coarse/rough/rugged/crude/uncouth@
@kasar & canggung@|@clown@
@kasar & ribut@|@vulgar, knock about, rowdy@
@kasar (bicara@|@brusque@
@kasar tapi jujur & baik hati@|@bluff@
@kasatmata@|@in plain view@
@kasau@|@rafter@
@kasbon@|@cash receipt@
@kasi, kasih@|
@kasih@|@love@
@kasih@|@love, affection;@
@kasih sayang@|@valentine, affection@
@kasih sayang yg mendlm@|@devotion@
@kasihan@|@pity on@
@kasihan (name).  (Poor -)@|
@kassa@|@cashier@
@kasta@|@caste@
@kasta paria@|@pariah@
@kasur@|@bedding@
@kasur yg diisi jerami@|@pallet@
@kasus@|@case (legal, medical, grammatical)@
@kasus dulu utk membenarkan kasus mendatang@|@preseden@
@kasus ke-3@|@dative@
@kat@|@establish, do up, contract@
@kat2@|@mess about@
@kata@|@stem, literal@
@kata@|@-, -2, per-an, word(s); -kan, tell; meng-kan, say (bilang)@
@kata benda@|@noun@
@kata benda nama diri@|@proper noun@
@kata bil bertingkat:pertama@|@ordinal@
@kata demi kata@|@verbatim, verbal@
@kata depan@|@preposition@
@kata dlm pidato/karangan yg menarik perhatian@|@catchword@
@kata ejekan utk penganut agama Katolik@|@papist@
@kata ganti@|@pronoun@
@kata kerja@|@verb@
@kata kerja asal@|@infinitive@
@kata kerja bentuk lampau@|@weak verb@
@kata kerja sesudah 'it'@|@impersonal@
@kata keterangan@|@adverb@
@kata kiasan@|@figure of speech@
@kata kuno yg tdk dipakai lagi@|@aschaism@
@kata pelembut@|@euphemism@
@kata pengantar@|@preface, foreword@
@kata pengantar/pembuka@|@prolog@
@kata pengenal@|@watchword@
@kata penghubung@|@conjunction@
@kata pokok@|@headword@
@kata rahasia sbg pengenal diri/anggota@|@countersign@
@kata sandang tak tentu@|@indefinite article@
@kata sandang/dpn/sambung@|@particle@
@kata seru@|@interjection@
@kata seru tidak puas@|@humph@
@kata sifat@|@adjective@
@kata sifat yg hanya dipakai pd predikat (asleep@|@predicative adjectiv@
@kata umpatan/penghinaan pd Tuhan@|@blasphemy@
@kata yg menunjukkan bhw pemain lain hrs beraksi@|@cue@
@kata yg tdr dr 1 suku kata@|@monosyllable@
@kata yg tdr dr 3/lebih suku kata@|@polysyllable@
@kata/bunyi/huruf yg diulang2 pd suatu karangan@|@alliteration@
@kata/tanda yg menunjukkan angka@|@numeral@
@kata2@|@term@
@kata2 buruk@|@oath@
@kata2 manis spt madu@|@honeyed, honied@
@kata2 pujian pd Tuhan@|@doxology@
@kata2 yg disusun dgn huruf2 yg sama:otak & kota@|@anagram@
@katak@|@toad@
@katak@|@frog, toad@
@katakan lagi@|@beg your pardon@
@katamakan@|@voracity@
@katarak@|@cataract@
@katkan di tiang layar utk membongkar muatan@|@boom@
@katrol@|@pulley, block & tackle@
@katub@|@valve@
@katub jantung@|@valve@
@katulistiwa@|@line@
@katung@|@sea turtle; ter-2, float; drift, be uncertain, hover@
@katup@|@valve@
@katup air@|@sluice@
@kau bubuk yg dicium2@|@snuff@
@kaum@|@clan@
@kaum@|@soc., pol. or econ. group (e.g.kaum atasan) (kelompok)@
@kaum-@|@aristocracy@
@kaum awam@|@laity@
@kaum bangsawan@|@nobility@
@kaum cendekiawan/terpelajar@|@intelligentsia@
@kaum laki2@|@menfolk@
@kaum Nasrani@|@Christendom@
@kaum pekerja@|@proletariat@
@kaum telanjang (merasa menyehatkan badan)@|@nudist@
@kaum wanita@|@fair sex@
@kaum/angkatan muda@|@rising@
@kaum/gelar/buku daftar bangsawan@|@peerage@
@kaus@|@sock@
@kaus kaki@|@heel@
@kaus kaki panjang wanita dr nilon@|@hose@
@kavaleri@|@cavalry, horse@
@kawah@|@crater@
@kawah (krn bom)@|@crater@
@kawak@|@old ; -an, experienced, veteran@
@kawan@|@friend@
@kawan@|@close friend/comrade/companion@
@kawan yg menyenangkan@|@boon companion@
@kawanan@|@swarm, pack, herd, cluster@
@kawanan/kumpulan (ikan)@|@school@
@kawas@|@ber-, meng-i, border on; -an, region/area/sphere; se-an, of the same region@
@kawasan@|@ward, district@
@kawat@|@strand, line@
@kawat@|@wire, filament@
@kawat baja tipis (dipakai di kapal)@|@hawser@
@kawat baja tipis-dipakai di kapal@|@hawser@
@kawat listrik@|@live wires@
@kawat listrik yg dilapisi@|@flex@
@kawat nyamuk@|@gauze@
@kawat pelindung di perapian kamar@|@fire-guard@
@kawat pijar/halus@|@filament@
@kawat telepon interlokal@|@trunk-line@
@kawin@|@mate@
@kawin@|@be married; have sex@
@kawin dgn saudara@|@incest@
@kawul@|@tinder@
@kaya@|@affluent, substantial, opulent, well-to-do@
@kaya@|@rich@
@kayak@|@like, such as@
@kayangan@|@heaven (as a wonderful place); abode of Hindu Gods@
@kayu@|@timber, wood@
@kayu@|@wood@
@kayu arang@|@ebony@
@kayu bangunan@|@timber@
@kayu hitam keras@|@ebony@
@kayu kapal@|@beam@
@kayu keras berwarna merah tua@|@rosewood@
@kayu keras utk membuat pipa tembakau (dr pohon -@|@briar@
@kayu keras wangi pohon cemara@|@cedar@
@kayu mahoni@|@mahogany@
@kayu manis@|@cinnamon@
@kayu palang@|@joist@
@kayu pipih@|@tablet@
@kayu pohon@|@maple@
@kayu pohon yg dahannya melengkung ke bawah@|@willow@
@kayu rangka atap@|@balk@
@kayu sandal@|@cleat@
@kayu tengkuk@|@yoke@
@kayu tengkuk lembu@|@yoked@
@kayu utk membadut (tangan patah dll)@|@splint@
@kayu utk menggantungkan layar@|@yard@
@kayu yg hanyut@|@drift-wood@
@kayu yg telah dibentuk@|@hewn timber@
@kayu/besi utk penguat/pengikat@|@brace@
@kayu/logam@|@block@
@ke@|@unto@
@ke@|@to, going to@
@ke-@|@application, suit, bar, stock, life, drift, draught, distress@
@ke (arah) bawah@|@downwards@
@ke akarnya@|@plumb@
@ke arah angin bertiup@|@windward@
@ke arah luar@|@outward@
@ke arah timur@|@eastwards@
@ke arah utara@|@northwards@
@ke atas@|@obelisk, sheer@
@ke barat@|@westward, westwards@
@ke blk/arah berlawanan@|@backwards@
@ke dlm bhs sendiri@|@naturalize@
@ke hadapan/muka@|@before@
@ke hilir@|@below@
@ke hulu@|@upstream@
@ke luar@|@put out@
@ke samping@|@apart@
@ke sana@|@thither@
@ke sisi@|@lateral, sidelong@
@ke tempat itu@|@thither@
@ke/di muka@|@forward@
@ke/di pantai/darat@|@ashore@
@ke/di samping@|@aside@
@ke/dr barat@|@westerly@
@ke/menuju selatan@|@southwards@
@ke/menuju/dr samping@|@sideways@
@ke2@|@confection, ordinal@
@ke3@|@ordinal@
@keabadian@|@perpetuity@
@kead@|@lie of the land@
@kead-@|@form@
@kead aneh/mengerikan/ganjil@|@monstrosity@
@kead bahaya@|@distress@
@kead berkeluarga@|@marital status@
@kead bimbang/cemas@|@disquietude@
@kead bobrok/rusak@|@disrepair@
@kead cacat@|@deformity@
@kead dekat@|@neighbourhood@
@kead diam@|@intertia@
@kead dikuasai oleh hipnotis@|@mesmerism@
@kead gawat@|@plight@
@kead gelisah/gugup@|@wroughtup state@
@kead genting@|@crisis@
@kead gugup@|@overwrought@
@kead hati/pikiran@|@vein@
@kead jemu@|@boredom@
@kead jln@|@order@
@kead kacau@|@mess@
@kead kemasukan roh@|@trance@
@kead kurang sehat@|@indisposition@
@kead lengkap@|@integrity@
@kead membatu@|@petrifaction@
@kead menderita utk sementara wkt@|@purgatory@
@kead mengantuk@|@drowsiness@
@kead menguasai perasaan/pikiran@|@composure@
@kead menjemukan@|@tedium@
@kead mjd busuk@|@putrefaction@
@kead mudah kena/terpengaruh@|@predisposition@
@kead org di mana 2 proses psikis bekerja sendiri2@|@disosiasi@
@kead perang@|@warfare@
@kead persegi@|@squareness@
@kead perubahan dr tak sadar ke sadar@|@distorsi@
@kead pikiran@|@frame of mind@
@kead pikiran/hati@|@mood@
@kead ragu-ragu/bimbang@|@quandary@
@kead sakit@|@illness@
@kead saling mempengaruhi@|@interplay@
@kead sangat bahagia@|@heaven@
@kead sbgmn spt skr/sebelumnya@|@status quo@
@kead serba sulit@|@depression, depresi@
@kead serba tdk mempercayai@|@scepticism@
@kead siap@|@trim@
@kead sukar diatasi@|@predicament@
@kead sulit krn kebodohannya sendiri@|@scrape@
@kead susah/ta-@|@cloud@
@kead tdk akrab@|@distansi@
