@English@|@Kalmyk@
@steep bank@|@ergë@
@stem@|@išë@
@steppe@|@talë@
@steppe fox@|@kirsë@
@sterlet@|@bekr@
@stick@|@šiwšrhë@
@stick out@|@seksi-@
@stick to@|@nä-@
@sticking out@|@hodä-, hodhr@
@stirrup@|@döré@
@stitch@|@šir-, ujë-@
@stockings@|@ömsn@
@stone@|@cholün@
@stop up@|@bögl-, büt-@
@storehouse@|@kömrg@
@straight@|@chirhë@
@strain@|@šü-@
@strawberry@|@zedëgënë@
@stream@|@horoxa@
@strength@|@ag, äg, küchn@
@strew over@|@jü-, jül-@
@strike@|@göw-@
@strong@|@chïrëg@
@strong cold@|@xärëg@
@stuffed guts@|@sohëži@
@stupid@|@menr-@
@suck in@|@sor-@
@sudden@|@amhä@
@sulphur@|@mokn@
@summer@|@zun@
@sun@|@narn@
@support@|@caxlür, döng@
@surface@|@nurgën@
@suspend@|@düzl-@
@swaddling-clothes@|@mancü@
@swallow@|@xarädä@
@swamp@|@bürdë, namëg, ulm@
@swamped forest@|@šiwr@
@swan@|@xunë@
@sway@|@däwl-, narmëlžë-, sewë-@
@swell up@|@kö-@
@swelling@|@xawëng@
@swift@|@türgn@
@swing@|@derwë-@
@table@|@šire@
@tail hair@|@kilëhsn, kilhësn@
@tail strap@|@xudrhë@
@taint@|@ag@
@take responsibility@|@dä-@
@tapeworm@|@meckä@
@tarbagan@|@tarwëhn@
@teal@|@chörkë@
@tear off@|@xahël-@
@tear out@|@ugžër-@
@temple@|@kïd, šanä@
@ten@|@arwn@
@tent@|@mäxan, seg@
@terrace@|@denž@
@testicle(s)@|@börë@
@testicles@|@im, sölze@
@tether@|@tünggë@
@thankful@|@xan-@
@that@|@terë@
@thick@|@bödün, büdün, zuzän@
@thick growth@|@šuhü@
@thick of liquids@|@ötëgn, ötkn@
@thick part of sinew@|@bülkn@
@thick skin@|@xüx@
@thigh@|@süzhë@
@thin@|@närn, nimgn@
@thin silk kerchief@|@xormësn@
@thin skin on penis@|@xaldëhën@
@thin string@|@šidmsn, šizhm@
@thin thread@|@zeg@
@thing@|@jümn, jun, jün-@
@thinned@|@sïr-@
@thirst@|@umdn, undän, undn@
@thirty@|@huchn@
@this@|@enë@
@thou@|@tadn@
@thousand@|@minghn@
@thread@|@utsn@
@three@|@hurwn@
@threshold@|@bosëgë, bosxë@
@throat@|@bahëlzür, baxëlür, baxëlzür, kömä@
@thumb@|@erke@
@tickle@|@gižngne-@
@time@|@cag@
@tin@|@cas@
@tired@|@ecë-@
@to add@|@nem-@
@to address@|@xandë-@
@to agree upon time@|@bolzë-@
@to alternate@|@sel-@
@to bark@|@xucë-@
@to be@|@bï@
@to be able@|@chad-, dä-@
@to be afraid@|@ä-, ürgë-@
@to be ashamed@|@ich-@
@to be attentive@|@kiwšë-@
@to be bent@|@handä-@
@to be blunt@|@mölï-@
@to be born@|@tör-@
@to be bulgy@|@tünggë-@
@to be combined@|@när-@
@to be damaged@|@xokë@
@to be detained@|@sätë-@
@to be energetic@|@gütkë-, güžr-@
@to be excited@|@tüwdë-@
@to be flat and wide@|@dalwä-@
@to be flayed@|@xalcr-@
@to be full@|@dür-, melme:-@
@to be high@|@kötï-@
@to be hungry@|@öls-@
@to be ill@|@öwdë-@
@to be just enough@|@möchë-@
@to be mistaken@|@endëgdë-@
@to be noisy@|@šügë-@
@to be oblique@|@kelwr-, kulï-@
@to be old@|@ötl@
@to be restless@|@xolgëdë-@
@to be rough@|@arzä-@
@to be sad@|@ujd-@
@to be scared@|@gelmë-@
@to be separated at joints@|@zä-@
@to be shy@|@berl-, bermšë-@
@to be spread@|@tüg-@
@to be tender@|@tanchl-@
@to be thick and swollen@|@tütï-@
@to be thirsty@|@zöm-@
@to be timid@|@eme-@
@to be unhappy with smth@|@hol-@
@to beat in@|@šä-@
@to become@|@bol-@
@to become dull@|@düngge-, düngsï-@
@to become flat and watery@|@bilcë-@
@to become hard@|@xahsë-, xatë-@
@to become hoarse@|@sö-@
@to become insufficient@|@mundë-@
@to become mad@|@gänr-, mongxü, mundr, munë-, mungxëg@
@to become red@|@minch-@
@to become separated@|@sal-@
@to become sour@|@éde-@
@to become tangled@|@däkr-@
@to become white@|@cä-, cahän@
@to become worn out@|@semr-@
@to become worse than smth.@|@demir-@
@to behave indecently@|@šilwë-, šulm@
@to belch@|@kekr-@
@to belong to the vanguard@|@ülha-la@
@to bend@|@nakï-, nuhël-, nuhër-@
@to bend backwards@|@döli-@
@to bevel@|@gilchï-@
@to bind@|@külë-@
@to bind a horse@|@xantër-@
@to bite@|@keml-, xaz-, zü-@
@to blow@|@sügë-, ülë-@
@to blow (of snow storm)@|@šür-@
@to blow nose@|@nï-@
@to boast@|@bardm@
@to boil@|@busl-@
@to bore@|@bül-@
@to bow@|@gekë-@
@to bow down@|@keptë-@
@to bow forwards@|@öke-@
@to break@|@ebdë-@
@to bristle@|@šarwä-@
@to build@|@bër-@
@to burn@|@tül-@
@to butt with horns@|@sež-@
@to carry on the back@|@ür-@
@to catch fire@|@as-, šatë-@
@to chafe@|@agsra-@
@to change@|@arclcë-, arcldë-, xüwl-@
@to chew@|@kew-, žažl-@
@to chill@|@berwe-@
@to choke with laughter@|@bügšë-@
@to choose@|@sunghë-@
@to clean@|@arch-@
@to close@|@žimï-@
@to close eyes@|@ani-@
@to clothe@|@ömës-@
@to clutch@|@adëg, atxë@
@to come@|@ir-@
@to come back@|@xär-@
@to come close to@|@äš-@
@to come to an end@|@tögës-@
@to compare@|@ülë-@
@to cover@|@bür-, bürkë-, nemr-@
@to covet@|@xörcë-@
@to creep@|@hurwä-, hurwlzë-, mölkë-@
@to creep (up)@|@merä-@
@to cross over@|@getl-, hatl-@
@to crumble@|@nisël-@
@to cry@|@ul-, ulë-@
@to cry out@|@sur-@
@to curse@|@xarä-@
@to cut@|@möl-, tär-@
@to cut lengthwise@|@züsë-@
@to cut off pieces@|@xas-@
@to dance@|@böži-, büži-@
@to dawn@|@mangxä-@
@to deceive@|@xür-, zälë, zalxä@
@to defecate@|@bä-@
@to deny@|@görd-@
@to deteriorate@|@hut-@
@to die@|@ükä-@
@to dig@|@maltë-, uxë-@
@to diminish@|@sä-, xor-@
@to disjoint@|@muži-@
@to divide@|@xuwë-@
@to divine on bones@|@keme:-@
@to dress@|@eld-@
@to drift on the surface@|@köw-@
@to drink@|@ü-@
@to dump@|@tül-@
@to eat@|@idë-@
@to embrace@|@tewr-@
@to endure@|@tewch-@
@to enter@|@or-@
@to expand@|@del-@
@to fall@|@un-@
@to fasten@|@zalhë-@
@to feed@|@težë-@
@to feel gnawing pain@|@šimšër-@
@to finish@|@düs-@
@to flay@|@övche-@
@to flow@|@iwl-, ursë-@
@to fold@|@xuhësl-@
@to follow@|@daxë-, namnë-@
@to forbid@|@xör-@
@to forge@|@šir-@
@to forget@|@martë, untë-@
@to freeze@|@köld-, kör-@
@to gape@|@darwä-@
@to gather together@|@xamë-@
@to get accustomed@|@dad-, das-@
@to get drunk@|@soktë-@
@to give@|@ög-@
@to gnaw@|@mölžë-@
@to gnaw at smth.@|@mer-@
@to go out@|@har-@
@to go round@|@ergi-@
@to go through@|@tül-@
@to grope@|@temtr-@
@to grow@|@ös-, urhë-@
@to guess@|@tä-@
@to hang down@|@sanzhë-@
@to hang on@|@segl-@
@to hang on (smth.)@|@ölgë-@
@to harness@|@güldi-, köll-@
@to have a burnt taste@|@küngšün@
@to heat@|@xalë-@
@to hesitate@|@damnë-@
@to hide@|@büg-@
@to hit target@|@on-@
@to hit with a hoof@|@xär-@
@to hurry@|@adhë-, adm@
@to hurry along@|@dabki-@
@to intend@|@sed-, setkë-@
@to irritate@|@kekï-, kixë-@
@to kick@|@öškl-, te-, tïr-@
@to kill@|@al-@
@to kneel@|@sögd-, sökt-@
@to know@|@medë-@
@to laugh@|@iné-@
@to lay@|@dewsë-@
@to lead@|@kötl-@
@to lick@|@dolä-@
@to lie in a hole@|@ich-@
@to limp slightly@|@südü-gülž-@
@to listen@|@chingnë-@
@to look@|@šahä-@
@to lose@|@alda-, gë-@
@to lose all hope@|@cökë-, cökr-@
@to lower@|@hudï-@
@to make@|@ke-@
@to make a sign@|@dok-@
@to meet@|@uchr-, uktë-@
@to melt@|@xäl-@
@to milk@|@sä-@
@to mix@|@xutxë-@
@to mow@|@xad-@
@to nauseate@|@ogl-@
@to neigh@|@incëhä-@
@to open@|@në-@
@to open wide@|@calä-@
@to order@|@zakë-@
@to overcast in sewing@|@köš-@
@to overflow@|@bilxë-, xälë-@
@to paint@|@budë-@
@to pant@|@sükn-@
@to pass@|@där-, nökcé-@
@to pay attention@|@angxër, tö-, ubära-@
@to perspire@|@batëgë, batxë@
@to pick@|@chikchl-, et-, žulhë@
@to pickle@|@is-@
@to pierce@|@cöl-@
@to pinch@|@xapchë-, xawl-, xawšë-@
@to play jumping@|@togl-@
@to plunder@|@ton-@
@to pound@|@nüd-@
@to pray@|@umšë-@
@to prepare@|@zesë-@
@to present@|@däšl-@
@to preserve@|@xadëhl-@
@to press@|@šaml-, šaxë-@
@to press down@|@dar-@
@to prick@|@chichë-, chichesn, chichür@
@to protect@|@ive-@
@to protract@|@tel-@
@to provoke@|@zadl-@
@to pull@|@tat-@
@to put in order@|@toxn-@
@to quarrel@|@kerldë-, marhë-@
@to rake up@|@xar-@
@to reach@|@kürtë-@
@to regret@|@gemši-@
@to report@|@öchë-@
@to rest@|@amr-@
@to rise@|@bürgën-, bürgn-, öndë-@
@to rise of steam@|@sabsal-@
@to rob@|@talë-@
@to roll@|@epkë-, öngkr-, öwdëg@
@to rub off@|@el-, šudr-@
@to run slowly@|@bökšë-@
@to sacrifice@|@tä-, takë-, täkë-@
@to saddle@|@toxë-@
@to save@|@awr-@
@to scrape with fingers@|@xuchl-@
@to scurry@|@mengdë-@
@to search@|@hú-, hü-@
@to see@|@üz-@
@to send@|@ilge-@
@to set in order@|@ör-@
@to sew with wide stitches@|@šidë-@
@to shake from side to side@|@segelž-@
@to shear@|@kirgë-@
@to shoot from a bow@|@xarwë-@
@to shrink@|@dörse-, ömr-@
@to sink@|@öm-@
@to sit@|@sü-@
@to smear@|@šaw-@
@to smell@|@ünr@
@to smile@|@mädëhër, mäsxëlzë-@
@to sneeze@|@nätëx-@
@to soak@|@bulxë-@
@to soar@|@el-@
@to sound@|@cugi-, cügi-, sür@
@to speak@|@ge-, gé-, gí-@
@to spend the night@|@dül-@
@to spin@|@ër-, imr-, tom-@
@to spread out@|@sarwä-@
@to sprinkle@|@ösr-, säwr-@
@to spurt@|@undr-@
@to squander@|@šäl-@
@to stay behind@|@xocr-, xožëm@
@to step@|@alxë-@
@to step down@|@bü-@
@to stick into@|@dür-@
@to stir@|@bül-, bülë-, samr-, samür-@
@to strain@|@šir-, širl-@
@to stray@|@sarni-@
@to stretch oneself@|@tenï-@
@to stretch out@|@sun-@
@to strike@|@del-@
@to strike fire@|@cak-, cakl-, cäkl-@
@to strive@|@zütkë-@
@to stumble@|@büdr-@
@to suffer@|@enl-, ges-, ges-, tür-, zow-@
@to suffer from cold@|@žingdë-@
@to suffer from hunger@|@mekë-@
@to swallow@|@balhë-, zalgë-@
@to sway@|@mämr-, mïmr-@
@to swell@|@chilï-, culcï-, köwkë-, xawdë-@
@to take@|@aw-, bär-@
@to take care of@|@asr-@
@to take out@|@suhl-@
@to talk@|@kör-@
@to talk nonsense@|@nangši-@
@to taste@|@tamšä-@
@to teach@|@zä-@
@to think@|@bodë-@
@to thresh@|@tükšë-@
@to throw@|@šiwë-@
@to tie up a horse@|@sö-@
@to torment@|@türe-@
@to touch@|@xäwr-@
@to trample@|@tüwr-@
@to transmit@|@tüge-@
@to transport@|@te-@
@to trickle@|@saxë-@
@to trot@|@xatërë-@
@to tuck up@|@šürd-@
@to twist@|@moškl-, muškl-@
@to understand@|@uxë-@
@to unite@|@nïdë-@
@to urinate@|@šë-, šësn@
@to urinate (of a dog)@|@sär-@
@to vesicate@|@erk-@
@to wait@|@külë-@
@to walk@|@jow-, zuhäca-@
@to walk slowly@|@geldr-@
@to wash@|@uhä-@
@to wave@|@dew-, dewür@
@to wear a garment@|@ködr-@
@to win@|@dïl-@
@to wish@|@küs-@
@to work@|@ködl-@
@to wrap@|@orö-@
@toe@|@xurgn@
@together@|@cuG, cuhlë-, xamtë@
@tongs@|@bakë@
@tongue@|@keln@
@tooth@|@šüdn@
@top of head@|@orä@
@top of milk@|@örm@
@town@|@xotë, xotn@
@trace@|@orm, žim@
@track@|@mör@
@trade@|@xuldë-@
@transport@|@zö-@
@travel@|@ajan@
@treacherous@|@sadr@
@tree@|@modn@
@tree bark@|@xoltxësn@
@tremble@|@šilgë-@
@trickery@|@mekë@
@trigger@|@chawëg@
@trough@|@idëš, idür, namä, onghëcë@
@trumpet horn@|@büre@
@trust@|@itkë-@
@tuft@|@üd-@
@turbid@|@bulënggër@
@turn into@|@ulwr-@
@turn upside down@|@kömr-@
@turtle@|@xawxëntë@
@twenty@|@xörn@
@twig@|@möchr@
@twins@|@ikr@
@two@|@xojr@
@udder@|@delëng@
@unable to get up@|@öjed-@
@uneducated@|@egl@
@unexpected@|@gentë@
@unfasten@|@täl-@
@unite@|@ker-@
@unleash@|@zadër-@
@unpleasant@|@kecü@
@unpleasant odor from the arm@|@xolëngsë@
@unworked leather@|@adsxë@
@upper stratum@|@körsn@
@upwards@|@ödë@
@urgent@|@bachm@
@vacant@|@sulë@
@valley@|@amn@
@vanguard@|@ülha@
@variegated@|@alëg, ölë, ölëkchn, xaltër@
@various grass names@|@šimndëG@
@vegetables@|@nohän@
@vehicle@|@tergn@
@ventricle of the heart@|@xowdël@
@Venus@|@colwn, colwng@
@very@|@law@
@vitality@|@süldr@
@vulva@|@ütgn@
@wages for hired work@|@kölsn@
@waist@|@belküsn@
@waist part of the back@|@zö, zön@
@wall@|@tamë, xanë@
@war@|@dän@
@warm@|@dulän, kölchë-@
@warm shelter for large cattle@|@dalë@
@warmth@|@ilchë@
@wart@|@söl, ün@
@watch@|@xarë-@
@water@|@usn@
@waterfall@|@xärgë@
@water-meadow@|@nuhë@
@wave@|@dalwlzë-, delwlzë-, dolhän@
@we@|@bi, bid(n), man-, miné (gen.)@
@weak@|@öje, žöln@
@weapon@|@zer@
@weasel@|@kürn@
@weaver@|@örmechi@
@wedge@|@šawxë@
@weep@|@ül-@
@well@|@za, zä, žä@
@West@|@barün@
@wet snow@|@šamrhë@
@whale@|@xalim@
@wheel@|@kürdë@
@wheel spoke@|@kïhës@
@whet@|@nïl-@
@whip@|@malä@
@whirlwind@|@xü@
@whispering@|@šiwr@
@white colour@|@cang@
@white fish@|@xorwë@
@white hare@|@chindëhën@
@who@|@ken@
@whole@|@bultë@
@wide@|@nalä@
@widow@|@belwësn@
@width@|@eng@
@wife@|@emë@
@wife of elder brother@|@awsn, äwsn@
@wild@|@agsag@
@wild camel@|@xawtëxa@
@wild goat@|@zürë@
@wild horse@|@takë, täkë@
@wild male boar@|@noktëmër@
@wild pear@|@örl@
@willow@|@burhësn, udën@
@willow bushes@|@burä@
@wind@|@salkn, sälkn@
@winding@|@sarú, sarü@
@wing of nose@|@samsaj@
@winning@|@xonžá@
@winter@|@öwl@
@wipe@|@zülgë-@
@wish@|@baxë, kü@
@withered@|@xöxn@
@withers@|@dalng, därë@
@without@|@ugä, ugé@
@woe@|@gä@
@wolf@|@chonë@
@wolverine@|@zegën@
@woman@|@emë@
@woman-ancestor@|@omä@
@woman's hat@|@xalwng@
@wood@|@ö@
@wooden clamp put on camels@|@huvžë@
@wool@|@nösn@
@word@|@ügë@
@work@|@axü, ažël@
@worm@|@jam@
@wormwood@|@erm, zulng, zülng, zultrhën@
@worse@|@zeke@
@worth attention@|@ažig@
@wound@|@šarxë, sörwë@
@woven basket@|@arëg@
@wrapper for goat's genitalia@|@kög, kögë@
@wrist@|@bahltsëG@
@year@|@ö, on@
@year of life@|@nasn@
@yellow@|@šarë@
@yellow of a horse@|@šarhë@
@yellowish@|@cäwdr@
@yesterday@|@öcgldr, orä, ücgldr@
@young@|@zalü@
@young dog or cat@|@gölgë@
@young grass on river banks@|@käzë@
@young of a bird@|@buldërün@
@young of dog@|@kichëg@
@young of lynx@|@nohälä@
@young of wolf@|@beltërëg@
@young pig@|@torä@
@younger sibling@|@dü@

