@English@|@Kirghiz@
@to erect a building@|@qur-@
@to err@|@žangyl-@
@to explain@|@žoro-, žoru-@
@to extinguish@|@öch-@
@to feel@|@sez-@
@to fight of women@|@žulu-š-@
@to file@|@ege-, ögö-@
@to find@|@tap-@
@to flow@|@aq-@
@to fly@|@uch-@
@to follow@|@qü-, qubala-@
@to forget@|@unut-@
@to freeze@|@bujuq-, üšü-@
@to gape@|@angyraj-@
@to gather@|@irk-il-@
@to get accustomed@|@tatq-a-n-@
@to give@|@ber-@
@to gnaw@|@kemir-@
@to go astray@|@az-@
@to go away@|@ket-@
@to grasp@|@tut-@
@to grow@|@ös-@
@to hang@|@as-, ker-, tart-@
@to hang on smth.@|@il-@
@to harness@|@žek-@
@to hate@|@žekte-, žeri-@
@to heal of a wound@|@büt-@
@to heap up@|@üj-@
@to hear@|@ešit-, uq-@
@to hide@|@buq-@
@to hobble@|@aqsa-, tuša-@
@to hope@|@umsun-, umu-@
@to howl@|@mörö-@
@to immerse@|@chömö-@
@to indent@|@ket-@
@to itch@|@qychyš-@
@to jump@|@sekir-@
@to kill@|@öltür@
@to kindle@|@tamyz-@
@to knead@|@ez-, žür-@
@to kneel down@|@chök-@
@to knock down@|@chal-@
@to know@|@bil-@
@to lean@|@tajan-@
@to lick@|@žala-@
@to listen@|@tyngša-@
@to live@|@tiri-@
@to long for@|@qynyq-@
@to look after@|@baq-@
@to lose strength@|@tal-, taly-@
@to make@|@qyl-@
@to make difficult@|@qyjyt-@
@to make holes@|@teš-@
@to make magic@|@arba-@
@to measure@|@ölchö-@
@to melt@|@eri-@
@to migrate@|@köch-@
@to milk@|@sä-@
@to miss@|@sahyn-@
@to mount@|@min-@
@to move@|@qotor-@
@to offer@|@qyj-@
@to ooze@|@syz-@
@to open@|@ach@
@to order@|@bujur-@
@to overflow@|@tašy-@
@to paint@|@bojo-@
@to patch@|@žama-@
@to pay respect@|@qajyš-@
@to peck@|@choqu-@
@to perforate@|@üšü-@
@to pick@|@oj-@
@to pick at@|@chuqu-@
@to pierce@|@saj-@
@to pinch@|@chymchy-, chymchy-la-@
@to pity@|@aja-@
@to plait@|@ör-@
@to plant vertically@|@tik-@
@to plaster@|@chap-ta-@
@to play@|@ojno-@
@to pour out@|@quj-, tök-@
@to press@|@bas-, syq-@
@to produce smoke puffs@|@bara-t-@
@to prop@|@sön-, süjö-, taja-@
@to prop on a pillow@|@žasta-, žazda-@
@to pull@|@süjrö-@
@to pull out@|@cholu-@
@to puncture@|@chabaq-ta-@
@to punish@|@kes-@
@to rain@|@žä-, žau-@
@to rake@|@kürö-@
@to reach@|@tij-, žet-@
@to recuperate@|@öngde@
@to reek@|@qongursu-@
@to rest@|@tyn-@
@to revolve@|@ajlan-@
@to rise@|@qalqy-@
@to rob@|@tala-@
@to roll@|@ö-n-@
@to roll down@|@qula-@
@to roll over@|@ö-@
@to rot@|@chiri-, iri-@
@to rub teeth@|@qajra-@
@to run away@|@kürgüchtö-, kürgüj@
@to say@|@ajt-@
@to scold@|@žekir-@
@to scoop@|@suz-@
@to scrape@|@qašy-@
@to search@|@tint-@
@to see@|@kör-@
@to sell@|@sat-@
@to send@|@ij-@
@to separate@|@ajyr@
@to sew@|@köktö-, qajy-@
@to shake@|@kübü-, silk-, žajqa-, žajqa-@
@to shine@|@žar-, žary-@
@to shiver@|@bez-@
@to sift@|@ele-, elge-@
@to sink@|@bat-@
@to sit@|@otur-@
@to sleep@|@ujqu (n.), uqta-, žat-@
@to slide@|@qajpy-, taj-@
@to smoke@|@tütö-@
@to snatch@|@qap-@
@to sober up@|@ajyq-@
@to sole a boot@|@bašmaq-ta-@
@to sow@|@ek-@
@to speak@|@söjlö-, süle-@
@to spit@|@tükür-@
@to split@|@žar-@
@to spread@|@žaj-, žaz-@
@to spread out@|@töšö-@
@to stamp@|@tep-@
@to stand@|@tur-@
@to step@|@atta-@
@to stick in@|@qajy-, qajy-, suq-@
@to stick into@|@qada-@
@to stick to@|@žuq-@
@to stir up@|@biš-, byš-@
@to stir with a poker@|@kösö-@
@to strain@|@süz-@
@to strike fire@|@chaq-@
@to strive@|@umtul-@
@to suck@|@sor-@
@to suffer@|@küj-, küjün-@
@to support@|@tire-@
@to suspect@|@žala-@
@to swallow@|@žut-@
@to sweep@|@sypyr-@
@to swell@|@keber, kebeže, köp-, qabar-, šiši-@
@to swim@|@žü-@
@to take@|@al-@
@to tan@|@aša-@
@to taste@|@tat-, taty-@
@to test@|@syna-@
@to tie in a knot@|@tüj-@
@to tie up@|@bü-@
@to trot@|@mang-@
@to tumble@|@öna-@
@to turn back@|@žan-@
@to untie@|@chech-@
@to urinate@|@sij-@
@to vomit@|@qus-@
@to wait@|@küj-, küt-@
@to wake up@|@ojhon-@
@to walk@|@bar-, žür-, žürü-@
@to weaken@|@alq-yn-@
@to weave@|@toqu-@
@to win@|@ut-, ženg-@
@to wish@|@qyzhan-@
@to wrap round@|@tolho-@
@to wrinkle@|@bür-@
@to write@|@žaz-@
@toad@|@qur-baqa@
@tooth@|@tiš@
@top of boots@|@qonch@
@top of head@|@töbö@
@torture@|@qyjna-@
@trace@|@iz@
@tree@|@darak, žyhach@
@trophies@|@üp@
@trot@|@mang, žel-@
@trust@|@išen-@
@tuck@|@qymty-@
@turf@|@chym@
@turkey@|@kürp@
@twist@|@eš-@
@two@|@eki@
@udder@|@želin@
@uncle@|@taha, taj@
@understand@|@tüšün-@
@unite@|@qoš-@
@unrelated@|@ögej@
@unsubstantial@|@župqa, žuqa@
@up@|@žohor, žohoru@
@upper clothes@|@chapan-chapqyt@
@upper part of breast@|@ömgök@
@usefulness@|@qunar@
@vain@|@tek@
@valley@|@qol@
@variegated@|@ala, chär@
@vertical@|@tik@
@very@|@eng, iji@
@vessel@|@idiš, könök@
@voice@|@ün@
@vulture@|@tazqara@
@vulva@|@am@
@waist@|@bel@
@walk through@|@kez-@
@walnut@|@žangaq, žanghaq@
@war@|@žö@
@wares@|@tabar@
@warm@|@žyluu@
@wart@|@söl@
@water@|@sü, suu@
@way@|@jol@
@we@|@miz@
@weaken@|@bajy-@
@weep@|@yjla-@
@welfare@|@yrk@
@what@|@ne, neme@
@Where is my room?@|@menin bölümum kayda@
@Where is the bar?@|@bar kayda@
@Where is the beach?@|@kol jeek kayda?@
@whetstone@|@bülö@
@which@|@qaj@
@whirlpool@|@obut@
@white@|@ak, aq@
@white blaze@|@qachqa, qašqa@
@white lead@|@upa@
@who@|@kim@
@wick@|@bilik@
@wide@|@keng@
@widower@|@tul@
@wild animal@|@kijik@
@wild game@|@ang@
@wild goat@|@elik@
@wild lamb@|@bahyldyr@
@wild onion@|@köbürgön, žua@
@wild turkey@|@ular@
@will@|@küsö-@
@willow@|@tal@
@win@|@oz-@
@wind@|@žel@
@wind round@|@bur-, bura-@
@window@|@tündük@
@windpipe@|@öngöch@
@wing@|@qanat@
@winnow@|@želbire-, želpi-@
@winter@|@qyš@
@wither@|@solu-@
@wolf@|@börü@
@Woman@|@Ayal@
@wonder@|@tang@
@wonderful@|@tangsyq@
@wooden frame@|@sary@
@wooden nail in camel's nose@|@bujla@
@wooden plough@|@bürsun@
@wool@|@žün@
@woollen cloth@|@chekmen, chepken@
@work@|@iš@
@worm@|@qurt@
@worship@|@tabyn-@
@wound@|@žara@
@wrestle@|@keriš-, küröš-@
@yak@|@qotos@
@year@|@žaš, žaš, žyl@
@yellow@|@sary@
@yellow of a horse@|@žejren@
@Yes@|@Ooba@
@young@|@žaš@
@young badger@|@borso-l-doj@
@young fir tree@|@balaty@
@young hawk@|@qyrhyjek@
@young lamb@|@bojdok@
@young of camel@|@boto@
@young pig@|@chochqo@
@younger brother@|@ini@
@younger sister@|@singdi@
@younger wife@|@toqol@
@yurt poles@|@aq tiger@

