@English@|@Bambara@
@finish@|@ban@
@fire@|@ta@
@fire extinguisher@|@tasumafagalan@
@firecracker@|@peta@
@firewood@|@dògò@
@firm@|@gèlèn@
@first@|@fòlò@
@first of all@|@fòlòfòlò@
@firstly@|@fòlò@
@fish@|@jègè@
@fish market@|@jègèsugu@
@fisherman@|@mònnikèla@
@fishing@|@mònni@
@fishing rod@|@dolen@
@fist@|@bolokurun@
@fistful@|@tòròmòjò@
@five@|@duuru@
@five francs@|@dòròmè@
@five hundred@|@keme duuru@
@flag@|@darapo@
@flashlight@|@tòròsi@
@flesh@|@bu@
@flip-flop@|@pètupètu@
@flock of sheep@|@sagakulu@
@flood@|@jiwalankata@
@flour@|@mugu@
@flow@|@woyo@
@flower@|@filèri@
@flu@|@murusògòsògò@
@flute@|@file@
@fly@|@dimògò@
@fly away@|@wuli@
@foal@|@sòden@
@foam@|@kanga@
@focus on@|@nyèsin@
@fold@|@kuru@
@follow@|@tugu@
@folly@|@hakilintanya@
@fonio@|@fini@
@food@|@dumuni@
@foodstuff@|@dumunifèn@
@fool@|@nègèn@
@foolishness@|@hakilintanya@
@foot@|@sen@
@football@|@balòntan@
@football ground@|@ntolatanyòrò@
@football pitch@|@ntolatanyòrò@
@football shirt@|@mayo@
@football team@|@ntolatantòn@
@footballer@|@ntolatanna@
@footprint@|@sennò@
@for@|@kosòn@
@forbid@|@kòli@
@force@|@wajibiya@
@forearm@|@bolokan@
@forehead@|@ten@
@foreign@|@dunan@
@foreigner@|@siginfè@
@forest@|@tu@
@forever@|@badaa@
@forget@|@nyìnè@
@forgive@|@yafa@
@forgiveness@|@yafa@
@fork@|@furusèti@
@fork in road@|@sirafara@
@fornication@|@jènèya@
@forty@|@bi naani, binaani@
@found@|@sigi@
@foundation@|@jusigilan@
@four@|@naani@
@fourteen@|@tan ni naani@
@fourth@|@naaninan@
@fox@|@kungowulu@
@fracture@|@kolokari@
@fragments@|@buruburu@
@frame@|@lamini@
@France@|@Faransi@
@free@|@kunmabò@
@freely@|@fu@
@freeman@|@hòròn@
@French@|@faransèkan@
@French language@|@nansarakan@
@fresh@|@kènè@
@friday@|@juma@
@Friday@|@jumadon@
@friend@|@teri@
@friendship@|@teriya@
@fries@|@firiti@
@frighten@|@bagabaga@
@frog@|@ntori@
@from@|@k'a ta@
@front seat@|@nyèfèsigilan@
@fruit@|@jiriden@
@fry@|@jiran@
@frying pan@|@pòli@
@fuel@|@taji@
@Fulani@|@fula@
@fulfill@|@dafa@
@Fulfulde@|@fulakan@
@full stop@|@tomi@
@function@|@jòyòrò@
@functioning@|@tagabolo@
@funeral@|@jènèja@
@future@|@sini@
@Gabon@|@Gabòn@
@gain@|@s'òrò@
@Gambia@|@Ganbi@
@game@|@sogo@
@Gao@|@Gawo@
@gap@|@furancè@
@garage@|@garasi@
@garden@|@nakò, nakòtu@
@gardener@|@nakòbaarala@
@gardening@|@nakòbaara@
@garlic@|@layi@
@gas@|@esansi@
@gas mask@|@finyèkèlan@
@gatekeeper@|@dakòlòsibaa@
@gather@|@lajè@
@gecko@|@sulantèrè@
@genealogy@|@buruju@
@general@|@zenerali@
@geographer@|@jamanakalanna@
@geography@|@jamanakalan@
@geologist@|@dugukolokalanna@
@geology@|@dugukolokalan@
@geometry@|@kènèsumakalan@
@Germany@|@Alimanyi@
@germinate@|@falen@
@get hair done@|@kuwafe@
@get older@|@k'òrò@
@get ready@|@labèn@
@get up@|@wuli@
@get up early@|@soli@
@Ghana@|@Gana@
@gift@|@nilifèn@
@ginger@|@nyamaku@
@giraffe@|@ntilen@
@girl@|@musomanin@
@girlfriend@|@sungurun@
@girl's youth@|@npogotigiya@
@give@|@di@
@give birth@|@bange@
@giving@|@nili@
@glass@|@wèrè@
@glasses@|@nunèti@
@glorious@|@nòòròma@
@glory@|@nòòrò@
@go@|@taa@
@go for a walk@|@yaalayaala@
@go out@|@bò@
@go to bed@|@da@
@go up@|@yèlèn@
@goal@|@kuru@
@goal scorer@|@kurudonna@
@goat@|@bàmuso@
@goat herder@|@bagènna@
@goblin@|@wòkulo@
@god@|@batofèn@
@God@|@ma@
@gold@|@sanu@
@golden@|@sanulama@
@gombo@|@gan@
@gombo field@|@ganforo@
@gombo sauce@|@ganna@
@good@|@nyi@
@good afternoon@|@i ni tile, i ni tilen, i ni wula@
@good bye@|@k'an b'u fo@
@good evening@|@i ni su@
@good morning@|@nba; i ni sògòma, nse; i ni sògòma@
@good price@|@nògòya@
@goodness@|@nyumaya@
@goods@|@feerekèfèn@
@gourd@|@jë@
@govern@|@mara@
@government@|@gofèrènaman@
@governor@|@faama@
@grab@|@minè@
@grace@|@nèèma@
@grain@|@si@
@grain of sand@|@cèncènkisè@
@gram@|@garamu@
@grammar@|@mabèn@
@gramme@|@garamu@
@granary@|@jiginyè@
@grand father@|@mòke@
@grandchild@|@mòden@
@granddaughter@|@mòdenmuso@
@grandfather@|@mòkè@
@grandmother@|@mòmuso@
@grandson@|@mòdenkè@
@grape@|@rezèn@
@grass@|@bín@
@gratitude@|@walenyumandòn@
@grave@|@kaburu@
@gravel@|@bèlèkisè@
@gravy@|@na@
@gravy pot@|@nadaga@
@Greece@|@Gèrèsi@
@Greek@|@grèkikan@
@green@|@binkènèman@
@greet@|@fo@
@greeting@|@folikan@
@grey@|@bugurinjè@
@grief@|@hami@
@grieve@|@hami@
@grill@|@jeni@
@grilled meat@|@dibisogo@
@grind@|@si@
@grinding stone@|@wugu@
@griot@|@jeli@
@ground@|@dugu@
@groundnut@|@tiga@
@groundnut sauce@|@tigadègèna@
@group@|@kulu@
@grow@|@bugun@
@grow up@|@wuli@
@growl@|@gòròntò@
@growth@|@jiidiya@
@grudge@|@mònè@
@gruel@|@mòni@
@G-string@|@npogi@
@guard@|@kòlòsi@
@guava@|@buyaki@
@guest house@|@dunanjiginso@
@guide@|@bereminèbaa@
@guilt@|@jalaki@
@guilty person@|@hakètigi@
@Guinea@|@Gine@
@Guinea Bissau@|@Gine Bisawo@
@guinea fowl@|@kami@
@guinea fowl egg@|@kamifan@
@guitar@|@gitari@
@gum@|@nyintara@
@gum disease@|@nyintaradimi@
@gun@|@marifa@
@half@|@tilancè@
@hallelujah@|@aleluya@
@hamlet@|@buguda@
@hammer@|@marito@
@hand@|@bolo@
@handball@|@bololantola@
@handful@|@tòròmòjò@
@handle@|@kala@
@handwriting@|@bololasèbènni@
@hang@|@dulon@
@happen@|@kè@
@happiness@|@daamu@
@hard@|@gèlènman@
@harden@|@gèlèya@
@hardship@|@nyèni@
@hard-working@|@kìsè@
@hare@|@sonsan@
@haricot bean@|@tubabusiyò@
@harvest@|@suman@
@harvester@|@sumantigèla@
@hat@|@banfula@
@hate@|@koniya@
@hatred@|@juguya@
@Hausa@|@hawusakan@
@have@|@bè ... fè@
@have a good day@|@ka tile hèrè caya@
@have a good night@|@ka su hèrè caya@
@he@|@a@
@he doesn't eat@|@a tè dumunikè@
@he doesn't study@|@a tè kalankè@
@he doesn't work@|@a te baarakè@
@he is fine@|@tòòrò t'a la@
@he is not living in New York@|@a sigilen tè New York@
@head@|@kunkolo@
@head of house@|@sotigi@
@head of state@|@jamananyèmògò@
@head towards@|@kunda@
@headache@|@kunkolodimi@
@headlight@|@faari@
@headmaster@|@kalanyòròkuntigi@
@headmistress@|@kalanyòròkuntigi@
@headphones@|@lamènnikèlan@
@headscarf@|@dankana@
@headteacher@|@kalanyòròkuntigi@
@heal@|@kènèya@
@healing@|@kènèyali@
@health@|@kènèya@
@hear@|@mèn@
@heart@|@dusu@
@heat@|@goniya@
@heaven@|@sankolo@
@heavy@|@girin@
@Hebrew@|@hèburukan@
@hectare@|@tari@
@hedgehog@|@jugunin@
@height@|@kundama@
@heir@|@ciyèntala@
@heiress@|@ciyèntala@
@helicopter@|@elikòpitèri@
@hell@|@jahanama@
@helmet@|@nègèfugula@
@help@|@dèmè@
@helper@|@dèmèbaa@
@hen@|@sè@
@hen house@|@kulukulu@
@henhouse@|@sèso@
@henna@|@jabi@
@her@|@a@
@herd@|@gèn@
@herd of cows@|@misikulu@
@herd of pigs@|@lèkulu@
@here@|@yan@
@hereafter@|@lahara@
@hesitate@|@siga@
@hide@|@dogo@
@hide oneself@|@dogo@
@high@|@jamanjan@
@high temperature@|@farikalaya@
@higher education@|@sanfèkalan@
@Hijrah@|@Ijira@
@hill@|@kulu@
@hinder@|@bali@
@hip@|@tògò@
@hippo@|@mali@
@his@|@a@
@his name is Mark@|@a tògò Mark@
@historian@|@tariku dònbaa@
@history@|@ko kèlenw@
@hit@|@bugò@
@hoe@|@siyènnikèlan@
@hole@|@dingè@
@holiday@|@kònze@
@holiness@|@senumaya@
@holy@|@senuma@
@holy day@|@donba@
@holy man@|@mori@
@Holy Spirit@|@Ni Senu@
@home@|@gä@
@homeland@|@faso@
@Honduras@|@Hòndirasi@
@honest@|@sèbè@
@honey@|@di@
@honour@|@danbe@
@hoof@|@sen@
@hope@|@jigi@
@hopelessness@|@jigintanya@
@horizontal line@|@ci dalen@
@horn@|@pipi@
@horse@|@so@
@horse rider@|@sòtigi@
@hospital@|@dògòtòròso@
@hospitality@|@jatigiya@
@host@|@jatigi@
@hot@|@gan@
@hot drink@|@kafe@
@hotel@|@lotèli@
@hour@|@nègè kannyè@
@house@|@bon, so@
@house guard@|@sokòlòsila@
@household@|@somògòw@
@how@|@cogo di@
@how are the things?@|@kow ka nyi?@
@how are you?@|@i bè di?@
@how many@|@jòli@
@how old are you?@|@i ye san joli ye?@
@however@|@o bèè n'a ta@
@huge@|@belebeleba@
@hull@|@wòrò@
@humble oneself@|@majigin@
@humble person@|@yèrèmajiginlen@
@humiliate@|@mafinyèya@
@humiliation@|@mafinyèyali@
@humility@|@yèrèmajiginlenya@
@hundred@|@kèmè@
@hundred fifty@|@keme ni biduuru@
@hundred thirty@|@keme ni bi saba@
@hunger@|@kòngò@
@hunter@|@donsokè@
@hunting@|@donsoya@
@hurry@|@teliya@
@hurt@|@digi@
@husband@|@c'è@
@husk@|@wòrò@
@hut@|@bulon@
@hyena@|@suruku@
@hygene@|@saniya@
@hymn@|@bèti@
@hypocrisy@|@filankafoya@
@I@|@n@
@i am a teacher@|@n ye karamògò ye@
@i am from Mali@|@n bè bò Mali la@
@i am going home@|@n bè taa so@
@i bathe@|@n bè n ko@
@i don't bathe now@|@n tè n ko sisan@
@i don't go to the office@|@n tè taa biro la@
@i don't have a younger brother@|@dògòcè tè n fè@
@i don't like coffee@|@n tè kafe fè@
@i don't like French@|@n tè tubabukan fè@
@i eat@|@n bè dumunikè@
@i have two younger sisters@|@dògòmuso fila bè n fè@
@i speak bambara a little bit@|@n bè bamanankan fò dòòni@
@i speak little bit of Bambara@|@N bèbamanankan mèn dòòni-dòòni@
@i study@|@n bè kalankè@
@i want to rest@|@n b'a fè ka n lafiñè@
@i work@|@n bè baarakè@
@ice@|@jikuru@
@idea@|@miiri@
@identity card@|@bugunnatigèsèbèn@
@idiot@|@naloma@
@idol@|@boli@
@idol worshipper@|@bolibatobaa@
@idolator@|@bolibatobaa@
@if@|@yala ni@
@if not@|@n'o tè@
@ignorance@|@kodònbaliya@
@illiteracy@|@kunfinya@
@illiterate@|@kalanbali@
@i'm going to school@|@n bè taa lakoli la@
@i'm hungry@|@kòngò bè n na@
@i'm not hungry@|@kòngò tè n na@
@i'm sleepy@|@sunògò bè n na@
@i'm thirsty@|@minògò bè n na@
@i'm thirty years old@|@n ye san bi saba ye@
@i'm tired@|@n sègènnen don@
@image@|@bisigi@
@imagine@|@bisigi@
@imam@|@alimami@
@immediately@|@o yòrònin bèè@
@immense@|@belebeleba@
@immigrant@|@siginfè@
@immorality@|@jatòya@
@importance@|@nàfa@
@improve@|@fisaya@
@in addition@|@ka fara o kan@
@in days gone by@|@fòlòfòlò@
@in front of@|@nyè na@
@in good health@|@kènè@
@in order that@|@walisa@
@in particular@|@kèrènkèrènnenya la@
@in place of@|@nò na@
@in the afternoon@|@wulafè@
@in the beginning@|@fòlòfolo@
@in the middle of@|@cèma@
@in the morning@|@sògòmadafè@
@in the past@|@folofolo, ka kòrò@
@in the presence of@|@nyèkòrò@
@in vain@|@fu@
@incense@|@wusulan@
@incite@|@kònònasu@
@increase@|@bonya@
@independence@|@hòrònya@
@India@|@èndujamana@
@indigo dye@|@galaji@
@Indonesia@|@èndonezi@
@infant baptism@|@denkundi@
@infection@|@nyèdimi@
@infidelity@|@kanntanya@
@inflate@|@funun@
@inform@|@kunnafoni@
@information technology@|@ènfòrimatiki@
@ingratitude@|@walenyumandònbaliya@
@ingredient@|@nafèn@
@inheritance@|@niyòrò@
@injection@|@sògòli@
@injure@|@jogin@
@injured person@|@joginbaatò@
@injustice@|@nanbara@
@ink@|@lankiri@
@in-law@|@buran@
@inn@|@dunanjiginso@
@innocent@|@jurumuntan@
@insane person@|@fatò@
@insanity@|@fa@
@insect@|@fènnyènama@
@insecticide@|@sosofagalan@
@inside@|@kònò@
@insolent@|@malobali@
@install@|@sigi@
@instead of@|@nò na@
@institute@|@sigi@
@insult@|@nenini@
@integrity@|@tilennenya@
@intelligent@|@kegun@
@intention@|@nganiya@
@intercessor@|@soronadonna@
@interesting@|@di@
@Internet@|@èntèrinèti@
@interpreter@|@dalaminè@
@interrogative@|@nyininkalan@
@interrogative phrase@|@nyininkalikumasen@
@intestine@|@nugu@
@intoxication@|@nyènamini@
@introduce@|@jira@
@introduction@|@daminè kuma@
@investigate@|@fèsèfèsè@
@investigation@|@sègèsègèli@
@invisible@|@yebali@
@invite@|@wele@
@Iraq@|@Iraki@
@iron@|@pase@
@iron cooking pot@|@nègèdaga@
@ironing@|@paseli@
@irritate@|@tòòrò@
@is your father fine?@|@i fa ka kènè?@
@is your mother fine?@|@i ba ka kènè?@
@Isa@|@Isa@
@Islam@|@silamèdiinè@
@Islamic law@|@silamèsariya@
@Islamic school@|@madarasa@
@island@|@gun@
@it@|@a@
@IT@|@ènfèrimatiki@
@Italian@|@Italiden@
@Italy@|@Itali@
@it's cold@|@nènè bè@
@it's hot@|@funteni bè@
@it's not hot@|@funteni tè@
@jackal@|@kungowulu@
@jacket@|@wèsiti@
@jail@|@kaso@
@January@|@zanwuye@
@Japan@|@Zapòn@
@jaundice@|@sayi@
@Javel@|@zaweliji@
@javelin@|@tama@
@javel's water@|@zaweliji@
@jaw@|@dakala@
@jealous@|@kele@
@jealousy@|@keleya@
@jembe drum@|@jenbe@
@Jew@|@Yahutu@
@jewellery@|@masiri@
@job@|@baara@
@jockey@|@sobolila@
@join@|@sègèrè@
@joke@|@tulonkèkuma@
@journey@|@taama@
@joy@|@nyagali@
@Judaism@|@Yahutuya@
@judge@|@kiiritigèla@
@judgement@|@kiri@
@judgement day@|@kiridon@
@judo@|@zido@
@July@|@zuluye@
@jump@|@pan@
@jump about@|@pan-pan@
@junction@|@sirakunbèn@
@June@|@zuwèn@
@junkie@|@dòrògutala@
@just@|@tilennen@
@Ka'aba@|@alikaaba@
@Kapok tree@|@bana@
@Kassonké@|@kasònka@
@Kayes@|@Kayi@
@keep@|@mara@
@kenya@|@keniya@
@kerosene@|@peteròli@
@kettle@|@selidaga@
@key@|@konnègè@
@kg@|@kilo@
@kick@|@tan@
@kid@|@baden@
@kid (goat)@|@bageren@
@kidal@|@kidali@
@kill@|@faga@
@killer@|@mògòfagala@
@kilogramme@|@kilo@
@kilometre@|@kilomètèrè@
@kind@|@sugu@
@king@|@faama@
@kingdom@|@masakèjamana@
@kingship@|@masaya@
@kitchen@|@gabugu, gwabugu@
@kitten@|@jakumaden@
@knee@|@kunbere@
@kneel@|@nyòngiri@
@knife@|@muru, natigèmuru@
@knife blade@|@murukisè@
@knife handle@|@murukala@
@knock@|@kònkòn@
@knock down@|@bìn@
@knot@|@siri@
@know@|@dòn@
@knowledge@|@dònko@
@kora@|@kòra@
@korea@|@kore@
@koulikoro@|@kulukòrò@
@koutiala@|@kucala@
@kuwait@|@kowèti@
@labour@|@baarakèbolo@
@lack@|@kò'li@
@lack of appetite@|@dumunibaliya@
@lack of hygiene@|@saniyabaliya@
@lack of money@|@waridèsè@
@lack of rain@|@sanjidèsè@
@lack of respect@|@bonyabaliya@
@ladder@|@yèlènyèlènnan@
@ladel@|@galama@
@lamb@|@sagasogo@
@lamentation@|@manyumatòkan@
@lamp@|@lanpan@
@lance@|@tama@
@land@|@jigin@
@landing strip@|@pankurunjiginkènè@
@language@|@kan@
@lantern@|@lanpan@
@lap@|@nèmu@
@large town@|@galodugu@
@last@|@tèmènen@
@last year@|@salon@
@last-born@|@sinnaban@
@lather@|@kanga@
@latrine@|@sutura@
@laugh@|@yèlè@
@laughter@|@yèlèkan@
@law@|@sariya@
@laziness@|@salaya@
@lazy@|@kolon@
@lazy person@|@salabaatò@
@lead@|@nyèminè@
@lead astray@|@lafili@
@leader@|@nyèmaa@
@leadership@|@nyèminèbaaya@
@leaf@|@bulu@
@lean@|@jèngèn@
@learn@|@kalan@
@learn by heart@|@durusi@
@leather@|@wòlo@
@leather worker@|@garankè@
@leave@|@bila@
@lebanese@|@surakanin@
@left@|@numan@
@left hand@|@numanbolo@
@leg@|@sen@
@legal@|@dagalen@
@lemon@|@lenburu@
@lend@|@singa@
@length@|@janya@
@lengthen@|@janya@
@leper@|@kunatò@
@leprosy@|@kuna@
@lesson@|@kalansen@
@let go@|@labila@
@let go of@|@bila@
@letter@|@bataki@
@letter of alphabet@|@siginiden@
@lettuce@|@salati@
@lexicology@|@danyèkalan@
@lexicon@|@danyègafe@
@liana@|@nsaban@
@liberate@|@hòrònya@
@liberator@|@tilabaa@
@liberia@|@liberiya@
@liberty@|@hòrònya@
@library@|@gafekalanyòrò@
@libya@|@libi@
@licence@|@yamaruyasèbèn@
@lick@|@nèmu@
@lid@|@datugulan@
@lie@|@nkalon@
@lier@|@nkalontigèla@
@life@|@nyènamaya@
@lift up@|@kòròta@
@light@|@kènèbòlan@
@light green@|@nuguji@
@light weight@|@finye@
@lightening@|@sanpèrèn@
@lighter cigarette@|@birike@
@like@|@i n'a fò@
@like that@|@tèn@
@lime@|@lenburu@
@limit@|@dàn@
@line@|@ci@
@lineage@|@buruju@
@linguist@|@kankodònna@
@linguistics@|@kankodònniya@
@lion@|@jara@
@lip@|@dawolo@
@liquid@|@jima@
@list@|@lisi@
@listen@|@lamèn@
@listener@|@lamènnikèla@
@listening@|@lamènni@
@literacy@|@balikukalan@
@literacy centre@|@balikukalanso@
@litre@|@litiri@
@little@|@misèn@
@little by little@|@dòònin-dòònin@
@live@|@balo@
@live at@|@sigi@
@liver@|@binye@
@livestock farmer@|@baganmarala@
@livestock farming@|@baganmara@
@living@|@nyènama@
@lizard@|@basa@
@load@|@doni@
@loaf of bread@|@nbuurukun@
@local@|@duguden@
@lock@|@sògò@
@locust@|@ntòn@
@log@|@jirikuru@
@london@|@lònduru@
@long@|@jàn@
@long ago@|@fòlòfòlò@
@look@|@filè@
@look at@|@lajè@
@look behind@|@kòfilè@
@look for@|@nyini@
@look like@|@bò ... fè@
@look towards@|@sin@
@lord@|@matigi@
@lorry@|@kamiyòn@
@lose@|@tunun@
@lose weight@|@fasa@
@lot@|@caman@
@lottery@|@loteri@
@loud speaker@|@kankòròtalan@
@love@|@kanu@
@lover@|@sungurun@
@luck@|@kunna@
@luggage@|@minèn@
@lunch@|@tilelafana@
@lung@|@fogonfogon@
@lute@|@ngòni@
@luxembourg@|@likisanburu@
@macaroni@|@makòròni@
@machete@|@bese@
@machine@|@mansin@
@mad@|@fatò@
@madagascar@|@madagasikari@
@madman@|@fatò@
@madness@|@fa@
@magazine@|@gafe@
@magic spell@|@kilisi@
@magic water@|@nasiji@
@magician@|@jinèmori@
@magistrate@|@sariyatigi@
@magnifying glass@|@bonyalan@
@mahogany@|@jala@
@maize@|@kàba@
@make@|@dilan@
@make a mistake@|@fili@
@make an effort@|@jija@
@make clear@|@jè@
@make easy@|@nògòya@
@make fun of@|@nyagaribò@
@make joyful@|@nisòndiya@
@make known@|@gansi@
@make pleasing@|@diya@
@maker@|@dilabaa@
@malaria@|@sumaya@
@malaysia@|@malèsi@
@male@|@c'è@
@mali@|@mali@
@malian@|@maliden@
@malnutrition@|@balodèsè@
@man@|@cè, maa, mògò@
@manage@|@mara@
@manding@|@mandenkan@
@manger@|@waaro@
@mango@|@mangoro@
@mango tree@|@mangorosun@
@manhood@|@cèya@
@manioc@|@bananku@
@many@|@caman@
@marabout@|@mori@
@march@|@marisi@
@mare@|@sòmuso@
@mark@|@nò@
@mark doesn't speak bambara@|@mark tè bamanankoan fò@
@mark is 25 years old@|@mark ye san mugan ni duuru ye@
@mark is a volunteer@|@mark ye wolònteri ye@
@mark is going to the office@|@mark bè taa biro la@
@mark is living in Gao@|@mark sigilen bè Gao@
@Mark is not from Mali@|@Mark tè bò Mali la@
@market@|@sugu@
@market day@|@dògòdon@
@market place@|@sugufyè@
@mark's wife is a student@|@mark muso ye kalanden ye@
@marriage@|@furu@
@marriage ceremony@|@kònyò@
@marriage certificate@|@furusèbèn@
@marriage chamber@|@kònyòso@
@marriage intermediary@|@furusentigi@
@married@|@furulen@
@marrow@|@jë@
@marry@|@furu@
@marvelous@|@kabakoma@
@mask@|@masiki@
@mason@|@masòn@
@massage@|@digi-digi@
@master@|@makè@
@mat@|@dèbèn@
@match@|@takala@
@maternity hospital@|@musojiginso@
@matter@|@ko@
@mature@|@kògò@
@mauritania@|@moritani@
@mauritius@|@ilimorisi@
@may@|@mè@
@may we have a good night@|@k'an kelen kelen wuli, ka dugu ñuman je@
@maybe@|@lala@
@mayonnaise@|@mayònezi@
@mayor@|@mèrè@
@me@|@n@
@meal@|@fana@
@meaning@|@kòrò@
@means@|@fè'èrè@
@means of transport@|@bolifèn@
@measles@|@nyònin@
@measure@|@suma@
@meat@|@sogo@
@mecca@|@makan@
@medicine@|@fura@
@medium@|@hakè@
@meet@|@kunbèn@
@meeting@|@lajèli@
@melon@|@melòn@
@member of parliament@|@depite@
@memorize@|@durusi@
@memory@|@hakili@
@men@|@cèw@
@meningitis@|@kanjabana@
@menstruation@|@laada@
@mental arithmetic@|@kunnajate@
@mental illness@|@jinèbana@
@merchandise@|@feerekèfèn@
@merchant@|@jula@
@merciful@|@makaritigi@
@merciless@|@makaribali@
@mercury@|@mèrèkiri@
@mercy@|@makari@
@merit@|@ka kan ni ... ye@
@message@|@ci@
@messenger@|@ciden@
@metal@|@nègè@
@metal sheet@|@tòli@
@method@|@fè'èrè@
@metre@|@mètèrè@
@metric ton@|@tòni@
@micro-credit bank@|@nyèsigiso@
@microphone@|@kumabaranin@
@midday@|@tilesekuncè@
@middle@|@cèmancè@
@middle finger@|@bolokòni jan@
@midnight@|@dugutila@
@midwife@|@jiginnimuso@
@milk@|@nònò@
@milk breast@|@sinji@
@milk powdered@|@nònòmugu@
@mill@|@nyòsilan@
@millet@|@nyò@
@millet beer@|@nyòdòlò@
@millimeter@|@milimètèrè@
@million@|@miliyòn@
@minaret@|@mirabu@
@mind@|@hakili@
@minibus@|@sotarama@
@minister@|@minisiri@
@ministry@|@minisiriso@
@miniyanka@|@minyankakan@
@mint@|@nanaye@
@minus sign@|@tiirinin@
@minute@|@miniti@
@minyanka@|@mamara@
@miracle@|@kabako@
@misery@|@faantanya@
@misfortune@|@jahadi@
@miss@|@jè'@
@mission@|@cidenya@
@missionary@|@ciden@
@mistake@|@hàkè@
@mistress@|@mamuso@
@mix@|@nyagami@
@mixed-race person@|@metisi@
@mock@|@nyagaribò@
@mockery@|@nyagari@
@mohammed@|@mahamadu@
@moment@|@sanga@
@monday@|@ntènen, ntènèn, tènèn@
@money@|@wari@
@monkey@|@bubunin@
@monogamous man@|@musokelentigi@
@month@|@kalo@
@mood@|@nisòn@
@moon@|@kalo@
@moonlight@|@kalojè@
@moor@|@suraka@
@mop@|@jòsi@
@moped@|@mobilèti@
@mopti@|@moti@
@moral@|@ladamuni@
@morning@|@sògòma@
@morocco@|@maròku@
@morpheme@|@kumaden@
@mortar@|@kòlon@
@mosque@|@misiri@
@mosquito@|@soso@
@mosquito net@|@sanke@
@mother@|@ba, ma, mama, mama@
@mother tongue@|@todunkan@
@mothers@|@denbaw@
@motive@|@kün@
@motor@|@motèrè@
@motorbike@|@moto@
@motto@|@dasirikan@
@mould@|@mulu@
@mountain@|@kulu@
@mouse@|@nyinè@
@moustache@|@dasi@
@mouth@|@da@
@move@|@yèlèma@
@move away@|@sòbò@
@move towards@|@madon@
@movie@|@siniman@
@movie theater@|@sinimanso@
@much@|@ca@
@mucus@|@nunji@
@mud@|@pòtòpòtò@
@muddy@|@bògòma@
@muezzin@|@misiriwelela@
@muhammad@|@mahamadu@
@mule@|@faliba@
@multiplication@|@sigiyòròmali@
@multiply@|@bugun@
@mum@|@mama@
@murder@|@mògòfaga@
@murderer@|@mògòfagala@
@muscle@|@bu@
@mush up@|@nòòni@
@music@|@fòli@
@musical instrument@|@fòlifèn@
@musician@|@fòlikèla@
@muslim@|@selibaa, silamè@
@must@|@kan@
@mustard@|@mutarde@
@mute@|@bobo@
@mutton@|@sagasogo@
@my@|@n@
@my family@|@n ka denbaya@
@my last name is Jalo@|@N jamu Jalo@
@my name is Bubakar@|@n tògò Bubakar@
@my wife is from Mauritania@|@n muso bè bò Mauritanie@
@my wife isn't a teacher@|@n muso tè karamògò ye@
@mystery@|@gundo@
@nail@|@pònti@
@nail clippers@|@sònitigèlan@
@nail to@|@gengen@
@naked@|@farilankolon@
@name@|@tògò@
@name giving ceremony@|@denkundi@
@nape@|@tònbara@
@narrow@|@dògòman@
@nasal vowel@|@nunadafalen@
@nasalisation@|@nunnafòli@
@nasalise@|@nunnafò@
@nastiness@|@juguya@
@nation@|@siya@
@national language@|@fasokan@
@near to@|@kèrè fè@
@necessary@|@kan@
@necessity@|@wajibi@
@neck@|@kan@
@need@|@mago@
@needle@|@miseli@
@neighbour@|@siginyògòn@
@nest@|@nyaga@
@net@|@jò'@
@netherlands@|@peyiba@
@never@|@abada@
@nevertheless@|@o bèè n'a ta@
@new@|@kura@
@new zealand@|@nuwèli zelandi@
@newborn baby@|@denkura@
@news@|@kibaru@
@newspaper@|@kunnafonisèbèn@
@next@|@nata@
@next to@|@kère fe@
@ngo@|@kènyèrèyejèkulu@
@niamey@|@nyamè@
@niger@|@nizèri@
@niger river@|@joliba@
@nigeria@|@nizeriya@
@night@|@su@
@nile perch@|@salen@
@nine@|@kònòntòn@
@nineteen@|@tan ni kònòntòn@
@ninety@|@bi, bikònòntòn, kònòntòn@
@ninth@|@kònòntònnan@
@no@|@ayi@
@no trouble@|@tòòro tè@
@noble@|@hòròn@
@noise@|@mankan@
@none@|@si@
@noon@|@tile@
@noone@|@mògò si@
@noproblems at all@|@tòòro si tè@
@north@|@saheli@
@northern@|@saheliyanfan@
@norway@|@nòriwèzi@
@nose@|@nun@
@nostalgia@|@nyènafin@
@nostril@|@nunwo@
@not well@|@u man nyi@
@not yet@|@fòlò@
@notebook@|@kaye@
@nothing@|@foyi@
@nought@|@fu@
@noun@|@tògò@
@nourish@|@balo@
@november@|@nowanburukalo@
@now@|@sisan@
@nudity@|@lankolonya@
@number@|@nimòrò@
@numeral@|@hakèjatelan@
@nurse@|@furakèla@
@nursery@|@denmarayòrò@
@nylon@|@nilòn@
@oar@|@jufa@
@oath@|@kalili@
@obedience@|@kanminèli@
@obey@|@kolo@
@object@|@minèn@
@objective@|@kün@
@obligation@|@wajibi@
@oblige@|@karaba@
@observation@|@filèli@
@obstacle@|@kunbalan@
@obtain@|@sò'rò@
@obtuse angle@|@selekeba@
@occupation@|@baara@
@ocean@|@kògòjiba@
@october@|@òkutòburukalo@
@offence@|@hàkè@
@offend@|@baga@
@offender@|@hakèkèla@
@offer@|@ni@
@offering@|@nilifèn@
@office@|@biro, cakèda@
