@English@|@Slovak@
@everyday@|@každodenný@
@everything@|@všetko@
@evidence@|@dôkaz@
@evil@|@zlý@
@exact@|@presný, rovný@
@exactly@|@presne@
@exam@|@skúška@
@examination@|@skúška, vyšetrenie@
@examine@|@skúmať@
@example@|@príklad@
@example (set a good e.)@|@dávať dobrý príklad@
@examples@|@príklady@
@excellent@|@výborne@
@exception@|@výnimka@
@exciting@|@napínavý, vzrušujúci@
@exclusion@|@vylúčenie@
@excursion@|@exkurzia@
@excuse@|@ospravedlnenie, ospravedlniť@
@execute@|@vykonať@
@execution@|@vykonanie@
@exercise@|@cvičiť@
@exhaustion@|@únava@
@exhibition@|@výstava@
@exist@|@existovať@
@exit@|@koniec, východ, výstup@
@exotic@|@exotický@
@expect@|@domnievať sa, predpokladať@
@expenses@|@náklady, výdavky@
@expensive@|@drahý, nákladný@
@experience@|@zažiť, zážitok@
@explain@|@vysvetliť@
@explanation@|@vysvetlenie@
@exploit@|@vykorisťovať@
@express@|@vyjadriť@
@extend@|@natiahnuť, rozšíriť@
@extra@|@extra@
@extreme@|@nehorázny@
@eye@|@oko@
@eyebrow@|@obočie@
@eyes@|@oči@
@eyesight@|@zrak@
@fable@|@bájka@
@face@|@tvár@
@face down@|@umlčať@
@face to face@|@tvárou v tvár@
@fact@|@naozaj@
@fail@|@nemať@
@failure@|@nezdar@
@faint@|@mdlý@
@fair@|@jarmok, načisto@
@fake@|@falšovať@
@fall out (v.)@|@vypadnúť@
@false@|@falošný, nesprávny@
@false alarm@|@planý poplach@
@falsify@|@falšovať@
@family@|@rodina@
@fancy@|@vkus@
@fantastic@|@fantastický@
@fantasy@|@fantázia@
@far@|@ďaleko, ďaleký@
@far away@|@ďaleko, veľmi ďaleko@
@far from@|@vôbec nie@
@farewell@|@zbohom@
@farm@|@hospodárstvo@
@farmer@|@farmár@
@fashion@|@móda, módny@
@fashionable@|@moderný, módny@
@fast@|@chytro, rýchlo, rýchly@
@fat@|@hrubý, tučný, tuk@
@fate@|@osud@
@father@|@otec@
@father-in-law@|@svokor@
@fatigue@|@únava, únava@
@fatness@|@tučnosť@
@favour@|@želať@
@fear@|@strach@
@feastday@|@sviatok@
@February@|@február@
@fee@|@plat, poplatok@
@feel@|@cítiť@
@feel badly@|@ľutovať@
@feelings@|@city@
@fellow@|@človek, chlap@
@female@|@žena@
@fence@|@šerm@
@ferocity@|@divokosť@
@ferry@|@trajekt@
@ferryman@|@prievozník@
@fever@|@horúčka@
@fiancé@|@snúbenec@
@fiancée@|@snúbenica@
@fickle@|@vrtkavý@
@field@|@pole@
@field research@|@primárny výskum@
@fifteen@|@pätnásť@
@fifteenth@|@pätnásty@
@fifth@|@piaty@
@fiftieth@|@päťdesiaty@
@fifty@|@päťdesiat@
@fight@|@boj, bojovať@
@fight o.'s way through@|@prebiť sa@
@fighter@|@bojovník, stíhačka@
@fighting@|@bojový@
@figure@|@čislica, obrazec, obrázok, postava, tvár, značka, znak@
@files@|@archív@
@fill@|@plniť@
@film@|@film@
@finally@|@konečne, nakoniec@
@find@|@nájsť@
@find out@|@rozlúštiť@
@finding@|@hľadanie@
@fine@|@fajn@
@fine!@|@dobre!@
@finger@|@prst@
@fingers@|@prsty@
@finish@|@dokončiť, koniec, záver@
@finished@|@hotový, ukončený@
@fireplace@|@krb@
@fireworks@|@ohňostroj@
@firm@|@firma, obchod, podnik@
@firmness@|@spoľahlivosť@
@first@|@najskôr, prvý@
@first name@|@krstné meno@
@first sight@|@na prvý pohľad@
@firth@|@morská úžina@
@fish@|@loviť ryby, ryba@
@fishing rod@|@udica@
@fish-roe@|@ikry@
@fit@|@hodiť sa, prispôsobiť@
@five@|@päť@
@flame@|@plameň@
@flat@|@byt@
@flattering@|@lichotivý@
@flea market@|@blší trh@
@flight@|@let@
@flight schedule@|@letový poriadok@
@flight ticket@|@letenka@
@floor@|@dlážka, podlaha, poschodie@
@florist@|@kvetinárka@
@flower@|@kvet@
@fly@|@let, letieť@
@flying adder@|@vážka@
@fog@|@hmla@
@foil@|@prekaziť@
@fold@|@zložiť@
@follow@|@chápať, nasledovať@
@folly@|@pochabosť@
@fondle@|@hýčkať@
@font@|@písmo@
@food@|@jedlo, potrava@
@food-stuffs@|@potraviny@
@fool@|@blázon, šašo@
@foot@|@noha@
@football@|@fotbal, futbal@
@footwear@|@obuv@
@for@|@lebo, pre, pretože, za@
@for a while@|@na chvíľu@
@for example@|@napríklad@
@for instance@|@napríklad@
@for that reason@|@preto@
@for the moment@|@zatiaľ@
@for the sake of@|@kvôli@
@force@|@nútiť@
@foreign@|@zahraničný@
@Foreign Office@|@Ministerstvo Zahrani@
@foreigner@|@cudzinec@
@foreman@|@predák@
@forerunner@|@predchodca@
@forest@|@les@
@foreword@|@predhovor@
@forge@|@falšovať@
@forgery@|@falzifikát@
@forget@|@zabudnúť@
@forgot@|@zabudol@
@forgotten@|@zabudnutý@
@forlorn@|@zúfalý@
@form@|@tvar@
@forsaken@|@opustený@
@forth@|@ďalej@
@fortunately@|@našťastie@
@fortune-teller (f.)@|@veštkyňa@
@forward@|@dopredu, pokrokový, vpredu@
@forwards@|@vpred, vpredu@
@fountain@|@prameň@
@four@|@štyri@
@fourteen@|@štrnásť@
@fourteenth@|@štrnásty@
@fourth@|@štvrtý@
@fourty@|@štyridsať@
@fourtyth@|@štyridsiaty@
@fox@|@líška@
@fragrance@|@vôňa@
@France@|@Francúzsko@
@fraud@|@defraudácia@
@free@|@bezplatná, neobsadený, slobodný, voľný@
@free delivery@|@bezplatné dodanie@
@free sample@|@bezplatná vzorka@
@freedom@|@sloboda@
@French@|@francúzsky@
@fresh@|@čerstvý@
@Friday@|@piatok@
@fridge@|@chladnička@
@fried@|@vyprážaný@
@friend@|@kamarát, priateľ, priateľka@
@friendly@|@priateľský@
@friends@|@priatelia@
@friendship@|@priateľstvo@
@frock@|@šaty@
@from@|@od, z@
@frontier@|@hranica@
@fruit@|@ovocie@
@fruitless@|@márny@
@frustration@|@nezdar, zmarenie@
@fugitive@|@utečenec@
@fulfilment@|@vykonanie@
@full@|@plno, plný@
@fun@|@veselý@
@funny@|@smiešny, zábavný@
@fur@|@srsť@
@furniture@|@nábytok@
@further@|@ďalej@
@futile@|@márny@
@futility@|@márnosť, ničotnosť@
@future@|@budúcnosť@
@gadget@|@prístroj@
@gag@|@vtip@
@gambado@|@čižmy@
@gambler@|@hráč@
@game@|@hra, vtip@
@game room@|@herňa@
@garden@|@záhrada@
@gas@|@plyn@
@gas-tank@|@plynojem@
@gastritis@|@žalúdočný katar@
@gate@|@brána@
@gaudy@|@nevkusný@
@gear@|@prístroj@
@general@|@obyčajný, všeobecný@
@gentle@|@jemný, láskavý, mierny@
@gentleman@|@vzeldanec@
@German@|@nemecký@
@Germany@|@Nemecko@
@get@|@dostať, stať sa, získať@
@get a cold@|@prechladnúť@
@get confused@|@popliesť si@
@get hold of@|@zmocniť sa@
@get into debt@|@robiť dlhy@
@get on@|@nastúpiť@
@get out@|@vystúpiť@
@get sunburnt@|@opáliť sa@
@get to know@|@poznať@
@get together@|@radiť sa@
@ghastly@|@príšerný@
@ghost@|@strašidlo@
@gift@|@dar@
@gift of remembrance@|@darček na pamiatku@
@gifts@|@nadanie@
@giggling@|@smiech@
@gird@|@opásať@
@girl@|@dievča@
@girl friend@|@priateľka@
@girl-friend (partner)@|@frajerka@
@give@|@dať@
@give the game away@|@prezradiť plán@
@give up@|@vzdať sa@
@glacier@|@ľadovec@
@glamorous@|@čarovný@
@glance@|@pohľad, zbežne pozrieť@
@glass@|@pohár@
@glasses@|@okularie, okuliare@
@glide@|@kĺzať (sa), plachtiť@
@gloomy@|@chmúrny@
@glove@|@rukavica@
@gloves@|@rukavice@
@glow@|@tlieť@
@glue@|@glej, glejiť, lepidlo@
@glue up@|@zalepiť@
@gluttonous@|@nenásytný@
@gnat@|@komár@
@go@|@chodiť, ísť@
@go (imperative)@|@choď(te)@
@go mad@|@zblázniť sa@
@go out@|@vyjsť@
@goad@|@bodec, osteň@
@goal@|@cieľ, gól@
@goat@|@koza@
@god@|@boh@
@god-father@|@krstný otec@
@god-mother@|@krstná mať@
@gold@|@zlato, zlatý@
@golden@|@zlatý@
@Golden Pheasant (beer brand)@|@Zlatý Bažant@
@goldfish@|@zlatá rybka@
@golf@|@golf@
@golf club@|@golfová palica@
@good@|@dobre, dobro, dobrý, náležitý@
@Good bye@|@dovi, dovidenia@
@good day@|@dobrý deň@
@good evening@|@dobrý večer@
@good luck!@|@mnoho šťastia!@
@good morning@|@dobré ráno@
@good night@|@dobrú noc@
@good-for-nothing@|@darmošľap, darmožráč@
@good-natured fellow@|@dobrák@
@goodness@|@dobrota@
@goods@|@tovar@
@goof off@|@flákať sa@
@gooseberry@|@egreš@
@goose-flesh@|@husia koža, zimomriavky@
@gossip@|@klebetnica, klebety, reči@
@goulash@|@guláš@
@government@|@vláda@
@grace@|@pôvab@
@gradually@|@postupne@
@grandchildren@|@vnúčatá@
@granddaughter@|@vnučka@
@grange@|@hospodárstvo@
@grasp@|@chápať@
@grass@|@tráva@
@gravy@|@omáčka@
@graze@|@pásť (sa)@
@greasy@|@mazľavý@
@Great Power@|@Veľmoc@
@Greece@|@Grécko@
@greed@|@hltavosť, hrabivosť, lakomosť@
@greediness@|@hltavosť, hrabivosť, lakomosť@
@greedy@|@hladný, nenásytný, pažravý@
@green@|@zelený@
@greet@|@pozdraviť@
@greeting@|@pozdrav@
@grey@|@sivý, šedivý, šedý@
@grief@|@strasť@
@grievance@|@sťažnosť@
@grill@|@grilovať, ražeň@
@grind@|@zomlieť@
@grip@|@rúčka, stisk, uchopiť, zovrieť@
@groan@|@stenať, ston, vzdych@
@ground@|@dno, zem@
@group@|@skupina@
@grow@|@rásť@
@guard@|@stráž, strážiť, strážnik@
@guarded@|@obozretný@
@guardian@|@pestún, tútor@
@guess@|@tušiť@
@guesswork@|@dohady@
@guided tour@|@prehliadka@
@guilt@|@vina@
@guitar@|@gitara@
@gun@|@puška@
@gut@|@vybrať, vypitvať@
@gym-shoes@|@cvičky@
@habitation@|@bydlisko@
@hag@|@bosorka, čarodejnica@
@hailstorm@|@búrka s krúpami@
@hair@|@chlp, srsť, vlas, vlasy@
@half@|@polovica, polovičný@
@hall@|@hala, sieň@
@ham@|@šunka@
@hand@|@ruka@
@handball@|@hádzaná@
@handkerchief@|@kapesník, vreckovka@
@handle@|@držadlo@
@hands@|@ruky@
@hand-stand@|@stojka@
@hang@|@obesiť, visieť, zavesiť@
@hanger@|@vešiak@
@haphazard@|@náhoda, náhodilý@
@happen@|@prihodiť sa@
@happy birthday@|@všetko najlepšie k narodeninám@
@happy to oblige@|@rado sa stalo@
@hard@|@tvrdý@
@hard-disk@|@pevný disk@
@hardness@|@odolnosť@
@hardy@|@otužilý@
@harmful@|@škodlivý@
@harmless@|@neškodný@
@harsh@|@drsný, príkry@
@hart@|@jeleň@
@hat@|@klobúk@
@hate@|@nenávisť@
@hate (v.)@|@nenávidieť@
@hateful@|@nenávistný@
@hatred@|@nenávisť@
@have@|@mať@
@have not@|@nemať@
@have to@|@musieť@
@hawk@|@jastrab@
@haze@|@hmla, opar, zákal@
@he@|@on@
@he can@|@môže@
@he does@|@robí@
@he forgets@|@zabudne@
@he goes@|@ide, on ide@
@he has@|@má@
@he is@|@on je@
@He is coming here@|@Ide sem@
@he knows@|@on vie@
@he lives@|@býva@
@he makes@|@robí@
@he must@|@musí@
@he sees@|@vidí@
@he wants@|@chce@
@he works@|@pracuje, robí@
@head@|@hlava@
@headache@|@bolenie hlavy, bolesť hlavy@
@healthy@|@zdravý@
@hear@|@počuť@
@heartly@|@srdečný@
@heavy@|@tažký@
@height@|@výška@
@heir@|@dedič@
@heiress@|@dedička@
@helicopter@|@helikoptéra@
@hello!@|@ahoj!, haló!@
@help@|@pomoc, pomôcť@
@help me@|@pomôžte mi@
@helpless@|@bezmocný@
@her@|@jej@
@herbal@|@herbár@
@herdsman@|@pastier@
@here@|@tu@
@hereafter@|@budúcnosť@
@hereditary@|@dedičný@
@heredity@|@dedičnosť@
@heresy@|@kacírstvo@
@heretical@|@kacírsky@
@herewith@|@týmto@
@heritage@|@dedičstvo@
@hero@|@bohatier, hrdina@
@hesitation@|@váhanie@
@hiccup@|@čkanie@
@hide@|@skryť@
@hide-and-seek@|@hra na schovávačku@
@hideaway@|@úkryt@
@hideous@|@príšerný, škaredý@
@hill@|@kopec, návršie@
@hillside@|@stráň@
@him@|@jeho, jemu@
@hip@|@bok@
@his@|@jeho@
@historian@|@dejepisec@
@history@|@dejepis@
@hit@|@udrieť@
@hog@|@prasa@
@hold@|@držať@
@holder@|@držadlo@
@holiday@|@dovolenka, sviatok@
@home@|@domov@
@honest@|@čestný, počestný, statočný@
@honey@|@med@
@honourable@|@počestný@
@hope@|@dúfať, dúfať (v.), nádej, nádej (n.)@
@horn@|@roh@
@horrible@|@hrozný, strašný@
@horror@|@des, hrôza@
@horse@|@kôn, kôň@
@hospital@|@nemocnica@
@hospitalization@|@hospitalizácia@
@hot@|@horúci@
@hot dog@|@párok v rožku@
@hotel@|@hotel@
@hour@|@hodina@
@house@|@dom@
@household@|@domácnosť@
@housing@|@príbytok@
@how@|@ako@
@how are you/You?@|@ako sa máš/máte?@
@How do you say it in Slovak?@|@Ako sa to povie po slovensky?@
@how long?@|@ako dlho?@
@however@|@avšak, predsa však, však@
@human being@|@človek@
@humour@|@humor@
@hundredth@|@stý@
@hunger@|@hlad@
@hungry@|@hladný@
@hunt@|@lov, loviť@
@hurry@|@ponáhľať (sa)@
@hurt@|@raniť, zranený@
@husband@|@manžel@
@hush@|@umlčať@
@I@|@ja@
@I agree@|@dohodol som, súhlasím@
@I am@|@ja som@
@I am travelling@|@cestujem@
@I believe you/him/her@|@verím ti/mu/jej@
@I can@|@môžem@
@I can't@|@nemôžem@
@I disagree@|@nesúhlasím@
@I do@|@robím@
@I don't agree@|@nesúhlasím@
@I drink@|@pijem@
@I eat@|@jem@
@I forget@|@zabudnem@
@I forgot to bring it@|@zabudla som to prini@
@I go@|@idem, ja idem@
@I guess@|@hádam@
@I have@|@mám@
@I know@|@ja viem@
@I live@|@bývam@
@I love you (nice)@|@ľúbim ťa@
@I love you (strong)@|@milujem ťa@
@I make@|@robím@
@I must@|@musím@
@I must not@|@nesmiem@
@I must not be proud@|@nesmiem byť pyšný@
@I see@|@vidím@
@I trust you@|@dôverujem ti@
@I try@|@pokúsim sa@
@I want@|@chcem@
@I will go@|@pôjdem@
@I wish@|@želám (si), želám si@
@I wish you@|@želám ti, želám vám@
@I wish you/You@|@želám ti/vám@
@I work@|@pracujem, robím@
@I would@|@by som@
@I would have to@|@musel by som@
@I would like to@|@Chcel by som@
@ice@|@ľad@
@ice cream@|@zmrzlina@
@ice hockey@|@hokej@
@ice-cold@|@ľadový@
@ID card@|@občiansky preukaz@
@idea@|@myšlienka, nápad, pojem@
@ideal@|@ideálny@
@identity@|@identita@
@idiot@|@hlupák, idiot@
@idle@|@nečinný, neúčinný@
@idle time@|@prestoj@
@if@|@ak, či, keby@
@if appropriate@|@prípadne@
@ignorant (of)@|@neoboznámený (s n.)@
@ignore@|@ignorovať@
@ill@|@chorý, škaredý@
@I'm going home@|@Idem domov@
@I'm going to town@|@Idem do mesta@
@image@|@podobenstvo, prirovnanie@
@immediate@|@okamžitý@
@immediately@|@hneď, okamžite@
@immigrant@|@prisťahovalec@
@impact@|@náraz, účinok@
@implement@|@náradie@
@import@|@dovoz@
@important@|@dôležitý@
@impossible@|@nemožný@
@impressed@|@nadšený@
@impression@|@dojem@
@improvement@|@zlepšenie@
@in@|@dnu, na, v, vnútri, za@
@in all likelihood@|@pravdepodobne@
@in fact@|@skutočnosti (v sk.), v skutočnosti, vlastne@
@in five weeks@|@za päť týždňov@
@in front of@|@dopredu, vpredu@
@in love@|@zamilovaný@
@in my opinion@|@podľa môjho názoru@
@in my view@|@podľa môjho názoru@
@in the end@|@dokonca@
@in the long run@|@napokon@
@in the middle@|@v prostriedku@
@in the morning@|@doobeda@
@in tune@|@naladený@
@in two weeks@|@za dva týždne@
@incidentally@|@mimochodom@
@include@|@obsahovať@
@income@|@dôchodok, plat@
@inconsequent@|@nedôsledný@
@inconsistent@|@nedôsledný@
@indeed@|@naozaj, samozrejme, skutočnosti (v sk.), v skutočnosti, však@
@indefinite@|@nekonečný@
@indisposed@|@chorý@
@ineffective@|@neúčinný@
@inelegant@|@nevkusný@
@infinite@|@nekonečný@
@influence@|@účinok@
@ingenious@|@duchaplný@
@ingenuity@|@duchaplnosť@
@inherit@|@dediť, zdediť@
@inheritance@|@dedičstvo@
@inhibit@|@prekaziť@
@initial@|@zavádzací@
@initialization@|@zavádzací@
@ink@|@atrament@
@innocent@|@nevinný@
@inoperative@|@neúčinný@
@inquiry@|@dotaz@
@insane@|@nepríčetný@
@insecure@|@neistý@
@insecurity@|@neistota@
@inside@|@dnu, donútra, vnútri@
@insight@|@nahliadnutie@
@insist@|@naliehať@
@insomnia@|@nespavosť@
@instead of@|@namiesto@
@insurance@|@poistenie@
@insurance company@|@poisťovňa@
@intact@|@nedotknutý@
@intelligent@|@inteligentný@
@intend@|@mať v úmysle, zamýšlať@
@interceptor@|@stíhačka@
@interest@|@záujem, zaujímať@
@interesting@|@zaujímavý@
@intermediary@|@sprostredkovateľ@
@international@|@medzinárodný@
@interview@|@interview, rozhovor, rozprava@
@intimate@|@súkromný@
@into oblivion@|@byť zabudnutý@
@invaluable@|@neoceniteľný@
@investigation@|@výskum@
@invitation@|@pozvanie@
@invite@|@pozvať@
@invoice@|@faktúra@
@iron@|@železo@
@irony@|@irónia@
@irresistible@|@neodolateľný@
@island@|@ostrov@
@it@|@to@
@it has@|@ono má@
@it is@|@ono je@
@it pleases me (pleased to meet you)@|@teší ma@
@italics@|@kurzíva@
@Italy@|@Taliansko@
@item@|@položka, prvok@
@its@|@jeho@
@it's necessary@|@treba@
@jacket@|@kabát, sako@
@jam@|@džem@
@January@|@január@
@Japan@|@Japonsko@
@Japanese@|@japonec, japonka@
@jaw@|@čeľusť, ďasno@
@jealous@|@žiarlivý@
@jealous (be j.)@|@žiarliť@
@jealousy@|@žiarlivosť@
@jeans@|@džíny@
@jeopardy@|@nebezpečenstvo@
@jest@|@vtip@
@jet plane@|@tryskáč@
@job@|@práca, zamestnanie@
@John Doe@|@radový občan@
@join@|@pripojiť, spojiť@
@joint@|@výčap@
@joke@|@vtip, žart, žartovať@
@jotter@|@zápisník@
@journal@|@vestník@
@journalist@|@žurnalista@
@journey@|@cesta@
@joy@|@radosť@
@joystick@|@pákový ovládač@
@juice@|@džús, šťava@
@juiced@|@opitý@
@July@|@júl@
@jump@|@skákať, skok@
@June@|@jún@
@just@|@práve, presne@
@just enough@|@akurát, presne@
@just now@|@práve teraz, pred chvíľou@
@justification@|@ospravedlnenie@
@keep smiling@|@vždy s úsmevom@
@kerchief@|@šatka@
@key@|@kľúč@
@keyboard@|@klávesnica@
@keypad@|@klávesnica@
@kill@|@zabiť@
@kilogram@|@kilo, kilogram@
@kilometre@|@kilometer@
@kind@|@láskavý, ohľaduplný@
@kind of@|@druh@
@kind-hearted@|@dobrácky@
@kindness@|@dobrota@
@kitchen@|@kuchyňa@
@kite@|@drak@
@knee@|@koleno@
@knees@|@kolená@
@knife@|@čepeľ, nôž@
@knock@|@klopať@
@know@|@vedieť@
@laboratorium@|@laboratórium@
@lack@|@nemať@
@lackey@|@lokaj@
@lad@|@chlapík@
@lad!@|@chlapče !@
@lady@|@dáma, žena@
@lag@|@oneskoriť sa@
@lament@|@bedákanie@
@land@|@pristáť@
@landscape@|@krajinka@
@lang-syne@|@dávno@
@language@|@jazyk@
@laptop@|@zápisnikový počítač@
@large@|@široký, veľký@
@lark@|@vtip@
@last@|@minulý, posledne, posledný, trvať@
@last Sunday@|@minulú sobotu@
@last week@|@minulý týždeň@
@last year@|@minulý rok@
@lastly@|@konečne@
@late@|@neskoro, neskorý, opozdený@
@later@|@neskôr@
@later on@|@neskoršie@
@Latin@|@latina@
@laugh@|@smiať sa@
@laugh at@|@smiať sa@
@laughter@|@smiech@
@launder@|@prať@
@laundry@|@práčovňa@
@lawyer@|@právnik@
@lay@|@neodborný@
@lay hands on@|@zmocniť sa@
@layman@|@neodborník@
@lay-off@|@vylúčenie z práce@
@leader@|@vedúci@
@learn@|@učiť sa@
@learned@|@učený@
@leather@|@koža, kožený@
@leather jacket@|@kožené sako@
@leave@|@odísť, opustiť, rozlúčenie@
@lecture (n.)@|@prednáška@
@left@|@ľavý@
@left (to the l.)@|@doľava@
@left-handed@|@ľavoruký@
@legacy@|@dedičstvo@
@legal@|@legálny@
@legs@|@nohy@
@lend@|@požičať, požičiavať@
@length@|@dĺžka@
@lesson@|@lekcia@
@let@|@nechať@
@let alone@|@nie to ešte@
@letter@|@list, písmeno@
@lettered@|@učený@
@letters@|@písomníctvo@
@liberty@|@sloboda@
@librarian@|@knihovník@
@licence@|@preukaz@
@lie@|@ležať, ležať (v.)@
@life@|@život@
@lift@|@výťah (US elevator), zdvihnúť@
@light@|@ľahký, rozsvietiť, svetlo, svetlý@
@light blue@|@bledomodrý@
@light yellow@|@svetložltý@
@lighter@|@zapaľovač@
@like@|@ľubiť, mať rád, želať si@
@like that@|@takto@
@likelihood@|@pravdepodobnosť@
@likely@|@pravdepodobne, pravdepodobný, spôsobilý, vhodný@
@limit@|@hranica, medza@
@lip@|@pera@
@lips@|@pery@
@lip-stick@|@tyčinka na pery@
@liquid@|@kvapalina@
@list@|@zoznam@
@literal@|@doslovný@
@literature@|@písomníctvo@
@litre@|@liter@
@little@|@malý@
@little later@|@trochu neskôr@
@live@|@bývať, dočkať sa, žiť@
@liver@|@pečeň@
@living@|@súčasný, žijúci@
@living room@|@obývačka@
@load@|@bremeno, naklád, nálož@
@loan@|@požičiavať, pôžička@
@local@|@tunajší@
@Local Area Network (LAN)@|@miestna počítačová s@
@lock@|@stavidlo, zamknúť@
@lodgings@|@byt v podnájme@
@loft@|@podkrovie, povala@
@log in@|@prihlásenie@
@log off@|@odhlásenie (relácie)@
@log on@|@prihlásenie@
@log out@|@odhlásiť (sa)@
@logistics@|@tylové zaistenie@
@loneliness@|@osamelosť@
@lonely@|@opustený@
@long@|@dlho, dlhý@
@long ago@|@dávno@
@long before@|@dávno predtým@
@long for@|@túžiť po (v.)@
@long time@|@dlho@
@longer@|@dlhšie@
@longing@|@silne túžiaci, túha, túžba (n.)@
@long-term@|@dlhodobý@
@long-term loan@|@dlhodobý úver@
@look@|@hľa, pohľad, výraz, vzhľad@
@look at@|@pozrite si@
@look for@|@hľadať@
@look forward to@|@tešiť sa na@
@look!@|@pozrite!@
@loose@|@nepresný, voľný@
@lose@|@stratiť@
@lot@|@veľa@
@love@|@láska, ľubiť@
@love (my l.)@|@miláčik@
@love (v.)@|@milovať@
@love-child@|@dieťa lásky@
@lovely@|@pôvabná@
@lover@|@milenka@
@love-token@|@prejav lásky@
@low@|@nízky@
@lowest@|@najnižší@
@luck@|@osud, štastie@
@luggage@|@batožina@
@lull@|@ticho@
@lunacy@|@pochabosť@
@lunatic@|@blázon@
@lunch@|@obed@
@lure@|@lákať, pokúšať, pokušenie@
@lurid@|@chmúrny@
@lying@|@klamný, lživý@
@machine@|@stroj, zariadenie@
@machinist@|@výrobca@
@madman@|@blázon@
@madness@|@pochabosť@
@magnifier@|@zosilňovač@
@magpie@|@straka@
@maiden name@|@dievčenské meno@
@mailgnant@|@zlostný@
@main@|@hlavný@
@main road@|@hlavná cesta@
@maintenance@|@údržba@
@make@|@robiť@
@maker@|@výrobca@
@malignant@|@nenávistný@
@man@|@človek, muž@
@man of letters@|@vzeldanec@
@man of property@|@boháč@
@manage@|@dokázať, kontrolovať, ovládať, vedieť@
@manipulate@|@falšovať@
@mankind@|@ľudstvo@
@manufacturer@|@výrobca@
@many@|@mnohí, mnoho, veľa@
@many a@|@nejeden@
@map@|@mapa@
@maple@|@javor@
@margarine@|@umelý tuk@
@marine@|@lodná, morská@
@mark@|@krížik, označiť@
@market@|@jarmočný, jarmok, obchod, trh@
@market economy@|@tržné hospodárstvo@
@market place@|@trhovisko@
@marriage@|@manželstvo, svadba@
@marry@|@ženiť (sa)@
@martial@|@bojový@
@marvel@|@div, zázrak@
@masculine@|@mužský@
@masculine (gram.)@|@mužského rodu@
@masseur@|@masér@
@mast@|@stožiar@
@Master of Arts@|@majster slobodných um@
@match@|@zápalka@
@matches@|@zápalky, zhodovanie@
@matchstick@|@drievko zápalky@
@mate@|@chlap@
@material@|@materiál@
@matrimony@|@manželstvo@
@matter@|@veci@
@mattress@|@matrac@
@maybe@|@azda, možno, vari@
@may-fly@|@vážka@
@mayonnaise@|@majonéza@
@me@|@mňa, mne@
@mean@|@znamenať@
@meanness@|@lakomosť@
@meanwhile@|@medzitým, zatiaľ@
@measure@|@merať@
@measurement@|@meranie@
@meat@|@mäso@
@meat and potatoes@|@mäso so zemiakmi@
@medicinal herbs@|@liečivé bylinky@
@meet@|@stretnúť@
@meeting@|@schôdza@
@melon@|@melón@
@member@|@člen@
@memory@|@pamäť, pamiatka, spomienka@
@menace@|@hrozba@
@mendacious@|@lživý@
@mention@|@zmieniť sa@
@merit@|@zaslúžiť (si)@
@mesh@|@oko, slučka@
@mess@|@kantína, neporiadok, zmätok@
@message@|@hlásenie@
@message (to give a m.)@|@odkázať@
@metal@|@kov@
@mettle@|@trvanlivosť@
@mewl@|@fňukať@
@microwave oven@|@mikrovlnná rúra@
@midday@|@poludnie@
@midnight@|@polnoc@
@mild@|@jemný, lahodný, mierny@
@military@|@bojový, vojenský@
@milk@|@mlieko@
@milk-tooth@|@mliečny zub@
@mill@|@mlyn, továreň@
@million@|@milión@
@milt@|@mlieč@
@mindful@|@dbajúci, pamätlivý@
@mindless@|@nedbajúci@
@mineral water@|@minerálka@
@minimally@|@minimálne@
@minister@|@kňaz, minister@
@ministry@|@ministerstvo@
@minority@|@menšina@
@minute@|@minúta@
@miracle@|@div, zázrak@
@mirth@|@smiech@
@miscalculation@|@nesprávny odhad@
@miscarriage@|@nezdar@
@miscellanous@|@rôzne@
@mishap@|@nehoda, nešťastie@
@misleading@|@klamný@
@miss@|@nemať, postrádať@
@Miss@|@slečna@
@miss the bus@|@prísť s krížikom po@
@mission@|@poslanie@
@mistake@|@chyba, omyl@
@mistake (make a m.)@|@chybiť, pomýliť sa@
@mistletoe@|@imelo@
@mistranslation@|@nesprávny preklad@
@mistrust@|@nedôvera, nedôverovať@
@misunderstanding@|@nedorozumenie@
@mix@|@miešať@
@mixed feelings@|@miešané pocity@
@mixture@|@zmes@
@moan@|@stenať, ston@
@mobile phone@|@mobilný telefón@
@model@|@model@
@moderator@|@sprostredkovateľ@
@moment@|@chvíľa, okamih@
@Monday@|@pondelok@
@money@|@peniaze@
@monstrous@|@príšerný@
@month@|@mesiac@
@monthly@|@mesačne, mesačný@
@montly balance@|@mesačná súvaha@
@mood@|@nálada@
@more@|@viacej@
@more (like)@|@skôr@
@more than@|@vyše@
@moreover@|@ďalej@
@morning@|@ráno@
@most likely@|@najskôr@
@mother@|@matka@
@mother-fucker@|@naničhodník@
@mother-fucker villain wretch@|@naničhodník@
@mother-in-law@|@svokra@
@motley@|@strakatý@
@motorcycle@|@motocykel@
@mountain@|@hora@
@moustache@|@fúzy@
@mouth@|@ústa@
@move@|@pohnúť (sa), pohyb, presťahovať (sa)@
@movement@|@pohyb@
@moving@|@vzrušujúci@
@Ms.@|@slečna@
@much@|@veľa, veľmi@
@mud@|@bahno@
@mug@|@hrnček@
@multitasking@|@viacúlohový@
@multitude@|@množstvo@
@murder@|@vražda@
@music@|@hudba@
@must@|@musieť@
@must not@|@nesmieť@
@mustard@|@horčica@
