@English@|@Somali@
@boulder@|@dhadhaab@
@boundary@|@soohdin, xad@
@bourgeois@|@burjuwaasi@
@bourgeoisie@|@burjuwaasiyad@
@bow@|@qaanso, qoolaab@
@bowl@|@baaquli@
@box@|@baaquli@
@boy@|@inan, shaab, wiil@
@boycott@|@qaadacaad@
@brackets@|@bilo@
@brain@|@maskax@
@brake@|@joojiye@
@branch@|@baadisooc, faraca, laan@
@brave man@|@geesi, hoodaar@
@bravery@|@geesinnimo, kelyaciirsasho@
@breach of promise@|@ballanbaajis@
@bread@|@kibis, kidaar, kimis, rooti@
@breadth@|@ballaadh, qiro, weyso@
@break@|@jab, jabniin, nasiino@
@break a date@|@googooy@
@break a promise@|@ballanbaaji@
@break in pieces@|@jejebi@
@break something@|@kharaabi@
@break to bits@|@break to bits@
@breakfast@|@afbilaw, foolbaxsi, hamuuntirasho, quraac@
@breaking@|@jebin, joojin@
@breast@|@laab, sakaar, sarrax, sarrax, shaf, shaf, xabad@
@breasts@|@caanaggaleen@
@breath@|@afuufo, naf, neef, ruux@
@breathe@|@neefso@
@breathlessness@|@hafto@
@breeze@|@layr, neecaw@
@bribe@|@callaal, laaluush@
@bribery@|@laaluush@
@brick@|@matooni@
@bride@|@aroosad@
@bride price@|@yarad@
@bridge@|@buunto, kaabad@
@brief news@|@jus@
@brim@|@afmeer, looli@
@bring@|@keen@
@bring back@|@labakaclee@
@bring home@|@hooyi@
@bring into accordance@|@waafaji@
@bring to destruction@|@halaaji@
@bring together@|@jiinguuri@
@bring up@|@barbaari@
@broad road@|@haloosi@
@broadcast@|@idaacad@
@broaden@|@ballaadhi@
@broom@|@minfiiq, salabo@
@brother@|@walaal@
@brotherhood@|@walaalnimo, walaaltinnimo@
@brown@|@ciid@
@bruise@|@jug@
@brush@|@buraash, minfiiq, salabo, tirtire@
@brushwood fence@|@ooda@
@buck@|@dabuula@
@bucket@|@kolay, koley@
@buckle@|@qadhabi@
@bud@|@man@
@budget@|@miisaaniyad@
@build@|@dhis, dhiso@
@build a partition@|@qoqob@
@builder@|@fuundi@
@building@|@daar, dhisid@
@building material@|@looxaan@
@building of stone@|@sar@
@bull@|@haramcas, he-camel@
@bullet@|@afrid, xabbad@
@bump@|@jibindhaw@
@bunch@|@rucub@
@bundle@|@bundad, bundad, guntin@
@burden@|@hagardaamo@
@burial@|@aas, duug, duugis@
@burn@|@cuudi, gub, gubo, holac@
@burnt food@|@gubnood@
@bury@|@aas, duug@
@bus@|@bas@
@bush@|@kayn@
@bushes@|@ay@
@business@|@biic, maslaxad@
@businessman@|@geddisley@
@but@|@laakiin, laakiinse@
@butter@|@burcad@
@butterfly@|@balanbaalis@
@buttermilk@|@ciir@
@buttock@|@dool@
@buttocks@|@bari, dabo, dib@
@button@|@guluus, qaluus@
@buy@|@iibso@
@buying@|@gadasho, gado, iibis@
@cage@|@qafas@
@cairn@|@taallo@
@calamity@|@belaayad@
@calculation@|@xisaab@
@calf@|@dibi, qaalin@
@calf of leg@|@sibir@
@caliph@|@khaliif@
@call@|@yeedh, yeer, yeer@
@call for help@|@muusaannaab@
@Call him (a name)@|@Isaga ku sheeg@
@call out@|@tannaagood@
@call to prayer@|@aadaan, aadan, addin@
@calm@|@degganaan@
@camel@|@awr, geel@
@camels@|@geel@
@campaign@|@olole@
@can@|@daasad@
@can I come in?@|@hooddi@
@Can you write it in English?@|@Ma ku qori kartaa af ingriisi?@
@canal@|@khoori@
@cancellation@|@tiraan@
@candle@|@shumac@
@cane@|@ul@
@cannibal@|@dadqalato@
@cannon@|@madfac@
@canteen@|@buraashad@
@capability@|@awood, hawlkarnimo, hawlkarnimo, tabaro@
@capable person@|@hawlkar@
@capacity@|@qaad, qaatin@
@capacity of the stomach@|@cir@
@capital@|@lafo@
@capital (money)@|@raasumaal@
@capital city@|@caasimadda@
@capitol city@|@magaalmadax@
@captain@|@dhamme@
@captive@|@boojimo@
@capture@|@boojin, halqafi@
@car@|@fatuurad, gaadhi, gaari@
@carbon@|@kaarbon@
@card@|@kaarto@
@care@|@xannaanad, xannaano@
@care into the shade@|@hari@
@carefulness@|@feejigaan, feeyigaan, feeyignaan@
@careless@|@laahi@
@carelessness@|@laahinnimo, layac@
@caress@|@maraac, maraaci, salaax@
@cargo@|@shixnad, xamuul@
@carpenter@|@najaar@
@carpet@|@qadiifad@
@carry@|@sid@
@carry into the shade@|@hari@
@carry out@|@hawlgeli@
@carry things one by one@|@gurgur@
@cartridge@|@saanad@
@case@|@xaajo@
@cash@|@naqad, naqdi@
@cash flow@|@naqadsoogal@
@cashier@|@khasnaji, qasnaji, qasnaji@
@castrated camel@|@koron@
@casualities@|@khasaare@
@cat@|@bisad, dinad, dummad@
@catch@|@qab@
@catch fire@|@daaran@
@catch for oneself@|@qabso@
@catch hold of@|@qabo@
@category of stock@|@meesi@
@caterpillars@|@diir@
@caucasian@|@caddaan@
@cause@|@dhali, halraro@
@cause difficulties@|@qahar@
@cause hardship@|@silci@
@cause to dangle@|@raarici@
@cause to descend@|@deji@
@cause to disappear@|@libdhi, libqi, libri@
@cause to eat@|@cunsii@
@cause to expand@|@maaxi@
@cause to forget@|@sahwisii@
@cause to hate@|@nacsii@
@cause to meet@|@kulmi@
@cause to miss@|@ilduufi@
@cause to miss out@|@sahwisii@
@cause to pass over@|@dhaafi@
@cause to run@|@orodsii@
@cause to run dry@|@guri@
@cause to sit crouched@|@kuududi@
@cause trouble@|@leelleel@
@cause worry@|@murji@
@causing@|@dhalin@
@causing difficulties@|@caddibaad@
@ccoperative@|@danwadaag@
@ceiling@|@saqaf@
@celebrate@|@ciid, dabaaldeg, dabbaaldeg@
@celebration@|@dabbaaldeg, nabdaad@
@census@|@tirakoob@
@center@|@badhtan, bartame, bartan@
@center of emotion@|@hiyi@
@centipede@|@farabbadan@
@cents@|@sent@
@century@|@qarni@
@cereal@|@daafi@
@ceremony@|@xaflad@
@certainty@|@hubanti, sugnaan, xaqiiq, xaqiiqo@
@certanty@|@hubanti@
@chain@|@silsilad@
@chair@|@kursi@
@chairman@|@guddoomiye, guddoonshe@
@challenge@|@biime@
@champion@|@halaqdile@
@chance@|@baddal, beddel, beddelaad, bilkeedo, fursad, kaayeysi@
@chance (1)@|@isbeddel, qayir, qayiran@
@change@|@baddal, beddel, beddelaad, isbeddel, qayiran@
@changed@|@geddis@
@chant@|@ori@
@character@|@dabci, dabeec, dhalan, gaado, gaado, ged, qurjad@
@characteristics@|@saansaan, saansaan, saansaan, sansaan@
@charge@|@korsaar@
@charity@|@faxdi, sadaqad@
@charm@|@jamaad, xirsi@
@chase@|@buubso, C, cagaaji, ceerso, ceyri, ceyro, eri, raac@
@chasing@|@buubsad@
@chat@|@haasaawi, tororog, tororog, tororoglee, tororoglee@
@chat pleasantly@|@jalbeebtan@
@chatter@|@booyaan, nacna, nacnaclee, tororog, tororoglee@
@cheapness@|@rakhiis@
@cheat@|@khatal, khayaamee, khayaamee, khayaan, khiyaanadee@
@cheater@|@khaayin@
@cheating@|@cawarid, khayaano, khiyaano@
@cheek@|@dhaban@
@cheer@|@bogaad@
@cheerful conversation@|@bulxan@
@cheerful person@|@fallaax@
@cheese@|@farmaajo, gubun, jiss@
@chemistry@|@kiimika, kiimikada@
@cherry@|@midho@
@chest@|@B, gaaddo, hanqal, laab, sakaar, sakaar, sarrax, shaf, shaf, xabad@
@chestnut horse@|@xamar@
@chew@|@calali, hiig, qawsho@
@chewing@|@baryaqaad, caanyeys@
@chicken@|@diyaad, dooro, jiddu duuri@
@chief@|@ammiir, beeldaaje, beeldaaje, caaqil, jammaamuur, maqaddin, maqaddin@
@chief (1)@|@duubis, odey, qaafo@
@child@|@canug, caruur, ilmo, wiil@
@childbirth@|@foolad@
@childhood@|@ciyaalnimo@
@children@|@carruur, ciyaal, mahayammoog, wasiir@
@children (1)@|@gurbood, hoomo, manqo, ubad, yaryar@
@chili pepper@|@basbaaska@
@chill@|@gabaddano@
@chilliness@|@gabaddanaysnaan@
@chilling@|@qaboojis@
@chilly@|@gabaddano@
@chin@|@gad, gar, gar@
@chink@|@hul@
@choice@|@doorad, doorasho, gaadasho, ikhtiyaar, khushi@
@choke@|@saxo@
@cholera@|@daacuun@
@choose@|@calmo, door, dooro, dooro, gaado, gaado, togo, xul, xulo@
@chop@|@goon, jarjar, xaf@
@chop up@|@kidif@
@chopping@|@jar, jiifin@
@chorus of a dance-song@|@jiib@
@christians@|@nasaaro@
@chromosome@|@koroomasoomka@
@church@|@kaniisad@
@cigar@|@burri@
@cigarette@|@sakareed, sigaar@
@cinema@|@shineemo@
@circle@|@dadab, gedef, goobo, heereyn, maageer, qooqaar@
@circle (1)@|@goobaab, lucuun@
@circuit@|@meegaar@
@circular@|@wareegto@
@circulation@|@wareeg@
@circumstance@|@wadci@
@city@|@magaalo, xaafad, xaafad@
@civil@|@madani@
@civilian people@|@raaciye@
@civilization@|@ilbaxnimo, xadaarad@
@civilize@|@ilbixi@
@civilized person@|@ilbax@
@claim a debt@|@qaandheb@
@claim for oneself@|@sheego@
@clan@|@dhulbahante, reer@
@clan family@|@daarood@
@clap@|@sabci@
@clarification@|@fasirid@
@clarity@|@bayaan, qaddacnaan@
@class@|@dabaqad@
@clay soil@|@dhoobey@
@clay vessel@|@dheeri@
@clean@|@nadiif, nadiif, nadiifi, saafi, safee, safeyn, sifee, xal@
@clean (1)@|@huf@
@cleaned@|@hufnaan@
@cleaner@|@safeeye@
@cleanliness@|@nadaafo, nadiifnimo@
@clear a path@|@bannee@
@clearing@|@bannaan@
@cleft@|@hul@
@cleverness@|@fiicnaan@
@client@|@kiliyente@
@cliff@|@daan, looli@
@climb@|@taf@
@close@|@xidh, xir, xiro@
@cloth@|@kharqad, maro@
@clothes@|@dhar, hu, kiswad, marriin@
@cloud@|@caad, ciiryaamo, curasho, daruur@
@clouds@|@ceeryaamo@
@clown@|@jaajaale@
@club@|@naadi@
@clutch at@|@halqaf@
@coal@|@dhuxul@
@coat@|@koodh, laxaaf@
@cobble up@|@jansaar@
@cockroach@|@barambaro@
@coerce@|@khasab@
@coffee@|@bun, qahwe@
@coffee pot@|@maxmaas@
@coincide@|@beegan@
@cold@|@deddo, dhaxan, gabaddanaysnaan, gabaddanaysnaan, jacjuun, qabow@
@cold season@|@qabooba@
@cold weather@|@diilalyo, gabaddano@
@cold winter@|@qabooba@
@collaborate@|@kaashi@
@collaboration@|@kaashi@
@collapse@|@habso, saxuug@
@collateral@|@curaar@
@colleague@|@rafiiq@
@collect@|@gur, gurbi, qaaran, shamuun, ururi@
@collect together@|@jabqi@
@collecting@|@ururin@
@college@|@kolej, kulliyad@
@colonel@|@kornayl@
@colonialism@|@isticmaar@
@colonialist@|@gumeyste@
@colonialization@|@gumeysad@
@colonizing@|@gumeysasho@
@color@|@giirbaq, midab, midabeey, namuun, namuuno, sabbikh@
@color (1)@|@renji@
@combustion@|@hurid@
@come home@|@hooyo@
@come into being@|@uuman@
@come near@|@kuuri@
@come to a successful end@|@liibaan@
@come untied@|@furfuro@
@come!@|@kaalay@
@comfort@|@raaxaysasho@
@coming home@|@hooyasho@
@coming or going home@|@hooyasho@
@comma@|@fidhig, fidi, hakad@
@command@|@amar, horseed, xukun, xukuumad@
@commander@|@abbaanduule, horseed@
@commemoration@|@xus, xusid@
@commend@|@faani@
@commentary@|@faallo, tacliiq@
@commerce@|@bucshiro@
@commit a crime@|@danbaab@
@commit aggression@|@weerar@
@commit suicide@|@isdil@
@commitment@|@ballangal@
@committee@|@guddi@
@committing suicide@|@isidilid@
@communications@|@isgaarsiin@
@community@|@cid, ummad, ummad@
@companion@|@lammaan, wehel@
@companionship@|@wehelyeel@
@company@|@kambani, sharikad, shirkad@
@compare@|@barbardhig@
@compassion@|@jimic, jirnax, jixinjix, jixinjix@
@compel@|@bad, dirqi, kallif, khasab, khasab, muquuri, sallid@
@compensatory payment@|@xaal, xaalad@
@compete@|@bedertan, halgan, tartan@
@compete with@|@looltan@
@competing@|@tartamid@
@competition@|@dhaqtan, taraddan@
@competitor@|@tartame@
@complain@|@ashtakood, cabo, calaacal, cataab, tawaawac@
@complaining@|@cabasho, tawaawacid@
@complaint@|@cabatin, cataw@
@complete@|@ebi, idlee, kaammil, muul@
@completeness@|@waafi@
@completion@|@dhamaad, dhammeyn, ebyoonaan, ebyoonaansho, idlaad@
@completion (1)@|@sammaad@
@complex@|@cuqdad@
@composition@|@sannif@
@compound@|@iskudhis@
@compression@|@jiiqo@
@compulsion@|@dirqi, hawaan, kallif, khasab, muquuno@
@comrad@|@rafiiq@
@comrade@|@jaalle@
@comradeship@|@jaalnimo, rafiiqnimo@
@concave@|@guho@
@conceal@|@kaay, qari, qarso@
@concealment@|@maldahnaan@
@concern@|@khuseey, tacalluq@
@conclude@|@dhammaystir, dhammeey, gabagabee, khatin@
@conclusion@|@gabaggabo, gebaggebo, khaatimo, khatin@
@concord@|@bax@
@condemn@|@cambaareey@
@conditions@|@axwaal, duruuf, shuruud@
@conduct@|@anshi, guuhaad@
@conference@|@fadhdhi, fadhi@
@confidence@|@kalsami, kalsoonaan, kalsooni, qaneecaad@
@confort@|@hortag, qaabbil@
@confuse@|@khawaysii, qas@
@confused@|@kharaf, miryaad@
@confusion@|@iskuddar, iskuddar, wareer@
@congratulate@|@bishaaree, hambalyee, hanbalyee@
@congratulations@|@hambalyo, hanbalyo, tahniyad@
@congratutalion@|@bishaaro@
@congregate@|@bannaanbax@
@congregation@|@jameecaad, jameeco@
@connect in a series@|@xiriiri@
@connection@|@iskuxidhnaan@
@connections@|@cilaaqaad@
@consciousness@|@miyir, xis@
@consent@|@heemasho, heemasho, ijaab, ijaabo@
@conservation@|@hawal@
@consider@|@aabayeel, talagal, talajir, tasho@
@considering@|@tasasho, tashad@
@consist of@|@kooban@
@consolation@|@qaboojin@
@conspiracy@|@shirqool@
@conspire@|@shirqool@
@constitution@|@distuur@
@constrain@|@khasab@
@construct@|@ratib@
@construction@|@dhismo, dhisnaan@
@consulation@|@tashi@
@consume@|@laaso@
@contagion@|@afro@
@container@|@gal, jalxad@
@contempt@|@ihaano@
@contentment@|@mabsuud@
@contents of the stomach@|@uus@
@continent@|@qaarad@
@continuation@|@iskubbixis@
@continue@|@wad@
@contract@|@kog, qandaraas@
@contradiction@|@ilaaq, iskhilaaf@
@contrary@|@cagsi, caksi@
@contribution@|@kaal@
@control@|@kontorool@
@conversation@|@haasaawe@
@converse@|@haasaw, sheekeyso, xaal@
@converse in sign language@|@midaar@
@convey@|@geey@
@convince@|@qanci@
@convince onself@|@isdhacsii@
@convincing@|@garansiin@
@cook@|@kari, kuug@
@cookie@|@buskud@
@cooking stove@|@birjiko@
@cooking vessel@|@digsiga@
@cool wind@|@walwal@
@coop@|@qafas@
@cooperate@|@kaashi@
@cooperation@|@daawo, iskaashad, iskaashi, kaashi, kaashi@
@co-operative@|@iskaashato@
@cooperatives@|@iskaashatooyin@
@co-ordination@|@iskuagaasimid@
@copper@|@maar, naxaas@
@copulate@|@was@
@copy@|@naqal, nuqul@
@cord@|@xarig@
@core@|@nas@
@core of fruit@|@dibudday@
@cork@|@fur@
@corn@|@hadhud, saren, sorghum@
@corner@|@kalaggoys, koone, koone, laabato@
@correct@|@sax@
@correcting@|@qumin@
@correctness@|@habbanaan, qummaati, qummanaan@
@corrupt@|@kharrib@
@corruption@|@musuqmaasuq@
@cotton@|@cudbi@
@cough@|@jibaax, qufac@
@council@|@golo, shir@
@counsel@|@hanuuni, naseexee, naseexo, nasteexo@
@counselor@|@lataliye@
@count@|@kowkabi@
@counter-argument@|@jikaar@
@countries@|@dalal, waddamo@
@country@|@arlo, bilaad, bilaad, dal, dhul, gayi, gayi, giyi@
@countryside@|@baadiye@
@courage@|@boorrin, dhiirranaan, dhiirrasho, dhiirri, kelyaciirsasho@
@court of law@|@maxkamad@
@courting@|@shukaansi@
@couscous@|@furfur, gashiisho@
@cousin@|@inaabti, inaadeer@
@cover@|@aabbur, dabool, galeen, habar, jallaad, jilid, jilid@
@cover up@|@dad@
@cover with a cloth@|@huwi@
@cow@|@sac@
@cows@|@loc@
@crack@|@dillaac, hul, tarrar@
@crack between teeth@|@fanax@
@crack repeatedly@|@jeexjeex@
@cracker@|@buskud@
@crackling@|@qajajac@
@cracks in trees@|@faraq@
@crane@|@wiish@
@crave@|@buseel@
@craving@|@buseel, haalaati, jamasho, jamasho@
@crawl@|@cagaf, gurguurad@
@crawling@|@guurguurasho@
@crazy person@|@kharaf@
@cream@|@labeen@
@create@|@ahaysii, curi, khalaq, uun@
@creation@|@abuuris, kawn, khalqi, makhluuq, sannif, unug, unug, uun@
@credit@|@amaah, ereg@
@creek@|@khoori@
@creeping plant@|@faalal@
@crime@|@danbaab, dembi@
@criminal@|@mujrim@
@cripple@|@curyaami@
@critically ill person@|@barood@
@criticism@|@dhaleeco, munaaqashaad@
@criticize@|@dhaleecee@
@crockodile@|@yexaas@
@crocodile@|@yaxaas@
@crookedness@|@janjeersi, maroor@
@crookedness (physical/moral)@|@qallooc@
@cross@|@gudub@
@crossing@|@babac@
@crouching position@|@kuudud@
@croup of a horse@|@fan@
@crowd@|@ciriiri, cuur@
@crowd of people@|@gguto@
@crowd together@|@shamuun@
@crown@|@boqor@
@crown of the head@|@baso, kug@
@crumble@|@burburi@
@crumpledness@|@jactadnaan@
@crush@|@buusbuus@
@cry@|@ci, ciyy, ilmee, naado, ooy@
@cry in heat@|@qalaad@
@crying@|@ciyid@
@cucumber@|@qajaar@
@cudgel@|@qaar@
@cultivate@|@khasif, khasif, lim@
@cultivation@|@khasif@
@culture@|@dhaqan, hidde, murti@
@cunning@|@xeel, xeelad, xeelo@
@cup@|@fujaan, koob, toob@
@cupboard@|@armaajo, kabar@
@cuquul@|@wise men@
@cuquule@|@wise men@
@cure@|@caafimaadi@
@current@|@xiisad@
@curse@|@cuqubo, habaar@
@curtain@|@daaho@
@curtainless@|@koobid@
@curve@|@laab, qallooci, qallooci@
@custom@|@alab, caado, curuf, hidde@
@customer@|@dalbade, kiliyente@
@customs operations@|@furdad@
@cut@|@gooy, gur, jar, sar@
@cut back@|@naaqis@
@cut off@|@goy, gud@
@cut up small@|@jarjar@
@cuteness@|@jamaad@
@cutting@|@jar@
@cyclone@|@cirboor@
@dagger@|@amley@
@daily bread@|@calaf@
@dairy-cattle@|@irmaan@
@dam@|@badxir, biyaxir, moos@
@damage@|@hargaamo, iimee, iin, iin, khasaaro, khasaaro, qoon, xumi, xumi@
@damp@|@laadqoyan@
@dampness@|@qoyaan@
@dance@|@bardooddan, ciyaar@
@dancing@|@dheelis@
@danger@|@halis, khatar@
@dangerous person@|@laayaan@
@dangle@|@laalaco@
@dangle down@|@laallaad@
@dangling@|@lulmasho@
@darkness@|@gudcur, habeennimo, higil, mugdi@
@dark-skinned@|@gibilmadow@
@daughter@|@gabadh, inan@
@daugther@|@gabar, inan@
@dawn@|@aroor, barii, fajar, waabari, waabberi@
@day@|@ayaan, casho, dharaar, maalin@
@day before yesterday@|@darraad, dorraad@
@daylight@|@gabbal, iftiino@
@daytime@|@dharaarin, iftiino@
@dazzlement@|@indhasarcaad@
@dead creature@|@dhimaad@
@dead person@|@dhimaad@
@deal@|@beec@
@death@|@geeri, kaw, meleg, mowd, umasho, wad@
@death (1)@|@ajalid, dhimasho, hadimo, mawd, tahluuko@
@death pangs@|@sakaraad@
@debate@|@dood@
@debater@|@doodaa@
@debris@|@qashin@
@debt@|@abbaar, deyn, qaan@
@decay@|@bolol@
@deceased person@|@marxuum@
@deceit@|@khayaano, khiyaanad, laqdabo@
@deceitful person@|@khaatir, khatal@
@deceive@|@dag, dhagar, dhagar, khayaamee, khayaamee, khiyaan, qataysii, sir@
@deceive (1)@|@ajar, khatal, khatal, khiyaanadee, sab@
@deceiver@|@khiyaanadle, khiyaanadlow@
@deception@|@afjuxuunsi, dagniin, dhagar, khiyaane, khiyaano@
@decide@|@garqaybi, tali@
@decision@|@guddoon, qaraar, talo@
@decision makers@|@ishaafalato@
@decorate@|@dahaar, dahaar, naqshadee, qurxi, sharrax, siinee@
@decoration@|@dahaar, naqash, naqshad, qurxin, sharrax@
@decrease@|@dhinmow, isdhin, naaqis@
@deed@|@fal@
@deep breath@|@neefneefsi@
@deep hole@|@booraan@
@deep sleep@|@saq@
@defeat@|@guuldarrayso@
@defecate@|@xaar@
@defect@|@iin, iin, nuqsaan@
@defend@|@raw@
@defend onself@|@gaashaandhig@
@defense@|@daafac, difaac, gaashaandhig@
@defiance@|@cisyaan@
@deficiency@|@calaal, maahsanaan@
@delay@|@caddil, daahi, daahir, raagid, raagsiinyo, raaji@
@delay (1)@|@daahid@
@delegation@|@wafdi@
@delegations@|@wufuud@
@deliberation@|@bareer@
@democracy@|@dimoqraadi, dimoqraadinimo@
@demonstration@|@banbax, dibadbax@
@demote@|@shar@
@denial@|@duudsi, inkir@
@denominator@|@hooseeye@
@dent@|@buusbuus@
@dents@|@buusbuus@
@deny@|@duudsi@
@departure@|@ambabbax, anbabbax, bixitin, dhoofid, dhoofniin@
@dependency@|@dabajoognimo@
@dependents@|@hoomo, maato@
@deposit@|@carbuun, deebaaji@
@depreciation@|@isgurid@
@depressed@|@khushuuc@
@depression@|@qulub, qulub, urugo@
@depth@|@mulli@
@dervishes@|@daraawiish@
@descend@|@deg, dego@
@descendant of Mohamed@|@shariif@
@descent@|@sinji@
@describe@|@fasir@
@desert@|@bataax, hannas, kax@
@deserter@|@khaayin@
@deserve@|@istaahil, mudo, mutayso@
@design@|@falsami, falsami, hindis, jangooy, jangooy@
@desire@|@haweysi, haweyso, hawood, lahan, lahasho, rab, rab@
@desire (1)@|@damac, mohasho, muho, niyood, rabitin, rabniin@
@desire (2)@|@doonasho, jamasho, lubbi, muhasho, ubbaahasho@
@despair@|@quuso@
@despise@|@ihaanee, karah@
@destination@|@masaafo@
@destiny@|@kadbasho@
@destitute person@|@dibjir@
@destroy@|@caro@
@destroying@|@kharribid@
@destruction@|@halaag, hallig, laystaan@
@detailed explanation@|@tifaftirid@
@details@|@tafaasiil@
@detain@|@daahi@
@deter@|@waab@
@determination@|@harjad@
@determined effort@|@mintid@
@develop@|@kor@
@development@|@feeraarin, horumar, horumarin@
@devil@|@shayddaan@
@dhaayo@|@knowledge@
@dhiirri@|@motivate@
@diagnosis@|@cudursheeg@
@diagonal@|@babac@
@dialect@|@afguri, lahjad@
@diarrhea@|@ban@
@dictate@|@yeeri@
@dictionary@|@qaamuus@
@Did you lose consciousness?@|@Miyaad miyir beeshay?@
@die@|@dhimo, mod, mot, qudhbax, qurbax@
@diesel oil@|@naafta, nafto@
@difference@|@farqi, sarwacnaan@
@difficulty@|@belaayo, ciriir, eedaad, kadeed, qahar, tabaalo@
@difficulty (1)@|@harreef@
@dig@|@khasif, qod, qodo@
@digging@|@khasif@
@dim sight@|@indhahabeeno@
@dime@|@kumi@
@diminishing@|@isdhimid@
@dimness@|@hagabsi@
@diplomat@|@diblomaasi@
@direct@|@jihee@
@direction@|@dhan, gees, jaho, tusmo, xag@
@directions@|@talo@
@dirt@|@carro, ciid, dhusuq, khashin, najaaso, uskag@
@disagree with each other@|@iskhilaaf@
@disagreement@|@khilaaf@
@disagreements@|@mukhaalafo@
@disappear@|@libidh@
@disappointment@|@qoonsimaad@
@disapprove of@|@dhaliil@
@disaster@|@aafo, ibtilo, tacaddi@
@discharge@|@gudo@
@disconnect something@|@kharaabi@
@discount@|@kadhimid@
@discourage@|@dacdarree@
@discouragement@|@hadaadun, quus@
@discouraging@|@boholaddumin@
@discovery@|@helitaan@
@discuss@|@haasaw@
@discussion@|@dood@
@disease@|@jirro, shuush, taws@
@disease of camels@|@dhug@
@disease of stock@|@tu@
@disembowel@|@doox@
@disengage@|@furayya@
@disgrace@|@jiciir, jiciiree@
@disguise@|@doori@
@disgust@|@qashafee, qashafo@
@dish@|@saxan, sixni@
@dishonesty@|@daallinimo@
@dishonor@|@jiciiree, xil, xishood@
@disinfection@|@shiilayn@
@dislike@|@karaahiyo, karah@
@disobedience@|@caasinimo@
@disorder@|@habdarro, habdarro, nidaamdarro, qaabdarro, qaabxumo@
@display@|@bandhaw, bandhig, muuji@
@disposition@|@gaal@
@dispute@|@ilaaq, jaarri@
@dissolving@|@shubmid@
@distance of a journey@|@marxalad@
@distinction@|@baxsanaan@
@distinguished person@|@baxsi@
@distress@|@wahan@
@distribution@|@qaybin@
@distributor@|@faafiye@
@district@|@xaafad@
@disturb@|@caddib, caddib, ciil, dhabqi, khashkhash, qalalaas@
@disturbance@|@caddib, caddib, khashkhash, khashkhash, qalalaas@
@ditch@|@bohol, hataq@
@dive@|@quus@
@divergence of opinion@|@ikhtilaaf@
@divert@|@leexi@
@divide@|@badh, kalabbayr, kalabbayr@
@divide into groups@|@hormee@
@divide into shares@|@qaybi@
@divide up@|@jaad@
@dividing@|@qaybsad, qaybsasho@
@divine favor@|@falli@
@division@|@isuqaybin, qayb@
@divorce@|@furriin, isfur@
@dizziness@|@daandaan, wareer@
@do@|@fal, muquunso, sallax, samee, tacab, yeel@
@do for oneself@|@samayso@
@do good@|@shafeec@
@do harm to@|@xumee@
@do in kindness@|@samafal@
@Do it at home!@|@Guriga ku samee!@
@Do it with him!@|@Isaga la samee!@
@Do not be afraid@|@Ha baqin@
@Do not eat or drink anything@|@Waxna ha cunin waxna ha cabin@
@do something carefully@|@farayarayso@
@do something deliberately@|@ulakac@
@do something to@|@do wrong, intimidate@
@do spoil@|@xumee@
@do wrong@|@gardarrayso@
@Do you cough anything up?@|@Miyay qufaca wax soo raacaan?@
@Do you have a cough?@|@Miyaad qufacdaa?@
@Do you have any valuables?@|@Wax qiimo leh ma sidataa?@
@Do you smoke?@|@Miyaad sigaarka cabtaa?@
@Do you speak English?@|@Ma taqaan Ingiriisiga?@
@Do your ankles swell?@|@Boqnuhu miyay ku bararaan?@
@dock@|@deked@
@doctor@|@dabiib, dhaktar, dotoor, takhtar@
@doctors@|@takhaatiir@
@doer of good@|@samafal, samantar@
@does it come and go?@|@Mise marmar ayuu ku qabtaa?@
@dog@|@eey, ey@
@dogmatic@|@jaaxid@
@doing@|@samays, suubbis@
@dollar@|@doollar@
@dolphing@|@khoobar@
@domestic animal@|@neef@
@donkey@|@dameer@
@don't know@|@Ma Aqaanno@
@Don't touch me there!@|@Ha i taaban!@
@door@|@albaab, albaab, irrid@
@doorway@|@afaaf, kaad@
@dot@|@dhibiq@
@doubt@|@shaki@
@dough@|@cajiin@
@dove@|@qoolleey@
@dowry@|@dhibaad@
@dozen@|@darsan@
@drag@|@jiid@
@drama@|@ruwaad@
@drape around oneself@|@hullaabo@
@draw@|@xarriiq@
@draw near@|@dhoweey@
@draw water@|@aroor, tix@
@drawer@|@khaanad@
@dream@|@alalad, dhadhab, hawaawi, hawaawi, riyo, riyood@
@dress@|@hu@
@dress onself@|@labbiso@
@dress onself up@|@lebbiso@
@dress someone else@|@lebbis@
@dried-out land@|@xaaluf@
@dried-out-land@|@xaaluf@
@drill@|@boor, loolib@
@drills@|@icraab@
@drink@|@cab, cabb@
@drink (milk)@|@dhan@
@drink broth@|@fuud@
@drip@|@dhibic, hibitiq@
@dripping@|@dharer@
@drive away@|@dayri, dir, miidaami@
@drive for oneself@|@wado@
@driver@|@kaxeeye, kexeeye, shufeer, wade@
@drool@|@cay@
@drop@|@dhibic, tifiq@
@drops@|@hoor@
@drought@|@abaar@
@drown@|@hafo@
@drown someone@|@hafi@
@drowning@|@hafad@
@drowsiness@|@lulmo@
@drum@|@durbaan, gurbaan@
@drunkard@|@khamriyacab@
@drunken person@|@sakhraan@
@dry@|@dowr, engeg, engeji, kawrixi, qallal@
@dry oneself@|@addadi@
@dry up@|@bas, qalal, qallaji@
@drying@|@qallajin@
@dryness@|@qallallaan, qallayl@
