@English@|@Vietnamese@
@decomposed@|@møc r»a@
@decompress@|@làm phÒng ra, thoát ép@
@decrease@|@giäm@
@deepen@|@sâu thêm@
@deeply felt@|@thÃm thía@
@deeply indebt@|@n® chÒng chÃt@
@default@|@gi¿t tiŠn, không trä n®@
@defeat@|@hå@
@defeat (n)@|@thua@
@defeat (v)@|@Çánh båi@
@defeatist@|@chû båi@
@defecate@|@tÙ khoái@
@defend a fort@|@thû thành@
@defend an action (v)@|@bênh@
@defend someone bad@|@chÙa chÃp@
@defendant@|@bÎ cáo@
@defense@|@phòng thû, thû@
@defense lawyer@|@luÆt sÜ biŒn h¶@
@defense to death@|@tº thû@
@defensive@|@thû c£ng@
@defensive position@|@thû th‰@
@defiance@|@ÜÖng ngånh@
@deficit@|@thâm thûng@
@deflock@|@sa thäi ra Çåo giáo@
@deflower@|@phá trinh@
@defunct@|@h‰t dùng, h‰t th©i, ngÜng hoåt Ç¶ng@
@defy@|@dám, thánh thÙc, ÜÖng ngånh@
@degree@|@Ç¶@
@degree (education)@|@b¢ng cÃp@
@delay@|@Çình hoãn, hoãn@
@delegate@|@Çåi bi‹u@
@delegate (v)@|@phái@
@delete@|@loåi ra, xóa bÕ@
@deliver a letter@|@ÇÜa thÜ@
@deliver mail@|@phát thÜ@
@delivery@|@giao@
@demand@|@Çòi hÕi, mÙc cÀu, nhu cÀu@
@demand (v)@|@Çòi@
@demean@|@hå nhøc, làm mÃt m¥t@
@demeanor@|@phong cách, tác phong, tính tình@
@demoralize@|@làm mÃt tinh thÀn@
@demote@|@giáng cÃp, giáng chÙc@
@demothball@|@tái døng tàu bè@
@demotic@|@bình dân@
@demure@|@nhÛn nh¥n@
@dendriform@|@hình dáng nhÜ cây cÓi@
@denegation@|@chÓi@
@denounce@|@chÌ trích, lên án@
@dense@|@rÆm råp@
@denticle@|@ræng nhÕ@
@denude@|@l¶t trÀn@
@deny@|@chÓi cãi@
@Department of Agriculture@|@B¶ Canh Nông@
@Department of Commerce@|@B¶ ThÜÖng Måi@
@Department of Defense@|@B¶ QuÓc Phòng@
@Department of Education@|@B¶ Giáo Døc@
@Department of Energy@|@B¶ Næng LÜ®ng@
@Department of Health@|@B¶ Y T‰@
@Department of Justice@|@B¶ TÜ Pháp@
@Department of Labor@|@B¶ Lao ñ¶ng@
@Department of State@|@B¶ Ngoåi Giao@
@Department of State (US)@|@Ngoåi Giao (B¶)@
@Department of the Interior@|@B¶ N¶i Vø@
@Department of Transportation@|@B¶ Giao Thông@
@Department of War@|@B¶ Chi‰n Tranh@
@departure@|@khªi hành@
@depend on@|@lŒ thu¶c@
@dependent variable@|@bi‰n sÓ@
@deplore@|@chÌ trích kÎch liŒt, phän kháng@
@deport@|@trøc xuÃt@
@deportee@|@kÈ bÎ trøc xuÃt@
@deposit (a sum into an account)@|@kš thác@
@depot@|@nhà kho, tråm xe lºa hay xe bušt@
@depraved@|@dâm t¥c, hû hóa@
@depreciate@|@giäm giá trÎ@
@depressed@|@chán Ç©i, thÃt chí, thi‹u não@
@deprive@|@tÜ§c Çoåt@
@deprive one of self-control and cause to go along@|@ÇÜa ÇÄy@
@deputy secretary (cabinet)@|@thÙ trÜªng@
@deraign (Law)@|@phän cáo (LuÆt)@
@derail@|@trÆt ÇÜ©ng rÀy@
@deranged@|@khùng@
@dereliction@|@sao lãng@
@deride@|@ch‰ riÍu@
@descend@|@bay xuÓng, Çi xuÓng, xuÓng@
@descendant@|@hÆu duŒ@
@descendent@|@hÆu duŒ@
@describe@|@mô tä, tä@
@deserve it@|@Çáng Ç©i@
@Deserved it!  Served (you@|@ñáng Ç©i!@
@design@|@khuôn mÅu, thi‰t k‰@
@designate@|@chÌ ÇÎnh@
@desire (often sexual)@|@døc@
@desire (v)@|@muÓn@
@desktop@|@m¥t bàn, máy ÇiŒn toán Ç‹ bàn@
@despair@|@thÃt v†ng@
@despise@|@khinh miŒt@
@destabilize@|@khuynh Çäo@
@destatize@|@giäi tÕa công h»u@
@destination@|@nÖi Ç‰n@
@destiny@|@sÓ mŒnh, vÆn mŒnh@
@destroy@|@phá, tàn phá@
@destroy one's body@|@hûy hoåi@
@desupport@|@chÃm dÙt h‡ tr®@
@detect@|@phát hiŒn@
@detective@|@thám tº@
@deteriorated@|@tàn tå@
@determination@|@nhÆn ÇÎnh, š chí@
@determine@|@nhÆn ÇÎnh, thÄm ÇÎnh@
@dethrone@|@truÃt ph‰@
@Deuxièm Bureau (French Intelligence)@|@phòng Nhì@
@develope@|@khai tri‹n, tæng trÜªng, tri‹n khai@
@diabetes@|@ti‹u ÇÜ©ng@
@dialogue@|@ÇÓi thoåi@
@diamond@|@kim cÜÖng@
@diaper@|@tã@
@diatribe@|@m¡ng chºi thÆm tŒ@
@dictionary@|@t¿ Çi‹n@
@dictum@|@phán quy‰t@
@die@|@thiŒt mång, tØ trÀn@
@die (v)@|@thác@
@die young@|@ch‰t y‹u@
@dietititan@|@chuyên viên dinh dÜ«ng@
@differ@|@khác@
@differences@|@dÎ biŒt@
@different@|@khác@
@differentiate@|@phân biŒt@
@difficile@|@khó tính@
@difficult@|@khó, khó chÎu@
@digit@|@sÓ@
@dilapidated@|@tiêu ÇiŠu@
@dill@|@thì là@
@diminish@|@tiŒm giäm@
@diminish (v)@|@b§t dÀn@
@diminishing return@|@næng xuÃt tiŒm giäm@
@diner (person)@|@th¿c khách@
@diocese@|@giáo phÆn@
@diplomacy@|@ngoåi giao@
@direction@|@chÌ dÅn, phÜÖng hÜ§ng@
@director@|@giám ÇÓc@
@director general@|@t°ng giám ÇÓc@
@dirt road@|@ÇÜ©ng mòn@
@dirty@|@bÄn, nhÖ@
@dirty old man@|@già dÎch@
@disadvantage@|@bÃt l®i, thiŒt thòi@
@disadvantaged@|@thÃt th‰@
@disappear@|@biŒt tæm@
@disappear then reappear@|@Än hiŒn@
@disappointment@|@thÃt v†ng@
@disarm@|@giäi gi§i@
@disaster@|@Çåi nån, tai bi‰n@
@disburse fund@|@xuÃt quÏ@
@discard@|@thäi@
@discipline@|@k› luÆt@
@disclose@|@th° l¶, ti‰t l¶@
@discontent@|@bÃt bình, bÃt mãn@
@discount (v)@|@hå giá, xem thÜ©ng@
@discover@|@phát giác, phát hiŒn@
@discriminate@|@kÿ thÎ@
@discrimination@|@kÿ thÎ@
@discuss@|@bàn tán@
@discuss (v)@|@bàn båc@
@discussion not necessary@|@miÍn bàn@
@disdainful@|@khinh mån@
@disengage@|@ly k‰t@
@disguise@|@giä dång@
@disgusted@|@tªm@
@disgusting@|@kinh tªm@
@disillusion@|@v« m¶ng@
@dismiss@|@bãi bÕ@
@disown@|@tØ@
@disrobe@|@cªi quÀn áo@
@disseminate@|@phân phát@
@distinguish@|@phân biŒt@
@distribute@|@phân phát, phân phÓi@
@district@|@quÆn@
@divergence@|@phân kÿ@
@divergent@|@phân kÿ@
@divert attention@|@phân tâm@
@divide (v)@|@chia@
@dividing@|@phân hoá@
@divisive@|@phân hoá@
@dizziness@|@mê@
@dizzy@|@mê mÄn, say@
@do@|@làm, làm@
@do homework@|@làm bài@
@do not do to others what you wish not done to you@|@k› sª bÃt døc bÃt thi Ü nhân@
@Doc@|@bác sï (vi‰t t¡t)@
@dock (n)@|@b‰n tàu@
@dock (v)@|@c¥p b‰n@
@dock worker@|@phu b‰n tàu@
@doctrine@|@chû thuy‰t@
@document@|@giÃy má@
@document (v)@|@ghi låi, thành væn@
@documentary@|@th©i s¿@
@documents@|@giÃy t©@
@dog@|@chó@
@domestic good@|@hàng n¶i hóa@
@dominate@|@ng¿ trÎ, thÓng trÎ@
@domination@|@thÓng trÎ@
@donate@|@t¥ng d»@
@done@|@xong@
@door@|@cºa@
@dot@|@chÃm@
@doubt@|@nghi@
@dovish@|@chû hòa@
@down with ...@|@Çä Çäo@
@downpour@|@tÀm tã@
@downtown@|@phÓ@
@dowry@|@cûa hÒi môn@
@dozen@|@tá@
@drafting (mechanical)@|@kÏ nghŒ h†a@
@drag prey away (v)@|@tha@
@dragonfly@|@chuÒn chuÒn@
@drama@|@thäm kÎch@
@drawer@|@h¶c tû@
@dreaming@|@mÖ màng@
@drench@|@Ü§t nhËp@
@dress up@|@Çóng b¶@
@drill@|@máy khoan@
@drink slowly as to enjoy@|@nhÃm nháp@
@drink with another person@|@ÇÓi Äm@
@drinker@|@b®m@
@drip (v)@|@nhÕ@
@driver@|@tài x‰@
@drizzle@|@mÜa phùn@
@drought@|@hån hán@
@drown@|@ch‰t ÇuÓi@
@drug@|@tÙ Ç° tÜ©ng@
@drum@|@trÓng@
@drum sounds@|@thùng thùng@
@drunk@|@say@
@dry@|@khô@
@dry throat@|@khan c°@
@duck@|@né@
@duck (v)@|@tránh@
@due@|@Çáo hån, tiŠn thi‰u@
@dumb@|@kh©@
@dummy@|@cù lÀn@
@dust@|@bøi@
@duty@|@phÆn s¿@
@dwell@|@ª, sÓng@
@dye@|@phÄm@
@dynasty@|@nhà, triŠu Çåi@
@each@|@m‡i, tØng@
@ear@|@tai@
@early evening@|@chiŠu@
@earthquake@|@Ç¶ng ÇÃt@
@East@|@ñông@
@eat (v)@|@æn@
@economic aid@|@viŒn tr® kinh t‰@
@economic sanction@|@cÃm vÆn@
@editor-in-chief@|@chû s¿@
@education@|@ch» nghïa, h†c ÇÜ©ng@
@eel@|@lÜÖn@
@effective@|@h»u hiŒu, hiŒu quä@
@efficient@|@hiŒu nghiŒm@
@egg plant@|@cà@
@ejaculate@|@xuÃt tinh@
@eject@|@phóng v†t lên, ra@
@elated@|@h§n hª@
@electoral vote@|@cº tri Çoàn@
@electrical engineer@|@kÏ sÜ ÇiŒn@
@electricity@|@ÇiŒn@
@electrocute@|@ÇiŒn giÆt@
@electronic engineer@|@kÏ sÜ ÇiŒn tº@
@element@|@thành phÀn@
@eletrical transformer@|@bi‰n ÇiŒn@
@eletronic message@|@ÇiŒn væn@
@eliminate@|@trØ khº@
@email@|@ÇiŒn væn@
@embargo@|@b‰ quan tÕa cäng, cÃm vÆn@
@embassy@|@tòa Çåi sÙ@
@emergency@|@khÄn trÜÖng@
@emphasize@|@nhÃn månh@
@emphathy@|@thông cäm@
@employment application@|@ÇÖn xin viŒc@
@empty of water@|@cån@
@empty-handed@|@tr¡ng tay@
@En garde!@|@Thû th‰!@
@encircle@|@vòng vây@
@enclose@|@bao gÒm@
@encourage@|@khuy‰n khích@
@encourage mischief@|@ÇÀu têu@
@encouragement@|@khuy‰n khích@
@end of the world@|@tÆn th‰@
@endeavor@|@phÃn ÇÃu@
@endless@|@khôn nguôi, triŠn miên, vô tÆn@
@energize@|@ti‰p næng l¿c@
@energy@|@næng lÜ®ng@
@engage in commerce@|@kinh doanh@
@engineer@|@kÏ sÜ@
@engineering@|@kÏ sÜ@
@England@|@Anh quÓc@
@English@|@Anh ng», ti‰ng Anh@
@engrave@|@tråm tr°@
@engrave (v)@|@kh¡c@
@enjoy@|@thÜªng thÙc@
@enter@|@vô@
@enter (v)@|@vào@
@enter a port (a country)@|@nhÆp cänh@
@enter the ring@|@lên Çài@
@enthusiasm@|@háo hÙc, nhiŒt thành, nhiŒt tình@
@entire@|@hoàn toàn, tÃt cä, toàn diŒn@
@entity@|@th¿c th‹, th‹ nhân@
@entourage@|@tùy tùng@
@entrance@|@lÓi vào@
@entrance exam@|@thi nhÆp h†c@
@entries@|@cºa nÈo@
@entry disallowed@|@miÍn vào@
@envious@|@phân bì@
@environment@|@cänh vÆt@
@envoy@|@sÙ giä@
@epidemic@|@dÎch (bŒnh)@
@equilibrium@|@quân bình@
@era@|@th©i Çåi@
@erase@|@tÄy@
@eraser@|@tÄy@
@erection@|@sØng lên (tøc)@
@escape (v)@|@chuÒn (slang)@
@especially a child@|@bÒng; b‰@
@espionage@|@do thám@
@establish@|@thi‰t lÆp@
@established as capital by a king or a ruler@|@Çóng Çô@
@establishment@|@nhà@
@estimate@|@phÕng Çoán@
@estimate (v)@|@phÕng chØng@
@eulogy@|@Çi‰u væn@
@euphemism@|@mÏ tØ@
@even@|@thÆm chí@
@even (game score)@|@bÃt phân th¡ng båi@
@even (score)@|@hòa, huŠ@
@even (surface)@|@ph£ng phiu@
@eventually@|@rÓt cu¶c@
@evidence@|@b¢ng chÙng@
@exaggerate@|@th°i phÒng@
@exalt@|@ÇŠ cao@
@exam@|@kÿ thi, thi, thi cº@
@exam subject@|@ÇŠ thi@
@except@|@ngoåi trØ@
@exception@|@ngoåi lŒ@
@exceptional@|@Ç¥c s¡c@
@excess@|@thâm låm, thØa thãi@
@excess (wealth)@|@dÜ giä@
@excessive@|@quá, quá Çáng, quá tr§n@
@exchange (v)@|@hoán chuy‹n@
@excuse (n)@|@lš c§@
@execute@|@hành xº@
@execute (kill)@|@hành hình@
@execute a person@|@hành quy‰t@
@execution by beheading@|@xº träm@
@execution place@|@Çoån ÇÀu Çài, pháp trÜ©ng@
@exempt@|@miÍn@
@exempted@|@miÍn@
@exhort@|@c° Ç¶ng, chû trÜÖng@
@exile@|@lÜu Çày, lÜu vong@
@exiled@|@viÍn xÙ@
@existence@|@hiŒn h»u@
@existent@|@hiŒn h»u@
@exit@|@lÓi ra@
@exit (v)@|@ra@
@exit exam@|@thi ra trÜ©ng@
@exonerate@|@minh oan@
@expect impatiently@|@ngóng@
@experience@|@kinh nghiŒm@
@experienced@|@già d¥n@
@expert@|@chuyên gia@
@expertly@|@thÜ®ng thØa@
@explain@|@giäi thích@
@explain as to justify@|@phân bua@
@explicit@|@minh thÎ@
@explode@|@n°@
@exploded anger@|@thÎnh n¶@
@exploit@|@khai thác@
@exploitation@|@khai thác@
@exploration@|@thám hi‹m@
@explore@|@thám hi‹m@
@export@|@xuÃt cäng@
@express@|@tÓc hành@
@extend@|@kéo dài, tri‹n hån@
@extend a deadline@|@gia hån@
@extensive@|@bÎ n¥ng, lên cao, rÃt nhiŠu@
@external@|@ngoåi lai@
@extort@|@tÓng tiŠn@
@extortion@|@tÓng tiŠn@
@extra@|@thØa thãi@
@extradite@|@dÅn Ç¶@
@extramarital love affair@|@ngoåi tình@
@extraordinary@|@bÃt thÜ©ng, siêu phàm@
@extremely high (price)@|@c¡t c°@
@extremity@|@tÆn cùng@
@eye@|@m¡t@
@eye lid@|@mí m¡t@
@fable@|@ngø ngôn@
@façade@|@m¥t tiŠn@
@face@|@m¥t@
@face-à-face@|@tr¿c diŒn@
@facility@|@cÖ sª, phòng Óc@
@facing@|@ÇÓi diŒn@
@fact@|@s¿ kiŒn@
@factor@|@y‰u tÓ@
@faded@|@phai@
@fail to keep promise@|@lèo (lóng), lèo (slang)@
@fair@|@h¶i ch®@
@fair and clear@|@phân minh@
@fairness@|@công b¢ng, công bình@
@faithful@|@chung thûy, thûy chung, trung tình@
@fake@|@giä@
@falcon@|@chim Üng@
@fall asleep@|@thi‰p Çi@
@fall down@|@ngã@
@fallen soldiers@|@chi‰n sï trÆn vong@
@false@|@giä@
@fame@|@ti‰ng@
@fame without substance@|@h»u danh vô th¿c@
@familiar@|@quen thu¶c@
@familiar situation@|@gia cänh@
@family@|@gia Çình@
@family line@|@gia t¶c@
@family member@|@gia thu¶c@
@family tree@|@gia phä@
@familyless@|@vô gia Çình@
@famish@|@Çói, gây Çói@
@far@|@viÍn, xa@
@Far East@|@ViÍn ñông@
@far fetched@|@viÍn vông@
@far out@|@h‰t xÄy@
@Far West@|@ViÍn Tây@
@farmer@|@nông dân@
@farmwork@|@ÇÒng áng@
@far-sighted@|@viÍn thÎ@
@fart@|@Çánh r¡m@
@fart (v)@|@Çánh d¡m@
@fast@|@chóng, lË, mau@
@father@|@cha@
@father's older sibling@|@bác@
@father's younger brother@|@chú@
@father's younger sister@|@cô@
@faux pas@|@lÀm l«@
@favor@|@Ön@
@favoring other countries over one's own@|@v†ng ngoåi@
@fawn@|@ho¤ng@
@fax@|@ÇiŒn thÜ@
@feast@|@c‡@
@feces@|@phân@
@feel constrained@|@tù túng@
@feel others' opinion@|@thæm dò@
@feeling@|@lòng@
@feign@|@làm b¶@
@felt@|@nÌ@
@fence (v)@|@ÇÃu ki‰m@
@ferry boat@|@phà@
@fever@|@nóng ÇÀu@
@field@|@ru¶ng@
@fight@|@Çánh l¶n@
@fight (v)@|@Çánh nhau@
@fight enemy@|@Çánh gi¥c@
@fighter@|@chi‰n sï@
@file@|@hÒ sÖ@
@file (v)@|@nåp ÇÖn@
@filled@|@ÇÀy@
@filthy@|@nhÖ@
@finally@|@sau cùng@
@finance (n)@|@tài chánh; tài chính@
@finance (v)@|@tài tr®@
@finger@|@ngón tay@
@finger nail@|@móng tay@
@finished@|@xong@
@Finland@|@PhÀn Lan@
@fire@|@lºa@
@fire (v@|@sa thäi@
@first@|@nhÃt@
@fish@|@cá@
@fish (v)@|@Çánh cá@
@fish sauce@|@nÜ§c m¡m@
@fishy@|@tanh@
@five@|@næm@
@fixed@|@bÃt bi‰n@
@fixed cost@|@phí t°n bÃt bi‰n@
@flabbergasted@|@ngã ngºa ra@
@flaccid@|@mŠm y‰u@
@flag@|@c©@
@flam@|@lØa dÓi@
@flamboyant@|@bay bÜ§m, hào hoa@
@flank@|@sÜ©n@
@flank speed@|@tÓc Ç¶ tÓi Ça cûa tàu thûy@
@flare up@|@bùng lên@
@flat taste@|@nhåt nhëo@
@fleet (Navy)@|@håm Ç¶i@
@flirt@|@tán@
@flirtatious@|@l£ng lÖ@
@flirting@|@ngä ng§n@
@float (v)@|@n°i@
@flour@|@b¶t@
@fluctuate@|@trÒi søt@
@fly (v)@|@bay@
@fly into anger@|@n°i nóng@
@fog@|@sÜÖng mù@
@folk opera in South Vietnam@|@v†ng c°@
@follow@|@theo sau@
@follows@|@dÜ§i ÇâY@
@fondu@|@lÄu@
@food@|@thÙc æn@
@foot@|@bàn chân@
@for a very long time@|@thiên thu@
@forbid@|@cÃm, cÃm Çoán@
@force@|@b¡t bu¶c@
@forecast@|@tiên Çoán@
@Foreign Affairs Ministry@|@Ngoåi Giao (B¶)@
@foreign country@|@ngoåi quÓc@
@foreign exchange@|@ngoåi tŒ@
@foreign power@|@ngoåi bang@
@foreigner@|@ngoåi nhân@
@forge@|@giä måo@
@forgive@|@dung tha@
@forgive (v)@|@tha@
@forgiving@|@vÎ tha@
@formula@|@công thÙc@
@fort overrun by enemy@|@thÃt thû@
@fortress@|@thành@
@fortune telling@|@bói@
@foward (ball game)@|@trung phong@
@fox@|@cáo@
@fraction@|@phân sÓ@
@frame@|@khung@
@frank@|@th£ng thØng@
@free (v)@|@thä@
@free loader@|@báo cô@
@free of charge@|@miÍn phí@
@free speech@|@t¿ do ngôn luÆn@
@free stuff@|@cûa chùa@
@freedom@|@t¿ do@
@freedom of association@|@t¿ do h¶i h†p lÆp Çoàn@
@freedom of religion@|@t¿ do tín ngÜ«ng@
@freedom of the press@|@t¿ do báo chí@
@freedom of travel@|@t¿ do Çi låi (vãng lai)@
@freeze (v)@|@Çông@
@French@|@ti‰ng Pháp@
@fresh water@|@nÜ§c ng†t@
@fridge@|@tû lånh (t¡t)@
@friend@|@bån, bÒ@
@friendship@|@tình bån@
@frigid@|@lãnh cäm@
@frivolous@|@Çùa, d«n, không nghiêm chÌnh@
@from a job)@|@sa thäi@
@front tooth@|@ræng cºa@
@frozen@|@Çông, Çông lånh@
@fruit@|@quä@
@fugitive@|@kÈ Çào tÄu@
@full@|@ÇÀy@
@full (food)@|@no@
@full figure (body)@|@ÇÀy Ç¥n@
@full house (poker)@|@mùn sÄu@
@full moon@|@træng r¢m@
@full of shit@|@bÀy Ç¥t@
@function@|@chÙc phÆn, phÀn hành@
@function (n)@|@chÙc næng; chÙc vø@
@function (v)@|@vÆn hành@
@funeral@|@Çám ma, ÇÜa Çám@
@furious@|@phÅn n¶@
@fury@|@thÎnh n¶@
@future generation@|@hÆu th‰@
@gain (v)@|@l©i@
@gamble@|@Çánh båc@
@gambling@|@bài båc, tÙ Ç° tÜ©ng@
@gas mask@|@m¥t nå hÖi Ç¶c@
@gas station@|@tråm xæng@
@gate@|@c°ng@
@gateway@|@cºa ngÕ@
@gather around@|@quây quÀn@
@gazebo in a pond or lake@|@thûy tå@
@gender discrimination@|@kÿ thÎ trai gái@
@General@|@tÜ§ng@
@general population@|@quäng Çåi quÀn chúng@
@general strike@|@t°ng Çình công@
@generator (electric)@|@máy phát ÇiŒn@
@generous@|@giàu lòng@
@genitalia (slang)@|@cûa quš@
@genre@|@giÓng@
@gentlemen@|@các vÎ@
@gentry@|@ngÜ©i khá giä@
@genuflect@|@luÒn cúi@
@genuine@|@chính gÓc, th¿c@
@geographical name@|@ÇÎa danh@
@geography@|@ÇÎa lš@
@German@|@ti‰ng ñÙc@
@Germany@|@ñÙc@
@gesture@|@Ç¶ng tác@
@get close to opponent in combat@|@nhÆp n¶i@
@get involved@|@dây dÜa@
@get on the ring@|@thÜ®ng Çài@
@get rich@|@làm giàu@
@ghost@|@ma@
@gift@|@quà, quà t¥ng@
@gift (n)@|@t¥ng vÆt@
@gift (v)@|@t¥ng@
@gigantic@|@kh°ng lÒ@
@giggolo@|@Çï Ç¿c@
@gimmick@|@ti‹u xäo@
@girl friend@|@Çào@
@girl from rich family@|@ti‹u thÜ@
@girl or boy friend@|@bÒ@
@give@|@cho@
@give a new look@|@chÌnh trang@
@give in@|@chiŠu@
@give in to@|@xiêu lòng@
@gladiator@|@giác ÇÃu@
@glass@|@kính, ki‰ng@
@glasses@|@kính, ki‰ng@
@glorified@|@hi‹n vinh@
@go@|@Çi, xuÃt ngoåi@
@go along with@|@chÎu@
@go easy on@|@châm chÜ§c@
@go take a shower@|@Çi t¡m@
@go to bed@|@Çi ngû@
@go to school@|@Çi h†c@
@go to the bathroom@|@Çi cÀu@
@go to work@|@Çi làm@
@go up@|@lên@
@goad@|@cây ÇiŒn Ç‹ chæn bò@
@go-ahead@|@ÇÜ®c phép@
@goalie@|@thû môn@
@goalkeeper@|@thû môn@
@goblin@|@yêu tinh@
@God@|@ThÜ®ng ñ‰@
@God-curse@|@Tr©i phåt@
@godling@|@thÀn thánh (ÇÎa phÜÖng)@
@Godsend@|@Tr©i cho@
@gold digging@|@Çào mÕ@
@gold-based@|@kim bän vÎ@
@good dies young@|@thiên tài mŒnh y‹u@
@good intention@|@mÏ š@
@goodbye (for now)@|@tåm biŒt@
@goods@|@hàng, hàng hóa@
@goosebumps@|@n°i da gà@
@government@|@chính phû@
@governmental model@|@th‹ ch‰@
@grab@|@n¡m, tóm@
@grade (v)@|@chÃm@
@grade exam work (v)@|@chÃm thi@
@grade schoolwork@|@chÃm Çi‹m@
@gradual increase@|@tiŒm ti‰n@
@gradually@|@tØ tØ@
@gradually decrease@|@tiŒm giäm@
@graduate@|@xuÃt môn@
@grain@|@håt, thóc@
@grain of dust@|@håt bøi@
@grand@|@Çåi, l§n, l§n lao@
@grand dream@|@hoài bão@
@grand opening@|@khai trÜÖng@
@grandmother@|@bà@
@graph@|@bi‹u ÇÒ@
@grass@|@cÕ@
@grasshopper@|@cào cào@
@grave@|@m¶@
@gravity@|@tr†ng l¿c@
@grease@|@nh§t@
@Greece@|@Hy Låp@
@greed@|@ham, lòng tham@
@greedy@|@tham, tham lam@
@green@|@xanh@
@green onion@|@hành lá@
@grenade@|@l¿u Çån, tåc Çån@
@group@|@Ç¶i, h¶i, h¶i Çoàn, nhóm@
@grow@|@tæng trÜªng@
@grummpy@|@khó chÎu@
@grumpy@|@cÃm c£n@
@guarantee@|@bäo Çäm@
@guess@|@Çoán@
@guest@|@khách@
@guichet@|@quÀy@
@guide@|@chÌ Çåo, chÌ ÇÜ©ng@
@guide (v)@|@chÌ ÇÜ©ng@
@guide the way@|@dÅn ÇÜ©ng@
@guideline@|@chÌ dÅn, hÜ§ng dÅn, lŠ lÓi@
@guilt@|@t¶i@
@guilty@|@phåm t¶i@
@gum (oral)@|@l®i@
@gutter@|@máng sÓi@
@hair@|@tóc@
@hair needle@|@trâm@
@half@|@bán@
@half baked@|@lÜng chØng@
@half dead@|@hÃp hÓi@
@half way@|@lÜng chØng@
@half-dead@|@ngáp ngáp@
@half-done@|@dang dª@
@half-naked (upper body)@|@trÀn@
@halibut@|@cá thu@
@hallway@|@hành lang@
@hammer a nail@|@Çóng Çinh@
@hammock@|@võng@
@hand@|@bàn tay@
@hand link@|@vòng tay@
@hand to@|@ÇÜa@
@handcuff@|@còng@
@handicraft@|@thû công@
@handout@|@bÓ thí@
@handsome@|@Çi‹n trai@
@handsome and clean cut@|@cao ráo@
@hand-to-hand combat@|@cÆn chi‰n@
@hang (v)@|@treo@
@hang around someone@|@Çánh Çu@
@hang on (v)@|@bám@
@haphazard@|@Çåi@
@happy@|@vui@
@harass@|@hành hå, làm khó dÍ, quÃy nhiÍu, phiŠn nhiÍu@
@harbor resentment@|@thù dai@
@hard@|@cÙng@
@hardship@|@kh°@
@hardware@|@cÜÖng liŒu, phÀn cÙng@
@harm oneself@|@t¿ håi@
@harmless@|@vô håi@
@harsh@|@kh¡c nghiŒt@
@harvest season@|@mùa g¥t@
@haste@|@hÃp tÃp@
@hate@|@thù, thù, thù@
@hate (v)@|@thù@
@hatred@|@hÆn thù@
@have (v)@|@có@
@have an affair@|@æn vøng@
@have an affair with ...@|@t¢ng tÎu@
@have enough@|@chán@
@have low opinion on@|@chê@
@have no choice@|@ch£ng Ç¥ng ÇØng@
@have nothing to do@|@vô công rÒi nghŠ@
@having many children@|@ÇÀy Çàn@
@hawkish@|@chû chi‰n@
@he@|@chàng, gã, nó, y@
@he (impolite)@|@th¢ng@
@head@|@ÇÀu@
@head (severed)@|@thû cÃp@
@head directly toward@|@tr¿c chÌ@
@head of household@|@chû nhà, gia chû@
@health@|@sÙc khÕe@
@healthy@|@khÕe@
@hear@|@nghe@
@hearse@|@xe chª quan tài, xe tang@
@heart@|@tim@
@heartless@|@vô tâm@
@heat (n)@|@nhiŒt@
@heaven@|@thiên Çàng@
@heavily influenced by foreign cultures@|@ngoåi lai@
@heavy@|@n¥ng, n¥ng nŠ@
@hell@|@ÇÎa ngøc@
@help@|@chÌ dÅn, tr®@
@help someone walk by holding up his/her body@|@dìu@
@hen@|@gà mái@
@herbicides@|@khai quang@
@herd@|@låc Çàn@
@hesistant@|@phân vân@
@hesistate@|@do d¿@
@hesistate due to fear@|@g©m@
@hiccup@|@nÃc cøc@
@hidden@|@Än@
@hidden agenda or intention@|@Än š@
@hide@|@dÃu di‰m@
@hide (v)@|@dÃu, trÓn@
@hide and show one-self behind an object@|@thÆp thò@
@high jump@|@nhäy cao@
@high movement@|@cao trào@
@high school@|@trung h†c@
@high sex drive@|@Ça dâm@
@high spirit@|@hæng@
@high technology@|@kÏ thuÆt cao Ç£ng@
@highland inhabitants in Vietnam@|@ThÜ®ng@
@highly skilled@|@thiŒn nghŒ@
@hijacker@|@không t¥c@
@hill@|@ÇÒi@
@hill slope@|@triŠn ÇÒi@
@him...) right!@|@ñáng Ç©i!@
@hire (v)@|@mÜ§n@
@hireling@|@thû hå@
@hit@|@Çánh@
@hi-tech@|@kÏ thuÆt cao Ç£ng@
@hobby@|@sª thích, thú chÖi@
@hold@|@cÀm, gi»@
@hold down@|@d¢n xuÓng@
@hold grudge@|@Ç‹ bøng, thù dai@
@hold in hand@|@cÀm@
@hold in mouth (v)@|@ngÆm@
@hold off an attack@|@ÇÄy bÆt Ç®t tÃn công@
@hold with care@|@nâng niu@
@holdup@|@æn cÜ§p@
@hole@|@l‡@
@Holland@|@Hòa Lan@
@home@|@tÜ gia@
@homeless@|@màn tr©i chi‰u ÇÃt, vô gia cÜ@
@hometown@|@gÓc gác@
@homonym@|@ÇÒng âm@
@homophone@|@ÇÒng âm@
@homosexuality@|@ÇÒng tính luy‰n ái@
@honest@|@th£ng th¡n, thành thÆt@
@hook@|@câu@
@hopeless@|@vô v†ng@
