@Old Norse@|@English@
@hveðrungr@|@monster@
@hveitiakr@|@wheat_field@
@hverfa@|@turn (v)@
@hverfr@|@quickly, changeable@
@hvergi@|@nowhere@
@hverr@|@who, every@
@hversdagliga@|@commonly, usually@
@hversu@|@how, however@
@hvert@|@whither@
@hvessa@|@sharpen (v)@
@hvíla@|@bed, rest (v)@
@hvílð@|@pause, rest@
@hvítingr@|@drinking_horn@
@hvítna@|@Become white (v)@
@hvítr@|@shining, white@
@hybyli@|@homestead, home@
@hyggja@|@mean (v), think (v), see (v), intend (v)@
@hylli@|@grace, favor@
@hylr@|@pool, hole@
@hyrr@|@fire@
@iðgjǫld@|@compensation@
@iðja@|@task, perform (v)@
@iðn@|@occupation@
@iðrask@|@repent (v)@
@íhuga@|@consider (v), Try to decide (v)@
@íhugi@|@resentment@
@illa@|@badly@
@illiligr@|@hideous, ugly@
@illmæli@|@calumny, slander@
@illr@|@evil, bad, unpleasing, ugly@
@illska@|@cruelty@
@inna@|@repay (v), pay (v), accomplish (v)@
@innan@|@within@
@innganga@|@entrance@
@inniliga@|@exactly@
@íss@|@ice@
@ístra@|@paunch_fat@
@íþrótt@|@accomplishment@
@já@|@yes@
@jaðarr@|@edge@
@jafn@|@equal@
@jafna@|@trim (v)@
@jafnaðr@|@equality, justice@
@jafnan@|@always@
@jafndœgri@|@equinox@
@jafnmenni@|@match@
@jarl@|@earl, gentleman@
@jarmr@|@screaming@
@járn@|@iron@
@járnleikr@|@battle@
@járnsmiðr@|@iron_smith@
@játa@|@Agree to (v)@
@jǫfnuðr@|@equality@
@jǫfurr@|@prince, king@
@jǫkull@|@glacier@
@jǫrð@|@earth@
@Jórsalafarar@|@crusaders@
@jǫtunn@|@giant@
@kæra@|@accuse (v), Lay a charge against (v)@
@kærr@|@dear, close@
@kala@|@freeze (v)@
@kaldr@|@cold@
@kálfr@|@calf@
@kalla@|@Cry out (v), call (v)@
@kanna@|@explore (v), search (v)@
@kapp@|@competition, ardor, contest, courage@
@kappi@|@champion, hero@
@karl@|@common, churl, man@
@karlmaðr@|@man@
@kasta@|@cast (v), throw (v)@
@kastali@|@castle@
@kátr@|@merry@
@kaun@|@boil, sore@
@kaup@|@bargain, wages@
@kaupa@|@Make a bargain (v), buy (v)@
@kaupeyrir@|@wares@
@kaupmaðr@|@trader, merchant@
@kaupstefna@|@market@
@keipr@|@canoe, small@
@kelda@|@fountain, spring@
@kengr@|@arch, bend@
@kenna@|@recognize (v), feel (v), taste (v), know (v)@
@kerling@|@old@
@ketill@|@cauldron@
@kið@|@kid@
@kinn@|@cheek@
@kippa@|@jerk (v)@
@kirkja@|@church@
@kista@|@chest, box@
@kjóll@|@ship@
@kjǫlr@|@keel@
@kjǫptr@|@jaw@
@kjósa@|@choose (v)@
@klæða@|@clothe (v)@
@klæði@|@garment, clothing@
@klaka@|@chatter (v)@
@klappa@|@knock (v)@
@kljúfa@|@cleave (v)@
@klofna@|@split (v)@
@klóra@|@scratch (v)@
@knappr@|@knob@
@kné@|@knee@
@kneppa@|@button (v), fasten (v)@
@knífr@|@knife@
@knǫð@|@duty@
@knoða@|@knead (v)@
@knǫrr@|@ship@
@knǫttr@|@sphere, ball@
@knúi@|@knuckle@
@knúta@|@knuckle_bone@
@knútr@|@knot@
@knyja@|@struggle (v)@
@kǫgursveinn@|@infant@
@kol@|@charcoal, coals@
@kollóttr@|@bald@
@koma@|@occur (v), Come about (v), arrive (v), recover (v)@
@kona@|@wife, woman@
@kǫngull@|@cluster, bunch@
@konungr@|@king@
@kǫpuryrði@|@boasting@
@korn@|@corn, grain@
@kosta@|@Put forth effort (v)@
@kostnaðr@|@expense, cost@
@kostr@|@offer, condition, opportunity, choice, quality@
@kǫttr@|@cat@
@kraki@|@pole_ladder@
@kraptr@|@strength@
@krás@|@dainty@
@krefja@|@crave (v), ask (v)@
@krellr@|@hardihood, spirit@
@krikta@|@complain (v), Cry out (v)@
@krjúpa@|@creep (v), crouch (v)@
@krókr@|@hook@
@krǫptugr@|@strong@
@kross@|@cross@
@kunna@|@know (v), Know how to (v)@
@kunnandi@|@accomplishments, knowledge@
@kunnigr@|@known@
@kunningi@|@acquaintance@
@kunnr@|@known@
@kunnusta@|@ability, knowledge@
@kurteisliga@|@courteously@
@kvæði@|@poem@
@kváma@|@arrival@
@kván@|@wife@
@kvángaðr@|@married@
@kvángask@|@marry (v)@
@kvánlauss@|@unmarried@
@kveða@|@say (v), declare (v), recite (v)@
@kveðja@|@salute (v), Call up (v), greeting, greet (v)@
@kveisa@|@boil@
@kveld@|@evening@
@kveldsǫngr@|@evensong@
@kvenna@|@wive's@
@kvennalið@|@women@
@kveykva@|@kindle (v), light (v)@
@kví@|@sheepfold@
@kviðlingr@|@ditty@
@kviðr@|@belly@
@kvikindi@|@creature@
@kvikr@|@alive@
@kvilla@|@sickness@
@kvisa@|@whisper (v)@
@kvistr@|@branch, twig@
@kykr@|@living, alive@
@kykvendi@|@animals@
@kyll@|@bag, knapsack@
@kyn@|@origin, kin, kind@
@kynkvísl@|@descendants, lineage@
@kynligr@|@strange, wondrous@
@kyr@|@cow@
@kyrr@|@quiet@
@kyrtill@|@kirtle@
@kyssa@|@kiss (v)@
@læging@|@disgrace, humiliation@
@lægja@|@sink (v), lower (v)@
@lærleggr@|@thigh_bone@
@læsa@|@Shut up (v), lock (v)@
@læti@|@noise@
@lag@|@stratum, position, layer@
@lág@|@log@
@lágr@|@small@
@lagsmaðr@|@companion@
@land@|@country, land@
@landaleitan@|@exploration@
@landauðn@|@depopulation@
@landaurar@|@land_dues@
@landi@|@fellow_countryman@
@landnám@|@settlement@
@landnámamaðr@|@settler@
@landskjálpti@|@earthquake@
@landsuðr@|@south_east@
@langlífr@|@long_lived@
@langr@|@long@
@langskip@|@warship@
@lasta@|@blame (v), Speak ill of (v)@
@laufgrœnn@|@leaf_green@
@laufsblað@|@leaf@
@laug@|@bath@
@lauga@|@bathe (v)@
@laun@|@secrecy, reward@
@launa@|@reward (v)@
@lauss@|@free, loose, unsteady@
@lausung@|@falseness@
@lax@|@salmon@
@leggr@|@leg@
@leið@|@path, journey, fashion, way, manner, road@
@leiðitamr@|@genial@
@leiðr@|@hateful@
@leiga@|@rent (v), hire (v)@
@leika@|@play (v), sport (v)@
@leikr@|@sport, contest, game@
@leira@|@mud_flat@
@leita@|@go (v), find (v), seek (v), Search for (v)@
@lemja@|@break (v)@
@lendr@|@landed@
@lendrmaðr@|@nobleman@
@lengð@|@length@
@lengi@|@long@
@lengja@|@lengthen (v), prolong (v)@
@lengr@|@longer@
@lengst@|@longest@
@lérept@|@linen, clothes@
@lesa@|@gather (v)@
@lesta@|@injure (v)@
@letja@|@dissuade (v)@
@létta@|@cease (v), stop (v), lift (v)@
@leyðra@|@wash (v)@
@leyfa@|@praise (v)@
@leyna@|@conceal (v)@
@leysa@|@purchase (v), untie (v), tear (v), redeem (v)@
@lið@|@troops, aid, people, band@
@liða@|@progress (v), go (v), pass (v)@
@liði@|@follower@
@liðr@|@joint@
@liðveizla@|@help, support@
@líf@|@life@
@lifa@|@live (v)@
@lífdagar@|@life@
@líflátinn@|@dead@
@lífs@|@alive@
@liggja@|@lodge (v), Lie down (v)@
@lík@|@corpse@
@líka@|@please (v)@
@líkami@|@body@
@líki@|@equal, like, shape, form@
@líkindi@|@likelihood@
@líkligr@|@likely, probable@
@líkr@|@likely@
@lími@|@besom, branch@
@lín@|@linen@
@lind@|@shield, lime_tree@
@linr@|@kindly@
@list@|@art@
@líta@|@seem (v), Take into consideration (v), see (v)@
@litask@|@Look about (v)@
@lítillátliga@|@humbly@
@lítilræði@|@trifle@
@litklæði@|@colored@
@litlauss@|@pale, colorless@
@litr@|@complexion, color@
@ljá@|@lend (v)@
@ljóma@|@shine (v)@
@ljómi@|@radiance@
@ljós@|@light@
@ljóss@|@bright, clear@
@ljósta@|@strike (v)@
@ljótr@|@ugly@
@ljúga@|@Tell a lie (v)@
@lǫð@|@hospitality, invitation@
@loðinn@|@hairy@
@lœkr@|@brook, stream@
@lof@|@praise@
@lofa@|@permit (v), allow (v), praise (v)@
@lofðungr@|@king@
@lófi@|@palm@
@lofkvæði@|@encomium@
@lǫg@|@laws, constitution, law@
@loga@|@blaze (v)@
@lóga@|@Part with (v)@
@lǫgberg@|@law_rock@
@logn@|@calm@
@lǫgr@|@water@
@lǫgsǫgumaðr@|@law_speaker@
@lokrekkja@|@bed_closet@
@lǫn@|@row@
@lopt@|@sky, aloft@
@losna@|@Become loose (v)@
@lostigr@|@willing@
@lúðr@|@trumpet@
@lúka@|@finish (v), Use up (v), end (v)@
@lund@|@way, manner, mood, nature, character@
@lús@|@louse@
@lúta@|@bow (v), Pay reverence to (v), bend (v)@
@lyðr@|@people, men@
@lygi@|@falsehood, lie@
@lykð@|@end@
@lykill@|@key@
@lykkja@|@knot, loop@
@lyndisbragð@|@temper@
@lypta@|@lift (v)@
@lypting@|@poop_deck@
@lysa@|@proclaim (v), dawn (v), illuminate (v)@
@lysta@|@wish (v), desire (v)@
@má@|@rub (v)@
@maðr@|@husband, henchman, man@
@mækir@|@sword@
@mæla@|@speak (v)@
@mær@|@maiden@
@mæra@|@praise (v)@
@mærð@|@encomium, praise@
@mærr@|@noble, glorious, famous@
@magr@|@thin@
@mágr@|@brother_in_law@
@makligr@|@fitting@
@mál@|@information, language, time, cause, conversation@
@málaferli@|@lawsuits@
@máligr@|@talkative@
@malmhríð@|@battle@
@málstefna@|@conference@
@man@|@house_folk@
@mánaðr@|@month@
@máni@|@moon@
@mannaðr@|@accomplished@
@mannaforráð@|@authority@
@mannavegr@|@road@
@mannboð@|@feast@
@manndráp@|@manslaughter@
@mannfall@|@slaughter@
@mannliga@|@valiantly@
@mannligr@|@human@
@mannskaði@|@manslaughter@
@mannvænn@|@promising@
@mannvirðing@|@credit, honor@
@marglóð@|@gold@
@margr@|@many@
@mark@|@token, sign@
@marr@|@horse@
@martirium@|@martyrdom@
@matask@|@Eat a meal (v)@
@matbúa@|@Prepare food (v)@
@matr@|@meal, food@
@matsveinn@|@cook@
@máttr@|@ability, might@
@maurr@|@ant@
@meðal@|@between@
@mega@|@Be able to (v)@
@megin@|@ability, might, power@
@megingrimmr@|@terrible@
@meginland@|@mainland@
@meiða@|@maim (v), injure (v)@
@meiðmar@|@treasures@
@meiðr@|@pole@
@mein@|@pain, disease, hurt, injury, plague@
@meinalauss@|@sinless@
@meinsamr@|@violent, harmful@
@meiri@|@bigger, more@
@meirr@|@more@
@meizi@|@mutilation, injury@
@melrakki@|@white@
@men@|@jewel, treasure, necklace@
@mengi@|@multitude@
@mennt@|@accomplishment, art@
@menntr@|@well_bred@
@menskr@|@human@
@mergr@|@marrow@
@merki@|@sample, banner, boundary@
@merr@|@mare@
@mersing@|@brass@
@messa@|@mass, feast_day@
@mestr@|@greatest@
@meta@|@value (v), estimate (v)@
@metnaðargjarn@|@ambitious@
@metorð@|@esteem@
@miðla@|@mediate (v)@
@miðli@|@among, between@
@miðr@|@middle@
@miðsumar@|@midsummer@
@mikill@|@large, big, great@
@mikillæti@|@pride, presumption@
@mikilúðligr@|@imposing@
@mikit@|@greatly@
@mikla@|@Make great (v)@
@mildr@|@generous, merciful@
@minka@|@Be diminished (v), lessen (v)@
@minn@|@my@
@minna@|@remind (v)@
@minstr@|@least@
@misjafnt@|@unequally@
@miski@|@offence@
@miskunn@|@grace, mercy@
@miskunnsamr@|@merciful@
@mislíka@|@displease (v)@
@missa@|@lose (v)@
@mjǫðr@|@mead@
@mjǫl@|@flour, meal@
@mjǫlbelgr@|@meal_bag@
@mjólka@|@milk (v)@
@móðir@|@mother@
@móðr@|@weary, fury, wrath@
@mœði@|@weariness, exhaustion@
@mœta@|@meet (v), Deal with (v)@
@mǫgr@|@kindred, son@
@mǫl@|@gravel@
@mold@|@earth, mould@
@moli@|@bits, piece@
@mǫn@|@mane@
@morðvíg@|@murder@
@mǫrk@|@forest@
@morna@|@Waste away (v)@
@mosi@|@moss@
@mǫsurr@|@maple@
@mót@|@towards, manner@
@mótgørð@|@offence, annoyance@
@muðr@|@mouth@
@muna@|@remember (v)@
@mund@|@hand@
@mungát@|@ale, drink@
@munkr@|@monk@
@munnr@|@mouth@
@munr@|@mind, heart, difference@
@munstrǫnd@|@breast@
@mús@|@mouse@
@mykjask@|@Be softened (v)@
@mynd@|@form, shape@
@myrkr@|@darkness, dark@
@myrkva@|@Grow dark (v)@
@myrr@|@bog, swamp@
@ná@|@obtain (v)@
@nábúi@|@neighbor@
@naðr@|@serpent@
@nær@|@closely, nearly, nearer@
@næst@|@nearest@
@næsta@|@nearly@
@nætrelding@|@dawn@
@nafn@|@name@
@nagl@|@nail@
@nálægr@|@close@
@nálgask@|@Come up to (v), approach (v)@
@náliga@|@nearly, almost@
@nánd@|@proximity@
@nár@|@corpse@
@nári@|@groin@
@nátta@|@Become night (v)@
@náttúra@|@spirits@
@náttverðr@|@supper@
@nauð@|@harm, poverty, distress@
@nauðsyn@|@need, necessity@
@náungi@|@kinsman@
@neðar@|@lower@
@neðri@|@lower@
@nef@|@nose@
@neffǫlr@|@yellow_beaked@
@nefna@|@name (v)@
@neinn@|@none, no@
@neiss@|@shamed@
@neita@|@refuse (v), deny (v)@
@nema@|@take (v)@
@neppr@|@slight@
@nes@|@headland@
@nest@|@provisions@
@níð@|@hostility, contumely@
@níða@|@slander (v)@
@niðr@|@scion, kinsman, son, down@
@niðri@|@down@
@nipt@|@sister@
@níu@|@nine@
@njósn@|@news@
@njóta@|@enjoy (v), Have the use of (v)@
@nógr@|@abundant@
@nógu@|@sufficiently@
@nøkkviðr@|@ill_clad, naked@
@norðanverðr@|@northern@
@norðr@|@northwards@
@nǫs@|@nostril@
@nótt@|@night@
@nylunda@|@news@
@nyr@|@new@
@nyta@|@eat (v), use (v), avail (v), profit (v)@
@nytr@|@useful@
@óáran@|@dearth@
@óbirgr@|@unprovided@
@óbygð@|@wilderness@
@ódæll@|@overbearing@
@oddr@|@point@
@ǫðlask@|@earn (v), win (v)@
@óðr@|@furious, frantic@
@ódrengskapr@|@meanness@
@œpa@|@Cry out (v)@
@œrinn@|@sufficient, enough@
@œrit@|@enough, sufficient@
@œrr@|@mad, frantic@
@œska@|@youth@
@œztr@|@highest@
@of@|@pride@
@ofan@|@down, southward@
@ófœra@|@peril@
@ófœrr@|@impassable@
@ófǫlr@|@dark@
@ófrær@|@barren, unproductive@
@óframliga@|@timidly@
@ófriðr@|@hostility, war@
@ofríki@|@overbearing, tyranny@
@ofsa@|@exaggerate (v)@
@ofsi@|@pride@
@ǫfugr@|@backwards@
@ófúss@|@unwilling@
@ógæfa@|@misfortune@
@ógagn@|@harm, hurt@
@ógagnvænligr@|@unprofitable, useless@
@óglaðr@|@glum@
@ógleði@|@depression, sadness@
@ógǫrr@|@undone@
@ógurligr@|@terrible@
@óhægindi@|@discomfort@
@óhapp@|@misfortune@
@óhœgr@|@difficult@
@óhóf@|@pride@
@óhræddr@|@unafraid@
@óhreinn@|@impure@
@ójafnaðr@|@unfairness, injustice@
@ókátr@|@depressed@
@ókræsilegr@|@filthy, dirty@
@ókunnigr@|@unknown@
@ókviðinn@|@undismayed@
@ǫl@|@beer@
@ǫldungr@|@hero@
@ólíkligr@|@unlikely@
@ólíkr@|@unlike@
@ǫlker@|@ale_cask@
@ómakligr@|@undeserving@
@ómegin@|@faintness@
@ǫnd@|@breath, soul@
@ǫndóttr@|@terrible, fiery@
@ónytr@|@useless@
@opnask@|@Be opened (v)@
@opt@|@often@
@optar@|@again, oftener@
@ǫr@|@arrow@
@óráðinn@|@undecided@
@orð@|@message, speech, word@
@orðsending@|@message@
@orðskviðr@|@proverb@
@orðstírr@|@fame, renown@
@orðtœki@|@phrase, expression@
@ørendi@|@message, mission@
@óreyndr@|@untried@
@ørgrandr@|@honest, fair_minded@
@ørindi@|@breath@
@orka@|@strength, work (v), might@
@orlof@|@permission@
@ormr@|@serpent@
@ǫrn@|@eagle@
@órr@|@our@
@ǫrr@|@swift, keen, liberal@
@orrosta@|@battle@
@øruggr@|@safe, secure, trusty@
@ørvænn@|@unlikely@
@órval@|@dregs@
@ǫrvendr@|@left_handed@
@ósælligr@|@ill_favored, wretched@
@ósakaðr@|@unhurt@
@ósárr@|@unhurt@
@óskírðr@|@unbaptized@
@óskorinn@|@unshorn@
@ósnjallr@|@unwise, foolish@
@ósœmd@|@dishonor@
@ósómi@|@ignominy, dishonor@
@óss@|@estuary@
@óst@|@throat@
@ósterkligr@|@weak@
@óþokkuligr@|@nasty, dirty@
@ótrúligr@|@unbelievable@
@ótti@|@dread, fear@
@óvænligr@|@unlikely@
@óvættr@|@monster@
@óvarliga@|@incautiously@
@óvarr@|@unwary, unaware@
@óvendiliga@|@carelessly@
@óvinr@|@enemy@
@óvirðing@|@disgrace@
@óvíss@|@uncertain@
@óvistuligr@|@desolate@
@óvitr@|@uninformed, ignorant@
@óvitrligr@|@unwise@
@øx@|@axe@
@penningr@|@coin, penny@
@pína@|@mortify (v)@
@prestr@|@priest@
@prúðr@|@splendid, proud@
@prútt@|@gallantly@
@ráð@|@plan, expedient, intention, counsel, authority@
@ráða@|@set (v), counsel (v), rule (v), go (v), advise (v)@
@ráðligr@|@advisable@
@ræfr@|@roof@
@ræna@|@Deprive of (v), plunder (v), rob (v)@
@raka@|@rake (v)@
@rakki@|@dog@
@rammligr@|@strong@
@rás@|@hurry, race@
@rasa@|@rush (v), stumble (v)@
@rata@|@Fall down (v)@
@rauðlitaðr@|@ruddy@
@rauðr@|@red@
@rauðskeggjaðr@|@red_bearded@
@rauf@|@hole@
@raun@|@test, trial@
@réa@|@vex (v)@
@reið@|@riding, chariot@
@reiða@|@service, raise (v), swing (v), Swing up (v)@
@reiði@|@trappings, wrath, anger@
@reiðr@|@angry@
@reifr@|@cheerful@
@reip@|@rope, trace@
@reisa@|@raise (v)@
@reisiligr@|@fine@
@reka@|@avenge (v), drive (v), thrust (v), depose (v)@
@reki@|@jetsam@
@rekkja@|@bed@
@rekkr@|@warrior, man@
@réna@|@diminish (v), dwindle (v)@
@renna@|@run (v)@
@rétta@|@raise (v), Atone for (v), reach (v)@
@réttligr@|@correct@
@réttr@|@treaty, unswerving, correct, law, cause, condition@
@reykr@|@smoke@
@reyna@|@try (v), prove (v)@
@ríða@|@wind (v), twist (v)@
@riddari@|@horseman@
@rif@|@rib@
@rífa@|@rip (v), tear (v)@
@ríki@|@power, authority, kingdom@
@ríkr@|@powerful, great@
@rinna@|@run (v)@
@ript@|@clothes@
@rísa@|@rise (v), Get up (v)@
@risna@|@hospitality, liberality@
@ríta@|@write (v)@
@rjóða@|@Make red (v)@
@rjóðr@|@clearing, red, ruddy@
@rjúka@|@reek (v), smoke (v)@
@ró@|@rest@
@róa@|@row (v)@
@rǫð@|@rank@
@rǫdd@|@voice@
@roðinn@|@reddened@
@rǫðull@|@sun@
@rœða@|@conversation, speak (v), talk@
@rof@|@opening@
@róg@|@contention, slander@
@rómr@|@applause@
@rǫnd@|@shield, rim@
@rǫskliga@|@gallantly@
@rót@|@root@
@róta@|@upset (v)@
@rúm@|@room, seat, space@
@rún@|@mysteries@
@ryðja@|@clear (v), empty (v), prepare (v)@
@sá@|@sow (v)@
@saðr@|@true@
@sæll@|@fortunate, happy@
@sæng@|@bed@
@sær@|@sea@
@særa@|@wound (v)@
@sæta@|@signify (v)@
@sæti@|@seat@
@sætt@|@reconciliation@
@sætta@|@reconcile (v)@
@safna@|@gather (v), collect (v)@
@saga@|@story@
@saka@|@Do harm (v)@
@saklauss@|@innocent@
@sakna@|@miss (v)@
@sál@|@soul@
@salr@|@hall@
@sama@|@befit (v)@
@saman@|@together@
@sameign@|@dealings@
@samgangr@|@conflict@
@samna@|@gather (v), collect (v)@
@samnaðr@|@gathering, host@
@samr@|@same@
@sandr@|@TRUE@
@sanna@|@affirm (v)@
@sannindi@|@truth@
@sannliga@|@truly@
@sannligr@|@fair@
@sannr@|@true@
@sár@|@wound@
@sárr@|@wounded, sore, painful@
@sási@|@this@
@sáttr@|@reconciled@
@sauðamaðr@|@shepherd@
@sauma@|@sew (v)@
@saurr@|@filth, mud@
@sax@|@knife@
@sefask@|@Be pacified (v)@
@seggr@|@hero@
@segja@|@stipulate (v), say (v)@
@segl@|@sail@
@seiðr@|@enchantment, spell@
@seiling@|@graspingness@
@seinn@|@tedious, slow@
@seint@|@coldly, slowly@
@sekr@|@outlawed@
@sekt@|@outlawry, penalty@
@selja@|@sell (v), give (v)@
@sem@|@that@
@senda@|@send (v)@
@sendiferð@|@mission, errand@
@sendimaðr@|@messenger@
@senn@|@straightway@
@serkr@|@shirt@
@setja@|@set (v), establish (v), make (v), adorn (v)@
@sétti@|@sixth@
@sex@|@six@
@sextán@|@sixteen@
@seyðir@|@cooking_fire@
@síða@|@side@
@síðan@|@afterwards, because@
@síðar@|@later@
@síðast@|@latest@
@síðastr@|@last@
@siðr@|@religion, custom@
@síðr@|@long, hanging@
@siðvenja@|@custom@
@sifjar@|@affinity@
@sifjaslit@|@incest@
@siga@|@sink (v), yield (v)@
@sigla@|@sail (v)@
@sigling@|@sailing@
@sigr@|@victory@
@sigra@|@overcome (v)@
@silfr@|@silver@
@sinni@|@host, companion@
@sitja@|@sit (v), remain (v), stay (v), reside (v)@
@sízt@|@least@
@sjá@|@see (v), gaze (v), this@
@sjaldan@|@seldom@
@sjálfr@|@self@
@sjálfráðr@|@free@
@sjálfsáinn@|@self_sown@
@sjálfvili@|@free_will@
@sjau@|@seven@
@sjautján@|@seventeen@
@sjóða@|@boil (v), cook (v)@
@sjón@|@gaze@
@sjór@|@sea@
@sjǫt@|@abode, company, host@
@skaða@|@Do harm to (v)@
@skaði@|@loss, damage@
@skær@|@steed@
@skafa@|@scrape (v), allot (v)@
@skáld@|@scald, poet@
@skáldskapr@|@poetry@
@skáli@|@sleeping_hall, shed, hall@
@skálpr@|@scabbard@
@skap@|@temper@
@skapa@|@create (v), appoint (v)@
@skapfeldr@|@agreeable@
@skapgóðr@|@good_tempered@
@skapleikr@|@character, disposition@
@skaplyndi@|@disposition, mood@
@skapraun@|@annoyance, vexation@
@skapsmunir@|@disposition@
@skapt@|@handle@
@skarðr@|@diminished@
@skartsmaðr@|@dandy@
@skati@|@ruler, leader@
@skaut@|@hem, border@
@skegg@|@beard@
@skeggjaðr@|@bearded@
@skeið@|@race, running_ground, course@
@skelfa@|@frighten (v)@
@skellr@|@stroke, blow@
@skemmr@|@shorter@
@skemta@|@amuse (v), entertain (v)@
@skemtiligr@|@amusing, entertaining@
@skemtun@|@pastime, amusement@
@sker@|@rock@
@skera@|@cut (v), slaughter (v)@
@skíð@|@snow_skate@
@skikkja@|@cloak@
@skilja@|@perceive (v), separate (v), understand (v)@
@skillingr@|@money, shilling@
@skilnaðr@|@parting@
@skína@|@shine (v)@
@skinn@|@fur, skin@
@skinnavara@|@fur_ware@
@skip@|@boat, ship@
@skipa@|@place (v), provide (v), crowd (v), occupy (v)@
@skipan@|@crew, change@
@skipflak@|@wreck@
@skipsbrot@|@shipwreck@
@skipta@|@Amount to (v), change (v), divide (v), share (v)@
@skipti@|@dealings@
@skíra@|@baptize (v)@
@skírn@|@baptism@
@skjaldborg@|@protection@
@skjálfa@|@shake (v), tremble (v)@
@skjarr@|@shy@
@skjóðupungr@|@skin_purse@
@skjǫldr@|@shield@
@skjóta@|@throw (v), shoot (v), hop (v)@
@skjótfœri@|@swiftness, speed@
@skjótla@|@quickly@
@skjótleikr@|@fleetness@
@skjótr@|@swift, quick@
@skjótt@|@quickly@
@skóð@|@weapon@
@skógarmaðr@|@outlaw@
@skógr@|@wood, forest@
@skokkr@|@receptacle, box@
@skǫmm@|@shame@
@skór@|@shoe@
@skǫr@|@locks, hair@
@skorta@|@Be lacking (v)@
@skǫruligr@|@magnificent, manly@
@skósveinn@|@servant, page@
@Skozkr@|@Scottish@
@skreppa@|@scrip, slip (v)@
@skriða@|@landslide@
@skríða@|@glide (v), ski (v)@
@skrifa@|@write (v)@
@skrípi@|@phantom, horror@
@skrúð@|@cloth, stuff@
@skuld@|@debt@
@skuldalið@|@family@
@skutilsveinn@|@trencherman@
@sky@|@cloud@
@skyld@|@sake, reason@
@skyldr@|@obliged, right@
@skyn@|@knowledge@
@skynda@|@hurry (v)@
@skyndiliga@|@hastily, quickly@
@skynsamliga@|@intelligently, carefully@
@skyrr@|@clear, manifest@
@skyrta@|@coat, kirtle@
@slá@|@mow (v), strike (v), smite (v), forge (v)@
@slátr@|@flesh, meat@
@slátra@|@slaughter (v)@
@sleita@|@quarrel (v)@
@sletta@|@slap (v)@
@sléttr@|@smooth, level@
@slíðir@|@sheath, scabbard@
@slíðrar@|@scabbard, sheath@
@slíta@|@tear (v), break (v), rend (v), snap (v)@
@slitna@|@snap (v), break (v)@
@slitri@|@rag@
@slœgr@|@clever, crafty, profit@
@sløkkva@|@extinguish (v)@
@sløngva@|@hurl (v)@
@slungnir@|@throw (v)@
@slyngva@|@throw (v)@
@smalamaðr@|@herdsman, shepherd@
@smali@|@sheep@
@smár@|@small@
@smáskitligr@|@insignificant, undersized@
@smáþarmar@|@small_guts@
@smíð@|@building@
@smíða@|@make (v), build (v)@
@smiðja@|@smithy@
@smiðr@|@artificer@
@snær@|@snow@
@snara@|@twist (v)@
@snarpliga@|@sharply@
@sneiða@|@taunt (v)@
@snemt@|@early@
@sneypa@|@disgrace@
@sníða@|@cut (v)@
@snimhendis@|@early@
@snimma@|@early@
@snjallr@|@eloquent, brave@
@snjár@|@snow@
@snotr@|@wise@
@snúa@|@twist (v), tie (v), turn (v)@
@sǫðull@|@saddle@
@sœkja@|@attack (v), advance (v), proceed (v), seek (v)@
@sœmd@|@honor, redress@
@sœmð@|@honor, redress@
@sœmiligr@|@becoming, honorable@
@Sœnskr@|@Swede, Swedish@
@sœri@|@oaths@
@sofa@|@sleep (v)@
@sofna@|@Fall asleep (v)@
@sǫgn@|@report, account@
@sǫk@|@offence, suit, charge, action, reason, cause@
@søkkva@|@sink (v)@
@sókn@|@attack, fight@
@sólbjǫrg@|@sunset@
@soltinn@|@hungry@
@sóma@|@beseem (v), become (v)@
@sómi@|@compensation@
@sonarson@|@grandson@
@sǫngr@|@song, clash, singing@
@sonr@|@son@
@sópa@|@sweep (v)@
@sopi@|@mouthful@
@sortna@|@Grow dark (v)@
@sótt@|@illness@
@sóttarfar@|@sickness@
@spá@|@prophecy@
@spákona@|@prophetess@
@spakr@|@learned, quiet, wise@
@spara@|@spare (v)@
@speld@|@shutter@
@spenna@|@span (v), clasp (v)@
@spilla@|@spoil (v), destroy (v)@
@spjǫr@|@spears@
@spjót@|@spear@
@spǫlr@|@rail, bar@
@spor@|@wound@
@sporðr@|@tail@
@sporna@|@spurn (v)@
@spretta@|@split (v)@
@springa@|@spring (v)@
@spyrja@|@Find out (v)@
@spyrna@|@kick (v)@
@staddr@|@placed, staying, present@
@staðfesta@|@homestead, farm@
@staðr@|@part, respect, way, place, dwelling, spot@
@stafkarl@|@tramp, beggar@
@stafn@|@stern@
@stafr@|@staff, crozier@
@stál@|@steel@
@stallari@|@marshal@
@stallr@|@stall@
@standa@|@stand (v)@
@starf@|@trouble@
@starfa@|@work (v)@
@steði@|@anvil@
@stef@|@refrain@
@stefna@|@advance (v), summon (v)@
@steinn@|@stone@
@stela@|@rob (v)@
@sterkliga@|@strongly@
@sterkr@|@strong@
@steypa@|@totter (v)@
@stíga@|@step (v), walk (v)@
@stígr@|@way, path@
@stikill@|@point@
@stikla@|@leap (v), run (v)@
@stilla@|@arrange (v)@
@stiltr@|@controlled@
@stinga@|@stab (v)@
@stirðlyndr@|@harsh@
@stirðr@|@stiff@
@stjarna@|@star@
@stjórna@|@Rule over (v)@
