@English@|@Chuvash@
@night@|@çër, shër@
@nightingale@|@shäpchäk@
@nine@|@tähär, tähhär@
@ninety@|@tähärvunä, tähärvunnä@
@nit@|@š'rga@
@nitrogen@|@azot@
@no one@|@nihäshë, nikam ta@
@no small amount@|@temtërlë@
@no sort of work@|@nimën ësh te@
@no way@|@nimënle te@
@noble@|@pojan@
@noise@|@chëvë, soj@
@noon@|@käntär@
@normal@|@jërkelle@
@north@|@shurshër@
@nose@|@sämsa, sawmza@
@not@|@-ma-, an, an, mar@
@not only@|@shesh mar@
@notebook@|@tetrad'@
@nothing@|@nijeple te, nim, nimën, nimën te@
@nothing of the sort@|@nimësker te@
@notice@|@säna, tuj@
@noun@|@japala jachë@
@noun restraint@|@charu@
@noun stop@|@charänu@
@November@|@Chük, nojabr'@
@now@|@ändä, ëntë, ëntë, hal', halë, nu, nu, pajan@
@now... now@|@përre... tepre@
@nowhere@|@nishta@
@number@|@hisep, hisep, nomer, shut, som@
@nut tree@|@šawškaw@
@oak@|@juman@
@oak grove@|@jumanläh@
@oak tree@|@joman, öman@
@oats@|@säwläw@
@obey@|@itle@
@object@|@japala@
@object of dedication@|@türe@
@obstruct@|@char-@
@October@|@oktjabr'@
@of course@|@ahär, ara@
@of sled runners@|@sh-h-h!@
@office@|@kantur@
@often@|@ëshke@
@oil@|@çu, shu@
@old@|@kivë, vad', vatä@
@old (not new)@|@kivë@
@old man@|@starik@
@old person@|@vatä@
@old things@|@kivë@
@old woman@|@karchäk@
@on credit@|@këtesle@
@on its side@|@jenëpe@
@on top@|@shinche@
@once more@|@kajalla@
@one@|@päwr, për, perre@
@one after the other@|@umla-hyshlä@
@one each@|@përer@
@one hundred@|@ser@
@one of@|@përi@
@one or another@|@përpër@
@one's proper@|@harpär häjën@
@onion@|@sohan, suxan@
@only@|@shesh, tek@
@onomatopoetic word@|@tan-tan-tan@
@onomatopoetic words@|@shält-shalt, shänkär-shänkär@
@ooze@|@särhän-@
@opening@|@shätäk@
@opinion@|@shuhäsh@
@or@|@e, je@
@order@|@jërke, syrl'x@
@orphan@|@t'lax@
@other@|@lesh, leshë, tepër, uräh@
@otter@|@'wd'wr@
@our@|@pirën@
@outer side@|@tol@
@outwards@|@tula@
@overthrow@|@s'x-@
@owing to@|@pula@
@owl@|@tämana, ügä, üxä@
@ox@|@väkar@
@Pacific@|@läpkä@
@page@|@stranicha@
@pain@|@yratni, yratu@
@pan@|@tagana@
@pant@|@syvla-@
@pants@|@jëm@
@paper@|@hut, xut@
@part of loom@|@käuräu@
@particle@|@päurže@
@particle makes interrogatives@|@ta@
@party@|@ëshkë-shikë@
@party (political)@|@parti@
@pass through@|@vit-@
@passion@|@väwrge@
@past of pur@|@purcch6e@
@pastry@|@kukäl'@
@path@|@shul@
@pay@|@tülev@
@pea@|@p'urza, pärça, päurze@
@peace@|@tënche@
@peaceful@|@läpah@
@peach@|@persik@
@pear@|@grucha@
@pebble@|@suj'r chulä@
@pedagogy@|@pedagogika@
@pedestal@|@sag'@
@peel@|@häjpät, sü-@
@peel off@|@šajar-@
@peg@|@karu@
@pencil@|@kärantash@
@peninsula@|@shurutrav@
@people@|@haläh, xaläx@
@pepper@|@päpäç, päräsh@
@perforated@|@sajra@
@person@|@syn'@
@person who is lazy@|@kahal@
@pert@|@šuldra@
@petersham@|@t'la, tawlla@
@petroleum@|@neft'@
@pig@|@sysna@
@pigeon@|@kävakarchän@
@pike@|@s'urdan, s'urtan@
@pile@|@kupa@
@pile up@|@kupala@
@pillow@|@minder, syd'r@
@pilot@|@lëtchik@
@pine tree@|@hyr, xyr'@
@pitch-dark@|@sëm-tëttëm@
@place@|@lart, tël, vyr'n@
@place between the neck@|@saha, suha@
@plain@|@hir, ol'x@
@plan@|@plan@
@planet@|@planeta@
@plant@|@zavod@
@play@|@v'uj'u@
@playful child@|@irtënchëh@
@pleasure@|@havas@
@pledge@|@s'k@
@plentiful@|@tuläh@
@plough breast@|@sorban@
@plow@|@plug, suha@
@pluck@|@s'ul-, tat@
@plug@|@p'ug'u@
@plum@|@sliva@
@plural to preceding@|@at'är@
@poem@|@sawvaw@
@poison@|@narkämäch@
@pole@|@turtä@
@poll@|@sasälav@
@poplar@|@tirek@
@poppy@|@mäkän'@
@porridge@|@p'ud'u@
@possess. suffix (3d person)@|@-šä@
@postposition@|@äsh@
@postposition approximately@|@jahän@
@postposition around@|@tavra@
@postposition by means of@|@pirki, shemën@
@postposition for@|@-palan@
@postposition thanks to@|@kura@
@postposition up to@|@taran@
@potato@|@çër ulmi@
@potatoes@|@parankä, shërulmi@
@prayer@|@këlë@
@predator@|@tisker-kajäk@
@prefer@|@kämälla@
@present@|@par@
@present-day@|@käshalhi@
@press in@|@chyx-@
@previously@|@maltan@
@prize@|@premi@
@production@|@produkci@
@profit@|@oz', usä@
@prop of the door hinge@|@k'kä@
@proper name Johnny@|@Van'uk@
@prophet@|@propok@
@prosthesis@|@protez@
@protect@|@hütële@
@protected@|@hütë@
@pulling@|@turtni@
@punishment@|@xän@
@pus@|@pür@
@quart@|@litr@
@quarter@|@tävatkal@
@question@|@yïtu@
@quick@|@av'k, pidä, püdä@
@quickly@|@chasah, hävärt@
@quiet@|@tülek@
@quiet and grey@|@bwm'wr@
@quite@|@shav teri@
@rafter@|@sol'@
@ragged@|@lästärkka@
@railroad@|@rel's@
@railroad ties@|@shpal@
@railway@|@chukun shul@
@rain@|@çumär, shämär, shumär, som'r@
@rake@|@këreple@
@ram@|@taka@
@rank@|@linejka@
@ransom for bride@|@xol'm@
@rash@|@tod'x, tud', tut@
@ravine@|@lupashka, putäk@
@reader@|@vulakan@
@reading@|@vulakan@
@reading room@|@chital'nja, vulaväsh@
@rear part postposition behind@|@hysh@
@reason@|@tupsäm@
@recently@|@paz'r@
@reception@|@hapäl@
@red@|@hërlë, xerle, xërlë@
@reed@|@xorhux@
@reedmace@|@chakan@
@region@|@rajon@
@rein@|@jëven@
@reins@|@sänchär@
@rejoice@|@havaslan@
@reknowned@|@muhtavlä@
@relative-in-law@|@xon@
@religion@|@tën@
@rely on@|@nen-@
@remain@|@jol-@
@remaining@|@julashki@
@report@|@hypar@
@reproachful attitude@|@u-uh@
@republic@|@respublika@
@request@|@-ha, -ka, jälän@
@resin@|@soh'r@
@resolution@|@rezoljutsi@
@respect@|@hisep@
@respected@|@aslä@
@revolution@|@revol'uci@
@rich@|@poräš@
@rifle@|@vintovkä@
@right@|@pravo, syltäm, tërës@
@ring@|@shëre@
@ripe@|@pis-@
@rise@|@äwn-@
@river@|@chyv, juhanshyv@
@river bed@|@vazan@
@road@|@çul, sol@
@roar@|@shavla@
@rock@|@xysak@
@roe@|@väulžäu@
@roof@|@tärä@
@room@|@pülëm@
@root@|@k'uk, täp, tymar@
@rope@|@p'jav@
@rose@|@roza@
@rotten@|@säräk, shër, shër, shërëk@
@round@|@savra@
@round thing@|@tub'@
@round wooden bowl@|@kandi@
@ruble@|@tenkë@
@ruff@|@k'r'š, k'rt'š@
@ruler@|@patsha@
@rump@|@väwžäw@
@Russia@|@Rashshej@
@Russia (in Soviet era)@|@Rossija@
@Russian@|@vyräs@
@rye@|@yrash@
@sable@|@k'uš@
@sacred@|@järäx@
@saddle@|@jäner, jënerchëk@
@saddle strips@|@orha-l'x@
@salt@|@t6avar, tävar, tawvar@
@salted@|@šarak@
@same as@|@-pala, -pele@
@sand@|@häjär, x'um, x'um, xäïär@
@sarcastic@|@aj-haj@
@Saturday@|@shämatkun@
@savings@|@pereket@
@savings bank@|@kassa@
@scabbard@|@änä, jänä@
@scar@|@püzek@
@scent@|@j's@
@school@|@shkul@
@science@|@nauka@
@scoop@|@korga, kurka@
@scrape@|@hysh@
@scratch@|@chër@
@scrofula@|@j'x@
@sea@|@tinës@
@sea knot@|@kazak@
@seal@|@pichet@
@seam@|@säuv@
@seashore@|@xärä@
@season@|@taphär@
@seat oneself@|@lar@
@second@|@çekkunt, tebär, tebärew@
@second floor@|@ikkëmësh hut@
@secretary@|@sekretar'@
@secretly@|@värttän@
@security@|@hütleh@
@sedge@|@qijoq@
@see@|@shäv@
@seed@|@täewžäw, v'wr'w, värläh@
@seem@|@kurän@
@seldom@|@nimën chuhlë te@
@sentry@|@hural@
@separate@|@pöl-@
@separately@|@ujrän@
@September@|@avän, sentjabr'@
@series@|@ret@
@servant@|@tarshä@
@seven@|@shicchë, shich, shichë, sižä@
@seventy@|@shitmël@
@shadow@|@säwm@
@shaft-poles of a cart@|@pärkächä@
@shaggy@|@tägäl@
@shake@|@tapra-n-@
@shallow@|@kanas@
@shallowness@|@äshäk@
@shaman@|@jom's, jum'zä@
@shame@|@järän-, namäs@
@sharp@|@shivëch, sivžä@
@sharp-edged@|@šäwväwr@
@she@|@väl@
@sheaf@|@kälde@
@sheat-fish@|@soin, soj'n@
@sheep@|@sor'x, supäx, suräh@
@sheet@|@shulshä@
@ship@|@karap, kim, kimë@
@shirt@|@këpe@
@shiver@|@chëtre@
@shoot@|@ut-, yv't-@
@shop@|@lavkka@
@shore@|@hërë@
@short@|@këske@
@shoulder@|@an, av'n, hulpushshi, xol@
@shoulder yoke@|@käuvende@
@shoulderblade@|@sor'm@
@shovel@|@käureze@
@Siberia@|@Shëpër@
@sickle@|@shurla, sorla@
@side@|@ajak, pat-, pit, som@
@side postposition along@|@shum@
@sieve@|@alla@
@silently@|@tamal-@
@silk@|@purçän, purshän@
@silver@|@këmël@
@similar@|@jevër, x'rax@
@sin@|@shiläh@
@since@|@shavänpa (vara), shimël@
@sinew@|@šanar@
@sister@|@appa, ïämäk@
@six@|@ult, ultä, ulttä@
@sixty@|@utmäl@
@sketch@|@ükerchëk@
@skilless@|@li-žali@
@skin@|@tir, tirä@
@skinner@|@ir-zä@
@sky@|@kovak, tüpe@
@slander@|@soj@
@sled@|@shunashka@
@sleep@|@äjäh(yjäh), yjh'@
@sleeve@|@savn'@
@sleigh@|@shuna@
@sliver@|@x'j'@
@slow@|@majëpen@
@slowly@|@xoll-en@
@slumber@|@yjhä@
@small@|@këshën, pëchëk, pëchëk, pëchëkshë, vak@
@smear@|@säwr-, sër@
@smiling@|@jäl-jäl@
@smith@|@timërshë@
@smoke@|@täwdäwm, tëtëm@
@smokestack@|@märje@
@smooth@|@iaka, türem@
@snake@|@çëlen, säulen, shëlen@
@snipe@|@byllyryt, bylžyryt@
@snow@|@iur, jor, jur@
@snowdrift@|@kërt@
@snow-white@|@shap-shurä@
@so many@|@chuhë@
@so much@|@shavän chuhlë, temën chuhlë@
@so that@|@tese@
@soaking wet@|@jëp-jëpe@
@soap@|@supän'@
@sober@|@or'@
@soft@|@shemshe@
@soil@|@t'upra@
@soldier@|@saltak@
@sole@|@toban@
@some@|@häsh@
@somehow@|@aran, teple@
@someone@|@tahäshë, takam, temësker@
@something@|@mën te pulin, temën@
@sometime@|@tahäshan@
@somewhat@|@temishe@
@somewhere@|@tashta@
@son@|@iväl, yvul@
@song@|@jurä@
@son-in-law@|@kärü, kërü@
@soon@|@chas@
@soot@|@k'uvajt, x'r'm@
@sorcerer@|@jumäsh@
@sorrow@|@xojha@
@soul@|@chun@
@sound@|@sasä, sasä-chëvë, saz'@
@sound of the whip@|@ch'v'š@
@sour@|@jäksü@
@Soviet@|@sovet@
@sower@|@akakan@
@sparrow@|@serzi, shershi@
@sparse@|@sajra@
@spear@|@sawnaw@
@speech@|@kalashu, sämah@
@speech (the faculty)@|@puplev@
@sphere@|@ch'um'ur@
@spider@|@erechmen@
@spin@|@av'r-la-@
@spindle@|@jäge@
@spine@|@kazan@
@spine of animal@|@šart@
@spleen@|@sola@
@spoon@|@kachäk, kashäk@
@spot@|@vyrän@
@spouse@|@upäshka@
@spring@|@shur, sor@
@sprinkle@|@sap-@
@square@|@ploshadka@
@squirrel@|@paksha@
@srpingtime@|@çur@
@staff@|@toja@
@stage (of theater)@|@scenä@
@stalk of cereals@|@x'um'ul@
@stallion@|@äjär@
@stalwart@|@pül-lä@
@standard@|@tutä@
@star@|@çältär, s'uld'ur, soldor@
@starling@|@šangarch, šanggarž'@
@starvation@|@vyshläh@
@starve@|@vyz' kag'r'l@
@state@|@gosudarstvo, patshaläh@
@state farm@|@sovhoz@
@stave@|@häma@
@steam@|@päs@
@steamship@|@pärahut@
@steel@|@hurshä, xorz', xurçä@
@steep bank@|@syr@
@stem@|@tona@
@step@|@od'm@
@steppe@|@xir@
@steppe fire@|@virt@
@sterlet@|@s'uga@
@stern of ship@|@hüre@
@stick@|@küsek, patak, tuja@
@stick to@|@syb's-@
@stick with a hook@|@kag'r@
@stiff@|@xol'm@
@still more@|@ytlarah@
@still yet@|@tata@
@stillness@|@shäp, shäpläh@
@stirrup@|@j'rana@
@stomach@|@hyräm@
@stone@|@chol, chul, shul@
@storm@|@täväl@
@stout-hearted@|@käuräu@
@stove@|@kämaka@
@stove hole@|@k'umaga@
@straight@|@türë@
@straits@|@proliv@
@strand@|@tal@
@strange@|@shämläh@
@strawberry@|@syrla@
@street@|@uram@
@strength@|@hal, väj@
@strip@|@sü@
@strong@|@hävatlä, shirëp, väjlä@
@strong smell of burnt@|@käuv, kü@
@strong wind@|@t'uv'u@
@stubby@|@t'wmat@
@student@|@student, vëreneken@
@student's desk@|@parta@
@studies@|@vërenü@
@stuffed@|@t'nk@
@stump@|@täm, tämeke@
@stupidity@|@ank1-minkä@
@submerge@|@š'nas-@
@subtract@|@kälar@
@such@|@apla, shakän pek, shapla@
@such a@|@kapla, shavän pek, un pek@
@suddenly@|@chuh, sasartäk@
@suffix@|@-sker@
@suffix of numerals@|@-shar@
@sugar@|@saxär@
@summer@|@çu, s'v, su@
@summit@|@tüpe@
@sun@|@hëvel, xäuvel, xövel@
@Sunday@|@vyrsarnikun@
@support@|@charak@
@surroundings@|@tavra, xož'@
@swan@|@akäsh@
@sweat@|@tar, ter@
@sweet@|@tut-l'@
@sword@|@xäs@
@table@|@sëtel@
@tail@|@xüre@
@tall@|@shül, shüllë@
@tamarisk@|@palan, polan@
@tar@|@s'wmala@
@task@|@zadacha@
@tassel@|@šaras@
@taste@|@tod'@
@tax@|@paru@
@tea@|@cheï, chej@
@teacher@|@uchitel, vërenteken@
@teapot@|@chejnëk@
@tear@|@kos-sol, kushshul'@
@technician@|@tehnik@
@technicum@|@tehnikum@
@temple@|@chigä@
@ten@|@vonu, vun, vunä, vunnä@
@that@|@haj, lesh, on-da, v'u-l, väl, väl@
@that (distant)@|@hajhi@
@that (not too distant)@|@shav, shavä@
@the beginning@|@pushlamäsh@
@the devil@|@shujttan@
@the essential part@|@var@
@the former one@|@ëlëkhi@
@The next stop@|@Tepër charänu@
@the old one@|@asli@
@the others@|@ytti@
@the parents@|@asshë-amäshë@
@the steppe@|@sheshen-hir@
@the swallow@|@chëkesh@
@their@|@vësen@
@their son-in-law@|@kërüshë@
@then@|@kajran, untan@
@there@|@av, unta@
@there are@|@pur@
@there is not@|@shuk, sohal-, sok@
@these@|@kusem@
@they@|@vësem@
@they themselves@|@häjsem@
@thick@|@halän@
@thief@|@vawraw@
@thin@|@shinshe, shühe, sinze, xäldärke@
@thin snow@|@xärbäx@
@thing written@|@shyru@
@thirty@|@vätär@
@this@|@k'v, ko, ku, shak, shakä@
@this (deictic particle)@|@sa-@
@This dress matches you@|@Ku këpe sana kilëshet@
@this year@|@käshal@
@thither@|@unta@
@thou@|@esë, ezä@
@thousand@|@pin@
@thread@|@sip@
@three@|@vish, vishë, vishshë@
@three times@|@vishë hutchen@
@three together@|@vishshën@
@threshing yard@|@ankarti@
@throat@|@pyr@
@through@|@urlä, vitër@
@throw@|@per@
@thumb@|@pürne@
@Thursday@|@këshnernikun@
@tiger@|@tigr@
@time@|@chox, samana, srok, växät@
@tiny@|@vëtë@
@to accompany@|@äsat@
@to adorn with carving@|@chëntërle@
@to advise@|@kanaš@
@to agree@|@kilësh@
@to annoy@|@jus-tar-@
@to appropiate@|@jyshän@
@to arrest@|@arestle@
@to arrive@|@shit@
@to ask@|@käle-, šyra-, yjt-@
@to assemble@|@puhän@
@to award@|@nagradäla@
@to be afraid@|@hära@
@to be anxious@|@p'ž'-r-han@
@to be ashamed@|@namäslan@
@to be astonished@|@tëlën@
@to be born@|@shural@
@to be constructed@|@majlash@
@to be distressed@|@šujhan-@
@to be ended@|@päut-@
@to be happy@|@savän@
@to be hungry@|@vysh@
@to be interested@|@intereslen, käsäklan@
@to be jealous@|@küle-, küleš-@
@to be lazy@|@ürken@
@to be located@|@vyrnash@
@to be lost@|@sät-@
@to be moan@|@hujhär@
@to be of the opinion@|@shuhäshla@
@to be pregnant@|@hyräm jät-@
@to be shocked@|@süzen-@
@to be the same@|@shäplan@
@to be tired@|@yr-@
@to be united@|@përleshtër@
@to bead@|@tir-@
@to bear@|@shurat@
@to beat@|@sup-, v'wr-@
@to become@|@pol-, pul@
@to become angry@|@shil, shilen@
@to become beautiful@|@hitrelen@
@to become drunk@|@üzär-@
@to become green@|@jesher@
@to become mad@|@k'd'r-, tiler-@
@to become pregnant@|@pëtëlen@
@to become turbid@|@p'lxa-n-@
@to become wet@|@jëpen@
@to begin@|@pushla@
@to belch@|@kag'r-@
@to believe@|@ënen@
@to bellow@|@änär-@
@to bend@|@aj-, av-, xos-@
@to bend one's neck@|@kag'r-t-@
@to bind@|@shyh, syp@
@to bite@|@tola-š-, tula-@
@to blacken@|@hural@
@to blaze@|@sis-@
@to blow@|@vaš-, väwr-, vër@
@to blow one's nose@|@šangar-, šängar-@
@to break@|@shëmërël, xär-@
@to break up into small pieces@|@vaklan@
@to breathe@|@syvla@
@to breathe heavily@|@and'x-@
@to burn@|@son-, sot-@
@to burn (tr.)@|@sondar-@
@to burn (transitive)@|@shuntar@
@to buy@|@il-@
@to calculate@|@shutla@
@to care@|@oja-@
@to catch fire@|@xyp-@
@to catch fish by a drag@|@sär-@
@to cause to be@|@pultar@
@to cause to fall@|@üker-@
@to cause to grow@|@üster@
@to cause to stand@|@tärat@
@to cheapen@|@jünel@
@to chew@|@kavle-@
@to choose@|@sujla@
@to clap@|@shup@
@to clean@|@tasat@
@to clean oneself@|@tasal@
@to close@|@hupla, xop-, xopla-@
@to come@|@kil-@
@to come alive@|@chërël-@
@to command@|@hush@
@to compare@|@tanlashtar@
@to compensate@|@sap-la-@
@to concern@|@tiv@
@to conjure@|@tuga tu-@
@to consider@|@sav-, su-@
@to converse@|@kalash@
@to cough@|@üzär-@
@to count@|@chutla@
@to cover@|@vit-@
@to cover oneseif@|@vitën@
@to cover up@|@päurke-@
@to crack@|@shätärtat@
@to crackle@|@shartla@
@to cry out@|@käshkär@
@to curse@|@sämäur-, x'ud'ur-@
@to curve@|@päuk-@
@to cut@|@kas-, päs-@
@to cut into slices@|@tura-@
@to cut oneself up@|@kasäl@
@to damn@|@sol-@
@to dance@|@tashla@
@to dare@|@x'j-@
@to deceive@|@ultala@
@to decrease@|@iksäl-@
@to defecate@|@sys-@
@to descend@|@an@
@to destroy@|@shëmër@
@to die@|@vil-@
@to die out@|@kag'rza vyrt-@
@to dig@|@alt-, chav@
@to dive@|@ch'um-@
@to dive under@|@chäm@
@to divide@|@ujär, vales-@
@to do@|@täv, tu@
@to don@|@tähän@
@to drag@|@sëtër@
@to draw@|@äs, chär-@
@to dream@|@ëmëtlen@
@to dress@|@tumlan@
@to drink@|@äs-, ësh@
@to drive@|@häv, hu, vaskat-@
@to drive away@|@sir-@
@to drop@|@tom-la-@
@to dry@|@tip-@
@to dry off@|@syval-@
@to dry out@|@tip@
@to earn wages by labour@|@x'rh'n@
@to eat@|@shi-, si-@
@to enlarge@|@pysäklat@
@to enter@|@kär-@
@to envy@|@'wmza-@
@to fall@|@s'k-, ük-@
@to fall apart@|@salan@
@to fall on one's knees@|@chërkushlen@
@to fasten@|@k'g'r-@
@to fasten oneself@|@shyhän-@
@to fear@|@hära@
@to feed@|@shiter@
@to feel@|@sis@
@to feel ague@|@saraltat-@
@to ferment@|@käuve-@
@to fight@|@värsh, vëresh@
@to find@|@top-, tup@
@to find refuge@|@hätäl@
@to flail@|@av'n sap-@
@to flash@|@vëltlet@
@to flee@|@tar@
@to float@|@iarän@
@to flow@|@jox-, juh@
@to fly@|@väws-, vësh@
@to follow@|@jer-@
@to forget@|@man-@
@to freeze@|@shän@
@to get ready@|@tytän@
@to get to@|@ëlkër@
@to get well@|@syval@
@to give@|@par-@
@to glow@|@hër@
@to go@|@chashlattar, shüre@
@to go away@|@kaj-, kajt-@
@to go out@|@tuh@
@to go over@|@kash@
@to grasp@|@tyt-@
@to grow@|@shät@
@to grow soft@|@shemshelen@
@to grow up@|@shitën@
@to guard@|@syhla@
@to guess@|@asärha@
@to hang@|@kar-, os-, tort-, us-, usän@
@to hang itself onto@|@shaklan@
@to harm@|@tula-@
@to harness@|@kül-@
@to have a trial at court@|@sudlash@
@to have enough strength@|@hal shiter@
@to have invited@|@chënter@
@to have made@|@tutar-@
@to have write@|@shyrtar@
@to hear@|@ilt-@
@to heat@|@äšän-, äšät-, hut@
@to heat oven@|@xot-@
@to help@|@puläsh@
@to hide@|@pytar@
@to hire oneself out@|@kërësh@
@to hit@|@çap@
@to hold@|@tyt@
@to hold back@|@char@
@to hope@|@shan@
@to hunt@|@tyt@
@to hurry@|@avaš-, vaska@
@to invite@|@chën@
@to itch@|@käzä@
@to its side@|@patne@
@to judge@|@tirge-@
@to jump@|@sik-@
@to kill@|@väwler-, vëler@
@to kiss@|@chup tu@
@to knead@|@ir-, säur-@
@to kneel down@|@s'ug-'un-@
@to knock@|@küp-le-t-@
@to know@|@palla, palla, pël, pewl-@
@to know one another@|@pallash-@
@to laugh@|@ahältat, kul@
@to laugh repeatedly@|@kulkala@
@to lead@|@jert, jes-, les-@
@to leave@|@jar@
@to leave (transitive)@|@hävar@
@to leave the way@|@sup-@
@to let in@|@kërt@
@to lick@|@s'vla, sula-@
@to lie@|@suj, vyrt@
@to lift@|@jät, shëkle@
@to lighten@|@shut@
@to line up@|@jërkele@
@to live@|@purän@
@to live on@|@puränmaläh@
@to load@|@tije@
@to long for@|@x'n'x-@
@to lose mind@|@or-@
@to love@|@sav@
@to make@|@äs-xäl@
@to make feel@|@sister-@
@to make one@|@përlesh-@
@to make read@|@vulattar@
@to make small@|@vakla@
@to make understand@|@änlantar@
@to make work@|@ëshletter@
@to marry@|@av-la-n-, avlan, mäshärlan@
@to master@|@shavärsa il@
@to measure@|@vis-@
@to melt@|@iräl-, irël, šaran-, shärat@
@to migrate@|@kos-@
@to mix@|@hutshän-, jor-, jur-@
@to mount to horse@|@utlan-@
@to move@|@kush@
@to move oneself@|@tapran@
@to mow@|@shul, sol-, sol-, vyr-@
@to murmur@|@kashla, kërle@
@to neigh@|@'wlax-@
@to one another@|@për përinpe@
@to open@|@os-, ush@
@to open oneself@|@ushäl@
@to order@|@pür-@
@to paint@|@-sär, päwve-@
@to pay@|@tüle@
@to pay heed@|@astu@
@to perceive@|@tavshär, toj'n-, tuj-@
@to pinch@|@chäbät-@
@to place@|@hur@
@to plant vertically@|@chik-@
@to plaster@|@sop-@
@to play@|@vylja-@
@to plow@|@suhala@
@to pound@|@kiv-, täwv-, tü-@
@to pour@|@täk@
@to pour out@|@tawk-@
@to pour out water@|@xyv-@
@to pour over oneself@|@chühen@
@to praise@|@muhta, yrla@
@to press@|@hësërle, pos-@
@to pull@|@sädär-, turt@
@to purr@|@märlat@
@to push@|@pus, tëk@
@to put@|@sol-, xu-, xyv-@
@to quarrel@|@tavlash@
@to question in detail@|@tëpche@
@to rain@|@su-, su-çumär@
@to raise@|@häpart@
@to rave@|@tos-@
@to reach@|@sit-, tiv-@
@to reach out for@|@karmash@
@to read@|@vula@
@to reap@|@vyr@
@to reconcile@|@soras-@
@to remain@|@jul@
@to remember@|@asän@
@to remove@|@sir@
@to renew@|@shënëlet@
@to respect@|@hiseple@
@to rest@|@kan@
@to roll@|@jävalan@
@to roll over@|@j'uvan-@
@to rot@|@sär-@
@to rub@|@sätär@
@to rub teeth@|@x'jra-@
@to run@|@chup@
@to run away@|@tar-@
@to save@|@hätar@
@to say@|@kala, te-@
@to scold@|@tätär-@
@to scoop@|@as-, aws-@
@to scrape@|@xyr-, xys-@
@to scratch@|@chäïär@
@to secrete@|@pytan@
@to see@|@kor-, kur@
@to seek@|@shyra@
@to sell@|@sot-@
@to send@|@jar-@
@to separate@|@oj'r-@
@to settle@|@virnashtar-@
@to sew@|@çele, säuväu-@
@to shake@|@sikkele@
@to show@|@kätart@
@to shun@|@sirël@
@to sift@|@ala, alla-@
@to sing@|@jurla@
@to sing of birds@|@av't-@
@to singe@|@vät-@
@to sink@|@pot-, put@
@to sit@|@lar-@
@to slander@|@soj-@
@to sleep@|@çybär, shyvär@
@to smear@|@-sër@
@to smell@|@shärshla@
@to snatch@|@xyp-@
@to snore@|@harlattar, härlattar@
@to sober up@|@or'l-@
@to somewhere@|@tashtalla@
@to sound@|@janäravla, janra@
@to sow@|@ak-, sapala@
@to speak@|@kala, kala-, puple, sol'a-, sujlaš-@
@to speak roughly@|@kas-@
@to spit out@|@sor-@
@to split@|@shur, sor-, sur@
@to spread@|@sar-@
@to spring@|@sik@
@to squeeze@|@chämärta, xäs-@
@to stab@|@chik@
@to stand@|@tär, tawr-, tüs@
@to stand watch@|@hural tär@
@to steam@|@päslan@
@to stick@|@chik, shypäsh@
@to strain@|@šarat-@
@to strengthen@|@shirëplet@
@to stretch@|@hälashla@
@to stretch oneself@|@karän@
@to stretch out@|@kar@
@to stretch out to@|@täs@
@to strike@|@shap@
@to strive pull toward@|@turtän@
@to struggle@|@shapäsh@
@to study@|@vëren@
@to succed@|@änsa pyr@
@to suck@|@äum-, ëm@
@to suffer@|@aman-@
@to swallow@|@s't-@
@to sweat@|@tarla@
@to swell@|@šys-, x'uba-lan-@
@to swim@|@su-@
@to take@|@il-@
@to talk@|@chän-@
@to talk unintelligibly@|@sämpältet-@
@to taste@|@tuda-l-, tuda-n-@
@to teach@|@vërent@
@to there@|@shavänta, untalla@
@to think@|@shutla@
@to thread a needle@|@syp-@
@to threaten@|@sazar-lan-dar-@
@to thresh@|@avän shap@
@to throw@|@jvät, pärah, x'um-@
@to tie@|@çyh@
@to tire@|@yv'n-@
@to translate@|@kushar@
@to try@|@täräsh@
@to tune@|@äner-@
@to turn@|@av'r-, pär, pärän, shavär@
@to turn about@|@shavärän@
@to turn around@|@tavär@
@to turn oneself@|@pärän@
@to twirl@|@për@
@to twist@|@sar-, savar-@
@to unfasten@|@vësher@
@to unfasten oneseif@|@vësherën@
@to untie@|@sal-t-, salt@
@to urinate@|@šar-@
@to vomit@|@hës, x's-@
@to vote@|@sasäla@
@to wait@|@kët@
@to wake@|@värat@
@to wake up@|@väran, vawran-@
@to wake up (trans.)@|@vawrat-@
@to walk@|@ot-, pyr-, süre-, ut@
@to walk a bit@|@shürekele@
@to wash@|@shu@
@to wash oneself@|@shävän@
@to watch@|@päh@
@to water animals@|@shävar@
@to weigh@|@taj@
@to wet@|@jëpet@
@to wheeze@|@hashka-@
@to whistle@|@shähär@
@to win@|@'t-, sän-, shënter@
@to wind around@|@syr-@
@to wipe@|@šal-@
@to wipe off@|@shäl@
@to wish@|@xärhen-@
@to wither@|@shan@
@to woo@|@kalas-@
@to work@|@ëshle@
@to wrinkle@|@päur-@
@to write@|@syr-@
@to write a bit@|@shyrkala@
@tobacco@|@tabak@
@today@|@paian@
@together with him@|@unpa përle@
@tomato@|@pomidor@
@tomorrow@|@iran, yran@
@tongs@|@xypch'k@
@tongue@|@chëlxe@
@tooth@|@chäl, šal, shäl@
@top@|@shi@
@top of head@|@töbe, tübä@
@top(s) of boots@|@konža@
@torment@|@asap@
@torn@|@tatäk@
@total@|@mënpur@
@towards@|@pat@
@towards him@|@un patne@
@tower@|@bashnia@
