@English@|@Khmer@
@How are you?@|@Sok sobei kee uh tay?@
@How do you say it?@|@Dah niet tah ree-ah yaang nah@
@how do you say...@|@... kh'mai tha mait@
@how far is the ...@|@... ch'ngaay pohnmaan@
@how much is it to...@|@teuv...th'lay pohnmaan@
@how much per day@|@damlay muy th'ngay pohnmaan@
@how muchis this@|@nih th'lay pohnmaan@
@hug@|@'ap@
@huge@|@sämpo:äm@
@hull@|@särom, sraom@
@human being@|@monuss@
@hump@|@pu:k@
@hunchback@|@gam@
@hundred@|@muy poi@
@hunger@|@kar'atbay@
@hunker@|@crähaong@
@hunter@|@präman@
@hunter's shelter build in tree@|@dhnah@
@hurting@|@nu:@
@husked rice@|@'ängkar, rängko@
@I@|@kh'nyohm@
@i am a...@|@kh'nyohm jia...@
@I am fine@|@Kynum sok sobei tay@
@I am fine too@|@Kynum caw sok sobei dai.@
@i am from...@|@kh'nyohm mao pii...@
@i am going to the...@|@kh'nyohm teuv...@
@i am ill@|@kh'nyohm cheu@
@i am looking for ...@|@kh'nyohm rohk...@
@i am lost@|@kh'nyohm wohngweng phleuv@
@i am married@|@kh'nyohm riap kaa hao-y@
@I am sorry@|@Kynum some tdoe@
@I am sorry; I don't understand@|@Atdo; kynum pomme yuall dtay@
@i am well@|@kh'nyohm sohk sabaay@
@i can't eat...@|@kh'nyohm tawm...@
@I don't know very much English@|@Kynum pomme sow jeh Anglais@
@i don't like@|@kh'nyohm awt johl juht ... te@
@I don't understand@|@Kngom men yol teh.@
@I don't understand this@|@Kynum minh yuall dtay@
@i like@|@kh'nyohm johl juht@
@I still don't understand@|@Kynum no dtay min yuall@
@i understand@|@kh'nyohm yuhl@
@I understand all of it@|@Kynum yuall dtay ahn ah@
@I understand some of it@|@Kynum yuall klah klah.@
@i want to get off@|@kh'nyohm jawng joh@
@ice@|@tukakak@
@if@|@sin@
@ignite@|@chuäl@
@i'm not married@|@kh'nyohm muhn toan riap kaa te@
@i'm staying at...@|@kh'nyohm snahk neuv ...@
@imagine@|@mej@
@imbibe@|@phyk@
@impartial@|@smaä@
@important@|@tgal, thgal@
@imprudent@|@bhlaän@
@in a hurry@|@na:p'@
@in close order@|@ta:p, tap@
@in error@|@bha:n@
@in full growth@|@räga:l, rga:l@
@in this manner@|@m'lä:h@
@in what manner?@|@mtä:c@
@increase@|@caäm, the:m@
@indigo dye solution@|@mar, mo@
@inferior@|@nam, naom, num@
@ingest@|@saoj@
@inhale@|@jok@
@inhale medicinal vapors@|@haol@
@inner wall@|@jäñjang, phna:ng, pnang@
@inscribe@|@cu:r@
@inside@|@kämlung@
@insist@|@dhuän@
@instruments in an orchestra@|@rängam@
@insulting@|@kändraäng@
@intermixed@|@chlu:k@
@internal organ@|@baoh@
@interval@|@räwa:ng@
@intervene@|@tra:@
@intimate@|@däpdip, dip@
@introduce@|@crò:k, jiat@
@inundate@|@jan'@
@inundated forest@|@rna:m@
@iron@|@chhnamnut, tä:k, tek@
@irrigate@|@sraoc@
@irrigated rice field@|@sre:@
@is@|@jee-ah, kee-ah@
@island@|@kaoh, koh@
@isolated@|@taoc, toc, twoc@
@it@|@wee-uh@
@It is….@|@Guh tah….@
@it's 3 o'clock@|@maong bei@
@jet-black@|@bri:k@
@Job's tears@|@skuäj@
@join@|@jap, pänggam, sap, sop@
@join hands@|@pänggam@
@join hands for offer@|@thwa:j, thwaj, twa:j@
@joyous@|@trä:k@
@jutting out@|@nak@
@keep alive@|@praos@
@keep in the mouth@|@bam, piäm@
@kernel@|@kämbi:ng tu:ng@
@key@|@chamnauchasor@
@Khmer language@|@Phéasa Khmér@
@kind of bright-colored@|@sängkim@
@kind of cane@|@run@
@kind of cicada@|@raj@
@kind of fish-trap@|@traäng@
@kind of gill net@|@mang@
@kind of Khmer sour soup@|@grak@
@kind of large red ant@|@'änggro:ng@
@kind of lizard@|@pängkuäj@
@kind of monitor lizard@|@träkuät@
@kind of pest worm that feeds@|@sryng@
@kind of small sparrow@|@tä:t@
@king@|@prohmohaksar, prohmohaksat, sming@
@kiss@|@thaäp, thep@
@kitchen@|@silba' khanthvomhub@
@knee@|@chonkon, jänggo:ng@
@knife@|@ka:mpit, kambit, kämpit@
@knobby protuberance@|@baong@
@knock against@|@paok@
@lacking of crispness@|@phus@
@ladder@|@päng'aong@
@ladle@|@gre:ng, greng@
@lake@|@bun@
@lamb@|@kunchiem@
@landing-place@|@kämwang@
@language@|@phasa@
@languid@|@baäk@
@large@|@maäng@
@large body of water@|@dänlä:, dänlä:@
@large bowl@|@gaom@
@large jar@|@ba:ng@
@lash@|@rämba:t'@
@laterite@|@'la:ng, 'leng, thma le:ng@
@lay one's head on@|@kaäj@
@layer@|@rwat@
@lead@|@jaong, jong@
@leaf@|@slyk@
@lean@|@'iäng@
@lean backwards@|@'e:n@
@lean heavily on one side@|@daor@
@leap into various fighting@|@käñchòt@
@learn@|@ree-uhn, rjan@
@leave the egg@|@na:s@
@leg@|@chon@
@lengthen@|@hu:t@
@leprosy@|@ghlang'@
@let slip from memory@|@bhlä:c@
@let the head drop@|@ngap'@
@let water drip drop by drop@|@päntok@
@letter@|@aksar, tua'aksar@
@level@|@ra:p@
@lever@|@jleng, träpe:ng@
@lichen@|@sle:@
@lid covering a hole@|@ghlup@
@lie on one's belly@|@draop@
@life@|@chivit@
@lift@|@cha:j@
@lift up the arms@|@trädwang@
@lift with a tool@|@cu:k@
@light@|@ka:t, ka:t', kat@
@limb@|@me:k@
@lime@|@kämpor kämpaor, kämpur@
@limp@|@rähaos@
@line@|@jor, juär, juär, jwor, tang@
@lineage@|@'ämpu:r@
@link of chain@|@cruäl@
@lion@|@nanichchhata@
@lip@|@baburmat@
@lips@|@päpu:r@
@listen@|@stap@
@little@|@hoc, hwac@
@liver@|@thlaäm, thlem, tlem@
@loan@|@pul@
@lob over a high barrier@|@plaong@
@lobe of ear@|@dang@
@lofty@|@kaäng@
@logging for night@|@sämna:k'@
@long@|@we:ng@
@long and hanging@|@sluj@
@long wall@|@kämweng@
@look at from the side@|@chmiäng@
@loose consciousness@|@bhlyk@
@lord@|@gämte:ng, mräteng, teng@
@lose brilliance@|@bräle:t@
@lose consciousness@|@sla:p, slap@
@lotus@|@jhu:k, jwak, jwik@
@louse@|@rokruan'noknamnak@
@love@|@sräla:ñ'@
@low land@|@ping@
@low persistent temperature@|@sdä:ñ@
@lower garment@|@cänlek, cänljak@
@low-rooft@|@srä'ip@
@lurch forward@|@rul@
@machete@|@bra:@
@mad@|@chkuät, chkwat@
@made concave by blow@|@biäc@
@maggot@|@tängku, tängku:w@
@magnify@|@thkaol@
@main post of a fence@|@ghnang, gnang, gnong@
@make@|@waä@
@make a sweeping gesture@|@wa:j, wa:s@
@make a V-shaped cut@|@chaäk, chek@
@make an inroad@|@ra:n@
@make hole@|@lung@
@make offering@|@jon, jwan@
@make oneself smaller@|@prämul@
@male@|@-si:, si, si:, traos@
@male of animals@|@jhmaol, jmol@
@mallet@|@nänuär@
@man@|@monussbrus@
@mango@|@swa:j@
@mangos@|@ska:r@
@mango-tree@|@rähuät, rhwit@
@mangrove@|@ca:k@
@manner@|@rah, rah, raoh, roh@
@mark@|@tämruj@
@mark with stakes@|@truj@
@market@|@p'saa@
@master@|@stec, träla:@
@masticate@|@'ända:m, dämba@
@matches@|@matches@
@mature@|@dum@
@me@|@'añ, 'o:ñ@
@meager@|@thpwac, tuäc@
@measure of capacity@|@wa:l'@
@measure the length@|@wa:s'@
@meat@|@sac, sach, sait@
@medium-sized@|@cämdong@
@meet by chance@|@bah@
@membrane@|@wa:w@
@merchant@|@juäñ@
@metal canister@|@kämp'ung@
@metal ritual utensil@|@bäbil, walwel@
@middle@|@mochchhdthan@
@midge@|@k'a:t, mämung, suc@
@milk@|@tuhk dawh kow, tuhk dawh kowtukdohko@
@millet@|@dhbaw, twaw@
@mine shaft@|@'äntu:ng@
@minute@|@nati, niatii@
@mire@|@jra:m@
@mirror@|@kanchak@
@miss by passing too far@|@jräluäs@
@misshaped@|@ke:k, knek@
@missing@|@'it@
@mixture of preserved fish@|@ca:w@
@moan@|@du:r@
@molar@|@thga:m@
@mold@|@phsit@
@mollusk resembling the mussel@|@nga:w@
@monkey@|@brak, sva, swa:@
@monk's robe@|@spang'@
@month@|@khae@
@more@|@dtee-it@
@morning@|@bryk, pel pruhk, wrk@
@mortar@|@tpal@
@mosquito@|@mu:s, mus, mwas@
@mosquito net@|@mung@
@mother@|@'äme, mä:, mday, me, mta:j@
@mount@|@huj@
@mountain@|@phnom, wnam@
@mountain goat@|@ke:h, keh@
@mouse@|@kandurbromeh@
@mouth@|@ma:t', mat, mat@
@mouth organ@|@blaj, wloj@
@move around@|@braäm, jraäm@
@move back and forth@|@'e:l@
@move by fits and starts@|@khwaäk@
@move out to one side@|@ghliäng@
@move slowly@|@waäk-waäk@
@move swiftly@|@sru:t@
@move vessel from side to side@|@gräle:ng@
@mud@|@bhak'@
@muscular cramp@|@gägri:w, känri:w@
@music@|@vattrusdi, vatytrusdi@
@musical string instrument@|@chko, cko@
@musty@|@phä'om@
@mutilate@|@mut@
@my name is...@|@kh'nyohm ch'muah ...@
@name@|@ch'moo-ah, ch'muah, jhamaoh, jhamaoh, jmah, jmoh, kotdnam, kotnam@
@name of a salt-water abalone@|@gre:ng@
@nature@|@rublok@
@neck@|@srang@
@needle@|@dic, tronich@
@neglectful@|@'e:s@
@negligent@|@dhwä:s@
@neighbor@|@tichitkhan@
@netting@|@sämna:ñ@
@new@|@doythmi, thmi, thmi:, tmi@
@nicely scinted@|@kändhum@
@niggardly@|@tha:m@
@night@|@jap, jòp, jòp, pel yohp, phaponnut@
@nine@|@bram buam@
@nip@|@du:c@
@no@|@te@
@no desire to do@|@s'uh@
@No; I don't understand@|@Tday; kynum pomme yuall tday@
@noiseless@|@snga:t', sngat@
@noisy@|@jiaw@
@noodle@|@nam@
@north@|@khaang joeng@
@nose@|@chromuh, crämuh, muh@
@not@|@bum, meun, min, minh, wom, wwam, wwom@
@not castrated@|@cänmat@
@not cooked@|@chaw@
@not stright@|@cämwer@
@nudge@|@nal@
@number@|@chamnuan@
@oblong@|@dräwe:ng@
@observe@|@the:@
@of bread be stale@|@ph'aoh@
@of soil soaked@|@päcpac@
@offer anonymously@|@plung@
@oil@|@brenkat, päreng, pärjang, prä:ng@
@oil-yielding tree@|@sämraong@
@old@|@buran, naiprut, naipruth@
@older sibling@|@pang@
@olive@|@uliv@
@one@|@moj, muäj, muy, mwaj@
@oneself@|@'e:ng@
@onion@|@khtumbaramn@
@only a moment ago@|@'ämpa:ñ'@
@open@|@lwyng@
@open wound@|@räpuäs@
@opening@|@bhne:k, rängwah@
@opening to a fish trap@|@prys@
@order@|@pre, wol@
@ornamental line@|@jar@
@orphan@|@kämbra:, kämvra:@
@other@|@saot, sot@
@otter@|@bhä:, bhe@
@outstanding@|@chaät@
@overcast@|@tuh@
@overhang@|@sämja:p@
@overshoot@|@jruäs@
@oversized@|@drämi:ng@
@overtake@|@hä:r@
@owl@|@diduj, duj, tituy@
@ox@|@käñcròng, kochhmol@
@paddle@|@cräwa:@
@paddy@|@sru:w@
@paddy-field@|@sre@
@page@|@tompor@
@pain@|@sechakdilombak@
@pale@|@sao@
@Pandanus@|@taäj, tej@
@panel@|@phdang@
@paper@|@krodas@
@Pardon me@|@Some aht tdoe.@
@pardon?@|@niak niyey tha mait@
@park@|@suan@
@pass away@|@sla:p'@
@pasty@|@jra:j@
@path@|@l'a:n@
@pavilion@|@bänla:@
@peace@|@santiphap@
@peaceful@|@chngap, omgap, sngop@
@peak@|@bung, wung@
@peeling@|@kändoh@
@pen for elephants@|@bniät@
@pendant@|@räj'a:@
@pendulous lip@|@sbe:h@
@penetrate@|@cwal@
@penetrate forcibly@|@ruk@
@people@|@'anak, 'nak, na:k@
@pepper@|@märica, mrec@
@perform a cult@|@sing@
@perspiration@|@'anes@
@pestle@|@lpuk@
@pick@|@sra:ng'@
@pick up in tiny pinches@|@cpic@
@pickled@|@präla:k'@
@pickled meat@|@jruk@
@pickled vegetables@|@cäruk, jrak'@
@pier@|@cändòl@
@pig@|@jru:k, jrwak@
@pigeon@|@prab@
@pike@|@jänluäñ, jlañ@
@pillar@|@säsar, sräsar@
@pillow@|@kh'nao-y, khnej@
@pit@|@jänghuk@
@place@|@'änlaä, 'änle, tum, twam@
@place in close succession@|@cruh@
@place on shelf@|@daär@
@place oneself in front of@|@ba:ng'@
@place smth. under smth. else@|@drap@
@placenta@|@suk@
@plain@|@wa:l@
@plant@|@dämbu:ng, pärong, prang, tämwu:ng@
@plaster with@|@sraop@
@plastic@|@jyr@
@play a wind instrument@|@phlum@
@play on percussion@|@tong, tuäng@
@playing musical instruments@|@bhlä:ng@
@please@|@sohm, som, un jern@
@please bring the bill@|@sohm kuht luy@
@Please come in@|@Som joal moak@
@Please say that again@|@So um nee-yay met dong dtiet@
@Please sit down@|@Som on goee@
@please take me to...@|@sohm juun kh'nyohm teuv...@
@please wait here@|@sohm rohng jam neuv tii nih@
@pledge@|@pan'@
@pliant@|@lwok, räw'ok@
@plow@|@ka:j@
@ply with questions@|@jhlä:c@
@pointed@|@cruäc, sruäc@
@poised@|@käk'il@
@poison@|@bis, wisa@
@poisoned@|@wul@
@pond@|@'äñcan, puär, pwar@
@pool@|@l'a:ng, länglang, länglong, rä'a:ng@
@pork loin@|@cämlak@
@posses@|@kap, kawp, kop@
@post@|@gol@
@pot@|@caot@
@pound@|@ba:r, dar, tam@
@pound in order@|@jä:h@
@pour@|@räha:m@
@powerless to move@|@da:l@
@pray@|@su:m, sum@
@precise@|@'dat, da:t', dat@
@press down on and rub@|@buät@
@press flowers of cotton@|@pänsaäc@
@press hard@|@thpit@
@pretend@|@baä@
@pretend to more knowledge@|@cä:h, cäcä:s@
@prevaricate@|@bhar@
@price@|@thlej@
@prisoner of war@|@jhlaäj@
@progress at a slow rate@|@raäp@
@progress towards@|@daw@
@project@|@tle:@
@prompt@|@ruäs@
@proper@|@ga:p, gap, guär@
@prophet@|@pyakari@
@protrude@|@gaong, sde:l@
@provide@|@gang, gang', phgang', pjgang@
@puddle@|@thluk@
@puffed up@|@wräwok@
@pungent@|@'äcat, cpaäm, ha:ng@
@purse@|@plaok@
@purse the lips in tasting@|@jip@
@push@|@bit, gränyk, n'yk@
@push back against the sides@|@ka:s@
@push out@|@dul@
@put@|@duk@
@put to sleep@|@säntam@
@put together@|@dnem, dnjam@
@put togheter@|@ruäm@
@putrid@|@khmaoh@
@python@|@thla:n, thla:n', tlan@
@quake@|@nar@
@question@|@samnuar@
@quick@|@'äwaj, 'waj, waj, wej@
@quiet@|@criäp@
@quiver@|@käkrek@
@race@|@paol@
@racing@|@chmjat, cmjat, mit@
@radiant@|@pämbrang, tcah, träcah@
@rag@|@dawp, dop, kändap@
@rage@|@kämhal'@
@rain@|@phleng, phliäng, phlien, phljang@
@rainforest@|@rämlaong@
@raise the arms straight over@|@drädu:ng@
@raised up@|@bhly:, wl@
@rami@|@dämi:, dhmej@
@rammer@|@'ängre:@
@rattan@|@phto:w@
@rattan fastenings for elephant@|@dänli:ng@
@reach@|@ca:p, ca:p', cap, cap', ja:p'@
@ready@|@ta:c'@
@real@|@ja:, ju, ju:@
@reap@|@crwat@
@reason@|@braoh, braoh, git@
@rebel@|@pa:s@
@rebound@|@pla:t@
@recall suddenly@|@bhnak@
@recent@|@min'@
@recite rhythmically@|@dändu:r@
@recompense@|@sämpa:c'@
@red light@|@chil@
@reed@|@dängdra:ng, k.o, kändra:ng', tre:ng@
@reek@|@sä'uj@
@reek of stale urine@|@ch'ä:h@
@rejoice@|@kaäc, koc@
@relative of the 3rd generation@|@duät, dwat, dwot@
@relief@|@spaäj@
@religion@|@sasana@
@remind@|@bräma:n@
@rent@|@rängwa:n'@
@repulsive@|@'ändil@
@resin@|@käñja:r, sa:r@
@resolute@|@gäga:t@
@restaurant@|@phowjuhniiyathaan@
@return@|@hak@
@revolve@|@wa:r, wil@
@rhinoceros@|@räma:s@
@rhizome@|@wom@
@rhizome used as medicine@|@bänlej, wrälaj@
@ribs@|@cäm'ä:ng@
@rice@|@sraw, sro, sru@
@rice hulls@|@'ängka:m@
@rice in flooded land@|@sränge, sränge:@
@rice soup@|@päpo:r@
@rich blue@|@sränga:t@
@rickety@|@kämbraj, päroj@
@riddle@|@räpe:ng@
@right@|@me:n, men, sta:m, stam@
@right away@|@chap@
@ring@|@kräwil, li:ng@
@ripped@|@rähe:k@
@rise suddenly to the surface@|@phliäk@
@rise to one's feet gracefully@|@dända:m@
@rise up@|@pah@
@river@|@tonle@
@river bank@|@kämbang'@
@road@|@gänlang, phlu, phlu:, phlu:w, phluv, plu@
@rock@|@ta:, thmo@
@roll@|@rom, rum@
@roll in hands@|@bu:t@
@roof@|@dambul, phdur@
@room@|@bantob@
@roost@|@dam@
@root@|@rys@
@roper@|@gwar@
@rose@|@phkakulab@
@rotate@|@chwa:j@
@rotate the arm@|@wa:@
@rubbing@|@tus@
@rugged@|@crañ@
@ruined@|@rac@
@run@|@hwar@
@run a skewer through@|@taot@
@run into@|@baäp@
@run out@|@hiär@
@run with quick steps@|@cryng@
@rush@|@rälah, sga:, ske@
@sag@|@ja:k@
@salad@|@bhla:, wla:@
@salt@|@'ämpel, 'ämpil, 'ämpjal, ambil@
@salted@|@praj@
@salt-water shrimp@|@gi:@
@sand@|@dikhsach@
@sand dune@|@phnu:r, wnur@
@sapwood@|@sra:j@
@sated@|@bä:ñ@
@saw@|@räna:r@
@say the same thing@|@sa:p'@
@scatter in all directions@|@präna:j@
@scent@|@dänhum@
@school@|@sah lah, salarien@
@scold@|@dädu:c@
@scrape@|@kämnos, kaoh, kaos@
@scratch@|@ras@
@sea@|@samur, samut@
@search@|@rok@
@season@|@brovotdikal@
@seat on the elephant's back@|@käñcaong@
@second@|@vinati@
@secondary river@|@cding, chding, sdyng@
@sediment@|@kak@
@see@|@jal, jal', jol@
@see through@|@jhwä:ng@
@see you later@|@juab kh'nia th'ngay krao-y@
@seed@|@grap@
@seize@|@jak, jok@
@select@|@cuc, sra:l'@
@sell on credit@|@jya@
@sentence@|@clee-ah@
@set apart@|@kändhe:k@
@set fire to@|@tut@
@set of pairs@|@spantämpar@
@seven@|@bram pii@
@sew@|@jul@
@shade@|@mlap'@
@shadow@|@srämol@
@shady@|@sränga:m@
@shaft@|@bruäñ@
@shake@|@käkraäk@
@shapeless heap@|@drä:l@
@share@|@ce:k, cek@
@sharp stake@|@pänla:@
@sharpe with a knife@|@pit@
@shed@|@rong@
@sheep@|@chien@
@sheet@|@phda:ng@
@shelter@|@wänla:@
@shield@|@ka:r, kar@
@shift@|@wä:n@
@ship@|@kabal@
@shivering@|@känrun@
@shoot@|@lu:t@
@shore up@|@jre:ng@
@short@|@tiäp@
@shout@|@gämra:m, ku:k@
@shred@|@criäk@
@shrill@|@gräluäc@
@shrimp@|@pängkaäng@
@shrink out of fear@|@rä'a:@
@sickness@|@jämngy:@
@side@|@cämhiäng@
@sidewalk@|@ciñcaäm@
@silk@|@sur, sut@
@silly@|@chaot@
@silver@|@loha', pra:k, prak@
@silver pot@|@kha:l, khal@
@similar@|@ptoc, tu:c@
@since@|@'ämbi:, 'ämwil, bi:@
@sister@|@b'unsri, bansri@
@sit astride on@|@jih@
@sit with legs crossed@|@be:n@
@six@|@bram muy@
@skate@|@pel@
@sketch@|@gu:r@
@skill@|@sämna:@
@skilled@|@ja:ñ@
@skin disease@|@sra:ng, sreng@
@skull@|@räla:, rla:@
@sky@|@akas@
@slanted@|@känsew, sä:w@
@slap with the palm of the hand@|@dah@
@sleep@|@tä:k, tjak@
@slender@|@rew, ri:w, staäng, stong@
@slide@|@'jal, ra'yl@
@slope@|@jra:l@
@sloping@|@do@
@slow@|@ju:r@
@slowly@|@yud yud@
@small@|@chma:r, chmar, tu:c@
@small bar@|@gänlyh@
@small bell@|@cängkro:ng@
@small box@|@tänla:p'@
@small channel@|@präla:j@
@small fish imprisoned@|@räpä:ng@
@small fish of the gudgeon@|@cängwa:@
@small green frog@|@käñcek, käñcòñ cä:k@
@small lake@|@stuk@
@small metal box@|@tänla:p, tänla:p', tänlap@
@small palm-tree@|@dänse:, tänse@
@small ring-shaped cushion@|@rängwä:l@
@small species of liana@|@rba:k'@
@smell close@|@ph'uär@
@smell of urine@|@cä'es@
@smoke@|@phäse:ng@
@snake@|@bas', pos, was, wwas@
@sniff@|@hit@
@snow@|@tukakak@
@so long@|@Leeah sen howee@
@soap@|@sabu, sabuu@
@soiled@|@käkhwak'@
@solid@|@nä:n, na:n'@
@solitary@|@dol@
@some@|@klah@
@son@|@kunbrus, su:n@
@son-in-law@|@präsa:@
@soot@|@mre:ng@
@sorry@|@Som tos@
@sound@|@sämlä:ng@
@south@|@khaang d'bowng, tpu:ng@
@sow@|@pa:c, paoh, pas, ta:m@
@space between fingers@|@cängwe:k@
@span@|@'a:m, cam-'a:m@
@species@|@jnaw@
@species of fat edible spiders@|@räbi:ng@
@species of small bamboo@|@räliäk@
@spell@|@prow gcop@
@spend@|@ca:j@
@spend thrift@|@ja:t', kjat@
@spew from the mouth@|@cäng'aor@
@spew up@|@k'e:@
@spherical@|@tlum@
@spicy food@|@m'howp huhl@
@spider@|@pinpan@
@spin@|@luñ, lung, wol@
@spinner@|@ränwaj, räwej@
@spinning wheel@|@rängwyng@
@spirit@|@srämaol@
@spirit of life in a person@|@khwa:n@
@spirit which feeds on offal@|@'a:p@
@splash@|@sa:c@
@split@|@pe:ng, rhek, wah@
@spoiled@|@phä'u:m, räluäj@
@spongy@|@sbaot@
@spoon@|@slabpra@
@spread out from a center@|@ta:l@
@spring@|@nitahroduv@
@spring out of the way@|@da:s@
@sprout@|@bänlak@
@squatty build@|@käntil@
@squeeze@|@cräpa:c'@
@squeeze with fingers@|@cräpac@
@squirrel@|@kämpruk, pruk@
@stake@|@cändal, gaol@
@stake for supporting plants@|@jänlang'@
@stalk@|@du:ng@
@stand erect@|@jaät@
@stand high in the air@|@träte:t@
@stand in serried ranks@|@smä:ñ@
@stand out from the sides@|@dhma:ng'@
@stand straight up@|@cru:ng@
@stand up straight@|@cra:p@
@stand up to@|@daät@
@stand with bowed head@|@säñzhap'@
@star@|@phka:j, vasana@
@stay@|@naw@
@steal@|@sok@
@steam@|@'u:r@
@steel@|@daekthaeb@
@steep@|@tra:m@
@steep in liquid@|@ta:p@
@stick@|@cak@
@stick into@|@siät@
@stiff@|@prit@
@stinging nettle@|@kändä:c@
@stomach@|@dul@
@stomach contents regurgitated@|@räpaär@
@stone@|@dumthm, ta:, thmao, thmo, tmo@
@stopped@|@ca:l'@
@storm@|@pyuhsankhora@
@straight@|@slä:w, sle:w, slew, turang@
@strand of beads@|@'ängka:m, phga:m@
@stratum@|@sräda:p'@
@street@|@phleuv, vithi@
@stretched out@|@ju:r, jwar, räja:l@
@strike@|@dah, dan, p'ah, wa:j, wa:j@
@strike squarely@|@tal@
@strike with traversing@|@rahto@
@string musical instrument@|@la:w@
@stroke@|@chnu:t@
@strong@|@chngit, ma:t', ma:t', mat', reng@
@strong odor of fish@|@ch'a:p@
@stronghold@|@ghlang@
@submit to@|@kaot@
@suck the mother's breast@|@'ym@
@sudden alarm@|@präma:@
@suffer@|@ta:k'@
@suffer a mental@|@wa:k'@
@sugar@|@skar@
@suit@|@ga:p'@
@suitable@|@sam, tru:w@
@sultan-hen@|@daom, dom@
@summer@|@roduvkdau@
@sunken in the back@|@gak@
@superior@|@cpang@
@superior to@|@chpong, cpong@
@surface of sky@|@phdej@
@surround@|@wang@
@swallow@|@hwap@
@swallowed up@|@ghuk@
@swan@|@hans@
@sweet potato@|@tämlong, tämlu:ng@
@swing@|@taong@
@swollen@|@pong, wong@
@sword@|@khan@
@table@|@tu@
@take a pinch of smth@|@cip, jip@
@take by surprise@|@plan'@
@take off@|@peh@
@take off or away@|@tuäs@
@take trouble in doing@|@pa:c'@
@take up in the hand@|@chba:m, cpa:m@
@tangled up together@|@räwin@
@taro@|@tra:w, traw@
@tartar on tooth@|@s'ä:k@
@tasteless@|@brähe:t, präha:t@
@tea@|@tae, tai@
@teach@|@prätaw@
@temple@|@wawt@
@temples of head@|@kämphliäng@
@temporary shelter@|@tu:p@
@ten@|@dawp, tap'@
@tender@|@'an, 'dan, dan@
@tender young leaves@|@truäj@
@thank you@|@aw kohn, Awkun@
@Thank you very much@|@Awkun nah@
@Thanks a lot@|@Awkun aht ny@
@that@|@naoh, noh@
@That is easy@|@Wee-ah kjee-ah cah srule tday@
@That is not right@|@Wee-ah munh dtrow dtay@
@That is very difficult@|@Nah chjea cah peet bah nah@
@That is very difficult (1)@|@Nah chea cah peet bah nah@
@That is very nice of you@|@Neeit ain jet ar nah@
@thatch grass@|@bhla:ng', chpu:, spu:, spu:w@
@that's too much@|@th'lay pek@
@the best of the lot@|@naong, nong@
@the cold@|@rämnga:, ränga:@
@the end@|@ja:j@
@the form of a flattened sphere@|@trämul@
@the lid@|@gärop@
@the lord@|@empu, mpu, po, pu@
@the Mons@|@rman@
@the same@|@te:l, tel@
@the shore@|@traäj, trej@
@the youngest@|@baw, waw@
@then@|@daäp@
@they@|@gä:, ge@
@thick@|@dräsum, na:t, na:t', träsum@
@thick and entangled@|@ska:ñ@
@thick set@|@r'uñ@
@thief@|@khmaoj@
@thin@|@sägom, sgam@
@thing@|@räpos@
@think of@|@'anik, nik@
@this@|@nä:h, neh@
@This is Miss@|@Nee gkea neeyun gun yah@
@This is Mr@|@Nee gkea loak@
@This is Mrs@|@Nee gkea loak s'ray@
@thou@|@'no:k@
@thousand@|@muy poan@
@thread@|@sa:n'@
@three@|@bei, pi, pi:@
@throw from a container@|@jah@
@throw smth at someone@|@gòp@
@thrown into confusion@|@crälam@
@thrust@|@ruñ@
@thrust out the lips@|@pe:p@
@thrust out the lower lip@|@bä:p@
@thunder@|@phgo:r@
@thunderbolt@|@rändah@
@thunderous sounds@|@gägrum@
@thwart@|@phduj@
@ticket@|@samboht@
@tiger@|@khlathom@
@tilt@|@dä:r@
@time@|@tanmon@
@timid@|@'iän@
@tinder@|@puj@
@to abstain from@|@'at'@
@to abuse@|@tial@
@to act in secret@|@sämlic@
@to add on to@|@guäp@
@to adjoin@|@'e:p@
@to advance slowly@|@sym@
@to angle@|@sdu:c@
@to anoint the brow@|@cja:m, cy:m@
@to answer@|@chlaäj@
@to appear suddenly@|@bhul, bhwal@
@to apply the mind@|@riän@
@to arrange@|@ra:p'@
@to arrange music@|@pämbhlej@
@to back up@|@tun@
@to bail out@|@sta:r@
@to bar@|@dah, dap@
@to bar the way@|@ka:ng', kha:ng', khang, sdah@
@to bare the teeth@|@kämnaän, nä:n@
@to be beaten@|@cañ@
@to be brimful@|@briäp@
@to be cut off square@|@ral@
@to be enclosed@|@hap'@
@to be face up@|@phnga:r@
@to be fit@|@gat, gat'@
@to be folded up@|@taop@
@to be fond of@|@spit, sräla:ñ, srälañ@
@to be half-grown@|@sda:w@
@to be held fast@|@da:l'@
@to be high@|@phsang@
@to be intense@|@phsa:@
@to be low@|@da:p@
@to be pulled out@|@rätak@
@to be shaken@|@jäñjuäj@
@to be stretched out@|@rätu:k@
@to be trust outward@|@cpe:p@
@to beat drum@|@duäng@
@to become clear@|@rang@
@to become hard@|@kak@
@to begin@|@phtaäm@
@to behave@|@but, wut@
@to bend@|@drä:t, jyt, wä:r@
@to bend low@|@slyp@
@to bind@|@cam, cong@
@to blame@|@jä:r@
@to blend@|@na:m@
@to blow gently@|@lhaäj@
@to blow in gentle gusts@|@pha:t'@
@to blurt out@|@bhlaj@
@to boil@|@rämnga:s', ta:m, tämta:m@
@to bore@|@pängruh@
@to branch off@|@wa:m@
@to break@|@pe:k@
@to break off@|@slä:h@
@to break up@|@ra:j@
