@Hawaiian@|@English@
@ho`olilo@|@change (transform)@
@ho`olohe@|@hear, listen@
@ho`olohe@|@attentive@
@ho`olohi@|@dillydally, daudle, procrastinate@
@ho`olono@|@attentive@
@Hó`olu@|@Please@
@ho`oma`ama`a@|@pracice@
@ho`oma`ama`a@|@to practice@
@ho`oma`ema`e@|@clean something, clean, cleanse, make clean, purge@
@ho`oma`ema`e@|@to clean something@
@ho`oma`u@|@dampen@
@ho`omaika`i@|@bless@
@ho`omaka@|@start@
@ho`omaka@|@to begin, to start@
@ho`omâkaukau@|@prepare@
@ho`omäkaukau@|@prepare@
@ho`omake`aka@|@funny@
@ho`omalolo@|@adjourn@
@ho`omo`a@|@to cook@
@ho`omo`a@|@cook@
@ho`omoana@|@to camp@
@ho`omoana@|@to camp@
@ho`ona`auao@|@educate@
@ho`onaukiuki@|@annoy@
@ho`onoho(noho)@|@arrange@
@ho`onohonoho@|@classify@
@ho`onui@|@aggrandize, enlarge, increase@
@ho`onui@|@augment@
@ho`opa`a@|@to record (music); to make firm; to learn@
@ho`opa`a@|@to make firm@
@ho`opa`a ha`awina@|@study@
@ho`opa`a hau@|@to freeze something@
@ho`opa`a hau@|@to freeze something@
@ho`opa`a noho@|@to reserve a seat@
@ho`opa`a noho@|@reserve a seat@
@ho`opa`apa`a@|@argue@
@ho`opae@|@bring shore@
@ho`opae@|@to bring ashore, cast ashore@
@ho`opailua@|@abominable@
@ho`opau@|@abolish, cease@
@ho`opiha@|@to fill something up@
@ho`opiha@|@to fill something up@
@ho`opili@|@attach; imitate@
@ho`opili mai@|@imitate@
@ho`opio@|@turn off@
@ho`opokole`ana@|@abbreviation@
@ho`oponopono@|@adjust, edit, discuss (put things in right order)@
@ho`oponopono@|@administer@
@ho`ouka kaua@|@attack@
@ho`oulu@|@to grow (something), to raise plants@
@ho`oûlu@|@grow@
@ho`ouna ma ka mokulele@|@air mail@
@ho`owali@|@mix@
@ho`owali@|@to mix (poi)@
@ho`ulu`ulu@|@add@
@ho`ulu`ulu@|@addition@
@ho-a@|@to beat@
@ho'ïlo@|@winter@
@ho'o'pa'a@|@to hold@
@ho'olaule'a@|@festival@
@ho'olei@|@to throw@
@ho'olono@|@to hear@
@ho'omake@|@to kill@
@ho'omana@|@religion@
@ho'omo'a@|@to cook@
@hoa@|@friend@
@hoa aloha@|@friend@
@hoa kula@|@classmate@
@hoa noho@|@neighbor@
@hoa paio@|@enemy@
@hoa paio@|@enemy@
@hoa paio@|@enemy@
@hoa pili@|@friend@
@hoaahoha@|@friend@
@hoaaloha@|@friend@
@hoahanau@|@cousin@
@hoahânau@|@cousin@
@hoahänau@|@cousin@
@Hoaloha@|@Friend@
@hoe@|@paddle@
@hoe@|@paddle@
@hohono@|@putrid, bad smelling@
@hohono@|@bad-smelling@
@hohonu@|@deep@
@hoihoi@|@interesting@
@hókele@|@Hotel@
@höku@|@star@
@hökü hele@|@planet@
@hola@|@hour, time@
@hola@|@time, hour@
@hola `eha@|@four o'clock@
@Hola `ehia kéia?@|@What time is it?@
@holo@|@ride on@
@holoholo@|@ride around, walk around for fun@
@holoholo@|@walk around for fun@
@holoholona@|@animal, beast@
@holoholona@|@animal@
@holoi@|@wipe, wash@
@holoi@|@wipe@
@holomua@|@advance@
@holowa`a@|@chest (container)@
@home@|@home@
@honi@|@kiss, to sniff@
@hono@|@bay@
@honohono@|@A creeping grass@
@Honolulu@|@capital city@
@honu@|@turtle, tortoise@
@honua@|@world, earth@
@honua@|@earth, ground, world@
@hope@|@afterward@
@hope@|@after, behind@
@hope@|@after, behind@
@hope`ô@|@Yellow jacket@
@hopena pule@|@weekend@
@hopenapule@|@weekend@
@hopu@|@catch@
@hopu(na)@|@arrest@
@hopuna@|@accent (speech)@
@hou@|@again@
@hou@|@new, novel, to stab@
@houpo@|@chest (anatomy)@
@hü@|@to swell@
@hu`a@|@bubble@
@hu`ihu`i@|@cold (not hot)@
@hu`ihu`i@|@chilly@
@hua@|@fruit, seed, tuber@
@hua@|@egg, fruit@
@hua `ai@|@Fruit@
@hua [moa]@|@egg@
@hua helu@|@number@
@hua ho`ailona@|@abbreviation@
@hua maka@|@green fruit@
@hua moa@|@egg (chicken)@
@hua palapala@|@alphabet@
@huamoa@|@chicken egg, egg@
@huelo@|@tail@
@huhu@|@anger@
@huhû@|@angry, mad at@
@huhü@|@angry, mad at@
@hui@|@association, organization@
@hui@|@club, organization@
@Hui Ke`a `Ula`ula@|@Red Cross@
@hui mokulele@|@airline company@
@hui mokulele@|@airline company@
@huika@|@wheat@
@huina helu@|@arithmetic@
@huka@|@hook@
@huki@|@pull out@
@huki@|@To pull, pull out@
@hula@|@to dance the hula@
@hula@|@dance characterized by rhythmic body movements@
@hula@|@song or chant used for hula@
@hula@|@to sing for a hula@
@hula@|@to sing or chant for a hula@
@hula@|@hula dancer@
@hula[hula]@|@dance@
@hulai@|@shine@
@hulali@|@sparkle@
@huli@|@To turn, taro slip@
@huli@|@to curl over (as a breaker)@
@huli@|@to turn, reverse@
@huli@|@taro slip; search, look for; turn a corner@
@huli puke@|@research (literary)@
@hulu@|@body hair, wool, rectum, feather, fur@
@hulu@|@feather, wool@
@hulu@|@feather@
@hulu@|@fur@
@hulu@|@wool@
@hulu[hulu]@|@body hair@
@huluhulu@|@body hair@
@humuhumu@|@to sew@
@humuhumunukunukuäpua'a@|@A trigger fish@
@hünä@|@to hide@
@hunona wahine@|@daughter-in-law@
@hupa@|@hoop@
@hupo@|@dunce, idiot@
@i@|@at, to, toward@
@i@|@in, at@
@i@|@to, in@
@i@|@at, in, on, to@
@i@|@on, in@
@i hea@|@always@
@i hope@|@backward@
@i ka lâ `apôpô@|@tomorrow@
@I ka wâ hea?@|@When?@
@i kêia lâ@|@today@
@i kela me keia la@|@daily@
@i laila@|@there always@
@i laila@|@then@
@i luna@|@above@
@i luna@|@above@
@i mua@|@ahead@
@i nehinei@|@yesterday@
@i o`u@|@(to) me@
@i waena@|@among@
@i`a@|@fish@
@i`a@|@Fish@
@i`ane`i@|@always@
@i(a)@|@at@
@ia@|@it, at, he, she (the aforesaid thing)@
@ia@|@he@
@ia@|@he, she, her, him, it@
@ia kakou@|@them@
@ia laua@|@them@
@ia wa no@|@meantime@
@ia`u@|@me@
@iánauli@|@January@
@ice@|@hau@
@iho@|@below, downstairs, underneath@
@ihoiho@|@candle@
@ihoiho [kukui]@|@candle@
@ihu@|@nose@
@ihu@|@nose, bow (ship)@
@ihu wa`a@|@bow (of ship)@
@ikaika@|@strong@
@ikaika@|@strong@
@ikaika loa@|@mighty@
@iki@|@A little, diminutive, little, small@
@ikiiki@|@hot and humid@
@ikîki@|@hot and humid@
@ili@|@shipwreck (go aground)@
@imu@|@Underground oven@
@imu@|@hole in ground (to kalua food)@
@inä@|@if@
@inähea@|@when?@
@inaina@|@anger@
@inoa@|@title (heading), name@
@inoa@|@name, appellation@
@inoa hope@|@last name, surname@
@inoahope@|@last name@
@inu@|@drink, to drink@
@ipo@|@lover, darling@
@ipu@|@bowl, container, cup@
@ipu `înika@|@ink-well, well@
@ipu `înika@|@inkpot@
@ipuhao@|@pot@
@ipuhao@|@pot@
@ipukukui hele po@|@lantern@
@iulai@|@July@
@iulai@|@July@
@iune@|@June (month)@
@iune@|@June@
@iwa@|@nine@
@iwakalua@|@twenty@
@iwakälua@|@twenty@
@iwakalua kumakahi@|@twenty-one@
@iwi@|@bone@
@iwi@|@shell, bone@
@iwi@|@shell@
@iwia@|@the jaw bone@
@iwikuamo`o@|@spine, backbone@
@iwikuamo`o@|@backbone, spine@
@ka@|@the@
@ka@|@the@
@kâ@|@box, jug@
@kâ@|@container, vessel@
@kä@|@belonging to, indeed!@
@Ka `ohe@|@The bamboo@
@ka `ôlelo@|@the language@
@Ka `Olu`olu@|@Graciousness@
@kâ `olua@|@your@
@Ka `Onipa`a@|@Steadfastness@
@kâ `oukou@|@your ( more than two persons)@
@Ka Ha`aha`a@|@Humility@
@ka ha'oli na'u@|@you're welcome@
@Ka Haipule@|@Spirituality@
@Ka Hanohano@|@Dignity@
@Ka hau`oli na`u@|@The pleasure is mine@
@Ka Hô`ihi@|@Respect@
@Ka Ho`ohiki@|@Keeping promises@
@Ka Ho`okipa@|@Hospitality@
@Ka Ho`okûkû@|@Competitiveness@
@Ka Ho`omana@|@Spirituality@
@Ka Ho`omanawanui@|@Patience@
@Ka Ho`oponopono@|@Openly discussing problems@
@Ka Huikala@|@Forgiveness@
@kâ ka wahine@|@the woman's@
@kâ lâkou@|@their@
@kä läkou@|@to cook in an imu@
@kâ Lani@|@Lani's@
@Ka Laulima@|@Cooperativeness@
@Ka Le`ale`a@|@Playfulness@
@Ka Lôkahi@|@Balance@
@Ka Lokomaika`i@|@Generosity@
@Ka Ma`ema`e@|@Cleanliness@
@Ka makuahine aloha e@|@The beloved mother@
@Ka Mâlama@|@Caring for one another@
@ka malamalama@|@in the light@
@ka malamalama o ke Akua@|@in the light of God@
@ka mea e loa`a ana@|@anything@
@Ka mea hea?@|@Which?@
@Ka Na`auao@|@Intelligence@
@Ka Pa`ahana@|@Industry@
@Ka Pâna`i@|@Reciprocity@
@ka pea@|@beans@
@ka`a@|@automobile, car@
@ka`a@|@car, vehicle@
@ka`a `óhua@|@Bus@
@ka`aahi@|@Train@
@ka`aahi hale ho`olulu@|@Bus station@
@ka`awale@|@Reservation@
@ka`awale@|@apart@
@ka`e@|@edge@
@ka`i@|@to lead, to direct@
@kä`olua@|@you (dual)@
@kä`oukou@|@your (plural - 3 or more)@
@ka`u@|@my (singular possessed object)@
@ka`u@|@my@
@ka`ukama@|@cucumber@
@ka`ukama@|@cucumber@
@kaena@|@boast@
@kaha@|@accent (diacritical mark)@
@kaha koko@|@bleed@
@kahakai@|@beach@
@kahakai@|@beach@
@kahawai@|@stream, river@
@kahawai@|@River, stream@
@kahe@|@to flow@
@kahe [ule]@|@circumcise@
@kâhea@|@call out@
@kähea@|@call out@
@kahi@|@to comb, to shave; comb; smooth out@
@kahi@|@someone, to comb@
@kahiki@|@old@
@kahiko@|@old@
@kahiko@|@old@
@kahiko@|@old, ancient, antique@
@kahu@|@administrator@
@kahu puke@|@librarian@
@kahua@|@arena, foundation, base location@
@kahua ho`olulu mokulele@|@Airport@
@kahua ho`olulu mokulele@|@airport@
@kahua mau`u@|@grassy yard@
@kahua mau`u@|@grassy yard@
@kahua mokulele@|@airport@
@kahua mokulele@|@airport@
@kahua pâ`ani@|@playground@
@kahua pä`ani@|@kahuna, priest, skilled person@
@kahuna@|@priest; skilled person@
@kahuna@|@sorcerer, expert, priest@
@kai@|@seaside, tide, current (in the sea)@
@kai@|@sea, sea water@
@kai@|@Sea@
@Kai `ele`ele@|@Black Sea@
@Kai `Ula@|@Red Sea@
@Kai Melemele@|@Yellow Sea@
@kai nïoi@|@chili pepper water@
@kai uli@|@Deep blue sea@
@kaiapa@|@diaper@
@kaikaina@|@younger sibling of same sex, boy's younger brother@
@kaikaina@|@sister (younger of a female)@
@kaikaina@|@older sibling of same sex@
@kaikamahine@|@daughter@
@Kaikamahine@|@Daughter@
@kaiko`eke@|@brother-in-law@
@kaikua`ana@|@brother@
@kaikua`ana@|@older sibling of same sex, boy's older brother@
@kaikua`ana@|@brother (older of a male)@
@kaikua`ana@|@sister (older of a female)@
@kaikuahine@|@sister (of a male)@
@kaikuahine@|@sister of a male, boy's sister@
@kaikuanâne@|@brother of a sister@
@kaikunâne@|@girl's brother@
@kaila@|@style@
@kaimana@|@diamond@
@kaimana@|@diamond@
@kaimana hila@|@Diamond Head@
@kaimua@|@lifestage (about 7 years) of a male child@
@kaina@|@kind of@
@kakä@|@duck@
@kakahiaka@|@morning@
@kakalina@|@Katherine@
@kakani@|@crunchy, as good `opihi@
@kakani@|@crunchy@
@kakau mo`olelo@|@author@
@kako`o@|@aid@
@kakolika@|@Catholic@
@kakou@|@we (plural, inclusive)@
@kákou@|@We@
@kâkou@|@we (you folks and I), us, we@
@käkou@|@we (I and you all [plural])@
@kala@|@funds, untie, color@
@kala@|@color@
@kälä@|@money@
@kälä@|@money@
@kälä ke'oke'o@|@silver@
@Kala mai ia`u@|@Excuse me@
@kâlai@|@to hoe@
@kälai@|@to hoe@
@kalaiwa@|@drive a car@
@kalaiwa@|@drive a car@
@kalaka@|@truck@
@kalaka@|@truck@
@kalakoa@|@calico@
@kalamela@|@caramel@
@kalana kakau@|@tablet@
@kâlani@|@gallon@
@kälani@|@gallon@
@kalaunu@|@clown@
@kalena@|@talent@
@kali@|@wait for, wait@
@kali@|@wait, abide, await, expect@
@Kalikimaka@|@Christmas@
@Kalikimaka@|@Christmas, Yule@
@kalima@|@cream@
@kalima@|@cream@
@kalipa@|@slipper@
@kalipa@|@slipper@
@kalipa@|@slipper@
@kalo@|@taro@
@kalo@|@taro@
@kalo lo'i@|@Taro patch@
@kalua@|@Baked shredded meat@
@kâlua@|@to cook in an imu@
@kama@|@baby, child@
@kama@|@child@
@kama`a@|@shoe@
@kâma`a@|@shoe@
@käma`a@|@shoe@
@kama`aina@|@native-born, one born in a place@
@kama`aina@|@acquainted, familiar--long-time resident of Hawaii@
@kama`ilio@|@converse@
@kama`ilio@|@converse@
@kama'aina@|@native-born@
@kamaboko@|@Japanese fishcake@
@Kamaha`o!@|@marvelous!@
@Kamakanuihaelono@|@Deity (God) of healing@
@kamali`i@|@children, bairn, child, infant@
@kamali`i@|@children@
@Kamapua'a@|@demigod who take the shapes@
@kämelo@|@camel@
@kamipiula@|@computer@
@Kamipulu!@|@Damn fool!@
@kamu@|@chewing gum@
@kamu@|@gum, chewing gum@
@kâna@|@his, its@
@käna@|@his/her@
@kana-há@|@forty@
@kana-hiku@|@seventy@
@kana-iwa@|@ninety@
@kana-kolu@|@thirty@
@kana-lima@|@fifty@
@kana-ono@|@sixty@
@kana-walu@|@eighty@
@kanaha@|@forty@
@kanahâ@|@fourty@
@kanaha kaukani@|@forty thousand@
@kanaha kumakahi@|@forty-one@
@kanahiku@|@seventy@
@kanahiku@|@seventy@
@kanahiku@|@seventy@
@kanahiku kumakahi@|@seventy-one@
@kanaiwa@|@ninety (90)@
@kanaiwa@|@ninety, number ninety@
@kanaka@|@person@
@kanaka@|@man, human being@
@kanaka@|@man, human being@
@kanaka i male `ole@|@bachelor@
@kanaka maoli@|@full-blooded Hawaiian@
@kanaka maoli@|@According to Pukui, Full-blooded Hawaiian person@
@Kanakaloka@|@Santa Claus@
@kanakalû@|@kangaroo@
@kanakê@|@candy@
@kanakolu@|@thirty (30)@
@kanakolu@|@thirty, number thirty@
@kanakolu kumakahi@|@thirty-one@
@kanalima@|@fifty@
@kanalima@|@fifty@
@kanalima kumakahi@|@fifty-one@
@kanaono@|@sixty@
@kanaono@|@sixty@
@kanaono@|@sixty@
@kanaono kumakani@|@sixty-one@
@kanaonokumakani@|@sixty-one@
@Kanapapiki!@|@Son of a bitch!@
@kanapî@|@centipede@
@kanapï@|@centipede@
@kanawalu@|@eighty@
@kanawalu kumakahi@|@eighty-one@
@kane@|@masculine@
@kane@|@man, male@
@kane@|@male@
@Káne@|@Husband@
@kâne@|@man, fellow@
@kâne@|@husband@
@kani@|@to chime, sing (bird), make a sound@
@kani@|@make a sound@
@Kani mai ke oli !@|@How shrill his song!@
@kani`a`i@|@Adam's apple@
@kanu@|@bury, to plant@
@kanu@|@to plant, bury@
@kao@|@goat@
@kao@|@goat@
@kaomi@|@press (button)@
@kaomi@|@press button@
@kaona@|@town, hidden meaning@
@kaona@|@town@
@kapa@|@Unwoven cloth made from tree@
@kapa@|@tapa (made from inner bark of various plants)@
@kapa moe@|@blanket@
@kapakahi@|@crooked@
@kapakahi@|@crooked@
@kâpena@|@captain@
@käpena@|@captain@
@kâpî@|@sprinkle on (as salt)@
@käpï@|@sprinkle on (as salt)@
@kapiki@|@cabbage@
@kâpiki@|@cabbage@
@käpiki@|@cabbage@
@kapioka@|@tapioca@
@kapu@|@forbidden, sacred, taboo@
@kapu@|@cap, taboo@
@kapuahi@|@stove@
@kapuahi@|@stove@
@kapulu@|@unclean@
@kâpulu@|@poorly done@
@käpulu@|@sloppy, poorly done@
@kau@|@ride a vehicle, be on top of something; position@
@kau@|@Summer, ride a vehicle, season@
@kâu@|@your@
@käu@|@your (singular)@
@kau 'anu@|@winter@
@kau 'o hä'ule lau@|@fall (1)@
@kau 'o makalapua@|@spring@
@kau (a-class)@|@your (singular possessed object)@
@kau hana@|@your occupation@
@Kau i ka lewa@|@Hung up in the air@
@kau wela@|@summer@
@kau wela@|@summer@
@kaua@|@army, we (dual, inclusive)@
@kaua@|@war@
@Káua@|@We@
@kâua@|@we (you and I), us, we@
@käua@|@we (you and I)@
@kauka@|@doctor@
@kauka@|@medical, doctor@
@kaukani@|@one thousand@
@kaukau@|@Food@
@kaukini@|@cousin@
@kaula@|@rope@
@kaula@|@chain, string, rope, cord@
@käula@|@prophet@
@kaula hao@|@chain@
@kaulana@|@famous@
@kaulana@|@famous@
@kaulele (leo)@|@accent (stress)@
@kaumaha@|@heavy@
@kaumaha@|@sad, heavy@
@kaumaha@|@sad@
@kauô ke`oke`o@|@Egg white@
@kauoha@|@order, command@
@kauoha@|@command, order@
@kaupaku@|@ceiling@
@kaupale@|@dam@
@kaupalena@|@deadline@
@kaupoku@|@roof@
@kauwela@|@summer@
@kawele@|@wipe@
@kâwele@|@napkin@
@käwele@|@towel, napkin@
@KaWiwo@|@Obedience@
@kawowo@|@seedling@
@kawowo@|@seedling@
@ke@|@the@
@ke `ano o ka manawa@|@weather@
@ke 'ano o ka manawa@|@weather@
@ke (singular); na (plural)@|@the@
@Ke Alaka`i@|@Leadership@
@Ke Aloha@|@Aloha@
@Ke kalo@|@The taro@
@Ke ke`oke`o mai o ka nalu@|@The whiteness of the waves@
@Ke Kela@|@Excellence@
@Ke Koa@|@Courage@
@Ke Kôkua@|@Helpfulness@
@Ke Kû i ka nu`u@|@Achievement@
@Ke Kûha`o@|@Self-reliance@
@Ke Kûpono@|@Honesty@
@Ké`ai aku `oe ...?@|@Do you have...@
@ke`ena@|@board (council)@
@ke`ena hana@|@laboratory@
@ke`ena noho@|@apartment@
@Ke`oke`o@|@White@
@ke`oke`o@|@white@
@ke'ena@|@room@
@kea@|@white, clear, pale@
@kea@|@white, blank@
@Keaka@|@Jack as in cards@
@kêia@|@this@
@këia@|@this@
@kéia lá@|@Today@
@keiki@|@Child, children, boy@
@keiki@|@baby, infant, boy@
@keiki hipa@|@lamb@
@keiki kane@|@son@
@Keiki káne@|@Son@
@keiki käne@|@boy, son@
@keikikâne@|@boy, son@
@keka@|@sex@
@kekahi@|@also, one of the@
@kekahi@|@certain (particular), one [of the], another@
@kekähi@|@other@
@kekahi mea@|@something@
@këkake@|@donkey@
@Kekemapa@|@December@
@kekemapa@|@December@
@kékémapa@|@December@
@keko@|@monkey@
@kekona@|@scond (as in time), second@
@kekona@|@second (of time)@
@kela@|@it@
@kêlâ@|@that@
@këlä@|@that@
@kela me keia mea@|@each@
@kela wahi keia wahi@|@around@
@kelaki@|@celery@
@kele@|@jelly@
@keleawe@|@copper@
@Kelemánia@|@German@
@kelemomeka@|@thermometer@
@kelepa`i@|@fax, facsimile@
@kelepona@|@telephone@
@kelepona@|@telephone@
@kelikoli@|@territory@
@kênâ@|@that (by you)@
@kënä@|@that@
@kënä@|@that (near you)@
@keneka@|@cent, penny@
@kenika@|@tennis@
@kepa@|@contract (agreement)@
@kepakemapa@|@September@
@kepakemapa@|@September@
@Kepanî@|@Japanese@
@Kepanï@|@Japanese@
@Kepania@|@Spanish@
@ki@|@key@
@ki@|@Tea@
@kî@|@key, wrench@
@kï@|@tea@
@kï wai@|@water faucet handle@
@kî`aha@|@drinking glass@
@kï`aha@|@glass (drinking)@
@ki`eki`e@|@tall (elevation)@
@ki`i@|@diagram@
@ki`i@|@picture@
@ki`i pohaku@|@stone carving, petroglyph@
@ki`i`oni`oni@|@movie@
@ki`o@|@pond (of water); bowels@
@ki`o wai@|@Swimming Pool@
@ki`owai@|@pond@
@ki'i pohaku@|@Stone carving@
@kia`i@|@guard, sentinal, protect@
@kiawe@|@Algaroba tree@
@kihi@|@corner (outside point)@
@kihikihi@|@zigzag@
@kika@|@tiger@
@kika@|@cigar@
@kîkâ@|@guitar@
@kikala@|@hip@
@kikaliki@|@cigarette, cancer stick@
@kike@|@kitty@
@kike`eke`e@|@zigzag@
@kîkî@|@shoot@
@kïkï@|@shoot, spray (as water or insecticide)@
@kikiki@|@Ticket@
@kiko@|@accent (diacritical mark)@
@kikokiko@|@spot@
@kikowaena@|@center@
@kikowaena@|@headquarters@
@kila@|@steel@
@kilika@|@silk@
@kiloi@|@throw@
@kimeki@|@cement@
@kinamona@|@cinnamon@
@kini@|@can@
@kini@|@tin (as in tin can), can@
@kinipôpô@|@ball (for games)@
@kinipöpö@|@ball (game)@
@kinipopo peku@|@football@
@kino@|@body@
@kino@|@body@
@kipa@|@visit@
@kipaku@|@drive away@
@kipikua@|@pick@
@kipikua@|@pick@
@Kipue!@|@Keep away!@
@kïpuka@|@A clear place@
@kiuke@|@cute@
@kîwai@|@water faucet handle@
@kîwî@|@T.V.@
@ko (neutral class)@|@your (singular possessed object)@
@ko`a@|@fishing grounds@
@kô`ala@|@coals (to roast over)@
@ko`e@|@earthworm@
@ko`e@|@earthworm@
@ko`eko`e@|@cold (not hot)@
@ko`u@|@my (possessed object, singular)@
@ko`u@|@my@
@ko'e@|@worm@
@ko'e@|@worm@
@ko'i@|@axe@
@koa@|@valuable tree used for canoes, type of wood@
@koa@|@koa [tree or wood]@
@koe@|@remain, left, more@
@koe@|@more@
@kohele@|@Kosher@
@koheoheno@|@nose flute@
@kohi@|@vagina@
@koho@|@nominate@
@koho@|@to choose@
@kohola@|@whale@
@kohu `ole@|@nonsense@
@koki`o@|@hibiscus@
@koko@|@blood@
@koko@|@cocoa@
@koko@|@early@
@koko@|@early@
@kôkô@|@cocoa@
@kokoke@|@Near, almost@
@kokoke@|@adjacent, close (proximity), almost, near@
@kokoleka@|@chocolate@
@kokoleka@|@chocolate@
@kökü@|@star@
@kokua@|@assistance, Help@
@kokua@|@aid, help, assistance@
@kôkua@|@aid@
@kökua@|@help@
@kökua@|@help@
@kôlea@|@carpetbagger@
@kölea@|@Pluvialis fulva ([Pacific golden] plover)@
@kolo@|@crawl@
@kolo@|@crawl@
@koloa@|@duck native to Hawai'i@
@koloaka@|@soda water@
@kolohe@|@mischievous, rascal@
@kolohe@|@bad, rascal@
@kolu@|@three@
@komo@|@wear, penetrate@
@komo@|@go in@
@komo@|@wear@
@komo mai@|@welcome@
@kona@|@his/her@
@kona@|@his, its@
@kônane@|@brilliant@
@kônane@|@bright@
@kono@|@invite@
@kono@|@invite@
@konohi@|@Chinese New Year@
@kopa@|@soap@
@köpa'a@|@sugar@
@kopalâ@|@shovel@
@kopalä@|@shovel@
@kope@|@Coffee@
@kope@|@rake, coffee@
@kopekope@|@to rake@
@kopekope@|@to rake@
@kou@|@your@
@kou (o-class)@|@your (singular possessed object)@
@Kristo@|@Christ@
@ku@|@to stand@
@kû@|@stop@
@kü@|@poked (as a wound); stand; stop@
@ku i ke kanawai@|@legitimate@
@ku i ke kanawai@|@legal@
@kû`ai `emi@|@sale@
@kû`ai aku@|@sell, buy@
@kû`ai mai@|@buy@
@Kú`ai mai wau kéia@|@I'll buy it@
@kü`aiemi@|@sale@
@ku`e@|@against@
@ku`emaka@|@eyebrow@
@ku`i@|@punch@
@ku`i `opihi@|@pound@
@ku`i `opihi@|@to pound [pick] `opihi@
@ku`i hao@|@Black smith@
@ku`u@|@my (singular possessed object)@
@ku`u@|@my@
@Ku`u pûnâwai@|@My fresh water spring@
@Ku`u wahi i`a@|@My little fish@
@kü'ai@|@to buy@
@ku'i@|@to pound@
@kua@|@back (anatomy)@
@kua@|@back@
@küaepele@|@sulphur, match@
@kuahiwi@|@mountain@
@kuahiwi@|@mountain@
@kuamuamu@|@damn@
@kuawa@|@guava@
@küawa@|@guava@
@kueka@|@sweater@
@kuene@|@flight attendant@
@kuene@|@steward[ess]@
@kuhikuhi@|@to point out@
@kui@|@to string (as a lei); needle, pin, nail@
@kui@|@nail, needle@
@kuka@|@coat@
@kuka@|@coat@
@kûkae@|@excrement@
@kükae@|@shit [vulg.] (see "lepo")@
@kûkaepele@|@match@
@kukala@|@announce@
@kuke@|@cook@
@kuki@|@cookie@
@kukû@|@thorn@
@kûkû@|@cuckoo, grandparent@
@kükü@|@grandparent [affectionate usage]@
@kukui@|@candlenut@
@kukui@|@lamp@
@kukui@|@candlenut tree@
@kukui hele pö@|@lantern, flashlight@
@kukui-haole@|@nut@
@kukuihelepô@|@lantern@
@kukuli@|@kneel@
@kukulu@|@build@
@kûkulu@|@build@
@kükulu kumuhana@|@To pool thoughts and prayers@
@kukuna@|@beam@
@kukuna@|@beam@
@kula@|@School, gold@
@kula@|@school@
@kula a`o hulahula@|@dance school@
@Kula kapaki@|@Sunday school@
@kulana@|@title (rank)@
@kulana makahiki@|@age@
@kulanakauhale@|@city@
@kúlanakauhale@|@Square@
@kûlanakauhale@|@city@
@külanakauhale@|@village@
@kulapepeiao@|@earring@
@kuleana@|@title (right), tenure@
@kuleana@|@responsibility@
@kuleana@|@territory@
@kuli@|@knee@
@kuli@|@knee@
@kulike me ke `ano mau@|@normal@
@kulikuli@|@noise@
@kulipa@|@tulip@
@kulou@|@bow (kneel)@
@kûlou@|@bend down@
@kulu@|@drop@
@kumu@|@trunk (of a tree)@
@kumu@|@teacher, tutor@
@kumu@|@root; reason, teacher@
@kumu@|@manual, Teacher, instructor@
@kumu@|@motive, grounds, purpose@
@kumu@|@bottom, base, foundation, tree@
@kumu@|@reason, cause, goal, justification@
@kumu@|@fundamental@
@kumu@|@hereditary@
@kumu@|@beginning, source, origin@
@kumu kula@|@school teacher@
@kumu manakö@|@mango tree@
@kumukula@|@school teacher@
@kumula`au@|@tree@
@kumulâ`au@|@tree@
@kumulä`au@|@tree@
@kumumanakô@|@mango tree@
@kümümü@|@dull@
@kuna@|@eel@
@kuni@|@to burn@
@kunou@|@kneel, bow@
@kupa@|@citizen@
@kupa@|@soup@
@kupa@|@boil (as cooking method)@
@Kupaianaha!@|@wondeful!@
@kupina`i@|@echo@
@kûpono@|@appropriate@
@küpono@|@appropriate@
@kupu@|@to grow@
@kupulau@|@Spring, Spring season@
@kupulau@|@spring (season)@
@kupuna@|@Grandparent@
@kupuna@|@elder@
@kupuna@|@source, starting point; grandparent@
@kûpuna@|@elders@
@kupuna kane@|@grandfather@
@kupuna käne@|@grandfather@
@kupuna wahine@|@grandmother@
@kupunakâne@|@grandfather@
@kupunawahine@|@grandmother@
@la@|@that@
@la@|@sun@
@lá@|@Day@
@lâ@|@sun@
@la `eha o iulai@|@Fourth of July@
@la hanau@|@birthday@
@lá hánau@|@Birthday@
@la ho`omano`o@|@anniversary@
@la o na makuahine@|@Mother's Day@
@la`au@|@wood@
@lâ`au@|@wood@
@la`au `ohikihiki niho@|@toothpick@
@la`au lapa`au@|@traditional healing medicine@
@la`au li`ili`i@|@bush@
@la`au paina@|@pine tree@
@lâ`auhihi@|@vine@
@lâ`aumake@|@herbicide@
@la`i@|@peace, tranquility@
@la`i@|@tranquility, peace@
@lä`ï@|@ti plant@
@la'a 'ula@|@fall@
@la'a 'ulu@|@spring@
@la'a make@|@fall@
@lä'au@|@tree@
@lä'au lapa'au@|@Medicine@
@lä'au make@|@poison@
@lä'iki@|@narrow@
@lae@|@brow, forehead; cape headland@
@lae@|@cape headland; brow, forehead@
@lae@|@forehead, brow; cape headland@
@lahi@|@thin@
@lahilahi@|@delicate@
@lahopipi@|@eggplant@
@lahui@|@nation, race, tribe, people@
@lâhui@|@nation@
@laiki@|@rice@
