@English@|@Buryat@
@shock@|@buxal@
@shoe@|@gutaha(n), gutal@
@short@|@oxor@
@short and thin tail@|@šodogor, šodon@
@shoulder@|@bagalsag, mür(e)@
@shoulder bone@|@bogto@
@shoulderblade@|@dala@
@shouting@|@oriloldö(n)@
@shy away@|@emë-@
@sickle@|@xadür@
@side@|@xübö@
@side boards on saddle@|@xabtagaj, xabtahan@
@silhouette@|@barä@
@silk@|@xib@
@similar@|@adli, mete@
@sin@|@nügel@
@sinew@|@šandäha, šürbehe(n), šürmehe(n)@
@six@|@zurgä(n)@
@sixty@|@žaran@
@skewer@|@šoro@
@skill@|@düj@
@skilled@|@berxe, gabšgaj@
@skin@|@arahan, arha(n), xalha(n)@
@skin covering the animals@|@mäxaj@
@skirt@|@xormoj@
@skull@|@xoximoj@
@sleep@|@nojr@
@sleet@|@burga-@
@sleeve@|@xamsy@
@slice@|@esxe-@
@slime@|@üngger@
@slow@|@šabdag@
@sludge@|@zamag@
@small@|@baga, bišïxan, žežeg@
@small finger@|@šegš?dej, šegšegej, šegšegeldej, šegšy@
@small pieces@|@übdel@
@small pieces of food@|@xibag@
@small span@|@höm@
@smell@|@üner@
@smell of burning@|@xünšü@
@smoke@|@utä(n)@
@snake@|@mogoj@
@snipe@|@harälža(n), süsagälžan, süsälžan@
@snot@|@nuha(n)@
@snow@|@saha(n)@
@snow storm@|@šürga@
@snow-drift@|@xünggereg@
@snuff@|@tortog@
@soar@|@xali-@
@sober@|@erül@
@sole of foot@|@ula, ülme, ülmy@
@solid@|@bexi, büxe@
@son@|@xübün@
@song@|@dü(n)@
@son-in-law@|@xür dü, xürge(n)@
@soot@|@ehen, xö@
@sorcery@|@ab@
@sorrow@|@uj@
@soul@|@hünehe(n)@
@soup@|@šülen@
@sour@|@xaxra-, xaxün@
@South@|@ümene@
@space@|@arma@
@spacious@|@salü@
@spark@|@ošo(n)@
@spatter@|@sasa-@
@spider@|@abäxaj@
@spin@|@güre-@
@spine@|@hër@
@spiral embroidery@|@ugalzatül-@
@spirit@|@ada@
@spleen@|@delün@
@spleen (of animals)@|@nälta@
@spot@|@büder, tolbo@
@spotted@|@söxor@
@sprout@|@šexen@
@spy@|@tagna-@
@stairs@|@šata@
@star@|@odon@
@starve@|@züder-@
@starving@|@gurinxa@
@steep bank@|@erje@
@stem@|@eše@
@steppe@|@tala@
@stick@|@horbo@
@stick out@|@hagsagar, hegseger, hegselze-@
@stick to@|@nä-@
@sticking out@|@godogor, godoj-, herteger@
@stirrup@|@dürö@
@stitch@|@šere-@
@stockings@|@ojmho(n)@
@stone@|@šulü(n)@
@stop up@|@bügle-, büte-@
@strain@|@šü-@
@strap@|@ümrül@
@straps for bootlegs@|@tüngge@
@strawberry@|@zedegene@
@stream@|@gorxo(n)@
@strength@|@xüše(n)@
@stretcher@|@telür@
@strew over@|@jüle-@
@strike@|@gübi-@
@strong@|@šïrag@
@strong (tea)@|@ägtaj@
@stuffed guts@|@hugabša@
@stupid@|@mener-@
@sturgeon@|@xilme@
@success@|@taläng@
@suck in@|@horo-@
@sulphur@|@moxi(n)@
@summer@|@nažar, zun@
@sun@|@nara(n)@
@surface@|@nurü@
@surplus@|@üle-@
@suspend@|@düžel-@
@swaddling-clothes@|@mansi@
@swallow@|@xaräsgaj, xarxali@
@swamp@|@namag, namarga, ulam@
@swamped forest@|@šeber@
@swan@|@xun(g)@
@sway@|@hebi-, narba-@
@swell up@|@xö-@
@swelling@|@xabang@
@swift@|@türge(n)@
@swing@|@derbelze-@
@swollen@|@güreger@
@table@|@šerë@
@tail hair@|@xilgäha(n)@
@tail strap@|@xudraga@
@taint@|@ag@
@take responsibility@|@dä-@
@talmaj@|@square@
@tangled hair@|@däxi@
@tanning stuff@|@edxe-@
@tarbagan@|@tarbaga(n)@
@taste@|@amta(n)@
@tear off@|@xaxa-@
@tear out@|@ugzar-@
@temple@|@sabirgaj, xïd@
@ten@|@arba(n)@
@tent@|@majxan@
@testicle(s)@|@böre@
@testiness@|@önteg@
@thankful@|@xana-@
@that@|@tere, ünöxi@
@theatre@|@züžeg@
@thick@|@büdün, tügdeger, zuzän@
@thick (of liquids)@|@üdxe(n)@
@thick growth@|@šugy@
@thick intestine@|@olgoj@
@thick part of sinew@|@bülxi(n)@
@thick snow@|@xür@
@thick thread made of sinew@|@habagša@
@thigh@|@hüže@
@thill@|@aral@
@thin@|@narin, nimgen@
@thin growth@|@šerenggi@
@thin string@|@šežem@
@thing@|@jümen@
@thinned@|@hijre-@
@thirty@|@guša(n)@
@this@|@ene@
@thou@|@šenï (gen.), ši@
@thousand@|@manga(n)@
@thread@|@utaha(n)@
@three@|@gurba(n)@
@threshold@|@bogoho, bohogo@
@throat@|@bagalzür, baxalür, baxalzür@
@thuja@|@xuša@
@thumb@|@erxy@
@tick@|@xubalza@
@tickle@|@gežegendehe(n)@
@time@|@sag, segen@
@tinder@|@üla@
@tired@|@ese-@
@to add@|@neme-@
@to address@|@xanda-@
@to advance gradually@|@axi-@
@to agree upon time@|@bolzo-@
@to alternate@|@helge-@
@to appoint@|@tomil-@
@to arrange@|@xamga-@
@to ask@|@asü-@
@to attack@|@bulä-@
@to bark@|@xusa-@
@to barter@|@agsa-@
@to be@|@bï@
@to be able@|@šada-@
@to be able to cut@|@dä-@
@to be afraid@|@aj-@
@to be ashamed@|@balšysa bari-, eše-@
@to be astonished@|@gely-@
@to be awry@|@muža-@
@to be barely sufficient@|@düme-@
@to be bored@|@ujda-@
@to be born@|@türe-@
@to be broad and long@|@nebši-@
@to be disturbed@|@megde-@
@to be embarrassed@|@baxarda-@
@to be energetic@|@güžer@
@to be exhausted@|@harig, harmaj, tuli-@
@to be flat and wide@|@dalba-@
@to be flayed@|@xalsar-@
@to be full@|@melmelze-@
@to be greedy@|@xaha-@
@to be happy@|@bajarla-@
@to be heavy@|@nozog-@
@to be hungry@|@üld-@
@to be ill@|@übde@
@to be ill of children@|@hagsar-@
@to be in bad spirits@|@uri gari bološohon@
@to be mistaken@|@ende-@
@to be noisy@|@šüjä-@
@to be old@|@ütelhe(n)@
@to be on time@|@amža-, amžalta@
@to be overthrown@|@tanggaj-@
@to be plump@|@sulsaj-@
@to be related to@|@xarilsa-@
@to be restless@|@xolxi@
@to be rough@|@arzaj-@
@to be sad@|@šanal-@
@to be separated@|@angil-@
@to be sharp@|@salï-@
@to be slanting@|@xesy-@
@to be spread@|@tüge-@
@to be thirsty@|@umda(n), unda(n)@
@to be unable to get up@|@üjede-@
@to be unhappy with smth@|@golo-@
@to be untied@|@helen xatarxa@
@to be wrinkled@|@buršï-@
@to beat in@|@šä-@
@to become@|@bolo-@
@to become dark@|@tünxij-@
@to become dry@|@arga-@
@to become dull@|@dünjë-@
@to become flat and watery@|@bilsa-@
@to become hard@|@xagsa@
@to become hoarse@|@hölde-@
@to become mad@|@munga-@
@to become red@|@menty-@
@to become rich@|@xogšol-@
@to become sour@|@ede-, šogšo-@
@to become white@|@saj-@
@to become worn out@|@heberi-@
@to behave indecently@|@šolmos@
@to belch@|@oxi-, xexer-@
@to bend@|@bügdi-, bükti-, ebxe-, naxï-, nugal-, nugar-@
@to bend backwards@|@düle-@
@to bind@|@xüli-@
@to bind a horse@|@xantar-@
@to bite@|@xaza-, zü-@
@to blow@|@hüje-, ülë-@
@to blow nose@|@nï-@
@to boast@|@bardam@
@to boil@|@busal-@
@to bow@|@gaxï-@
@to branch off@|@hala-@
@to break@|@ebde-, ünde-, zära-@
@to breathe@|@amisxa-@
@to build@|@bari-@
@to burn@|@tüle-, tüli-@
@to calculate@|@tomjör-@
@to carouse@|@din, narja-, rattle@
@to castrate@|@em-nï-@
@to catch fire@|@aha-, šata-@
@to catch fish with a net@|@gubša-@
@to change@|@aralža-, xubil-@
@to chase@|@ülde-@
@to chew@|@xibe-, zažal-, žažal-@
@to choke@|@bügler-, bügše-@
@to choose@|@hunga-@
@to chop@|@otol-@
@to clean@|@arša-@
@to cling to@|@züra-@
@to close eyes@|@ani-, žemy-@
@to clutch@|@adxa@
@to collect@|@somo@
@to come@|@jere-@
@to come back@|@xari-@
@to come to an end@|@tügese-@
@to compare@|@üliše-@
@to cover@|@büri-, bürxe-, nemeri-, xuša-@
@to cover (by a horse-cloth)@|@nemne@
@to covet@|@xurisal@
@to creep@|@mülxi-@
@to cross over@|@gatal-, getel-@
@to crumble@|@nahal-@
@to crush@|@nas, ültil-, ültir-@
@to cry@|@ajlada-, uli-@
@to curse@|@xarä-@
@to cut@|@müli-, xaj-@
@to cut lengthwise@|@zühe-, žühe-@
@to cut off pieces@|@xaha-@
@to dance@|@büžeg@
@to deceive@|@xüra-@
@to defecate@|@bä-@
@to demolish@|@bisal-@
@to deteriorate@|@guta-@
@to deviate@|@xelby-, xilar@
@to die@|@üxe-@
@to dig@|@malta-@
@to diminish@|@hä-, xoro-@
@to disappear@|@xosor-@
@to dress@|@elde-@
@to drift on the surface@|@xübe-, xübxelze-@
@to drink@|@ü-@
@to drizzle@|@šerbe-@
@to eat@|@ede-@
@to eddy@|@urä-@
@to embrace@|@teber(i)-@
@to encourage@|@ögšö-@
@to enter@|@oro-@
@to face@|@xaža@
@to fall@|@una-@
@to fall out@|@hugar@
@to feel aversion@|@birba-@
@to feel gnawing pain@|@šemšer-@
@to fence@|@xürël-@
@to finish@|@düda-, düha-@
@to flay@|@übše-@
@to flow@|@ebel-, urda-@
@to fly@|@degde-@
@to fold@|@xuni-@
@to follow@|@daxa-, namna-@
@to forbid@|@xori-@
@to force@|@alba-da-@
@to forget@|@marta@
@to freeze@|@sarsa-, xülde-, xüre-@
@to gape@|@darbaj-@
@to gargle@|@bulxa-@
@to gather@|@ümegle-, ümegšel-, ümör-@
@to gather together@|@xama-@
@to get accustomed@|@dada-@
@to get drunk@|@hogto-@
@to get stuck@|@toro-@
@to give@|@üge-@
@to glitter@|@jalaj-@
@to gnaw@|@mülže-, ximel-@
@to gnaw at smth@|@mere-@
@to go out@|@gara-@
@to go round@|@erje-@
@to grow@|@üde-, urga-@
@to guess@|@tä-@
@to hang down@|@hanža-@
@to hang on (smth.)@|@ülge-@
@to harness@|@güldy-@
@to have a bitter experience@|@xašar@
@to heat@|@xalä-, xalü(n)@
@to herd@|@adül-@
@to hinder@|@bö-@
@to hit target@|@ono-@
@to hit with a hoof@|@xajra-@
@to hog@|@gedy-@
@to hollow out@|@tünxi-@
@to hope@|@najda-@
@to hum@|@büje-@
@to hurry along@|@dabxi-@
@to insert@|@zö-@
@to intend@|@hede-@
@to investigate@|@šenžel-, xina-@
@to kick@|@tanggar-, üšxel-@
@to kill@|@ala-@
@to kneel@|@hügde-@
@to know@|@mede-@
@to laugh@|@enë-@
@to lay@|@debdi-@
@to lead@|@xütel-@
@to lick@|@dolö-@
@to lie@|@xebte-@
@to lie in a hole@|@eše-@
@to listen@|@šagna-@
@to look@|@šagä-, xara-@
@to lose@|@ge-@
@to lose all hope@|@süxer-@
@to lose hair@|@zulbagar, zulmar@
@to lower@|@gudy-@
@to make@|@xe-@
@to make a sign@|@doxi-@
@to mark cattle@|@emni-@
@to meet@|@ugta-, ülza-, ušar-@
@to melt@|@xajla-@
@to milk@|@hä-@
@to mix@|@xudxa-@
@to move@|@xüdel-@
@to move jaws@|@mexer-@
@to mow@|@xada-@
@to nail@|@xada-@
@to nauseate@|@oj-@
@to neigh@|@insagä-@
@to notice@|@anda-, anžar-@
@to open@|@në-@
@to order@|@zaxi-@
@to overcast in sewing@|@xüši-@
@to overflow@|@balxa-, xali-@
@to paint@|@buda-@
@to pass away@|@nügše-@
@to pay attention@|@anxar-, tö-@
@to peel off@|@xüla-@
@to penetrate@|@duxa-@
@to perforate@|@šebšür@
@to perspire@|@badxa@
@to pick@|@ete-, zulgä-@
@to pick with a finger@|@šegše-@
@to pickle@|@ehe-@
@to pinch@|@šemxe-, xabša-@
@to pinch hair@|@žarxi-@
@to plane@|@xobxol-@
@to plunder@|@tono-@
@to pray@|@unša-@
@to prepare@|@zehe-@
@to press@|@šama-, šamar-, šaxa-@
@to press down@|@dara-@
@to protect@|@ebigel@
@to pull@|@tata-@
@to pursue@|@nexe-@
@to put@|@tabi-@
@to quarrel@|@marga-, xerelde-@
@to rake up@|@xarxa@
@to rave@|@gä-ra-@
@to reach@|@xüre-@
@to recover@|@hegër-@
@to regret@|@gemše-@
@to repeat@|@daxi-@
@to rest@|@amar-@
@to rip with fangs@|@xadar-@
@to rise@|@borjol-, burja-, ündy-@
@to rise of steam@|@habha-@
@to rub off@|@ele-, šudar-@
@to run away@|@zugada-@
@to rush@|@šamda-@
@to sacrifice@|@taj-, taxi-@
@to saddle@|@toxo-@
@to save@|@abar-@
@to say@|@xele-@
@to scurry@|@megde-@
@to search@|@guj-, üdal-@
@to see@|@üze-@
@to seek@|@xaj-@
@to send@|@elge-@
@to separate@|@ïle-@
@to sew@|@ojo-@
@to shake (one's head)@|@heže-@
@to shoot from a bow@|@xarba-@
@to shrink@|@ümer-@
@to sink@|@üj-@
@to sit@|@hü-@
@to sit back@|@ganaj-, ganajlza-@
@to slander@|@gürde-@
@to sleep@|@unta-@
@to smear@|@šaba-@
@to sneeze@|@najtä-@
@to soar@|@eli-@
@to sound@|@süja-, tujer-@
@to spend a day@|@ünže-@
@to spin@|@emir-, ëre-, tomo-@
@to split@|@žarxi@
@to spread@|@badr-@
@to spread out@|@haraj-, harbaj-@
@to sprout@|@šexer-@
@to squander@|@šali-@
@to stamp@|@šegžün@
@to stay behind@|@xožomdo-@
@to step@|@alxa-@
@to step down@|@bü-@
@to stick into@|@düre-@
@to stir@|@büli-, hamar-@
@to stretch@|@hünagta-@
@to stretch out@|@huna-@
@to strike fire@|@saxil-@
@to stumble@|@büder-@
@to suck@|@šime-@
@to suffer@|@enel-, zobo-@
@to swallow@|@balga-, zalgi-@
@to swarm@|@haga-@
@to swell@|@xabda-@
@to swim@|@tamara-, xajba, xajbalza-@
@to take@|@ab-, aba-@
@to take out@|@hugal-@
@to talk nonsense@|@šali-, šalšaran@
@to taste@|@amha-, tamšä-@
@to teach@|@zä-@
@to think@|@bodo-@
@to tie up a horse@|@hoj-@
@to torture@|@erüde-@
@to trample@|@tijre-@
@to transport@|@të-@
@to trend@|@gelžy-@
@to trickle@|@haxaj-@
@to trot@|@xatar@
@to trot (not very swiftly)@|@sojor-@
@to tuck up@|@šü-@
@to twist@|@mušxa-@
@to understand@|@uxa-@
@to unite@|@nï-le-@
@to urinate@|@šë-@
@to urinate (of a dog)@|@hari-@
@to wait@|@xüle-@
@to walk@|@jaba-, ošo-@
@to walk slowly@|@galgi-@
@to walk submerging into water@|@umba-@
@to walk with difficulty@|@maxa-@
@to wash@|@ugä-@
@to wave@|@deje-@
@to wear a garment@|@xeder-@
@to weave@|@nexe-@
@to whirl@|@xüril-@
@to whisper@|@šebene-@
@to win@|@dïle-@
@to wish@|@xühe-@
@to wrap@|@orö-@
@to wrinkle@|@ürzy-@
@toe@|@xurga(n)@
@together@|@sug, xamta@
@tongs@|@baxinsag@
@tooth@|@šüde(n)@
@top of head@|@oroj@
@top of milk@|@ürme(n)@
@torture@|@xünegöl@
@town@|@xoto(n)@
@trace@|@orom, žem@
@track@|@mür@
@trade@|@xudalda-@
@tramped snow@|@sarja@
@travel@|@ajan@
@tree@|@modo(n)@
@tree bark@|@xoltohon@
@tremble@|@šelgë-@
@trigger@|@šabxa@
@trough@|@edür, ongoso@
@trumpet horn@|@büre@
@trust@|@idxa-@
@tuft@|@üde-@
@tumble-weed@|@xamxül@
@tumour@|@ser@
@turbid@|@bulangir@
@turf@|@dagnaha(n), degnül@
@turn back@|@nisa-, niza-@
@turn upside down@|@xümeri-@
@tussle@|@zodö(n)@
@twenty@|@xori(n)@
@twig@|@müšer@
@two@|@xojor@
@typhus@|@düjren@
@udder@|@delen@
@uncomely@|@obor@
@uncultivated land@|@atar@
@unexpected@|@gene@
@unfasten@|@tajla-@
@unite@|@xere-@
@unleash@|@zadal-, zadar-@
@unpleasant@|@xesü@
@unstring@|@huba-, hubi-@
@upper stratum@|@xürhe(n)@
@urgent@|@bašam@
@urine@|@šëhe(n)@
@utterly@|@šal@
@variegated@|@alag, eren marän, üle, xaltar@
@various grass names@|@šamarha(n)@
@vegetables@|@nogön@
@vehicle@|@terge(n)@
@vein@|@hudaha(n)@
@ventricle of the heart@|@xobdol@
@Venus@|@solbon(g)@
@vertebral gristles@|@nugarha(n)@
@vertically@|@sexe@
@very sensitive@|@andadag@
@vitality@|@hülde@
@wages for hired work@|@xülhe(n)@
@waist@|@belxühë(n)@
@waist part of the back@|@zö@
@walk swayingly@|@majzagajr-@
@wall@|@xana@
@war@|@daj(n)@
@warm@|@dulän, xülše-@
@warm shelter for large cattle@|@dal@
@warmth@|@elše@
@wart@|@ü(n)@
@water@|@uha(n)@
@waterfall@|@xarja@
@water-meadow@|@nuga@
@wave@|@dalba-, dolgin, doljodo-@
@we@|@man-@
@weak@|@nalaj-, üjë, xomor, zöle(n)@
@weapon@|@zer@
@weasel@|@xüneri@
@weep@|@ujla-@
@well@|@zä@
@West@|@barün, ürne@
@wet snow@|@šamarga(n)@
@whale@|@xalim@
@what@|@jü, jün-@
@wheel spoke@|@xïgadaha(n), xïgaha(n)@
@whip@|@minä@
@whirlwind@|@xuj@
@whispering@|@šeber@
@white@|@sagän@
@white hare@|@šandaga(n)@
@whitish@|@sanxir@
@who@|@xen@
@wide@|@ü, üžam@
@widow@|@belbehe(n)@
@width@|@en(g)@
@wife of elder brother@|@ab'han@
@wife of the elder brother@|@berigen@
@wild apple@|@ülir@
@wild apricot@|@büjlöhe(n)@
@wild goat@|@zür@
@wild horse@|@taxi(n)@
@willow@|@burgäha(n), išehen, üšöhe(n)@
@wind@|@halxi(n)@
@winding@|@harü@
@wing@|@dali, žeber, žegür@
@winter@|@übel@
@wipe@|@zülge-@
@wish@|@baxa-@
@withered@|@xubxaj@
@withers (of a horse)@|@mundä@
@without@|@dial, übej@
@woe@|@gaj@
@wolf@|@šono@
@wolverine@|@zëgen@
@woman@|@eme@
@womb@|@umaj, xemneg@
@wood@|@oj@
@wood cock@|@hojr@
@wooden crane@|@güly@
@wool@|@nöho(n)@
@word@|@üge@
@work@|@adal, ažal, üjle@
@worked sheep skin@|@xüdehe(n)@
@worm@|@šabxaj@
@wormwood@|@aja, ürmedehe(n), ürmehe(n)@
@worn out@|@nabtar-@
@worth attention@|@adag, ažig@
@wound@|@horbo, šarxa@
@woven basket@|@arag@
@wrapper for goat's genitalia@|@xög@
@wrinkled@|@xoršogor@
@wrong@|@burü@
@year@|@on@
@year of life@|@naha(n)@
@yellow@|@šara@
@yellow of a horse@|@šarga, šargal@
@yellowish@|@sabidar@
@yesterday@|@oroj, üsegder@
@you (pl.)@|@ta, tänad, tänar@
@young@|@zalü@
@young dog or cat@|@gülge(n)@
@young elk@|@zorgol@
@young man@|@žerbeger@
@young of lynx@|@nogöl@
@young of wild swine@|@xobho(n)@
@young of wolf@|@belterge@
@young pig@|@toroj@
@younger sibling@|@dü@

